,subjects,abstract,status_changed,eprint_status,related_url,rev_number,volume,metadata_visibility,title,official_url,date_type,eprintid,datestamp,pagerange,lastmod,userid,uri,full_text_status,refereed,ispublished,number,documents,publisher,divisions,type,date,dir,id_number,publication,creators,issn,contact_email,isbn,pages,book_title,pres_type,event_title,event_location,event_dates,event_type,place_of_pub,corp_creators,output_media,contributors
10,"['H1', 'HM']","This research aimed to describe thoroughly the empowerment strategy for the craftsmen of tenun tapis (tapis woven cloth), the strategy of tapis craftsmen in increasing the production, and ways of marketing in the convergency era. The development of creative economy is currently becoming an opportunity for the regional areas to improve small and medium scale economy. One type of creative economy that is growing fast is tapis woven cloth or fabric (tenun kain tapis). Tapis cloth is a traditional woven cloth of Lampung, which in the past was only used during traditional ceremony. However, with the fast-growing modern day fashion, it lifts tapis so that it is not only being a traditionally used cloth but also a fashionable gizmo. Tapis is also being used to accessorize high value items such as bags and shoes. The demand for Tapis as such automatically increases the income of the maker thus develops the business. Data used in this reserach comprised of primary and secondary data. The techniques of collecting data included observation, documentation, and in depth interview. Snowball sampling was applied to choose the samples. Data were analyzed qualitatively by using descriptive model. The results showed that the empowerment strategy fortapis craftsmen in the convergenct era includes trainings on skill, busines management, and online marketing delivered by Dekranasda as the institution that facilitate tapis craftsmen. Additionally, in order to improve production, the tapis craftsmen also made applied tapis, giving new motives on the tapis cloth and using new type of threads. The craftsmen also did marketing efforts through digital facilities by using online business features or online marketing. Keywords: Community Empowerment Strategy, Tapis Cloth Craftsmen, Convergency",2019-04-05 08:09:35,archive,[{'url': 'http://fisip.unila.ac.id/'}],8,1.0,show,EMPOWERMENT STRATEGY FOR BANDAR LAMPUNG TAPIS WOVEN CLOTH CRAFTSMEN IN CONVERGENCY ERA,http://iicis.fisip.unila.ac.id/,published,10841,2019-04-05 08:09:35,61-67,2019-04-05 08:09:35,891,http://repository.lppm.unila.ac.id/id/eprint/10841,public,TRUE,pub,1,"[{'placement': 1, 'security': 'public', 'eprintid': 10841, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 23856, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99841', 'datasetid': 'document', 'filesize': 1268832, 'mime_type': 'application/pdf', 'fileid': 99841, 'hash': '91cff639d1c2668a08a1ecef17e7300b', 'filename': 'Prosiding IICIS.pdf', 'hash_type': 'MD5', 'mtime': '2019-02-25 11:34:03'}], 'main': 'Prosiding IICIS.pdf', 'docid': 23856, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23856', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",LPPM University of Lampung (Unila),['FISIP7'],article,2018-12-01,disk0/00/01/08/41,,Proceeding of International Indonesia Conference on Interdisciplinary Studies Lampung University,"[{'name': {'given': 'DEWI AYU', 'lineage': None, 'family': 'HIDAYATI', 'honourific': None}, 'id': 'dewiayu.hidayati@fisip.unila.ac.id'}, {'name': {'given': 'Yuni', 'family': 'ratnasari', 'honourific': None, 'lineage': None}, 'id': 'iickmaniez@yahoo.com'}, {'name': {'given': 'i Gede', 'honourific': None, 'family': 'Sidemen', 'lineage': None}, 'id': 'igede.sidemen@fisip.unila.ac.id'}, {'id': 'bensosunila@gmail.com', 'name': {'given': 'Benjamin', 'honourific': None, 'family': 'Benjamin', 'lineage': None}}, {'name': {'given': 'Asnani', 'lineage': None, 'honourific': None, 'family': 'Asnani'}, 'id': 'Asnani.mulilampung85@gmail.com'}]",978-602-50756-2-9,,,,,,,,,,,,,
11,['HM'],,2019-05-16 06:28:19,archive,,11,,show,"KONFLIK DAN HARMONI SOSIAL PERSPEKTIF SOSIOLOGI
Strategi Memelihara Ketahanan Masyarakat Lokal Majemuk di Lampung",,,12985,2019-05-16 06:28:19,,2019-11-26 12:04:06,792,http://repository.lppm.unila.ac.id/id/eprint/12985,public,FALSE,pub,,"[{'files': [{'filesize': 60643576, 'datasetid': 'document', 'filename': 'Buku Konflik dan Harmoni Sosial Perspektif Sosiologi.pdf', 'hash': '7038362502c0a317378bee87cda32c79', 'mtime': '2019-11-04 04:18:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 131124, 'uri': 'http://repository.lppm.unila.ac.id/id/file/131124', 'objectid': 28372}], 'main': 'Buku Konflik dan Harmoni Sosial Perspektif Sosiologi.pdf', 'docid': 28372, 'formatdesc': 'Buku', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28372', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 12985, 'language': 'en', 'mime_type': 'application/pdf'}, {'security': 'public', 'placement': 2, 'eprintid': 12985, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 1664761, 'datasetid': 'document', 'filename': 'Hasil Penilaian Sejawat atau Sebidang.pdf', 'hash': '9dc63d3579382aac58d843c1d95363f3', 'mtime': '2019-11-26 12:03:53', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 145642, 'uri': 'http://repository.lppm.unila.ac.id/id/file/145642', 'objectid': 30269}], 'main': 'Hasil Penilaian Sejawat atau Sebidang.pdf', 'docid': 30269, 'formatdesc': 'Hasil Penilaian Sejawat', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30269', 'format': 'text', 'pos': 2}]",Graha Ilmu,['FISIP7'],book,2018,disk0/00/01/29/85,,,"[{'name': {'lineage': None, 'family': 'Hartoyo', 'honourific': None, 'given': 'Hartoyo'}, 'id': 'htyiluh@yahoo.co.id'}]",,,978-602-262-991-7,138.0,,,,,,,Yogyakarta,['Universitas Lampung'],,
12,"['H1', 'HM']","Penelitian ini menjelaskan posisi dan otoritas lembaga zakat masyarakat dalam pengelolaan zakat. Data dikumpulkan melalui wawancara mendalam dan dokumentasi. Hasil penelitian menemukan bahwa model pengelolaan zakat menurut UU No. 38 Tahun 1999 memiliki keterbatasan substantif dalam meningkatkan kesejahtaraan rakyat. Pemerintah hanya mampu mengukuhkan BAZ dan LAZ, tetapi kurang melakukan pembinaan dan perlindungan. Akibatnya, masing-masing lembaga zakat dibiarkan bekerja dalam ruangnya sendiri, elitis, melakukan fungsi yang sama, dan terjadi konflik kepentingan. Disahkannya UU No. 23 Tahun 2011 merupakan jawaban atas berbagai persoalan hukum tentang pengelolaan zakat. Kelemahannya adalah BAZNAS selain memiliki otoritas lebih juga dapat menjalankan fungsi LAZ dan UPZ. Model ini masih rentan terjadi konflik kepentingan antar pengelola zakat. Model integrasi dapat menjadi solusi dengan tetap memberi ruang otoritas kepada negara sekaligus mampu memberdayakan peran masyarakat sipil. Model ini mampu mengoptimalkan peran LAZ dan UPZ yang berada di bawah koordinasi, perlindungan dan pembinaan BAZNAS.",2019-05-24 07:17:36,archive,"[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/sosiologi/article/view/518', 'type': 'pub'}]",7,20.0,show,Model Integrasi Pengelolaan Zakat Antara Negara dan Masyarakat Sipil,http://jurnal.fisip.unila.ac.id/index.php/sosiologi,published,13227,2019-05-24 07:17:36,57-67,2019-05-24 07:17:36,792,http://repository.lppm.unila.ac.id/id/eprint/13227,public,TRUE,pub,2,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26231', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 153902, 'mime_type': 'application/pdf', 'fileid': 116090, 'hash': '534297d9693de5dd4de6e20e575f9f52', 'filename': 'Model Intergrasi_Hartoyo.pdf', 'mtime': '2019-05-24 01:48:56', 'hash_type': 'MD5', 'objectid': 26231, 'uri': 'http://repository.lppm.unila.ac.id/id/file/116090'}], 'docid': 26231, 'main': 'Model Intergrasi_Hartoyo.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 13227}]",Universitas Lampung,['FISIP7'],article,2018-09-01,disk0/00/01/32/27,,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,"[{'id': 'htyiluh@yahoo.co.id', 'name': {'lineage': None, 'family': 'Hartoyo', 'honourific': None, 'given': 'Hartoyo'}}]",1411-0040,,,,,,,,,,,,,
13,['AC'],Hasil penilaian Sejawat Sebidang Atau Per Review Karya Ilmiah: Jurnal Ilmiah Internasional,2019-06-14 05:47:22,archive,,6,21.0,show,"Towords A New Village Development Paragigm in Lampung Provice, Indonesia",,published,13371,2019-06-14 05:47:22,1-7,2019-06-14 05:47:22,792,http://repository.lppm.unila.ac.id/id/eprint/13371,public,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26387', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 117150, 'filename': '05.pdf', 'hash': 'a2245493633fe7741a92a67fb2ac5ee5', 'hash_type': 'MD5', 'mtime': '2019-06-14 05:31:56', 'datasetid': 'document', 'filesize': 979412, 'objectid': 26387, 'uri': 'http://repository.lppm.unila.ac.id/id/file/117150'}], 'main': '05.pdf', 'docid': 26387, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 13371}]",,['FISIP7'],article,2018,disk0/00/01/33/71,,Jurnal of Legal Ethical and Regulatory Issue (JEERI),"[{'id': 'htyiluh@yahoo.co.id', 'name': {'family': 'Hartoyo', 'honourific': None, 'lineage': None, 'given': 'Hartoyo'}}]",,,,,,,,,,,,,,
14,['AC'],Simteks,2019-06-14 09:13:03,archive,,10,21.0,show,"Towords A New Village Development Paragigm in Lampung Provice, Indonesia",,published,13384,2019-06-14 09:13:03,17,2019-11-26 12:06:17,792,http://repository.lppm.unila.ac.id/id/eprint/13384,public,TRUE,pub,,"[{'format': 'text', 'pos': 1, 'formatdesc': 'Artikel', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27744', 'main': 'Towards a New Village Development Paradigm.pdf', 'docid': 27744, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/126840', 'objectid': 27744, 'hash': '4a738a68a75b5af7bbe205346f909527', 'filename': 'Towards a New Village Development Paradigm.pdf', 'mtime': '2019-10-28 06:07:51', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 126840, 'filesize': 1992084, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 13384, 'security': 'public', 'placement': 1}, {'formatdesc': 'Similarity Check', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30270', 'format': 'text', 'pos': 2, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/145645', 'objectid': 30270, 'filesize': 6507828, 'datasetid': 'document', 'hash': 'c67664459396c689d1dfb95233a0e765', 'filename': 'SIMILARITY TEX -Towards-a-new-village-development-paradigm-in-Lampung-province-Indonesia.pdf', 'mtime': '2019-11-26 12:05:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 145645}], 'docid': 30270, 'main': 'SIMILARITY TEX -Towards-a-new-village-development-paradigm-in-Lampung-province-Indonesia.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 2, 'eprintid': 13384}, {'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 3, 'eprintid': 13384, 'formatdesc': 'Korespondensi', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30271', 'format': 'text', 'pos': 3, 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-26 12:05:57', 'filename': 'Proses Review Artikel dari Editor Journal of Legal, Ethical and Regulatory Issues.pdf', 'hash': '4040ee2514452f8823e2081ee1d835c3', 'fileid': 145647, 'mime_type': 'application/pdf', 'filesize': 3423269, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/145647', 'objectid': 30271}], 'docid': 30271, 'main': 'Proses Review Artikel dari Editor Journal of Legal, Ethical and Regulatory Issues.pdf'}]",,['FISIP7'],article,2018,disk0/00/01/33/84,,Jurnal of Legal Ethical and Regulatory Issue,"[{'name': {'given': 'Hartoyo', 'honourific': None, 'family': 'Hartoyo', 'lineage': None}, 'id': 'htyiluh@yahoo.co.id'}]",,,,,,,,,,,,,,
15,"['H1', 'HV']","The purpose of this paper is to systematically evaluate the implementation of the Village Law covering the input, process, output and outcome aspects, based on empirical study in Lampung province. In addition, it also determined the correlations among the input, process and output aspects and the changes in the Village Development Index after the implementation of the Village Law of 2014. This study is conducted in 4 regencies: Lampung Selatan, Pesawaran, Tanggamus and Lampung Tengah. The total sample was 40 villages. Data were collected using questionnaire and processed through SPSS Version 22. The product-moment correlation was used as the statistical test. Results indicated that, in general, Law No. 6 of 2014 on Villages was not yet fully implemented in accordance with the provisions of the law, either in the input, process, output and outcome aspects. Moreover, results also showed that only the participatory process variable was significantly related to development output. This paper argues that by looking at the relationships between Village Development Index (IPD) through three aspects of system approach: input, process and output and changes towards a new village development paradigm in Indonesia, there requires a long process to achieve it.

Keywords: Village Development Paradigm, Indonesia, Village Law, Village Development Index, Systematic, Policy Evaluation.",2018-10-30 03:11:14,archive,"[{'url': 'https://www.abacademies.org/journals/month-september-year-2018-vol-21-issue-0-journal-jleri-past-issue.html', 'type': 'pub'}]",7,21.0,show,"Towards a New Village Development Paradigm in Lampung Province, Indonesia",https://www.abacademies.org/journals/journal-of-legal-ethical-and-regulatory-issues-home.html,published,9058,2018-10-30 03:11:14,1-18,2018-10-30 03:11:14,290,http://repository.lppm.unila.ac.id/id/eprint/9058,public,TRUE,pub,Specia,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/87552', 'objectid': 22139, 'filesize': 554505, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-10-29 05:56:24', 'filename': 'Towards-a-new-village-development-paradigm-in-Lampung-province-Indonesia_JLERI.pdf', 'hash': 'e64d0e36bd415642c89ff04d54ac9783', 'fileid': 87552, 'mime_type': 'application/pdf'}], 'main': 'Towards-a-new-village-development-paradigm-in-Lampung-province-Indonesia_JLERI.pdf', 'docid': 22139, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22139', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 9058, 'language': 'en', 'mime_type': 'application/pdf'}]",abacademies,['FISIP7'],article,2018-09,disk0/00/00/90/58,,"journal of legal, ethical and regulatory issues","[{'id': 'htyiluh@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hartoyo', 'given': 'Hartoyo'}}, {'name': {'family': 'Sindung Haryanto', 'honourific': None, 'lineage': None, 'given': 'Sindung'}, 'id': 'sindungharyanto@yahoo.co.id'}, {'name': {'given': 'Teuku', 'lineage': None, 'family': 'Fahmi', 'honourific': None}, 'id': 'teuku.fahmi@fisip.unila.ac.id'}]",1544-0044,,,,,,,,,,,,,
16,"['H1', 'HM']",,2019-05-09 03:10:22,archive,,8,,show,The Transformation of Resistance : a three-decade of BNIL's evicted peasants community struggling for land in lampung,,published,11992,2019-05-09 03:10:22,,2019-05-09 03:10:22,720,http://repository.lppm.unila.ac.id/id/eprint/11992,public,TRUE,pub,,"[{'language': 'en', 'mime_type': 'image/jpeg', 'eprintid': 11992, 'security': 'public', 'placement': 1, 'format': 'image', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24981', 'rev_number': 1, 'docid': 24981, 'main': 'Poster BNIL_2.jpg', 'files': [{'fileid': 107472, 'mime_type': 'image/jpeg', 'hash_type': 'MD5', 'mtime': '2019-05-08 02:33:51', 'filename': 'Poster BNIL_2.jpg', 'hash': 'ed631f3e5181225e75fdef372878cfef', 'datasetid': 'document', 'filesize': 1951020, 'objectid': 24981, 'uri': 'http://repository.lppm.unila.ac.id/id/file/107472'}]}]",,['FISIP7'],conference_item,2018-11-14,disk0/00/01/19/92,,,"[{'id': 'ikram_badila@yahoo.com', 'name': {'given': 'Ikram', 'family': 'Ikram', 'honourific': None, 'lineage': None}}, {'id': 'fuad.abdulgani87@gmail.com', 'name': {'given': 'Fuad', 'lineage': None, 'family': 'Fuad Abdulgani', 'honourific': None}}]",,ikram_badila@yahoo.com,,,,poster,"the International Confrence of ""RURAL SOCIO-ECONOMIC TRANSFORMATION: AGRARIAN, ECOLOGY, COMMUNICATION AND COMMUNITY DEVELOPMENT PERSPECTIVES""","Bogor, Indonesia","November, 14th - 15rd, 2018",conference,,,,
17,"['H1', 'HM']",,2019-05-09 03:10:23,archive,,8,,show,The mapping of social conflicts in Central Lampung regency,,published,11993,2019-05-09 03:10:23,,2019-05-09 03:10:23,720,http://repository.lppm.unila.ac.id/id/eprint/11993,public,TRUE,pub,,"[{'eprintid': 11993, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'image/jpeg', 'docid': 24982, 'main': 'Poster Konflik Lamteng.jpg', 'files': [{'fileid': 107480, 'mime_type': 'image/jpeg', 'hash_type': 'MD5', 'mtime': '2019-05-08 02:46:34', 'filename': 'Poster Konflik Lamteng.jpg', 'hash': 'ac944c17918cdf92942e1dffc39f9bae', 'datasetid': 'document', 'filesize': 257386, 'objectid': 24982, 'uri': 'http://repository.lppm.unila.ac.id/id/file/107480'}], 'pos': 1, 'format': 'image', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24982'}]",,['FISIP7'],conference_item,2018-11-14,disk0/00/01/19/93,,,"[{'name': {'given': 'Ikram', 'lineage': None, 'honourific': None, 'family': 'Ikram'}, 'id': 'ikram_badila@yahoo.com'}, {'id': 'fuad.abdulgani87@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Fuad Abdulgani', 'given': 'Fuad'}}]",,ikram_badila@yahoo.com,,,,poster,"the International Conference of ""RURAL SOCIO-ECONOMIC TRANSFORMATION: AGRARIAN, ECOLOGY, COMMUNICATION AND COMMUNITY DEVELOPMENT PERSPECTIVES""","Bogor, Indonesia","November, 14th - 15rd, 2018",conference,,,,
18,['HM'],"Tujuan penelitian untuk mendapatkan gambaran mengenai anatomi konflik, dan pola persebaran konflik berdasarkan wilayah, dampak konflik, dan langkah-langkah penanganan pascakonflik dalam rangka pembangunan infrastruktur. Penelitian dilakukan di Kecamatan Way Panji, Natar, Jati Agung, dan Tanjung Sari dengan pertimbangan konflik yang pernah terjadi sudah terselesaikan namun masih diingat hingga saat ini serta rentan terjadi konflik kembali (rawan konflik), di samping itu masing-masing kecamatan memiliki klasifikasi konflik yang berbeda (etnis, agama/keyakinan, pemerintah, perusahaan, dan dampak pembangunan infrastruktur). Hasil penelitian menyimpulkan bahwa konflik sosial yang terjadi di Kabupaten Lampung Selatan disebabkan oleh kebijakan pembangunan dan implementasinya yang mengabaikan keberadaan dan kepentingan masyarakat lokal yang majemuk. Mekanisme penganganan konflik kurang melihat faktor-faktor penyebab secara mendasar sehingga dapat menyebabkan timbulnya konflik sosial secara berkelanjutan. Konflik potensial dan konflik terbuka terjadi paling tidak bersumber dari empat faktor, yaitu berbasis pada hubungan psikososial, kepentingann ekonomi, perbedaan nilai-nilai (agama, kepercayaan, etnisitas), dan struktural. Faktor pemicu konflik sosial bervariasi, dari sisi perilaku aktor, berawal dari konflik antar individu atau antar kelompok kecil, kemudian berkembang menjadi konflik antar kelompok yang lebih besar. Sedangkan dari kualitas persoalan yang dihadapi, konflik antar kelompok dapat dipicu dari persoalan yang sederhana, tidak realistik dan tidak menarik, sampai pada persoalan yang realistik dan mendasar. Penanganan konflik sosial mengedepankan asas musyawarah dan mufakat, melalui mediasi. Penanganan lebih terkonsetrasi pada upaya penyelesaian konflik terbuka.",2019-05-09 03:07:21,archive,,9,,show,"POTRET KONFLIK SOSIAL DI KABUPATEN LAMPUNG SELATAN, PROVINSI LAMPUNG",,published,11766,2019-05-09 03:07:21,233-261,2019-05-09 03:07:21,720,http://repository.lppm.unila.ac.id/id/eprint/11766,public,TRUE,pub,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/106056', 'objectid': 24753, 'hash_type': 'MD5', 'mtime': '2019-05-06 06:01:23', 'filename': 'Buku 1 + Cover.pdf', 'hash': 'd959c71d53c7feb0f46c400733de62b7', 'fileid': 106056, 'mime_type': 'application/pdf', 'filesize': 342698, 'datasetid': 'document'}], 'main': 'Buku 1 + Cover.pdf', 'docid': 24753, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24753', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 11766, 'language': 'en', 'mime_type': 'application/pdf'}]",,['FISIP7'],conference_item,2018-10-01,disk0/00/01/17/66,,,"[{'name': {'given': 'Ikram', 'honourific': None, 'family': 'Ikram', 'lineage': None}, 'id': 'ikram_badila@yahoo.com'}, {'id': 'sosiologifisip@fisip.unila.ac.id', 'name': {'given': 'Usman Raidar', 'lineage': None, 'family': 'Usman Raidar', 'honourific': None}}]",,ikram_badila@yahoo.com,,,,paper,20 Tahun Reformasi,Makassar,25-26 Oktober 2018,conference,,['Ikatan Sosiologi Indonesia'],,
19,"['GN', 'HM']","This paper examines digital on tourism and cultural revitalization through  museum  of adat Lampung. A few decades later is the development of museums in Indonesia is very slow, this is because the museum is only considered as a place to store your ancient and old, so it's not interesting for the younger generation to see it and make it as one of the tourist destinations.   Although there have been several innovations of museums in Indonesia are made such that appeals to visitors but has yet to be felt the most, especially the museum of customs and culture. This study aims to establish the concept of a museum of the customs and culture of the Lampung based digital, so attractive and tailored to the tastes of today's generation, so the customs and culture of the Lampung  can be enjoyed and is known in ways that the present, so it's not boring and preferred by the younger generation. This study uses qualitative methods with data collection techniques depth interviews  and observations. The results showed that the concept of ethno-eco tourism-based digital need to be developed and effectively in a market the museum and become a draw for visitors.  Cultural revitalization must be packaged together with the changes of society itself, besides the always taking care of local wisdom is very important to do. However, the interest of the younger generation is very minimal for learning and interested in the culture of its own. But many local cultural attributes can be used as potential in developing tourism and creative economy.",2018-10-25 02:25:42,archive,,8,,show,Digital Tourism in Museum Adat Keratuan Semaka Lampung,http://iicis.fisip.unila.ac.id/,published,8961,2018-10-25 02:25:42,1-10,2018-10-25 02:25:42,314,http://repository.lppm.unila.ac.id/id/eprint/8961,public,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/22040', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'fileid': 86655, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-10-25 00:20:35', 'filename': 'artikel IICIS unila 2018 .pdf', 'hash': '75415c2e0c9c9506532f8c0a43f7957f', 'datasetid': 'document', 'filesize': 986673, 'objectid': 22040, 'uri': 'http://repository.lppm.unila.ac.id/id/file/86655'}], 'docid': 22040, 'main': 'artikel IICIS unila 2018 .pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 8961}]",,['FISIP7'],conference_item,2018-09-10,disk0/00/00/89/61,,,"[{'name': {'given': 'Bartoven Vivit', 'family': 'Nurdin', 'honourific': None, 'lineage': None}, 'id': 'bartovenvivit@gmail.com'}]",,iicis@fisip.unila.ac.id,,,,paper,International Indonesia Conference on Interdisciplinary Studies  (IICIS),Novotel Bandar Lampung,9-10 September 2018,conference,,,,
20,"['GN', 'HM']","Video ini merupakan penelitian dan  kajian visual atau digital etnografi dan sosiologi budaya pada Marga Legun Way Urang Kalianda Lampung Selatan, salah satu masyarakat adat Lampung ber adat kan Sai Batin. Khususnya adat Budaya tentang pakaian tradisional Pangeran beserta paksi-paksinya, tradisi ngias yaitu pemberian gelar adat serta tradisi memasak nasi pada masyarakat adat tersebut. Video ini menggambar aktifitas penelitian kualitatif etnografi yang sedang dilakukan oleh mahasiswa jurusan sosiologi dan para dosen, untuk melakukan penelitian tentang tradisi, adat dan budaya Marga Legun Way Urang.",2018-06-04 06:35:31,archive,"[{'type': 'pub', 'url': 'https://www.youtube.com/watch?v=G-THwllJ8F8'}]",10,,show,Etnografi Digital : Lamban Balak Bandar Marga Legun,https://www.youtube.com/watch?v=G-THwllJ8F8,published,6988,2018-06-04 06:35:31,,2018-06-04 06:35:31,314,http://repository.lppm.unila.ac.id/id/eprint/6988,restricted,,pub,,"[{'files': [{'fileid': 63984, 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2018-06-03 10:33:33', 'filename': 'watch_v=G-THwllJ8F8', 'hash': '4eae0e74a41db5a3c2992ad676d669a3', 'datasetid': 'document', 'filesize': 156635, 'objectid': 19961, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63984'}], 'docid': 19961, 'main': 'watch_v=G-THwllJ8F8', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19961', 'rev_number': 3, 'format': 'video', 'pos': 1, 'security': 'staffonly', 'placement': 1, 'eprintid': 6988, 'date_embargo': '2030-12-29', 'content': 'published', 'language': 'id', 'mime_type': 'text/html'}]",Laboratorium Sosiologi FISIP UNILA,['FISIP7'],video,2018-04-24,disk0/00/00/69/88,,,"[{'name': {'given': 'Bartoven Vivit', 'lineage': None, 'honourific': None, 'family': 'Nurdin'}, 'id': 'bartovenvivit@gmail.com'}]",,bartovenvivit@gmail.com,,,,,,,,,,,youtube,
21,"['GN', 'HM']","Video ini merupakan penelitian visual dan digital dalam kajian metode etnografi dan sosiologi budaya pada Marga Legun Way Urang Kalianda Lampung Selatan, salah satu masyarakat adat Lampung ber adat kan Sai Batin.  Khususnya adat Budaya tentang pakaian tradisional Pangeran beserta paksi-paksinya, tradisi ngias yaitu pemberian gelar adat serta tradisi memasak nasi pada masyarakat adat tersebut. Video ini menggambar aktifitas penelitian kualitatif etnografi yang sedang dilakukan oleh mahasiswa jurusan sosiologi dan para dosen, untuk melakukan penelitian tentang tradisi, adat dan budaya Marga Legun Way Urang.",2018-06-04 06:34:54,archive,[{'url': 'https://www.youtube.com/watch?v=G-THwllJ8F8'}],10,,show,Lamban Balak Marga Legun,https://www.youtube.com/watch?v=G-THwllJ8F8,published,6987,2018-06-04 06:34:54,,2018-06-04 06:34:54,314,http://repository.lppm.unila.ac.id/id/eprint/6987,restricted,,pub,,"[{'content': 'published', 'language': 'id', 'mime_type': 'text/html', 'placement': 1, 'security': 'staffonly', 'date_embargo': '2030-12-29', 'eprintid': 6987, 'rev_number': 4, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19960', 'pos': 1, 'format': 'video', 'files': [{'datasetid': 'document', 'filesize': 156741, 'mime_type': 'text/html', 'fileid': 63974, 'filename': 'watch_v=G-THwllJ8F8', 'hash': '76c52f6bbfc53effc9941efa0962233e', 'mtime': '2018-06-03 09:42:51', 'hash_type': 'MD5', 'objectid': 19960, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63974'}], 'main': 'watch_v=G-THwllJ8F8', 'docid': 19960}]",Laboratorium Sosiologi FISIP UNILA,['FISIP7'],video,2018-04-24,disk0/00/00/69/87,,,"[{'id': 'bartovenvivit@gmail.com', 'name': {'given': 'Bartoven Vivit', 'lineage': None, 'honourific': None, 'family': 'Nurdin'}}]",,bartovenvivit@gmail.com,,,,,,,,,,,youtube,
