,type,divisions,creators,dir,lastmod,userid,pagerange,datestamp,documents,pres_type,ispublished,refereed,uri,full_text_status,eprintid,event_title,date_type,event_location,related_url,status_changed,eprint_status,abstract,subjects,official_url,title,event_dates,metadata_visibility,rev_number,event_type,number,publisher,publication,issn,volume,id_number,isbn
20,article,['FKIP11'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Herpratiwi', 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}]",disk0/00/01/05/17,2019-01-29 04:18:23,863,36-39,2019-01-29 04:18:23,"[{'eprintid': 10517, 'security': 'public', 'placement': 1, 'mime_type': 'text/html', 'language': 'en', 'main': 52, 'docid': 23533, 'files': [{'mime_type': 'text/html', 'fileid': 97600, 'hash': '6cece284e10d85983e017724ebea5241', 'filename': 52, 'mtime': '2019-01-05 08:56:46', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 3938, 'objectid': 23533, 'uri': 'http://repository.lppm.unila.ac.id/id/file/97600'}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23533'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10517,public,10517,,,,[{'url': 'http://journal.unhena.ac.id/index.php/HibSos/article/view/65/52'}],2019-01-29 04:18:23,archive,"Pendekatan konstrutivis sudah dilakukan oleh banyak pendidik untuk mencapai tujuan pembelajaran yang berkaitan untuk membangun pengetahuan tingkat tinggi yaitu meta kognitif. Untuk itu perlu dilakukan kajian yang bertujuan untuk mendeskripsikan perkembangan metakognitif  peserta didik kelas V Sekolah Dasar di Kota Bandar Lampung. Penelitian ini merupakan penelitian survai,  untukmengungkap fakta tentang perkembangan metakognitif  peserta didik  SD kelas V di  Kota  Bandar  Lampung. Populasi dalam  penelitian  ini peserta  didik  yang  memiliki  ragking 1, 2 dan 3, dimana jumlah SDN 186 sekolah.  Sampel diambil melalui stratified random sampling, yaitu SD yang terakreditas A dengan jumlah 40 SD.  Besarnya ukuran sampel dengan sampel secara acak/ random proporsional (proporsional sampling). Data dikumpulkan dengan Metacognitive Awareness Inventory(MAI). Pengimplementasian MAI dilakukan pada saat peserta didik berada di semester 1.Perkembangan  metakognitif didasarkan pada kriteria  Schraw & Dennison,yaitu  buruk (≤50), kurang (51-69), cukup (70-79), dan baik (80≤). Kesimpulan penelitian adalah: (a) perkembangan kemampuan metakognitif peserta didik kelas V Sekolah Dasar di Kota Bandar Lampung masih masuk dalam kategori kurang, (b) skor tertinggi perkembangan kemampuan metakognitif peserta didik kelas V Sekolah Dasar pada aspek pengetahuan metakognitif  adalah conditional knowledge, dan yang terendah procedural knowledge. Dan(c) skor  tertinggi  perkembangan  kemampuan  metakognitif  peserta  didik  kelas  V  Sekolah  Dasar pada aspek regulasi  metakognitif  adalah planning, dan yang terendah information management.

Kata Kunci: Metakognitif, Pesertadidik, Sekolah Dasar",['L1'],http://journal.unhena.ac.id/index.php/HibSos/article/view/65/52,PERKEMBANGAN METAKOGNITIF  PESERTA DIDIK KELAS V DI SEKOLAH DASAR KOTA BANDAR LAMPUNG,,show,7,,2.0,,http://journal.unhena.ac.id/index.php/HibSos/article/view/65/52,2621-0363,2.0,,
21,book,['FKIP11'],"[{'name': {'given': 'Herpratiwi', 'lineage': None, 'honourific': None, 'family': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}]",disk0/00/00/89/02,2018-10-29 04:25:04,863,,2018-10-29 04:25:04,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/86252', 'objectid': 21982, 'filesize': 5525138, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-10-19 03:32:20', 'hash': 'c2fb25049192efe97e22261257e7c239', 'filename': 'Pendidikan Inklusi.pdf', 'fileid': 86252, 'mime_type': 'application/pdf'}], 'main': 'Pendidikan Inklusi.pdf', 'docid': 21982, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21982', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 8902, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8902,public,8902,,,,,2018-10-29 04:25:04,archive,"Alhamdulillah, puji syukur kita panjatkan ke hadirat Allah SWT,Tuhan Yang Maha Kuasa, yang telah memberikan rahmat, taufiq dan hidayah-Nya, sehingga pada kesempatan ini kita dapat berkumpul untuk merayakan dies natalis Universitas Lampung ke - 45. Bapak/Ibu sekalian, izinkan saya untuk menyampaikan orasi ilmiah dengan topik Pendidikan Inklusi untuk Anak Berkebutuhan Khusus.",['L1'],,Pendidikan Inklusi untuk Anak Berkebutuhan Khusus,,show,7,,,Universitas Lampung,,,,,
22,article,['FKIP11'],"[{'name': {'given': 'Herpratiwi', 'lineage': None, 'honourific': None, 'family': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}]",disk0/00/00/88/00,2018-10-26 10:10:22,863,225-236,2018-10-26 10:10:22,"[{'main': 'JPP 2008.pdf', 'docid': 21880, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85595', 'objectid': 21880, 'filename': 'JPP 2008.pdf', 'hash': '198b91088a590ae272b7beee2cb6f9e3', 'hash_type': 'MD5', 'mtime': '2018-09-07 06:04:06', 'mime_type': 'application/pdf', 'fileid': 85595, 'filesize': 5163483, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21880', 'rev_number': 1, 'eprintid': 8800, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8800,public,8800,,completed,,[{'url': 'http://www.jppfkipunila.com'}],2018-10-26 10:10:22,archive,"The Indonesian goverment has issued the policy of inclusion education program in the light of implementing justice principle in education, providing children with easy access to education, and encouraging success in compulsary education. there are 17 elementary schools assumed to run the inclusion education program in 8 regencies/cities of Lampung Province. This research isto have a look at how the schools run the inclusion program. The research problem is formulated as the following. ""how do the school members perceive the inclusion education program run at the elementary school in Lampung Province?"". The research is intended to describe the perceptions of the school member towards the inclusion education program carried out by the elementary school of Lampung Province, comparising the teachers, curriculum, learning plan, facilities, financing, learning strategis, evaluation, learning achievement, and outcomes. The reserach was conducted at the 17 elementary schools throughout Lampung Province, using quantitative descriptive method. The research population was made up of the principals, school committes, teachers, ""normal"" student's parents, parents of students ""with spesial needs"", and ""normal"" students"". The sampling technique used in this research was random sampling, i.e 25% of the number of the population. In conclusion, the elementary schools assumed to run the inclusion education program were found to be just ""on the way to"" the inculsion education program, since all the subsystems for the program had not been sufficiently provided. This would continuously hold out if the authority did not prepare supporting factors, resulting unachieved program.",['L1'],http://www.jppfkipunila.com,Program pendidikan inklusi di sekolah dasar provinsi lampung,,show,6,,2.0,Fakultas keguruan dan ilmu pendidikan,jumlah pendidikan dan pembelajaran,1693-2463,6.0,,
23,book,['FKIP11'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Herpratiwi', 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}]",disk0/00/00/89/03,2018-10-29 04:25:07,863,,2018-10-29 04:25:07,"[{'docid': 21983, 'main': 'Teori Belajar dan Pembelajaran.pdf', 'files': [{'filesize': 20577080, 'datasetid': 'document', 'hash': '0f05cf90307d7ceb9532f8eb73eef859', 'filename': 'Teori Belajar dan Pembelajaran.pdf', 'mtime': '2018-10-19 03:41:43', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 86259, 'uri': 'http://repository.lppm.unila.ac.id/id/file/86259', 'objectid': 21983}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21983', 'eprintid': 8903, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8903,public,8903,,,,,2018-10-29 04:25:07,archive,"Teori Belajar dan Pembelajaran merupakan suatu pemikiran ideal untuk menerapkan apa, bagaimana, dan mengapa belajar dan pembelajaran. Teori belajar dan pembelajaran dikembangkan dari kenyataan bahwa manusia secara alami memiliki kemampuan dan kemauan untuk belajar yang luar biasa. Manusia telah mengembangkan peradaban, ilmu pengetahuan dan teknologi sebagai wujud dan proses belajar.

Teori belajar berhubungan dengan psikologi terutama berhubungan dengan situasi belajar. Kontribusi dan implikasi teori belajar dan pembelajaran dalam teknologi pendidikan merupakan suatu usaha yang didasarkan atas pengembangan pendidikan yang bertitik tolak untuk perbaikan pendidikan. Teori belajar dan pembelajaran sangat besar perannya dalam peningkatan mutu pembelajaran.

Teori belajar dan pembelajaran diperlukan untuk berbagai keperluan, yaitu (1) untuk menyusun kegiatan pembelajaran, (2)mendiagnosa kesalahan pembelajaran, (3) mengevaluasi hasil pembelajaran, (4) sebagai kerangka pengkajian ilmiah, tentunya hal-hal yang berhubungan dengan pembelajaran.",['L1'],,Teori Belajar dan Pembelajaran,,show,7,,,Media Akademi,,,,,
24,article,['FKIP11'],"[{'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Herpratiwi', 'given': 'Herpratiwi'}}, {'id': 'ahmadtohir182@gmail.com', 'name': {'given': 'Tohir', 'lineage': None, 'honourific': None, 'family': 'Ahmad'}}]",disk0/00/03/82/84,2022-01-24 09:06:53,863,424-435,2022-01-24 09:06:53,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159346', 'main': '2290-4982-1-PB.pdf', 'docid': 159346, 'files': [{'mime_type': 'application/pdf', 'fileid': 434325, 'filename': '2290-4982-1-PB.pdf', 'hash': '388285f6b0d3f3373bc72e1b4429505f', 'mtime': '2022-01-24 07:07:28', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 429448, 'objectid': 159346, 'uri': 'http://repository.lppm.unila.ac.id/id/file/434325'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 38284, 'placement': 1, 'security': 'public'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/38284,public,38284,,published,,,2022-01-24 09:06:53,archive,"In the education process, almost all skills, knowledge, habits, and attitudes are developed through the learning process. Achieving good learning outcomes involves several components, such as interests, talents, good psychological factors, abilities, motivation, attitudes, maturity, discipline, and others. This study aims to determine the influence of learning interest and discipline on learning motivation. The population was university students, and the sample of the study was all students who took the basic course of curriculum development in 2019-2020, totalling 38 students. Data analysis was performed to describe the condition of each research variable learning interest, discipline, and learning motivation. Data were then analyzed by ANOVA with SPSS Program Version 16. In this study, we found that interest in learning and discipline significantly
influenced learning motivation. This relation can be seen in the value of the ANOVA analysis was statistically significant (p < 0.05). Interest in learning influences learning motivation, and this also applies to disciplines that have a strong influence on student motivation. Thus, student learning motivation can be increased by high effort and attention in increasing and developing student interest and discipline. The interest in learning and discipline has a positive influence on learning motivation. Learning motivation is not only influenced by interest and discipline but in this study, it is only limited to interest and discipline, which affect students' learning motivation. Other researchers can do related research talents, good psychological factors, abilities, or attitudes.",['L1'],https://www.ijemst.net/index.php/ijemst/article/view/2290/297,Learning Interest and Discipline on Learning Motivation,,show,6,,2.0,,"International Journal of Education in Mathematics, Science and Technology (IJEMST)",2147-611X,10.0,https://doi.org/10.46328/ijemst.2290,
25,other,['FKIP11'],"[{'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Herpratiwi', 'honourific': None, 'given': 'Herpratiwi'}}, {'name': {'family': 'Ahmad', 'honourific': None, 'lineage': None, 'given': 'Tohir'}, 'id': 'ahmadtohir182@gmail.com'}]",disk0/00/03/85/27,2022-01-27 11:51:21,863,,2022-01-27 11:51:21,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 38527, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159635', 'docid': 159635, 'main': 'learning internet and.....pdf', 'files': [{'datasetid': 'document', 'filesize': 3369440, 'mime_type': 'application/pdf', 'fileid': 436237, 'filename': 'learning internet and.....pdf', 'hash': 'b422bc5839c0d4975299a61c329468da', 'mtime': '2022-01-27 09:24:22', 'hash_type': 'MD5', 'objectid': 159635, 'uri': 'http://repository.lppm.unila.ac.id/id/file/436237'}]}]",,unpub,,http://repository.lppm.unila.ac.id/id/eprint/38527,public,38527,,,,,2022-01-27 11:51:21,archive,"In the education process, almost all skills, knowledge, habits, and attitudes are developed through the learning process. Achieving good learning outcomes involves several components, such as interests, talents, good psychological factors, abilities, motivation, attitudes, maturity, discipline, and others. This study aims to determine the influence of learning interest and discipline on learning motivation. The population was university students, and the sample of the study was all students who took the basic course of curriculum development in 2019-2020, totaling 38 students. Data analysis was performed to describe the condition of each research variable learning interest, discipline, and learning motivation. Data were then analyzed by ANOVA with SPSS Program Version 16. In this study, we found that interest in learning and discipline significantly influenced learning motivation. This relation can be seen in the value of the ANOVA analysis was statistically significant (p < 0.05). Interest in learning influences learning motivation, and this also applies to disciplines that have a strong influence on student motivation. Thus, student learning motivation can be increased by high effort and attention in increasing and developing student interest and discipline. The interest in learning and discipline has a positive influence on learning motivation. Learning motivation is not only influenced by interest and discipline but in this study, it is only limited to interest and discipline, which affect students' learning motivation. Other researchers can do related research talents, good psychological factors, abilities, or attitudes.",['L1'],,learning interest,,show,7,,,PeerReview,,,,,
26,other,['FKIP11'],"[{'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Herpratiwi', 'lineage': None, 'given': 'Herpratiwi'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Bambang', 'given': 'Setiyadi'}}, {'id': None, 'name': {'honourific': None, 'family': 'Riswandi', 'lineage': None, 'given': 'Riswandi'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'candra ertikanto', 'given': 'Ertikanto'}}, {'id': 'sugiyanto.1957@eng.unila.ac.id', 'name': {'given': 'Sugiyanto', 'honourific': None, 'family': 'Sugiyanto', 'lineage': None}}]",disk0/00/02/20/92,2020-06-09 01:11:08,863,,2020-06-09 01:11:08,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/35488', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/203540', 'objectid': 35488, 'filesize': 362691, 'datasetid': 'document', 'hash': 'e5548bff7c195eebb2c58d77544f93fe', 'filename': '6. Building Students JSSH....,Her Cheker.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-08 07:26:22', 'mime_type': 'application/pdf', 'fileid': 203540}], 'main': '6. Building Students JSSH....,Her Cheker.pdf', 'docid': 35488, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 22092}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/22092,public,22092,,,,,2020-06-09 01:11:08,archive,"ABSTRACT
The scientific method is a popular mechanism through which science teachers can impact students’ cognitive domains and academic nature. The purpose of this study is to analyze
the implementation of the scientific method of teaching social science subjects and educational character in the affective domain. To do so, we engaged in research using quasiexperimentalmethods.
A random sample of 40 students was chosen. Data were collected using a questionnaire on students’character consisting of three aspects: reasoning, feeling,and behavior. The data have a normal distribution with a significant value of 0.966 and are homogeneous with a significant value of 0.100 > 0.05. The data were analyzed using a paired sample T-test. The character value of social studies learners, after being taught using the scientific method, was higher than ever with a significance of 0.000 < 0.05. The character of students in the affective domain was influenced by the feelings aspect resulting from the scientific method. Thus, using the scientific method in educational interventions improved the character of fifth-grade elementary school students.
Keywords:  Affective domain, elementary school, character education, scientific method",['L1'],,"Building Students’ Character in Elementary School through
the Scientific Method: A Case Study of the Lampung Province",,show,12,,,pertanika,,,,,
27,article,['FKIP11'],"[{'name': {'given': 'Herpratiwi', 'lineage': None, 'honourific': None, 'family': 'Herpratiwi'}, 'id': 'herpratiwi64@yahoo.com'}, {'name': {'lineage': None, 'family': 'Darsono', 'honourific': None, 'given': 'Darsono'}, 'id': 'darsono.uns.solo@gmail.com'}, {'name': {'given': 'Enny', 'lineage': None, 'family': 'Saswiyanti', 'honourific': None}, 'id': None}, {'name': {'given': 'P', 'lineage': None, 'family': 'Pujiati', 'honourific': None}, 'id': 'pujiatifkipunila@gmail.com'}]",disk0/00/00/87/77,2018-10-26 10:09:07,863,81-98,2018-10-26 10:09:07,"[{'docid': 21855, 'main': 'Eurasian Journal.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85430', 'objectid': 21855, 'filename': 'Eurasian Journal.pdf', 'hash': 'ee5af5c4a7ae71698ecac123511d0378', 'mtime': '2018-08-31 20:16:12', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 85430, 'filesize': 7213741, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21855', 'rev_number': 2, 'eprintid': 8777, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8777,public,8777,,completed,,"[{'type': 'pub', 'url': 'http://www.ejer.com'}]",2018-10-26 10:09:07,archive,"the research objective was to compare student's learning achievement for sociable learning motivation students in social science using cooperative learning. this research used a quasi experimental method with a pretest/posttest design involving 35 fifth-grade students. the learning process was conducted four times in one semester. the social science learning outcome was measurred using an essay test comprising eight items.the data concerning sociable learning motivation were obtained from a questionnaire comprising 29 items, with a=0.956.using a paired sample t test, the analysis showed that there was significant increase in student's motivation after implementing cooperative learning. the result also showed a positive correlation between student's curiosity and their perseverance in doing the task. the result of this research confirm that cooperative learning can significantly increase student's motivation. teachers should attempt to implement cooperative learning in their classes to ensure student's motivation to learn.",['LB1501'],http://www.ejer.com/tr,Cooperative learning and learning achievement in social science subjects for sociable students,,show,11,,18.0,ANI Yayincilik,Eurasian Journal of education research,1302-597X,75.0,doi,
28,other,['FKIP11'],"[{'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Herpratiwi', 'given': 'Herpratiwi'}}, {'name': {'given': 'Dwi', 'lineage': None, 'honourific': None, 'family': 'Dwi Yulianti'}, 'id': 'safira_shodiq@yahoo.com'}, {'name': {'lineage': None, 'family': 'Riswandi', 'honourific': None, 'given': 'riswandi'}, 'id': 'riswandi.unila@gmail.com'}, {'name': {'given': 'sowiyah', 'family': 'sowiyah', 'honourific': None, 'lineage': None}, 'id': None}]",disk0/00/01/55/75,2019-11-14 11:23:05,863,,2019-11-14 11:23:05,"[{'files': [{'objectid': 28700, 'uri': 'http://repository.lppm.unila.ac.id/id/file/134224', 'datasetid': 'document', 'filesize': 985600, 'mime_type': 'application/msword', 'fileid': 134224, 'hash': '9617ca64fa328782bde04ab6d1e77be2', 'filename': 'LAPORAN PENGABDIAN 19 Diseminasi.doc', 'hash_type': 'MD5', 'mtime': '2019-11-05 04:10:47'}], 'main': 'LAPORAN PENGABDIAN 19 Diseminasi.doc', 'docid': 28700, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28700', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 15575, 'mime_type': 'application/msword', 'language': 'en'}]",,inpress,,http://repository.lppm.unila.ac.id/id/eprint/15575,public,15575,,,,,2019-11-14 11:23:05,archive,"Tujuan pendidikan dan pelatihan adalah meningkatkan: (1) pengetahuan guru terhadap model pendidikan karakter, dan (2) keterampilan guru mempergunakan model pembelajaran pendidikan karakter berbasis kearifan lokal.

Pelatihan menggunakan metode diskusi, pemberian tugas dan tanyajawab. Evaluasi dilakukan selama proses pelatihan dan di akhir pelatihan. Hasil evaluasi di kategorikan menjadi tiga yaitu tinggi, sedang dan rendah.

Kesimpulan dari kegiatan pelatihan ini adalah terdapat: (1) peningkatan pengetahuan terhadap model pendidikan karakter sebesar 67,56% dan (2) peningkatan keterampilan guru untuk mempergunakan model pembelajaran pendidikan karakter berbasis kearifan lokal sebesar 67,11%/

Kata Kunci: pendidikan dan pelatihan, pendidikan karakter, sekolah dasar",['L1'],,PENDIDIKAN DAN PELATIHAN PENDIDIKAN KARAKTER BERBASIS KEARIFAN LOKAL DI SEKOLAH DASAR PROVINSI  LAMPUNG,,show,7,,,Universitas Lampung,,,,,
29,other,['FKIP11'],"[{'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'family': 'Herpratiwi', 'honourific': None, 'lineage': None, 'given': 'Herpratiwi'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Dwi Yulianti', 'given': 'Yulianti'}}, {'id': None, 'name': {'given': 'Riswandi', 'lineage': None, 'honourific': None, 'family': 'Riswandi'}}]",disk0/00/01/50/06,2019-11-04 01:59:01,863,,2019-11-04 01:59:01,"[{'eprintid': 15006, 'security': 'public', 'placement': 1, 'mime_type': 'application/msword', 'language': 'en', 'main': 'Lap Pengabdian 19 Prodi.doc', 'docid': 28142, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/129379', 'objectid': 28142, 'hash_type': 'MD5', 'mtime': '2019-11-02 07:43:25', 'filename': 'Lap Pengabdian 19 Prodi.doc', 'hash': '42f3f5c1c82a632e41d90fe11afa00e8', 'fileid': 129379, 'mime_type': 'application/msword', 'filesize': 835072, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28142'}]",,submitted,,http://repository.lppm.unila.ac.id/id/eprint/15006,public,15006,,,,,2019-11-04 01:59:01,archive,"Kegiatan bertujuan agar guru memperoleh peningkatan pengetahuan tentang media dan informasi  dalam pembelajaran serta mampu menggunakan media dan informasi sebagi sumber belajar. Metode yang akan digunakan adalah pelatihan dengan teknik diskusi, tanya jawab, simulasi, tugas kelompok dan pemberian tugas. Sasaran kegiatan  adalah guru SD di Kota Bandar Lampung  yang sudah tersertifikasi. Pelatihan dilakukan dengan tiga siklus. Pre tes dan post tes dilakukan dengan tes pengetahuan yang berjumlah 5 butir berbentuk uraian, dan tes keterampilan mengakses media serta informasi dari internet dengan soal analisis kasus berjumlah 3 butir.
Hasil pelatihan adalah pengetahuan guru SD hasil pretes 39.92% dan hasil pos tes 87.12%, terjadi peningkatan 47,18%. Dan keterampilan guru SD hasil pretes 25,43% dan hasil pos tes 62.50%, terjadi peningkatan 37,07%.


Kata kunci: literasi media, informasi, guru SD, tersertifikasi",['L1'],,Pelatihan Literasi Media dan Informasi Bagi Guru SD Tersertifikasi Di Bandar Lampung,,show,7,,,Sakai Sambayan LPPM Universitas Lampung,,,,,
30,other,['FKIP11'],"[{'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'lineage': None, 'family': 'Herpratiwi', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Dwi Yulianti', 'lineage': None, 'given': 'Yulianti'}, 'id': None}, {'id': None, 'name': {'given': 'Riswandi', 'honourific': None, 'family': 'Riswandi', 'lineage': None}}, {'name': {'lineage': None, 'family': 'sowiyah', 'honourific': None, 'given': 'sowiyah'}, 'id': None}]",disk0/00/01/49/78,2019-11-04 02:00:12,863,,2019-11-04 02:00:12,"[{'language': 'en', 'mime_type': 'application/msword', 'security': 'public', 'placement': 1, 'eprintid': 14978, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28109', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/129159', 'objectid': 28109, 'hash': 'a48031a26cda92b2ca33735d40773929', 'filename': 'LAPORAN PENGABDIAN 19 Diseminasi.doc', 'hash_type': 'MD5', 'mtime': '2019-11-02 03:28:03', 'mime_type': 'application/msword', 'fileid': 129159, 'filesize': 991232, 'datasetid': 'document'}], 'main': 'LAPORAN PENGABDIAN 19 Diseminasi.doc', 'docid': 28109}]",,unpub,,http://repository.lppm.unila.ac.id/id/eprint/14978,public,14978,,,,,2019-11-04 02:00:12,archive,"Tujuan pendidikan dan pelatihan adalah meningkatkan: (1) pengetahuan guru terhadap model pendidikan karakter, dan (2) keterampilan guru mempergunakan model pembelajaran pendidikan karakter berbasis kearifan lokal.Pelatihan menggunakan metode diskusi, pemberian tugas dan tanyajawab. Evaluasi dilakukan selama proses pelatihan dan di akhir pelatihan. Hasil evaluasi di kategorikan menjadi tiga yaitu tinggi, sedang dan rendah.

Kesimpulan dari kegiatan pelatihan ini adalah terdapat: (1) peningkatan pengetahuan terhadap model pendidikan karakter sebesar 67,56% dan (2) peningkatan keterampilan guru untuk mempergunakan model pembelajaran pendidikan karakter berbasis kearifan lokal sebesar 67,11%/

Kata Kunci: pendidikan dan pelatihan, pendidikan karakter, sekolah dasar",['L1'],,PENDIDIKAN DAN PELATIHAN PENDIDIKAN KARAKTER BERBASIS KEARIFAN LOKAL DI SEKOLAH DASAR PROVINSI LAMPUNG,,show,8,,,universitas lampung,,,,,
31,article,['FKIP11'],"[{'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'lineage': None, 'family': 'Herpratiwi', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Erni', 'honourific': None, 'given': 'erni'}}, {'name': {'given': 'Astuti', 'lineage': None, 'honourific': None, 'family': 'Nelly'}, 'id': None}, {'id': None, 'name': {'given': 'Qomario', 'family': 'Qomario', 'honourific': None, 'lineage': None}}]",disk0/00/01/88/09,2020-03-30 01:08:34,863,192-205,2020-03-30 01:08:34,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32014', 'rev_number': 2, 'main': '91103_Herpratiwi_2019_E_R1.pdf', 'docid': 32014, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/157912', 'objectid': 32014, 'filesize': 284764, 'datasetid': 'document', 'mtime': '2020-03-19 02:55:15', 'hash_type': 'MD5', 'filename': '91103_Herpratiwi_2019_E_R1.pdf', 'hash': 'ba3351a32a2765f7993b2e9d95d7f2d5', 'fileid': 157912, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 18809, 'placement': 1, 'security': 'public'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/18809,public,18809,,completed,,,2020-03-30 01:08:34,archive,"This study aimed to analyse the effect of cooperative learning through a thematic team-games tournament in elementary school in Lampung Province. This was a quasi-experimental one-group pretestposttest study. The study involved 22 students. The data wascollected from tests with five short-answer questions and 20 multiple-choice questions. The items measured were remembering, understanding, applying,and analysing. The reliability of the items fell into very high (0.92) and moderate to high (0.50 –0.87) categories of validity. The discrimination power of the test fell into the good category (0.41–0.70) with a moderate level of difficulty (0.31–0.70). The data wasanalysedwith a t-test. The learning outcomes of the fifth-grade students of elementary school were influenced by the cooperative learning in the teams-gamestournament with a significance level of 5%. The cooperative learning in a team-games tournament played an important role in increasing the fifth-grade students’ learning outcomes.",['L1'],https://www.ijicc.net/images/vol9iss11/91103_Herpratiwi_2019_E_R1.pdf,The  Implementation  of  a  Thematic Team Games Tournament –Cooperative   Learning in   the   Fifth Grade of    Elementary    School in Lampung Province,,show,7,,11.0,"International Journal of Innovation, Creativity and Change",https://www.ijicc.net/images/vol9iss11/91103_Herpratiwi_2019_E_R1.pdf,2201-1323,9.0,,
