,eprintid,date_type,official_url,title,metadata_visibility,rev_number,volume,status_changed,eprint_status,abstract,subjects,creators,issn,publication,date,dir,type,divisions,documents,publisher,ispublished,number,refereed,full_text_status,uri,userid,lastmod,pagerange,datestamp,pages,monograph_type,place_of_pub,institution,department,event_dates,event_type,event_location,event_title,pres_type,contact_email,related_url,id_number,corp_creators,contributors,isbn,editors,series
10,3881,published,https://journal.unnes.ac.id/nju/index.php/komunitas,"Reflection of Identity through the Use of Bintil Language    
in Gaya Lentera Muda Community Lampung",show,9,9.0,2017-09-04 01:54:44,archive,"Effeminate language reflects the effeminate characters which is sensitive because basically effeminate men are creative people. Therefore, the effeminate language represents the creativity forms of language as slang words which are fascinating, brief, and recall simply. This research found the difference among Gay, Effeminate Men, and LSL is only at their intonation when they are stating the language. Because through the intonation it can give their own intention to theirself and there are 42 words examples which are usually used in community, for the examples: Eke Senandung sama Kanua, Apa kabose, Banjaran, Benyong, Bodrek, Barbie, Pepsi/Kencana wungu, Centong, Capcus, Dese, Duta, Endul/Endang, Gedung, Gilda/Gilingan, Hitachi/Puput melati, Greton/Gretongan, Inang, Eim/Ember/Um, Jalinan kasih, Jengong, Lagi apose, Lapangan bola, Lekong/Laksa, Lambreta, Lupus, Maharani/Mehong, Makarena/Mekong, Malay, Mandala, Maram/Murka/Merong, Mawar kemandul, Mebra/Motorola, Pecongan, Pere’/Pewong /Racun, Polo/Polda, Puyung hai/Peniti/Puspa, Sepiring/Sepoi, Sindang, Sirsak, Tinta dan Tandus. Bintil language  among gay,  transgender and LSL is commonly use in everyday life.",['H1'],"[{'id': None, 'name': {'family': 'Imelda', 'honourific': None, 'lineage': None, 'given': 'Oktora'}}, {'id': 'tina.kartika@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Tina', 'lineage': None, 'given': 'kartika'}}]",2460-7320,Komuntas:  International Journal Indonesian Society and Culture,2017-03-01 00:00:00.000000000,disk0/00/00/38/81,article,['FISIP4'],"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/27165', 'objectid': 3740, 'filesize': 320889, 'datasetid': 'document', 'mtime': '2017-08-28 11:44:59', 'hash_type': 'MD5', 'filename': '4968-24203-1-PB, Komunitas.pdf', 'hash': '38993b93d7ea16a8bca9dd1398a86a72', 'fileid': 27165, 'mime_type': 'application/pdf'}], 'main': '4968-24203-1-PB, Komunitas.pdf', 'docid': 3740, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3740', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3881, 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Negeri Semarang,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3881,604,2017-09-04 01:54:44,143-149,2017-09-04 01:54:44,,,,,,,,,,,,,10.15294/komunitas.v9i1.4968,,,,,
11,6453,published,,Perpustakaan Digitak Sebagai Upaya Pemenuhan Kebutuhan Life Long Education Bagi Masyarakat di Era Digital,show,7,1.0,2018-03-21 02:17:05,archive,Perkembangan teknologi informasi dan komunikasi (TIK) di era digital telah memberikan dampak besar terhadap perubahan kehidupan masyarakat. Salah satu dampak tersebut adalah perubahan dan kebiasaan masyarakat dalam mencari informasi. Perubahan tersebut telah disikapi dengan cepat oleh perpustakaan dengan menyediakan layanan perpustakaan digital. Maksud perpustakaan menyediakan layanan perpustakaan digital merupakan sebuah upaya untuk bisa memenuhi kebutuhan informasi serta menjadi pusat life long education bagi masyarakat di era digital saat ini. Tulisan ini bertujuan untuk mengetahui gambaran perkembangan perpustakaan digital sebagai upaya pemenuhan kebutuhan life long education masyarakat di era digital. Adapun metode yang digunakan adalah studi literatur dengan mengumpulkan beberapa sumber untuk mengembangkan ide dan gagasan dalam tulisan.,['Z665'],"[{'id': None, 'name': {'given': 'Eri', 'honourific': None, 'family': 'Maryani', 'lineage': None}}, {'id': 'andiwindah@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Windah', 'given': 'Andi'}}]",25989464,Tawit Pustaka Jurnal Perpustakaan dan Informasi Ilmiah,2017-11-01 00:00:00.000000000,disk0/00/00/64/53,article,['FISIP4'],"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 6453, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19397', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/59796', 'objectid': 19397, 'hash_type': 'MD5', 'mtime': '2018-02-09 05:01:36', 'hash': 'e71167091cafc885a115adc80299e6ff', 'filename': 'TAwit 1.pdf', 'fileid': 59796, 'mime_type': 'application/pdf', 'filesize': 15921385, 'datasetid': 'document'}], 'main': 'TAwit 1.pdf', 'docid': 19397}]",Dinas Perpustakaan dan Kearsipan Provinsi Lampung,pub,2.0,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/6453,281,2018-03-21 02:17:05,27-39,2018-03-21 02:17:05,,,,,,,,,,,,,,,,,,
12,7823,published,http://jurnal.fisip.unila.ac.id/index.php/metakomonline,Pemikiran Kelompok Dalam Komunitas Untuk Pengembangan Skill Anggota,show,11,1.0,2018-06-26 08:03:05,archive,"This article describe the role of groupthink in Komunitas Instameet Lampung in aim improving the skill of it members. The research worked in qualitative inquiry and use Groupthink Theory. The result shows that the community uses small group communication to built groupthink which creates cohesivity and strong solidarity between members. This make an individual sacrifice to group objectives. Increases ability of community members seen on the intensity of the participation of members. However, the research also found domination of majority when taking a group decision meanwhile there’s some different ideas from minority. 
Keywords : Community, Groupthink Theory, Group Communication","['H1', 'HT']","[{'name': {'given': 'Ardiansyah', 'family': 'Prima', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'ahmad.rudy@unila.ac.id', 'name': {'given': 'Ahmad Rudy', 'lineage': None, 'honourific': None, 'family': 'Fardiyan'}}]",2443-3691,MetaKom Online,2017-09-30 00:00:00.000000000,disk0/00/00/78/23,article,['FISIP4'],"[{'eprintid': 7823, 'placement': 1, 'security': 'public', 'mime_type': 'text/html', 'language': 'id', 'content': 'published', 'docid': 20860, 'main': 430, 'files': [{'datasetid': 'document', 'filesize': 13822, 'mime_type': 'text/html', 'fileid': 70005, 'filename': 430, 'hash': 'dee129f1e7ff61537b1b5f6f52255d7b', 'hash_type': 'MD5', 'mtime': '2018-06-26 04:35:18', 'objectid': 20860, 'uri': 'http://repository.lppm.unila.ac.id/id/file/70005'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20860', 'rev_number': 3, 'formatdesc': 'Pemikiran Kelompok Dalam Komunitas Untuk Pengembangan Skill Anggota'}]",Jurusan Ilmu Komunikasi - FISIP Unila,pub,2.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/7823,34,2018-06-26 08:03:05,11-22,2018-06-26 08:03:05,,,,,,,,,,,,[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/metakomonline/article/view/430/338'}],,,,,,
13,6504,published,http://www.pertanika.upm.edu.my,"Intercultural Communication among the Local Elites in
Indonesia (A Study in Banten Province)",show,14,25.0,2018-02-28 08:01:50,archive,"Research on intercultural communication with respect to cultural differences in an ethnic
group has rarely been undertaken. Thus, this study is proposes a communication model
among elites (namely ulamaks) in Menes district, Banten province, Indonesia using
Goffman’s (1974) dramaturgy theory. Data was obtained from 24 informants from the
district of Menes-Banten based on interviews, observation and documents. Findings show
that Goffman’s impression management theory cannot be fully accepted, particularly
ulama’s impression management model.
Keywords: Intercultural communication, local elites, impression management, Indonesia",['H1'],"[{'id': 'karomani@kpa.unila.ac.id', 'name': {'family': 'Prof. Dr. Karomani, M.Si', 'honourific': None, 'lineage': None, 'given': '.'}}]",0128-7702,Pertanika Journal of Social Sciences and Humanities,2017-12-01 00:00:00.000000000,disk0/00/00/65/04,article,['FISIP4'],"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/60219', 'objectid': 19451, 'hash': '56763811bb52f139fc0f9329e613c740', 'filename': '08 JSSH-1513-2016-4thProof.pdf', 'mtime': '2018-02-20 08:09:00', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 60219, 'filesize': 459961, 'datasetid': 'document'}], 'docid': 19451, 'main': '08 JSSH-1513-2016-4thProof.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19451', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6504, 'mime_type': 'application/pdf', 'language': 'en'}]",Universiti Putra Malaysia Press,pub,4.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6504,1095,2018-02-28 08:01:50,1601-1612,2018-02-28 08:01:50,,,,,,,,,,,,[{'url': 'http://www.pertanika.upm.edu.my/Pertanika%20PAPERS/JSSH%20Vol.%2025%20(4)%20Dec.%202017%20(View%20Full%20Journal).pdf'}],,['Universitas Lampung'],,,,
14,2963,,http://jurnal.fisip.unila.ac.id/index.php/metakomonline,Kekerasan Verbal Mahasiswa Senior Terhadap Mahasiswa Junior Dalam Relasi Intersubjektif,show,8,1.0,2017-06-07 09:23:20,archive,"Kekerasan verbal adalah penggunaan kata-kata, kalimat, dan unsur-unsur bahasa lain yang disampaikan dengan cara-cara tertentu untuk tujuan represi. Kasus kekerasan verbal yang terjadi di Jurusan Teknik Sipil Fakultas Teknik Universitas Lampung diindikasi telah menjadi tradisi yang berlangsung terus-menerus dalam lingkungan kampus. Penelitian ini bertujuan untuk menganalisis kekerasan verbal yang terjadi di lingkungan kampus tersebut dan mengungkap faktor yang melatarbelakangi fenomena itu. Dengan pendekatan kualitatif, penelitian ini menggunakan konsep teori konvergensi simbolik rnest Bormann dan banality of evil Hannah Arendt. Hasil penelitian menunjukkan bahwa kekerasan verbal saat Propti/Makrab diafirmasi oleh mahasiswa karena dianggap perlu untuk meningkatkan motivasi diri, memperkuat karakter, kolektivitas, kepemimpinan, dan pencapaian. Kekerasan verbal telah menjadi banal dalam lingkungan kampus Jurusan Teknik Sipil Universitas Lampung",['HN'],"[{'name': {'family': 'Syakirah', 'honourific': None, 'lineage': None, 'given': 'Fadhilah'}, 'id': None}, {'id': 'ahmad.rudy@unila.ac.id', 'name': {'lineage': None, 'family': 'Fardiyan', 'honourific': None, 'given': 'Ahmad Rudy'}}]",2443-3691,MetaKom Online,2017-03-01 00:00:00.000000000,disk0/00/00/29/63,article,['FISIP4'],"[{'placement': 1, 'security': 'public', 'eprintid': 2963, 'content': 'published', 'mime_type': 'text/html', 'language': 'en', 'files': [{'hash': '4f858a2c3de0828d8f33ba4f3b5bacc9', 'filename': 'current', 'hash_type': 'MD5', 'mtime': '2017-06-02 03:01:23', 'mime_type': 'text/html', 'fileid': 20481, 'filesize': 9855, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/20481', 'objectid': 2847}], 'docid': 2847, 'main': 'current', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2847', 'rev_number': 3, 'formatdesc': ""Journal article's"", 'pos': 1, 'format': 'text'}]",Jurusan Ilmu Komunikasi - FISIP Unila,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/2963,34,2017-06-07 09:23:20,39-52,2017-06-07 09:23:20,,,,,,,,,,,,,,,,,,
15,12433,,http://shieldproceeding.uprci.com/home/journal,Dramaturgy Study On Communications By Gay In Bandar Lampung,show,9,,2019-05-10 03:25:56,archive,"ABSTRACT


DRAMATURGY STUDY ON COMMUNICATIONS BY GAY IN BANDAR LAMPUNG

By

TONI WIJAYA, S.SOS., M.A.
(Department of Communication, Faculty of Social and Political Sciences, University of Lampung)


LGBT current issues at this time, particularly gay, have been growing and complicated. This issuesaffects the style of communicationthey used to. This phenomenonsmake researcher interested in conducting research with the aim to know the communication style used by gay in the city of Bandar Lampung. Research methods used in this study is a qualitative with dramaturgy study. To answer the above problems, researcher raised the sub focus for research as follows: frontstagecommunication style. The subject of the research is the gay or homosexual. The informants is selected by using purposive technique, research informants amounted to 8 (eight) gay peoples. Communications style that became the reference in this study i.e. the animation style and impression style. The research results showed that almost all gays played the front Stage in accordance with their role in society, they acted like anactor performing in a stage play. 

Keywords: Communication Style, Gay, Dramaturgy.",['H1'],"[{'id': 'suratoni@gmail.com', 'name': {'given': 'Toni', 'lineage': None, 'family': 'Wijaya', 'honourific': None}}]",,,2017-09-18 00:00:00.000000000,disk0/00/01/24/33,conference_item,['FISIP4'],"[{'security': 'public', 'placement': 1, 'eprintid': 12433, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 25413, 'uri': 'http://repository.lppm.unila.ac.id/id/file/110625', 'datasetid': 'document', 'filesize': 12790547, 'mime_type': 'application/pdf', 'fileid': 110625, 'hash': 'd5dd51aba33b7143bad0d8d5510d31c5', 'filename': 'Prosiding 2nd shield.pdf', 'mtime': '2019-05-10 02:58:27', 'hash_type': 'MD5'}], 'docid': 25413, 'main': 'Prosiding 2nd shield.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25413', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/12433,688,2019-05-10 03:25:56,412-418,2019-05-10 03:25:56,,,,,,18-20 September 2017,conference,Bandar Lampung,International conference 2nd SHIELD 2017,speech,,,,,,,,
16,3035,published,http://jurnal.fisip.unila.ac.id/index.php/metakomonline/issue/current,PENGARUH PESAN IKLAN LINE VERSI FILM ADA APA DENGAN CINTA MINI DRAMA TERHADAP PENGGUNAAN FITUR FIND ALUMNI DI KOTA BANDAR LAMPUNG,show,7,1.0,2017-06-05 01:48:40,archive,"Penelitian ini bertujuan untuk mengetahui pengaruh pesan iklan LINE Versi Film Ada Apa Dengan Cinta mini drama terhadap penggunaan Fitur Find Alumni di LINE messenger. Penelitian ini merupakan penelitian kuantitatif dengan pendekatan survey. Dalam penelitian ini menggunakan teori Pesan Iklan dan AIDDA (Attention, Interest, Desire, Decision, Action). Populasi penelitian ini adalah pengguna LINE messenger di Bandar Lampung dan diambil sebanyak 100 sampel. Teknik analisis yang digunakan adalah analisis regresi linear sederhana. Hasil penelitian ini dapat disimpulkan bahwa Pesan Iklan LINE Versi Film Ada Apa Dengan Cinta mini drama berpengaruh signifikan terhadap penggunaan Fitur Find Alumni di Kota Bandar Lampung sebesar 47,74%. Pengujian Hipotesis pesan iklan (isi pesan, struktur pesan, format pesan, dan sumber pesan) secara simultan menunjukkan Fhitung > Ftabel dengan taraf signifikansi 5% yaitu 89.354 > 3,09 sehingga H0 ditolak dan Ha diterima, dengan demikian dapat disimpulkan bahwa terdapat pengaruh secara signifikan antara variabel pesan iklan dengan keputusan konsumen menggunakan Fitur Find Alumni dengan tingkat korelasi kuat.

Kata kunci: Pesan Iklan, Penggunaan Find Alumni, LINE messenger",['H1'],"[{'name': {'given': 'Toni', 'family': 'Wijaya', 'honourific': None, 'lineage': None}, 'id': 'suratoni@gmail.com'}]",2334-3691,METAKOM,2017-03-01 00:00:00.000000000,disk0/00/00/30/35,article,['FISIP4'],"[{'main': 'current', 'docid': 2906, 'files': [{'mime_type': 'text/html', 'fileid': 20942, 'filename': 'current', 'hash': '4f858a2c3de0828d8f33ba4f3b5bacc9', 'hash_type': 'MD5', 'mtime': '2017-06-02 04:25:47', 'datasetid': 'document', 'filesize': 9855, 'objectid': 2906, 'uri': 'http://repository.lppm.unila.ac.id/id/file/20942'}], 'pos': 1, 'format': 'text', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2906', 'eprintid': 3035, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'text/html', 'content': 'published'}]",Jurusan llmu Komunikasi Universitas Lampung,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3035,688,2017-06-05 01:48:40,25-37,2017-06-05 01:48:40,,,,,,,,,,,,,,,,,,
17,3883,published,http://jurnal.fisip.unila.ac.id/index.php/sosiologi,"IT’S YOUR TURN, OFFICER!:THE INP’S NEW VISIBILITY THROUGH SOCIAL MEDIA (CASE STUDY OF EVANS’ BRIMOB FACEBOOK STATUS)",show,11,19.0,2017-09-04 01:55:00,archive,"History has proved that police have always had opposing view regarding sharing and disseminating information to the public, especially when their state of reputation, legitimacy and accountability are taken into account. Undoubtedly, media have always played important parts in the hurdle. The presence of media is inseparable with police institution, including the current media technologies, social media. The same condition also applies to The Indonesian National Police (INP) with the case of Evans BRIMOB Facebook’s status. The case is believed to present a new type of visibility to the INP’s institution. Utilizing documentary analysis as well as literature review as main methods in studying the case, this article aims to identify on how the case alter of the INP’s visibility and Facebook’s contribution during the process. Using the new visibility consept offered by Thompson, it is found that, Evans’s status had raised the INP’s visibility by exposing the exemplary of its member improper manner. Meanwhile, Facebook has lifted the INP’s visibility by facilitating greater exposure over the INP’s inadvertent performance. In conclusion, the case has alter not only the INP’s visibility to its public but also reinforce the institution to adopt Facebook as one of its information sharing platforms.","['H1', 'HE']","[{'id': 'andiwindah@gmail.com', 'name': {'given': 'Andi', 'family': 'Windah', 'honourific': None, 'lineage': None}}]",14110040,sosiologi,2017-03-01 00:00:00.000000000,disk0/00/00/38/83,article,['FISIP4'],"[{'docid': 3743, 'main': '8. Andi Windah_2017.pdf', 'files': [{'datasetid': 'document', 'filesize': 540463, 'mime_type': 'application/pdf', 'fileid': 27188, 'hash': 'a24f6807c3b8e3a443721cc4d516d803', 'filename': '8. Andi Windah_2017.pdf', 'hash_type': 'MD5', 'mtime': '2017-08-31 06:05:07', 'objectid': 3743, 'uri': 'http://repository.lppm.unila.ac.id/id/file/27188'}], 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3743', 'rev_number': 1, 'eprintid': 3883, 'security': 'public', 'placement': 2, 'mime_type': 'application/pdf', 'language': 'en'}]",jurusan sosiologi FISIP UNILA,pub,1.0,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/3883,281,2017-09-04 01:55:00,53-63,2017-09-04 01:55:00,,,,,,,,,,,,,,,,,,
18,20052,published,,Buku Ajar: Teknik Lobi dan Negosiasi,show,8,1.0,2020-05-19 02:52:18,archive,"Seringkali orang awam akan menangkap kesan bahwa lobi dan negosiasi merupakan istilah lain untuk mengatakan “keterlibatan dalam konflik”. Namun menurut Oxford Dictionary negosiasi didefinisikan sebagai: “pembicaran dengan orang lain dengan maksud untuk mencapai kompromi atau kesepakatan, untuk mengatur atau mengemukakan.” Istilah-istilah lain kerap digunakan pada proses ini seperti: pertawaran, tawar-menawar, perundingan, perantaraan atau barter. Walau mengandung konflik, lobby atau negosiasi sejatinya merupakan cara yang paling efektif untuk mengatasi dan menyelesaikan konflik atau perbedaan kepentingan. Dengan mengembangkan kemampuan lobby dan negosiasi, setiap pihak bisa mendapatkan apa yang dibutuhkannya tanpa harus melakukan cara-cara ekstrim, seperti perang, pemaksaan, atau perebutan. Dengan kata lain negosiasi adalah kegiatan yang dilakukan untuk mencapai suatu keadaan yang dapat diterima kedua belah pihak. Negosiasi diperlukan ketika kepentingan seseorang atau suatu kelompok tergantung pada perbuatan orang atau kelompok lain yang juga memiliki kepentingan-kepentingan tersebut harus dicapai dengan jalan mengadakan kerjasama. Negosiasi adalah pertemuan antara dua pihak dengan tujuan mencapai kesepakatan atas pokok-pokok masalah yang : 1. Penting dalam pandangan kedua belah pihak 2. Dapat menimbulkan konflik di antara kedua belah pihak 3. Membutuhkan kerjasama kedua belah pihak untuk mencapainya. Dalam bab ini disajikan materi-materi yang berkaitan dengan konsep dasar dari lobi, negosiasi dan diplomasi, yang meliputi pengertian; tujuan;fungsi, sasaran dan karakteristik dari tiga hal tersebut. Pemberian materi ini diawal perkuliahan  dimaksudkan agar mahasiswa dapat memahami hal-hal yang menjadi konsep dasar dari lobi, negosiasi dan diplomasi.",['H1'],"[{'name': {'given': 'Anna Gustina', 'lineage': None, 'honourific': None, 'family': 'Zainal'}, 'id': 'annarudi76@gmail.com'}]",,,2017-02-01 00:00:00.000000000,disk0/00/02/00/52,book,['FISIP4'],"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 20052, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33385', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/189460', 'objectid': 33385, 'filesize': 812250, 'datasetid': 'document', 'hash': '9589d076d683957dee5e297ccc70d142', 'filename': 'Lobi dan Negosiasi.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-19 02:35:59', 'mime_type': 'application/pdf', 'fileid': 189460}], 'docid': 33385, 'main': 'Lobi dan Negosiasi.pdf'}]",AURA,inpress,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/20052,584,2020-05-19 02:52:18,,2020-05-19 02:52:18,136.0,,Bandar Lampung,,,,,,,,,,,['universitas lampung'],,978-602-6565-80-8,"[{'name': {'family': 'Nizar', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}}]",1.0
19,19644,published,http://ejournal.uin-suka.ac.id/isoshum/profetik/issue/view/222,PENGARUH KECERDASAN EMOSIONAL DAN MOTIVASI TERHADAP KINERJA PENYULUH DI DINAS PERTANIAN KABUPATEN TANGGAMUS,show,7,10.0,2020-05-15 01:58:47,archive,"Unsur birokrasi	yang paling depan,berhadapan langsung dengan petani dan menjadi ujung tombak pengembangan pertanian adalah penyuluh pertanian. Keberadaannya menjadi	sangat penting dalam menentukan	keberhasilan	
kegiatan pembinaan petani. Tujuan penelitian ini untuk	
(1) mengetahui pengaruh	antara variabel	kecerdasan emosional dan motivasi terhadap kinerja penyuluh pertanian;(2).mengetahui pengaruh variabel kecerdasan emosional dan motivasi secara parsial terhadap kinerja penyuluh pertanian (3).membuktikan variabel kecerdasan emosional memiliki pengaruh dominan dibandingkan motivasi terhadap kinerja penyuluh pertanian. Jenis Penelitian	
yang dilakukan adalah survey yang dilakukan terhadap  	
penyuluh pertanian Dinas Pertanian Kabupaten Tanggamus.	Teknik analisis yang digunakan:analisis regresi	
berganda untuk mengetahui pengaruh variabel bebas (X) yang diteliti baik secara bersama-­‐sama maupun parsial	terhadap variabel terikat  (Y). Adapun model	
regresi	linier berganda	harus memenuhi syarat asumsi	
umum regresi dengan melakukan uji heteroskedastisitas,autokorelasi serta multikolinieritas. Berdasarkan hasil analisis Uji F terbukti bahwa variabel bebas berupa kecerdasan emosional (X1), motivasi (X2)	
mempunyai pengaruh yang signifikan terhadap variabel kinerja	(Y)sehingga hipotesa pertama diterima. Sedangkan	
berdasar hasil Uji t terbukti bahwa variabel X secara parsial	berpengaruh secara signifikan terhadap varibel Y sehingga hipotesis kedua diterima. Variabel bebeas yang dominan mempengaruhi kenerja adalah variabel motivasi bukan kecerdasan emosiaonal sehingga hipotesis ketiga ditolak.",['H1'],"[{'id': 'annarudi76@gmail.com', 'name': {'honourific': None, 'family': 'Zainal', 'lineage': None, 'given': 'Anna Gustina'}}]",2549-0168,profetik jurnal komunikasi,2017-10-01 00:00:00.000000000,disk0/00/01/96/44,article,['FISIP4'],"[{'placement': 1, 'security': 'public', 'eprintid': 19644, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 32874, 'uri': 'http://repository.lppm.unila.ac.id/id/file/164012', 'fileid': 164012, 'mime_type': 'application/pdf', 'mtime': '2020-05-14 14:15:50', 'hash_type': 'MD5', 'hash': 'ec56edd4af3617d1f74f1600f61526b4', 'filename': 'artikel pengaruh kecerdasan.pdf', 'datasetid': 'document', 'filesize': 267432}], 'docid': 32874, 'main': 'artikel pengaruh kecerdasan.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32874', 'pos': 1, 'format': 'text'}]",Program Studi Ilmu Komunikasi Fakultas Ilmu Sosial dan Humaniora UIN Sunan Kalijaga Yogyakarta,pub,2.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/19644,584,2020-05-15 01:58:47,69-79,2020-05-15 01:58:47,,,,,,,,,,,,[{'url': 'http://ejournal.uin-suka.ac.id/isoshum/profetik/issue/view/222'}],2549-0168,['Universitas Lampung'],,,,
20,20042,published,https://ppjp.ulm.ac.id/journal/index.php/MC/issue/view/465,Strategi Komunikasi Oleh Brand Presenter Dalam Memasarkan  Produk Kepada Konsumen (The Communications Strategy by Brand Presenter in Marketing  Products to Consumers),show,7,2.0,2020-05-19 02:24:20,archive,"The purpose of this study was to describe the communication strategy undertaken by Brand Presenter at PT. Hanjaya Mandala Sampoerna in marketing the product in the region of Bandar Lampung. Discussion of the communication strategy under discussion, discussed using AIDDA theory.  The amount of competition in the tobacco industry makes every cigarette company makes its own communication strategy to attract consumers. Creating a communication strategy is to make a careful calculation of the circumstances and conditions that will be pursued and confronted in order to achieve an objective, or in other words that the use of a communication strategy means using some way of communicating a conscious effort to create change in the audience easily and quickly. The method used in this research is descriptive method with qualitative approach. The results of this study indicate that the communication strategies used by brand presenter using the appropriate role play AIDDA theory. The conclusion of this study is to promote products using a brand presenter theories have AIDDA so that products can be sold in accordance with the desired target company.",['H1'],"[{'id': 'annarudi76@gmail.com', 'name': {'family': 'Zainal', 'honourific': None, 'lineage': None, 'given': 'Anna Gustina'}}]",2356-4490,MetaCommunication; Journal Of Communication Studies,2017-03-08 00:00:00.000000000,disk0/00/02/00/42,article,['FISIP4'],"[{'docid': 33376, 'main': 'Strategi Komunikasi Oleh Brand (MetaComm Maret 2017).pdf', 'files': [{'objectid': 33376, 'uri': 'http://repository.lppm.unila.ac.id/id/file/189394', 'datasetid': 'document', 'filesize': 152560, 'fileid': 189394, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-05-19 01:39:57', 'hash': '00f2b5f950daec2549cd3241c21be13f', 'filename': 'Strategi Komunikasi Oleh Brand (MetaComm Maret 2017).pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33376', 'rev_number': 1, 'eprintid': 20042, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Lambung Mangkurat,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/20042,584,2020-05-19 02:24:20,66-74,2020-05-19 02:24:20,,,,,,,,,,,,[{'url': 'https://ppjp.ulm.ac.id/journal/index.php/MC/issue/view/465'}],,['Universitas Lampung'],,,,
21,18296,published,,Model Pembelajaran Bahasa Lampung Berbasis Kekonteksan Wilayah,show,8,,2020-02-28 05:12:26,archive,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,['AC'],"[{'name': {'given': 'eka', 'family': 'sofia', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'family': 'Aryanti', 'honourific': None, 'lineage': None, 'given': 'Nina Yudha'}, 'id': 'nina.yudha@fisip.unila.ac.id'}]",,,1970-01-01 00:00:00.000002017,disk0/00/01/82/96,other,['FISIP4'],"[{'files': [{'mime_type': 'application/pdf', 'fileid': 154013, 'filename': 'Model Pembelajaran.pdf', 'hash': '54fc0fb275edf0018b2ffb4045acf6ef', 'hash_type': 'MD5', 'mtime': '2020-02-28 05:07:52', 'datasetid': 'document', 'filesize': 527275, 'objectid': 31450, 'uri': 'http://repository.lppm.unila.ac.id/id/file/154013'}], 'docid': 31450, 'main': 'Model Pembelajaran.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31450', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18296, 'mime_type': 'application/pdf', 'language': 'en'}]",Prosiding Kegiatan Ilmiah Tingkat Nasional,pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/18296,595,2020-07-08 04:00:05,,2020-02-28 05:12:26,,,,,,,,,,,,,,,,,,
