,metadata_visibility,rev_number,title,subjects,status_changed,eprint_status,eprintid,full_text_status,uri,publisher,documents,ispublished,datestamp,lastmod,userid,dir,date,creators,divisions,type,publication,refereed,issn,number,contributors,pagerange,corp_creators,date_type,volume,official_url,abstract,id_number,patent_applicant,related_url,place_of_pub,department,institution,pages,monograph_type,contact_email,output_media
10,show,8,"Penilaian Rekan Sejawat : The Communication Strategies Of The Pr Staff Of Bumn
Foundation In Socializing The Vaccination Center Program As
An Effort To Form The Image Of The Corporation",['H1'],2022-03-08 08:04:45,archive,39953,public,http://repository.lppm.unila.ac.id/id/eprint/39953,International Journal of Progressive Sciences and Technologies (IJPSAT),"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161239', 'rev_number': 1, 'docid': 161239, 'main': 'The Comunication.pdf', 'files': [{'fileid': 447204, 'mime_type': 'application/pdf', 'mtime': '2022-03-08 07:22:47', 'hash_type': 'MD5', 'hash': '4e0e34fdd39cb50843ac7454a1d5ed10', 'filename': 'The Comunication.pdf', 'datasetid': 'document', 'filesize': 799598, 'objectid': 161239, 'uri': 'http://repository.lppm.unila.ac.id/id/file/447204'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 39953, 'security': 'public', 'placement': 1}]",pub,2022-03-08 08:04:45,2022-03-08 08:04:45,357,disk0/00/03/99/53,1970-01-01 00:00:00.000002022,"[{'id': 'nanang.trenggono@fisip.unila.ac.id', 'name': {'given': 'Nanang Trenggono', 'family': 'Nanang Trenggono', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'family': 'Nina Yudha Aryanti', 'honourific': None, 'lineage': None, 'given': 'Nina Yudha Aryanti'}}, {'name': {'given': 'Anna', 'lineage': None, 'family': 'Anna Gustina Zainal', 'honourific': None}, 'id': 'anna.gustina@fisip.unila.ac.id'}]",['FISIP4'],other,,,,,,,,,,,,,,,,,,,,,
11,show,8,Adopsi Dan Implementasi Kecakapan Literasi Informasi Dan Literasi Digital Untuk Akselarasi UMKM Di Indonesia Pasca Pandemic Covid-19,"['HE', 'Z665']",2022-06-27 08:26:43,archive,42747,public,http://repository.lppm.unila.ac.id/id/eprint/42747,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/468640', 'objectid': 164466, 'hash_type': 'MD5', 'mtime': '2022-06-27 05:53:55', 'hash': 'd7cf9fe11cd908d770d466d33ec45ba0', 'filename': 'sertifikat_EC00202233519 (2).pdf', 'fileid': 468640, 'mime_type': 'application/pdf', 'filesize': 2095110, 'datasetid': 'document'}], 'docid': 164466, 'main': 'sertifikat_EC00202233519 (2).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164466', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 42747, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2022-06-27 08:26:43,2022-06-27 08:26:43,281,disk0/00/04/27/47,2022-06-02 00:00:00.000000000,"[{'id': 'purwanto.putra@fisip.unila.ac.id', 'name': {'family': 'Purwanto', 'honourific': None, 'lineage': None, 'given': 'Putra'}}, {'id': 'andiwindah@gmail.com', 'name': {'given': 'Andi', 'family': 'Windah', 'honourific': None, 'lineage': None}}]",['FISIP4'],patent,,,,,,,,published,,,Adopsi Dan Implementasi Kecakapan Literasi Informasi Dan Literasi Digital Untuk Akselarasi UMKM Di Indonesia Pasca Pandemic Covid-19,349118,Lembaga Penelitian dan Pengabdian Kepada Masyarakat UNILA,,,,,2.0,,,
12,show,9,Adopsi Dan Implementasi Kecakapan Literasi Informasi Dan Literasi Digital Untuk Akselerasi UMKM Di Indonesia Pasca Pandemic Covid-19,['Z719'],2023-03-13 03:20:54,archive,48914,public,http://repository.lppm.unila.ac.id/id/eprint/48914,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188354', 'main': 'sertifikat_EC00202233519 HAKI_Adopsi Dan Implementasi Kecakapan Literasi Informasi.pdf', 'docid': 188354, 'files': [{'mtime': '2023-03-11 10:21:39', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00202233519 HAKI_Adopsi Dan Implementasi Kecakapan Literasi Informasi.pdf', 'hash': '7ba51c015bf55a780b5be80cd606410e', 'fileid': 532365, 'mime_type': 'application/pdf', 'filesize': 2100028, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/532365', 'objectid': 188354}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 48914, 'security': 'public', 'placement': 1}]",,2023-03-13 03:20:54,2023-03-13 03:20:54,2792,disk0_bak/00/04/89/14,2022-01-31 00:00:00.000000000,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Purwanto Putra', 'given': 'Purwanto'}, 'id': 'purwanto.putra@fisip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Andi Windah', 'honourific': None, 'given': 'Andi Windah'}, 'id': None}, {'id': None, 'name': {'given': 'Tarissa', 'honourific': None, 'family': 'Ana', 'lineage': None}}, {'id': None, 'name': {'given': 'Maulida Putri', 'lineage': None, 'family': 'Saniyyah', 'honourific': None}}]",['FISIP4'],exhibition,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,published,,,,,,,,,,,,,Poster
13,show,10,"ARCHIVUM EST POTENTIA"" UPT Kearsipan Unila: Implementasi 
Penyelenggaraan Kearsipan Sebagai Sumber Informasi Dan Memori Kolektif 
Universitas Lampung",['Z665'],2023-05-12 07:07:46,archive,51483,public,http://repository.lppm.unila.ac.id/id/eprint/51483,FISIP Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51483, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/248814', 'rev_number': 1, 'main': 'Purwanto Putra_FISIP_PD_UPT Kearsipan Unila_final_Laporan Akhir_12_9_2022_Print.pdf', 'docid': 248814, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/609890', 'objectid': 248814, 'filesize': 3355808, 'datasetid': 'document', 'hash': '1da475f270f2c873db1a6c3d8fcb53f1', 'filename': 'Purwanto Putra_FISIP_PD_UPT Kearsipan Unila_final_Laporan Akhir_12_9_2022_Print.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-12 04:30:57', 'mime_type': 'application/pdf', 'fileid': 609890}]}]",unpub,2023-05-12 07:07:46,2023-05-12 07:07:46,2793,disk0_bak/00/05/14/83,2022-10-01 00:00:00.000000000,"[{'name': {'given': 'Purwanto', 'family': 'Purwanto Putra', 'honourific': None, 'lineage': None}, 'id': 'purwanto.putra@fisip.unila.ac.id'}, {'name': {'given': 'AP', 'family': 'Arnila Purnamayanti', 'honourific': None, 'lineage': None}, 'id': 'arnila.purnamayanti@fisip.unila.ac.id'}, {'name': {'given': 'Eri Maryani', 'lineage': None, 'honourific': None, 'family': 'Eri Maryani'}, 'id': 'eri.maryani@fisip.unila.ac.id'}]",['FISIP4'],other,,,,,"[{'id': 'purwanto.putra@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Purwanto', 'lineage': None, 'family': 'Purwanto Putra', 'honourific': None}}, {'name': {'given': 'Arnila', 'honourific': None, 'family': 'Arnila Purnamayanti', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'arnila.purnamayanti@fisip.unila.ac.id'}, {'name': {'family': 'Eri Maryani', 'honourific': None, 'lineage': None, 'given': 'Eri'}, 'id': 'eri.maryani@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",submitted,,,"Isu mengenai penyelenggaraan kearsipan perguruan tinggi sedang menjadi 
sorotan. Keumuman yang terjadi dibanyak tempat seringkali berjalan belum 
optimal. Salah satu yang jadu persoalan yaitu minimnya pemahaman para 
pengambil kebijakan dan besarnya tugas dan tanggung jawab institusi kearsipan 
dalam untuk melakukan tugas ini. Penyelenggaraan kearsipan yang sesuai dengan 
prinsip, kaidah dan standar sebagaimana amanat Undang-Undang Nomor 43 Tahun 
2009 tentang Kearsipan yaitu keseluruhan kegiatan kearsipan yang meliputi 
kebijakan, pembinaan kearsipan, dan pengelolaan arsip dalam suatu sistem 
kearsipan nasional yang didukung oleh sumber daya manusia, prasarana dan sarana, 
serta sumber daya lainnya. Ada tantangan yang berasal dan perkembangan 
teknologi dan informasi yang terlalu mengarahkan agar praktik kearsipan menjadi
serba elektronik atau digital yang pada realitanya malahan seringkali membuat 
pengembangan institusi kearsipan perguruan tinggi menjadi salah arah, anti-tesis 
atau jauh dari ideal.",,,,,,,,,,
14,show,6,Menyelamatkan dan Potensi Penyelamatan Ekonomi Pasca Covid-19: Adopsi Kebijakan Literasi Digital untuk Sektor UMKM,['Z665'],2023-03-13 03:21:04,archive,48920,public,http://repository.lppm.unila.ac.id/id/eprint/48920,"Department of Communication and Information Science, Faculty of Law, Social Sciences, and Political Science, Universitas Terbuka","[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188364', 'rev_number': 1, 'main': 'IKOMIK_Menyelamatkan dan Potensi Penyelamatan Ekonomi Pasca Covid-19.pdf', 'docid': 188364, 'files': [{'objectid': 188364, 'uri': 'http://repository.lppm.unila.ac.id/id/file/532422', 'mime_type': 'application/pdf', 'fileid': 532422, 'filename': 'IKOMIK_Menyelamatkan dan Potensi Penyelamatan Ekonomi Pasca Covid-19.pdf', 'hash': 'eacf6f3dc6321530eb3518461172f9d3', 'mtime': '2023-03-12 23:43:10', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 282008}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 48920, 'placement': 1, 'security': 'public'}]",pub,2023-03-13 03:21:04,2023-03-13 03:21:04,2792,disk0_bak/00/04/89/20,2022-06-01 00:00:00.000000000,"[{'id': 'purwanto.putra@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Putra', 'given': 'Purwanto'}}]",['FISIP4'],article,IKOMIK: Jurnal Ilmu Komunikasi dan Informasi,TRUE,2798-9607,1.0,,21-28,['Program Studi D3 Perpustakaan FISIP UNILA'],published,2,https://jurnal.ut.ac.id/index.php/ikomik,"Hampir seluruh negara dunia menghadapi pandemi Covid-19 yang penyebaran-nya begitu masif. Bidang UMKM memiliki peran strategis dan diprediksi dapat menjadi  motor  dalam  pemulihan  ekonomi  pasca  pandemi  Covid-19.  Hal  itu  terlihat  dari  trend  kontribusi  positif  UMKM  terhadap  PDB  Indonesia  di  masa  pra pandemi yang meningkat hingga sekitar 60%. Namun, dalam kondisi penuh ketidakpastian  ini  dibutuhkan  gagasan  dan  inovasi  agar  bisa  segera  keluar  dari  tekanan dan kemungkinan terburuk krisis perekonomian. Penelitian ini melihat potensi pengadopsian kemampuan literasi digital bidang UMKM sebagai strategi pemulihan  (recovery)  ekonomi  pasca  Covid-19.  Penelitian  ini  menggunakan  pendekatan  kualitatif-deskriptif  dengan  penerapan  metode  literasi  informasi,  The Big 6. Penerapan metode ini diharapkan menjadi cara untuk membangun ar-gumen yang lebih rinci dan mendalam terkait subjek panelitian. Hasil penelitian menunjukkan bahwa gagasan adopsi kemampuan literasi digital UMKM sangat diperlukan sebagai jawaban atas tantangan mengenai kemungkinan inovasi pe-rubahan (behavior) kebiasaan dan operasional bidang UMKM pasca Covid-19. Transformasi  UMKM  pada  bidang  literasi  digital  di  seluruh  sektor  (produksi,  promosi, dan pemasaran) berpotensi mendukung pemulihan (recovery) ekono-mi pasca Covid-19 dengan lebih cepat.",https://doi.org/10.33830/ikomik.v2i1.2430,,,,,,,,,
15,show,6,"Islamic Political Party and Multiculturalism:
Hymne and Mars, Non-Moslem and Minority Communities in Partai Keadilan Sejahtera",['H1'],2022-07-12 08:37:08,archive,43247,public,http://repository.lppm.unila.ac.id/id/eprint/43247,FISIP.  Universitas Medan Area,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/165107', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 165107, 'uri': 'http://repository.lppm.unila.ac.id/id/file/472617', 'datasetid': 'document', 'filesize': 955565, 'mime_type': 'application/pdf', 'fileid': 472617, 'filename': 'Aep Susanto dan Tina Kartika.pdf', 'hash': 'a74c982188912df4c8f8f1ba59d0f699', 'hash_type': 'MD5', 'mtime': '2022-07-12 04:46:32'}], 'docid': 165107, 'main': 'Aep Susanto dan Tina Kartika.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 43247}]",pub,2022-07-12 08:37:08,2022-07-12 08:37:08,604,disk0/00/04/32/47,2022-07-02 00:00:00.000000000,"[{'id': 'tina.kartika@fisip.unila.ac.id', 'name': {'given': 'Kartika', 'family': 'Tina', 'honourific': None, 'lineage': None}}]",['FISIP4'],article,PERSPEKTIF,TRUE,2541-5913,3.0,,910-918,,published,11,http://ojs.uma.ac.id/index.php/perspektif/index,"Partai Keadilan Sejahtera (PKS) is an Islamic party with a strong Islamic ideology with a large number of cadres and voters (constituents) and is very influential in building multiculturalism in Indonesia. This study is to describe the view of the multiculturalism of Partai Keadilan Sejahtera (PKS) through party policies, and non-Muslim and minority community cooperation. The method used in this study is qualitative research using literature studies sources in the form of books, websites, articles, and newspapers. PKS changed hymns and marches to instill and demonstrate multiculturalism. PKS involves and supports non-Muslims to become party administrators, and candidates for legislative and executive members. PKS also cooperates with minority communities to maintain the integrity, brotherhood, unity, and integrity of the nation. PKS as an Islamic political party makes Pancasila and Bhinneka Tunggal Ika the main values in maintaining multiculturalism in Indonesia.",10.31289/perspektif.v11i3.6344,,,,,,,,,
16,show,8,"Literasi Pencegahan Sakit: Menjadi Lansia yang Bahagia dan   
Sehat di  Panti Jompo Tresna Erdha Natar Lampung Selatan",['H1'],2022-11-15 06:20:14,archive,46662,public,http://repository.lppm.unila.ac.id/id/eprint/46662,"Jurnal pengabdian Dharma Wacana, Metro","[{'files': [{'fileid': 514152, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-15 05:18:55', 'filename': '02 Kartika dkk 116-123, TIna, nanda, winda dan zaima.pdf', 'hash': '32e3e50d1b13f15db9135c77d08f49d1', 'datasetid': 'document', 'filesize': 267115, 'objectid': 185567, 'uri': 'http://repository.lppm.unila.ac.id/id/file/514152'}], 'main': '02 Kartika dkk 116-123, TIna, nanda, winda dan zaima.pdf', 'docid': 185567, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185567', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 46662, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2022-11-15 06:20:14,2022-11-15 06:20:14,604,disk0/00/04/66/62,2022-09-02 00:00:00.000000000,"[{'name': {'given': 'Kartika', 'lineage': None, 'family': 'Tina', 'honourific': None}, 'id': 'tina.kartika@fisip.unila.ac.id'}]",['FISIP4'],article,Jurnal pengabdian Dharma Wacana,TRUE,2776-0030,2.0,,116-123,,published,3,https://e-jurnal.dharmawacana.ac.id/index.php/jp/article/view/297,"Banyaknya tanaman herbal di lingkungan sekitar lokasi pengabdian di Panti Jompo Tresna Werdha Natar, dan biaya yang
tidak mahal. Maka perlu pemahaman melalui literasi yang terpercaya untuk penggunaan tanaman herbal dari kementrian
kesehatan republik Indonesia anjuran dari kementrian kesehatan republik Indonesia. Tujuan kegiatan pengabdian ini
adalah 1. Mensosialisasikan dan menelusuri literasi pencegahan sakit, malalui ramuan obat tradisonal yang terpercaya,
dari Kementrian Kesehatan Republik Indonesia, 2. Mensosialisasi cara hidup bahagia dan sehat di usia senja. Metode
pelaksanaan pengabdian kepada masyarakat adalah: pesiapan, pelaksanaan dan evaluasi. Persiapan diawali diskusi materi
materi yang akan disampaikan, surat tugas, Pembahasan materi oleh tim pelaksana serta penyepakatan rencana kegiatan
di lokasi bersama peserta. Pelaksanaan pada Selasa tanggal 17 Mei 2022 dengan metode ceramah, tanya jawab, dan
evaluasi. Evaluasi dengan memberikan pertanyaan yang telah dirancang sebelumnya. Pertanyaan dengan pre test dan post
test, untuk mengetahui pemahaman dalam kegiatan pengabdian ini. Hasil pengabdian adalah peningkatkan pemahaman
literasi pencegahan sakit, malalui ramuan obat tradisonal yang terpercaya, dari kemenntrian kesehatan Republik Indonesia
dan meningkatkan pemahaman cara hidup bahagia dan sehat di usia senja di Panti jompo Tresna Werdha Natar ini telah
memberikan dampak positif bagi peserta pengabdian.",10.37295/jpdw.v3i2.297,,,,,,,,,
17,show,6,"Social Construction: Media, Hijab and Students Identity",['H1'],2022-08-10 06:11:42,archive,43990,public,http://repository.lppm.unila.ac.id/id/eprint/43990,International Journal of Multidisciplinary Research and AnalysisInternational Journal of Multidisciplinary Research and Analysis,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165988', 'main': 'Tina Kartika, IJMRA Agustus 2022.pdf', 'docid': 165988, 'files': [{'fileid': 478649, 'mime_type': 'application/pdf', 'mtime': '2022-08-10 02:41:02', 'hash_type': 'MD5', 'filename': 'Tina Kartika, IJMRA Agustus 2022.pdf', 'hash': '36078b3e5d18f6c0d9b350e4d1978b84', 'datasetid': 'document', 'filesize': 790165, 'objectid': 165988, 'uri': 'http://repository.lppm.unila.ac.id/id/file/478649'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 43990, 'placement': 1, 'security': 'public'}]",pub,2022-08-10 06:11:42,2022-08-10 06:11:42,604,disk0/00/04/39/90,2022-08-08 00:00:00.000000000,"[{'name': {'given': 'Kartika', 'lineage': None, 'honourific': None, 'family': 'Tina'}, 'id': 'tina.kartika@fisip.unila.ac.id'}]",['FISIP4'],article,International Journal of Multidisciplinary Research and Analysis,TRUE,2643-9875,8.0,,2044-2049,,published,5,http://ijmra.in/,"The background of this research is to uncover a variety of ways and models of wearing the hijab in Muslim student communities at the University of Lampung. The development of this hijab model developed in accordance with the development of fashion. The use of hijab with a variety of models is motivated by several factors including: understanding, beliefs, friendship and the media they use. From this understanding, the theory used is the theory of social construction from Peter Berger. Understanding is obtained from friends, religious discussions, from efforts to read or study religious books, family environment, or media exposure. The research method uses a qualitative approach with in-depth interviews, interviews with 100 students from 8 faculties at the University of Lampung. The jilbab usage model is generally divided into three categories. The first is a small headscarf (completely covers the head and neck), the second is a medium-sized headscarf (cloth covering to the chest), third is a veil covering the chest to the stomach even more. The jilbab usage model is much influenced by the media they use, for example Instagram or Twitter. The use of the jilbab then settles in the process of community life and then crystallizes into the student's identity.",https://doi.org/10.47191/ijmra/v5-i8-19,,,,,,,,,
18,show,6,Study of Culture and Media as Solutions for Resolving Beggers and Street Children in Bandarlampung City,['H1'],2022-09-09 00:57:15,archive,44848,public,http://repository.lppm.unila.ac.id/id/eprint/44848,International Journal of Multidisciplinary Research and Analysis,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44848, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166754', 'docid': 166754, 'main': 'IJRMA  September 2022.pdf', 'files': [{'datasetid': 'document', 'filesize': 911061, 'mime_type': 'application/pdf', 'fileid': 484063, 'filename': 'IJRMA  September 2022.pdf', 'hash': 'bb90a56fd1accb38798da476f2a55015', 'mtime': '2022-09-08 17:55:33', 'hash_type': 'MD5', 'objectid': 166754, 'uri': 'http://repository.lppm.unila.ac.id/id/file/484063'}]}]",pub,2022-09-09 00:57:15,2022-09-09 00:57:15,604,disk0/00/04/48/48,2022-09-02 00:00:00.000000000,"[{'name': {'given': 'Kartika', 'lineage': None, 'honourific': None, 'family': 'Tina'}, 'id': 'tina.kartika@fisip.unila.ac.id'}]",['FISIP4'],article,Study of Culture and Media as Solutions for Resolving Beggers and Street Children in Bandarlampung City,TRUE,2643-9875,9.0,,2295-2301,,published,5,http://ijmra.in/,"The purpose of the study was to analyze cultural and media studies as a way to resolve the sustainability of beggars and street children in Bandar Lampung City, Indonesia. There were 24 informants involved in this study, consisting of community leaders, academics, beggars and street children. The data consists of: interviews, observations and literature review. Data analysis uses several stages, namely: collecting data, classifying data, and concluding. The results of the study are the causes of the existence of beggars and street children are: poverty, child exploitation, people who give money to beggars and street children, movement of people from villages to cities, unhealthy mentality, Bandarlampung City Government has not been maximal in implementing Regional Regulation No. 3 2010. One of the solutions is to increase understanding of local wisdom and empower the media as a channel to convey messages to beggars and street children, and to people who give money/goods to beggars.",DOI: 10.47191/ijmra/v5-i9-01,,[{'url': 'http://ijmra.in/'}],,,,,,,
19,show,7,Masyarakat Tutur Siswa Beda Budaya di Sekolah Menengah pertama  Al Kautsar Bandar lampung   dalam Kajian Etnografi Komunikasi,['H1'],2022-05-13 01:21:22,archive,41607,public,http://repository.lppm.unila.ac.id/id/eprint/41607,Jurusan Ilmu Komunikasi Universitas Veteran Yogyakarta,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 41607, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163263', 'pos': 1, 'format': 'text', 'files': [{'fileid': 460388, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-05-12 12:00:11', 'filename': 'UPNYK, Tina,dkk, vol 20 1 2022.pdf', 'hash': '2735ef1b2135b170be4e196040038e43', 'datasetid': 'document', 'filesize': 496558, 'objectid': 163263, 'uri': 'http://repository.lppm.unila.ac.id/id/file/460388'}], 'docid': 163263, 'main': 'UPNYK, Tina,dkk, vol 20 1 2022.pdf'}]",pub,2022-05-13 01:21:22,2022-05-13 01:21:22,604,disk0/00/04/16/07,2022-04-01 00:00:00.000000000,"[{'id': 'tina.kartika@fisip.unila.ac.id', 'name': {'given': 'Tina', 'lineage': None, 'family': 'Tina Kartika', 'honourific': None}}]",['FISIP4'],article,Jurnal Ilmu Komunikasi,TRUE,2407-8220,1.0,,47-60,,published,vol 20,http://jurnal.upnyk.ac.id/index.php/komunikasi/article/view/3566,"Students of Al Kaustar Junior High School 2019/2020 Bandar Lampung as a speech community consist of various ethnicities, the most ethnic being Lampung and Javanese. Ethnic differences make new students experience culture shock which can have a negative impact. This study aims to analyze the communication patterns of students with different ethnic backgrounds, namely the Lampung Ethnic and the Javanese Ethnic. This study uses an ethnographic method of communication with a qualitative approach. The sampling technique used purposive sampling with the characteristics of the informants, namely: overseas students in grades 7, 8 and 9, overseas students experienced culture shock, students had enough time and opportunity to be questioned, and students did not experience culture shock as comparison informants. So that the respondents amounted to 11 students and one teacher counseling guidance. The results showed the communication patterns of students at Al Kautsar Junior High School about the use of the typical language of Bandar Lampung City as a social language, so that students experienced culture shock. The pattern of communication is a combination of communication components consisting of: genre, topic of communicative events, purpose and function of events, setting, participants, message content, sequence of actions, interaction rules,and interpretation norms. This research contributes in the form of recommendations for school parties to provide material for introducing new students to cultural diversity, language peculiarities as the beginning of tolerant behavior.",https://doi.org/10.31315/jik.v20i1.3566,,,,,,,,,
20,show,6,"IMPLEMENTATION OF MNC GROUP’S LOCAL BROADCASTING PROGRAMS IN 
LAMPUNG PROVINCE",['HE'],2022-06-29 01:28:54,archive,42766,public,http://repository.lppm.unila.ac.id/id/eprint/42766,Jurusan Ilmu Komunikasi Unila,"[{'placement': 1, 'security': 'public', 'eprintid': 42766, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 686124, 'mime_type': 'application/pdf', 'fileid': 468809, 'hash': '117508fea55cd5924159097296b0dd6f', 'filename': 'Metakom implementasi Program Siaran Lokal.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-29 00:50:59', 'objectid': 164486, 'uri': 'http://repository.lppm.unila.ac.id/id/file/468809'}], 'main': 'Metakom implementasi Program Siaran Lokal.pdf', 'docid': 164486, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164486', 'pos': 1, 'format': 'text'}]",pub,2022-06-29 01:28:54,2022-06-29 01:28:54,258,disk0/00/04/27/66,2022-06-06 00:00:00.000000000,"[{'name': {'honourific': None, 'family': 'Wibawa', 'lineage': None, 'given': 'Agung'}, 'id': 'agung.wibawa@fisip.unila.ac.id'}, {'id': 'wulansuciska@yahoo.co.id', 'name': {'lineage': None, 'family': 'Suciska', 'honourific': None, 'given': 'Wulan'}}, {'name': {'lineage': None, 'family': 'Toni', 'honourific': None, 'given': 'Wijaya'}, 'id': None}, {'name': {'honourific': None, 'family': 'Gunawibawa', 'lineage': None, 'given': 'Eka Yuda'}, 'id': 'eka.yuda""fisip.unila.ac.id'}]",['FISIP4'],article,METAKOM : Jurnal Kajian Komunikasi,TRUE,,1.0,,21-34,,published,6,https://komunikasi.fisip.unila.ac.id/jurnal/index.php/metakom/index,"Penelitian ini dilakukan untuk menganalisis implementasi program siaran lokal oleh MNC Grup di Provinsi Lampung pada Bulan Juni 2021. Tujuan penelitian ini untuk memperoleh informasi secara lengkap mengenai gambaran program siaran lokal dan implementasinya. Penelitian ini menggunakan pendekatan studi kasus dengan tipe deskriptif kualitatif untuk menggambarkan gejala atau kenyataan yang ada terkait program siaran lokal. Hasil penelitian ini menunjukkan bahwa implementasi program siaran lokal MNC Grup di Provisi Lampung belum sepenuhnya memenuhi kriteria berdasarkan Undang-Undang 32 Tahun 2002 dan Pedoman Perilaku Penyiaran dan Standar Program Siaran (P3SPS). Diantaranya belum seluruhnya terimplemetasi 10% waktu siaran lokal, belum terpenuhinya waktu siaran lokal di prime time, terdapat inkonsistensi antara program siaran yang dilaporkan kepada KPI Pusat dengan implementasinya. Selain itu, siaran lokal oleh MNC Grup belum sepenuhnya menunjukkan kegiatan produksi siaran dilakukan oleh SDM Lokal.",,,[{'url': 'https://komunikasi.fisip.unila.ac.id/jurnal/index.php/metakom/article/view/225'}],,,,,,,
21,show,8,“PRESERVASI DAN KONSERVASI PENGETAHUAN BEGAWI  ADAT LAMPUNG MELALUI KONTEN BERBASIS MEDIA SIMPAN INSTAGRAM”,"['HE', 'Z665']",2022-06-27 08:26:40,archive,42745,public,http://repository.lppm.unila.ac.id/id/eprint/42745,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164463', 'main': 'sertifikat_EC00202233518 (1).pdf', 'docid': 164463, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/468620', 'objectid': 164463, 'filesize': 2095544, 'datasetid': 'document', 'mtime': '2022-06-27 05:48:39', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00202233518 (1).pdf', 'hash': '0c690aa9f2e2fb9e62be5ac267b5e7d8', 'fileid': 468620, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 42745, 'placement': 1, 'security': 'public'}]",pub,2022-06-27 08:26:40,2022-06-27 08:26:40,281,disk0/00/04/27/45,2022-06-02 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Windah', 'honourific': None, 'given': 'Andi'}, 'id': 'andiwindah@gmail.com'}, {'name': {'given': 'Putra', 'honourific': None, 'family': 'Purwanto', 'lineage': None}, 'id': 'purwanto.putra@fisip.unila.ac.id'}]",['FISIP4'],patent,,,,,,,,published,,,“PRESERVASI DAN KONSERVASI PENGETAHUAN BEGAWI  ADAT LAMPUNG MELALUI KONTEN BERBASIS MEDIA SIMPAN INSTAGRAM”,349117,Lembaga Penelitian dan Pengabdian Kepada Masyarakat UNILA,,,,,2.0,,,
