,date_type,eprintid,subjects,abstract,status_changed,eprint_status,rev_number,volume,metadata_visibility,title,official_url,divisions,type,date,dir,id_number,publication,issn,creators,datestamp,pagerange,lastmod,userid,full_text_status,uri,refereed,number,ispublished,documents,publisher,related_url,corp_creators,event_dates,event_type,event_location,event_title,pres_type,contributors,funders,projects,place_of_pub,patent_applicant,pages,contact_email,isbn,keywords,referencetext,succeeds
19,published,30139,['S1'],"Tungkal Composite Jambi Liberika Coffee is one of the top qualities of Indonesian coffees that has received a
geographic indication certificate (IGs). With its limited production and high prices, currently Tungkal Jambi
Liberika coffee is one of the coffees that is prone to being counterfeited. The counterfeiting of Tungkal Jambi
Liberika coffee is increasingly difficult to identify, especially in the form of ground roasted coffee. This study evaluated the potential application of UV spectroscopy technology to classify Tungkal Jambi Liberika coffee (with geographic indications) and normal Probolinggo Liberika coffee (non- geographic indications). A total of 120 samples for each Liberika coffee were prepared weighing 1 gram for each sample. Spectra measurements were
carried out in the form of a coffee solution. Spectral data were taken using a UV-visible spectrometer with a
wavelength interval of 200-400 nm (Genesys™ 10S UV-Vis, Thermo Scientific, USA). By using the average
transformed spectra in the 250-350 nm interval, the differences between the two types of Liberika coffee can be clearly seen, especially at some wavelength peaks, namely 270 nm, 300 nm, 315 nm and 346 nm. The classification accuracy obtained for the SIMCA classification is 100% for both Tungkal Jambi Liberika and Probolinggo Liberika coffee.",2021-05-11 00:49:52,archive,7,,show,"APLIKASI UV SPECTROSCOPY DAN METODE SIMCA UNTUK
KLASIFIKASI KOPI LIBERIKA TUNGKAL JAMBI DAN KOPI LIBERIKA
PROBOLINGGO",http://jurnal.fp.unila.ac.id/index.php/JTP/article/view/4741/pdf,['FP18'],other,2021-03-01 00:00:00.000000000,disk0/00/03/01/39,http://dx.doi.org/10.23960/jtep-l.v10.i1.49-56,,,"[{'id': 'saptokuncoro579@gmail.com', 'name': {'given': 'Sapto', 'family': 'Kuncoro', 'honourific': None, 'lineage': None}}, {'id': 'meinilwitayulia@polinela.ac.id', 'name': {'given': 'Meinilwita', 'honourific': None, 'family': 'Yulia', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Suhandy', 'given': 'Diding'}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",2021-05-11 00:49:52,,2021-05-11 00:49:52,337,public,http://repository.lppm.unila.ac.id/id/eprint/30139,,,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/135362', 'rev_number': 1, 'docid': 135362, 'main': 'APLIKASI UV SPECTROSCOPY DAN METODE SIMCA UNTUK KLASIFIKASI KOPI LIBERIKA.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 357290, 'hash': '3be780de0fd589c6d90caa72b23df6a4', 'filename': 'APLIKASI UV SPECTROSCOPY DAN METODE SIMCA UNTUK KLASIFIKASI KOPI LIBERIKA.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-10 09:58:06', 'datasetid': 'document', 'filesize': 2133420, 'objectid': 135362, 'uri': 'http://repository.lppm.unila.ac.id/id/file/357290'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 30139, 'security': 'public', 'placement': 1}]",Jurusan Teknik Pertanian Fakultas Pertanian Unila,,"['University of Lampung', 'Lampung State Polytechnic', 'University of Lampung']",,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,Jurnal Teknik Pertanian Lampung,,,,,,,
20,published,30066,['S1'],"Kopi Liberika Tungkal Komposit Jambi merupakan salah satu kopi Indonesia berkualitas yang telah mendapatkan
sertifikat geografis (IGs). Dengan produksi yang masih terbatas dan harga yang tinggi, saat ini kopi Liberika
Tungkal Jambi merupakan salah satu kopi yang rawan dipalsukan. Pemalsuan kopi Liberika Tungkal Jambi semakin sulit diidentifikasi terutama pada bentuk kopi bubuk. Pada penelitian ini dilakukan evaluasi potensi aplikasi teknologi UV spectroscopy untuk mengklasifikasikan kopi Liberika Tungkal Jambi (dengan indikasi geografis) dan kopi Liberika Probolinggo biasa (non-indikasi geografis). Sebanyak 120 sampel untuk masingmasing kopi Liberika disiapkan dengan berat 1 gram untuk setiap sampel. Pengukuran spektra dilakukan dalam bentuk larutan kopi. Data spektra diambil menggunakan spektrometerUV-visible dengan panjang gelombang 200-400 nm (Genesys™ 10S UV-Vis, Thermo Scientific, USA). Dengan menggunakan spektra rataan hasil transformasi
di interval 250-350 nm, maka perbedaan kedua jenis kopi Liberika dapat jelas terlihat terutama di beberapa
puncak panjang gelombang yaitu 270 nm, 300 nm, 315 nm dan 346 nm. Akurasi klasifikasi yang diperoleh untuk
klasifikasi SIMCA adalah 100% baik untuk kopi Liberika Tungkal Jambi maupun untuk kopi Liberika Probolinggo.",2021-05-10 01:23:40,archive,6,10.0,show,APLIKASI UV SPECTROSCOPY DAN METODE SIMCA UNTUK KLASIFIKASI KOPI LIBERIKA TUNGKAL JAMBI DAN KOPI LIBERIKA PROBOLINGGO,http://jurnal.fp.unila.ac.id/index.php/JTP/article/view/4741/pdf,['FP18'],article,2021-03-01 00:00:00.000000000,disk0/00/03/00/66,DOI:http://dx.doi.org/10.23960/jtep-l.v10.i1.49-56,Jurnal Teknik Pertanian Lampung,2302-559X,"[{'name': {'honourific': None, 'family': 'Kuncoro', 'lineage': None, 'given': 'Sapto'}, 'id': 'saptokuncoro579@gmail.com'}, {'id': 'meinilwitayulia@polinela.ac.id', 'name': {'family': 'Yulia', 'honourific': None, 'lineage': None, 'given': 'Meinilwita'}}, {'name': {'given': 'Diding', 'family': 'Suhandy', 'honourific': None, 'lineage': None}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",2021-05-10 01:23:40,49-56,2021-05-10 01:23:40,337,public,http://repository.lppm.unila.ac.id/id/eprint/30066,TRUE,1.0,pub,"[{'files': [{'objectid': 134977, 'uri': 'http://repository.lppm.unila.ac.id/id/file/356420', 'datasetid': 'document', 'filesize': 241648, 'mime_type': 'application/pdf', 'fileid': 356420, 'filename': '4741-13102-1-PB (4) Kopi Liberika (sapto dkk).pdf', 'hash': 'f1ba2118d18cc2ee8cc735306a30bf06', 'mtime': '2021-05-08 08:17:32', 'hash_type': 'MD5'}], 'main': '4741-13102-1-PB (4) Kopi Liberika (sapto dkk).pdf', 'docid': 134977, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134977', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 30066, 'language': 'en', 'mime_type': 'application/pdf'}]",Jurusan Teknik Pertanian Fakultas Pertanian Unila,,"['University of Lampung', 'Lampung State Polytechnic', 'University of Lampung']",,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,
21,published,27801,['S1'],". In recent decades, the development of fast, non-destructive and robust methods to determine agricultural products quality parameters become interesting and gaining more attentions in term of their potential applications in many field. One of those methods is near infrared spectroscopy (NIRS) which is works based on the interaction of biological matter with light radiation. The main purpose of this present study is to employ the NIRS method in assessing mango fruit quality parameters in form of soluble solids content (SSC) and vitamin C. Spectra data of absorbance NIR were acquired in wavelength range from 1000 to 2500 nm with optical gain 4x and resolution windows 0.02 nm. Prediction models were developed using partial least
square regression (PLSR) followed by 10-fold cross validation. The results showed that both SSC and vitamin C of mango fruit can be determined simultaneously with maximum correlation coefficient are 0.88 and 0.87 for SSC and vitamin C respectively. Judging from its predictive
abilities, it may conclude that NIRS can be used as fast and contactless method in assessing mango fruit quality parameters like SSC and vitamin C.",2021-02-10 01:16:01,archive,7,,show,Fast and contactless assessment of intact mango fruit quality attributes using near infrared spectroscopy (NIRS),https://iopscience.iop.org/article/10.1088/1755-1315/644/1/012028/pdf,['FP18'],conference_item,2021-02-03 00:00:00.000000000,disk0/00/02/78/01,,,,"[{'id': None, 'name': {'lineage': None, 'family': 'Kusumiyati', 'honourific': None, 'given': 'Kusumiyati'}}, {'id': None, 'name': {'given': 'Agus Arip', 'family': 'Munawar', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Suhandy', 'honourific': None, 'lineage': None, 'given': 'Diding'}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",2021-02-10 01:16:01,1-10,2021-02-10 01:16:01,337,public,http://repository.lppm.unila.ac.id/id/eprint/27801,TRUE,,pub,"[{'main': 'Kusumiyati_2021_IOP_Conf._Ser.__Earth_Environ._Sci._644_012028 (1).pdf', 'docid': 41774, 'files': [{'filesize': 1087774, 'datasetid': 'document', 'mtime': '2021-02-09 14:15:28', 'hash_type': 'MD5', 'hash': '682bdbe307fd8adfc311c26b28974e2b', 'filename': 'Kusumiyati_2021_IOP_Conf._Ser.__Earth_Environ._Sci._644_012028 (1).pdf', 'fileid': 247899, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/247899', 'objectid': 41774}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41774', 'rev_number': 1, 'eprintid': 27801, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,,,21-22 September 2020,conference,Banda Aceh,ICATES2020,paper,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,
22,published,30084,['S1'],"In recent decades, the development of fast, non-destructive and robust methods to determine agricultural products quality parameters become interesting and gaining more attentions in term of their potential applications in many field. One of those methods is near
infrared spectroscopy (NIRS) which is works based on the interaction of biological matter with light radiation. The main purpose of this present study is to employ the NIRS method in assessing mango fruit quality parameters in form of soluble solids content (SSC) and vitamin C. Spectra
data of absorbance NIR were acquired in wavelength range from 1000 to 2500 nm with optical
gain 4x and resolution windows 0.02 nm. Prediction models were developed using partial least square regression (PLSR) followed by 10-fold cross validation. The results showed that both SSC and vitamin C of mango fruit can be determined simultaneously with maximum correlation
coefficient are 0.88 and 0.87 for SSC and vitamin C respectively. Judging from its predictive abilities, it may conclude that NIRS can be used as fast and contactless method in assessing mango fruit quality parameters like SSC and vitamin C.",2021-05-10 01:24:36,archive,7,,show,Fast and contactless assessment of intact mango fruit quality attributes using near infrared spectroscopy (NIRS),https://iopscience.iop.org/article/10.1088/1755-1315/644/1/012028/pdf,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/03/00/84,doi:10.1088/1755-1315/644/1/012028,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Kusumiyati', 'given': 'Kusumiyati'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Munawar', 'given': 'Agus Arip'}}, {'id': 'diding.sughandy@fp.unila.ac.id', 'name': {'given': 'Diding', 'family': 'Suhandy', 'honourific': None, 'lineage': None}}]",2021-05-10 01:24:36,,2021-05-10 01:24:36,337,public,http://repository.lppm.unila.ac.id/id/eprint/30084,,,pub,"[{'eprintid': 30084, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 135079, 'main': 'Fast and contactless assessment of.pdf', 'files': [{'datasetid': 'document', 'filesize': 1538246, 'mime_type': 'application/pdf', 'fileid': 356628, 'filename': 'Fast and contactless assessment of.pdf', 'hash': '7432caf86782be38f55f8c5570187590', 'mtime': '2021-05-09 09:38:44', 'hash_type': 'MD5', 'objectid': 135079, 'uri': 'http://repository.lppm.unila.ac.id/id/file/356628'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/135079'}]",IOP Publishing,,"['Unpad', 'Universitas Syiah Kuala', 'University of Lampung']",,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,IOP Conf. Series: Earth and Environmental Science,,,,,,,
23,published,27398,['S1'],"This study aims to apply near infrared technology as a fast, simultaneous and nondestructive method for quality assessment on intact mango fruit in form of total soluble solids (TSS)and vitamin C. Absorbance spectra of 186 intact mango fruits with four different cultivars were
acquired and recorded in wavelength ranging from 1000–2500 nm. Spectra data were enhanced and corrected
using three different methods namely moving average smoothing (MAS), extended multiplicative scatter
correction (EMSC) and standard normal variate (SNV). In addition, they were divided into two datasets
namely calibration (n = 143) and prediction (n = 43) datasets consisting all four mango cultivars.
The models used to predict TSS and vitamin C were developed using partial least square regression (PLSR). Prediction performance were quantified using correlation coefficient (r), root mean square error (RMSE), ratio prediction to deviation (RPD) and range to error ratio (RER)indexes. The results showed that the best prediction models for TSS and vitamin C were achieved when the models were constructed using EMSC correction approach with r = 0.86, RMSE = 1.67Brix, RPD = 2.34 and RER = 9.72 for TSS. Meanwhile, for vitamin C, r = 0.86, RMSE = 6.84 mg·100g−1,RPD = 2.00 and RER = 8.87. From this study, it was concluded that near infrared technology combined with proper spectra enhancement method may be applied as a rapid, simultaneous and contactless method for quality assessment on intact mangoes.",2021-01-20 06:45:34,archive,6,6.0,show,"Fast, simultaneous and contactless assessment of intact mango fruit by means of near infrared spectroscopy",http://aimspress.com/article/doi/10.3934/agrfood.2021011,['FP18'],article,2021-01-01 00:00:00.000000000,disk0/00/02/73/98,doi: 10.3934/agrfood.2021011,AIMS Agriculture and Food,2471-2086,"[{'name': {'given': 'Kusumiyati', 'honourific': None, 'family': 'Kusumiyati', 'lineage': None}, 'id': None}, {'id': None, 'name': {'family': 'Munawar', 'honourific': None, 'lineage': None, 'given': 'Agus Arip'}}, {'name': {'family': 'Suhandy', 'honourific': None, 'lineage': None, 'given': 'Diding'}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",2021-01-20 06:45:34,172-184,2021-01-20 06:45:34,337,public,http://repository.lppm.unila.ac.id/id/eprint/27398,TRUE,1.0,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/41403', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 41403, 'uri': 'http://repository.lppm.unila.ac.id/id/file/245042', 'fileid': 245042, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-01-20 03:59:42', 'hash': '27a4f2e6ad973f24926cc88e1e7e6023', 'filename': '10.3934_agrfood.2021011 (2).pdf', 'datasetid': 'document', 'filesize': 518900}], 'docid': 41403, 'main': '10.3934_agrfood.2021011 (2).pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 27398}]",AIMS Press,,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,
24,published,30072,['S1'],"This study aims to apply near infrared technology as a fast, simultaneous and non-destructive method for quality assessment on intact mango fruit in form of total soluble solids (TSS) and vitamin C. Absorbance spectra of 186 intact mango fruits with four different cultivars were acquired and recorded in wavelength ranging from 1000–2500 nm. Spectra data were enhanced and corrected using three different methods namely moving average smoothing (MAS), extended multiplicative scatter correction (EMSC) and standard normal variate (SNV). In addition, they were divided into two datasets namely calibration (n = 143) and prediction (n = 43) datasets consisting all four mango cultivars. The models used to predict TSS and vitamin C were developed using partial least square regression (PLSR). Prediction performance were quantified using correlation coefficient (r), root mean square error (RMSE), ratio prediction to deviation (RPD) and range to error ratio (RER) indexes. The results showed that the best prediction models for TSS and vitamin C were achieved when the models were constructed using EMSC correction approach with r = 0.86, RMSE = 1.67 Brix, RPD = 2.34 and RER = 9.72 for TSS. Meanwhile, for vitamin C, r = 0.86, RMSE = 6.84 mg·100g−1, RPD = 2.00 and RER = 8.87. From this study, it was concluded that near infrared technology combined with proper spectra enhancement method may be applied as a rapid, simultaneous and contactless method for quality assessment on intact mangoes.",2021-05-10 01:23:54,archive,7,,show,"Fast, simultaneous and contactless assessment of intact mango fruit by means of near infrared spectroscopy",http://aimspress.com/article/doi/10.3934/agrfood.2021011,['FP18'],other,2021-01-01 00:00:00.000000000,disk0/00/03/00/72,https://doi.org/10.3934/agrfood.2021011,,,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Kusumiyati', 'given': 'Kusumiyati'}}, {'id': None, 'name': {'honourific': None, 'family': 'Munawar', 'lineage': None, 'given': 'Agus Arip'}}, {'id': 'diding.sughandy@fp.unila.ac.id', 'name': {'given': 'Diding', 'lineage': None, 'family': 'Suhandy', 'honourific': None}}]",2021-05-10 01:23:54,,2021-05-10 01:23:54,337,public,http://repository.lppm.unila.ac.id/id/eprint/30072,,,pub,"[{'docid': 135007, 'main': 'Fast, simultaneous and contactless.pdf', 'files': [{'filesize': 2448370, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-05-09 03:50:12', 'hash': '1b14ed3382f117e12dd20192a0e064b0', 'filename': 'Fast, simultaneous and contactless.pdf', 'fileid': 356483, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/356483', 'objectid': 135007}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/135007', 'rev_number': 1, 'eprintid': 30072, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",AIMS Press,,"['Unpad', 'Universitas Syiah Kuala', 'University of Lampung']",,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,AIMS Agriculture and Food,,,,,,,
25,,44044,['S1'],,2022-08-15 01:36:40,archive,7,,show,Lembar Penilaian Review_Cultivation of straw mushroom (Volvariella volvacca) on oil palm empty fruit bunch growth medium_International Journal of Reycling of Organic Waste in Agriculture,,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/04/40/44,,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Mareli', 'given': 'Telaumbanua'}}]",2022-08-15 01:36:40,,2022-08-15 01:36:40,1179,public,http://repository.lppm.unila.ac.id/id/eprint/44044,,,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44044, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166050', 'rev_number': 1, 'main': 'Cultivation of straw mushroom (Volvariella volvacca) on oil palm empty fruit bunch growth medium.pdf', 'docid': 166050, 'files': [{'objectid': 166050, 'uri': 'http://repository.lppm.unila.ac.id/id/file/479031', 'datasetid': 'document', 'filesize': 687493, 'fileid': 479031, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-08-14 15:12:40', 'hash': '41a125e09632b363bed3898c87664d96', 'filename': 'Cultivation of straw mushroom (Volvariella volvacca) on oil palm empty fruit bunch growth medium.pdf'}]}]",Fakultas Pertanian,,,,,,,,,,,,,,,,,,
26,,44042,['S1'],,2022-08-15 01:36:33,archive,7,,show,"Lembar Penilaian Reviewer_Biomass fuel from oil palm empty fruit bunch pellet potential and challenges_Procedia Environmental Science, Engineering and Management",,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/04/40/42,,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Mareli', 'given': 'Telaumbanua'}}]",2022-08-15 01:36:33,,2022-08-15 01:36:33,1179,public,http://repository.lppm.unila.ac.id/id/eprint/44042,,,unpub,"[{'eprintid': 44042, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Biomass fuel from oil palm empty fruit bunch pellet potential and challenges.pdf', 'docid': 166048, 'files': [{'objectid': 166048, 'uri': 'http://repository.lppm.unila.ac.id/id/file/479016', 'fileid': 479016, 'mime_type': 'application/pdf', 'mtime': '2022-08-14 14:56:14', 'hash_type': 'MD5', 'filename': 'Biomass fuel from oil palm empty fruit bunch pellet potential and challenges.pdf', 'hash': 'ac7a49d7c3bbc4a51afd8ed30fd91bfc', 'datasetid': 'document', 'filesize': 664457}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166048', 'rev_number': 1}]",Fakultas Pertanian,,,,,,,,,,,,,,,,,,
27,,44043,['S1'],,2022-08-15 01:36:37,archive,8,,show,"Lembar Penilaian Reviewer_Controlled electrical conductivity (Ec) of tofu wastewater as a hydroponic nutrition_Procedia Environmental Science, Engineering and Management",,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/04/40/43,,,,"[{'name': {'honourific': None, 'family': 'Mareli', 'lineage': None, 'given': 'Telaumbanua'}}]",2022-08-15 01:36:37,,2022-08-15 01:36:37,1179,public,http://repository.lppm.unila.ac.id/id/eprint/44043,,,unpub,"[{'eprintid': 44043, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Controlled electrical conductivity (Ec) of tofu wastewater as a hydroponic nutrition.pdf', 'docid': 166049, 'files': [{'fileid': 479023, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-08-14 15:06:40', 'filename': 'Controlled electrical conductivity (Ec) of tofu wastewater as a hydroponic nutrition.pdf', 'hash': '4086a74fde353d4545e9673a758bd3ef', 'datasetid': 'document', 'filesize': 712818, 'objectid': 166049, 'uri': 'http://repository.lppm.unila.ac.id/id/file/479023'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166049'}]",Fakultas Pertanian,,,,,,,,,,,,,,,,,,
28,,44045,['S1'],,2022-08-15 01:36:44,archive,7,,show,Lembar Penilaian Reviewer_Design of insect trap automatic control system for cacao plants_Procedia Environmental Science and Engineering,,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/04/40/45,,,,"[{'name': {'family': 'Mareli', 'honourific': None, 'lineage': None, 'given': 'Telaumbanua'}}]",2022-08-15 01:36:44,,2022-08-15 01:36:44,1179,public,http://repository.lppm.unila.ac.id/id/eprint/44045,,,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 44045, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166051', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/479038', 'objectid': 166051, 'mtime': '2022-08-14 15:35:25', 'hash_type': 'MD5', 'filename': 'Design of insect trap automatic control system for cacao plants.pdf', 'hash': '2e18ebc75dfb9d9ee7485c16fe6dcb39', 'fileid': 479038, 'mime_type': 'application/pdf', 'filesize': 701153, 'datasetid': 'document'}], 'main': 'Design of insect trap automatic control system for cacao plants.pdf', 'docid': 166051}]",Fakultas Pertanian,,,,,,,,,,,,,,,,,,
29,,44046,['S1'],,2022-08-15 01:36:47,archive,7,,show,Lembar Penilaian Reviewer_Determination of thermal diffusivity of bulk corn kernel and bulk milled corn kernel using numerical method_IOP Conference Series:Earth and Environmental Science,,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/04/40/46,,,,"[{'name': {'given': 'Telaumbanua', 'lineage': None, 'family': 'Mareli', 'honourific': None}}]",2022-08-15 01:36:47,,2022-08-15 01:36:47,1179,public,http://repository.lppm.unila.ac.id/id/eprint/44046,,,unpub,"[{'eprintid': 44046, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 166052, 'main': 'Determination of thermal diffusivity of bulk corn kernel and bulk milled corn kernel using numerical method.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/479045', 'objectid': 166052, 'hash_type': 'MD5', 'mtime': '2022-08-14 15:41:37', 'hash': 'a514cdd255617b0b1f5cfde58c3e6cd3', 'filename': 'Determination of thermal diffusivity of bulk corn kernel and bulk milled corn kernel using numerical method.pdf', 'fileid': 479045, 'mime_type': 'application/pdf', 'filesize': 773837, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166052', 'rev_number': 1}]",Fakultas Pertanian,,,,,,,,,,,,,,,,,,
30,,44049,['S1'],,2022-08-15 01:36:57,archive,7,,show,"Lembar Penilaian Reviewer_Development of teak leaf plate molding machine for producing plastic alternative products_Procedia Environmental Science, Engineering and Management",,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/04/40/49,,,,"[{'name': {'lineage': None, 'family': 'Mareli', 'honourific': None, 'given': 'Telaumbanua'}}]",2022-08-15 01:36:57,,2022-08-15 01:36:57,1179,public,http://repository.lppm.unila.ac.id/id/eprint/44049,,,unpub,"[{'eprintid': 44049, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Development of teak leaf plate molding machine for producing plastic alternative products.pdf', 'docid': 166054, 'files': [{'hash': '731d96d5c13c7d2d49fc4fdc35db84ce', 'filename': 'Development of teak leaf plate molding machine for producing plastic alternative products.pdf', 'hash_type': 'MD5', 'mtime': '2022-08-14 15:46:29', 'mime_type': 'application/pdf', 'fileid': 479057, 'filesize': 706102, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/479057', 'objectid': 166054}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166054', 'rev_number': 1}]",Fakultas Pertanian,,,,,,,,,,,,,,,,,,
31,,44050,['S1'],,2022-08-15 01:37:00,archive,7,,show,Lembar Penilaian Reviewer_Efektivitas larutan mikroorganisme lokal dari tandan kosong kelapa sawit secara aerob_Jurnal of Tropical Upload Resources,,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/04/40/50,,,,"[{'name': {'given': 'Telaumbanua', 'family': 'Mareli', 'honourific': None, 'lineage': None}}]",2022-08-15 01:37:00,,2022-08-15 01:37:00,1179,public,http://repository.lppm.unila.ac.id/id/eprint/44050,,,unpub,"[{'eprintid': 44050, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 166055, 'main': 'Efektivitas larutan mikroorganisme lokal dari tandan kosong kelapa sawit secara aerob.pdf', 'files': [{'objectid': 166055, 'uri': 'http://repository.lppm.unila.ac.id/id/file/479067', 'mime_type': 'application/pdf', 'fileid': 479067, 'hash': '0a7c14dc0149daee3e4216591ac9574d', 'filename': 'Efektivitas larutan mikroorganisme lokal dari tandan kosong kelapa sawit secara aerob.pdf', 'hash_type': 'MD5', 'mtime': '2022-08-14 15:55:01', 'datasetid': 'document', 'filesize': 696631}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166055', 'rev_number': 1}]",Fakultas Pertanian,,,,,,,,,,,,,,,,,,
