,subjects,abstract,status_changed,eprint_status,rev_number,metadata_visibility,title,eprintid,datestamp,corp_creators,userid,lastmod,uri,full_text_status,refereed,ispublished,publisher,documents,divisions,type,dir,publication,issn,creators,number,date_type,volume,official_url,related_url,book_title,pagerange,pres_type,event_location,event_title,event_type,event_dates,contributors,place_of_pub,id_number,contact_email,funders,pages,isbn,editors
38,['H1'],,2022-09-21 08:03:24,archive,7,show,Penilaian Teman Sejawat : Analisis Peran Perangkat Desa Dalam Penerapan Website Desa Pada Masa Pandemi Covid-19,45068,2022-09-21 08:03:24,,19888,2022-09-21 08:03:24,http://repository.lppm.unila.ac.id/id/eprint/45068,public,,pub,P3M STISIPOL Dharma Wacana,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/166990', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 166990, 'uri': 'http://repository.lppm.unila.ac.id/id/file/485735', 'datasetid': 'document', 'filesize': 812766, 'fileid': 485735, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-21 07:17:48', 'filename': 'PENILAIAN TEMAN SEJAWAT.pdf', 'hash': 'f968436725a2487f91966fcb51ea9ab1'}], 'docid': 166990, 'main': 'PENILAIAN TEMAN SEJAWAT.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 45068}]",['FISIP3'],other,disk0/00/04/50/68,,,"[{'name': {'lineage': None, 'family': 'Kris Ari Suryandari', 'honourific': None, 'given': 'KAS'}, 'id': 'krisarisuryandari90@gmail.com'}, {'id': None, 'name': {'given': 'AU', 'family': 'Anisa Utami', 'honourific': None, 'lineage': None}}]",,,,http://wacanapublik.stisipoldharmawacana.ac.id/index.php/wacanapublik/index,"[{'type': 'author', 'url': 'http://wacanapublik.stisipoldharmawacana.ac.id/index.php/wacanapublik/article/view/122'}]",,,,,,,,,,,,,,,
39,['JA'],,2023-05-15 01:20:26,archive,11,show,"Evaluasi Pemilihan Tahun 2020 Dan Prospek Pemilu dan
Pemilihan Tahun 2024",51543,2023-05-15 01:20:26,,552,2023-05-15 01:20:26,http://repository.lppm.unila.ac.id/id/eprint/51543,public,TRUE,pub,PUSAKA MEDIA,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51543, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249144', 'docid': 249144, 'main': 'Catatan Dibalik Pilkada (2).pdf', 'files': [{'filename': 'Catatan Dibalik Pilkada (2).pdf', 'hash': '2a6b9a3a45e519e9232b9f695ed4b416', 'mtime': '2023-05-13 06:28:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 610610, 'filesize': 2028312, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/610610', 'objectid': 249144}]}]",['FISIP3'],book_section,disk0_bak/00/05/15/43,,,"[{'name': {'honourific': None, 'family': 'Krisbintoro', 'lineage': None, 'given': 'Sigit'}}]",,,,,,Catatan Dibalik Pilkada Lampung Timur Tahun 2020,134-141,,,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],"lampung, indonesia",,,,,,
40,['H1'],"Tulisan ini menganalisa tentang kerawanan yang terjadi pada pemilihan Walikota Bandar Lampung 
2020 lalu berdasarkan dimensi, sub dimensi dan indikator yang ditetapkan oleh Bawaslu Republik
Indonesia. Dilatarbelakangi oleh maraknya pelanggaran yang terjadi saat pemilihan Walikota Bandar
Lampung lalu. Indikator yang dipakai dalam analisis di fokuskan pada tiga hal, penyelenggara ,
KPUD dan Bawaslu Kota Bandar Lampung, dan partisipasi pemilih. Metode yang dipakai adalah
kualitatif deskriptif dengan oleh data sekunder dan wawancara.  Hasil menunjukkan bahwa baik
KPUD , Bawaslu dan masyarakat pemilih ketiganya memiliki konstribusi terhadap cukup tingginya
angka  kerawanan pemilu dalam pemilihan walikota lalu.

Kata Kunci : Kerawanan, Pemilu, Bandar Lampung",2022-01-03 06:40:22,archive,8,show,Indek Kerawanan Pemilu Pilkada Kota Bandar Lampung 2021,37565,2022-01-03 06:40:22,,552,2022-01-03 06:40:22,http://repository.lppm.unila.ac.id/id/eprint/37565,public,TRUE,submitted,,"[{'main': 'Indek Kerawanan Pemilu Pilkada Kota Bandar Lampung 2021.pdf', 'docid': 158500, 'files': [{'filesize': 876308, 'datasetid': 'document', 'mtime': '2022-01-03 04:03:30', 'hash_type': 'MD5', 'filename': 'Indek Kerawanan Pemilu Pilkada Kota Bandar Lampung 2021.pdf', 'hash': 'c770bed9691ab5625d3853dd979845d9', 'fileid': 428961, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/428961', 'objectid': 158500}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158500', 'eprintid': 37565, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",['FISIP3'],article,disk0/00/03/75/65,KAPSIPI,,"[{'id': 'sigit.krisbintoro@fisip.unila.ac.id', 'name': {'given': 'Sigit', 'family': 'Krisbintoro', 'honourific': None, 'lineage': None}}, {'id': 'robi_ck@yahoo.com, robi.cahyadi@fisip.unila.ac.id', 'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}}, {'id': 'darmawan.purba@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Purba', 'lineage': None, 'given': 'Darmawan'}}, {'name': {'given': 'ismono', 'family': 'hadi', 'honourific': None, 'lineage': None}, 'id': None}]",,,,,,,,,,,,,,,,,,,,
41,['H1'],"Abstract—Many sides must be involved in the development
of democracy. In addition to the official political institutions,
community groups also have an operationally significant role in
realizing democratic governance. One group that has an
ideational function is a literally sastrawan groupbecause they
have the media to use the language in representing interests, both
private and public interests. Many cases prove that sastrawan are
also the most important part in seeing and simultaneously
undertaking democratic processes especially developing the value
of democracy brought by the local traditions. The concepts of
strengthening the sastrawan and its relation to the creation of
democratic local governance explain the importance of
strengthening the aspect of ideational function in maintaining the
continuity of a governance. In addition to this relevance found,
the fact that literary sastrawanin Lampung have proven to have
not made an important contribution to the strengthening of local
democracy. In some cases, the claim of democracy is also still a
symptomatic polemic and has not found the best solution.
Therefore, the purpose of writing this article in addition to
explain about how the sastrawan runs its ideational function,
more importantly is about how to strengthen the ideational
function of sastrawan in an effort to build a coorporated
democratic governance.
Keywords—ideational functions, sastrawan (literary group),
democratic governance.",2018-07-04 07:31:14,archive,6,show,"Strengthening The Ideational Functions of ""Sastrawan"" In The Effort Democratic Governance in Lampung Province",8456,2018-07-04 07:31:14,['FISIP UNILA'],552,2018-07-04 07:31:14,http://repository.lppm.unila.ac.id/id/eprint/8456,public,TRUE,pub,Atlantis Press,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 8456, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21491', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/83249', 'objectid': 21491, 'filename': 'Strengthening The Ideational Functions of Sastrawan In The Effort Democratic Governance in Lampung Province.pdf', 'hash': '10656d5634f663f7ec7e872619095feb', 'mtime': '2018-07-04 06:55:10', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 83249, 'filesize': 2535411, 'datasetid': 'document'}], 'main': 'Strengthening The Ideational Functions of Sastrawan In The Effort Democratic Governance in Lampung Province.pdf', 'docid': 21491}]",['FISIP3'],article,disk0/00/00/84/56,"Advances in Social Science, Education and Humanities Research (ASSEHR)",2352-5398,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Krisbintoro', 'given': 'Sigit'}}, {'id': None, 'name': {'lineage': None, 'family': 'Purba', 'honourific': None, 'given': 'Darmawan'}}, {'name': {'given': 'Maulana', 'family': 'Mukhlis', 'honourific': None, 'lineage': None}, 'id': 'maulanamukhlis1978@gmail.com'}]",,published,,https://www.atlantis-press.com/proceedings/icodag-17/25886138,,,,,,,,,,,,,,,,
42,"['HB', 'JC']","For the long decades, the Malthus idea of food supply became immensely popular when
we talk about the food security and famines. Malthus argues that the food security and
famines are caused by the lack of food supply. The growth of population creates more
food demand; on the other hand, the food supply is limited. The land for agriculture is
decreased, as an impact of rapid growth population (Malthus, 1789). The Malthusian
tradition emphasizes the drivers of demand. On this perspective, trend in population is
the crucial factor of the increase of food demand (Godfray, et. al. 2010, p. 2770-2772).
In addition, based on this point of view, the policy instrument proposed is related to the
control of the population such as female education and promoting easy access to
contraception. Furthermore, they also argue that the problem of food also is caused by
the supply side. The decrease of crop yield is the significant factor of the decreases of
food supply.",2020-05-30 20:00:04,archive,7,show,Food Security and Entitlement: A Critical Analyses,21207,2020-05-30 20:00:04,,284,2020-05-30 20:00:04,http://repository.lppm.unila.ac.id/id/eprint/21207,public,FALSE,unpub,,"[{'docid': 34594, 'main': 'Food-Security-and-Entitlement-A-Critical-Analyses-.pdf', 'files': [{'objectid': 34594, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197452', 'datasetid': 'document', 'filesize': 107442, 'mime_type': 'application/pdf', 'fileid': 197452, 'filename': 'Food-Security-and-Entitlement-A-Critical-Analyses-.pdf', 'hash': '19edd52b900e9332c7513f7c570123a9', 'hash_type': 'MD5', 'mtime': '2020-05-30 14:24:19'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34594', 'eprintid': 21207, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",['FISIP3'],article,disk0/00/02/12/07,Survey of Critical Concept,,"[{'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,
43,['JC'],Peer Review,2019-11-07 04:37:58,archive,12,show,Buku Political Economy; Peer Review,15814,2019-11-07 04:37:58,,680,2019-11-07 04:37:58,http://repository.lppm.unila.ac.id/id/eprint/15814,public,TRUE,pub,Aura Publisher,"[{'formatdesc': 'ImageMagick conversion from text to application/pdf', 'rev_number': 4, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28917', 'format': 'text', 'pos': 2, 'files': [{'filesize': 774233, 'datasetid': 'document', 'filename': 'Peer Review Buku Political Economy.pdf', 'hash': '0b025935fbb486a222b58c467edfe9aa', 'hash_type': 'MD5', 'mtime': '2019-11-06 14:48:50', 'mime_type': 'application/pdf', 'fileid': 135779, 'uri': 'http://repository.lppm.unila.ac.id/id/file/135779', 'objectid': 28917}], 'main': 'Peer Review Buku Political Economy.pdf', 'docid': 28917, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 15814}]",['FISIP3'],book_section,disk0/00/01/58/14,,,"[{'id': None, 'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}}, {'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'lineage': None, 'honourific': None, 'family': 'Cahyadi'}}]",,,1,,,"Political Economy,",,,,,,,,,,,,,,
44,"['JC', 'JF']","Why do some governments perform well, when the others perform badly in the issue of development such as poverty, welfare, public good provision, environment, and the lack of human development? Different theories exist in the literature regarding these questions. The main aims of this book are; firstly, to discuss the debate among scholars to frame these questions. Secondly, to find novelty in this study so far in order to support this thesis argument that academia has insufficiently addressed the research question so far.",2021-06-25 05:37:28,archive,8,show,Penilaian Teman Sejawat: Political Economy of Development from Global to Indonesian Context A Review of Literature,32854,2021-06-25 05:37:28,,284,2021-06-25 05:37:28,http://repository.lppm.unila.ac.id/id/eprint/32854,public,,pub,CV. Anugrah Utama Raharja,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 32854, 'uri': 'http://repository.lppm.unila.ac.id/id/document/149700', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mtime': '2021-06-25 04:30:06', 'hash_type': 'MD5', 'hash': '396f205de0948edd913fba06601c15f8', 'filename': 'Dok baru 2021-06-25 11.08.12.pdf', 'fileid': 389020, 'mime_type': 'application/pdf', 'filesize': 650055, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/389020', 'objectid': 149700}], 'main': 'Dok baru 2021-06-25 11.08.12.pdf', 'docid': 149700}]",['FISIP3'],other,disk0/00/03/28/54,,,"[{'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}, {'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Cahyadi', 'given': 'Robi'}}]",,,,,[{'url': 'http://repository.lppm.unila.ac.id/21643/'}],,,,,,,,,,,,,,,
45,['JC'],"his research aims to find the impact of village fund (dana desa) programs on social capital and political participation in the Village or rural area in Indonesia. This is a case study research, located in Sumber Jaya Village (Desa Sumber Jaya), Pesawaran Regency, Lampung Province. We also used a quantitative well-informed person assessment research method, a method that assesses the issue of research by asking the stakeholders who have good information about the research topic. There were 33 research respondents who were subsequently asked through questionnaires. The results show that there is still a high tradition of gotong royong, and guyub culture in Sumber Jaya Village, however, when we asked them whether the influence of village funds on social capital and political participation, generally respondents think that there was an influence as seen by the trend of declining scores when we asked by combining the variable of village funds, together with social capital and political participation. Regarding this result, our policy recommendation for future village fund policy based on the game theory model is that government should spend more on social safety net programs or universal basic income in the form of private goods rather than infrastructure spending in the form of public goods.",2021-06-25 05:37:23,archive,7,show,"Penilaian Teman Sejawat: Dana Desa and Trust Issue (Case Studies in Desa Sumber Jaya, Pesawaran, Lampung, Indonesia). Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik, 3 (2). pp. 127-136. ISSN 2714-7673",32859,2021-06-25 05:37:23,,284,2021-06-25 05:37:23,http://repository.lppm.unila.ac.id/id/eprint/32859,public,,pub,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik, 3 (2). pp. 127-136. ISSN 2714-7673","[{'placement': 1, 'security': 'public', 'eprintid': 32859, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mime_type': 'application/pdf', 'fileid': 389069, 'filename': 'Dok baru 2021-06-25 11.13.28.pdf', 'hash': '885deaf153cf3cac302c504d40310094', 'mtime': '2021-06-25 04:56:29', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 745933, 'objectid': 149720, 'uri': 'http://repository.lppm.unila.ac.id/id/file/389069'}], 'main': 'Dok baru 2021-06-25 11.13.28.pdf', 'docid': 149720, 'uri': 'http://repository.lppm.unila.ac.id/id/document/149720', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",['FISIP3'],other,disk0/00/03/28/59,,,"[{'name': {'given': 'Budi', 'family': 'Kurniawan', 'honourific': None, 'lineage': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Indrajat', 'lineage': None, 'given': 'Himawan'}, 'id': None}, {'name': {'lineage': None, 'family': 'muflihah', 'honourific': None, 'given': 'lilih'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hertanto', 'given': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",,,,,[{'url': 'http://repository.lppm.unila.ac.id/30751/'}],,,,,,,,,,,,,,,
46,['H1'],"THE USE OF SOCIAL MEDIA AND IMPLICATIONS ON THE CHANGE OF PUBLIC POLICY IN THE CITY OF BANDARLAMPUNG
By Syarief Makhya
Faculty of Social and Political Sciences, University of Lampung
Lampung, Indonesia

ABSTRACT
	
This study aims to explain the use of social media and its implications for policy changes. The approach of this research is qualitative research. Social media users in Bandar Lampung who respond (criticism, support, suggestions, opinions, arguments and disagreements) to public policy in Bandar Lampung City are used as instruments of data collection. The subject of this research is social media users in Bandar Lampung City. 
	The results showed that the presence of social media, especially among middle-class users used as an instrument to respond to public policies in Bandar Lampung. There is a change of relationship between society and government, from conventional models shifted to the model of internet-based relations. The findings of this study also show that not all critics, suggestions or opinions of the community have implications for policy changes, except in the case of policy that is the policy of road engineering policy discontinuation. Characteristics of policies that change due to public response through social media is public policy that its impact level does not solve the problem. While the public policy perceived by the head of the district or city government of Bandar Lampung tends to only be responded to the extent of the argument against the public policy argument. In the perspective of the relationship between society and government in the case of formulation and implementation of public policy, the government still tends to be dominant in promoting the limited democratic model.

Key Words: Social media, Policy Change, Society  and Government",2018-11-14 02:51:25,archive,10,show,THE USE OF SOCIAL MEDIA AND IMPLICATIONS ON THE CHANGE OF PUBLIC POLICY IN THE CITY OF BANDARLAMPUNG,9876,2018-11-14 02:51:25,['Syarief Makhya'],926,2018-11-14 02:51:25,http://repository.lppm.unila.ac.id/id/eprint/9876,public,FALSE,unpub,,"[{'eprintid': 9876, 'security': 'public', 'placement': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'language': 'en', 'docid': 22886, 'main': 'Presentation IICIS.pptx', 'files': [{'objectid': 22886, 'uri': 'http://repository.lppm.unila.ac.id/id/file/93037', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'fileid': 93037, 'hash': '24dbc2d31be43733da44765a0a4585ac', 'filename': 'Presentation IICIS.pptx', 'hash_type': 'MD5', 'mtime': '2018-11-14 01:04:22', 'datasetid': 'document', 'filesize': 87497}], 'format': 'slideshow', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22886'}]",['FISIP3'],conference_item,disk0/00/00/98/76,,,"[{'id': 'syarief.makhya@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Makhya', 'lineage': None, 'given': 'Syarief'}}]",,,,,,,,paper,,confererence IICIS FISIP UNILA TAHUN 2018,conference,,"[{'id': 'syarief.makhya@fisip.unila.ac.id', 'name': {'given': 'Syarief', 'lineage': None, 'honourific': None, 'family': 'Makhya'}}]",,,,,,,
47,['H1'],-,2019-12-26 05:05:32,archive,7,show,patriarki dan pemahaman yang belum tuntas,17409,2019-12-26 05:05:32,['Universitas Lampung'],880,2019-12-26 05:05:32,http://repository.lppm.unila.ac.id/id/eprint/17409,public,FALSE,pub,,"[{'files': [{'fileid': 147300, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-12-26 04:53:20', 'hash': '39de777f619b10f97208976ded3b0e19', 'filename': '14a. Ari.D- Patriarki nop2019.pdf', 'datasetid': 'document', 'filesize': 9259835, 'objectid': 30535, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147300'}], 'docid': 30535, 'main': '14a. Ari.D- Patriarki nop2019.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30535', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17409, 'mime_type': 'application/pdf', 'language': 'en'}]",['FISIP3'],conference_item,disk0/00/01/74/09,,,"[{'name': {'given': 'Tabah', 'lineage': None, 'family': 'Maryanah', 'honourific': None}}, {'name': {'given': 'Ari', 'family': 'Darmastuti', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Handayani', 'given': 'Dwi Wahyu'}}]",,,,,,,,other,,prosiding seminar hasil penelitian dan pengabdian kepada masyarakat,other,,,,,,,,,
48,['JA'],"Tujuan dari penelitian ini adalah untuk membandingkan kinerja pembangunan berdasarkan Pendekatan Kemampuan Amartya Sen dari dua pemerintah daerah, Kabupaten Springwateru dan Kabupaten Lampung Barat di Provinsi Lampung. Dengan menggabungkan penelitian studi kasus deskriptif kuantitatif dan kualitatif komparatif, kami menemukan bahwa ada kontribusi masing-masing dari lembaga politik dan ekonomi dalam menentukan kinerja pembangunan di daerah ini. Pringsewu lebih baik daripada Lampung Barat dalam output ekonomi dan pengembangan manusia karena lembaga ekonomi inklusif. Di sisi lain, kedua daerah memiliki institusi politik ekstraktif yang sama dengan Pringsewuis yang relatif lebih baik dalam kategori ini. Hasil ini memperkuat teori institusi sebagai faktor kunci untuk hasil pembangunan yang lebih baik.",2021-06-25 05:37:35,archive,8,show,Penilaian Teman Sejawat: MENGAPA PEMBANGUNAN DAERAH GAGAL: STUDI KOMPARATIF PEMBANGNAN KABUPATEN LAMPUNG BARAT DAN KABUPATEN PRINGSEWU,32858,2021-06-25 05:37:35,,284,2021-06-25 05:37:35,http://repository.lppm.unila.ac.id/id/eprint/32858,public,,pub,"Wacana Publik 13, no. 02 (2019)","[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/149714', 'main': 'Dok baru 2021-06-25 11.12.37.pdf', 'docid': 149714, 'files': [{'objectid': 149714, 'uri': 'http://repository.lppm.unila.ac.id/id/file/389057', 'datasetid': 'document', 'filesize': 756590, 'fileid': 389057, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-25 04:51:26', 'filename': 'Dok baru 2021-06-25 11.12.37.pdf', 'hash': '19fa7b521207839bd327cfa91c33c97a'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 32858, 'security': 'public', 'placement': 1}]",['FISIP3'],other,disk0/00/03/28/58,,,"[{'name': {'given': 'Melyansyah', 'honourific': None, 'family': 'Melyansyah', 'lineage': None}, 'id': None}, {'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Kurniawan', 'given': 'Budi'}}]",,,,http://wacanapublik.stisipoldharmawacana.ac.id/index.php/wacanapublik/article/view/36,,,,,,,,,,,,,,,,
49,['H1'],SIMILARITY CHECK,2021-03-07 09:27:21,archive,7,show,ANALISIS ISU KEBIJAKAN DALAM PENGEMBANGAN KELEMBAGAAN PEMERINTAHAN (STUDI PADA KELEMBAGAAN PENYULUH DI KABUPATEN PESAWARAN),28236,2021-03-07 09:27:21,,681,2021-03-07 09:27:21,http://repository.lppm.unila.ac.id/id/eprint/28236,public,,unpub,Jurnal ANALIS SOSIAL POLITIK FISIP Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 28236, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42284', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 42284, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251187', 'fileid': 251187, 'mime_type': 'application/pdf', 'mtime': '2021-03-07 07:18:31', 'hash_type': 'MD5', 'hash': '4347de80675cd8422ac7fb89756c7d24', 'filename': '6. Similirity JASP (Mandiri).pdf', 'datasetid': 'document', 'filesize': 439184}], 'main': '6. Similirity JASP (Mandiri).pdf', 'docid': 42284}]",['FISIP3'],other,disk0/00/02/82/36,,,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'honourific': None, 'family': 'Mukhlis', 'lineage': None, 'given': 'Maulana'}}]",,,,,,,,,,,,,,,,,,,,
50,['H1'],"Kepada siapa pertanyaan dalam judul di atas disematkan? Tentu kepada semua; penyelenggara negara, warga negara/organisasi sipil, serta kooporasi (private sector) karena ketiganya adalah pilar good governance (tata pemerintahan yang baik; ataupun pengistilahan lainnya). Sejak 1989, konsep good governance yang mulai dikemukakan oleh lembaga seperti World Bank, IMF, dan UNDP serta negara maju (Eropa/Amerika) dan korporasi barat, menjadi salah satu kebutuhan paling mendesak di negara-negara dunia ketiga di Asia, Afrika dan Amerika Latin sebagai prakondisi untuk datangnya bantuan internasional kepada mereka.",2018-02-15 08:43:32,archive,6,show,Apa Kabar Good Governance ?,6413,2018-02-15 08:43:32,['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung'],681,2018-02-15 08:43:32,http://repository.lppm.unila.ac.id/id/eprint/6413,public,TRUE,pub,,"[{'language': 'en', 'mime_type': 'application/msword', 'eprintid': 6413, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19345', 'main': 'OPINI (Maulana Mukhlis)-6 (Lampost, 18-02-2016).doc', 'docid': 19345, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/59487', 'objectid': 19345, 'filesize': 51200, 'datasetid': 'document', 'filename': 'OPINI (Maulana Mukhlis)-6 (Lampost, 18-02-2016).doc', 'hash': 'abcc54fed77a9784373d8d3d9c897270', 'mtime': '2018-01-30 01:48:37', 'hash_type': 'MD5', 'mime_type': 'application/msword', 'fileid': 59487}]}]",['FISIP3'],article,disk0/00/00/64/13,Harian Umum LAMPUNG POST,,"[{'name': {'given': 'Maulana', 'honourific': None, 'family': 'Mukhlis', 'lineage': None}}]",,published,,,,,,,,,,,,,,,,,,
51,['H1'],"It is widely stated in the literature that the worldwide use of material resources is rising in tandem with population
growth. In proportion to the rise in human population, it is anticipated that the amount of waste will increase as well.
Therefore, those environmental issues that pose a growing threat to life and ecosystems must be addressed. As
stated in the literature, by implementing a circular economy, for example, the amount of unprocessed trash generated
at the household level can be effectively managed. The concept of a circular economy provides a solution to the
problem of community waste by creating new products from waste resources that have economic value. Therefore,
the purpose of this study is to identify obstacles to achieving sustainable development with a circular economy system
in terms of household waste management in the Rawa Pitu district, Lampung province on the Indonesian island of
Sumatra. The study is qualitative in nature, with data analysis techniques including interviews, observations, and
questionnaires, with a total of 104 participants. The data analysis included data collection, data reduction, data display,
and conclusion drawings. The findings indicate that in the Rawa Pitu district, it has not been possible to maximize
public participation in addressing waste management issues. This is due to the fact that there has been no action
taken by the local government regarding the management of household waste, and there has been no shift in the
community's approach to waste management. For this, we need an alternative solution in the form of a circular
economy by implementing the 3Rs (Reduce, Reuse, Recycle). Consequently, the involvement of stakeholders in
shaping community participation in achieving sustainable development is crucial, and there is a need for continuous
oversight. As well as discussing the implications of the findings, we offer several suggestions for additional studies",2023-04-05 07:16:54,archive,6,show,"A Circular Economy, Waste Management, and Sustainable
Development: A Case Study of a Transmigration Rural Area on the Indonesian Island of Sumatra",49684,2023-04-05 07:16:54,,681,2023-04-05 07:16:54,http://repository.lppm.unila.ac.id/id/eprint/49684,public,TRUE,pub,GENERAL MANAGEMENT,"[{'eprintid': 49684, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '20221210_84cd60e3-33cf-4f80-bf56-e6d984bd3c73.pdf', 'docid': 189324, 'files': [{'filename': '20221210_84cd60e3-33cf-4f80-bf56-e6d984bd3c73.pdf', 'hash': '768820ced90433d473a038e8dd9f107a', 'hash_type': 'MD5', 'mtime': '2023-04-05 07:12:26', 'mime_type': 'application/pdf', 'fileid': 538508, 'filesize': 265201, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/538508', 'objectid': 189324}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189324'}]",['FISIP3'],article,disk0_bak/00/04/96/84,QUALITY,1582-2559,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'given': 'Maulana', 'lineage': None, 'honourific': None, 'family': 'Mukhlis'}}]",,,,,,,,,,,,,,,,,,,,
