,eprint_status,status_changed,abstract,subjects,referencetext,title,official_url,metadata_visibility,volume,rev_number,eprintid,date_type,lastmod,userid,datestamp,pagerange,documents,publisher,number,ispublished,refereed,full_text_status,uri,type,contact_email,divisions,issn,creators,publication,date,dir,related_url,pres_type,event_type,event_dates,event_title,event_location,corp_creators,succeeds,pages,book_title,contributors,isbn,place_of_pub,note,keywords,id_number
10,archive,2018-02-15 08:43:22,"Pemiludaka serentak telah usai dan pemenang sudah diputuskan oleh KPU (atau oleh MK jika ada gugatan) maka yang ditunggu kini tinggal pelantikan. Kemendagri merencanakan bahwa pelantikan kepala daerah akan dilakukan dalam dua tahap; akhir Januari dan akhir Maret 2016 mendatang. 
Pasca pelantikan, salah satu prioritas awal bagi kepala daerah terpilih (termasuk delapan kabupaten/kota di Provinsi Lampung) adalah memilih para ‘pembantu’ yang dianggap mampu mendukung ketercapaian janji politik serta kewajiban fungsi pelayanan publik yang diembannya sebagai pejabat politik. Prioritas berikutnya, baru menyusun rencana pembangunan jangka menengah daerah sebagai ‘haluan’ pembangunan selama lima tahun ke depan. Tulisan ini hendak membahas prioritas yang pertama.",['H1'],,Birokrasi Kita Setelah Pemilukada,,show,,6,6412,,2018-02-15 08:43:22,681,2018-02-15 08:43:22,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19344', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/msword', 'fileid': 59481, 'hash': '1b3e79990a4b17ac37b747eec36eedde', 'filename': 'OPINI (Maulana Mukhlis)-5 (Lampost, 07-01-2016).doc', 'mtime': '2018-01-30 01:46:36', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 47104, 'objectid': 19344, 'uri': 'http://repository.lppm.unila.ac.id/id/file/59481'}], 'docid': 19344, 'main': 'OPINI (Maulana Mukhlis)-5 (Lampost, 07-01-2016).doc', 'mime_type': 'application/msword', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 6412}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6412,article,,['FISIP3'],,"[{'name': {'given': 'Maulana', 'lineage': None, 'family': 'Mukhlis', 'honourific': None}}]",Harian Umum LAMPUNG POST,2016-01-07 00:00:00.000000000,disk0/00/00/64/12,,,,,,,['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung'],,,,,,,,,
11,archive,2018-02-15 05:08:53,"Lahirnya inovasi daerah sebagaimana diamanatkan oleh UU 23/2014 tentang Pemerintahan Daerah salah satunya ditentukan oleh kualitas kepemimpinan. Dalam upaya melahirkan pemimpin yang kuat dan mampu melahirkan inovasi, maka pada seluruh peserta diklat kepemimpinan (pada semua level eselon; I, II, III, dan IV) diharuskan membuat laporan proyek perubahan/inovasi daerah yang telah/ akan dilakukan di daerahnya pasca diklatpim. Tujuan penelitian ini adalah untuk mengetahui peluang (prospek) munculnya inovasi daerah di Kabupaten Pringsewu Provinsi Lampung dari hasil analisis terhadap tigapuluh tiga dokumen proyek perubahan/inovasi daerah dari peserta diklatpim IV tahun 2014. Kajian ini menggunakan metode deskriptif dengan menggunakan pendekatan kualitatif dan mengandalkan data sekunder dalam bentuk dokumen laporan proyek perubahan. 
Hasil penelitian menunjukkan bahwa meskipun pelaksanaan diklatpim IV pada tahun 2014 di Kabupaten Pringsewu telah menggunakan pola baru dengan perubahan kurikulum, penekanan metode pembelajaran pada aspek pengalaman lapangan atau di tempat kerja, serta lahirnya inovasi bagi unit kerja yang telah/ akan dilakukan namun hanya terdapat tiga belas dari tigapuluh tiga proyek perubahan yang masuk dalam kategorisasi jenis inovasi. Proyek perubahan yang dihasilkan oleh peserta diklatpim IV masih berkisar pada upaya optimalisasi bukan pengembangan. Kreatifitas yang muncul dari pejabat eselon IV juga masih berkisar pada optimalisasi administratif yang sangat mungkin hal tersebut sudah diamanatkan dalam aturan teknis yang dikeluarkan pemerintah (pusat). Proyek perubahan dalam Diklatpim IV lebih merupakan kreatifitas individu dalam menjalankan tupoksi di unit kerja sehingga belum merupakan inovasi pimpinan sebagai dasar munculnya inovasi di daerah. Tentu terdapat variabel atau faktor lain sebagai ukuran atau dasar menilai porspek (peluang) munculnya inovasi daerah selain pada aspek kepemimpinan melalui penyelenggaraan diklatpim sebagai kasus dalam penelitian ini.",['H1'],,MENAKAR PELUANG MUNCULNYA INOVASI DAERAH PASCA UNDANG-UNDANG 23 TAHUN 2014 (Studi pada Hasil Diklatpim IV Kabupaten Pringsewu Provinsi Lampung),http://jurnal.unpad.ac.id/cosmogov/issue/view/748,show,2,6,6401,published,2018-02-15 05:08:53,681,2018-02-15 05:08:53,1-22,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 6401, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19332', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 59404, 'hash': '24a9952e45817eb45630c44f33ba8242', 'filename': '04. JURNAL COSMOGOV - 2016.pdf', 'mtime': '2018-01-29 04:49:46', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 9680264, 'objectid': 19332, 'uri': 'http://repository.lppm.unila.ac.id/id/file/59404'}], 'docid': 19332, 'main': '04. JURNAL COSMOGOV - 2016.pdf'}]",Universitas Padjadjaran Bandung,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6401,article,,['FISIP3'],2442-595,"[{'name': {'lineage': None, 'family': 'Mukhlis', 'honourific': None, 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}]",JURNAL COSMOGOV,2016-04-01 00:00:00.000000000,disk0/00/00/64/01,"[{'type': 'pub', 'url': 'http://jurnal.unpad.ac.id/cosmogov/issue/view/748'}]",,,,,,['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung'],,,,,,,,,
12,archive,2018-02-15 08:43:42,"DELAPAN pasang kepala daerah di Provinsi Lampung hasil Pemilukada serentak 2015 telah dilantik pada 17 Februari 2016 lalu. Kini, masyarakat menunggu ‘gebrakan’ mereka untuk membuktikan janji-janji (di satu sisi) dan ekspektasi/harapan warga masyarakat (di sisi lain). 
Diantara cara yang dipakai oleh warga untuk mengungkapkan kegelisahan terhadap ketidaktercapaian ekspektasinya terhadap tata kelola pemerintahan adalah melalui kritik. Variasinya dalam bentuk protes, demonstrasi, dan berbagai bentuk desakan politis lainnya. Dalam konteks politik, karenanya, banyak tidaknya atau besar kecilnya kritik akan menjadi indikator paling mudah untuk melihat sejuah mana tujuan individu terhadap keberadaan kekuasaan (pemerintahan) dapat dipenuhi.",['H1'],,Mengharap Tata Kekuasaan Simpatik,,show,,7,6414,,2018-02-15 08:43:42,681,2018-02-15 08:43:42,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/59493', 'objectid': 19346, 'mtime': '2018-01-30 01:50:32', 'hash_type': 'MD5', 'filename': 'OPINI (Maulana Mukhlis)-7 (Lampost, 02-03-2016).doc', 'hash': '54b4a4a104907f53478548899ee8c281', 'fileid': 59493, 'mime_type': 'application/msword', 'filesize': 46592, 'datasetid': 'document'}], 'docid': 19346, 'main': 'OPINI (Maulana Mukhlis)-7 (Lampost, 02-03-2016).doc', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19346', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 6414, 'language': 'en', 'mime_type': 'application/msword'}, {'eprintid': 6414, 'placement': 2, 'security': 'public', 'language': 'en', 'mime_type': 'application/msword', 'main': 'OPINI (Maulana Mukhlis)-7 (Lampost, 02-03-2016).doc', 'docid': 19347, 'files': [{'mtime': '2018-01-30 01:50:51', 'hash_type': 'MD5', 'filename': 'OPINI (Maulana Mukhlis)-7 (Lampost, 02-03-2016).doc', 'hash': '54b4a4a104907f53478548899ee8c281', 'fileid': 59495, 'mime_type': 'application/msword', 'filesize': 46592, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59495', 'objectid': 19347}], 'pos': 2, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19347'}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6414,article,,['FISIP3'],,"[{'name': {'lineage': None, 'family': 'Mukhlis', 'honourific': None, 'given': 'Maulana'}}]",Harian Umum LAMPUNG POST,2016-03-02 00:00:00.000000000,disk0/00/00/64/14,,,,,,,['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung'],,,,,,,,,
13,archive,2018-02-15 08:44:36,"SAAT ini, kepala daerah hasil Pemilukada serentak yang sudah dilantik, oleh undang-undang diberikan waktu enam bulan setelah pelantikannya untuk menghasilkan RPJMD (rencana pembangunan jangka menengah daerah). RPJMD sebagai dokumen induk pembangunan daerah selanjutnya akan menjadi arah dan bahkan indikator keberhasilan kepala daerah dalam bentuk kebijakan daerah. 
Itu mengapa jika ada pertanyaan bagaimana membuat sebuah pemerintahan efektif? Maka selain pentingnya kepemimpinan yang baik, jujur, berintegritas, inovatif, dan seterusnya, jawaban akan bermuara pada dua hal lainnya yaitu keberfungsian. 
Adalah penting untuk menjamin adanya pemerintah yang “cakep” atau pemerintah yang nampak tampan/cantik karena bersih dari perilaku koruptif. Namun hal yang juga penting adalah adanya pemerintah yang “cakap” yaitu pemerintah yang mampu menjalankan dua tugas pokoknya: membangun kebijakan publik yang baik dan melayani publik secara berkualitas.",['H1'],,RPJMD dan Keterbatasan Kebijakan,,show,,6,6415,published,2018-02-15 08:44:36,681,2018-02-15 08:44:36,,"[{'language': 'en', 'mime_type': 'application/msword', 'placement': 1, 'security': 'public', 'eprintid': 6415, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19348', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 42496, 'fileid': 59501, 'mime_type': 'application/msword', 'hash_type': 'MD5', 'mtime': '2018-01-30 01:53:09', 'filename': 'OPINI (Maulana Mukhlis)-8 (Lampost, 29-03-2016).doc', 'hash': 'a372b1650b6dd8eeb88ccabd24931122', 'objectid': 19348, 'uri': 'http://repository.lppm.unila.ac.id/id/file/59501'}], 'docid': 19348, 'main': 'OPINI (Maulana Mukhlis)-8 (Lampost, 29-03-2016).doc'}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6415,article,,['FISIP3'],,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Mukhlis', 'given': 'Maulana'}}]",Harian Umum LAMPUNG POST,2016-03-29 00:00:00.000000000,disk0/00/00/64/15,,,,,,,['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung'],,,,,,,,,
14,archive,2018-02-15 05:09:42,"Kota Bandar Lampung teridentifikasi sebagai salah satu daerah di Indonesia yang sangat rentan bencana dengan intensitas serta dampaknya ditengarai akan semakin sering dan parah seiring dengan dampak perubahan iklim. Peran Pemerintah Daerah dalam membuat kebijakan dan mengimplementasikan aksi adaptasi/mitigasi merupakan hal penting yang mempengaruhi ketahanan (resilience) baik skala komunitas maupun skala kota untuk menghadapi bencana tersebut. Tujuan riset ini adalah untuk mengevaluasi bagaimana peran dan kebijakan yang telah dijalankan Pemerintah Daerah dalam tata kelola pemerintahan mampu meningkatkan kapasitas adaptif atau ketahanan daerah. Evaluasi terhadap upaya peningkatan kapasitas adaptif (ketahanan daerah) tersebut dianalisis menggunakan pendekatan The Adaptive Capacity Wheel dalam 6 (enam) dimensi yaitu keberagaman, kapasitas pembelajaran, kewenangan untuk berubah, kepemimpinan, sumber daya, serta pemerintahan yang adil dan responsif. 

Hasil riset menunjukkan bahwa kesadaran Pemkot Bandar Lampung dalam upaya peningkatan ketahanan daerah sudah cukup tinggi dengan dijadikannya perubahan iklim sebagai isu strategis dalam dokumen perencanaan formal serta keberagaman tindakan, baik skala kota maupun skala sektor. Kota ini memiliki kapasitas pembelajaran dengan belajar dari peristiwa bencana yang pernah dialami di masa lalu. Kapasitas kepemimpinan juga mampu mempengaruhi munculnya aksi mulai dari perencanaan strategi, kebijakan, implementasi, dan kemampuan kolaborasi dengan membentuk kelembagaan lokal (khusus terkait dengan perubahan iklim) dengan melibatkan dan mengoptimalkan keragaman sumber daya yang ada. Meskipun belum optimal, keberadaan beberapa aturan daerah yang mengatur kelembagaan hingga bentuk kebijakan yang dihasilkan dalam konteks perubahan iklim juga menjadi bukti adanya indikator pemerintahan yang adil dan responsif. Pada konteks tata kelola pemerintahan dalam upaya peningkatan kapasitas adaptif atau ketahanan terhadap perubahan iklim, Kota Bandar Lampung layak dijadikan contoh best practice bagi daerah lain di Indonesia.",['H1'],,TATA KELOLA PEMERINTAHAN DALAM PENINGKATAN KAPASITAS ADAPTIF/KETAHANAN KOTA BANDAR LAMPUNG TERHADAP DAMPAK PERUBAHAN IKLIM,http://jipsi.fisip.unikom.ac.id/archive/3/,show,VI,6,6407,published,2018-02-15 05:09:42,681,2018-02-15 05:09:42,1-16,"[{'main': '05. JURNAL JIPSI - 2016.pdf', 'docid': 19339, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/59449', 'objectid': 19339, 'filesize': 6950831, 'datasetid': 'document', 'filename': '05. JURNAL JIPSI - 2016.pdf', 'hash': 'f510b64acefc8f70cab6018cc62e48d7', 'mtime': '2018-01-29 05:39:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 59449}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19339', 'eprintid': 6407, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",FISIP UNIKOM BANDUNG,2.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6407,article,,['FISIP3'],2086-1109,"[{'name': {'family': 'Mukhlis', 'honourific': None, 'lineage': None, 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}]",JURNAL JIPSI,2016-12-01 00:00:00.000000000,disk0/00/00/64/07,"[{'url': 'http://jipsi.fisip.unikom.ac.id/archive/3/', 'type': 'pub'}]",,,,,,['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung'],,,,,,,,,
15,archive,2018-02-15 08:39:37,"PADA 20 maret 2016 lalu, Ombudsman genap 16 tahun hadir di Indonesia’. Lembaga negara ini lahir melalui Kepres No. 44 Tahun 2000 di era Presiden Abdurahman Wahid; waktu itu, Ombudsman RI bernama Komisi Ombudsman Nasional (KON). Jika dibanding The Parliamentary Ombudsman di Swedia yang didirikan pada 1809 sebagai cikal bakal lembaga pegawas pelayanan di dunia, maka Ombudman RI memang masih sangat muda. Dengan asumsi bahwa Ombudsman adalah bagian dari proses transisi menuju demokrasi, maka Ombudsman-pun kemudian menjadi suatu keharusan di negara penganut demokrasi.",['H1'],,Tantangan Ombudsman dalam Jaringan Pelayanan,,show,,6,6416,,2018-02-15 08:39:37,681,2018-02-15 08:39:37,,"[{'docid': 19349, 'main': 'OPINI (Maulana Mukhlis)-9 (Lampost, 13-04-2016).doc', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/59507', 'objectid': 19349, 'filesize': 53248, 'datasetid': 'document', 'filename': 'OPINI (Maulana Mukhlis)-9 (Lampost, 13-04-2016).doc', 'hash': '6cc755d5a7b76044d1545d3e3271880f', 'hash_type': 'MD5', 'mtime': '2018-01-30 01:55:13', 'mime_type': 'application/msword', 'fileid': 59507}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19349', 'rev_number': 1, 'eprintid': 6416, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/msword'}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6416,article,,['FISIP3'],,"[{'name': {'honourific': None, 'family': 'Mukhlis', 'lineage': None, 'given': 'Maulana'}}]",Harian Umum LAMPUNG POST,2016-04-13 00:00:00.000000000,disk0/00/00/64/16,,,,,,,['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung'],,,,,,,,,
16,archive,2021-08-12 00:35:29,,['H1'],,Simbolisasi Kekuasaan dan Pertentangan Kelompok Masyarakat Sipil di Lampung Selatan,,show,1,8,33379,,2021-08-12 00:35:29,8741,2021-08-12 00:35:29,372-396,"[{'eprintid': 33379, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 152818, 'main': 'www.unlock-pdf.com berebut-kontrol-atas-kesejahteraan.pdf', 'files': [{'filesize': 35549773, 'datasetid': 'document', 'hash': '3dd2c254bd7269a7e297add761973815', 'filename': 'www.unlock-pdf.com berebut-kontrol-atas-kesejahteraan.pdf', 'mtime': '2021-08-10 04:22:04', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 395842, 'uri': 'http://repository.lppm.unila.ac.id/id/file/395842', 'objectid': 152818}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152818'}]",PolGov,,pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/33379,book_section,,['FISIP3'],,"[{'name': {'family': 'Purba', 'honourific': None, 'lineage': None, 'given': 'Darmawan'}, 'id': 'darmawan.purba@fisip.unila.ac.id'}]",,2016-03-01 00:00:00.000000000,disk0/00/03/33/79,,,,,,,['PolGov'],,402.0,Berebut Kontrol atas Kesejahteraan,"[{'id': 'darmawan.purba@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Purba', 'lineage': None, 'given': 'Darmawan'}}]",978-602-71962-3-0,Yogyakarta,,,
17,archive,2022-03-29 10:07:36,"lembar reviewer judul ""Simbolisasi Kekuasaan dan Pertentangan Kelompok Masyarakat Sipil di Lampung Selatan""",['H1'],,Simbolisasi Kekuasaan dan Pertentangan Kelompok Masyarakat Sipil di Lampung Selatan,,show,,8,40681,,2022-03-29 10:07:36,8741,2022-03-29 10:07:36,,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162055', 'format': 'text', 'pos': 1, 'files': [{'objectid': 162055, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452787', 'mime_type': 'application/pdf', 'fileid': 452787, 'hash': 'a5cf815404496804c8f9b609d6df82f1', 'filename': 'Book Chapter Nasional - Simbolisasi Kekuasaan.pdf', 'mtime': '2022-03-29 08:58:10', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 79367}], 'main': 'Book Chapter Nasional - Simbolisasi Kekuasaan.pdf', 'docid': 162055, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 40681}]",PolGov,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/40681,other,,['FISIP3'],,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Purba', 'given': 'Darmawan'}}]",,2016-03-01 00:00:00.000000000,disk0/00/04/06/81,,,,,,,,,,,,,,,,
18,archive,2016-11-10 04:37:20,"Hutan kemasyarakatan (Hkm) adalah hutan negara yang pemanfaatan utamanya ditujukan untuk memberdayakan masyarakat setempat. Kebijakan Hutan kemasyarakatan mengizinkan masyarakat untuk dapat mengelola sebagian dari sumberdaya hutan dengan rambu-rambu yang telah ditentukan Permintaan dari kelompok-kelompok petani hutan kemasyarakatan mengenai perizinan Hkm di sekitar kawasan hutan lindung register 30 Tanggamus sangat tinggi dan banyak tumbuh kelompok-kelompok baru yang merupakan kelompok-kelompok potensial menjadi kelompok pengelola Hkm yang bagus. Namun kenyataannya banyak kelompok tani yang belum memperoleh izin pengelolaan Hkm bahkan ada kelompok tani yang tidak mampu membuat draft/proposal izin pengelolaan Hkm, Dari 38 kelompok tani yang mengajukan izin, baru 14 kelompok tani yang telah memperoleh izin pengelolaan HKm, sedangkan kelompok tani lainnya ada yang masih tahap verifikasi, namun ada juga yang tidak jelas sampai sejauh mana proses perizinan tersebut berlangsung. Kondisi tersebut jelas merupakan suatu masalah, karena belum didapatnya izin pengelolaan Hkm tidak hanya mengakibatkan petani sekitar kawasan hutan tidak dapat memanfaatkan hutan sebagai penyangga kehidupan ekonomi, sosial dan ekologis mereka, namun akibat lebih jauh adalah ketika kelompok tani tidak mampu berfungsi sebagai pengelola fungsi hutan yang optimal bahkan ketika akhir-akhir ini banyak terjadi alih fungsi hutan yang tidak sesuai peruntukan dan penggunaan lahannya. Tujuan penelitian adalah pertama, mengidentifikasi kendala apa saja yang dihadapi kelompok tani register 30 Kabupaten Tanggamus sehingga belum dapat membuat atau memperoleh izin Hutan Kemasyarakatan, dan kedua, mengetahui faktor-faktor pendukung untuk melakukan percepatan proses pengajuan perizinan Hkm di kawasan hutan register 30 Kabupaten Tanggamus. Melalui FGD dan wawancara dengan petani, aparat masyarakat, tokoh masyarakat, Watala dan Dinas Kehutanan diperoleh hasil bahwa kendala yang dihadapi kelompok tani di register 30 adalah adanya keterbatasan pengetahuan petani tentang proses/tatacara pengajuan izin pengelolaan Hkm, terbatasnya tenaga fasilitator, dan adanya “oknum” (elit desa, LSM dan bahkan aparat pemerintah) yang justru memanfaatkan kebijakan Hkm untuk mencari keuntungan sepihak. Faktor pendukung percepatan proses pengajuan perizinan Hkm di register 30 adalah melalui kegiatan pendampingan masyarakat/fasilitasi kepada kelompok tani dan pengemasan pesan dan pembuatan draft buku panduan Hkm.",['AC'],,ANALISIS PENGELOLAAN HUTAN KEMASYARAKATAN DI SEKITAR KAWASAN HUTAN LINDUNG REGISTER 30 KABUPATEN TANGGAMUS PROVINSI LAMPUNG TAHUN 2010,,show,18,9,1117,published,2019-09-11 06:15:26,912,2016-11-10 04:37:20,32-36,"[{'security': 'public', 'placement': 1, 'eprintid': 1117, 'mime_type': 'application/msword', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/7402', 'objectid': 1001, 'hash': '55f8cd02e49be575a4d37cf9d2d316bc', 'filename': 'DR.FENI ROSALIA ARTIKEL (2).doc', 'mtime': '2016-11-10 03:50:28', 'hash_type': 'MD5', 'mime_type': 'application/msword', 'fileid': 7402, 'filesize': 97792, 'datasetid': 'document'}], 'main': 'DR.FENI ROSALIA ARTIKEL (2).doc', 'docid': 1001, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1001', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Direktorat Riset dan Pengabdian Kepada Masyarakat Universitas Padjajaran,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1117,article,,['FISIP3'],14110-0911,"[{'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'given': 'Feni', 'honourific': None, 'family': 'Rosalia', 'lineage': None}}]","Sosiohumaniora, Jurnal Ilmu-Ilmu Sosial dan Humaniora",2016-03-01 00:00:00.000000000,disk0/00/00/11/17,[{'type': 'pub'}],,,,,,,,,,,,,,,
19,archive,2019-09-11 13:54:44,Hasil Penilaian Teman Sejawat,['H1'],,ANALISIS PENGELOLAAN HUTAN KEMASYARAKATAN DI SEKITAR KAWASAN HUTAN LINDUNG REGISTER 30 KABUPATEN TANGGAMUS PROVINSI LAMPUNG TAHUN 2010.,,show,18,6,14137,published,2019-09-11 13:54:44,912,2019-09-11 13:54:44,,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 14137, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27179', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/122920', 'objectid': 27179, 'filesize': 746670, 'datasetid': 'document', 'hash': 'd6d2844a5589894eb6d1b6d205bb3ad0', 'filename': 'analisis pengelolaan.pdf', 'hash_type': 'MD5', 'mtime': '2019-09-11 13:41:33', 'mime_type': 'application/pdf', 'fileid': 122920}], 'main': 'analisis pengelolaan.pdf', 'docid': 27179}]",LPPM UNPAD,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/14137,article,,['FISIP3'],1411-0911,"[{'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'given': 'Feni', 'lineage': None, 'honourific': None, 'family': 'Rosalia'}}]",Jurnal Ilmu-Ilmu Sosial dan Humaniora,1970-01-01 00:00:00.000002016,disk0/00/01/41/37,,,,,,,['Universitas Lampung'],,,,,,,,,
20,archive,2019-09-11 15:58:26,Hasil Penilaian Teman Sejawat,['H1'],,"Analysis of Gender in Access, Participation and Control of Forest Resources, and Watershed of Kecamatan Kebun Tebu in Kabupaten Lampung Barat",,show,,7,14138,published,2019-09-11 15:58:26,912,2019-09-11 15:58:26,,"[{'files': [{'filesize': 749000, 'datasetid': 'document', 'mtime': '2019-09-11 14:01:41', 'hash_type': 'MD5', 'filename': 'analysis of gender.pdf', 'hash': '1259611ca19d6de252384f53fd889bb8', 'fileid': 122928, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122928', 'objectid': 27180}], 'main': 'analysis of gender.pdf', 'docid': 27180, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27180', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 14138, 'mime_type': 'application/pdf', 'language': 'en'}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/14138,conference_item,,['FISIP3'],,"[{'name': {'given': 'Feni', 'family': 'Rosalia', 'honourific': None, 'lineage': None}, 'id': 'feni.rosalia@fisip.unila.ac.id'}]",,1970-01-01 00:00:00.000002016,disk0/00/01/41/38,,paper,conference,2 NOVEMBER 2016,SHIELD CONFERENCE 2016,BANDAR LAMPUNG,['Universitas Lampung'],,,,,,,,,
21,archive,2019-09-11 15:58:28,Hasil Similarity,['H1'],,"Analysis of Gender in Access, Participation and Control of Forest Resources, and Watershed of Kecamatan Kebun Tebu in Kabupaten Lampung Barat",,show,,7,14139,published,2019-09-11 15:58:28,912,2019-09-11 15:58:28,,"[{'files': [{'fileid': 122935, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-09-11 14:04:53', 'hash': 'dccae5b3a8ab672f58e7dce1a99f3f34', 'filename': 'analysis of gender.pdf', 'datasetid': 'document', 'filesize': 459192, 'objectid': 27181, 'uri': 'http://repository.lppm.unila.ac.id/id/file/122935'}], 'main': 'analysis of gender.pdf', 'docid': 27181, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27181', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 14139, 'mime_type': 'application/pdf', 'language': 'en'}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/14139,conference_item,,['FISIP3'],,"[{'name': {'given': 'Feni', 'lineage': None, 'honourific': None, 'family': 'Rosalia'}, 'id': 'feni.rosalia@fisip.unila.ac.id'}]",,1970-01-01 00:00:00.000002016,disk0/00/01/41/39,,paper,conference,2 NOVEMBER 2016,SHIELD CONFERENCE 2016,BANDAR LAMPUNG,['Universitas Lampung'],,,,,,,,,
