,documents,publisher,number,ispublished,refereed,full_text_status,uri,lastmod,userid,datestamp,creators,issn,publication,dir,date,type,divisions,title,official_url,metadata_visibility,volume,rev_number,related_url,status_changed,eprint_status,abstract,subjects,eprintid,date_type,isbn,place_of_pub,pages,book_title,pagerange,referencetext,corp_creators,id_number,editors,institution,department,monograph_type,succeeds,contact_email,pres_type,event_type,event_dates,event_location,event_title,note,keywords,contributors,funders
10,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36602', 'format': 'text', 'pos': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2020-07-08 07:45:58', 'filename': 'Reviewer Dr.Feni R .  Metagpvernance on Disaster.pdf', 'hash': '516d116c5cb80fef1b604f01bc28ca39', 'fileid': 211364, 'mime_type': 'application/pdf', 'filesize': 421384, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/211364', 'objectid': 36602}], 'docid': 36602, 'main': 'Reviewer Dr.Feni R .  Metagpvernance on Disaster.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 23043}]",Prosiding Seminar Internasional,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/23043,2020-07-08 07:55:29,912,2020-07-08 07:55:29,"[{'id': None, 'name': {'given': 'Ari', 'lineage': None, 'honourific': None, 'family': 'Darmastuti'}}, {'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Rosalia', 'lineage': None, 'given': 'Feni'}}]",,,disk0/00/02/30/43,1970-01-01 00:00:00.000002019,other,['FISIP3'],Metagovernance on Disaster: Learning from Lampung Tsunami in Indonesia,,show,,7,,2020-07-08 07:55:29,archive,Peer Review,['AC'],23043,published,,,,,,,,,,,,,,,,,,,,,,,
11,"[{'files': [{'objectid': 36605, 'uri': 'http://repository.lppm.unila.ac.id/id/file/211386', 'datasetid': 'document', 'filesize': 2183080, 'fileid': 211386, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-07-08 08:04:16', 'hash': '151439eae9aefc33ec4c61906da10f6e', 'filename': 'Feni. R. Similarity Metagovernance.pdf'}], 'main': 'Feni. R. Similarity Metagovernance.pdf', 'docid': 36605, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36605', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 23046, 'mime_type': 'application/pdf', 'language': 'en'}]",ICONSIER 2019,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/23046,2020-07-08 08:17:21,912,2020-07-08 08:17:21,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Darmastuti', 'given': 'Ari'}}, {'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'given': 'Feni', 'lineage': None, 'honourific': None, 'family': 'Rosalia'}}]",,,disk0/00/02/30/46,1970-01-01 00:00:00.000002019,other,['FISIP3'],Metagovernance on Disaster: Learning from Lampung Tsunami in Indonesia,,show,,7,,2020-07-08 08:17:21,archive,Similarity,['AC'],23046,published,,,,,,,,,,,,,,,,,,,,,,,
12,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/34725', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mtime': '2020-06-01 02:42:55', 'hash_type': 'MD5', 'filename': 'sefila 2020.pdf', 'hash': 'dfa182e8a87bb0177c5f35a9f71ed80a', 'fileid': 198352, 'mime_type': 'application/pdf', 'filesize': 419590, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198352', 'objectid': 34725}], 'main': 'sefila 2020.pdf', 'docid': 34725, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 21328}]",FAKULTAS ILMU SOSIAL DAN ILMU POLITIK (FISIP) UNIVERSITAS LAMPUNG,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21328,2020-06-01 05:44:16,269,2020-06-01 05:44:16,"[{'id': 'dwi.wahyu@fisip.unila.id.', 'name': {'lineage': None, 'family': 'Handayani', 'honourific': None, 'given': 'Dwi Wahyu'}}]",ISBN NO. 9 786239 197209,"Prosiding Seminar Nasional FISIP Universitas Lampung (SeFila) 3 'Agenda Baru Pembangunan Indonesia Berbasis Local Knowledge', Kamis, 8 Agustus 2019, Hotel Bukit Randu, Kota Bandarlampung, Indonesia",disk0/00/02/13/28,2019-10-09 00:00:00.000000000,article,['FISIP3'],"KAJIAN PELUANG PIMPINAN WILAYAH NASYIATUL AISYIYAH
LAMPUNG DALAM PENCEGAHAN KERENTANAN PEREMPUAN
PADA KEJAHATAN NARKOBA",,show,3,6,,2020-06-01 05:44:16,archive,"Gerakan perempuan yang telah mapan seperti Nasyiatul Aisyiyah (NA) telah memiliki 
analisis situasi yang responsif terhadap persoalan kerentanan perempuan pada kejahatan
narkoba. Namun, analisis kritis tetap perlu dilakukan dalam merumuskan kontribusi 
masing-masing pimpinan wilayah NA agar mampu menerjemahkan kebijakan pimpinan
pusat berupa program dan kegiatan. Artikel ini berupa opini yang berupaya mengkaji
peluang NA Wilayah Lampung, dilihat pada upaya mewujudkan karakteristik gerakan
perempuan yaitu aktivis, kelembagaan dan pelibatan aspek lintas sektoral.
Kata kunci: S Kajian Peluang, Nasyiatul Aisyiyah, Kerentanan Perempuan, Kejahatan
Narkoba",['JA'],21328,published,,,,,43-48,,['UNIVERSITAS LAMPUNG'],,,,,,,,,,,,,,,,
13,"[{'docid': 26573, 'main': '146-689-1-PB.pdf', 'files': [{'objectid': 26573, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118472', 'fileid': 118472, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-07-16 06:44:39', 'hash': 'f31d9a006491b3f6bcadaa3bbb5dad49', 'filename': '146-689-1-PB.pdf', 'datasetid': 'document', 'filesize': 535516}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26573', 'rev_number': 1, 'eprintid': 13563, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Andalas Institute of International Studies,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/13563,2019-07-17 02:39:23,307,2019-07-17 02:39:23,"[{'id': 'dwi.wahyu@fisip.unila.id.', 'name': {'honourific': None, 'family': 'Handayani', 'lineage': None, 'given': 'Dwi Wahyu'}}, {'name': {'honourific': None, 'family': 'Sidemen', 'lineage': None, 'given': 'i Gede'}, 'id': 'igede.sidemen@fisip.unila.ac.id'}, {'id': 'iickmaniez@yahoo.com', 'name': {'honourific': None, 'family': 'Ratnasari', 'lineage': None, 'given': 'Yuni'}}]",2355-9500,Andalas Journal of International Studies,disk0/00/01/35/63,2019-05-30 00:00:00.000000000,article,['FISIP3'],"Penanganan Penyelundupan Manusia di Wilayah
Pesisir Provinsi Lampung",http://ajis.fisip.unand.ac.id/index.php/ajis,show,8,6,,2019-07-17 02:39:23,archive,"Pesisir Lampung adalah wilayah yang disinggahi para
imigran pencari suaka dan pengungsi sebelum menuju
negara tujuan, karena konflik dan ingin mendapat kehidupan
lebih baik dari negara asal. Sementara pembangunan
maritim harus memperhatikan keamanan sosial. Tujuan
penelitian ini adalah mendapatkan pengembangan model
kerjasama penanganan penyelundupan manusia di Wilayah
Pesisir Lampung. Peneliti menggunakan formula Lani Kass
mengenai ancaman keamanan non tradisional. Peneliti
menjelaskan dengan metode kualitatif deskriptif mengenai
tiga aspek yaitu kerentanan negara, tujuan masuknya orang
asing dan kapabilitas negara. Hasil penelitian ini bahwa ada kerentanan keamanan pemerintah daerah akibat migran
illegal dan penyelundupan manusia. Namun penanganan
penyelundupan manusia di daerah sangat tergantung pada
kebijakan, anggaran, program pemerintah pusat, hingga
jaringan kerjasama internasionalnya.",['JA'],13563,published,,,,,88-103,,"['Jurusan Ilmu Pemerintahan', 'Jurusan Sosiologi', 'Jurusan Sosiologi']",DOI: https://doi.org/10.25077/ajis.8.1.88-103.2019,,,,,,,,,,,,,,,
14,"[{'eprintid': 21326, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'PROSIDING PENGABDIAN dwi wahyu 2020.pdf', 'docid': 34724, 'files': [{'fileid': 198342, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-01 02:30:24', 'filename': 'PROSIDING PENGABDIAN dwi wahyu 2020.pdf', 'hash': 'b04174221521da78f25b1928daf76734', 'datasetid': 'document', 'filesize': 325745, 'objectid': 34724, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198342'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34724', 'rev_number': 1}]",LPPM UNIVERSITAS LAMPUNG,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21326,2020-06-01 05:44:09,269,2020-06-01 05:44:09,"[{'id': 'dwi.wahyu@fisip.unila.id.', 'name': {'lineage': None, 'honourific': None, 'family': 'Handayani', 'given': 'Dwi Wahyu'}}, {'id': 'iickmaniez@yahoo.com', 'name': {'given': 'Yuni', 'honourific': None, 'family': 'ratnasari', 'lineage': None}}, {'name': {'given': 'indra jaya', 'lineage': None, 'honourific': None, 'family': 'wiranata'}, 'id': 'indrajaya.wiranata@fisip.unila.ac.id'}]",,Prosiding  Seminar Hasil Pengabdian Kepada Masyarakat Tahun 2019,disk0/00/02/13/26,2019-12-03 00:00:00.000000000,article,['FISIP3'],"PEMBERDAYAAN BAGI TOKOH MASYARAKAT DAN
APARATUR PEMERINTAH DI DESA WISATA 
KABUPATEN PESISIR BARAT DALAM PENCEGAHAN
KASUS PERDAGANGAN PEREMPUAN DAN ANAK",,show,,7,,2020-06-01 05:44:09,archive,"Kabupaten Pesisir  Barat Provinsi Lampung memiliki pesona alam pesisir yang 
menakjubkan banyak wisatawan, bahkan dari mancanegara. Jumlah wisatawan
mancanegara  yang berkunjung selama tahun 2016  sebanyak 15.389 orang.
Pemerintah melalui pembangunan pariwisata  ini, berharap dapat menjadi
penggerak roda perekonomian masyarakat setempat, sehingga dapat keluar dari
penilaian sebagai salah satu daerah tertinggal di Indonesia. Geliat pengembangan
pariwisata di suatu daerah, namun  sebagian besar ekonomi masyarakat masih di
bawah rata-rata, menimbulkan permasalahan. Salah satunya  adalah aspek
keamanan, yaitu kejahatan human trafficking (perdagangan manusia).  Badan
Pemberdayaan Perempuan dan Perlindungan Anak (BP3A) Lampung mewaspadai
adanya human trafficking dengan modus kawin kontrak di lingkungan wisata
Pesisir Barat, Tanjungsetia. 
Sosialisasi bertujuan membentuk aparatur pemerintah  dan tokoh masyarakat
yang bersinergi dalam melindungi warganya dari praktik tersebut. Sasaran
sosialisasi ini diperuntukkan bagi aparatur pemerintah dan tokoh masyarakat dari
wilayah wisata yaitu dari Pekon Bumi Waras, dan Pekon Labuhan Mandi 
(Kecamatan Way Krui), Pekon Seray dan Pekon Kampung Jawa (Kecamatan Pesisir
Tengah), Pekon Mandiri Sejati (Kecamatan Krui Selatan), serta Pekon Tanjung Setia
(Kecamatan Pesisir Selatan). Jumlah  peserta 50 orang. Metode Kegiatan, adalah
menggelar forum discussion group (FGD) dengan  Badan Pemberdayaan Perempuan
dan Perlindungan Anak (BP3A) Kabupaten Pesisir Barat, serta kegiatan sosialisasi. 
Kata Kunci: Pemberdayaan, Pembangunan Pariwisata, Perdagangan Manusia",['H1'],21326,published,,,,,158-171,,"['UNIVERSITAS LAMPUNG', 'UNIVERSITAS LAMPUNG', 'UNIVERSITAS LAMPUNG']",,,,,,,,,,,,,,,,
15,"[{'docid': 26682, 'main': 'IPSR 2019.pdf', 'files': [{'datasetid': 'document', 'filesize': 81684, 'fileid': 119283, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-07-26 06:22:10', 'filename': 'IPSR 2019.pdf', 'hash': 'dffe2d13650ead6e6a65436bb3460776', 'objectid': 26682, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119283'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26682', 'eprintid': 13671, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Universitas Negeri Semarang,2.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/13671,2019-07-31 08:29:55,680,2019-07-31 08:29:55,"[{'id': 'hermawan.dedy@yahoo.com', 'name': {'honourific': None, 'family': 'Hermawan', 'lineage': None, 'given': 'Dedy'}}, {'id': 'robi_ck@yahoo.com', 'name': {'family': 'Cahyadi', 'honourific': None, 'lineage': None, 'given': 'Robi'}}]","2477-8060, 2503-4456",Politik Indonesia: Indonesian Political Science Review,disk0/00/01/36/71,2019-07-25 00:00:00.000000000,article,['FISIP3'],Distributive Politics and Manipulative Policy in Local Election,https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122/9441,show,4,6,"[{'type': 'pub', 'url': 'https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122/9441'}]",2019-07-31 08:29:55,archive,"Distributive politics is part of the concept of patronage or clientelism, term of clientelism commonly referred to in some scientific literature. Research on distributive politics in the context of local politics, especially in the election of regional heads is still rare. Previous studies are still conducted within the national scope, such as presidential and legislative elections. This research tries to answer the question of how the process of distributive politics and manipulative policies runs in the local context of Bandar Lampung Local Election in 2015.The study was conducted in Bandar Lampung City in September 2016 until January 2017. This research used qualitative method through in-depth interview approach to informants related to the research. The informant consisted of several political actors, Herman HN's successful team and academics. The result of this research indicates that politics of distributive among voters occurs in the selection of Bandar Lampung Mayor. There is a symbiotic mutualism between candidate and the voters in Bandar Lampung Local Election. Voters can be influenced by the choice of imaging of candidate, through the concept of distributive politics or pork barrels politics or provide necessary needs for the voting community with infrastructure policy; roads and bridges, free education, free health and religious social assistance. Other results indicate that the manipulative policies carried out by candidate make voters lulled to absurd performance that ends in the Bandar Lampung City budget crisis after the policy is rolled out.",['JA'],13671,published,,,,,180-190,,,,,,,,,,,,,,,,,,
16,"[{'security': 'public', 'placement': 1, 'eprintid': 15866, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/136161', 'objectid': 28958, 'filesize': 2973361, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-11-07 05:11:47', 'filename': '7. JurNas Terakreditasi IPSR_2019, Cek Similarity 13.pdf', 'hash': '7d782350898e7ffd612475f89f925c77', 'fileid': 136161, 'mime_type': 'application/pdf'}], 'docid': 28958, 'main': '7. JurNas Terakreditasi IPSR_2019, Cek Similarity 13.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28958', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Universitas Negeri Semarang,2.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15866,2019-11-14 07:44:11,680,2019-11-14 07:44:11,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hermawan', 'given': 'Dedy'}, 'id': 'hermawan.dedy@yahoo.com'}, {'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}}]","2477-8060, 2503-4456",Politik Indonesia: Indonesian Political Science Review,disk0/00/01/58/66,1970-01-01 00:00:00.000002019,article,['FISIP3'],"Similarity Check Result Jurnal ""Distributive Politics and Manipulative Policy in Local Election""",https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122,show,4,6,[{'url': 'https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122'}],2019-11-14 07:44:11,archive,Similarity index,['JS'],15866,published,,,,,,,,,,,,,,,,,,,,,,,
17,"[{'content': 'published', 'mime_type': 'text/html', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 21025, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34404', 'rev_number': 3, 'pos': 1, 'format': 'text', 'files': [{'filesize': 42239, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-05-29 07:00:30', 'filename': 'reader_id=dVnHDwAAQBAJ&lr=&printsec=frontcover&pg=GBS.PP1', 'hash': '0717288669be3661190a6f0f7dd0bd71', 'fileid': 196215, 'mime_type': 'text/html', 'uri': 'http://repository.lppm.unila.ac.id/id/file/196215', 'objectid': 34404}], 'main': 'reader_id=dVnHDwAAQBAJ&lr=&printsec=frontcover&pg=GBS.PP1', 'docid': 34404}]",Deepublish,,pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/21025,2020-05-29 07:13:46,284,2020-05-29 07:13:46,"[{'name': {'given': 'Abdullah', 'family': 'Idi', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Budi', 'lineage': None, 'honourific': None, 'family': 'Kurniawan'}}]",,,disk0/00/02/10/25,1970-01-01 00:00:00.000002019,book_section,['FISIP3'],Merubah Watak Birokrasi,https://books.google.co.id/books/about/Dinamika_Dan_Rekonstruksi_Kebijakan_Publ.html?id=dVnHDwAAQBAJ&source=kp_book_description&redir_esc=y,show,,8,,2020-05-29 07:13:46,archive,Buku kumpulan tulisan tentang dinamika kebijakan publik di Bangka Belitung paska Otonomi Daerah,['JA'],21025,published,978-623-02-0132-5,Yogyakarta,99.0,Dinamika Dan Rekonstruksi Kebijakan Publik Di Era Otonomi Daerah,62-66,,,,"[{'name': {'lineage': None, 'family': 'Arkom', 'honourific': None, 'given': 'Darol'}}, {'name': {'honourific': None, 'family': 'Ariady', 'lineage': None, 'given': 'Shulby Yozar'}}]",,,,,,,,,,,,,,
18,"[{'eprintid': 21190, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 34574, 'main': 'Laporan Penelitian Pemilu Bangka Barat.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 197344, 'filename': 'Laporan Penelitian Pemilu Bangka Barat.pdf', 'hash': '2cb54bc0e2e4cba6cba77753ce27c8f7', 'hash_type': 'MD5', 'mtime': '2020-05-30 13:32:28', 'datasetid': 'document', 'filesize': 1346372, 'objectid': 34574, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197344'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34574', 'rev_number': 1}]",Jurusan Ilmu Pemerintahan Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/21190,2020-05-30 20:01:31,284,2020-05-30 20:01:31,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Kurniawan', 'given': 'Budi'}}]",,,disk0/00/02/11/90,2019-12-01 00:00:00.000000000,monograph,['FISIP3'],EVALUASI PARTISIPASI POLITIK PEMILIH PADA PEMILU 2019 DI KABUPATEN BANGKA BARAT,,show,,7,,2020-05-30 20:01:31,archive,"Penelitian ini bertujuan untuk melakukan evalusi partisipasi pemilih dalam pemilihan umum 2019 di Kabutan Pangka Barat. Partisipasi politik dalam pemilihan umum atau diistilahkan dengan voter turnout telah menjadi concern banyak ilmuan politk dan stake-holders kepemiluan. Umumnya mereka berpendapat semakin tinggi partisipasi dalam pemilu maka makin baiklah legitimasi politik dan kualitas demokrasi. Semakin banyak yang ikut pemilu maka sukeslah penyelanggara pemilu dalam hal ini Komisi Pemilihan Umum. Semakin banyak partisipasi maka semakin tinggilah angka Index Demokrasi di daerah yang dihitung Badan Pusat Statistik setiap tahun untuk konteks Indonesia. 
 
Namun masalah partisipasi memilih tidak sesederhana banyak-nya partisipasi pemilih yang ikut pemilu. Perlu juga dievaluasi apakah jumlah yang banyak berbanding lurus pula dengan kualitas memilih masyarakat.  Kesuksesan dalam jumlah yang banyak ikut melakukan pemungutan suara seharusnya diikuti pula dengan kualitas pemilu yang baik seperti rendahnya politik uang atau vote buying, hoax dan kampanye hitam. 
 
Kata Kunci:  Voter Turnout, partisipasi politik, politik identitas, budaya politik, cliente",['JA'],21190,,,Bandar Lampung,39.0,,,,,,,University of Lampung,Government,project_report,,,,,,,,,,,
19,"[{'files': [{'mtime': '2020-05-31 00:57:56', 'hash_type': 'MD5', 'filename': 'Dinamika Kebijakan Publik.jpg', 'hash': '9577cfa5925c0268eaf8f61f1480eb42', 'fileid': 203449, 'mime_type': 'image/jpeg', 'filesize': 195032, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/203449', 'objectid': 35474}], 'main': 'Dinamika Kebijakan Publik.jpg', 'docid': 35474, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35474', 'rev_number': 2, 'pos': 1, 'format': 'image', 'placement': 1, 'security': 'public', 'eprintid': 22078, 'mime_type': 'image/jpeg', 'language': 'en'}]",Deepublish,,pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/22078,2020-06-08 05:36:32,284,2020-06-08 05:36:32,"[{'name': {'given': 'Budi', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",,,disk0/00/02/20/78,1970-01-01 00:00:00.000002019,book_section,['FISIP3'],Etnisitas dalam Pemilihan Kepala Daerah di Bangka Belitung,https://play.google.com/books/reader?id=dVnHDwAAQBAJ&pg=GBS.PA22,show,,5,,2020-06-08 05:36:32,archive,"Munculnya Ahok, Rudianto Tjen, Hidayat Arsani dan Ir. Bahar dalam kancah politik Bangka Belitung yang selama ini di dominasi oleh etnis melayu adalah suatu fenomena yang menarik. Menjadi menarik karena paradoks dengan sejarah perjalanan orde baru dan orde lama yang menempatkan etnis Tionghoa sebagai kelompok yang tesingkirkan dalam kancah dunia politik. Pada masa orde baru suatu hal yang tabu bagi individu Tionghoa untuk terjun ke dunia politik. Etnis Tionghoa justru berkuasa dan mendapat jatah di sektor ekonomi. Aset-aset ekonomi secara dominan dikuasai oleh etnis Tionghoa termasuk di provinsi kepulauan Bangka Belitung ini.

Kemunculan etnis Tionghoa dalam artian positif mengindikasikan bahwa polarisasi etnis telah mati di Bangka-Belitung. Indikasi positif ini menandakan bahwa Bangka-Belitung telah memasuki fase tarakhir dari perjalanan demokrasi yaitu advance demokrasi, dimana demokrasi diartikan sebagai media menajemen konflik masyarakat. Konflik baik beradasrkan ras, suku, agama dan aliran disalurkan dan diredam melalui sistem demokrasi yang lebih mengedepankan perbedaan atau jualan program kerja (sebagai hasil turunan nilai dan ideologi yang dianut) oleh partai politik atau kandidat bagi kemajuan masyarakat.","['JA', 'JF', 'JQ', 'JS']",22078,published,978-623-02-0132-5,,,Dinamika Dan Rekonstruksi Kebijakan Publik Di Era Otonomi Daerah,22-25,,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Arkum', 'given': 'Darol'}}, {'name': {'family': 'Ariadhy', 'honourific': None, 'lineage': None, 'given': 'Shulby Yozar'}}]",,,,21225.0,,,,,,,,,,
20,"[{'security': 'public', 'placement': 1, 'eprintid': 21643, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 35028, 'uri': 'http://repository.lppm.unila.ac.id/id/file/200373', 'fileid': 200373, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-03 06:45:18', 'filename': 'Political Economy of Development.pdf', 'hash': 'b0b79f14360faba56b0a2d3ef9819360', 'datasetid': 'document', 'filesize': 1375368}], 'main': 'Political Economy of Development.pdf', 'docid': 35028, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35028', 'rev_number': 1, 'format': 'text', 'pos': 1}]",CV. Anugrah Utama Raharja,,pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/21643,2020-06-03 07:15:30,284,2020-06-03 07:15:30,"[{'name': {'given': 'Budi', 'family': 'Kurniawan', 'honourific': None, 'lineage': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",,,disk0/00/02/16/43,1970-01-01 00:00:00.000002019,book,['FISIP3'],Political Economy of Development from Global to Indonesian Context A Review of Literature,,show,,8,,2020-06-03 07:15:30,archive,"Why do some governments perform well, when the others perform badly in the issue of development such as poverty, welfare, public good provision, environment, and the lack of human development? Different theories exist in the literature regarding these questions. The main aims of this book are; firstly, to discuss the debate among scholars to frame these questions. Secondly, to find novelty in this study so far in order to support this thesis argument that academia has insufficiently addressed the research question so far.","['HB', 'JA']",21643,published,978-623-211-058-8,Bandar Lampung,,,,,,,,,,,,,,,,,,,,,
