,rev_number,volume,metadata_visibility,title,subjects,abstract,status_changed,eprint_status,date_type,eprintid,full_text_status,uri,refereed,ispublished,number,contributors,documents,publisher,datestamp,pagerange,corp_creators,userid,lastmod,date,dir,publication,creators,issn,divisions,type,official_url,keywords,contact_email,pres_type,event_type,event_title,event_location,event_dates,related_url,place_of_pub,id_number
10,6,,show,"Mechanical Properties of Pineapple Fiber and Unidirectional Pineapple Fiber
Reinforced Polyester Composite",['TJ'],"Nowadays, a lot of preliminary researches on natural fibre composite were carried out to replace composite
reinforced by synthetic fibre. The main advantages of this natural fibre composite are the low cost of the raw fibre,
environmental friendly, recyclable and high ratio of modulus and density. Pineapple fibre is available as agriculture
waste. The tensile properties of pineapple fibre were carried out in order to know the possibility of using this fibre
as reinforcement. The pineapple fibre shows an adequate strength of 194.12 MPa. Natural fibre composite with
pineapple fibre as a reinforcement in polymer matrix was investigated. The pineapple fibre reinforced polyester
composite was produced using a simple technique called hand lay-up technique. To maintain a low cost, the
composite was produced without compatibilizer. Tensile test were carried out to investigate the mechanical
properties of the composite. The result shows that the tensile strength increases with the particle loading. The
scanning electron micrograph shows intermediate compatibility between particle and polyester matrix.",2023-03-01 01:59:37,archive,published,48651,public,http://repository.lppm.unila.ac.id/id/eprint/48651,TRUE,pub,,,"[{'security': 'public', 'placement': 1, 'eprintid': 48651, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/530339', 'objectid': 188000, 'hash_type': 'MD5', 'mtime': '2023-02-28 13:36:34', 'filename': '2012_SNTTM_XI_pineapple_Tumpal_sudah_sah_LPPM_similarity.pdf.pdf', 'hash': 'a839053404c6a9539f40e8c3c5de5c5d', 'fileid': 530339, 'mime_type': 'application/pdf', 'filesize': 1530112, 'datasetid': 'document'}], 'main': '2012_SNTTM_XI_pineapple_Tumpal_sudah_sah_LPPM_similarity.pdf.pdf', 'docid': 188000, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188000', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Badan Kerjasama Teknik Mesin Indonesia (BKSTM),2023-03-01 01:59:37,1565-1569,,326,2023-03-01 01:59:37,2012-10-16 00:00:00.000000000,disk0_bak/00/04/86/51,,"[{'name': {'given': 'Shirley', 'lineage': None, 'family': 'Savetlana', 'honourific': None}, 'id': 'shirley.savetlana@eng.unila.ac.id'}, {'name': {'given': 'Tumpal Ojahan', 'family': 'Rajaguguk', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Zhohanes', 'honourific': None, 'given': 'MZ'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Nardianto', 'given': 'Nardianto'}}]",,['FT7'],other,http://seminar.bkstm.org/histori/,,,paper,conference,Proceeding Seminar Nasional Tahunan Teknik Mesin XI (SNTTM XI) & Thermofluid IV Universitas Gadjah Mada (UGM),Jogyakarta,16 Oktober 2012,"[{'url': 'https://scholar.google.com/citations?user=_EvuwtsAAAAJ&hl=en', 'type': 'author'}]",,
11,6,,show,Influence of water-vapor on the isothermal oxidation behavior of aluminized AISI 1020 steel at elevated temperatures,['TA'],Hasil penilaian sejawat sebidang atau peer review,2019-08-12 02:44:09,archive,,13763,public,http://repository.lppm.unila.ac.id/id/eprint/13763,TRUE,pub,50,,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 13763, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26772', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'fileid': 119995, 'mime_type': 'application/pdf', 'mtime': '2019-08-08 08:51:20', 'hash_type': 'MD5', 'filename': '4. Scan Review Influence........................ 13-16.pdf', 'hash': 'b7bdf3e1e3a7b375d26d3ad9c65bc532', 'datasetid': 'document', 'filesize': 977115, 'objectid': 26772, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119995'}], 'main': '4. Scan Review Influence........................ 13-16.pdf', 'docid': 26772}]","Procedia Engineering, Elsevier B.V.",2019-08-12 02:44:09,,,1133,2019-08-12 02:44:09,1970-01-01 00:00:00.000002012,disk0/00/01/37/63,Procedia Engineering,"[{'name': {'given': 'Sugiyanto', 'lineage': None, 'honourific': None, 'family': 'Sugiyanto'}, 'id': 'sugiyanto.1957@eng.unila.ac.id'}]",1877-7058,['FT7'],article,http://www.sciencedirect.com,,,,,,,,,,
12,6,,show,Influence of water-vapor on the isothermal oxidation behavior of aluminized AISI 1020 steel at elevated temperatures,['TJ'],Plagiarism check,2019-08-19 03:09:05,archive,published,13820,public,http://repository.lppm.unila.ac.id/id/eprint/13820,TRUE,pub,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13820, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26844', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/120527', 'objectid': 26844, 'filesize': 3715259, 'datasetid': 'document', 'hash': 'd85b7a66732a76c4cc4d957d98a679d2', 'filename': '4. Influence of water-vapor on the isothermal oxidation behavior of aluminized AISI 1020 steel at elevated temperatures.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-13 05:57:27', 'mime_type': 'application/pdf', 'fileid': 120527}], 'docid': 26844, 'main': '4. Influence of water-vapor on the isothermal oxidation behavior of aluminized AISI 1020 steel at elevated temperatures.pdf'}]","Procedia Engineering, Elsevier B.V.",2019-08-19 03:09:05,,['Universitas Lampung'],1133,2019-08-19 03:09:05,1970-01-01 00:00:00.000002012,disk0/00/01/38/20,Procedia Engineering,"[{'name': {'given': 'Sugiyanto', 'honourific': None, 'family': 'Sugiyanto', 'lineage': None}, 'id': 'sugiyanto.1957@eng.unila.ac.id'}]",1877-7058,['FT7'],article,http://www.sciencedirect.com,,,,,,,,,,
13,8,,show,Similarity Check Prosiding Judul 2: Influence of water-vapor on the isothermal oxidation behavior of aluminized AISI 1020 steel at elevated temperatures,['TJ'],Similarity Check Prosiding Judul 2: Influence of water-vapor on the isothermal oxidation behavior of aluminized AISI 1020 steel at elevated temperatures,2020-10-14 04:10:47,archive,published,24297,public,http://repository.lppm.unila.ac.id/id/eprint/24297,,pub,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 24297, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38016', 'rev_number': 1, 'docid': 38016, 'main': '2P. Similarity Influence of water-vapor on the isothermal.pdf', 'files': [{'objectid': 38016, 'uri': 'http://repository.lppm.unila.ac.id/id/file/221103', 'mime_type': 'application/pdf', 'fileid': 221103, 'filename': '2P. Similarity Influence of water-vapor on the isothermal.pdf', 'hash': 'd85b7a66732a76c4cc4d957d98a679d2', 'hash_type': 'MD5', 'mtime': '2020-10-13 14:07:17', 'datasetid': 'document', 'filesize': 3715259}]}]",LPPM-Unila,2020-10-14 04:10:47,,,1133,2020-10-14 04:10:47,2012-10-24 00:00:00.000000000,disk0/00/02/42/97,,"[{'name': {'given': 'Sugiyanto', 'honourific': None, 'family': 'Sugiyanto', 'lineage': None}, 'id': 'sugiyanto.1957@eng.unila.ac.id'}]",,['FT7'],other,,,,,,,,,,,
14,10,,show,"Microvascular Guidance: A Challenge to Support
the Development of Vascularised Tissue Engineering Construct",['TS'],"The guidance of endothelial cell organization into a capillary network has been a long-standing challenge in tissue engineering.
Some research efforts have been made to develop methods to promote capillary networks inside engineered tissue constructs.
Capillary and vascular networks that would mimic blood microvessel function can be used to subsequently facilitate oxygen and
nutrient transfer as well as waste removal. Vascularization of engineering tissue construct is one of the most favorable strategies
to overpass nutrient and oxygen supply limitation, which is often the major hurdle in developing thick and complex tissue and artificial organ. This paper addresses recent advances and future challenges in developing three-dimensional culture systems to
promote tissue construct vascularization allowing mimicking blood microvessel development and function encountered in vivo.
Bioreactors systems that have been used to create fully vascularized functional tissue constructs will also be outlined.",2020-02-17 03:36:38,archive,published,17693,public,http://repository.lppm.unila.ac.id/id/eprint/17693,,pub,,,"[{'files': [{'datasetid': 'document', 'filesize': 4097970, 'mime_type': 'application/pdf', 'fileid': 150837, 'hash': 'cfa41cf557a6faa791df37428fac7225', 'filename': 'Plagiarism_Microvascular Guidance_ A Challenge to Support the Development of Vascularised Tissue Engineering Construct.pdf', 'hash_type': 'MD5', 'mtime': '2020-02-06 00:44:47', 'objectid': 31039, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150837'}], 'main': 'Plagiarism_Microvascular Guidance_ A Challenge to Support the Development of Vascularised Tissue Engineering Construct.pdf', 'docid': 31039, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31039', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 17693, 'language': 'en', 'mime_type': 'application/pdf'}]",The Scientific World Journal,2020-02-17 03:36:38,,,464,2020-02-17 03:36:38,1970-01-01 00:00:00.000002012,disk0/00/01/76/93,,"[{'name': {'given': 'Irza', 'honourific': None, 'family': 'Sukmana', 'lineage': None}, 'id': 'irza.sukmana@gmail.com'}]",,['FT7'],other,,,,,,,,,,,
15,11,,show,"PLAGIARISM_Bioactive polymer scaffold for fabrication of vascularized
engineering tissue",['TS'],"Tissue engineering seeks strategies to design
polymeric scaffolds that allow high-cell-density cultures
with signaling molecules and suitable vascular supply. One major obstacle in tissue engineering is the inability to create thick engineered-tissue constructs. A pre-vascularized tissue scaffold appears to be the most favorable approach to avoid nutrient and oxygen supply limitations as well as to allow waste removal, factors that are often hurdles in developing thick engineered tissues. Vascularization can be achieved using strategies in which cells are cultured in bioactive polymer scaffolds that can mimic extracellular matrix environments. This review addresses recent advances and future challenges in developing and using bioactive polymer scaffolds to promote tissue construct vascularization.",2020-02-17 03:36:47,archive,published,17687,public,http://repository.lppm.unila.ac.id/id/eprint/17687,,pub,,,"[{'eprintid': 17687, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 31045, 'main': 'Plagiarism_Bioactive polymer scaffold for fabrication of vascularized engineering tissue.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/150865', 'objectid': 31045, 'filesize': 3253835, 'datasetid': 'document', 'mtime': '2020-02-06 00:59:24', 'hash_type': 'MD5', 'hash': '236ff54836b0c9efc3fc014c9e476db8', 'filename': 'Plagiarism_Bioactive polymer scaffold for fabrication of vascularized engineering tissue.pdf', 'fileid': 150865, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31045'}]",The Japanese Society for Artificial Organs,2020-02-17 03:36:47,,,464,2020-02-17 03:36:47,1970-01-01 00:00:00.000002012,disk0/00/01/76/87,,"[{'id': 'irza.sukmana@gmail.com', 'name': {'family': 'Sukmana', 'honourific': None, 'lineage': None, 'given': 'Irza'}}]",,['FT7'],other,,,,,,,,,,,
16,7,3,show,Kaji Penggunaan Methanol Sebagai Refrigeran Untuk Meningkatkan Efisiensi Termal Sistem Pendingin Konveksi Dengan Underground Thermal Storage Tank,['TJ'],"Convective roof cooling operates using water as refrigerant. It consists in convection process pass
through over the roof, thus decreasing the roof temperature. This system has a great potential to
provide thermal comfort in places where roof temperature is low. However, thermal efficiency from
the previous research which it is use water as refrigerant is still low. A way to solve this problem is
to use methanol as a refrigerant. Following, this paper analyzes some operation parameters such
as: roof and room temperature and heat transfer rate. The paper shows the conditions for the best
operation point, with regard to thermal conditions of roof and room temperature.",2021-02-01 04:50:23,archive,published,27515,public,http://repository.lppm.unila.ac.id/id/eprint/27515,TRUE,pub,1,,"[{'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 27515, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41523', 'rev_number': 3, 'main': '134-186-1-SM.pdf', 'docid': 41523, 'files': [{'hash': '06d377dba95b3f96f5f3e4bbd3e2aec9', 'filename': '134-186-1-SM.pdf', 'mtime': '2021-01-27 10:14:07', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 245922, 'filesize': 390742, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/245922', 'objectid': 41523}]}]",Jurusan Teknik Mesin Universitas Lampung,2021-02-01 04:50:23,,,27,2021-02-01 04:50:23,2012-03-01 00:00:00.000000000,disk0/00/02/75/15,Mechanical Jurnal Ilmiah Teknik Mesin,"[{'name': {'honourific': None, 'family': 'Susila', 'lineage': None, 'given': 'M Dyan'}, 'id': 'mdyan.susila@eng.unila.ac.id'}, {'id': 'indra.mamad@eng.unila.ac.id', 'name': {'given': 'Indra Mamad', 'honourific': None, 'family': 'Gandidi', 'lineage': None}}]",2087-1880,['FT7'],article,https://journal.eng.unila.ac.id/index.php/mech/article/viewFile/134/128,,,,,,,,[{'url': 'http://journal.eng.unila.ac.id/index.php/mech/article/view/134'}],,
17,6,588-58,show,"Advanced Materials Research, ISSN. 1662-8985. Vol. 588-589 pp.1744-1747, 2012.Characterization of Cutting Temperature and Ignition Phenomena of  Magnesium Chip Using Infrared Imaging",['TJ'],"In this paper, we report our experimentation about measurement temperature of ignition cuts and chip phenomenon using infrared imaging methods, to model and simulate machine rotary cutting tool system. Finally this research was obtained of the optimum conditions expected of
cutting magnesium at high speed and without coolant.",2016-09-19 06:13:47,archive,published,612,public,http://repository.lppm.unila.ac.id/id/eprint/612,TRUE,pub,,,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 612, 'uri': 'http://repository.lppm.unila.ac.id/id/document/520', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'hash': 'be87633be579e6c30c0d540cae392924', 'filename': 'AMR 2012.pdf', 'hash_type': 'MD5', 'mtime': '2016-09-16 06:49:17', 'mime_type': 'application/pdf', 'fileid': 3360, 'filesize': 1166211, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/3360', 'objectid': 520}], 'docid': 520, 'main': 'AMR 2012.pdf'}]",Trans Tech Publications Inc. Switzerland,2016-09-19 06:13:47,1744-1747,,316,2016-09-19 06:13:47,1970-01-01 00:00:00.000002012,disk0/00/00/06/12,Characterization of Cutting Temperature and Ignition Phenomena of Magnesium Chip using Infrared Imaging,"[{'name': {'given': 'suryadiwansa', 'lineage': None, 'family': 'harun', 'honourific': None}}]",1662-8985,['FT7'],article,http://www.scientific.net/AMR.588-589.1744,,,,,,,,,,
18,6,3,show,Studi Awal Interaksi Man-Machine Pada Mesin Cetak Genteng Sistem Banting,['TJ'],"Tulisan ini membahas studi awal interaksi antara pekerja dengan mesin cetak genteng dalam rangka rancang bangun kembali sistem cetakan genteng yang ergonomik bagi industri genteng di Pringsewu. Tujuan studi ini adalah untuk mendapatkan data awal mengenai kondisi fisik pekerja setelah mengoperasikan mesin pencetak genteng sistem banting, serta mengetahui faktor-faktor yang menyebabkan pekerja cepat merasa lelah dan tidak nyaman, sehingga mempengaruhi produktivitas pembuatan genteng. Untuk itu, serangkaian eksperimen telah dilakukan dengan mensimulasikan proses pengoperasian cetakan genteng yang direkam dengan video infra-red. Hasil yang diperoleh melalui rangkaian eksperimen ini adalah tahapan kerja proses pencetakan genteng dengan mesin cetak genteng sistem banting tidak sesuai dengan prinsip kerja secara ergonomis karena memiliki deviasi gerakan yang besar dan meliputi gerakan-gerakan yang berulang dan dilakukan dengan pembebanan yang berat, dimana akan berisiko menimbulkan cedera dan gangguan kesehatan serius bagi pekerja. Setelah 25 siklus proses pencetakan genteng atau kurang 15 menit waktu bekerja, berdasarkan pemindaian dengan infra merah, sebaran panas tubuh meningkat dengan cepat pada bagian bahu, pinggang dan punggung. Hal ini sesuai dengan hasil wawancara pekerja, dimana bagian-bagian tersebut adalah bagian yang mengalami rasa pegal dan kontraksi. Selain itu, denyut jantung pekerja meningkat dari 72 menjadi 91 denyut/menit, dengan konsumsi kalori meningkat dari 2,580 kcal/mnt menjadi 3,599 kcal/mnt. Hal ini mengindikasikan bahwa pekerjaan pencetakan genteng tersebut dengan cepat menimbulkan kelelahan pada pekerja. Keseluruhan data awal ini sudah dapat dijadikan dasar untuk pertimbangan aspek ergonomi pada perancangan sistem cetakan genteng pada penelitian berikutnya.",2016-09-19 06:14:14,archive,published,616,public,http://repository.lppm.unila.ac.id/id/eprint/616,TRUE,pub,1,,"[{'eprintid': 616, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 524, 'main': 'Jurnal Mechanical Edisi Maret 2012.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/3386', 'objectid': 524, 'hash': '7606665451326c795e2a1c4e799cac18', 'filename': 'Jurnal Mechanical Edisi Maret 2012.pdf', 'hash_type': 'MD5', 'mtime': '2016-09-16 07:25:55', 'mime_type': 'application/pdf', 'fileid': 3386, 'filesize': 1070496, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/524'}]",Jurusan Teknik Mesin FT– Universitas Lampung.,2016-09-19 06:14:14,40-44,,316,2016-09-19 06:14:14,2012-03-01 00:00:00.000000000,disk0/00/00/06/16,Jurnal Mechanical,"[{'name': {'given': 'suryadiwansa', 'lineage': None, 'honourific': None, 'family': 'harun'}}]",2087-1880,['FT7'],article,http://journal.eng.unila.ac.id/index.php/mech/article/view/138,,,,,,,,,,
19,7,,show,Studi Eksperimental Pengaruh Kecepatan Putar Pahat Terhadap Surface Roughness pada Pemesinan Bubut Kering Dengan Actively Driven Rotary Tool,['TJ'],"Modern machining process faced with the high cost of production, the expectation of a high quality product and environmentally friendly technologies. One of machining process technologies that can reduce production costs and simultaneously prevents the environmental damage due to the use of cooling lubricant (cutting fluid) is dry machining. Turning with actively driven rotary tools is a novel method that has the potential for applying this dry machining technology. This paper presents an experimental study the effects of tool rotational speeds on the workpiece surface roughness. In order to apply the turning with actively driven rotary tool, a multi axis turning machine tool, Mori Seiki NT4200 DCG, that applicable for industry is utilized. The surface roughness value is obtained by measuring the surface roughness profile using a Surface Roughness Tester, Mitutoyo. Experimental results show that the surface roughness value could be reduced by increasing the tool rotational speed both in tool rotation direction of clockwise and counterclockwise. However, a decreasing trend of the surface roughness value based on the increase of tool rotational speeds is limited by the rigidity of tool holder system.",2016-09-19 06:14:20,archive,published,617,public,http://repository.lppm.unila.ac.id/id/eprint/617,TRUE,pub,,,"[{'placement': 1, 'security': 'public', 'eprintid': 617, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 525, 'uri': 'http://repository.lppm.unila.ac.id/id/file/3393', 'fileid': 3393, 'mime_type': 'application/pdf', 'mtime': '2016-09-16 07:35:05', 'hash_type': 'MD5', 'filename': 'Jurnal Semnas RE and GP 2012.pdf', 'hash': '8dab3a9cbda153e4fc74d05ad00b0b2d', 'datasetid': 'document', 'filesize': 2849838}], 'docid': 525, 'main': 'Jurnal Semnas RE and GP 2012.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/525', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",,2016-09-19 06:14:20,322-326,,316,2016-09-19 06:14:20,1970-01-01 00:00:00.000002012,disk0/00/00/06/17,,"[{'name': {'family': 'harun', 'honourific': None, 'lineage': None, 'given': 'suryadiwansa'}}]",,['FT7'],conference_item,,,,paper,conference,Seminar Nasional Energi Terbarukan Dan produksi Bersih 2012,Bandar Lampung,20 Juni 2012,,,
20,7,3,show,Studi Awal Interaksi Man-Machine pada Mesin Cetak Genteng Sistem Banting,"['TJ', 'TS']","Tulisan ini nembahas studi awai intenksi antara pekerja dengan mesin cetak genteng dalam rangka rancang bangun kembali sistem cetakan genteng yang ergonomik bagi industri genteng di Pringsewu. Tujuan studi ini adalah untuk mendapatkan data awal mengenai kondisi fisik pekerja selelah mengoperasikan mesin pencetak genteng sistem banting, serta mengetahui faktor-fakor
yang nenyebabkan pekerja cepat merasa lelah dan tidak nyaman, sehingga mempengaruhi produksi pembuatan genteng. Untuk itu serangkaian eksperimen telah dilakukan dengan
mensimulasikan proses pengoperasian cetakan gentetg yang direkam dengar video infra-red. Hasil yang diperoleh melalui rangkaian eksperimen ini adalah tahapan kerja proses pencelakan genteng dengan mesin cetak genteng sjstem banting tidak sesuai dengan prinsip kerja secara ergonomis karena memiliki deviasi gerahan yang besar dan meliputi gerakan-gerakan yang berulang dan dilakukan dengan pembebanan yang berat, di mana akan berisiko menimbulkan cedera dan gangguan kesehatan serius bagi pekerja. Setelah 25 siklus poses pencelakan genteng atau kurang 15 menit waktu bekerja, berdasarkan pemindaian dengan infra merah, sebaran panas tubuh meningkat dengan cepat pada bagian bahu pinggang dan punggug. Hal ini sesuai dengan hasil wawancara pekerja, di mana bagian-bagian tersebut adalah bagian yang mengalami rasa pegal dan kontraksi. Selain itu, denyut jantung pekerja meningkat dari 72 menjadi 91 denyut/menit, dengan
konsumsi kalori meningkat dari 2,580 kcal/mnt menjadi 3,599 kcal/mnt. Hal ini mengindikasikan bahaya pekerjaan pencetakan genteng tersebut dengan cepat menimbulkan kelelahan pada pekerja.Keseluruhan data awal ini sudah dapat dijadikan dasar untuk pertimbangan aspek ergonomi pada perancangan sistem cetakan genteng pada penelitian berikutnya.",2018-06-05 07:25:09,archive,published,7006,public,http://repository.lppm.unila.ac.id/id/eprint/7006,TRUE,pub,1,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 7006, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19978', 'rev_number': 1, 'docid': 19978, 'main': 'Studi Awal Interaksi Man-Machine pada Mesin Cetak Genteng Sistem Banting.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/64146', 'objectid': 19978, 'filesize': 1982348, 'datasetid': 'document', 'filename': 'Studi Awal Interaksi Man-Machine pada Mesin Cetak Genteng Sistem Banting.pdf', 'hash': 'b61e73e5db3cc8bba2f8408dfc299a61', 'hash_type': 'MD5', 'mtime': '2018-06-04 07:17:42', 'mime_type': 'application/pdf', 'fileid': 64146}]}]",Jurusan Teknik Mesin FT– Universitas Lampung.,2018-06-05 07:25:09,40-44,,59,2018-06-05 07:25:09,2012-03-01 00:00:00.000000000,disk0/00/00/70/06,Jurnal Mechanical,"[{'name': {'lineage': None, 'family': 'harun', 'honourific': None, 'given': 'suryadiwansa'}, 'id': None}, {'name': {'given': 'Yahya', 'lineage': None, 'honourific': None, 'family': 'Panuju'}, 'id': 'achmad.yahya@eng.unila.ac.id'}, {'id': 'arinal.hamni@yahoo.com', 'name': {'family': 'Hamni', 'honourific': None, 'lineage': None, 'given': 'Arinal'}}]",2087-1880,['FT7'],article,,,,,,,,,,,
