,number,ispublished,documents,full_text_status,uri,refereed,userid,lastmod,pagerange,datestamp,publication,creators,issn,dir,date,contact_email,type,divisions,title,rev_number,volume,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,date_type,publisher,id_number,official_url,related_url,corp_creators,contributors,projects,funders,pages,series,place_of_pub,isbn,event_title,event_location,event_type,event_dates,pres_type,keywords,patent_applicant,editors
10,2,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3589', 'docid': 3589, 'main': 'REAKTOR.pdf', 'files': [{'filesize': 1194338, 'datasetid': 'document', 'mtime': '2017-07-25 22:41:54', 'hash_type': 'MD5', 'filename': 'REAKTOR.pdf', 'hash': '7c559ff28d5bb0b61ab9f820caef255e', 'fileid': 26175, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26175', 'objectid': 3589}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 3726, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/3726,TRUE,1168,2017-07-31 07:37:02,96-103,2017-07-31 07:37:02,Reaktor,"[{'id': 'arfi2208@gmail.com', 'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Riyanto'}}, {'id': 'simon.sembiring@fmipa.', 'name': {'honourific': None, 'family': 'Sembiring', 'lineage': None, 'given': 'Simon'}}, {'name': {'given': 'Junaidi', 'honourific': None, 'family': 'Junaidi', 'lineage': None}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}]",p-ISSN 0852 – 0798 e-ISSN 2407 – 5973,disk0/00/00/37/26,2017-06-01 00:00:00.000000000,,article,['FMIPA1'],"Karakteristik Fisis Aluminosilikat Geopolimer Berbasis Silika
Sekam Padi untuk Aplikasi Fast Ionic Conductor",7,17.0,show,2017-07-31 07:37:02,archive,"['QC', 'QD']","The study aims to investigate
the effect of calcination temperatures on the phase formation and electrical properties of
aluminosilicate geopolymer prepared from rice husk silica and sodium aluminate. The samples were
calcined at temperature from 150 to 550oC, the development of structures was characterized using xray
difraction (XRD) and the electrical properties were measured by LCR meter. The result obtained
indicated the significant role of calcining temperature on phase transformation of boehmite and quartz
into aluminosilicate geopolymer, in which at calcining temperatures from 450 to 550oC, and the
samples were dominated by semicrystal to amorphous phase which indicated that the aluminosilicate
geoplymer has been formed. The presence of aluminosilicate geopolymer resulted in increased ionic electrical conductivity and dielectric loss factor as well as decrease dielectric constant. Ionic electrical conductivity of the calcined sample at 450oC is 4.49x10-5 S/cm at frequancy of 5x106 Hz, and XRD analysis demonstrated that the main structure is phase of semicrystal aluminosilicate geopolymer. Based on these character, the sample was considered is very suitable used to the fast ionic conductor
materials.",3726,published,Departemen teknik Kimia Undip,,http://ejournal.undip.ac.id/index.php/reaktor/article/view/14538,[{'url': 'http://ejournal.undip.ac.id/index.php/reaktor/article/view/14538'}],,"[{'name': {'lineage': None, 'family': 'Riyanto', 'honourific': None, 'given': 'Agus'}, 'id': 'arfi2208@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'Simon', 'honourific': None, 'family': 'Sembiring', 'lineage': None}, 'id': 'simon.sembiring@fmipa.', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'junaidi.1982@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Junaidi', 'given': 'Junaidi'}}]",['Hibah BLU Fakultas MIPA'],['LPPM Universitas Lampung'],,,,,,,,,,,,
11,2,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 7487, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20525', 'main': 'Jurnal Reaktor.pdf', 'docid': 20525, 'files': [{'mtime': '2018-06-22 01:16:38', 'hash_type': 'MD5', 'hash': '57c823178753473a98109f6d1fb0e56d', 'filename': 'Jurnal Reaktor.pdf', 'fileid': 67583, 'mime_type': 'application/pdf', 'filesize': 404339, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/67583', 'objectid': 20525}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/7487,TRUE,181,2018-06-22 03:53:36,96-103,2018-06-22 03:53:36,Jurnal Reaktor,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Riyanto', 'given': 'Agus'}, 'id': 'arfi2208@gmail.com'}, {'name': {'given': 'Simon', 'lineage': None, 'honourific': None, 'family': 'Sembiring'}, 'id': 'simon.sembiring@fmipa.'}, {'name': {'honourific': None, 'family': 'Junaidi', 'lineage': None, 'given': 'Junaidi'}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}]",0852-0798,disk0/00/00/74/87,2017-06-01 00:00:00.000000000,,article,['FMIPA1'],Karakteristik Fisis Aluminosilikat Geopolimer Berbasis Silika Sekam Padi untuk Aplikasi Fast Ionic Conductor,6,17.0,show,2018-06-22 03:53:36,archive,['QC'],"PHYSICAL C HARACTERISTIC OF ALUMI NOSICA TE GEOPOLYMER  BASED ON RICE HUSK  SILICA FO R FA ST I ONIC  C ONDUCTOR  A PPLICATIO N. The study aims to investigate the effect of calcination temperatures on the phase formation and electrical properties of aluminosilicate geopolymer prepared from rice husk silica and sodium aluminate. The samples were calcined at temperature from 150 to 550
C, the development of structures was characterized using xray difraction (XRD) and the electrical properties were measured by LCR meter. The result obtained indicated the significant role of calcining temperature on phase transformation of boehmite and quartz into aluminosilicate geopolymer, in which at calcining temperatures from 450 to 550 oC, and the samples were dominated by semicrystal to amorphous phase which indicated that the aluminosilicate geoplymer has been formed. The presence of aluminosilicate geopolymer resulted in increased ionic electrical conductivity and dielectric loss factor as well as decrease dielectric constant. Ionic electrical conductivity of the calcined sample at 450 oC is 4.49x10-5 S/cm at frequancy of 5x106 Hz, and XRD analysis demonstrated that the main structure is phase of semicrystal aluminosilicate geopolymer. Based on these character, the sample was considered is very suitable used to the fast ionic conductor materials.",7487,published,"Jurusan Teknik Kimia, Universitas Diponegoro",,https://ejournal.undip.ac.id/index.php/reaktor/article/view/14538,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,,,
12,1,pub,"[{'eprintid': 5841, 'date_embargo': '2020-01-03', 'security': 'validuser', 'placement': 1, 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published', 'main': 'Jurnal Rosalina (1357-3108-1-PB).pdf', 'docid': 18767, 'files': [{'filesize': 133666, 'datasetid': 'document', 'filename': 'Jurnal Rosalina (1357-3108-1-PB).pdf', 'hash': '03bd9b8fa6b1601d4b8718bc6a881225', 'hash_type': 'MD5', 'mtime': '2017-11-17 03:21:29', 'mime_type': 'application/pdf', 'fileid': 54506, 'uri': 'http://repository.lppm.unila.ac.id/id/file/54506', 'objectid': 18767}], 'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18767'}]",restricted,http://repository.lppm.unila.ac.id/id/eprint/5841,TRUE,490,2017-11-17 04:20:40,37-42,2017-11-17 04:20:40,Jurnal Teori dan Aplikasi Fisika,"[{'name': {'given': 'Rosalina', 'lineage': None, 'honourific': None, 'family': 'Rosalina'}}, {'name': {'given': 'Suprihatin', 'lineage': None, 'family': 'Suprihatin', 'honourific': None}}, {'name': {'given': 'Pulung', 'lineage': None, 'family': 'Karo karo', 'honourific': None}}]",,disk0/00/00/58/41,1970-01-01 00:00:00.000002017,linarosa908@yahoo.co.id,article,['FMIPA1'],Pengaruh Luas Permukaan Spesiﬁk terhadap Spesiﬁk Elektrode Zeolit Akibat Variasi Suhu Kalsinasi,8,5.0,show,2017-11-17 04:20:40,archive,['QC'],"Theeffectofspeciﬁcsurfaceareatothespeciﬁccapacitanceofelectrodezeolitewithvariation
ofcalcintiontemperatures.Thisstudydescribesthepotentialofzeoliteasasupercapacitor
electrodewhichaimstodeterminetheeffectofsurfaceareaonthespeciﬁccapacitanceof
thezeolite.Zeoliteswassynthesizedfromamixtureofsilicabasedricehuskandalumina
usingsolgelmethodeandwascalcinedat150,250,350,450,550,and650◦C.TheXRDresult
showedalreadyformedaluminaandsilicaphasesforeachcalcinationstemperatureandthe
temperatureof350◦Chasformedgmelinitephasewhichmarkshavebeenformedzeolite.The
speciﬁccapacitanceincreaseinthespeciﬁcsurfaceareaat90.69-150.01m2/g,andoccurred
saturationofspeciﬁccapacitanceataspeciﬁcsurfaceareaof150.01m2/g.Thehighestofspeciﬁc
capacitanceisatspeciﬁcsurfaceareaof150.01m2/gisequalto8.13×10−3F/gobtainedfrom
zeoliteswithcalcinationtemperatureof650◦C.Basedonthisvalue,thezeolitecanbeusedasa",5841,published,,,,,,,,,,,,,,,,,,,,
13,4,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/16928', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'objectid': 16928, 'uri': 'http://repository.lppm.unila.ac.id/id/file/41457', 'fileid': 41457, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-10-18 06:21:44', 'filename': 'oriental of chemistry journal 2017.pdf', 'hash': '81fc319e8a08942c62daaa217467a9d5', 'datasetid': 'document', 'filesize': 990328}], 'docid': 16928, 'main': 'oriental of chemistry journal 2017.pdf', 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 4066}, {'pos': 2, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/16929', 'docid': 16929, 'main': 'JASCER (12) 2017.pdf', 'files': [{'objectid': 16929, 'uri': 'http://repository.lppm.unila.ac.id/id/file/41459', 'datasetid': 'document', 'filesize': 1422666, 'mime_type': 'application/pdf', 'fileid': 41459, 'hash': '76d2b55f61a5ab50801e6e0aee09fed5', 'filename': 'JASCER (12) 2017.pdf', 'hash_type': 'MD5', 'mtime': '2017-10-18 06:22:38'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 4066, 'placement': 2, 'security': 'public'}, {'eprintid': 4066, 'placement': 3, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 17098, 'main': 'oriental of chemistry journal 2017.pdf', 'files': [{'datasetid': 'document', 'filesize': 990328, 'fileid': 42464, 'mime_type': 'application/pdf', 'mtime': '2017-10-31 03:51:25', 'hash_type': 'MD5', 'hash': '81fc319e8a08942c62daaa217467a9d5', 'filename': 'oriental of chemistry journal 2017.pdf', 'objectid': 17098, 'uri': 'http://repository.lppm.unila.ac.id/id/file/42464'}], 'pos': 3, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17098'}]",public,http://repository.lppm.unila.ac.id/id/eprint/4066,TRUE,1042,2017-11-02 02:09:03,1828-1836,2017-11-02 02:09:03,ORIENTAL JOURNAL OF CHEMISTRY,"[{'name': {'given': 'SIMON', 'honourific': None, 'family': 'SEMBIRING', 'lineage': None}, 'id': None}, {'id': 'arfi2208@gmail.com', 'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Riyanto'}}, {'id': 'wasinton.simanjuntak@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Simanjuntak', 'given': 'Wasinton'}}, {'name': {'given': 'Rudy T.M', 'honourific': None, 'family': 'Situmeang', 'lineage': None}, 'id': 'rudy.tahan@fmipa.unila.ac.id'}]",0970-020 X,disk0/00/00/40/66,1970-01-01 00:00:00.000002017,,article,['FMIPA1'],Effect of MgO-SiO2 Ratio on the Forsterite (Mg2SiO4)) Precursors Characteristics Derived from  Amorphous Rice Husk Silica,11,33.0,show,2017-11-02 02:09:03,archive,['QC'],"This study acquires the potential of rice husk silica for production forsterite precursors using
sol-gel method. The samples preparation were conducted by mixing magnesium oxide sol fromMg(NO3)2.6.12HO with silica sol extracted from rice husk, with three different composition ratios ofMgO to SiO22 are 1:1, 2:3 and 3:2 by weight and sintered at 900 C. The samples were characterized using Fourier transform infrared (FTIR) spectroscopy, x-ray diffraction (XRD),differential thermal analysis (DTA), followed by scanning electron microscopy (SEM). The FTIR results showed the presence of Si-O-Si, Mg-O and Mg-O-Si functional groups, which were associated with forsterite, enstatite, cristobalite and periclase, according to the XRD analysis. The formation of forsterite (Mg2SiO4o) is composition-dependent as revealed the increase of forsterite intensity after sintered at 900 C in ratio 3:2. The surface morphology of non-sintered samples shows that particle and grain size were larger than particle and grain size of sintered samples. Also, SEM analysis of sintered samples clearly shows the presence of regular particle size with smaller grain size was found in ratioof MgO to SiO2 is 3:2. DTA analysis revealed that the formation of forsterite increased with increasingtemperature. In addition, the electrical resistivities of the samples were found in the range of 0.75 x 1013 -cm to 3.30 x 1013 -cm, demonstrating that the samples exhibit good potential as isolator.",4066,published,,,,,,,,,,,,,,,,,,,,
14,1,pub,,none,http://repository.lppm.unila.ac.id/id/eprint/4207,TRUE,387,2017-11-02 03:07:44,83-89,2017-11-02 03:07:44,Jurnal Teori dan Aplikasi Fisika,"[{'name': {'family': 'Sajnaya', 'honourific': None, 'lineage': None, 'given': 'Hardanius'}, 'id': 'email: dany.sanjaya2@gmail.com'}, {'id': 'amir.supriyanto@fmipa.unila.ac.id', 'name': {'given': 'Amir', 'honourific': None, 'family': 'Supriyanto', 'lineage': None}}, {'id': 'gurum4in@yahoo.com', 'name': {'family': 'Pauzi', 'honourific': None, 'lineage': None, 'given': 'Gurum A.'}}]",2303-016X,disk0/00/00/42/07,2017-01-03 00:00:00.000000000,,article,['FMIPA1'],"Perancangan Alat Ukur Kadar Gula pada Produk Pangan
Menggunakan Sensor Kapasitor Keping Sejajar Berbasis
Mikrokontroler ATMega8535",5,5.0,show,2017-11-02 03:07:44,archive,['QC'],"It has been realizeda instrument measuring of sugar content using sensor chip capasitors parallel
based on microcontroller ATMega8535. The research objective design and realize a detector
sugar in food product. The design of study was conducted by placing the sensor chip capasitors
parallel as input voltage, then the signal will be condition by the Wheatstone Bridge which
will be forwarded to the microcontrollel ATMega8535 and displayed on the LCD. The result of
measurements performed on the percentage of food product with sugar content of the ﬂour by
4,77%, tapioca starch 33,33%, ﬂour maizeaku 40,69%, tepung ketan putih 32,74%, tepung beras
putih 36,96%, sagu 49,46% and beras merah 20,32%. The data were analyzed and obtained the
standard deviation by the change of voltage.",4207,published,Jurusan Fisika FMIPA Universitas Lampung,E-ISSN 2549-1156.,http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article/view/1364/1194,"[{'type': 'author', 'url': 'http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article/view/1364/1194'}]",,,,,,,,,,,,,,,,
15,,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26605', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/118724', 'objectid': 26605, 'filesize': 3883208, 'datasetid': 'document', 'mtime': '2019-07-17 08:33:25', 'hash_type': 'MD5', 'filename': 'Simon Sembiring - IS22% - Effect of MgO-SiO2 Ratio on the Forsterite (Mg2SiO4) Precursors Characteristics Derived from Amorphous Rice Husk Silica.pdf', 'hash': '7afad6d461f5ab6f378b84beb4e84292', 'fileid': 118724, 'mime_type': 'application/pdf'}], 'main': 'Simon Sembiring - IS22% - Effect of MgO-SiO2 Ratio on the Forsterite (Mg2SiO4) Precursors Characteristics Derived from Amorphous Rice Husk Silica.pdf', 'docid': 26605, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 13591}]",public,http://repository.lppm.unila.ac.id/id/eprint/13591,TRUE,1042,2019-07-17 08:47:43,,2019-07-17 08:47:43,Oriental Journal of Chemistry,"[{'id': 'simon.sembiring@fmipa.', 'name': {'honourific': None, 'family': 'Sembiring', 'lineage': None, 'given': 'Simon'}}]",0970-020 X,disk0/00/01/35/91,1970-01-01 00:00:00.000002017,,article,['FMIPA1'],Effect of MgO-SiO2 Ratio on the Forsterite (Mg2SiO4) Precursors Characteristics Derived from Amorphous Rice Husk Silica,7,,show,2019-07-17 08:47:43,archive,['QC'],similarity,13591,published,Oriental Scientific Publishing Company,,,,,,,,,,,,,,,,,,,
16,4,pub,"[{'files': [{'datasetid': 'document', 'filesize': 608304, 'fileid': 118202, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-07-15 04:34:56', 'hash': '5a8183c733e70e2d9378676eacc48f69', 'filename': 'Effect of MgO-SiO Ratio on the Forsterite (Mg2SiO4) Precusors Characteristics Derived from Amorphous Rice Husk Silica.pdf', 'objectid': 26534, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118202'}], 'docid': 26534, 'main': 'Effect of MgO-SiO Ratio on the Forsterite (Mg2SiO4) Precusors Characteristics Derived from Amorphous Rice Husk Silica.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26534', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 13525, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13525,TRUE,1042,2019-07-15 07:31:06,1828-1836,2019-07-15 07:31:06,Oriental Journal of Chemistry,"[{'name': {'given': 'Simon', 'honourific': None, 'family': 'Sembiring', 'lineage': None}, 'id': 'simon.sembiring@fmipa.'}]",0970-020 X,disk0/00/01/35/25,1970-01-01 00:00:00.000002017,,article,['FMIPA1'],Effect of MgO-SiO2 Ratio on the Forsterite (Mg2SiO4)) Precursors Characteristics Derived from Amorphous Rice Husk Silica,6,33.0,show,2019-07-15 07:31:06,archive,['QC'],Hasil penilaian sejawat sebidang atau per review karya ilmiah: jurnal ilmiah internasional,13525,published,Oriental Scientific Publishing Company,,,,,,,,,,,,,,,,,,,
17,,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 13524, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 557082, 'fileid': 118195, 'mime_type': 'application/pdf', 'mtime': '2019-07-15 04:31:45', 'hash_type': 'MD5', 'filename': 'Effect of Alumina Addition on the Phase Transformation and Crystallisation Properties of Refractory Cordierite Prepared from Amorphous Rice Husk Silica.pdf', 'hash': 'd1bfcd564e155e0ba95f78a8286da943', 'objectid': 26533, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118195'}], 'docid': 26533, 'main': 'Effect of Alumina Addition on the Phase Transformation and Crystallisation Properties of Refractory Cordierite Prepared from Amorphous Rice Husk Silica.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26533', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/13524,TRUE,1042,2019-07-15 07:30:59,186-192,2019-07-15 07:30:59,Journal of Asian Ceramic Societies,"[{'name': {'given': 'Simon', 'lineage': None, 'family': 'Sembiring', 'honourific': None}, 'id': 'simon.sembiring@fmipa.'}]",2187-0764,disk0/00/01/35/24,1970-01-01 00:00:00.000002017,,article,['FMIPA1'],Effect of alumina addition on the phase transformation and crystallisation properties of refractory cordierite prepared from amorphous rice husk silica,7,2.0,show,2019-07-15 07:30:59,archive,['QC'],Hasil penilaian sejawat sebidang atau per review karya ilmiah: jurnal ilmiah internasional,13524,published,Elsevier,,,,,,,,,,,,,,,,,,,
18,,pub,"[{'main': 'Simon Sembiring - IS17% - Effect of alumina addition on the phase transformation and crystallisation properties of refractory cordierite prepared from amorphous rice husk silica.pdf', 'docid': 26601, 'files': [{'mime_type': 'application/pdf', 'fileid': 118708, 'hash': 'a812dfd5d7e3b61f3b3aea57143715ac', 'filename': 'Simon Sembiring - IS17% - Effect of alumina addition on the phase transformation and crystallisation properties of refractory cordierite prepared from amorphous rice husk silica.pdf', 'mtime': '2019-07-17 08:25:37', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 4020743, 'objectid': 26601, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118708'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26601', 'eprintid': 13589, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13589,TRUE,1042,2019-07-17 08:46:31,,2019-07-17 08:46:31,Journal of Asian Ceramic Societies,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Sembiring', 'given': 'Simon'}, 'id': 'simon.sembiring@fmipa.'}]",2187-0764,disk0/00/01/35/89,1970-01-01 00:00:00.000002017,,article,['FMIPA1'],Effect of alumina addition on the phase transformation and crystallisation properties of refractory cordierite prepared from amorphous rice husk silica,7,,show,2019-07-17 08:46:31,archive,['QC'],similarity,13589,published,Elsevier,,,,,,,,,,,,,,,,,,,
19,,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 10684, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/98716', 'objectid': 23690, 'filename': 'Simon Sembiring-Buku2.pdf', 'hash': 'dc9aaf241d46d897de7cc45d792998bf', 'hash_type': 'MD5', 'mtime': '2019-02-01 02:10:00', 'mime_type': 'application/pdf', 'fileid': 98716, 'filesize': 909160, 'datasetid': 'document'}], 'docid': 23690, 'main': 'Simon Sembiring-Buku2.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23690', 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/10684,TRUE,1042,2019-02-01 02:14:07,,2019-02-01 02:14:07,,"[{'id': 'simon.sembiring@fmipa.', 'name': {'lineage': None, 'honourific': None, 'family': 'Sembiring', 'given': 'Simon'}}]",,disk0/00/01/06/84,1970-01-01 00:00:00.000002017,,book,['FMIPA1'],Potensi Silika Sekam  sebagai bahan keramik refraktori tahan pada suhu tinggi,7,,show,2019-02-01 02:14:07,archive,['QC'],,10684,published,Teknosain,,,,['Universitas Lampung'],,,,159.0,1.0,Bandar Lampung,978-602-6324-79-5,,,,,,,,
20,,pub,"[{'eprintid': 13526, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'SILIKA SEKAM PADI POTENDINYA SEBAGAI BAHAN KERAMIK INDUSTRI.pdf', 'docid': 26535, 'files': [{'objectid': 26535, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118209', 'datasetid': 'document', 'filesize': 99035, 'mime_type': 'application/pdf', 'fileid': 118209, 'hash': 'bad4a3ccd629bde5f694a71a18f4b93c', 'filename': 'SILIKA SEKAM PADI POTENDINYA SEBAGAI BAHAN KERAMIK INDUSTRI.pdf', 'hash_type': 'MD5', 'mtime': '2019-07-15 04:38:28'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26535'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13526,TRUE,1042,2019-07-15 07:31:18,,2019-07-15 07:31:18,,"[{'name': {'lineage': None, 'family': 'Sembiring', 'honourific': None, 'given': 'Simon'}, 'id': 'simon.sembiring@fmipa.'}]",,disk0/00/01/35/26,1970-01-01 00:00:00.000002017,,book,['FMIPA1'],Silika sekam padi potensinya sebagai bahan baku keramik industri.,7,,show,2019-07-15 07:31:18,archive,['QC'],Hasil Penilaian Sejawat Sebidang atau Per Review karya ilmiah: Buku Ilmiah,13526,published,Plantaxia,,,,,,,,113.0,,,978-602-6912-00-8,,,,,,,,
21,4,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 4270, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 17164, 'uri': 'http://repository.lppm.unila.ac.id/id/file/42920', 'datasetid': 'document', 'filesize': 1318977, 'fileid': 42920, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-01 07:14:06', 'filename': 'OJC 2017.pdf', 'hash': '45f34f839499fa86dfae802d7a52cca2'}], 'main': 'OJC 2017.pdf', 'docid': 17164, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17164', 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/4270,TRUE,1168,2017-11-10 15:29:22,1828-1836,2017-11-10 15:29:22,ORIENTAL JOURNAL OF CHEMISTRY,"[{'id': 'simon.sembiring@fmipa.', 'name': {'lineage': None, 'honourific': None, 'family': 'Sembiring', 'given': 'Simon'}}, {'id': 'arfi2208@gmail.com', 'name': {'given': 'Agus', 'honourific': None, 'family': 'Riyanto', 'lineage': None}}, {'id': 'wasinton.simanjuntak@fmipa.unila.ac.id', 'name': {'family': 'Simanjuntak', 'honourific': None, 'lineage': None, 'given': 'Wasinton'}}, {'id': 'rudy.tahan@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Situmeang', 'lineage': None, 'given': 'Rudy T.M'}}]",0970-020 X,disk0/00/00/42/70,2017-07-14 00:00:00.000000000,,article,"['FMIPA1', 'FMIPA4']",Effect of MgO-SiO2Ratio on the Forsterite (Mg2SiO4) Precursors Characteristics Derived from Amorphous Rice Husk Silica,8,33.0,show,2017-11-10 15:29:22,archive,"['QC', 'QD']","This study acquires the potential of rice husk silica for production forsterite precursors using sol-gel method. The samples preparation were conducted by mixing magnesium oxide sol from Mg(NO3)2.6.12H2O with silica sol extracted from rice husk, with three different composition ratios of MgO to SiO2 are 1:1, 2:3 and 3:2 by weight and sintered at 900oC. The samples were characterized using Fourier transform infrared (FTIR) spectroscopy, x-ray diffraction (XRD),differential thermal analysis (DTA), followed by scanning electron microscopy (SEM). The FTIR results showed the presence of Si-O-Si, Mg-O and Mg-O-Si functional groups, which were associated with forsterite, enstatite, cristobalite and periclase, according to the XRD analysis. The formation of forsterite (Mg2SiO4) is composition-dependent as revealed the increase of forsterite intensity after sintered at 900oC in ratio 3:2. The surface morphology of non-sintered samples shows that particle and grain size were larger than particle and grain size of sintered samples. Also, SEM analysis of sintered samples clearly shows the presence of regular particle size with smaller grain size was found in ratio of MgO to SiO2 is 3:2. DTA analysis revealed that the formation of forsterite increased with increasing temperature. In addition, the electrical resistivities of the samples were found in the range of 0.75 x 1013 to 3.30 x 1013W-cm, demonstrating that the samples exhibit good potential as isolator.

KEYWORDS:
Forsterite; rice husk; sintering; structure; microstructure",4270,published,ORIENTAL JOURNAL OF CHEMISTR,http://dx.doi.org/10.13005/ojc/330427,http://www.orientjchem.org/vol33no4/effect-of-mgo-sio2-ratio-on-the-forsterite-mg2sio4-precursors-characteristics-derived-from-amorphous-rice-husk-silica/,[{'url': 'http://www.orientjchem.org/vol33no4/effect-of-mgo-sio2-ratio-on-the-forsterite-mg2sio4-precursors-characteristics-derived-from-amorphous-rice-husk-silica/'}],['Universitas Lampung'],,"['Fundamental Research Grant Program, 2017, with contract: 610//UN26.21/KU/20017.']","['The Directorate of Higher Education, The Ministry of Research, Technology, and Higher Education, Republic of Indonesia']",,,,,,,,,,,,
