,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,eprintid,ispublished,documents,full_text_status,uri,refereed,lastmod,userid,datestamp,publication,creators,dir,type,divisions,publisher,date_type,abstract,corp_creators,referencetext,note,contact_email,number,pagerange,issn,id_number,official_url,volume,isbn,place_of_pub,editors,pages,contributors,related_url,pres_type,event_title,event_location,event_dates,event_type,book_title
10,"DOES GOVERNEMNT INTERVENTION MATTERS
ON ECONOMIC GROWTH ( CASE STUDY ASEAN COUNTRIES)",8,show,archive,2020-05-26 01:56:22,"['HB', 'HC']",20494,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 20494, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/192498', 'objectid': 33843, 'hash_type': 'MD5', 'mtime': '2020-05-26 01:33:58', 'filename': 'article Does Governemnt intervention.pdf', 'hash': '543de89461e553fd0b33572c31d1e9ed', 'fileid': 192498, 'mime_type': 'application/pdf', 'filesize': 166797, 'datasetid': 'document'}], 'main': 'article Does Governemnt intervention.pdf', 'docid': 33843, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33843', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/20494,TRUE,2020-05-26 01:56:22,810,2020-05-26 01:56:22,International Journal of Advanced Science and Technology,"[{'name': {'given': 'Marselina', 'lineage': None, 'honourific': None, 'family': 'Marselina'}, 'id': 'ikbal_tawakal@yahoo.com'}]",disk0/00/02/04/94,article,['FEB5'],,published,"Subsidies  and  Governance  are  a  form  of government  intervention  that  is  thought  to  influence economic growth. This research was conducted in 11 ASEAN countries during the 2008-2015 period. By using data that has been published by the World Bank, the data is processed using the panel data method.The  results  of  the  study  indicate  that  subsidy  policies  do  not  significantly  affect  economic growth,   on   the   contrary   the   implementation   of   good   governance   represented   by   government effectivity,  rule  of  law,  quality  of  rule  and  control  of  corruption  variables  significantly  influence economic growth in ASEAN. Subsidies that are not well targeted and transferred to the unproductive sector  will  suppress  economic  growth  and  must  be  avoided.  Several  countries  in  ASEAN,  such  as Singapore, Cambodia and Malaysia have removed this policy. It is recommended that more generous subsidies be given to make them more targeted",['reniza'],,,,2.0,2028-2032,ISSN: 2005-4238 IJAS,,http://sersc.org/journals/index.php/IJAST/article/view/3472/2409,Vol 29,,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],[{'url': 'http://sersc.org/journals/index.php/IJAST/article/view/3472/2409'}],,,,,,
11,ANALISIS NERACA TRANSAKSI BERJALAN DI INDONESIA: PENDEKATAN MUNDELL-FLEMING,8,show,archive,2020-11-19 17:51:45,['HB'],26346,unpub,"[{'docid': 40251, 'main': 'JURNAL Yoke Muelgini-Daimah Khoirunnisa.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/237389', 'objectid': 40251, 'filename': 'JURNAL Yoke Muelgini-Daimah Khoirunnisa.pdf', 'hash': '2ae3a677ffcc148073b0e1106ead21c8', 'mtime': '2020-11-19 17:07:55', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 237389, 'filesize': 569684, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40251', 'rev_number': 2, 'eprintid': 26346, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/26346,TRUE,2020-11-19 17:51:45,690,2020-11-19 17:51:45,ANALISIS NERACA TRANSAKSI BERJALAN DI INDONESIA: PENDEKATAN MUNDELL-FLEMING,"[{'id': 'yokemuelgini@gmail.com', 'name': {'lineage': None, 'family': 'Muelgini', 'honourific': None, 'given': 'Yoke'}}, {'id': 'imamawaluddin@feb.ac.id', 'name': {'honourific': None, 'family': 'awaludin', 'lineage': None, 'given': 'imam'}}, {'id': 'daimahkhoirunnisa1031@gmail.com', 'name': {'honourific': None, 'family': 'Khoirunnisa', 'lineage': None, 'given': 'Daimah'}}]",disk0/00/02/63/46,article,['FEB5'],,,"Penelitian ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhi neraca transaksi berjalan di Indonesia dalam jangka pendek menggunakan pendekatan Mundell-Fleming dengan melihat pengaruh kebijakan moneter dan fiskal melalui interaksi pasar barang (IS) dan pasar uang (LM) dalam perekonomian terbuka periode 2006Q1-2019Q4. Jenis penelitian ini adalah penelitian kuantitatif deskriptif menggunakan data sekunder. Variabel yang digunakan dalam penelitian ini adalah variabel BI rate (pasar uang/LM), variabel pajak, investasi asing langsung, pengeluaran pemerintah dan nilai tukar (pasar barang/IS). Hasil penelitian ini menunjukkan bahwa berdasarkan uji VECM jangka pendek dan impulse respon fuction untuk 10 periode, BI rate memiliki respon yang negatif terhadap neraca transaksi berjalan, pajak, investasi asing langsung dan nilai tukar memiliki respon yang positif sedangkan pengeluaran pemerintah memiliki respon yang negatif terhadap neraca transaksi berjalan di Indonesia. Berdasarkan uji variance decomposition untuk 10 periode, BI rate memberikan kontribusi terbesar yaitu 7,10% terhadap neraca transaksi berjalan di Indonesia sehingga mengindikasikan bahwa dalam perekonomian terbuka kecil dan kurs mengambang, kebijakan moneter lebih efektif dibandingkan kebijakan fiskal dalam memperbaiki neraca transaksi berjalan Indonesia.",,,,,,,,,,,,,,,,,,,,,,
12,"Bukti Korespondensi | Dynamic Modeling Data Export Oil and Gas and Non-Oil and Gas by ARMA(2,1)-GARCH(1,1) Model: Study of Indonesian’s Export over the Years 2008-2019",8,show,archive,2022-11-28 02:10:58,['AI'],46880,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'content': 'other', 'eprintid': 46880, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'other', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185818', 'rev_number': 2, 'formatdesc': 'Bukti Korespondensi', 'docid': 185818, 'main': 'BUKTI KORESPONDENSI NAIROBI UNILA 25 November 2022.pdf', 'files': [{'objectid': 185818, 'uri': 'http://repository.lppm.unila.ac.id/id/file/515823', 'fileid': 515823, 'mime_type': 'application/pdf', 'mtime': '2022-11-25 12:17:54', 'hash_type': 'MD5', 'filename': 'BUKTI KORESPONDENSI NAIROBI UNILA 25 November 2022.pdf', 'hash': '607311e918e8833db7a5694f6d1284a1', 'datasetid': 'document', 'filesize': 14194339}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/46880,,2022-11-28 02:10:58,931,2022-11-28 02:10:58,,"[{'id': 'nairobi@feb.unila.ac.id', 'name': {'given': 'Nairobi', 'honourific': None, 'family': 'Nairobi', 'lineage': None}}]",disk0/00/04/68/80,other,['FEB5'],International Journal of Energy Economics and Policy,,,,,,,,,,,,,,,,,,,,,,,,
13,Daya Saing dan Foreign Direct Investment,8,show,archive,2022-07-06 08:24:56,['AI'],43027,pub,"[{'content': 'other', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 43027, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164881', 'rev_number': 2, 'formatdesc': 'Similarity Report', 'pos': 1, 'format': 'other', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/470938', 'objectid': 164881, 'hash_type': 'MD5', 'mtime': '2022-07-06 08:17:40', 'filename': 'Similarity Index Daya Saing dan Foreign Direct Investment.pdf', 'hash': '9dd40a032cf7790f5e4082ee0aeb47a5', 'fileid': 470938, 'mime_type': 'application/pdf', 'filesize': 427895, 'datasetid': 'document'}], 'docid': 164881, 'main': 'Similarity Index Daya Saing dan Foreign Direct Investment.pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43027,,2022-07-06 08:24:56,931,2022-07-06 08:24:56,,"[{'id': 'nairobi@feb.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nairobi', 'given': 'Nairobi'}}]",disk0/00/04/30/27,other,['FEB5'],Jurnal Ekonomi Pembangunan,,,,,,,,,,,,,,,,,,,,,,,,
14,Daya Saing dan Foreign Direct Investment,7,show,archive,2022-07-07 02:43:48,['H1'],43069,pub,"[{'eprintid': 43069, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'main': 'Daya Saing dan Foreign Direct Investment.pdf', 'docid': 164924, 'files': [{'objectid': 164924, 'uri': 'http://repository.lppm.unila.ac.id/id/file/471252', 'datasetid': 'document', 'filesize': 401580, 'mime_type': 'application/pdf', 'fileid': 471252, 'filename': 'Daya Saing dan Foreign Direct Investment.pdf', 'hash': 'cfffe08c02bd50ee222558d7ab2e5ad2', 'mtime': '2022-07-07 01:47:13', 'hash_type': 'MD5'}], 'format': 'other', 'pos': 1, 'formatdesc': 'Jurnal', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164924'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43069,TRUE,2022-07-07 02:43:48,931,2022-07-07 02:43:48,Jurnal Ekonomi Pembangunan,"[{'id': 'nairobi@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'Nairobi', 'lineage': None, 'given': 'Nairobi'}}]",disk0/00/04/30/69,article,['FEB5'],,,,,,,,,,2302-9595,,,,,,,,,,,,,,,
15,"The Effect of Foreign Debt,
Labor Force, and Net Exports
on Indonesia's Economic
Growth in Period of 1986 Q1 -
2020 Q4",8,show,archive,2022-07-06 09:13:53,['AI'],43030,pub,"[{'pos': 1, 'format': 'other', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164884', 'formatdesc': 'Similarity Report', 'main': ""Similarity The Effect of Foreign Debt, Labor Force, and Net Exports on Indonesia's Economic Growth in Period of 1986 Q1 - 2020 Q4 (1).pdf"", 'docid': 164884, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/470964', 'objectid': 164884, 'hash_type': 'MD5', 'mtime': '2022-07-06 09:05:13', 'hash': 'a6c43298c69a76b4c836569e1e52be15', 'filename': ""Similarity The Effect of Foreign Debt, Labor Force, and Net Exports on Indonesia's Economic Growth in Period of 1986 Q1 - 2020 Q4 (1).pdf"", 'fileid': 470964, 'mime_type': 'application/pdf', 'filesize': 2482412, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'content': 'other', 'eprintid': 43030, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43030,,2022-07-06 09:13:53,931,2022-07-06 09:13:53,,"[{'id': 'nairobi@feb.unila.ac.id', 'name': {'given': 'Nairobi', 'family': 'Nairobi', 'honourific': None, 'lineage': None}}]",disk0/00/04/30/30,other,['FEB5'],Jurnal Ekonomi dan Bisnis Jagaditha,,,,,,,,,,,,,,,,,,,,,,,,
16,"The Effect of Foreign Debt, Labor Force, and Net Exports on
Indonesia's Economic Growth in Period of 1986 Q1 - 2020 Q4",8,show,archive,2022-07-07 02:43:52,['H1'],43071,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'eprintid': 43071, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'other', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164926', 'rev_number': 2, 'formatdesc': 'Jurnal', 'main': ""The Effect of Foreign Debt, Labor Force, and Net Exports on Indonesia's Economic Growth in Period of 1986 Q1 - 2020 Q4 (1).pdf"", 'docid': 164926, 'files': [{'datasetid': 'document', 'filesize': 869350, 'fileid': 471266, 'mime_type': 'application/pdf', 'mtime': '2022-07-07 01:55:13', 'hash_type': 'MD5', 'filename': ""The Effect of Foreign Debt, Labor Force, and Net Exports on Indonesia's Economic Growth in Period of 1986 Q1 - 2020 Q4 (1).pdf"", 'hash': '10b45994b013fe138eb987e71affb6f9', 'objectid': 164926, 'uri': 'http://repository.lppm.unila.ac.id/id/file/471266'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/43071,TRUE,2022-07-07 02:43:52,931,2022-07-07 02:43:52,Jurnal Ekonomi dan Bisnis Jagaditha,"[{'name': {'given': 'Nairobi', 'lineage': None, 'honourific': None, 'family': 'Nairobi'}, 'id': 'nairobi@feb.unila.ac.id'}]",disk0/00/04/30/71,article,['FEB5'],,,,,,,,,,,,,,,,,,,,,,,,,
17,"Ownership rights and ASEAN-5 economic 
growth",6,show,archive,2022-07-14 09:07:47,['H1'],43314,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/165180', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/473216', 'objectid': 165180, 'filesize': 650363, 'datasetid': 'document', 'hash': 'f462d17d1afa59ac46a30cdaa53eb9ba', 'filename': 'Ownership rights and ASEAN-5 economic (2).pdf', 'hash_type': 'MD5', 'mtime': '2022-07-14 07:40:01', 'mime_type': 'application/pdf', 'fileid': 473216}], 'docid': 165180, 'main': 'Ownership rights and ASEAN-5 economic (2).pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 43314}]",public,http://repository.lppm.unila.ac.id/id/eprint/43314,TRUE,2022-07-14 09:07:47,931,2022-07-14 09:07:47,Studies in Economy and Public Policy,"[{'name': {'given': 'Nairobi', 'lineage': None, 'honourific': None, 'family': 'Nairobi'}, 'id': 'nairobi@feb.unila.ac.id'}]",disk0/00/04/33/14,article,['FEB5'],,,,,,,,,,,,,,,,,,,,,,,,,
18,Ownership rights and ASEAN-5 economic growth,8,show,archive,2022-07-06 09:13:51,['AI'],43029,pub,"[{'format': 'other', 'pos': 1, 'formatdesc': 'Similarity Report', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164883', 'main': ""Similarity The Effect of Foreign Debt, Labor Force, and Net Exports on Indonesia's Economic Growth in Period of 1986 Q1 - 2020 Q4.pdf"", 'docid': 164883, 'files': [{'datasetid': 'document', 'filesize': 2482412, 'mime_type': 'application/pdf', 'fileid': 470956, 'filename': ""Similarity The Effect of Foreign Debt, Labor Force, and Net Exports on Indonesia's Economic Growth in Period of 1986 Q1 - 2020 Q4.pdf"", 'hash': 'a6c43298c69a76b4c836569e1e52be15', 'hash_type': 'MD5', 'mtime': '2022-07-06 08:55:49', 'objectid': 164883, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470956'}], 'mime_type': 'application/pdf', 'language': 'en', 'content': 'other', 'eprintid': 43029, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/43029,,2022-07-06 09:13:51,931,2022-07-06 09:13:51,,"[{'id': 'nairobi@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'Nairobi', 'lineage': None, 'given': 'Nairobi'}}]",disk0/00/04/30/29,other,['FEB5'],Studies in Economy and Public Policy,,,,,,,,,,,,,,,,,,,,,,,,
19,Ownership rights and ASEAN-5 economic growth,6,show,archive,2022-07-14 09:07:44,['H1'],43312,pub,"[{'files': [{'hash_type': 'MD5', 'mtime': '2022-07-14 07:35:15', 'hash': 'f462d17d1afa59ac46a30cdaa53eb9ba', 'filename': 'Ownership rights and ASEAN-5 economic (2).pdf', 'fileid': 473209, 'mime_type': 'application/pdf', 'filesize': 650363, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/473209', 'objectid': 165179}], 'main': 'Ownership rights and ASEAN-5 economic (2).pdf', 'docid': 165179, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165179', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 43312, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43312,TRUE,2022-07-14 09:07:44,931,2022-07-14 09:07:44,Studies in Economy and Public Policy,"[{'id': 'nairobi@feb.unila.ac.id', 'name': {'given': 'Nairobi', 'family': 'Nairobi', 'honourific': None, 'lineage': None}}]",disk0/00/04/33/12,article,['FEB5'],,,,,,,,,,,,,,,,,,,,,,,,,
20,Ownership rights and ASEAN-5 economic growth,8,show,archive,2022-07-14 09:07:49,['AI'],43315,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 43315, 'content': 'other', 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mime_type': 'application/pdf', 'fileid': 473223, 'filename': 'reviewr new.pdf', 'hash': '0f75ac07dc7bd55e5762ef58ed991d75', 'hash_type': 'MD5', 'mtime': '2022-07-14 07:43:15', 'datasetid': 'document', 'filesize': 295793, 'objectid': 165181, 'uri': 'http://repository.lppm.unila.ac.id/id/file/473223'}], 'docid': 165181, 'main': 'reviewr new.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165181', 'rev_number': 2, 'formatdesc': 'Peer Review', 'pos': 1, 'format': 'other'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43315,,2022-07-14 09:07:49,931,2022-07-14 09:07:49,,"[{'name': {'given': 'Nairobi', 'lineage': None, 'honourific': None, 'family': 'Nairobi'}, 'id': 'nairobi@feb.unila.ac.id'}]",disk0/00/04/33/15,other,['FEB5'],Goodwood Publishing,,,,,,,,,,,,,,,,,,,,,,,,
21,"POLITICAL STABILITY, INDEX PERCEPTION OF CORRUPTION AND DIRECT 
FOREIGN INVESTMENT IN SOUTHEAST ASIA",8,show,archive,2022-07-06 08:24:58,['AI'],43028,pub,"[{'files': [{'objectid': 164882, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470946', 'datasetid': 'document', 'filesize': 266171, 'fileid': 470946, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-07-06 08:22:39', 'hash': 'a5257510e2ad3f030babefbf4e4f0ada', 'filename': 'similarity index POLITICAL STABILITY, INDEX PERCEPTION OF CORRUPTION AND DIRECT FOREIGN INVESTMENT IN SOUTHEAST ASIA.pdf'}], 'docid': 164882, 'main': 'similarity index POLITICAL STABILITY, INDEX PERCEPTION OF CORRUPTION AND DIRECT FOREIGN INVESTMENT IN SOUTHEAST ASIA.pdf', 'formatdesc': 'Similarity Report', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164882', 'rev_number': 2, 'format': 'other', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 43028, 'content': 'other', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43028,,2022-07-06 08:24:58,931,2022-07-06 08:24:58,,"[{'name': {'family': 'Nairobi', 'honourific': None, 'lineage': None, 'given': 'Nairobi'}, 'id': 'nairobi@feb.unila.ac.id'}]",disk0/00/04/30/28,other,['FEB5'],E-JURNAL EKONOMI DAN BISNIS UNIVERSITAS UDAYANA,,,,,,,,,,,,,,,,,,,,,,,,
22,"POLITICAL STABILITY, INDEX PERCEPTION OF CORRUPTION AND DIRECT FOREIGN INVESTMENT IN SOUTHEAST ASIA. E-JURNAL EKONOMI DAN BISNIS UNIVERSITAS UDAYANA",8,show,archive,2022-07-18 04:20:36,['AI'],43341,pub,"[{'format': 'other', 'pos': 1, 'formatdesc': 'Peer Review', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165205', 'rev_number': 2, 'docid': 165205, 'main': 'peer review political stability (1).pdf', 'files': [{'datasetid': 'document', 'filesize': 1330409, 'mime_type': 'application/pdf', 'fileid': 473465, 'filename': 'peer review political stability (1).pdf', 'hash': 'dacfc561af49437004fb3049ab690a45', 'hash_type': 'MD5', 'mtime': '2022-07-18 02:46:13', 'objectid': 165205, 'uri': 'http://repository.lppm.unila.ac.id/id/file/473465'}], 'mime_type': 'application/pdf', 'language': 'en', 'content': 'other', 'eprintid': 43341, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/43341,,2022-07-18 04:20:36,931,2022-07-18 04:20:36,,"[{'id': 'nairobi@feb.unila.ac.id', 'name': {'given': 'Nairobi', 'lineage': None, 'honourific': None, 'family': 'Nairobi'}}]",disk0/00/04/33/41,other,['FEB5'],E-JURNAL EKONOMI DAN BISNIS UNIVERSITAS UDAYANA,,,,,,,,,,,,,,,,,,,,,,,,
23,"Similarity | Dynamic Modeling Data Export Oil and Gas and Non-Oil and Gas by ARMA(2,1)-GARCH(1,1) Model: Study of Indonesian’s Export over the Years 2008-2019",8,show,archive,2022-11-28 02:13:00,['AI'],46881,pub,"[{'eprintid': 46881, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 185819, 'main': 'Primary Source Similarity.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-25 12:28:20', 'filename': 'Primary Source Similarity.pdf', 'hash': '1789003f8c2993d40192f05d901840b9', 'fileid': 515831, 'mime_type': 'application/pdf', 'filesize': 1901180, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515831', 'objectid': 185819}], 'pos': 1, 'format': 'other', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185819', 'rev_number': 2, 'formatdesc': 'Primary Source Similarity'}]",public,http://repository.lppm.unila.ac.id/id/eprint/46881,,2022-11-28 02:13:00,931,2022-11-28 02:13:00,,"[{'name': {'given': 'Nairobi', 'honourific': None, 'family': 'Nairobi', 'lineage': None}, 'id': 'nairobi@feb.unila.ac.id'}]",disk0/00/04/68/81,other,['FEB5'],International Journal of Energy Economics and Policy,,,,,,,,,,,,,,,,,,,,,,,,
24,"Ownership rights and ASEAN-5 economic
growth",7,show,archive,2022-07-07 02:43:50,['H1'],43070,pub,"[{'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 43070, 'formatdesc': 'Jurnal', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164925', 'rev_number': 2, 'format': 'other', 'pos': 1, 'files': [{'filesize': 394168, 'datasetid': 'document', 'hash': 'b4653319cb88ae2c3a7b5266ffa4e44a', 'filename': 'Ownership rights and ASEAN-5 economic (1).pdf', 'hash_type': 'MD5', 'mtime': '2022-07-07 01:53:34', 'mime_type': 'application/pdf', 'fileid': 471259, 'uri': 'http://repository.lppm.unila.ac.id/id/file/471259', 'objectid': 164925}], 'docid': 164925, 'main': 'Ownership rights and ASEAN-5 economic (1).pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43070,TRUE,2022-07-07 02:43:50,931,2022-07-07 02:43:50,Studies in Economy and Public Policy,"[{'name': {'given': 'Nairobi', 'lineage': None, 'family': 'Nairobi', 'honourific': None}, 'id': 'nairobi@feb.unila.ac.id'}, {'name': {'family': 'ambya', 'honourific': None, 'lineage': None, 'given': 'ambya'}, 'id': 'ambya.1959@feb.unila.ac.id'}]",disk0/00/04/30/70,article,['FEB5'],,,,,,,,,,,,,,,,,,,,,,,,,
25,"Analysis of Data Inflation Energy and Gasoline Price by Vector
Autoregressive Model",7,show,archive,2022-04-11 01:03:50,['H1'],41182,pub,"[{'files': [{'fileid': 457024, 'mime_type': 'application/pdf', 'mtime': '2022-04-08 07:57:16', 'hash_type': 'MD5', 'filename': 'Lembar Pengesahan Analysis of Data Inflation Energy and Gasoline Price by Vector.pdf', 'hash': '2190923b6f4f52db584c3ef5d047eec8', 'datasetid': 'document', 'filesize': 1567512, 'objectid': 162651, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457024'}], 'docid': 162651, 'main': 'Lembar Pengesahan Analysis of Data Inflation Energy and Gasoline Price by Vector.pdf', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162651', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 41182, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/41182,TRUE,2022-04-11 01:03:50,931,2022-04-11 01:03:50,International Journal of Energy Economics and Policy,"[{'id': 'nairobi@feb.unila.ac.id', 'name': {'given': 'Nairobi', 'lineage': None, 'family': 'Nairobi', 'honourific': None}}, {'id': 'ambya.1959@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'ambya', 'lineage': None, 'given': 'ambya'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Russel', 'given': 'Edwin'}}, {'id': None, 'name': {'given': 'sipa', 'honourific': None, 'family': 'paujiah', 'lineage': None}}]",disk0/00/04/11/82,article,['FEB5'],,,,,,,,,,21464553,,,,,,,,,,,,,,,
26,"INDONESIAN BANKING EFFICIENCY TO FACE
ASEAN BANKING INTEGRATION FRAMEWORK",7,show,archive,2017-11-16 03:42:19,['HB'],5084,submitted,"[{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 5084, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18010', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 54300, 'datasetid': 'document', 'hash': '615e2355f2855549d3c9ea79ddd20d24', 'filename': 'Jurnal SSBRN.docx', 'mtime': '2017-11-10 06:03:39', 'hash_type': 'MD5', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 48643, 'uri': 'http://repository.lppm.unila.ac.id/id/file/48643', 'objectid': 18010}], 'main': 'Jurnal SSBRN.docx', 'docid': 18010}]",public,http://repository.lppm.unila.ac.id/id/eprint/5084,TRUE,2017-11-16 03:42:19,178,2017-11-16 03:42:19,International Journal of Complexity in Leadership and Management (IJCLM) - INDERSCIENCE,"[{'name': {'family': 'Nurbetty', 'honourific': None, 'lineage': None, 'given': 'Herlina Sitorus'}, 'id': 'nurbetty.herlina@yahoo.co.id'}, {'id': 'emi_syam@yahoo.com', 'name': {'given': 'Maimunah', 'lineage': None, 'family': 'Emi', 'honourific': None}}, {'name': {'given': 'Fajarini', 'family': 'Dian', 'honourific': None, 'lineage': None}, 'id': 'dianfajarini25@gmail.com'}]",disk0/00/00/50/84,article,['FEB5'],,,"The purpose of this research is to analyze Indonesian Banking Technical Efficiency to face ASEAN Banking Integration Framework. The research period was from Q12011 until Q42015 that employed 15 Banks with the biggest asset in ASEAN 5 countries.  This research had three steps that was first, technical efficiency of ASEAN 5 country which was measured by Data Envelopment Analysis. Second, the efficiency score of Indonesian banking which was compared to other ASEAN 5 countries and the third, financial ratio of Indonesian banking such as CAR, BOPO, LDR, NPL, and NIM which was compared to other ASEAN 5 country using Independent Sample t-test.
The result of CRTS and VRTS method by DEA showed that banking efficiency in ASEAN 5 countries had a perfect technical efficiency score in some periods. Independent Sample t-test measurement showed that there is a significance difference between Indonesian and ASEAN 5 banks. Indonesian Bank Technical Efficiency was greater than Filipina but lower comparing to Singapore, Malaysia, and Thailand. Moreover Independent Sample t-test measurement showed that there is a significance difference on some financial ratios. Indonesia was greater than Philippine while lower comparing to Singapore, Malaysia, and Thailand. This research concluded that Indonesia is ready to face ABIF. 


Keyword: ABIF, Banking Technical Efficiency, Data Envelopment Analysis, Banking Financial Ratios.",['Universitas Lampung'],,,,,,,,,,,,,,,,,,,,,
