,title,official_url,rev_number,volume,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,date_type,ispublished,number,documents,publisher,full_text_status,uri,refereed,lastmod,userid,datestamp,pagerange,publication,creators,issn,date,dir,type,divisions,contributors,related_url,id_number,succeeds
10,"Hasnunidah, Neni and Abdurrahman, Abdurrahman and Diawati, Chansyanah (2022) Implementation of the Interactive E-LKPD for Biotechnology Materials with the Argument-Driven Inquiry (ADI) Model Oriented to Improving the Argumentation Ability of Middle School Students. Journal of Innovative Science Education, 11 (3). pp. 332-340. ISSN 2502-4523",https://journal.unnes.ac.id/sju/index.php/jise/article/view/56534,6,11.0,show,2022-10-17 01:27:03,archive,['L1'],"This study aims to describe the effect of implementing interactive e-LKPD on biotechnology materials with the Argument-Driven Inquiry in improving argumentation skills. This study involved 60 grade IX students in a public junior high school in South Lampung, Lampung Province. Quantitative method with non-equivalence pretest-posttest control group has been applied with 30 students in the experimental group and 30 students in the control group. Students in the experimental group get learning assisted by interactive biotechnology e-LKPD with the Argument-Driven Inquiry, while students in the control group are taught using Discovery Learning. The results showed that students who were taught using the Argument Driven Inquiry had N-Gain (g= 0.63) than students in the Discovery Learning (g= 0.28). Furthermore, the effectiveness of biotechnology learning using the Argument-Driven Inquiry shows a high category (ES = 0.90). This shows that the interactive e-LKPD with the Argument-Driven Inquiry effective for improving argumentation skills",45719,published,pub,3.0,"[{'files': [{'objectid': 184532, 'uri': 'http://repository.lppm.unila.ac.id/id/file/506968', 'mime_type': 'application/pdf', 'fileid': 506968, 'hash': 'cbfa82cc15210d08fabc169bb7f87de4', 'filename': '56534-Article Text-162826-3-10-20220929(Tri).pdf', 'hash_type': 'MD5', 'mtime': '2022-10-15 23:11:34', 'datasetid': 'document', 'filesize': 333089}], 'main': '56534-Article Text-162826-3-10-20220929(Tri).pdf', 'docid': 184532, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184532', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 45719, 'language': 'en', 'mime_type': 'application/pdf'}]",Program Pasca Sarjana Pendidikan Ilmu Pengetahuan Alam Universitas Negeri Semarang Indonesia,public,http://repository.lppm.unila.ac.id/id/eprint/45719,TRUE,2022-10-17 01:27:03,986,2022-10-17 01:27:03,332-340,Journal of Innovative Science Education,"[{'name': {'given': 'Neni', 'family': 'Hasnunidah', 'honourific': None, 'lineage': None}, 'id': 'nenihasnunidah@gmail.com'}, {'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'family': 'Chansyana', 'honourific': None, 'lineage': None, 'given': 'Diawati'}, 'id': None}]",2502-4523,2022-05-13 00:00:00.000000000,disk0/00/04/57/19,article,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AFT'}]",,https://doi.org/10.15294/jise.v11i1.56534,
11,Check Similarity: Implementation of the Interactive E-LKPD for Biotechnology Materials with the Argument-Driven Inquiry (ADI) Model Oriented to Improving the Argumentation Ability of Middle School Students.,,10,,show,2023-04-25 11:19:58,archive,['L1'],,50661,,unpub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 50661, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190365', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/545987', 'objectid': 190365, 'mtime': '2023-04-22 04:20:25', 'hash_type': 'MD5', 'filename': '9. Tri Utami Jurnal UNNES.pdf.pdf', 'hash': '80c162d11019f24f8e9183e0665236cd', 'fileid': 545987, 'mime_type': 'application/pdf', 'filesize': 399346, 'datasetid': 'document'}], 'docid': 190365, 'main': '9. Tri Utami Jurnal UNNES.pdf.pdf'}]",Universitas Negeri Semarang,public,http://repository.lppm.unila.ac.id/id/eprint/50661,,2023-04-25 11:19:58,986,2023-04-25 11:19:58,,,"[{'name': {'given': 'Neni', 'lineage': None, 'honourific': None, 'family': 'Hasnunidah'}, 'id': 'nenihasnunidah@gmail.com'}, {'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'given': 'Chansyanah', 'lineage': None, 'family': 'Diawati', 'honourific': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}]",,2022-05-13 00:00:00.000000000,disk0_bak/00/05/06/61,other,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AFT'}]",,,
12,"Implementation of the Interactive E-LKPD for Biotechnology 
Materials with the Argument-Driven Inquiry (ADI) Model Oriented to Improving the Argumentation Ability of Middle School Students",https://journal.unnes.ac.id/sju/index.php/jise/article/view/56534,6,11.0,show,2022-05-23 01:30:53,archive,['L1'],"This study aims to describe the effect of implementing interactive e-LKPD on biotechnology materials with the Argument-Driven Inquiry in improving argumentation skills. This study involved 60 grade IX students in a public junior high school in South Lampung, Lampung Province. Quantitative method with non-equivalence pretest-posttest control group has been applied with 30 students in the experimental group and 30 students in the control group. Students in the experimental group get learning assisted by interactive 
biotechnology e-LKPD with the Argument-Driven Inquiry, while students in the control group are taught using Discovery Learning. The results showed that students who were taught using the Argument Driven Inquiry had N-Gain (g= 0.63) than students in the Discovery Learning (g= 0.28). Furthermore, the effectiveness of biotechnology learning using the Argument-Driven Inquiry shows a high category (ES = 0.90). This shows that the interactive e-LKPD with the Argument-Driven Inquiry effective for improving argumentation 
skills",41715,published,pub,3.0,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41715, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163375', 'main': '9. Tri Utami Jurnal UNNES.pdf', 'docid': 163375, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/461113', 'objectid': 163375, 'hash_type': 'MD5', 'mtime': '2022-05-22 00:55:51', 'hash': '4fb1dbf01a746a22a477be5d151ff56a', 'filename': '9. Tri Utami Jurnal UNNES.pdf', 'fileid': 461113, 'mime_type': 'application/pdf', 'filesize': 340971, 'datasetid': 'document'}]}]",Program Pasca Sarjana Pendidikan Ilmu Pengetahuan Alam Universitas Negeri Semarang Indonesia,public,http://repository.lppm.unila.ac.id/id/eprint/41715,TRUE,2022-05-23 01:30:53,986,2022-05-23 01:30:53,332-340,Journal of Innovative Science Education,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hasnunidah', 'given': 'Neni'}, 'id': 'nenihasnunidah@gmail.com'}, {'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'family': 'Diawati', 'honourific': None, 'lineage': None, 'given': 'Chansyanah'}}]",2502-4523,2022-05-13 00:00:00.000000000,disk0/00/04/17/15,article,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AQT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AFT'}]",,https://doi.org/10.15294/jise.v11i1.56534,
13,Check Similarity: Development of Peer-Scaffolding Based Learning Program to Train the Performance Assessment Ability of Prospective Science Teacher,,10,,show,2023-04-25 11:20:17,archive,['L1'],,50665,,unpub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/190369', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 190369, 'uri': 'http://repository.lppm.unila.ac.id/id/file/546016', 'datasetid': 'document', 'filesize': 504649, 'mime_type': 'application/pdf', 'fileid': 546016, 'filename': 'Artikel di JPMIPA Trijalmo dkk 2022.pdf(1).pdf', 'hash': 'f446e7915972008ddbef07244399f0db', 'hash_type': 'MD5', 'mtime': '2023-04-22 04:43:11'}], 'docid': 190369, 'main': 'Artikel di JPMIPA Trijalmo dkk 2022.pdf(1).pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 50665}]","Faculty of Teacher Training and Education, University of Lampung",public,http://repository.lppm.unila.ac.id/id/eprint/50665,,2023-04-25 11:20:17,986,2023-04-25 11:20:17,,,"[{'name': {'given': 'Tri', 'lineage': None, 'family': 'Jalmo', 'honourific': None}, 'id': 'jalmotri@yahoo.com'}, {'id': 'nenihasnunidah@gmail.com', 'name': {'family': 'Hasnunidah', 'honourific': None, 'lineage': None, 'given': 'Neni'}}, {'name': {'honourific': None, 'family': 'Fadiawati', 'lineage': None, 'given': 'Noor'}, 'id': 'noor.fadiawati@fkip.unila.ac.id'}]",,2022-05-10 00:00:00.000000000,disk0_bak/00/05/06/65,other,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}]",,,
14,The Role of Laboratory Activities on Laundry Industry Waste Pollution to Improve Problem Solving skills: Teacher's Perception,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,6,23.0,show,2022-07-21 01:12:39,archive,['LB2300'],"This study aims to describe the teacher's perception of problem-solving-based laboratory activities to improve the problem-solving skills of junior high school. This study involved 30 science teachers in Lampung. Collecting data in this study using a questionnaire, then analyzed using descriptive analysis. The survey results show that 65% of science teachers have not carried out problem-solving-based laboratory activities in their learning activities. This is due to several factors including teachers not being able to manage time in learning activities and limited tools and materials in school laboratories. Whereas on environmental pollution material for class VII of Junior High School, students can be invited to carry out laboratory activities based on solving real problems such as water pollution by laundry industrial waste. Based on the survey results, it can be said that the laboratory activity program is needed by teachers and students to improve students' problem solving skills.",43523,published,pub,1.0,"[{'eprintid': 43523, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 165459, 'main': 'Dina K. Noor F..pdf', 'files': [{'objectid': 165459, 'uri': 'http://repository.lppm.unila.ac.id/id/file/474990', 'datasetid': 'document', 'filesize': 185788, 'fileid': 474990, 'mime_type': 'application/pdf', 'mtime': '2022-07-20 12:59:58', 'hash_type': 'MD5', 'filename': 'Dina K. Noor F..pdf', 'hash': '56c5ce5a1a4999646bbd949afc15d0c1'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165459', 'rev_number': 1}]","Jurusan Pendidikan MIPA, FKIP Universitas Lampung",public,http://repository.lppm.unila.ac.id/id/eprint/43523,TRUE,2022-07-21 01:12:39,624,2022-07-21 01:12:39,327-334,Jurnal Pendidikan MIPA,"[{'id': 'dinakifta2896@gmail.com', 'name': {'given': 'Dina', 'family': 'Kiftatul', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Fadiawati', 'honourific': None, 'given': 'Noor'}, 'id': 'noor.fadiawati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Setyarini', 'lineage': None, 'given': 'M.'}, 'id': 'marina_setyorini@yahoo.com'}]",e-ISSN: 2550-1313 | p-ISSN: 2087-9849,2022-06-10 00:00:00.000000000,disk0/00/04/35/23,article,['FKIP4'],,,,
15,Development and Implementation of Interactive e-Module using Microsoft Sway to Improve Disaster Literacy Skills,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/article/view/25243,6,23.0,show,2022-09-09 00:57:13,archive,['L1'],"Abstrak: Literasi bencana perlu diperkenalkan untuk memberikan pemahaman kepada siswa dan meminimalisir risiko bencana. Tujuan penelitian ini untuk mengetahui penggunaan e-modul interaktif berbasis Microsoft Sway yang valid dan memiliki efektivitas untuk meningkatkan literasi kebencanaan siswa. Desain penelitian ini menggunakan desain Riset and Development (R & D) model 4D (four-D). Sampel penelitian terdiri dari kelas kontrol dan eksperimen dengan istrumen berupa instrumen tes, angket dan wawancara. Analisis data berdasarkan data n-gain, effect size dan persentase deskriptif tanggapan guru dan siswa. Persentase validasi konstruk, isi dan bahasa yang diperoleh secara berturut-turut adalah 84.68%, 80,58% and 86% dengan kriteria seluruhnya valid. Berdasarkan hasil pre-test and post-test didapatkan N-gain 0,66 dengan kriteria sedang untuk meningkatkan literasi kebencanaan siswa. Temuan penelitian menunjukkan bahwa penggunaan e-modul interaktif berbasis Microsoft Sway valid dan memiliki efektivitas tinggi untuk meningkatkan kemampuan literasi kebencanaan siswa

 

Kata kunci: e-modul interaktif, keterampilan literasi kebencanaan, literasi kebencanaan, Microsoft Sway.",44845,published,pub,3.0,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/166752', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 598842, 'fileid': 484046, 'mime_type': 'application/pdf', 'mtime': '2022-09-08 15:51:33', 'hash_type': 'MD5', 'hash': 'add6c655fae5ad408439c118bde7c16a', 'filename': 'artikel Meta.pdf', 'objectid': 166752, 'uri': 'http://repository.lppm.unila.ac.id/id/file/484046'}], 'main': 'artikel Meta.pdf', 'docid': 166752, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 44845}]",Jurusan Pendidikan MIPA,public,http://repository.lppm.unila.ac.id/id/eprint/44845,TRUE,2022-09-09 00:57:13,992,2022-09-09 00:57:13,854-871,Jurnal Pendidikan MIPA,"[{'id': None, 'name': {'given': 'Trimeta Platini', 'lineage': None, 'family': 'Laurensia', 'honourific': None}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}}, {'id': None, 'name': {'given': 'Lengkana', 'family': 'Dewi', 'honourific': None, 'lineage': None}}]",1411-2531,2022-08-31 00:00:00.000000000,disk0/00/04/48/45,article,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Trimetaa Platini', 'family': 'Laurensia', 'honourific': None, 'lineage': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}}, {'name': {'given': 'Lengkana', 'honourific': None, 'family': 'Dewi', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}]",[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/jpmipa/article/view/25243/pdf'}],,
16,Development of Centrifugation Tool to Improve Laboratory Performance and Problem Solving Skills,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,6,23.0,show,2022-09-22 04:27:44,archive,['LB2300'],"This study aims to develop centrifugation tool to improve performance in the laboratory and problem solving skills. The research method used is Research and Development(R&D) with 4D model. The results showed that the developed centrifuge was declared according to the material, had educational value, was durable, precise in measurement, efficient and safe for students based on the responses of teachers and students respectively at 100% and 96.15% with very high criteria. Student performance scores in the laboratory have a distribution close to the average student performance score (91.52). The effectiveness of the application of centrifugation using the students’ worksheet obtained good results in improving problem solving skills with moderate criteria (0.60) and giving moderate effect (0.42). Based on these results, the developed centrifuge was declared effective for improving laboratory performance 
and problem solving skills.",45121,published,pub,2.0,"[{'eprintid': 45121, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 167062, 'main': 'JPMIPA Rozza citra.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-09-22 04:07:13', 'filename': 'JPMIPA Rozza citra.pdf', 'hash': '27657859b38c2931bd89d64be027de6d', 'fileid': 486171, 'mime_type': 'application/pdf', 'filesize': 307124, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486171', 'objectid': 167062}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167062', 'rev_number': 1}]",FKIP UNiversitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/45121,TRUE,2022-09-22 04:27:44,624,2022-09-22 04:27:44,853-865,Jurnal Pendidikan MIPA,"[{'name': {'honourific': None, 'family': 'Pertiwi', 'lineage': None, 'given': 'Rozza Citra'}, 'id': 'rozacitrapratiwi@gmail.com'}, {'id': 'noor.fadiawati@fkip.unila.ac.id', 'name': {'given': 'Noor', 'honourific': None, 'family': 'Fadiawati', 'lineage': None}}, {'name': {'given': 'Chansyanah', 'honourific': None, 'family': 'Diawati', 'lineage': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}]",e-ISSN: 2550-1313 | p-ISSN: 2087-9849,2022-06-14 00:00:00.000000000,disk0/00/04/51/21,article,['FKIP4'],,,,
17,Using e-Worksheet Integrated with PBL-STEM Activities to Improve Disaster Literacy of Junior High School Students,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,6,23.0,show,2022-09-09 00:57:09,archive,['L1'],"The purpose of this study was to develop a PBL-STEM-based e-worksheet to
improve students' disaster literacy using Microsoft Sway. This study uses the Research and
Development (R&D) method with 4d (four-D). The 4D development model consists of 4 stages,
namely define, design, develop, and disseminate. The instrument used is a needs questionnaire,
test instrument. The results of the study stated that the attractiveness of e-LKPD was 88.20%,
convenience was 87.52%, and usefulness was 90.96%. The result of Effect Size on PBL-STEMbased e-worksheet on disaster literacy is 0.72 in the high category. PBL-STEM-based eworksheet is used to grow literacy effectiveness, especially earthquake threat materials in areas
with an N-gain value of 0.68 and moderately qualified. Teachers and students stated that the use
of letters, sentences and language in the e-worksheet was easy to understand, indicating that the
PBL-STEM-based e-LKPD used to study the threat of earthquake disasters in areas was
interesting, useful and the language used was easy to understand and could improve disaster
literacy. junior high school students.
Keywords: e-Worksheet, PBL-STEM, disaster literacy, Microsoft Sway.",44843,published,pub,3.0,"[{'security': 'public', 'placement': 1, 'eprintid': 44843, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 166748, 'uri': 'http://repository.lppm.unila.ac.id/id/file/484030', 'mime_type': 'application/pdf', 'fileid': 484030, 'hash': 'a252f0f0ee47b212c0265b01eb62622f', 'filename': 'artikel Witri.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-08 14:30:00', 'datasetid': 'document', 'filesize': 532189}], 'docid': 166748, 'main': 'artikel Witri.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166748', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Pendidikan MIPA FKIP Unila,public,http://repository.lppm.unila.ac.id/id/eprint/44843,TRUE,2022-09-09 00:57:09,992,2022-09-09 00:57:09,881-893,Jurnal Pendidikaan MIPA,"[{'name': {'lineage': None, 'family': 'Puspita Sari', 'honourific': None, 'given': 'Witri'}, 'id': None}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Abdurrahman', 'lineage': None, 'given': 'Abdurrahman'}}, {'id': 'dewi.lengkana@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Lengkana', 'given': 'Dewi'}}]",ISSN 1411-2531,2022-09-01 00:00:00.000000000,disk0/00/04/48/43,article,['FKIP4'],"[{'name': {'given': 'Witri', 'family': 'Puspita sari', 'honourific': None, 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Dewi Lengkana', 'given': 'Dewi Lengkana'}, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}]",[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/jpmipa/article/view/25254/pdf'}],,
18,Development of Integrated Science Worksheet with Immersed Model Based on Corncob Utilization Project to Improve Students’ Creative Thinking Skills,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,6,23.0,show,2022-07-21 01:12:34,archive,['LB2300'],"This study aims to develop an Integrated Science Student Worksheet Immersed based on the use of corn cobs to improve the creative thinking skills of junior high school students. This study uses the ADDIE research and development method by Dick and Carry. The results obtained, namely expert validation, showed that the average percentage of the aspect of content conformity to basic competencies was 92.07% and the construction aspect of the student worksheet component was 100% with very high criteria. The effectiveness of student worksheets in terms of n-gain and effect size , respectively, is of 0.93 and 0.95 with large criteria. Based on this, the immersed integrated science student worksheet based on the corn cob processing project is effective for improving the creative thinking skills of junior high school students.",43520,published,pub,1.0,"[{'files': [{'objectid': 165457, 'uri': 'http://repository.lppm.unila.ac.id/id/file/474974', 'datasetid': 'document', 'filesize': 333205, 'mime_type': 'application/pdf', 'fileid': 474974, 'hash': '135d60f4e135e349021ee4ca41d54a8e', 'filename': 'Siti N.s., Noor F.pdf', 'hash_type': 'MD5', 'mtime': '2022-07-20 12:12:54'}], 'docid': 165457, 'main': 'Siti N.s., Noor F.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165457', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 43520, 'language': 'en', 'mime_type': 'application/pdf'}]","Jurusan Pendidikan MIPA, FKIP Universitas Lampung",public,http://repository.lppm.unila.ac.id/id/eprint/43520,TRUE,2022-07-21 01:12:34,624,2022-07-21 01:12:34,294-303,Jurnal Pendidikan MIPA,"[{'name': {'given': 'Siti Nur', 'honourific': None, 'family': 'Setiatun', 'lineage': None}, 'id': 'sitinursetiatun09@gmail.com'}, {'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Diawati', 'lineage': None, 'given': 'Chansyanah'}}, {'id': 'noor.fadiawati@fkip.unila.ac.id', 'name': {'given': 'Noor', 'lineage': None, 'honourific': None, 'family': 'Fadiawati'}}]",e-ISSN: 2550-1313 | p-ISSN: 2087-9849,2022-05-10 00:00:00.000000000,disk0/00/04/35/20,article,['FKIP4'],,,,
19,Inorganic Chemistry Textbook-Integrated Science and Religion as Characteristics of Islamic Higher Education,http://journal.iainkudus.ac.id/index.php/Thabiea,8,5.0,show,2022-07-21 01:12:33,archive,['LB2300'],"Nowadays, studies related to the integration between religion and science were attracting the interest of many researchers from religious universities in order to confirm the paradigm of the general public about the dichotomy between religion and science. This study used the ADDIE instructional design to develop an inorganic chemistry textbook that was integrated with science and religion, describing the textbook's characteristics as well as responses from lecturers and students about the developed textbook. This textbook's features are based on chemical representations (macroscopic, submicroscopic, and symbolic) and are integrated with Qur’an verses and research findings. Validators have given an excellent assessment of the aspects of construction, readability, content suitability, and presentation of the material from the developed textbook with percentages of 100%, 92.5%, 96.88%, and 88.57%, respectively. Lecturers have responded favorably to aspects of content suitability and presentation, as well as attractiveness and usefulness. The graphic aspect, as well as the attractiveness, have elicited very positive responses from students. Based on this, the developed textbooks could be approved for use.",43519,published,pub,1.0,"[{'main': 'Mahfud, Noor, Thabeia Jurnal.pdf', 'docid': 165456, 'files': [{'datasetid': 'document', 'filesize': 515153, 'fileid': 474966, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-07-20 11:45:52', 'filename': 'Mahfud, Noor, Thabeia Jurnal.pdf', 'hash': '772123487de66f4703b53579a08510f3', 'objectid': 165456, 'uri': 'http://repository.lppm.unila.ac.id/id/file/474966'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165456', 'rev_number': 1, 'eprintid': 43519, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]","Prodi Tadris IPA, Institut Agama Islam Negeri Kudus",public,http://repository.lppm.unila.ac.id/id/eprint/43519,TRUE,2022-07-21 01:12:33,624,2022-07-21 01:12:33,56-68,Thabiea : Journal of Natural Science Teaching,"[{'name': {'honourific': None, 'family': 'Syamsuri', 'lineage': None, 'given': 'M. Mahfudz Fauzi'}, 'id': 'mahfudz.fauzi@radenfatah.ac.id'}, {'id': 'noor.fadiawati@fkip.unila.ac.id', 'name': {'given': 'Noor', 'honourific': None, 'family': 'Fadiawati', 'lineage': None}}]","p-issn: 2580-8474, e-issn: 2655-898X",1970-01-01 00:00:00.000002022,disk0/00/04/35/19,article,['FKIP4'],,,,
20,Improving Students’ Problem Solving Skills and Laboratory Performance by Sublimation Apparatus Modification Project,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,6,23.0,show,2022-09-23 04:03:55,archive,['LB2300'],": This study aims to develop a sublimation tool to improve problem solving skills and performance in the laboratory. The research method used is the Research and Development 
(R&D) method with a 4D model. The research sample consisted of control and experimental classes. The sampling technique used was purposive sampling. The results showed that the 
developed sublimation tool stated: (1) effective for use, it was obtained (1.64). In addition, the results of the development are also good in improving students' problem solving skills with n�gain (0.64) with high criteria (2) the results of responses from students' responses to the attractiveness aspect (100%), readability aspect (96.29%), and tool design (100%). Based on the results of research and development, it can be stated that the developed sublimation tool is effective for improving problem solving skills and performance in the laboratory and can be used in practical experiments in studying the material for separating mixtures with sublimation techniques.",45125,published,pub,3.0,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 45125, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167066', 'docid': 167066, 'main': 'JPMIPA Haritsa ulya.pdf', 'files': [{'fileid': 486195, 'mime_type': 'application/pdf', 'mtime': '2022-09-22 04:26:28', 'hash_type': 'MD5', 'hash': '7353d846a58990623699a8f5d0baae1c', 'filename': 'JPMIPA Haritsa ulya.pdf', 'datasetid': 'document', 'filesize': 328879, 'objectid': 167066, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486195'}]}]",FKIP UNiversitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/45125,TRUE,2022-09-23 04:03:55,624,2022-09-23 04:03:55,872-881,Jurnal Pendidikan MIPA,"[{'id': 'Haritsahulya94@gmail.com', 'name': {'family': 'Ulya', 'honourific': None, 'lineage': None, 'given': 'Haristsa'}}, {'id': 'noor.fadiawati@fkip.unila.ac.id', 'name': {'family': 'Fadiawati', 'honourific': None, 'lineage': None, 'given': 'Noor'}}, {'name': {'family': 'Diawati', 'honourific': None, 'lineage': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}]",e-ISSN: 2550-1313 | p-ISSN: 2087-9849,2022-08-31 00:00:00.000000000,disk0/00/04/51/25,article,['FKIP4'],,,DOI: http://dx.doi.org/10.23960/jpmipa/v23i3.pp872-881,
