,documents,refereed,full_text_status,uri,userid,pagerange,issn,creators,publication,dir,title,metadata_visibility,volume,rev_number,related_url,status_changed,publisher,number,ispublished,contributors,lastmod,corp_creators,datestamp,date,type,divisions,official_url,eprint_status,abstract,subjects,eprintid,date_type,id_number,patent_applicant
10,"[{'files': [{'filename': 'sertifikat_EC00201982364 media pembelajaran sejarah.pdf', 'hash': 'b01e38297e1c5f01fca276646b34ae32', 'mtime': '2021-05-10 06:16:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 357102, 'filesize': 770506, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/357102', 'objectid': 135275}], 'main': 'sertifikat_EC00201982364 media pembelajaran sejarah.pdf', 'docid': 135275, 'uri': 'http://repository.lppm.unila.ac.id/id/document/135275', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 30126, 'language': 'en', 'mime_type': 'application/pdf'}]",,public,http://repository.lppm.unila.ac.id/id/eprint/30126,573,,,"[{'id': 'muhammad.basri@fkip.unila.ac.id', 'name': {'given': 'Basri', 'honourific': None, 'family': 'Muhammad', 'lineage': None}}, {'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'family': 'Sumargono', 'honourific': None, 'lineage': None, 'given': 'Sumargono'}}]",,disk0/00/03/01/26,Buku Media Pembelajaran Sejarah,show,,7,,2021-05-11 00:49:25,,,pub,,2021-05-11 00:49:25,,2021-05-11 00:49:25,2019-11-18 00:00:00.000000000,patent,['FKIP24'],,archive,"Proses pembelajaran merupakan proses komunikasi, akan tetapi kadang kala dalam proses pembelajaran terjadi kegagalan komunikasi. maka dari ini pemanfaatan media pembelajaran sangat penting. paten ini tentang pembuatan buku yang berisikan media pembelajaran sejarah.",['L1'],30126,published,EC00201982364,Menteri Hukum dan Hak Asasi Manusia Direktur Jendral Kekayaan Intelektual
11,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 30123, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/135268', 'rev_number': 1, 'main': 'sertifikat_EC00201973797.pdf', 'docid': 135268, 'files': [{'hash_type': 'MD5', 'mtime': '2021-05-10 05:53:41', 'filename': 'sertifikat_EC00201973797.pdf', 'hash': '96fcae93cc05f902240688e8ba43893a', 'fileid': 357066, 'mime_type': 'application/pdf', 'filesize': 768383, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/357066', 'objectid': 135268}]}]",,public,http://repository.lppm.unila.ac.id/id/eprint/30123,573,,,"[{'id': 'muhammad.basri@fkip.unila.ac.id', 'name': {'given': 'Muhammad Basri', 'family': 'Muhammad Basri', 'honourific': None, 'lineage': None}}]",,disk0/00/03/01/23,Buku Sejarah Eropa,show,,8,,2021-05-10 06:25:30,,,pub,,2021-05-10 06:25:30,,2021-05-10 06:25:30,2019-10-02 00:00:00.000000000,patent,['FKIP24'],,archive,"Buku ajar ini merupakan sebuah tambahan bagi pemenuhan ilmu pengetahuan para mahasiswa universitas lampung fakultas keguruan dan ilmu pendidikan, jurusan IPS Khususnya Program Studi Pendidikan Sejarah tentunya. Dengan adanya buku ini diharapakan dapat menunjang aktifitas kuliah para mahasiswa calon guru sejarah","['D1', 'D901']",30123,published,EC00201973797,Menteri Hukum dan Hak Asasi Manusia Direktur Jendral Kekayaan Intelektual
12,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 19988, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33332', 'docid': 33332, 'main': 'Vol. 8 No.2 Oktober 2019.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 189060, 'filename': 'Vol. 8 No.2 Oktober 2019.pdf', 'hash': '37f327699903691076d14d513b406092', 'mtime': '2020-05-18 09:19:02', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 248243, 'objectid': 33332, 'uri': 'http://repository.lppm.unila.ac.id/id/file/189060'}]}]",FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/19988,2784,208-218,2541-7207,"[{'name': {'given': 'Rinaldo Adi', 'lineage': None, 'family': 'Pratama', 'honourific': None}, 'id': 'rinaldo.adipratama@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'Nurzengky', 'lineage': None, 'honourific': None, 'family': 'Ibrahim'}}, {'id': None, 'name': {'given': 'Sarkadi', 'lineage': None, 'honourific': None, 'family': 'Sarkadi'}}]",Jurnal Pendidikan Indonesia,disk0/00/01/99/88,"The Effect of Everyone is a Teacher Here Model and Self-Regulated
Learning Towards Learning Outcomes of Indonesian History",show,8,6,,2020-05-18 21:42:07,Universitas Pendidikan Ganesha,2,pub,,2020-05-18 21:42:07,,2020-05-18 21:42:07,2019-10-01 00:00:00.000000000,article,['FKIP24'],,archive,"This research aimed at finding the influence of the learning model Everyone Is a Teacher Here
and Self-Regulated Learning towards of Learning Outcomes of Indonesia History. The research was
conducted at SMAN 8 Tangerang on the academic year 2017/2018. The research method was
experiment, with treatment by level 2X2. Results showed that the students who were treated with the
Everyone Is a Teacher Here model had high learning outcomes, compared to those who were given
direct model learning; groups of students who had high self-regulated learning and they received
learning Everyone Is a Teacher Here had a higher learning outcomes in Indonesian history compared
to those given direct learning; groups of students who had low Self-Regulated Learning and they
received direct learning, haved higher learning outcomes in Indonesian history compared to those
studied Everyone Is a Teacher Here; and, ultimately, there was an interaction effect between the
learning model and the Self-Regulated Learning of the learning outcomes of Indonesian history.",['LA'],19988,published,10.23887/jpi-undiksha.v8i2.17577,
13,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29502', 'rev_number': 1, 'main': '6. JPS UNJ Vol. 8 No. 2 Juli 2019.pdf', 'docid': 29502, 'files': [{'objectid': 29502, 'uri': 'http://repository.lppm.unila.ac.id/id/file/139891', 'datasetid': 'document', 'filesize': 712244, 'fileid': 139891, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-14 05:40:50', 'filename': '6. JPS UNJ Vol. 8 No. 2 Juli 2019.pdf', 'hash': '4a2cf8ea0bb190543a23512a83136cf4'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 16398, 'security': 'public', 'placement': 1}]",FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/16398,2784,99-121,2301-461x,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Pratama', 'given': 'Rinaldo Adi'}, 'id': 'rinaldo.adipratama@fkip.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Maskun', 'given': 'Maskun'}, 'id': None}, {'id': None, 'name': {'given': 'Nur Indah', 'honourific': None, 'family': 'Lestari', 'lineage': None}}]",Jurnal Pendidikan Sejarah,disk0/00/01/63/98,"Dinamika Pelajaran Sejarah Indonesia dalam
Kurikulum 2013 pada Jenjang SMK/MAK",show,8,6,,2019-11-14 10:34:20,Program Magister Pendidikan Sejarah,2,pub,,2019-11-14 10:34:20,,2019-11-14 10:34:20,2019-07-01 00:00:00.000000000,article,['FKIP24'],,archive,"This study aims to explain the dynamics of Indonesian History subject in the 2013
Curriculum at Vocational High School. Implementation of the 2013 Curriculum, the Indonesian
History subject had a special place at the Vocational High School level. But, revision of 2013
Curriculum effected on the existence of Indonesian History subject in Vocational High School.
This study used a library research method that used library resources in research without field
research. The results showed that Indonesian History subject at the beginning of the 2013
Curriculum implementation got allocation 216 hours for six semester in 10th, 11th, and 12th grade.
Decreased to 144 hours for four semester in 10th and 11th grade after revised in 2016, and
decreased again to 108 hours of time allocation for two semester only in 10th grade in 2017 and
changing nomenclature from Indonesian History become History.",['LA'],16398,published,,
14,"[{'eprintid': 16451, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 29543, 'main': '4. Sosial Horizon Vol. 6 No. 1 Juni 2019.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/140589', 'objectid': 29543, 'filesize': 362930, 'datasetid': 'document', 'mtime': '2019-11-14 12:04:53', 'hash_type': 'MD5', 'filename': '4. Sosial Horizon Vol. 6 No. 1 Juni 2019.pdf', 'hash': '53081a0b03f5f07d51f20d17cc650b3d', 'fileid': 140589, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29543'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16451,2784,96-107,2407-5299,"[{'id': 'rinaldo.adipratama@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Pratama', 'given': 'Rinaldo Adi'}}, {'name': {'given': 'Inne Marthyane', 'lineage': None, 'family': 'Pratiwi', 'honourific': None}, 'id': None}]",Sosial Horizon: Jurnal Pendidikan Sosial,disk0/00/01/64/51,HASIL BELAJAR SEJARAH INDONESIA MELALUI PEMBELAJARAN AKTIF TIPE EVERYONE IS A TEACHER HERE BERDASARKAN KEMANDIRIAN BELAJAR,show,6,7,,2019-11-14 12:34:37,LPPM IKIP PGRI Pontianak,1,pub,,2019-11-14 12:34:37,,2019-11-14 12:34:37,2019-06-01 00:00:00.000000000,article,['FKIP24'],http://journal.ikippgriptk.ac.id/index.php/sosial/article/view/1036,archive,"Penelitian ini bertujuan untuk mengetahui hasil belajar Sejarah Indonesia pada siswa setelah mengikuti model pembelajaran aktif tipe Everyone Is A Teacher Here ditinjau dari kemandirian belajar. Penelitian menggunakan metode penelitian quasi eksperimen dengan subjek penelitian adalah siswa kelas X di salah satu SMAN di Tangerang. Instrumen yang digunakan adalah angket kemandirian belajar dan tes hasil belajar siswa pada materi Sejarah Indonesia. Hasil penelitian menunjukkan terdapat pengaruh interaksi antara penggunaan model pembelajaran aktif tipe Everyone Is Teacher Here terhadap hasil belajar siswa. Apabila ditinjau berdasarkan kemandirian belajar, hasil belajar Sejarah Indonesia pada siswa yang memiliki kemandirian belajar tinggi lebih baik daripada hasil belajar siswa yang memiliki kemandirian rendah. Dengan demikian model pembelajaran aktif tipe Everyone Is Teacher Here dapat diimplementasikan dalam pembelajaran Sejarah Indonesia pada siswa yang memiliki kemandirian belajar tinggi.","['L1', 'LB']",16451,published,,
15,"[{'language': 'en', 'mime_type': 'application/xml', 'content': 'accepted', 'eprintid': 16989, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30077', 'rev_number': 3, 'main': 17577, 'docid': 30077, 'files': [{'objectid': 30077, 'uri': 'http://repository.lppm.unila.ac.id/id/file/144279', 'fileid': 144279, 'mime_type': 'application/xml', 'mtime': '2019-11-18 08:00:30', 'hash_type': 'MD5', 'hash': 'be3a9aec4ba735cabc5031fc33552667', 'filename': 17577, 'datasetid': 'document', 'filesize': 37551}]}]",FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/16989,2784,,2541-7207,"[{'id': 'rinaldo.adipratama@fkip.unila.ac.id', 'name': {'given': 'Rinaldo Adi', 'lineage': None, 'family': 'Pratama', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Sarkadi', 'honourific': None, 'given': 'Sarkadi'}}, {'id': None, 'name': {'lineage': None, 'family': 'Ibrahim', 'honourific': None, 'given': 'Nurzengky'}}]",Jurnal Pendidikan Indonesia,disk0/00/01/69/89,PENGARUH MODEL EVERYONE IS A TEACHER HERE DAN KEMANDIRIAN BELAJAR TERHADAP HASIL BELAJAR SEJARAH INDONESIA,show,8,8,,2019-11-18 08:19:56,Universitas Pendidikan Ganesha,2,inpress,,2019-11-18 08:19:56,,2019-11-18 08:19:56,1970-01-01 00:00:00.000002019,article,['FKIP24'],https://ejournal.undiksha.ac.id/index.php/JPI/article/view/17577,archive,"This research aims to find the influence of the learning model Everyone Is A Teacher Here and Self-Regulated Learning towards of Learning Outcomes ofIndonesiaHistory. The research was conducted at SMAN 8 Tangerang on the academic year 2017/2018. The research method useexperiment, with treatment by level 2X2. The results showed, as a whole, the students who were treated with the Everyone Is A Teacher Here model showed high learning outcomes, when compared to those who were given direct model learning; groups of students who have high self-regulated learning and they receive learning Everyone Is A Teacher Here has a higher learning outcomes in Indonesian history compared to those given direct learning; groups of students who have low Self-Regulated Learning and they receive direct learning, have higher learning outcomes in Indonesian history compared to those studied Everyone Is A Teacher Here; and, ultimately, there is an interaction effect between the learning model and the Self-Regulated Learning of the learning outcomes of Indonesian history.",['L1'],16989,published,,
16,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 15600, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28719', 'main': '09. Publikasi Jurnal.pdf', 'docid': 28719, 'files': [{'objectid': 28719, 'uri': 'http://repository.lppm.unila.ac.id/id/file/134365', 'fileid': 134365, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-05 06:40:52', 'filename': '09. Publikasi Jurnal.pdf', 'hash': '0e346715df41abd34676977cbe02fb38', 'datasetid': 'document', 'filesize': 406925}]}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15600,820,18-27,2222-288X,"[{'id': 'risma_msinaga@gmail.com', 'name': {'given': 'RMS', 'lineage': None, 'honourific': None, 'family': 'Risma M Sinaga'}}]",Journal of Education and Practice,disk0/00/01/56/00,"Development of Android-Based Mobile Learning: Answering the
Challenges of the Industrial Revolution 4.0",show,10,7,[{'url': 'http://www.iiste.org'}],2019-11-05 10:57:41,http://www.iiste.org,14,pub,,2019-11-05 10:57:41,,2019-11-05 10:57:41,2019-05-31 00:00:00.000000000,article,['FKIP24'],http://www.iiste.org,archive,"Economic Learning in the Social Sciences Department at Al-Kautsar High School in Bandar Lampung is more teacher-oriented. The use of media is only limited to the use of powerpoint. In addition, the low percentage of KKM achievement (minimum completeness criteria) of students in several daily tests. Learning that uses mobile learning media is an alternative learning to increase student academic achievement in formative and summative tests as well. This development research aims to produce products that is mobile learning android-based in economic learning in order to answer the challenges of the industrial revolution 4.0. This study uses the Research and Development method with the ADDIE model (analysis, design, development, implementation and evaluation). The results of the study show that mobile learning has a significant influence on student academic achievement. Keywords: mobile learning, academic achievement, android, economic learning","['H1', 'L1']",15600,published,,
17,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29541', 'rev_number': 1, 'main': '7572-22730-1-PB (1).pdf', 'docid': 29541, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/140582', 'objectid': 29541, 'hash': '2199f3d788b93601c30464ca1d51dcf4', 'filename': '7572-22730-1-PB (1).pdf', 'mtime': '2019-11-14 11:52:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 140582, 'filesize': 911922, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 16449, 'security': 'public', 'placement': 1}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16449,1246,74-83,1979-9993,"[{'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'given': 'Sumargono', 'lineage': None, 'family': 'Sumargono', 'honourific': None}}]",ANALISIS KEPEMIMPINAN SISWA DALAM PENERAPAN MEDIA PERMAINAN MONOPOLI DAN SIMULASI PADA PEMBELAJARAN SEJARAH,disk0/00/01/64/49,ANALISIS KEPEMIMPINAN SISWA DALAM PENERAPAN MEDIA PERMAINAN MONOPOLI DAN SIMULASI PADA PEMBELAJARAN SEJARAH,show,13,6,"[{'url': 'http://journal2.um.ac.id/index.php/sejarah-dan-budaya/issue/view/586/showToc', 'type': 'pub'}]",2019-11-14 12:34:27,"Sejarah dan Budaya : Jurnal Sejarah, Budaya, dan Pengajarannya",1,pub,,2019-11-14 12:34:27,,2019-11-14 12:34:27,2019-06-30 00:00:00.000000000,article,['FKIP24'],http://journal2.um.ac.id/index.php/sejarah-dan-budaya/issue/view/586/showToc,archive,"This research focuses on monopoly and simulation game media applications. The aim is to make classroom historical learning more meaningful and attractive to students. Research method used in this study is qualitative. Data collection techniques are carried out through interviews, observation, and documentation. The study resulted show that monopoly and simulation game media increases students interest in material from history and student leadership, judging from the indicators by: responsibility, love the fatherland, courage, and keeping promise.
KEYWORDS
leadership, game media, learning history",['LA'],16449,published,,
18,"[{'eprintid': 16460, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '11464-Article Text-28166-4-10-20191101 (1).pdf', 'docid': 29548, 'files': [{'hash': '1d4e2f62c3ac470b7effc1a5e36d521b', 'filename': '11464-Article Text-28166-4-10-20191101 (1).pdf', 'hash_type': 'MD5', 'mtime': '2019-11-14 12:42:22', 'mime_type': 'application/pdf', 'fileid': 140630, 'filesize': 599696, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/140630', 'objectid': 29548}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29548', 'rev_number': 1}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16460,1246,79-98,2301 – 461X,"[{'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sumargono', 'given': 'Sumargono'}}]",Integrasi Sosiokultural Siswa dalam Pendidikan Multikultural Melalui Pembelajaran Sejarah,disk0/00/01/64/60,Integrasi Sosiokultural Siswa dalam Pendidikan Multikultural Melalui Pembelajaran Sejarah,show,8,6,"[{'url': 'http://journal.unj.ac.id/unj/index.php/jps', 'type': 'pub'}]",2019-11-15 02:38:45,JURNAL PENDIDIKAN SEJARAH,1,pub,,2019-11-15 02:38:45,,2019-11-15 02:38:45,2019-09-26 00:00:00.000000000,article,['FKIP24'],http://journal.unj.ac.id/unj/index.php/jps,archive,"this research aims to see the integration of sociocultural on history learning process., This research is qualitative with a phenomenological approach, namely by conducting a critical analysis of social phenomena. The technique of data collection is done by observation, interview, and documentation. The validity of data analysis techniques uses triangulation techniques and sources. The data analysis used is an interactive analysis model. The result showed that in SMAN 3 Surakarta the history teacher had integrated sociocultural students in multicultural education through historical learning. History teachers and students feel the benefits of historical learning through multicultural education by remembering and studying the riots triggered by differences to other historical events backed by ethnic conflicts such as Riots in Surakarta to the opposite of the Youth Oath which was pioneered by various ethnic, ethnic and religion throughout Indonesia.
Keywords: Sociocultural Students, Multicultural, Historical Learning.",['LA'],16460,published,,
19,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 20125, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33466', 'rev_number': 1, 'main': '34-Article Text-227-3-10-20190628 (1).pdf', 'docid': 33466, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/189991', 'objectid': 33466, 'filename': '34-Article Text-227-3-10-20190628 (1).pdf', 'hash': '70bdb453cd4485632e719633a9e75da6', 'hash_type': 'MD5', 'mtime': '2020-05-19 07:29:48', 'mime_type': 'application/pdf', 'fileid': 189991, 'filesize': 447492, 'datasetid': 'document'}]}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/20125,1246,82-99,2622-1837,"[{'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Sumargono', 'lineage': None, 'given': 'Sumargono'}}, {'id': 'henry.susanto@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Henry', 'lineage': None, 'given': 'Susanto'}}, {'name': {'given': 'Valensy Rachmedita', 'lineage': None, 'family': 'Valensy Rachmedita', 'honourific': None}, 'id': 'valensy.rachmedita02@fkip.unila.ac.id'}]",Jurnal Pendidikan Sejarah Indonesia,disk0/00/02/01/25,PENGEMBANGAN MEDIA PEMBELAJARAN SEJARAH BERBANTUAN ISPRING SUITE 6.2 UNTUK MENINGKATKAN HASIL BELAJAR PADA SISWA KELAS XI IPS SMAN 1 SURAKARTA,show,2,6,"[{'type': 'pub', 'url': 'http://journal2.um.ac.id/index.php/sejarah'}]",2020-05-19 13:58:19,"Faculty of Social Science, Universitas Negeri Malang",1,pub,,2020-05-19 13:58:19,['Universitas Lampung'],2020-05-19 13:58:19,2019-06-30 00:00:00.000000000,article,['FKIP24'],http://journal2.um.ac.id/index.php/sejarah,archive,"This research purpose is the development media historical learning in accord-ance with the science and technology. One of is the media learning developt, assisted by iSpring Suite 6.2, to improve student learning outcomes. The research method used is the Thiagarajan Research & Development (R & D) method that study include: 1) Determine, 2) Design, 3) Develop, and 4) Dissemination. Product effectiveness testing was carried out by the experimental method from Senior High School in Surakarta that chosen as the place of investigation. As an experimental group, class XI from social department class 3 was chosen and the class XI social department class 2 was the control group. Based on the analysis by the effectiveness test results. The results of the experimental class after the test (using advanced media), the results of the SPSS 16 analysis were significant at 0,000 <0,05, which means there were significant differences between the experimental class and control class after being treated. Because the average value from the experi-mental class performance test (subject group on the developed media) = 85.71> the av-erage test score of the control class (subject group with powerpoint) = 78.75, so it can be concluded that effective media has been developed to improve student learning out-comes.
Keywords : Media development, iSpring Suite 6.2, Academic achievement",['LA'],20125,published,,
20,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31029', 'pos': 1, 'format': 'text', 'files': [{'objectid': 31029, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150777', 'fileid': 150777, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-02-05 07:56:27', 'hash': 'fda19fd1f7bf1580dbd2a2c93db0be67', 'filename': '8. Sosial Horizon, Vol 6 No. 2 2019.pdf', 'datasetid': 'document', 'filesize': 371631}], 'main': '8. Sosial Horizon, Vol 6 No. 2 2019.pdf', 'docid': 31029, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 17903}]",FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/17903,2784,338-354,2407-5299,"[{'name': {'lineage': None, 'family': 'Susanto', 'honourific': None, 'given': 'Henry'}, 'id': 'henry.susanto@fkip.unila.ac.id'}, {'name': {'given': 'Rinaldo Adi', 'honourific': None, 'family': 'Pratama', 'lineage': None}, 'id': 'rinaldo.adipratama@fkip.unila.ac.id'}]",Sosial Horizon: Jurnal Pendidikan Sosial,disk0/00/01/79/03,Kadipaten Gunung Polisi: Upaya Belanda Dalam Menguasai Tanah Kasunanan Surakarta Pada Abad Ke-19,show,6,6,[{'url': 'http://journal.ikippgriptk.ac.id/index.php/sosial/article/view/1291'}],2020-02-17 03:49:27,LPPM IKIP PGRI Pontianak,2,pub,,2020-02-17 03:49:27,,2020-02-17 03:49:27,2019-12-31 00:00:00.000000000,article,['FKIP24'],,archive,"This research aims to reconstruct historical events regarding Dutch colonialism in Kasunanan Surakarta in the 19th century, in the context of the problem of why and how the Dutch colonial government controlled the Kasunanan Surakarta. The research method used in this research is a historical research method which includes the steps: heuristics, criticism, interpretation, and historiography. The framework used is that the Kasunanan Surakarta region controled by the Dutch colonial government was assumed in the framework of the Dutch colonial government's efforts
to sustain the success of the commercial plantation industry in the Kasunanan Surakarta in the 19th century. The establishment of the tundan post was followed by the formation of the Kadipaten Gunung Polisi as a way for the Dutch to control the lands belonging to the Kasunanan Surakarta and to inculcate their political influence in the former Kingdom of Mataram II.",['D1'],17903,published,,
21,"[{'security': 'public', 'placement': 1, 'eprintid': 21015, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash': 'ec572d5b1546ed65f914e0c982568f63', 'filename': 'jurnal publish dinamika industri gula.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-29 06:39:24', 'mime_type': 'application/pdf', 'fileid': 196143, 'filesize': 238764, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/196143', 'objectid': 34398}], 'main': 'jurnal publish dinamika industri gula.pdf', 'docid': 34398, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34398', 'format': 'text', 'pos': 1}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21015,136,227-242,2337-4713,"[{'name': {'given': 'Yusuf Perdana', 'honourific': None, 'family': 'Yusuf Perdana', 'lineage': None}, 'id': 'yusuf.perdana@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Henry', 'lineage': None, 'given': 'Susanto'}, 'id': 'henry.susanto@fkip.unila.ac.id'}, {'id': 'yustina.sri@fkip.unila.ac.id', 'name': {'family': 'Ekwandari', 'honourific': None, 'lineage': None, 'given': 'Yustina Sri'}}]",HISTORIA: Jurnal Program Studi Pendidikan Sejarah,disk0/00/02/10/15,Dinamika Industri Gula Sejak Cultuurstelsel Hingga Krisis Malaise Tahun 1830 – 1929,show,7,7,,2020-05-29 06:55:44,,2,pub,,2020-05-29 06:55:44,,2020-05-29 06:55:44,1970-01-01 00:00:00.000002019,article,['FKIP24'],,archive,"The purpose of this study was to analyze the history of the sugar industry in the Dutch
East Indies in the period 1830-1929, the impact of the cultuurstelsel on the sugar industry,
the implementation of the Agrarian Law 1870, to correct the crisis of malaise on the sugar
production of the Dutch East Indies. The method used in this study is the historical
method. The steps taken by the researcher answer are heuristic sources or sources,
sources of criticism or examine existing sources, interpret data or historical
interpretation, meaning historiography. In this study, discussing the sugar industry in the
Dutch East Indies in the period 1830 to 1929 increased. At least in the period 1840-1849
the sugar industry got the second biggest profit after coffee. The enactment of the
agrarian law in 1870 had an impact on capital inflows which resulted in a drastic increase
in sugar production in the Dutch East Indies increasing to become one of the largest sugar
exporters in the world. World War I faced economic challenges plus the New York stock
exchange resulted in the sluggish world market of the main industry known as the malaise
crisis. Conclusion of research on the crisis of malaise caused the sugar industry to
decrease production drastically and have an effect on the migration of workers to other
regions and switch to the industrial and service sectors.
Keywords: Sugar Industry, Cultuurstelsel, Malaise Crisis","['L1', 'LA']",21015,published,,
