,event_location,date_type,eprintid,event_title,metadata_visibility,rev_number,event_type,title,event_dates,abstract,subjects,status_changed,eprint_status,date,dir,creators,divisions,type,refereed,full_text_status,uri,documents,pres_type,ispublished,datestamp,lastmod,userid,contact_email,official_url,publisher,pagerange,id_number,related_url,volume,number,issn,publication,funders,referencetext,keywords,place_of_pub,projects,contributors,corp_creators,succeeds,patent_applicant,pages,isbn,series,book_title,output_media
25,,completed,23264,,show,7,,"KONSTRUKSI MATRAS FEROSEMEN CERUCUK BAMBU (MATFERUMBU)
UNTUK PENINGKATAN DAYA DUKUNG TANAH LUNAK",,Suatu konstruksi matras ferosemen cerucuk bambu yang terdiri dari: bagian matras dari panel ferosemen pracetak berbentuk kotak yang terbuka pada salah satu sisinya menyerupai bentuk pan dan terdapat lobang udara pada keempat sisinya; dan bagian cerucuk dari batang bambu; dimana panel ferosemen pracetak tersebut dapat mengekang tanah lunak yang ada didalamnya untuk tidak bergerak horisontal maupun vertikal; dimana susunan panel-panel tersebut membentuk seperti matras di atas tanah lunak; dan dimana batang bambu berpenampang bundar yang masih terdapat udara di dalam ruas-ruasnya dapat membantu meningkatkan daya dukung tanah lunak.,['TA'],2020-07-21 03:17:55,archive,2020-03-09 00:00:00.000000000,disk0/00/02/32/64,"[{'id': 'masdar.helmi@eng.unila.ac.id', 'name': {'given': 'Masdar', 'honourific': None, 'family': 'Helmi', 'lineage': None}}]",['FT4'],patent,,public,http://repository.lppm.unila.ac.id/id/eprint/23264,"[{'security': 'public', 'placement': 1, 'eprintid': 23264, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/212956', 'objectid': 36827, 'hash': '2e00530bc62c7c11cdd46d423e73da9b', 'filename': 'Paten3-sertifikat-matras ferosemen.pdf', 'mtime': '2020-07-21 03:09:13', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 212956, 'filesize': 1022182, 'datasetid': 'document'}], 'main': 'Paten3-sertifikat-matras ferosemen.pdf', 'docid': 36827, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36827', 'format': 'text', 'pos': 1}]",,pub,2020-07-21 03:17:55,2020-07-21 03:17:55,1021,,,,,IDS000002949,[{'url': 'https://pdki-indonesia.dgip.go.id/index.php/paten/OXFEbWJTTXNUcUNZanVFcGd5NWdDZz09?q=ferosemen&type=1'}],,,,,,,,,,,,20863.0,S00201000202,8.0,,,,
26,,,22134,,show,7,,Effect of Pressure and Heat Treatments on the Compressive Strength of Reactive Powder Concrete,,"This paper presents the corresponding compressive strength of RPC with variable pressure
combined with heating rate, heating duration, and starting time of heating. The treatments applied
were 8 MPa static pressure on fresh RPC prims and heat curing at 240 °C in an oven. The compressive
strength test was conducted at 7-d and 28-d. The images of RPC morphology were captured on the
surface of a fractured specimen using Scanning Electron Microscopy in Secondary Electron detector
mode to describe pore filing mechanism after treatments. The results show that a heating rate at 50
°C/hr resulted in the highest compressive strength about 40 % more than those at 10 or 100 °C/hr. A
heating duration of 48 hours led to the maximum compressive strength. Heat curing applied 2 days
after casting resulted in the maximum compressive. Heat curing had a signicant effect on the
compresssive strength due to the acceleration of both reactions (hydration and pozzolanic) and the
degree of transformation from tobermorite to xonotlite. It is concluded that the optimum condition of
treatments is both pressure and heat curing at 2-day after casting with a rate of 50 °C/hr for 48 hours.",['TA'],2020-06-09 08:17:57,archive,1970-01-01 00:00:00.000002020,disk0/00/02/21/34,"[{'id': 'masdar.helmi@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Helmi', 'lineage': None, 'given': 'Masdar'}}, {'id': 'matthew.hall@nottingham.ac.uk', 'name': {'family': 'Hall', 'honourific': None, 'lineage': None, 'given': 'Matthew R'}}, {'id': None, 'name': {'lineage': None, 'family': 'Rigby', 'honourific': None, 'given': 'Sean P'}}]",['FT4'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/22134,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22134, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35540', 'docid': 35540, 'main': 'Similarity check-MATEC-Effect of Pressure and Heat Treatments.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/203895', 'objectid': 35540, 'hash_type': 'MD5', 'mtime': '2020-06-09 08:07:59', 'hash': '39ff182341610ca1027fa1364dd91647', 'filename': 'Similarity check-MATEC-Effect of Pressure and Heat Treatments.pdf', 'fileid': 203895, 'mime_type': 'application/pdf', 'filesize': 3944231, 'datasetid': 'document'}]}]",,unpub,2020-06-09 08:17:57,2020-06-09 08:17:57,1021,,,LPPM Unila,,,,,,,,,,,,,,,,,,,,,
27,,,20865,,show,7,,"Daya Dukung Cerucuk Pancang Ferosemen terhadap
Beban Aksial di Atas Tanah Lunak",,"Penelitian ini sangat dibutuhkan untuk memperoleh kapasitas teoritis cerucangfero dalam menahan beban di atas tanah lunak yang dikaitkan dengan luasan permukaan cerucangfero dan volume tanah yang terpampatkan. Hasil penelitian dapat digunakan sebagai landasan pertimbangan para praktisi konstruksi dalam merencanakan dan menggunakan cerucangfero di atas tanah lunak. 
Penelitian dilakukan di laboratorium Mekanik Tanah Fakultas Teknik Unila dengan tahapan pengujian sifat fisis tanah, kuat lekatan dan kapasitas daya dukung cerucangfero. Pengujian sifat fisis untuk mendapat faktor yang mempengaruhi daya lekat meliputi kohesi dan kuat geser. Pengujian lekatan fokus pada kekuatan lekatan atau geser antara tanah lunak dan ferosemen. Pengujian daya dukung cerucangfero terhadap beban yang bekerja di atasnya akan dihubungkan dengan volume tanah lunak yang dapat dipampatkan didalamnya dan terkait luas lekatan permukaan cerucangfero.",['TA'],2020-05-28 11:49:40,archive,2020-05-01 00:00:00.000000000,disk0/00/02/08/65,"[{'id': 'masdar.helmi@eng.unila.ac.id', 'name': {'family': 'Helmi', 'honourific': None, 'lineage': None, 'given': 'Masdar'}}, {'name': {'honourific': None, 'family': 'Iswan', 'lineage': None, 'given': 'iswan'}, 'id': 'one_iswan@ymail.com'}, {'id': 'fikri.alami@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'ALAMI', 'lineage': None, 'given': 'FIKRI'}}, {'name': {'honourific': None, 'family': 'Irianti', 'lineage': None, 'given': 'Laksmi'}, 'id': 'laksmi@eng.unila.ac.id'}]",['FT4'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/20865,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 20865, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34249', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filename': 'Masdar Helmi-Teknik Sipil-Penelitian-DipaFT2020.pdf', 'hash': 'edfd3009c26ca7b22145a45ec5abed05', 'hash_type': 'MD5', 'mtime': '2020-05-28 07:45:24', 'mime_type': 'application/pdf', 'fileid': 195161, 'filesize': 1202805, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/195161', 'objectid': 34249}], 'docid': 34249, 'main': 'Masdar Helmi-Teknik Sipil-Penelitian-DipaFT2020.pdf'}]",,unpub,2020-05-28 11:49:40,2020-05-28 11:49:40,1021,,,LPPM Unila,,,,,,,,,,,,,,,,,,,,,
28,,published,33605,,show,9,,"Google Traffic sebagai Masukan Kebijakan 
Transportasi Perkotaan (Studi Kasus: Kota 
Bandar Lampung)",,"Kemacetan di kawasan perkotaan rentan terjadi karena dampak dari tumbuhnya aktivitas kegiatan dan ekonomi yang semakin terspesialisasi dan kompleks. Untuk itu, perlu 
dirumuskan kebijakan transportasi perkotaan yang baik untuk mengakomodir peningkatan kebutuhan transportasi perkotaan. Google Traffic merupakan fitur yang terdapat pada Google Maps untuk melihat tingkat kemacetan suatu area. Google Traffic dapat mendeteksi suatu wilayah dengan indikasi warna merah, kuning, atau hijau melalui prinsip Real Time Data menggunakan data dari Global Positioning System (GPS). Penelitian ini ingin melihat 
bagaimana pemanfataan Fitur Google Traffic sebagai masukan kebijakan transportasi perkotaan dengan melihat kebijakan transportasi perkotaan eksisting, analisa model sistem pergerakan pada Google Traffic, serta analisa pengembangan kebijakan model Google Traffic, yang akan berguna untuk pengembangan Kebijakan transportasi Perkotaan, khususnya Kota Bandar Lampung sebagai studi kasus",['TA'],2021-08-24 02:44:33,archive,1970-01-01 00:00:00.000002020,disk0/00/03/36/05,"[{'name': {'given': 'M. Zainal', 'lineage': None, 'honourific': None, 'family': 'Ibad'}, 'id': 'zainal.ibad@pwk.itera.ac.id'}, {'id': 'rahayu.sulistyorini@eng.unila.ac.id', 'name': {'given': 'Rahayu', 'lineage': None, 'honourific': None, 'family': 'Sulistyorini'}}, {'id': 'chania.rahmah@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'rahmah', 'given': 'chania'}}]",['FT4'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/33605,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 33605, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153733', 'format': 'text', 'pos': 1, 'files': [{'hash': 'e4bd61af962c0f382a7dc3f4d45b14d6', 'filename': 'tataloka A.pdf', 'hash_type': 'MD5', 'mtime': '2021-08-23 23:25:33', 'mime_type': 'application/pdf', 'fileid': 398307, 'filesize': 675715, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/398307', 'objectid': 153733}], 'main': 'tataloka A.pdf', 'docid': 153733}, {'mime_type': 'application/pdf', 'language': 'en', 'placement': 2, 'security': 'public', 'eprintid': 33605, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153734', 'pos': 2, 'format': 'text', 'files': [{'filesize': 512096, 'datasetid': 'document', 'filename': 'tataloka K.pdf', 'hash': 'd5dddd7f377c89455329abde8b0d5bc6', 'hash_type': 'MD5', 'mtime': '2021-08-23 23:25:41', 'mime_type': 'application/pdf', 'fileid': 398309, 'uri': 'http://repository.lppm.unila.ac.id/id/file/398309', 'objectid': 153734}], 'main': 'tataloka K.pdf', 'docid': 153734}, {'mime_type': 'application/pdf', 'language': 'en', 'placement': 3, 'security': 'public', 'eprintid': 33605, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153735', 'pos': 3, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/398311', 'objectid': 153735, 'filesize': 576569, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-08-23 23:48:36', 'filename': 'tataloka gab.pdf', 'hash': 'be4e848d8929c39a7b367bf71ee90c89', 'fileid': 398311, 'mime_type': 'application/pdf'}], 'docid': 153735, 'main': 'tataloka gab.pdf'}]",,pub,2021-08-24 02:44:33,2021-08-24 02:44:33,354,,,BIRO PENERBIT PLANOLOGI UNDIP,,,,,,,,,,,,,,,,,,,,,
29,,published,27895,,show,6,,Google Traffic sebagai Masukan Kebijakan Transportasi Perkotaan (Studi Kasus: Kota Bandar Lampung),,"Congestion in urban areas is vulnerable because of the impact of the growth of activities and an increasingly specialized and complex economy. For this reason, it is necessary to formulate a good urban transportation policy to accommodate increased urban transportation needs. Google Traffic is a feature found on Google Maps to see the level of congestion in an area. Google Traffic can detect an area with red, yellow or green indications through the principle of Real Time Data using data from the Global Positioning System (GPS). This study wanted to see how the use of the Google Traffic Feature as input to urban transportation policies by looking at existing urban transportation policies, analyzing the movement system model on Google Traffic, and analyzing the development of Google Traffic model policies, which would be useful for the development of Urban Transportation Policies, especially Bandar Lampung City as a case study.",['TA'],2021-02-16 03:56:33,archive,2020-08-01 00:00:00.000000000,disk0/00/02/78/95,"[{'id': 'zainal.ibad@pwk.itera.ac.id', 'name': {'family': 'Ibad', 'honourific': None, 'lineage': None, 'given': 'M. Zainal'}}, {'id': 'rahayu.sulistyorini@eng.unila.ac.id', 'name': {'family': 'Sulistyorini', 'honourific': None, 'lineage': None, 'given': 'Rahayu'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'rahmah', 'given': 'chania'}}]",['FT4'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/27895,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 27895, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41878', 'format': 'text', 'pos': 1, 'files': [{'objectid': 41878, 'uri': 'http://repository.lppm.unila.ac.id/id/file/248586', 'fileid': 248586, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-02-15 11:01:41', 'filename': 'tataloka.pdf', 'hash': '9a2b9697690029dd85063e3ef76b58ca', 'datasetid': 'document', 'filesize': 330833}], 'docid': 41878, 'main': 'tataloka.pdf'}]",,pub,2021-02-16 03:56:33,2021-02-16 03:56:33,354,,https://ejournal2.undip.ac.id/index.php/tataloka/article/view/4927/pdf,biro penerbit planologi undip,409-417,,[{'url': 'https://doi.org/10.14710/tataloka.22.3.409-417'}],22,3.0,P0852 7458 - E 2356 0266,Tata Loka,,,Google Traffic; Movement System Models; Urban Transportation; Congestion; Transportation Policy,,,,,,,,,,,
30,,published,38376,,show,8,,Pembuatan Mesin Cetak Pelet Pakan Ternak Berbahan Baku Onggok Untuk Kelompok Peternak Sapi di Terbanggi Subing Lampung Tengah,,Similarity Cek,"['T1', 'TA']",2022-01-26 06:21:12,archive,1970-01-01 00:00:00.000002020,disk0/00/03/83/76,"[{'id': 'gusri.akhyar@eng.unila.ac.id', 'name': {'family': 'Ibrahim', 'honourific': None, 'lineage': None, 'given': 'Gusri'}}, {'id': 'arinal.hamni@yahoo.com', 'name': {'honourific': None, 'family': 'Hamni', 'lineage': None, 'given': 'Arinal'}}, {'name': {'given': 'Lusmeilia', 'lineage': None, 'honourific': None, 'family': 'Afriani'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}]",['FT4'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/38376,"[{'eprintid': 38376, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 159472, 'main': 'Plagiarisme_Jurnal Shinta 5 (8)_Pembuatan Mesin Cetak Pelet Pakan Ternak Berbahan Baku Onggok Untuk Kelompok Peternak Sapi di Terbanggi Subing Lampung Tengah.pdf', 'files': [{'filesize': 3148640, 'datasetid': 'document', 'hash': 'c7ecf85fe762c657b7a6392569075932', 'filename': 'Plagiarisme_Jurnal Shinta 5 (8)_Pembuatan Mesin Cetak Pelet Pakan Ternak Berbahan Baku Onggok Untuk Kelompok Peternak Sapi di Terbanggi Subing Lampung Tengah.pdf', 'mtime': '2022-01-26 04:54:11', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 435051, 'uri': 'http://repository.lppm.unila.ac.id/id/file/435051', 'objectid': 159472}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159472'}]",,pub,2022-01-26 06:21:12,2022-01-26 06:21:12,808,,,Dharma Raflesia Jurnal Ilmiah Pengembangan dan Penerapan IPTEKS,,,,,,,,,,,,,,,,,,,,,
31,,published,50577,,show,6,,Analisis pengaruh anomali iklim terhadap curah hujan di Propinsi Bengkulu,,"Propinsi Bengkulu adalah salah satu daerah di Indonesia yang dipengaruhi oleh anomali
iklim, diantaranya adalah bencana banjir dan kekeringan. Dengan demikian, diperlukan
penelitian untuk mengetahui pengaruh anomali iklim terhadap curah hujan di Propinsi
Bengkulu. Tujuan penelitian ini adalah untuk mengetahui: daerah yang dominan
terpengaruh oleh anomali iklim, perulangan anomali iklim dan kecendrungan pertumbuhan
anomali iklim di Propinsi Bengkulu. Metode yang digunakan adalah metode fast
fourier transform (FFT) dan lomb periodogram. Hasil penelitian menunjukkan periode
frekuensi dominan adalah perulangan 2,8 tahun untuk FFT, sedangkan lomb periodogram
adalah 3,8 – 4,4 tahun. Hasil analisis FFT menunjukkan nilai amplitudo dari data BMKG
adalah 1,2 mm2-3,4 mm2, sedangkan dari data TRMM nilai amplitudo adalah 0,1 mm2 –
0,6 mm2. Dengan menggunakan metode lomb periodogram didapatkan nilai amplitudo
2,5 mm2 – 25 mm2 dari data BMKG dan dari data TRMM diperoleh amplitude sebesar
0,28 mm2- 0,37 mm2. Kesimpulan dari hasil penelitian ini adalah anomali iklim yang
berpengaruh menurut hasil FFT adalah IODM dengan perulangan 2,8 tahun, sedangkan dari lomb periodogram yang berpengaruh adalah ENSO dengan perulangan 3,8 – 4,4 tahun. Disimpulkan pula bahwa daerah dominan terpengaruh oleh anomali iklim
menurut data BMKG adalah Kepahiyang, sedangkan untuk TRMM adalah daerah Fatmawati dan Pulau Baai. Untuk kecenderungan pertumbuhan pengaruh anomali iklim, bahwa setiap stasiun kecuali Fatmawati BMKG, punya kecendrungan naik.",['TA'],2023-04-17 00:46:17,archive,2020-04-01 00:00:00.000000000,disk0_bak/00/05/05/77,"[{'id': None, 'name': {'family': 'Ismail', 'honourific': None, 'lineage': None, 'given': 'Muhammad Rizky'}}, {'name': {'given': 'Ahmad', 'family': 'Zakaria', 'honourific': None, 'lineage': None}, 'id': 'ahmad.zakaria@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Susilo', 'given': 'Gatot Eko'}, 'id': 'gatot89@yahoo.ca'}]",['FT4'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/50577,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190275', 'rev_number': 1, 'main': 'makalah rizki ismail.pdf', 'docid': 190275, 'files': [{'datasetid': 'document', 'filesize': 2079321, 'mime_type': 'application/pdf', 'fileid': 545345, 'filename': 'makalah rizki ismail.pdf', 'hash': 'cdece4806766df0378e06434969026fd', 'hash_type': 'MD5', 'mtime': '2023-04-16 02:48:47', 'objectid': 190275, 'uri': 'http://repository.lppm.unila.ac.id/id/file/545345'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 50577, 'security': 'public', 'placement': 1}]",,pub,2023-04-17 00:46:17,2023-04-17 00:46:17,491,ahmad.zakaria@eng.unila.ac.id,https://rekayasa.ft-sipil.unila.ac.id/index.php/rjits,Fakultas Teknik Universitas Lampung,10-24,https://doi.org/10.23960/rekrjits.v24i1.11,,24,1.0,"p-ISSN: 0852-7733, e-ISSN: 2715-0747","Rekayasa, Jurnal Ilmiah Fakultas Teknik Universitas Lampung",,"[1] Mulyana, E.: Hubungan antara enso dengan variasi curah hujan
di Indonesia. Jurnal Sains & Teknologi Modifikasi Cuaca, 3(1):1,
2000
[2] Soubeyran, R.: An overview of the roots of civil wars: natural
factors and economic conditions. G-MonD Policy Papers, 1
(January), 2013, 1–32
[3] Noya, V.H.P., Rumlawang, F.Y., Lesnussa, Y.A.: Aplikasi
transformasi fourier untuk menentukan periode curah hujan
(studi kasus: periode curah hujan di Kabupaten Seram Bagian
Barat, Provinsi Maluku), Jurnal Matematika Integratif 10(2),
2014, 85–94","Anomali iklim,
metode fast fourier transform,
metode lomb priodogram.",,,,,,,,,,,
32,,published,34521,,show,6,,"MITIGASI REAKSI ALKALI SILIKA (ASR) DENGAN MENGGUNAKAN ABU TERBANG (FA), SILICA FUME (SF), DAN BUBUK PERLITE DIPERLUAS (BP)",,"Reduction of ASR by FA, ​​SF, BP, evaluated using concrete prisms and mortar bars. Concrete prisms were casted in accordance with RILEM AAR-3, while mortar bars were made according to JIS A 1146. Both specimens were stored in the control room 40oC 100% R.H. Mixture of concrete and mortar using aggregate in pessimum proportions. The test results show that the effectiveness of FA at the level of 25%, SF10%, and BP10% can reduce expansion. Concrete pore size distribution with FA, SF, and BP looks better than control concrete. UPV results using FA25 and SF10 tend to be higher compared to other mixtures.",['TA'],2021-10-13 10:13:05,archive,1970-01-01 00:00:00.000002020,disk0/00/03/45/21,"[{'name': {'given': 'mohd', 'honourific': None, 'family': 'Isneini', 'lineage': None}, 'id': 'isneini.m@gmail.com'}]",['FT4'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/34521,"[{'security': 'public', 'placement': 1, 'eprintid': 34521, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 529118, 'datasetid': 'document', 'filename': 'mitigasi reaksi alkali silika dengan  rticle Text-696-1-10-20200504.pdf', 'hash': '5202e588135bee454ab81a0602aa253f', 'mtime': '2021-10-13 03:13:12', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 406003, 'uri': 'http://repository.lppm.unila.ac.id/id/file/406003', 'objectid': 155045}], 'main': 'mitigasi reaksi alkali silika dengan  rticle Text-696-1-10-20200504.pdf', 'docid': 155045, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155045', 'format': 'text', 'pos': 1}]",,pub,2021-10-13 10:13:05,2021-10-13 10:13:05,648,,https://jurnal.balitbangda.lampungprov.go.id/index.php/jip/article/view/152,Balitbangnovda,65-72,,"[{'type': 'pub', 'url': 'https://jurnal.balitbangda.lampungprov.go.id/index.php/jip/article/view/152'}]",8,1.0,2354-5704,Jurnal Kelitbangan Provinsi,,,,,,,['unila'],,,,,,,
33,,published,34520,,show,6,,Analisis numerik perilaku lentur balok yang diperkuat dengan GFRP dan wiremesh,,"Penelitian ini menggunakan tiga jenis balok yaitu balok tanpa perkuatan (B1), balok dengan perkuatan kombinasi GFRP dan Wiremesh (B2) dan balok dengan perkuatan Wiremesh saja (B3) dengan analisis numerik elemen hingga. Dalam memodelkan beton dan GFRP dideskripsikan sebagai elemen solid, kemudian untuk model tulangan dan wiremesh sebagai elemen truss dan model epoksi sebagai elemen cohesive. Interaksi yang diberikan pada hubungan antara tulangan dan beton serta hubungan antara epoksi dan wiremesh menggunakan teknik interaksi embedded region kemudia pada hubungan lapisan perkuatan dan lapisan epoksi menggunakan teknik interaksi tie constraint. Berdasarkan input beban maksimum hasil eksperimental, perbedaan persentase regangan pada model balok B1 sebesar 2% antara model numerik dan eksperimental, pada balok B2 adalah sebesar 30% dan pada balok B3 adalah sebesar 30%.",['TA'],2021-10-13 10:13:03,archive,1970-01-01 00:00:00.000002020,disk0/00/03/45/20,"[{'id': 'isneini.m@gmail.com', 'name': {'given': 'mohd', 'lineage': None, 'honourific': None, 'family': 'Isneini'}}, {'name': {'honourific': None, 'family': 'ALAMI', 'lineage': None, 'given': 'FIKRI'}, 'id': 'fikri.alami@eng.unila.ac.id'}, {'id': None, 'name': {'given': 'Nadya', 'lineage': None, 'honourific': None, 'family': 'agustina'}}]",['FT4'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/34520,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155044', 'format': 'text', 'pos': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2021-10-13 03:03:22', 'filename': 'Analisis numerik perilaku lentur balok yg diperkuat dgn gfrp dan wire 4-Article Text-149-1-10-20210729.pdf', 'hash': '695170017115bcd9779041afd71491eb', 'fileid': 405997, 'mime_type': 'application/pdf', 'filesize': 1259994, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/405997', 'objectid': 155044}], 'main': 'Analisis numerik perilaku lentur balok yg diperkuat dgn gfrp dan wire 4-Article Text-149-1-10-20210729.pdf', 'docid': 155044, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 34520}]",,pub,2021-10-13 10:13:03,2021-10-13 10:13:03,648,,https://rekayasa.ft-sipil.unila.ac.id/index.php/rjits/article/view/4,FT Unila,41-45,,[{'url': 'https://rekayasa.ft-sipil.unila.ac.id/index.php/rjits/article/view/4'}],24,2.0,8527733,Jurnal Rekayasa,,,,,,,"['unila', 'unila', 'unila']",,,,,,,
34,,published,34522,,show,6,,Studi numerik pada balok beton bertulang dengan perkuatan hybrid menggunakan glass fiber reinforced polymer (GFRP) dan wiremesh,,"Dalam pengujian eksperimental yang telah dilakukan, balok beton bertulang yang diberi perkuatan secara hybrid menggunakan GFRP dan wiremesh dengan kombinasi GFRP+wiremesh+wiremesh+GFRP (GWWG) dapat meningkatkan kapasitas beban maksimum yang dapat ditahan hingga mencapai 135%. Selanjutnya dilakukan pengujian menggunakan software berbasis elemen hingga untuk melihat hasil berdasarkan kedua cara tersebut. Dimensi balok yang dimodelkan berukuran panjang 1,7 m, lebar 15 cm dan tinggi 15 cm. Tebal GFRP yang digunakan adalah 1,33 mm/lapis sedangkan wiremesh adalah tipe kawat jala yang dilas berbentuk segi empat dengan diameter kawat sebesar 0,55 mm dan lebar bukaan 7 mm x 7 mm. Dengan mengandalkan geometri dan pembebanan yang simetris, balok hanya dimodelkan seperempat bagiannya saja. Persentase selisih hasil antara pemodelan dan eksperimental yang ditinjau di tengah bentang pada balok normal (BN) adalah 2,94% untuk lendutan, 17,30% untuk regangan serat atas dan 3,00% untuk regangan serat samping. Pola retak yang terjadi pada balok BN dalam pemodelan dan eksperimental menghasilkan pola retak yang sama yaitu retak lentur. Persentase selisih hasil antara pemodelan dan eksperimental yang ditijau di tengah bentang pada balok GWWG adalah 30,60% untuk lendutan, 17,42% untuk regangan serat atas dan 8,26% untuk regangan serat samping. Perkuatan yang diaplikasikan pada balok mengalami debonding sebelum regangan tekan beton mencapai regangan ultimitnya. Hal ini terjadi baik dalam pemodelan maupun eksperimental.",['TA'],2021-10-13 10:13:07,archive,1970-01-01 00:00:00.000002020,disk0/00/03/45/22,"[{'id': 'isneini.m@gmail.com', 'name': {'family': 'Isneini', 'honourific': None, 'lineage': None, 'given': 'mohd'}}, {'name': {'honourific': None, 'family': 'ALAMI', 'lineage': None, 'given': 'FIKRI'}, 'id': 'fikri.alami@eng.unila.ac.id'}, {'id': None, 'name': {'given': 'Ridho', 'family': 'surahman', 'honourific': None, 'lineage': None}}]",['FT4'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/34522,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 34522, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155046', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 155046, 'uri': 'http://repository.lppm.unila.ac.id/id/file/406009', 'datasetid': 'document', 'filesize': 1359819, 'mime_type': 'application/pdf', 'fileid': 406009, 'filename': 'studi numerik pd balok beton 3-Article Text-98-2-10-20210123.pdf', 'hash': 'd8d4b54eb8a87d2aa9eff2fd1e3a34c5', 'mtime': '2021-10-13 03:31:22', 'hash_type': 'MD5'}], 'docid': 155046, 'main': 'studi numerik pd balok beton 3-Article Text-98-2-10-20210123.pdf'}]",,pub,2021-10-13 10:13:07,2021-10-13 10:13:07,648,,https://rekayasa.ft-sipil.unila.ac.id/index.php/rjits/article/view/3,FT Unila,15-21,,[{'url': 'https://rekayasa.ft-sipil.unila.ac.id/index.php/rjits/article/view/3'}],24,1.0,8527733,Jurnal Rekayasa,,,,,,,"['unila', 'unila', 'unila']",,,,,,,
