,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,eprintid,ispublished,publisher,documents,uri,full_text_status,refereed,lastmod,userid,pagerange,datestamp,publication,creators,issn,dir,date,type,divisions,abstract,book_title,pages,event_title,event_type,pres_type,id_number,patent_applicant,date_type
10,Financial Services Authority Supervision To Non-Bank Financial Institutions Based On Sharia Cooperatives,6,show,2021-03-31 02:14:39,archive,['K1'],28714,pub,Psychology And Education,"[{'docid': 42768, 'main': 'FINANCIAL_SERVICES.pdf', 'files': [{'filesize': 2840237, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-03-30 09:10:29', 'filename': 'FINANCIAL_SERVICES.pdf', 'hash': 'd344d92dec33e81adb6b8b96f2c9241c', 'fileid': 254742, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/254742', 'objectid': 42768}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42768', 'eprintid': 28714, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/28714,public,FALSE,2021-03-31 02:14:39,955,2370-2377,2021-03-31 02:14:39,Psychology And Education,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,disk0/00/02/87/14,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil check Similarity,,,,,,,,
11,Financial Services Authority Supervision To Non-Bank Financial Institutions Based On Sharia Cooperatives,6,show,2021-04-06 06:35:24,archive,['K1'],28877,pub,Psychology And Education,"[{'eprintid': 28877, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Financial Services.pdf', 'docid': 42970, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/256249', 'objectid': 42970, 'hash': '3fe73dd0b70bb61d43a15c4be1a467fd', 'filename': 'Financial Services.pdf', 'mtime': '2021-04-06 02:43:18', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 256249, 'filesize': 577014, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42970', 'rev_number': 1}]",http://repository.lppm.unila.ac.id/id/eprint/28877,public,FALSE,2021-04-06 06:35:24,955,,2021-04-06 06:35:24,Psychology And Education,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,disk0/00/02/88/77,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,
12,Financial benefits of the environmentally friendly aquaponic media system,6,show,2021-09-22 09:37:22,archive,['K1'],34095,pub,ULICoSTE 2020,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154550', 'pos': 1, 'format': 'text', 'files': [{'filename': 'Similaritas_P7_Financial_benefits_of_the_environmenta.pdf', 'hash': '0c6a87ae7937eb077e3c303a46c58bc2', 'mtime': '2021-09-22 09:27:01', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 402421, 'filesize': 2057674, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/402421', 'objectid': 154550}], 'main': 'Similaritas_P7_Financial_benefits_of_the_environmenta.pdf', 'docid': 154550, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 34095}]",http://repository.lppm.unila.ac.id/id/eprint/34095,public,FALSE,2021-09-22 09:37:22,347,,2021-09-22 09:37:22,IOP Conference Series. Earth and Environmental Science; Bristol,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rudy.1981@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",,disk0/00/03/40/95,2021-04-01 00:00:00.000000000,article,['FH1'],Hasil Check Similarity,,,,,,,,
13,Fostering Entrepreneurial Ecosystem Within Rural Enterpreneurship,6,show,2021-04-16 03:46:23,archive,['K1'],29365,pub,BUSINESS,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 29365, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43497', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/260217', 'objectid': 43497, 'filesize': 324699, 'datasetid': 'document', 'mtime': '2021-04-16 01:41:24', 'hash_type': 'MD5', 'hash': 'bee83195dfc95a352308e1d0b1247911', 'filename': 'Fostering.pdf', 'fileid': 260217, 'mime_type': 'application/pdf'}], 'docid': 43497, 'main': 'Fostering.pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/29365,public,FALSE,2021-04-16 03:46:23,276,,2021-04-16 03:46:23,International journal of Entrepreneurship,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,disk0/00/02/93/65,1970-01-01 00:00:00.000002021,article,['FH1'],Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,
14,Fostering Entrepreneurial Ecosystem Within Rural Enterpreneurship,6,show,2022-02-15 02:24:29,archive,['K1'],39244,pub,Business,"[{'files': [{'objectid': 160529, 'uri': 'http://repository.lppm.unila.ac.id/id/file/441960', 'datasetid': 'document', 'filesize': 402029, 'fileid': 441960, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-15 01:48:54', 'filename': 'Reviewer Fostering.pdf', 'hash': '8ecd93080808172ae0be10347dfffd2c'}], 'main': 'Reviewer Fostering.pdf', 'docid': 160529, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160529', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39244, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/39244,public,FALSE,2022-02-15 02:24:29,276,,2022-02-15 02:24:29,International journal of Entrepreneurship,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",,disk0/00/03/92/44,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,,,,,,,,
15,Hukum Dan Demokrasi Dalam Ragam Perspektif,7,show,2022-02-23 07:25:51,archive,['K1'],39766,pub,PUSAKA MEDIA Anggota IKAPI No. 008/LPU/2020,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39766, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161042', 'docid': 161042, 'main': 'HUKUM.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/445920', 'objectid': 161042, 'mtime': '2022-02-23 04:06:29', 'hash_type': 'MD5', 'hash': '81556e677777798698553da19ea34523', 'filename': 'HUKUM.pdf', 'fileid': 445920, 'mime_type': 'application/pdf', 'filesize': 578566, 'datasetid': 'document'}]}]",http://repository.lppm.unila.ac.id/id/eprint/39766,public,FALSE,2022-02-23 07:25:51,1065,,2022-02-23 07:25:51,,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,disk0/00/03/97/66,1970-01-01 00:00:00.000002021,book_section,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,Hukum Dan Demokrasi Dalam Ragam Perspektif,,,,,,,
16,The Idea Of Youth Detention Center: Education Program And Policy,6,show,2021-04-16 03:46:26,archive,['K1'],29366,pub,USB,"[{'placement': 1, 'security': 'public', 'eprintid': 29366, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 43498, 'uri': 'http://repository.lppm.unila.ac.id/id/file/260223', 'datasetid': 'document', 'filesize': 326291, 'mime_type': 'application/pdf', 'fileid': 260223, 'filename': 'The Idea Of.pdf', 'hash': 'e7a76695faf8091eca25cb2716332a9a', 'hash_type': 'MD5', 'mtime': '2021-04-16 01:43:27'}], 'docid': 43498, 'main': 'The Idea Of.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43498', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/29366,public,FALSE,2021-04-16 03:46:26,276,,2021-04-16 03:46:26,"Journal of Legal, Ethical and Regulatory Issues","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,disk0/00/02/93/66,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,
17,The Idea Of Youth Detention Center: Education Program And Policy,6,show,2021-04-17 05:20:58,archive,['K1'],29417,pub,USB,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43548', 'main': 'Similarity The_idea_of_youth_detention_center_1544_0044_24_1_Q2 Journal Legal Ethics.pdf', 'docid': 43548, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/260601', 'objectid': 43548, 'hash_type': 'MD5', 'mtime': '2021-04-16 06:56:52', 'filename': 'Similarity The_idea_of_youth_detention_center_1544_0044_24_1_Q2 Journal Legal Ethics.pdf', 'hash': '59c79bca7269bd933c46c0800993348a', 'fileid': 260601, 'mime_type': 'application/pdf', 'filesize': 3439857, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29417, 'placement': 1, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/29417,public,FALSE,2021-04-17 05:20:58,276,,2021-04-17 05:20:58,"Journal of Legal, Ethical and Regulatory Issues","[{'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,disk0/00/02/94/17,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,
18,The Idea Of Youth Detention Center: Education Program And Policy,6,show,2022-02-15 02:24:26,archive,['K1'],39243,pub,"USB,","[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 39243, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160528', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 417230, 'datasetid': 'document', 'filename': 'Reviewer The Idea.pdf', 'hash': 'bdf4bc96ab3fe5caf30906ed1ad3ee82', 'hash_type': 'MD5', 'mtime': '2022-02-15 01:46:42', 'mime_type': 'application/pdf', 'fileid': 441954, 'uri': 'http://repository.lppm.unila.ac.id/id/file/441954', 'objectid': 160528}], 'main': 'Reviewer The Idea.pdf', 'docid': 160528}]",http://repository.lppm.unila.ac.id/id/eprint/39243,public,FALSE,2022-02-15 02:24:26,276,,2022-02-15 02:24:26,"Journal of Legal, Ethical and Regulatory Issues","[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,disk0/00/03/92/43,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,,,,,,,,
19,Implementation Of Double Track System In The Juvenile-Crime Jurisdiction Process,6,show,2021-08-01 13:37:22,archive,['K1'],33274,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">abacademies</font></font>","[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 33274, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/152072', 'rev_number': 1, 'main': 'Implementation of double track system-1544-0044-24-7-760.pdf', 'docid': 152072, 'files': [{'objectid': 152072, 'uri': 'http://repository.lppm.unila.ac.id/id/file/394320', 'datasetid': 'document', 'filesize': 317086, 'mime_type': 'application/pdf', 'fileid': 394320, 'hash': '38fa61729b435a321959116eb171ffa8', 'filename': 'Implementation of double track system-1544-0044-24-7-760.pdf', 'mtime': '2021-07-30 03:01:31', 'hash_type': 'MD5'}]}]",http://repository.lppm.unila.ac.id/id/eprint/33274,public,FALSE,2021-08-01 13:37:23,873,,2021-08-01 13:37:22,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">jurnal masalah hukum, etika dan peraturan</font></font>","[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">erna.dewi@fh.unila.ac.id</font></font>', 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">1544-0044</font></font>",disk0/00/03/32/74,1970-01-01 00:00:00.000002021,article,['FH1'],,,,,,,,,
