,subjects,status_changed,eprint_status,rev_number,metadata_visibility,title,eprintid,datestamp,userid,lastmod,uri,full_text_status,ispublished,documents,divisions,type,date,dir,creators,refereed,publication,date_type,id_number,patent_applicant,abstract,publisher,issn,number,related_url,volume,official_url,pres_type,event_type,event_title,book_title,pagerange,corp_creators
10,['K1'],2022-10-03 01:37:23,archive,7,show,Pemateri dalam Kegiatan Sosialisasi Hukum UU ITE No. 11 Tahun 2008,45421,2022-10-03 01:37:23,276,2022-10-03 01:37:23,http://repository.lppm.unila.ac.id/id/eprint/45421,public,submitted,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45421, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167413', 'rev_number': 1, 'main': 'Sosialisasi Etika Media Sosial.pdf', 'docid': 167413, 'files': [{'datasetid': 'document', 'filesize': 218327, 'mime_type': 'application/pdf', 'fileid': 487897, 'filename': 'Sosialisasi Etika Media Sosial.pdf', 'hash': '2b3fb94b471f2bcea1f8ce3310e80641', 'hash_type': 'MD5', 'mtime': '2022-10-03 00:17:49', 'objectid': 167413, 'uri': 'http://repository.lppm.unila.ac.id/id/file/487897'}]}]",['FH1'],image,1970-01-01 00:00:00.000002022,disk0/00/04/54/21,"[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'lineage': None, 'honourific': None, 'family': 'Bayu sujadmiko'}}]",,,,,,,,,,,,,,,,,,
11,['K1'],2022-10-03 01:37:19,archive,8,show,"Pemateri dalam Kegiatan Webinar Bidang Internasional UKM-F PSBH UNILA dengan tema ""Konflik Rusia-Ukraina dalam Perspektif Hukum Internasional""",45420,2022-10-03 01:37:19,276,2022-10-03 01:37:19,http://repository.lppm.unila.ac.id/id/eprint/45420,public,submitted,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/167412', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/487890', 'objectid': 167412, 'filesize': 2121109, 'datasetid': 'document', 'filename': 'Rusia Ukraine.pdf', 'hash': '8fa22d3ff2307a6d2ade7ed9a9414d8f', 'hash_type': 'MD5', 'mtime': '2022-10-03 00:16:07', 'mime_type': 'application/pdf', 'fileid': 487890}], 'docid': 167412, 'main': 'Rusia Ukraine.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 45420}]",['FH1'],image,1970-01-01 00:00:00.000002022,disk0/00/04/54/20,"[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'lineage': None, 'honourific': None, 'family': 'Bayu sujadmiko'}}]",,,,,,,,,,,,,,,,,,
12,['K1'],2022-11-16 09:17:45,archive,7,show,SK DOSEN/ASISTEN MENGAJAR SMTR GANJIL FH UNILA,46685,2022-11-16 09:17:45,276,2022-11-16 09:17:45,http://repository.lppm.unila.ac.id/id/eprint/46685,public,submitted,"[{'security': 'public', 'placement': 1, 'eprintid': 46685, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 185594, 'uri': 'http://repository.lppm.unila.ac.id/id/file/514331', 'fileid': 514331, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-16 06:38:03', 'filename': 'SK NO 4943 NGAJAR GANJIL 2022 2023.pdf', 'hash': '6e8d8a86afb5ff0a364705d3364b9b6d', 'datasetid': 'document', 'filesize': 601826}], 'main': 'SK NO 4943 NGAJAR GANJIL 2022 2023.pdf', 'docid': 185594, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185594', 'format': 'text', 'pos': 1}]",['FH1'],image,1970-01-01 00:00:00.000002022,disk0/00/04/66/85,"[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'lineage': None, 'honourific': None, 'family': 'Bayu sujadmiko'}}]",,,,,,,,,,,,,,,,,,
13,['K1'],2022-06-07 01:44:08,archive,6,show,Tourism and Ethnodevelopment: Female Contribution in Rural Community-Based Agritourism,42143,2022-06-07 01:44:08,276,2022-06-07 01:44:08,http://repository.lppm.unila.ac.id/id/eprint/42143,public,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163844', 'pos': 1, 'format': 'text', 'files': [{'filename': 'Ethno Development.pdf', 'hash': '7a553f012b1c6ffcb83eaf7b18b30033', 'mtime': '2022-06-07 01:36:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 464431, 'filesize': 2510402, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/464431', 'objectid': 163844}], 'main': 'Ethno Development.pdf', 'docid': 163844, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 42143}]",['FH1'],article,2022-06-01 00:00:00.000000000,disk0/00/04/21/43,"[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'lineage': None, 'family': 'Bayu sujadmiko', 'honourific': None}}]",FALSE,International Journal of Sustainable Development and Planning,,,,Hasil Check Similarity,IIETA,,,,,,,,,,,
14,['K1'],2022-06-20 06:34:45,archive,6,show,Tourism and Ethnodevelopment: Female Contribution in Rural Community-Based Agritourism,42638,2022-06-20 06:34:45,276,2022-06-20 06:34:45,http://repository.lppm.unila.ac.id/id/eprint/42638,public,pub,"[{'files': [{'datasetid': 'document', 'filesize': 349610, 'mime_type': 'application/pdf', 'fileid': 467876, 'filename': 'Review Tourism.pdf', 'hash': '69494ee8f40f48d61c8e4ca50010429b', 'mtime': '2022-06-20 03:48:21', 'hash_type': 'MD5', 'objectid': 164348, 'uri': 'http://repository.lppm.unila.ac.id/id/file/467876'}], 'docid': 164348, 'main': 'Review Tourism.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164348', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 42638, 'language': 'en', 'mime_type': 'application/pdf'}]",['FH1'],article,1970-01-01 00:00:00.000002022,disk0/00/04/26/38,"[{'name': {'honourific': None, 'family': 'Bayu sujadmiko', 'lineage': None, 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",FALSE,International Journal of Sustainable Development and Planning,,,,Hasil Penilaian Sejawat Sebidang atau Peer Review,IIETA,,,,,,,,,,,
15,['K1'],2022-12-08 03:44:10,archive,6,show,RUWA JURAI MODEL: THE INDONESIAN COASTAL VILLAGE LEGAL DESIGN,47158,2022-12-08 03:44:10,561,2022-12-08 03:44:10,http://repository.lppm.unila.ac.id/id/eprint/47158,public,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186119', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 1053742, 'mime_type': 'application/pdf', 'fileid': 517948, 'hash': 'f8d9d04234394fa77047505e2d5d53da', 'filename': 'RUWA JURAI MODEL_ THE INDONESIAN COASTAL VILLAGE LEGAL DESIGN.pdf', 'mtime': '2022-12-08 03:11:09', 'hash_type': 'MD5', 'objectid': 186119, 'uri': 'http://repository.lppm.unila.ac.id/id/file/517948'}], 'docid': 186119, 'main': 'RUWA JURAI MODEL_ THE INDONESIAN COASTAL VILLAGE LEGAL DESIGN.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 47158}]",['FH1'],article,1970-01-01 00:00:00.000002022,disk0/00/04/71/58,"[{'name': {'family': 'Budiyono', 'honourific': None, 'lineage': None, 'given': 'Budiyono'}}, {'name': {'given': 'Muhtadi', 'family': 'Muhtadi', 'honourific': None, 'lineage': None}}]",FALSE,"Progressive Law Review,",,,,Hasil Check Similarity,University of Bandar Lampung,,,,,,,,,,,
16,['K1'],2023-05-29 01:32:53,archive,6,show,"FUNCTIONAL DIFFERENTIATION IN CRIMINAL CODE: THE ROLE OF PROSECUTORS AS CASE 
CONTROLLERS IN INDONESIAN LAW",52037,2023-05-29 01:32:53,807,2023-05-29 01:32:53,http://repository.lppm.unila.ac.id/id/eprint/52037,public,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251763', 'docid': 251763, 'main': '10._Jurnal_Internasional[1]-IJAR.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/616534', 'objectid': 251763, 'hash': 'e9051bb85030f2b11499cbc4527934d3', 'filename': '10._Jurnal_Internasional[1]-IJAR.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-28 02:05:02', 'mime_type': 'application/pdf', 'fileid': 616534, 'filesize': 220385, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 52037, 'placement': 1, 'security': 'public'}]",['FH1'],article,2022-10-01 00:00:00.000000000,disk0_bak/00/05/20/37,"[{'id': None, 'name': {'honourific': None, 'family': 'Didik Kurniawan', 'lineage': None, 'given': 'Didik Kurniawan'}}, {'name': {'family': 'Maroni', 'honourific': None, 'lineage': None, 'given': 'Maroni'}, 'id': 'maroniunila@gmail.com'}, {'name': {'given': 'Heni Siswanto', 'lineage': None, 'honourific': None, 'family': 'Heni Siswanto'}, 'id': 'siswanto_heni@gmail.com2'}, {'id': 's.nymus@yahoo.co.id', 'name': {'lineage': None, 'family': 'HS Tisnanta', 'honourific': None, 'given': 'Tisnanta'}}]",TRUE,International Journal of Advanced Research (IJAR),published,,,"The principle of functional differentiation adopted by the Criminal 
Procedure Code can potentially cause significant problems in the 
future, especially for the Prosecutor's office, which will cause many 
free verdicts due to the loss of ammunition of evidence presented by 
the Public Prosecutor. By using normative and empirical legal research 
methods (combined), normative legal research is carried out using a 
statute approach, a historical approach, and a comparative approach. 
This paper will discuss the position of the Prosecutor's Office as a 
dominus litis in the Criminal Procedure Code if combined with an 
integrated criminal justice system that contains the principle of 
functional differentiation. The position of the Prosecutor's Office as the 
controller of the case (dominus litis) after the enactment of the Criminal 
Procedure Code cannot be fully applied in the investigation process. 
Because they cannot be directly involved in the investigation, as in the 
validity period of the HIR, it is necessary to build more open 
communication from the beginning of the investigation. It will be 
perfect if it is built continuously by eliminating the sectoral egos of 
each institution.

Keywords:-
Functional Differentiation, Criminal 
Code, Role Of Prosecutors, Case 
Controllers",IJAR,2320-5407,10.0,[{'url': 'http://dx.doi.org/10.21474/IJAR01/15598'}],10.0,,,,,,,
17,['K1'],2022-12-12 01:55:40,archive,6,show,"Role of Law Enforcement to prevent Cyber laundering
and Asset Recovery from Overseas",47185,2022-12-12 01:55:40,836,2022-12-12 01:55:40,http://repository.lppm.unila.ac.id/id/eprint/47185,public,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186163', 'main': 'Role of Law Enforcement to prevent Cyber laundering and Asset Recovery from Overseas.pdf', 'docid': 186163, 'files': [{'objectid': 186163, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518198', 'datasetid': 'document', 'filesize': 3534541, 'mime_type': 'application/pdf', 'fileid': 518198, 'filename': 'Role of Law Enforcement to prevent Cyber laundering and Asset Recovery from Overseas.pdf', 'hash': '6dd2d5c3d053a067b8cd23fa6f3c8e03', 'mtime': '2022-12-12 01:41:27', 'hash_type': 'MD5'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 47185, 'placement': 1, 'security': 'public'}]",['FH1'],article,1970-01-01 00:00:00.000002022,disk0/00/04/71/85,"[{'name': {'given': 'Rifai', 'honourific': None, 'family': 'Eddy', 'lineage': None}}]",TRUE,International Journal of Cyber Criminology,,,,Hasil Check Similarity,IJCC,,,,,,,,,,,
18,['K1'],2022-12-12 01:55:44,archive,6,show,"Role of Law Enforcement to prevent Cyber laundering
and Asset Recovery from Overseas",47186,2022-12-12 01:55:44,836,2022-12-12 01:55:44,http://repository.lppm.unila.ac.id/id/eprint/47186,public,pub,"[{'eprintid': 47186, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Role of Law.pdf', 'docid': 186164, 'files': [{'mime_type': 'application/pdf', 'fileid': 518204, 'hash': '6dd2d5c3d053a067b8cd23fa6f3c8e03', 'filename': 'Role of Law.pdf', 'mtime': '2022-12-12 01:45:59', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 3534541, 'objectid': 186164, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518204'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186164'}]",['FH1'],article,1970-01-01 00:00:00.000002022,disk0/00/04/71/86,"[{'name': {'given': 'Rifai', 'lineage': None, 'honourific': None, 'family': 'Eddy'}}]",TRUE,International Journal of Cyber Criminology,,,,Hasil Check Similarity,IJCC,,,,,,,,,,,
19,['K1'],2023-04-13 03:41:12,archive,6,show,"ANALISIS PEMIDANAAN TERHADAP PELAKU
TINDAK PIDANA PENJUALAN BARANG KENA CUKAI
(Studi Penentuan Jenis dan Besaran Sanksi Pidana atas Dasar
Modified Delphi Method (Group Decision Making)",50466,2023-04-13 03:41:12,18897,2023-04-13 03:41:12,http://repository.lppm.unila.ac.id/id/eprint/50466,public,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190171', 'rev_number': 1, 'docid': 190171, 'main': '12071.pdf', 'files': [{'filename': '12071.pdf', 'hash': '60901231c263bfeb87de913dd3f31798', 'hash_type': 'MD5', 'mtime': '2023-04-13 03:24:49', 'mime_type': 'application/pdf', 'fileid': 544510, 'filesize': 1723879, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/544510', 'objectid': 190171}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 50466, 'placement': 1, 'security': 'public'}]",['FH1'],article,1970-01-01 00:00:00.000002022,disk0_bak/00/05/04/66,"[{'name': {'given': 'Heni Siswanto', 'lineage': None, 'family': 'Heni Siswanto', 'honourific': None}, 'id': 'siswanto_heni@gmail.com2'}]",TRUE,https://pak.unila.ac.id/dosen/file_penelitian/12071,published,,,,,,,,,,,,,,,
