,type,divisions,creators,dir,userid,lastmod,datestamp,ispublished,documents,publisher,uri,full_text_status,eprintid,eprint_status,status_changed,subjects,title,rev_number,metadata_visibility,refereed,issn,publication,official_url,abstract,date_type,succeeds,contributors,volume,pagerange,number,related_url,corp_creators,event_type,event_title,pres_type,projects,funders
10,conference_item,['FP17'],"[{'id': 'sumadi.1953@fkip.unila.ac.id', 'name': {'family': 'Sumadi', 'honourific': None, 'lineage': None, 'given': 'Sumadi'}}, {'name': {'family': 'hasyim', 'honourific': None, 'lineage': None, 'given': 'mulyadi'}, 'id': None}, {'name': {'given': 'Sulastri', 'family': 'Sulastri', 'honourific': None, 'lineage': None}, 'id': None}]",disk0/00/01/17/98,927,2019-05-09 03:07:30,2019-05-09 03:07:30,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 11798, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24786', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/106253', 'objectid': 24786, 'mtime': '2019-05-06 07:49:35', 'hash_type': 'MD5', 'filename': 'DISTRIBUSI POPULASI SAPI DI  CIAMIS_SUMADI DAN HASYIM.pdf', 'hash': '4897f671ed40896c3c54ea20a9fbd067', 'fileid': 106253, 'mime_type': 'application/pdf', 'filesize': 57586, 'datasetid': 'document'}], 'docid': 24786, 'main': 'DISTRIBUSI POPULASI SAPI DI  CIAMIS_SUMADI DAN HASYIM.pdf'}]",,http://repository.lppm.unila.ac.id/id/eprint/11798,public,11798,archive,2019-05-09 03:07:30,['SF'],"DISTRIBUSI POPULASI DAN ESTIMASI OUTPUT BERBAGAI BANGSA SAPI
POTONG DI  KABUPATEN CIAMIS DAN TASIKMALAYA  
PROVINSI  JAWA BARAT",7,show,TRUE,,,,"Abstrak
Penelitian dilakukan dengan tujuan mempelajari distribusi  populasi berbagai bangsa sapi 
potong dan menduga besarnya output atau banyaknya sapi yang dapat dikeluarkan dari
satu wilayah  tanpa mengganggu populasi.  Metode sensus digunakan dalam penelitian
ini dengan lokasi penelitian di Kecamatan Parigi, Kabupaten Ciamis,  dan Kecamatan
Cibalong, Kabupaten Tasikmalaya, Provinsi Jawa Barat.  Waktu penelitian mulai 1
Januari sampai dengan 31 Maret 2009.  Sensus dilakukan terhadap 2.774 orang
responden yang seluruhnya merupakan peternak sapi. Peubah yang diamati meliputi
jumlah sapi, bangsa sapi, umur sapi, jenis kelamin sapi, manajemen pemeliharaan,
jumlah kelahiran, dan jumlah kematian  Pola pemuliabiakan sapi potong digunakan
untuk mengestimasi kebutuhan ternak pengganti dan komposisi ternak. Natural Increase 
(NI) dihitung berdasarkan selisih jumlah kelahiran dan kematian sapi per tahun.  Output
sapi diperoleh dengan cara mengurangi besarnya nilai NI dengan kebutuhan ternak
pengganti.  Hasil penelitian menunjukkan bahwa di lokasi pengamatan terdapat empat
bangsa sapi dengan distribusi populasi sebagai berikut:  1.064 ekor sapi Pernakan Ongole
(PO ) yang terdiri dari 59,92 % sapi dewasa, 25,15 % sapi muda, 14,92 % pedet, 1.744
ekor sapi   Simpo yang terdiri dari 58,46 % sapi dewasa, 23,58 % sapi muda, 17,94 %
pedet,   1.507 ekor sapi Limpo yang terdiri dari  53,58 % sapi dewasa, 23,34 % sapi
muda, 23,03 % pedet,  dan 603 ekor sapi Madras yang terdiri dari 56,85 % sapi dewasa,
26,56 % sapi muda, 16,58 % pedet Pada kelompok sapi PO, Simpo, Limpo, dan Madras,
setiap responden rata-rata memiliki 1,92 ekor (1,15 UT), 2,89 ekor  (1,22 UT), 3,35 ekor
(1,29 UT), dan 1,98 ekor (1,33 UT). Nilai NI kelompok sapi  PO, Simpo, Limpo, dan
Madras masing-masing 21,98 %,  24,47 %,  35,22 %, dan  21,76 %.  Sisa kebutuhan sapi
pengganti untuk kelompok jantan  13,03 % dan betina  9,53 %.  Sapi tua dan afkir
sebanyak 5,21 %. Estimasi populasi berdasarkan data dari dinas terkait pada 2009 dan
2013 masing-masing 325.302 dan 408.697 ekor sapi dan berdasarkan data hasil sensus 
267.236 dan 335.909 ekor.    Estimasi  output sapi pada  2009 dan 2013 masing-masing 
16.948 dan 21.304 ekor. Data populasi sapi berdasarkan informasi dari dinas terkait lebih
tinggi  17,85 % daripada data hasil sensus.  Disimpulkan bahwa Kabupaten Ciamis dan
Tasikmalaya, Provinsi Jawa Barat masih layak dinyatakan sebagai sumber bibit dan
bakalan sapi potong. 
Kata kunci: Distribusi populasi,  Output , PO, Simpo, Limpo, dan Madras",,,,,,,,['Universitas Lampung'],conference,Seminar Nasional  Fakultas Peternakan Unpad “Pengembangan Sistem Produksi dan Pemanfaatan Sumberdaya Lokal  untuk Kemandirian Pangan Asal Ternak,paper,,
11,article,['FP17'],"[{'id': 'rudysutrisna65@yahoo.co.id', 'name': {'given': 'Rudy', 'lineage': None, 'honourific': None, 'family': 'Sutrisna'}}, {'name': {'family': 'Ekowati', 'honourific': None, 'lineage': None, 'given': 'Nugroho'}, 'id': None}, {'id': None, 'name': {'given': 'Hendra', 'honourific': None, 'family': 'Setyawan', 'lineage': None}}]",disk0/00/00/82/11,374,2018-06-29 04:10:47,2018-06-29 04:10:47,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 8211, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21242', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 269268, 'mime_type': 'application/pdf', 'fileid': 81624, 'filename': 'RUDY SUTRISNA, C.N. EKOWATI, HENDRA.pdf', 'hash': '440b082cf5c13cfd76f17928f5cb2bea', 'mtime': '2018-06-28 13:32:08', 'hash_type': 'MD5', 'objectid': 21242, 'uri': 'http://repository.lppm.unila.ac.id/id/file/81624'}], 'docid': 21242, 'main': 'RUDY SUTRISNA, C.N. EKOWATI, HENDRA.pdf'}]",,http://repository.lppm.unila.ac.id/id/eprint/8211,public,8211,archive,2018-06-29 04:10:47,['SF'],UJI VIABILITAS BAKTERI ASAM LAKTAT DARI USUS YANG DIPREPARASI DALAM RANSUM UNGGAS,6,show,TRUE,,Jurnal Ilmiah Peternakan Terpadu,,"Jurnal Ilmiah Peternakan Terpadu Vol. 5(3): 53-57, November 2017 Rudy Sutrisna et. al.
53
UJI VIABILITAS BAKTERI ASAM LAKTAT DARI USUS YANG DIPREPARASI DALAM RANSUM UNGGAS
The Viability Test of Lactic Acid Bacteria from Intestine in Preparation on Poultry Ration
Rudy Sutrisnaa, C. N. Ekowatib, Salman Farisib, dan Hendra Verry Setyawanb
aDepartment of Animal Husbandry, Faculty of Agriculture, Lampung University
Soemantri Brojonegoro No. 1, Gedong Meneng, Rajabasa, Bandar Lampung, Lampung Province
bDepartment of Animal Husbandry, State Polytechnic of Lampung
Soekarno Hatta No. 10, Bandar Lampung, Lampung Province
email: rudysutrisna65@yahoo.co.id
ABSTRACT
The aim of this study is to know the viability of Lactic Acid Bacteria isolates on ration and combination of ration with molasses. This study used a mixture of lactic acid bacteria isolates from the duck intestine (B4, B7, B8). The third bacterial isolates were inoculated on two different treatment media, on rantion media (R1), and combination of rantion + molasses (R2). The study was arranged by randomized block design (RAK) 6x2 factorial treatment pattern. Factor A is the incubation time of 0 hours, 2 hours, 4 hours, 6 hours, 8 hours and 10 hours. Factor B is two types of growing media of lactic acid bacteria, is ransum media, and combination of ransum + molasses. Each treatment was repeated 3 times. This research uses pour plate method with the calculation of the colony using colony counter. Data analyzed descriptively. The results showed that the addition of 1.6% molasses (R2) maintains the number of LAB population at 4th hour with the cell number 7,36 x 105 CFU / g. While on the ration medium (R1) can maintain the amount of LAB at 6th hour with the cell number of 6,20 x 105 CFU / g. LAB population viability on feed medium with addition of molases 1.6% (R2) has increased on storage time at 4th hour with cell number 7,36 x 105 CFU / g, while on feed medium (R1) decreased cell count 6,08 x 105 CFU / g.
Keywords: Viability, Lactic Acid Bacteria, Ransum, Molase.",published,,,5,53-57,3.0,,['Jurusan Peternakan Unila'],,,,['Penelitian Strategis Nasional Tahun Anggaran 2017-2018'],['DRPM']
12,other,['FP17'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Wanniatie', 'given': 'Veronica'}, 'id': 'veronica.wanniatie@fp.unila.ac.id'}]",disk0/00/04/64/95,128,2022-11-11 02:40:55,2022-11-11 02:40:55,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 46495, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 185369, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512871', 'fileid': 512871, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-11 01:55:26', 'hash': 'e7598dea03a23bc3c3aba3ff14d756cd', 'filename': 'wanniatie2022.ICTAFF_Similarity.pdf', 'datasetid': 'document', 'filesize': 414055}], 'main': 'wanniatie2022.ICTAFF_Similarity.pdf', 'docid': 185369, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185369', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Atlantis Press/Universitas Mulawarman,http://repository.lppm.unila.ac.id/id/eprint/46495,public,46495,archive,2022-11-11 02:40:55,['SF'],"Cek Similiarity_Cases of Subclinical Mastitis in Dairy Cattle, Microbiological Quality and Residues of Antibiotic Cow's Milk: A Case Study in Tanggamus District",7,show,,,,,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,
13,other,['FP17'],"[{'name': {'given': 'Veronica', 'lineage': None, 'family': 'Wanniatie', 'honourific': None}, 'id': 'veronica.wanniatie@fp.unila.ac.id'}]",disk0/00/04/64/98,128,2022-11-11 02:41:23,2022-11-11 02:41:23,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/185372', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 185372, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512892', 'datasetid': 'document', 'filesize': 593303, 'fileid': 512892, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-11 02:04:55', 'hash': '1aa71e5bc227cd1140b6bd5327d4e9c3', 'filename': 'wanniatie2019.VW_similirity.pdf'}], 'docid': 185372, 'main': 'wanniatie2019.VW_similirity.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 46498}]",Veterinary World,http://repository.lppm.unila.ac.id/id/eprint/46498,public,46498,archive,2022-11-11 02:41:23,['SF'],"Cek Similiarity_Chemical compositions, contaminants, and residues of organic and conventional goat milk in Bogor District, Indonesia",7,show,,,,,,,,,,,,,,,,,,
14,other,['FP17'],"[{'id': 'veronica.wanniatie@fp.unila.ac.id', 'name': {'given': 'Veronica', 'family': 'Wanniatie', 'honourific': None, 'lineage': None}}]",disk0/00/04/64/99,128,2022-11-11 02:41:28,2022-11-11 02:41:28,pub,"[{'main': 'wanniatie2019.AAVS_Similarity.pdf', 'docid': 185373, 'files': [{'objectid': 185373, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512899', 'datasetid': 'document', 'filesize': 518703, 'mime_type': 'application/pdf', 'fileid': 512899, 'hash': '002cf3c75cad6b76ca189300b76fa505', 'filename': 'wanniatie2019.AAVS_Similarity.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-11 02:08:30'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185373', 'rev_number': 1, 'eprintid': 46499, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Nexus Academic Publisher,http://repository.lppm.unila.ac.id/id/eprint/46499,public,46499,archive,2022-11-11 02:41:28,['SF'],"Cek Similiarity_Comparison of Microbiological Quality Between Organic and Conventional Goat Milk: A Study Case in Bogor, Indonesia",7,show,,,,,,,,,,,,,,,,,,
15,other,['FP17'],"[{'name': {'lineage': None, 'family': 'Wanniatie', 'honourific': None, 'given': 'Veronica'}, 'id': 'veronica.wanniatie@fp.unila.ac.id'}]",disk0/00/04/64/94,128,2022-11-11 02:40:47,2022-11-11 02:40:47,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 46494, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185368', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 312177, 'mime_type': 'application/pdf', 'fileid': 512863, 'hash': 'bfbc4dc45853affdae62ddc9ab501efc', 'filename': 'wiranti2022_Similarity.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-11 01:50:08', 'objectid': 185368, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512863'}], 'main': 'wiranti2022_Similarity.pdf', 'docid': 185368}]","JURUSAN PETERNAKAN, FAKULTAS PERTANIAN,  UNIVERSITAS LAMPUNG",http://repository.lppm.unila.ac.id/id/eprint/46494,public,46494,archive,2022-11-11 02:40:47,['SF'],Cek Similiarity_KUALITAS SUSU SAPI SEGAR PADA PEMERAHAN PAGI DAN SORE,8,show,,,,,,,,,,,,,,,,,,
16,other,['FP17'],"[{'name': {'given': 'Veronica', 'family': 'Wanniatie', 'honourific': None, 'lineage': None}, 'id': 'veronica.wanniatie@fp.unila.ac.id'}]",disk0/00/04/64/96,128,2022-11-11 02:41:07,2022-11-11 02:41:07,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/185370', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'fileid': 512878, 'mime_type': 'application/pdf', 'mtime': '2022-11-11 01:58:44', 'hash_type': 'MD5', 'filename': 'wanniatie2021.JIPTHP_Similarity.pdf', 'hash': '5d354ffc98ac29c4e7af20299e8e7ce5', 'datasetid': 'document', 'filesize': 459372, 'objectid': 185370, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512878'}], 'main': 'wanniatie2021.JIPTHP_Similarity.pdf', 'docid': 185370, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 46496}]",Fakultas Peternakan IPB University,http://repository.lppm.unila.ac.id/id/eprint/46496,public,46496,archive,2022-11-11 02:41:07,['SF'],Cek Similiarity_Kualitas Mikrobiologis Susu Kambing dengan Metode Pasteurisasi High Temperature Short Time (HTST) pada Penyimpanan Berbeda,7,show,,,,,,,,,,,,,,,,,,
17,other,['FP17'],"[{'name': {'given': 'Veronica', 'lineage': None, 'family': 'Wanniatie', 'honourific': None}, 'id': 'veronica.wanniatie@fp.unila.ac.id'}]",disk0/00/04/64/97,128,2022-11-11 02:41:15,2022-11-11 02:41:15,pub,"[{'docid': 185371, 'main': 'Ramadhani et.al.2020_Similarity.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/512885', 'objectid': 185371, 'filesize': 356134, 'datasetid': 'document', 'filename': 'Ramadhani et.al.2020_Similarity.pdf', 'hash': '0ba41423334217dd20e5d50bd41dad0e', 'mtime': '2022-11-11 02:02:08', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 512885}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185371', 'rev_number': 1, 'eprintid': 46497, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]","JURUSAN PETERNAKAN, FAKULTAS PERTANIAN,  UNIVERSITAS LAMPUNG",http://repository.lppm.unila.ac.id/id/eprint/46497,public,46497,archive,2022-11-11 02:41:15,['SF'],Cek Similiarity_PENGARUH KOMBINASI SARIPATI BUAH NANAS DAN PEPAYA TERHADAP KUALITAS FISIK DAGING ITIK PETELUR AFKIR,7,show,,,,,,,,,,,,,,,,,,
18,other,['FP17'],"[{'id': 'veronica.wanniatie@fp.unila.ac.id', 'name': {'given': 'Veronica', 'lineage': None, 'family': 'Wanniatie', 'honourific': None}}]",disk0/00/04/65/06,128,2022-11-11 09:39:06,2022-11-11 09:39:06,pub,"[{'eprintid': 46506, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Korespondensi_Veronica Wanniatie_AAVS 2019.pdf', 'docid': 185380, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/512955', 'objectid': 185380, 'filename': 'Korespondensi_Veronica Wanniatie_AAVS 2019.pdf', 'hash': 'e17a659361b5a7b495620d11c32384a4', 'mtime': '2022-11-11 03:42:52', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 512955, 'filesize': 2096217, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185380'}]",Nexus Academic Publisher,http://repository.lppm.unila.ac.id/id/eprint/46506,public,46506,archive,2022-11-11 09:39:06,['SF'],"Korespondensi AAVS_Comparison Of Microbiological Quality Between Organic And Conventional Goat Milk: A Study Case In Bogor, Indonesia",7,show,,,,,,,,,,,,,,,,,,
19,other,['FP17'],"[{'id': 'veronica.wanniatie@fp.unila.ac.id', 'name': {'given': 'Veronica', 'lineage': None, 'family': 'Wanniatie', 'honourific': None}}]",disk0/00/04/65/07,128,2022-11-11 09:39:09,2022-11-11 09:39:09,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185381', 'rev_number': 1, 'main': 'Korespondensi_Veronica Wanniatie_ICARE IOP 2022.pdf', 'docid': 185381, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/512962', 'objectid': 185381, 'mtime': '2022-11-11 03:45:51', 'hash_type': 'MD5', 'hash': '416dde9a3c0bd20c0e9b3348e9bc7ca8', 'filename': 'Korespondensi_Veronica Wanniatie_ICARE IOP 2022.pdf', 'fileid': 512962, 'mime_type': 'application/pdf', 'filesize': 2512034, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 46507, 'security': 'public', 'placement': 1}]",IOP Conf. Series: Earth and Environmental Science,http://repository.lppm.unila.ac.id/id/eprint/46507,public,46507,archive,2022-11-11 09:39:09,['SF'],Korespondensi ICARE IOP_Physicochemical And Microbiological Quality of Goat's Milk Yogurt With The Added of Red Ginger (Zingiber officinale var. Rubrum) Extract” has been accepted for Oral Presentation.,7,show,,,,,,,,,,,,,,,,,,
20,other,['FP17'],"[{'id': 'veronica.wanniatie@fp.unila.ac.id', 'name': {'family': 'Wanniatie', 'honourific': None, 'lineage': None, 'given': 'Veronica'}}]",disk0/00/04/65/08,128,2022-11-11 09:39:14,2022-11-11 09:39:14,pub,"[{'main': 'Korespondensi_Veronica Wanniatie_ICTAF 2022.docx.pdf', 'docid': 185382, 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-11 03:49:14', 'filename': 'Korespondensi_Veronica Wanniatie_ICTAF 2022.docx.pdf', 'hash': '871bbd62c399c210227d08b2520f482e', 'fileid': 512969, 'mime_type': 'application/pdf', 'filesize': 1914841, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/512969', 'objectid': 185382}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185382', 'rev_number': 1, 'eprintid': 46508, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Atlantis Press/Universitas Mulawarman,http://repository.lppm.unila.ac.id/id/eprint/46508,public,46508,archive,2022-11-11 09:39:14,['SF'],"Korespondensi ICTAFF_Cases of Subclinical Mastitis in Dairy Cattle, Microbiological Quality and Residues of Antibiotic Cow's Milk: A Case Study in Tanggamus District",7,show,,,,,,,,,,,,,,,,,,
21,other,['FP17'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Wanniatie', 'given': 'Veronica'}, 'id': 'veronica.wanniatie@fp.unila.ac.id'}]",disk0/00/04/65/10,128,2022-11-11 09:39:16,2022-11-11 09:39:16,pub,"[{'eprintid': 46510, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Korespondensi_Veronica Wanniatie_VetWorld 2019.pdf', 'docid': 185383, 'files': [{'fileid': 512977, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-11 03:52:35', 'hash': '79c5fdb6a8bd6070ad69fbca9b4f6317', 'filename': 'Korespondensi_Veronica Wanniatie_VetWorld 2019.pdf', 'datasetid': 'document', 'filesize': 3667370, 'objectid': 185383, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512977'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185383', 'rev_number': 1}]",Veterinary World,http://repository.lppm.unila.ac.id/id/eprint/46510,public,46510,archive,2022-11-11 09:39:16,['SF'],"Korespondensi VetWorld_CHEMICAL COMPOSITION AND CHEMICAL CONTAMINATE RESIDUE OF ORGANIC AND CONVENTIONAL GOAT MILK IN BOGOR DISTRICT, INDONESIA",7,show,,,,,,,,,,,,,,,,,,
22,article,['FP17'],"[{'id': None, 'name': {'given': 'agus', 'lineage': None, 'family': 'irawan', 'honourific': None}}, {'id': 'liman.1967@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Liman', 'given': 'Liman'}}, {'name': {'honourific': None, 'family': 'Wijaya', 'lineage': None, 'given': 'Agung Kusuma'}, 'id': 'agung.kusumawijaya@fp.unila.ac.id'}, {'id': '.', 'name': {'given': 'Muhtarudin', 'lineage': None, 'family': 'Muhtarudin', 'honourific': None}}]",disk0/00/01/49/63,1111,2019-11-04 07:43:07,2019-11-04 07:43:07,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 14963, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 129017, 'filename': '67-122-1-SM.pdf', 'hash': 'ff1e4c6b0c5f04fcf6d011ad47fd7519', 'hash_type': 'MD5', 'mtime': '2019-11-01 15:19:21', 'datasetid': 'document', 'filesize': 134812, 'objectid': 28087, 'uri': 'http://repository.lppm.unila.ac.id/id/file/129017'}], 'docid': 28087, 'main': '67-122-1-SM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28087', 'rev_number': 1, 'pos': 1, 'format': 'text'}]","JURUSAN PETERNAKAN, FAKULTAS PERTANIAN,  UNIVERSITAS LAMPUNG",http://repository.lppm.unila.ac.id/id/eprint/14963,public,14963,archive,2019-11-04 07:43:07,['SF'],PENGARUH PENAMBAHAN MINERAL MIKRO ORGANIK DAN SILASE DAUN SINGKONG TERHADAP TDN ( Total Digestible Nutrient) DAN ENERGI TERCERNA RANSUM BERBASIS LIMBAH KELAPA SAWIT PADA SAPI POTONG CALON INDUKAN,6,show,TRUE,2598-3067,Jurnal Riset dan Inovasi Peternakan,http://jppi.fp.unila.ac.id/index.php/ojs/article/view/67/61,"This study aims to determine the effect of adding microorganic mineral and Silage of cassava leaves to TDN (Total Digestible Nutrient) and digestible energy based on palm oil waste on heifer. The study was conducted in March-May 2018 at the Animal Nutrition and Feed Laboratory, Department of Animal Husbandry, Faculty of Agriculture, University of Lampung. The material of this study using 9 Ongole cattle grade and grouping based on body weight. This study used a randomized block design with 3 treatments and 3 replications. The research treatment consisted of R0 (ration control), R1 (R0 + organic minerals (Zn 40 ppm, Cu 10 ppm, Cr 0.30 ppm, and Se 0.10 ppm) and R3 (R1 + 15% cassava leaves (branched amino acid source / brand chain amino acid) The results showed that: The provision of rations based on oil palm waste significantly affected TDN (Total Digestible Nutrient) and did not significantly affect digestible energy in the Ongole Breeders cow, fermented waste palm oil rations (R2) produced the highest and optimum TDN average is 72.11%, the ration based on fermented palm oil (R2) produces the highest and optimum digestible energy average of 15381.57Kcal / head / day.",,,,3,,2.0,,,,,,,
