,full_text_status,uri,refereed,ispublished,documents,publisher,datestamp,lastmod,userid,dir,date,publication,creators,divisions,type,rev_number,metadata_visibility,title,subjects,abstract,status_changed,eprint_status,eprintid,book_title,pres_type,event_type,event_title,projects,date_type,official_url,place_of_pub,id_number,funders,corp_creators,volume,number
10,public,http://repository.lppm.unila.ac.id/id/eprint/50217,FALSE,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 50217, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/542715', 'objectid': 189920, 'filesize': 3019800, 'datasetid': 'document', 'mtime': '2023-04-11 06:19:23', 'hash_type': 'MD5', 'filename': 'SKHLI HKI.pdf', 'hash': '012cda76cd3e5e753e04880b727adc92', 'fileid': 542715, 'mime_type': 'application/pdf'}], 'main': 'SKHLI HKI.pdf', 'docid': 189920, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189920', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Justice Publisher/Fakultas Hukum Universitas Lampung,2023-04-11 07:26:14,2023-04-11 07:26:14,230,disk0_bak/00/05/02/17,1970-01-01 00:00:00.000002022,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ahmad Syofyan', 'given': 'Ahmad S'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",['FH2'],book_section,7,show,Studi Kasus Hukum Lingkungan Internasional,['K1'],,2023-04-11 07:26:14,archive,50217,STUDI KASUS HUKUM LINGKUNGAN INTERNASIONAL,,,,,,,,,,,,
11,public,http://repository.lppm.unila.ac.id/id/eprint/50089,FALSE,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 50089, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 541747, 'filename': 'HUKUM INTERNASIONAL (2).pdf', 'hash': 'b09967ee4d4ee6580467fb1953e6be3f', 'hash_type': 'MD5', 'mtime': '2023-04-10 07:25:43', 'datasetid': 'document', 'filesize': 3635986, 'objectid': 189788, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541747'}], 'docid': 189788, 'main': 'HUKUM INTERNASIONAL (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189788', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Pusat Kajian Konstitusi dan Perundang-undangan Universitas Lampung,2023-04-10 09:19:25,2023-04-10 09:19:25,230,disk0_bak/00/05/00/89,1970-01-01 00:00:00.000002022,,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'given': 'Ahmad S', 'honourific': None, 'family': 'Ahmad Syofyan', 'lineage': None}}]",['FH2'],book_section,7,show,hukum internasional,['K1'],,2023-04-10 09:19:25,archive,50089,hukum internasional,,,,,,,,,,,,
12,public,http://repository.lppm.unila.ac.id/id/eprint/49958,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 49958, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189647', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 189647, 'uri': 'http://repository.lppm.unila.ac.id/id/file/540722', 'mime_type': 'application/pdf', 'fileid': 540722, 'filename': 'JURNAL NEW.pdf', 'hash': '001c665dc44641088179da86641c37ba', 'hash_type': 'MD5', 'mtime': '2023-04-09 06:17:41', 'datasetid': 'document', 'filesize': 31348649}], 'main': 'JURNAL NEW.pdf', 'docid': 189647}]",FoFJ,2023-04-10 00:57:17,2023-04-10 00:57:17,196,disk0_bak/00/04/99/58,1970-01-01 00:00:00.000002022,"Future of Food: Journal on Food, Agriculture and Society","[{'id': 'dewiseptiana80@yahoo.co.id', 'name': {'given': 'Dewi Septiana', 'lineage': None, 'honourific': None, 'family': 'Dewi Septiana'}}]",['FH2'],article,6,show,"The Relevance of the Keduk’an System to the Realization of
Food Sovereignty: A Study in Juku Batu Village, Indonesia",['K1'],Hasil Check Similarity,2023-04-10 00:57:17,archive,49958,,,,,,,,,,,,,
13,public,http://repository.lppm.unila.ac.id/id/eprint/51130,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51130, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190848', 'main': 'LEGAL POLICY IN HANDLING CYBER.pdf', 'docid': 190848, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/549644', 'objectid': 190848, 'filesize': 2998671, 'datasetid': 'document', 'filename': 'LEGAL POLICY IN HANDLING CYBER.pdf', 'hash': '3195c1926bf800df579082fcef204d6c', 'hash_type': 'MD5', 'mtime': '2023-05-06 01:41:08', 'mime_type': 'application/pdf', 'fileid': 549644}]}]",IJCRT (IJCRT.ORG),2023-05-08 02:03:51,2023-05-08 02:03:51,37,disk0_bak/00/05/11/30,1970-01-01 00:00:00.000002022,INTERNATIONAL JOURNAL OF CREATIVE RESEARCH THOUGHTS - IJCRT (IJCRT.ORG),"[{'id': 'dona.raisa@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Dona', 'lineage': None, 'given': 'Raisa Monica'}}]",['FH2'],article,6,show,LEGAL POLICY IN HANDLING CYBER CRIME FOR CREATING PERSONAL DATA SECURITY,['K1'],Hasil Check Similarity,2023-05-08 02:03:51,archive,51130,,,,,,,,,,,,,
14,public,http://repository.lppm.unila.ac.id/id/eprint/41375,FALSE,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41375, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163008', 'rev_number': 1, 'main': 'Reviewer Analisis.pdf', 'docid': 163008, 'files': [{'filesize': 531251, 'datasetid': 'document', 'hash': '3bc363b18cd1b562d5e0a9101ef4bbde', 'filename': 'Reviewer Analisis.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-19 08:01:40', 'mime_type': 'application/pdf', 'fileid': 458613, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458613', 'objectid': 163008}]}]","Program Pascasarjana Hukum, Universitas Pattimura",2022-04-19 08:42:40,2022-04-19 08:42:40,61,disk0/00/04/13/75,2022-03-01 00:00:00.000000000,PAMALI: Pattimura Magister Law Review,"[{'name': {'given': 'Kasmawati', 'lineage': None, 'honourific': None, 'family': 'Kasmawati'}}]",['FH2'],article,6,show,Analisis Hukum Jaminan Pembiayaan Modal Usaha Dalam Akad Mudharabah Pada Perbankan Syariah,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,2022-04-19 08:42:40,archive,41375,,,,,,,,,,,,,
15,public,http://repository.lppm.unila.ac.id/id/eprint/41372,FALSE,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 41372, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 163005, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458594', 'fileid': 458594, 'mime_type': 'application/pdf', 'mtime': '2022-04-19 07:46:51', 'hash_type': 'MD5', 'filename': 'Reviewer The Effectiveness.pdf', 'hash': 'aeb35e1bc01c8e057029a17a606ee220', 'datasetid': 'document', 'filesize': 553445}], 'main': 'Reviewer The Effectiveness.pdf', 'docid': 163005, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163005', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Scholars Middle East Publisher,2022-04-19 08:42:35,2022-04-19 08:42:35,61,disk0/00/04/13/72,2022-03-01 00:00:00.000000000,"IScholars International Journal of Law, Crime and Justice (SIJLCJ)","[{'name': {'lineage': None, 'honourific': None, 'family': 'Kasmawati', 'given': 'Kasmawati'}}]",['FH2'],article,6,show,The Effectiveness of Partnership Programs and Environmental Development by State-Owned Enterprises (BUMN) in Empowering Micro and Small Businesses in Lampung,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2022-04-19 08:42:35,archive,41372,,,,,,,,,,,,,
16,public,http://repository.lppm.unila.ac.id/id/eprint/41373,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 41373, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163006', 'rev_number': 1, 'docid': 163006, 'main': 'Reviewer Legal Respon.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/458600', 'objectid': 163006, 'mtime': '2022-04-19 07:51:42', 'hash_type': 'MD5', 'hash': 'b4219d45c65e2d0e11e29364f2d4d959', 'filename': 'Reviewer Legal Respon.pdf', 'fileid': 458600, 'mime_type': 'application/pdf', 'filesize': 530068, 'datasetid': 'document'}]}]",Scholars Middle East Publisher,2022-04-19 08:42:37,2022-04-19 08:42:37,61,disk0/00/04/13/73,2022-03-01 00:00:00.000000000,"IScholars International Journal of Law, Crime and Justice (SIJLCJ)","[{'name': {'family': 'Kasmawati', 'honourific': None, 'lineage': None, 'given': 'Kasmawati'}}]",['FH2'],article,7,show,Legal Responsibilities of the Parties in Issuance of Commercial Paper Based on Bank Indonesia Regulation No: 19/9/PBI/2017,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2022-04-19 08:42:37,archive,41373,,,,,,,,,,,,,
17,public,http://repository.lppm.unila.ac.id/id/eprint/41684,FALSE,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163345', 'rev_number': 1, 'main': 'KASMAWATI-Urgency.pdf', 'docid': 163345, 'files': [{'objectid': 163345, 'uri': 'http://repository.lppm.unila.ac.id/id/file/460909', 'datasetid': 'document', 'filesize': 2542714, 'mime_type': 'application/pdf', 'fileid': 460909, 'hash': '3c24fbac04384003f0232ad16727a852', 'filename': 'KASMAWATI-Urgency.pdf', 'hash_type': 'MD5', 'mtime': '2022-05-18 07:58:35'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 41684, 'placement': 1, 'security': 'public'}]",,2022-05-18 09:07:56,2022-05-18 09:07:56,61,disk0/00/04/16/84,1970-01-01 00:00:00.000002022,,"[{'name': {'family': 'Kasmawati', 'honourific': None, 'lineage': None, 'given': 'Kasmawati'}}]",['FH2'],conference_item,8,show,Urgency of Electronic Licensing Management Licensing Services in Improving the Community Economy,['K1'],Hasil Check Similarity,2022-05-18 09:07:56,archive,41684,,paper,conference,"Advances in Social Science, Education and Humanities Research",,,,,,,,,
18,public,http://repository.lppm.unila.ac.id/id/eprint/41360,FALSE,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162996', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/458528', 'objectid': 162996, 'filesize': 1878068, 'datasetid': 'document', 'mtime': '2022-04-19 03:09:31', 'hash_type': 'MD5', 'filename': 'LEGAL RESPONSIBILITY.pdf', 'hash': '786e7633f1e82a6c8a59664f9cf98cac', 'fileid': 458528, 'mime_type': 'application/pdf'}], 'main': 'LEGAL RESPONSIBILITY.pdf', 'docid': 162996, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 41360}]",Scholars Middle East Publisher,2022-04-19 08:42:19,2022-04-19 08:42:19,61,disk0/00/04/13/60,2022-03-01 00:00:00.000000000,"IScholars International Journal of Law, Crime and Justice (SIJLCJ)","[{'name': {'given': 'kingkin', 'family': 'Kingkin wahyuningdiah', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Kasmawati', 'given': 'Kasmawati'}}]",['FH2'],article,6,show,Legal Responsibilities of the Parties in Issuance of Commercial Paper Based on Bank Indonesia Regulation No: 19/9/PBI/2017,['K1'],Hasil Check Similarity,2022-04-19 08:42:19,archive,41360,,,,,,,,,,,,,
19,public,http://repository.lppm.unila.ac.id/id/eprint/38851,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 38851, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159993', 'docid': 159993, 'main': 'Searching For Justice in The Policy for Combating.pdf', 'files': [{'fileid': 438781, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-02 06:10:32', 'hash': '7895284277e91b9648a8941340ab3b21', 'filename': 'Searching For Justice in The Policy for Combating.pdf', 'datasetid': 'document', 'filesize': 2065611, 'objectid': 159993, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438781'}]}]","University of Tehran, Iran",2022-02-02 07:18:37,2022-02-02 07:18:37,318,disk0/00/03/88/51,1970-01-01 00:00:00.000002022,Webology,"[{'name': {'given': 'Maya Shafira', 'lineage': None, 'honourific': None, 'family': 'Maya Shafira'}, 'id': 'mayashafira@fh.unila.ac.id'}]",['FH2'],article,7,show,Searching For Justice in The Policy for Combating Illegal Fishing in Indonesia: The Dignified Justice Perspective,['K1'],Hasil Check Similarity,2022-02-02 07:18:37,archive,38851,,,,,,,,,,,,,
20,public,http://repository.lppm.unila.ac.id/id/eprint/39320,FALSE,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160603', 'format': 'text', 'pos': 1, 'files': [{'objectid': 160603, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442428', 'datasetid': 'document', 'filesize': 396791, 'fileid': 442428, 'mime_type': 'application/pdf', 'mtime': '2022-02-15 08:18:07', 'hash_type': 'MD5', 'hash': '096a63f8d7dee758350e66e7f97c1464', 'filename': 'Reviewer Searching.pdf'}], 'main': 'Reviewer Searching.pdf', 'docid': 160603, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 39320}]","University of Tehran, Iran",2022-02-16 01:16:04,2022-02-16 01:16:04,318,disk0/00/03/93/20,1970-01-01 00:00:00.000002022,Webology,"[{'id': 'mayashafira@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Maya Shafira', 'honourific': None, 'given': 'Maya Shafira'}}]",['FH2'],article,6,show,Searching For Justice in The Policy for Combating Illegal Fishing in Indonesia: The Dignified Justice Perspective,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2022-02-16 01:16:04,archive,39320,,,,,,,,,,,,,
