,creators,date,dir,type,book_title,divisions,ispublished,documents,publisher,uri,full_text_status,refereed,lastmod,userid,datestamp,eprintid,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,publication,event_type,event_title,pres_type,pagerange,place_of_pub,isbn,monograph_type,issn,corp_creators,id_number,funders,official_url,related_url,projects,institution,date_type,learning_level,completion_time,pedagogic_type,skill_areas,volume,number,contributors,copyright_holders,task_purpose,event_location,event_dates,pages,department,keywords
10,"[{'id': 'emilia.susanti@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Emilia susanti', 'honourific': None, 'given': 'susanti'}}]",1970-01-01 00:00:00.000002019,disk0/00/02/72/23,book_section,dalam Buku Kebijakan Negara dalam Bidang Kelautan & Perikanan di Era Otonomi Daerah,['FH2'],pub,"[{'security': 'public', 'placement': 1, 'eprintid': 27223, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/243845', 'objectid': 41234, 'filesize': 142684, 'datasetid': 'document', 'mtime': '2021-01-04 01:36:29', 'hash_type': 'MD5', 'filename': '2. Optimalisasi pengawasan.pdf', 'hash': '35e939cdf41abc5f3ce4b0a5b69d2e5a', 'fileid': 243845, 'mime_type': 'application/pdf'}], 'main': '2. Optimalisasi pengawasan.pdf', 'docid': 41234, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41234', 'rev_number': 1, 'format': 'text', 'pos': 1}]",AURA CV. Anugrah Utama Raharja Anggota IKAPI,http://repository.lppm.unila.ac.id/id/eprint/27223,public,FALSE,2021-01-04 02:19:02,106,2021-01-04 02:19:02,27223,Optimalisasi Pengawasan Berbasis Masyarakat Dalam Upaya Pencegahan dan Penanggulangan Ilegal Fishing di Wilayah Propinsi Lampung,7,show,2021-01-04 02:19:02,archive,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[{'id': 'emilia.susanti@fh.unila.ac.id', 'name': {'given': 'susanti', 'family': 'Emilia susanti', 'honourific': None, 'lineage': None}}]",2019-01-01 00:00:00.000000000,disk0/00/02/72/22,book_section,Dalam Buku Hak Konstitusional: Tebaran Pemikiran dan Gagasan,['FH2'],pub,"[{'security': 'public', 'placement': 1, 'eprintid': 27222, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 41233, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243838', 'fileid': 243838, 'mime_type': 'application/pdf', 'mtime': '2021-01-04 01:34:27', 'hash_type': 'MD5', 'hash': '07b458e9bb9fe70feaf69c6f52602af9', 'filename': '1. Pencabutan Hak POLITIK.pdf', 'datasetid': 'document', 'filesize': 137785}], 'docid': 41233, 'main': '1. Pencabutan Hak POLITIK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41233', 'rev_number': 1, 'format': 'text', 'pos': 1}]",AURA CV. Anugrah Utama Raharja Anggota IKAPI,http://repository.lppm.unila.ac.id/id/eprint/27222,public,FALSE,2021-01-04 02:18:54,106,2021-01-04 02:18:54,27222,Pencabutan Hak Politik Narapidana Korupsi dalam Perspektif Hukum Pidana,7,show,2021-01-04 02:18:54,archive,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[{'id': 'emilia.susanti@fh.unila.ac.id', 'name': {'given': 'susanti', 'lineage': None, 'honourific': None, 'family': 'Emilia susanti'}}]",1970-01-01 00:00:00.000002019,disk0/00/02/73/11,book_section,Hak Konstitusional: Tebaran Pemikiran dan Gagasan,['FH2'],pub,"[{'files': [{'objectid': 41317, 'uri': 'http://repository.lppm.unila.ac.id/id/file/244429', 'fileid': 244429, 'mime_type': 'application/pdf', 'mtime': '2021-01-14 04:09:24', 'hash_type': 'MD5', 'filename': 'Review Emil Deal.pdf', 'hash': 'ea9ab0403de42cd75588e4d0e466459f', 'datasetid': 'document', 'filesize': 138227}], 'docid': 41317, 'main': 'Review Emil Deal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41317', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 27311, 'mime_type': 'application/pdf', 'language': 'en'}]",AURA CV. Anugrah Utama Raharja Anggota IKAPAI,http://repository.lppm.unila.ac.id/id/eprint/27311,public,FALSE,2021-01-14 06:51:57,106,2021-01-14 06:51:57,27311,Pencabutan Hak Politik Narapidana Korupsi dalam Perspektif Hukum Pidana,7,show,2021-01-14 06:51:57,archive,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[{'name': {'family': 'Emilia susanti', 'honourific': None, 'lineage': None, 'given': 'susanti'}, 'id': 'emilia.susanti@fh.unila.ac.id'}]",1970-01-01 00:00:00.000002019,disk0/00/02/72/27,article,,['FH2'],pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 27227, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41238', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/243870', 'objectid': 41238, 'filesize': 151977, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-01-04 01:46:48', 'filename': '6. Peran Lembaga Pengaduan.pdf', 'hash': '493c46206f4d5c27ca75ade61f06a1d9', 'fileid': 243870, 'mime_type': 'application/pdf'}], 'main': '6. Peran Lembaga Pengaduan.pdf', 'docid': 41238}]",Bagian Hukum Pidana FH Unila,http://repository.lppm.unila.ac.id/id/eprint/27227,public,FALSE,2021-01-04 02:18:40,106,2021-01-04 02:18:40,27227,Peran Lembaga Pengaduan Konsumen Nusantara Indonesia dalam Melindungi Konsumen dari Tindak Pidana Perampasan Kendaraan Oleh Debt Collector,6,show,2021-01-04 02:18:40,archive,['K1'],Penilaian Sejawat Sebidang atau Peer Review,Jurnal Poenale,,,,,,,,2338 7386,,,,,,,,,,,,,,,,,,,,,,
14,"[{'id': 'emilia.susanti@fh.unila.ac.id', 'name': {'given': 'susanti', 'lineage': None, 'family': 'Emilia susanti', 'honourific': None}}]",1970-01-01 00:00:00.000002019,disk0/00/02/72/26,article,,['FH2'],pub,"[{'placement': 1, 'security': 'public', 'eprintid': 27226, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mime_type': 'application/pdf', 'fileid': 243864, 'filename': '5. Studi Komperatif.pdf', 'hash': '4959b302425acc842281dfef48ee33e2', 'hash_type': 'MD5', 'mtime': '2021-01-04 01:44:13', 'datasetid': 'document', 'filesize': 152507, 'objectid': 41237, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243864'}], 'main': '5. Studi Komperatif.pdf', 'docid': 41237, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41237', 'pos': 1, 'format': 'text'}]",Bagian Hukum Pidana FH Unila,http://repository.lppm.unila.ac.id/id/eprint/27226,public,FALSE,2021-01-04 02:18:34,106,2021-01-04 02:18:34,27226,Studi Komperatif Kebijakan Formulasi Sanksi Pidana Denda dalam KUHP dan RKUHP,6,show,2021-01-04 02:18:34,archive,['K1'],Penilaian Sejawat Sebidang atau Peer Review,Jurnal Poenale,,,,,,,,2338 7386,,,,,,,,,,,,,,,,,,,,,,
15,"[{'name': {'family': 'Emilia susanti', 'honourific': None, 'lineage': None, 'given': 'susanti'}, 'id': 'emilia.susanti@fh.unila.ac.id'}]",1970-01-01 00:00:00.000002019,disk0/00/02/72/25,article,,['FH2'],pub,"[{'files': [{'objectid': 41236, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243858', 'fileid': 243858, 'mime_type': 'application/pdf', 'mtime': '2021-01-04 01:41:31', 'hash_type': 'MD5', 'hash': '261b234a5a5399b63987f4df8d1f4a38', 'filename': '4. Upaya Satgas.pdf', 'datasetid': 'document', 'filesize': 150608}], 'main': '4. Upaya Satgas.pdf', 'docid': 41236, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41236', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 27225, 'mime_type': 'application/pdf', 'language': 'en'}]",Bagian Hukum Pidana FH Unila,http://repository.lppm.unila.ac.id/id/eprint/27225,public,FALSE,2021-01-04 02:18:26,106,2021-01-04 02:18:26,27225,Upaya Satgas Saber Pungli dalam Penangulangan Tindak Pidana Pungutan Liar Pembuatan Sertifikat Tanah,6,show,2021-01-04 02:18:26,archive,['K1'],Penilaian Sejawat Sebidang atau Peer Review,Jurnal Polenale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[{'name': {'given': 'Kasmawati', 'lineage': None, 'honourific': None, 'family': 'Kasmawati'}}]",1970-01-01 00:00:00.000002019,disk0/00/04/13/69,book_section,Aspek Hukum Dalam Pengangkutan Barang dalam Buku Jalan Sunyi Sang Guru,['FH2'],pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 41369, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163003', 'format': 'text', 'pos': 1, 'files': [{'objectid': 163003, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458581', 'datasetid': 'document', 'filesize': 475416, 'mime_type': 'application/pdf', 'fileid': 458581, 'filename': 'Reviewer Aspek.pdf', 'hash': 'eeb059c5f80b891efa326554da36b3f0', 'hash_type': 'MD5', 'mtime': '2022-04-19 07:29:54'}], 'main': 'Reviewer Aspek.pdf', 'docid': 163003}]",PKKP-HAM FH Unila,http://repository.lppm.unila.ac.id/id/eprint/41369,public,FALSE,2022-04-19 08:42:30,61,2022-04-19 08:42:30,41369,Aspek Hukum Dalam Pengangkutan Barang dalam Buku Jalan Sunyi Sang Guru,7,show,2022-04-19 08:42:30,archive,['K1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[{'id': 'mayashafira@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Maya Shafira', 'lineage': None, 'given': 'Maya Shafira'}}]",1970-01-01 00:00:00.000002019,disk0/00/04/16/40,article,,['FH2'],pub,"[{'security': 'public', 'placement': 1, 'eprintid': 41640, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mtime': '2022-05-13 04:11:08', 'hash_type': 'MD5', 'filename': '630.pdf', 'hash': '2765f3afb02178073a5f004d2459958f', 'fileid': 460583, 'mime_type': 'application/pdf', 'filesize': 249010, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/460583', 'objectid': 163292}], 'docid': 163292, 'main': '630.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163292', 'format': 'text', 'pos': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/41640,public,FALSE,2022-05-13 07:07:49,318,2022-05-13 07:07:49,41640,"FGD DAN EDUKASI TENTANG UPAYA PENCEGAHAN
KEKERASAN SEKSUAL DALAM RUMAH TANGGA",6,show,2022-05-13 07:07:49,archive,['K1'],,DINAMISIA - Jurnal Pengabdian Kepada Masyarakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[{'name': {'given': 'nennydwiariani@gmail.com', 'honourific': None, 'family': 'Nenny Dwi Ariani', 'lineage': None}}]",1970-01-01 00:00:00.000002019,disk0/00/03/20/15,article,,['FH2'],pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/145053', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/378910', 'objectid': 145053, 'filesize': 393153, 'datasetid': 'document', 'mtime': '2021-06-04 03:05:11', 'hash_type': 'MD5', 'filename': 'Review The Existance.pdf', 'hash': 'f5b6b3be57e61e9573b37cb20f99d12a', 'fileid': 378910, 'mime_type': 'application/pdf'}], 'main': 'Review The Existance.pdf', 'docid': 145053, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 32015}]",Fakultas Hukum Unila,http://repository.lppm.unila.ac.id/id/eprint/32015,public,FALSE,2021-06-04 07:13:02,1233,2021-06-04 07:13:02,32015,The Existence of Regulatory Sandbox to Encourage the Growth of Financial Technology in Indonesia,6,show,2021-06-04 07:13:02,archive,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,Juranl Fiat Justisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[{'name': {'given': 'nennydwiariani@gmail.com', 'lineage': None, 'family': 'Nenny Dwi Ariani', 'honourific': None}}]",1970-01-01 00:00:00.000002019,disk0/00/03/20/11,article,,['FH2'],pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 32011, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145042', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/378877', 'objectid': 145042, 'filesize': 399724, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-06-04 02:58:53', 'filename': 'Review Humanistic.pdf', 'hash': 'aebc311b0613b8298a4a026d8c0ceb1a', 'fileid': 378877, 'mime_type': 'application/pdf'}], 'docid': 145042, 'main': 'Review Humanistic.pdf'}]",Allied Academies,http://repository.lppm.unila.ac.id/id/eprint/32011,public,FALSE,2021-06-04 07:12:53,1233,2021-06-04 07:12:53,32011,"Humanistic Law Enforcement As The Application Of The Value Of Justice, Expediency and Legal Certainty Based On Pancasila",6,show,2021-06-04 07:12:53,archive,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,"Journal of Legal, Ethical and Regulatory Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[{'name': {'family': 'Nurmayani', 'honourific': None, 'lineage': None, 'given': 'Nurmayani'}}]",2019-01-01 00:00:00.000000000,disk0/00/01/81/66,book_section,Hak Konstitusional,['FH2'],pub,"[{'security': 'public', 'placement': 1, 'eprintid': 18166, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/153000', 'objectid': 31306, 'filename': 'Nurmayani_compressed.pdf', 'hash': '550932abce4c136941ba468778e118dc', 'hash_type': 'MD5', 'mtime': '2020-02-24 02:13:39', 'mime_type': 'application/pdf', 'fileid': 153000, 'filesize': 514381, 'datasetid': 'document'}], 'docid': 31306, 'main': 'Nurmayani_compressed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31306', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Anugrah Utama Raharja (AURA),http://repository.lppm.unila.ac.id/id/eprint/18166,public,FALSE,2020-02-25 04:07:17,921,2020-02-25 04:07:17,18166,Eksistensi PTUN untuk Melindungi Masyarakat / Badan Hukum akibat Dikelurkannya KTUN yang merugikan,7,show,2020-02-25 04:07:17,archive,['K1'],,,,,,174-182,,978-623-211-017-5,,,,,,,,,,,,,,,,,,,,,,,,
21,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Nurmayani', 'given': 'Nurmayani'}}]",2019-01-01 00:00:00.000000000,disk0/00/01/81/67,book_section,Kebijakan Negara dalam Bidang Kelautan & Perikanan,['FH2'],pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 18167, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31307', 'docid': 31307, 'main': 'Prosiding Laut Nurmayani_compressed.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-02-24 02:16:53', 'filename': 'Prosiding Laut Nurmayani_compressed.pdf', 'hash': '8ff93a47834af01a2a60f0b7dedd4660', 'fileid': 153007, 'mime_type': 'application/pdf', 'filesize': 578112, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/153007', 'objectid': 31307}]}]",Anugrah Utama Raharja (AURA),http://repository.lppm.unila.ac.id/id/eprint/18167,public,FALSE,2020-02-25 04:07:21,921,2020-02-25 04:07:21,18167,Optimal Ekonomi Kelautan untuk Kesejahteraan Masyarakat Pesisir dalam Kerangka Otonomi Daerah,7,show,2020-02-25 04:07:21,archive,['K1'],,,,,,277-285,,978-623-211-018-2,,,,,,,,,,,,,,,,,,,,,,,,
22,"[{'id': None, 'name': {'given': 'Wijonugroho', 'honourific': None, 'family': 'Pradipta', 'lineage': None}}, {'name': {'given': 'FX', 'honourific': None, 'family': 'Sumarja', 'lineage': None}, 'id': 'fxsmj.unila@gmail.com'}]",2019-08-01 00:00:00.000000000,disk0/00/01/47/40,other,,['FH2'],unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 14740, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27852', 'rev_number': 1, 'main': 'Makalah_restruturisasi_FX_sumarja.pdf', 'docid': 27852, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/127558', 'objectid': 27852, 'filename': 'Makalah_restruturisasi_FX_sumarja.pdf', 'hash': '97e38293aa3ba5a4578989f70c6439a6', 'hash_type': 'MD5', 'mtime': '2019-10-30 01:20:15', 'mime_type': 'application/pdf', 'fileid': 127558, 'filesize': 62797, 'datasetid': 'document'}]}]",--,http://repository.lppm.unila.ac.id/id/eprint/14740,public,,2019-11-04 02:01:25,940,2019-11-04 02:01:25,14740,RESTRUKTURISASI ORGANISASI PERANGKAT DAERAH DI KABUPATEN SLEMAN YOGYAKARTA TERKAIT URUSAN TATA RUANG,7,show,2019-11-04 02:01:25,archive,['K1'],Kajian ini ingin mengetahui urgensi restrukturisasi organisasi perangkat daerah terkiat urusan tata ruang dan kewenangan Dinas Pertanahan dan Tata Ruang Kabupaten Sleman Yogyakarta. Metode kajian menggunakan pendekatan doktrinal. Hasil kajian ditemukan bahwa urgensi restrukturisasi organisasi perangkat daerah di Kabupaten Sleman adalah untuk efektivitas pelaksanaan urusan tata ruang. Kewenangan Dinas Pertanahan dan Tata Ruang Kabupaten Sleman tidak terbatas pada urusan tata ruang Tanah Kasultanan dan Tanah Kabupaten.,,,,,,Proseding,,,,"['Magister Ilmu Hukum', 'Fakultas Hukum Universitas Lampung']",940,['Fakultas Hukum Unila'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],['Internasional Conference'],,,,,,,,,,,,,,,,
23,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Rini Fathonah', 'given': 'RF'}, 'id': 'rini.fathonah@fh.unila.ac.id'}]",1970-01-01 00:00:00.000002019,disk0/00/04/16/22,article,,['FH2'],pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163277', 'main': '737.pdf', 'docid': 163277, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/460501', 'objectid': 163277, 'filename': '737.pdf', 'hash': '2765f3afb02178073a5f004d2459958f', 'mtime': '2022-05-13 02:37:34', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 460501, 'filesize': 249010, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 41622, 'placement': 1, 'security': 'public'}]",,http://repository.lppm.unila.ac.id/id/eprint/41622,public,FALSE,2022-05-13 07:07:25,114,2022-05-13 07:07:25,41622,"FGD DAN EDUKASI TENTANG UPAYA PENCEGAHAN
KEKERASAN SEKSUAL DALAM RUMAH TANGGA",6,show,2022-05-13 07:07:25,archive,['K1'],,DINAMISIA - Jurnal Pengabdian Kepada Masyarakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[{'name': {'given': 'M. Iwan', 'honourific': None, 'family': 'Satriawan', 'lineage': None}}]",1970-01-01 00:00:00.000002019,disk0/00/01/29/83,monograph,,['FH2'],pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 12983, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25961', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/114370', 'objectid': 25961, 'mtime': '2019-05-16 06:17:47', 'hash_type': 'MD5', 'filename': 'Kebijakan Negara dalam Bidang Kelautan .pdf', 'hash': 'df0d8257d92ec43cdd8bb039a7d4167a', 'fileid': 114370, 'mime_type': 'application/pdf', 'filesize': 5033580, 'datasetid': 'document'}], 'docid': 25961, 'main': 'Kebijakan Negara dalam Bidang Kelautan .pdf'}]",aura,http://repository.lppm.unila.ac.id/id/eprint/12983,public,,2019-05-16 07:53:14,52,2019-05-16 07:53:14,12983,dinamika pengaturan kawasan pesisir dan pulau-pulau kecil di kota bandar lampung,8,show,2019-05-16 07:53:14,archive,"['K1', 'KZ']","pengaturan kawasan pesisir dan pulau-pulau kecil di indonesia mengalami dinamikanya tergantung pada politik hukum pemerintahan daerah yang dipraktikkan. Pada UU No.32 Tahun 2004, pengaturan kawasan pesisir dan pulau-pulau kecil sepenuhnya menjadi kewenangan pemerintah kabupaten, namun pasca diberlakukannya UU No.23 Tahun 2014 pengelolaan kawasan pesisir dan pulau-pulau kecil menjadi berubah, dimana menjadi kewenangan pemerintah provinsi dan pemerintah pusat.",,,,,,bandar lampung,,documentation,,['rustamaji'],,,,,,fakultas hukum unila,published,,,,,,,,,,,,,,
25,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Sumarja', 'given': 'FX'}}]",2019-10-04 00:00:00.000000000,disk0/00/01/47/38,teaching_resource,,['FH2'],unpub,"[{'security': 'public', 'placement': 1, 'eprintid': 14738, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/127542', 'objectid': 27849, 'filesize': 102821, 'datasetid': 'document', 'filename': 'Pembeli etikat baik.pdf', 'hash': '5df4bfb90cc4436015534c318cc935b5', 'mtime': '2019-10-30 01:08:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 127542}], 'docid': 27849, 'main': 'Pembeli etikat baik.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27849', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/14738,public,,2019-11-04 03:09:06,940,2019-11-04 03:09:06,14738,BEBERAPA ASPEK HUKUM JUAL BELI TANAH BERITIKAD BAIK,8,show,2019-11-04 03:09:06,archive,['K1'],"Secara teoretis, sengketa jual beli tanah antara pemilik asal melawan pembeli beritikad baik, dapat diasumsikan sebagai perselisihan antara dua doktrin. Yaitu: 1) Doktrin ‘nemo plus iuris transferre (ad alium) potest quam ipse habet’ (seseorang tak dapat mengalihkan sesuatu melebihi dari apa yang dimilikinya) yang membela gugatan pemilik asal, dan 2) Doktrin/asas ‘bona fides’ (itikad baik) yang melindungi pembeli beritikad baik. Posisi hukumnya memang dilematis, karena menempatkan dua belah pihak yang pada dasarnya tidak bersalah untuk saling berhadapan di pengadilan dan meminta untuk dimenangkan, akibat ulah pihak lain (penjual) yang mungkin beritikad buruk. Jika dalil pembeli dikabulkan, maka dia akan dianggap sebagai pemilik (baru), meskipun penjualan dilakukan oleh pihak yang (semestinya) tidak berwenang. Sementara jika dalil tersebut tidak dapat dibenarkan, maka peralihan hak akan dianggap tidak sah dan pemilik asal akan tetap menjadi pemilik sahnya.
Mahkamah Agung telah mencoba untuk menyatukan pandangan-pandangan tersebut, melalui kesepakatan Rapat Pleno Kamar Perdata yang tertuang dalam Surat Edaran Mahkamah Agung (SEMA) No. 7/2012. Di dalam butir ke-IX dirumuskan bahwa:
1.	Perlindungan harus diberikan kepada pembeli yang itikad baik sekalipun kemudian diketahui bahwa penjual adalah orang yang tidak berhak (obyek jual beli tanah).
2.	 Pemilik asal hanya dapat mengajukan gugatan ganti rugi kepada Penjual yang tidak berhak.
Sebuah penelitian dari putusan-putusan pengadilan terkait peralihan tanah, ditemukan 49 putusan yang memenangkan pembeli yang mendalilkan telah beritikad baik. Alasan yang paling banyak digunakan hakim adalah telah dilakukannya jual beli melalui notaris/PPAT atau melalui pelelangan umum. Sementara itu, terdapat 20 putusan lainnya, dalil tersebut ditolak. Alasannya, pembeli dianggap kurang cermat memeriksa status tanah obyek jual beli, atau tanah obyek jual beli masih dalam sengketa. 
Pembeli yang melakukan jual beli di hadapan PPAT atau melalui pelelangan umum, ternyata juga tidak selamanya dianggap sebagai pembeli beritikad baik. Hal ini terjadi, apabila terdapat pemalsuan data dalam pembelian, atau jika Badan Pertanahan Nasional (BPN) telah memperingatkan status tanah yang semestinya tak dapat diperjualbelikan. Kemudian sehubungan dengan tanah lelang, pembeli dianggap tidak beritikad baik, jika membeli sendiri tanah yang diagunkan kepadanya dengan nilai yang tidak wajar, atau jika hak atas tanah yang sebenarnya telah dihapuskan. 
Data tersebut menunjukkan bahwa pengadilan memberikan perlindungan yang relatif kuat kepada pembeli beritikad baik. Namun, pertimbangan yang diberikan sangat sumir. Ini menjadi masalah, karena tidak ada definisi dan kriteria pembeli beritikad baik di dalam peraturan perundang-undangan, sehingga penilaiannya ditentukan oleh pandangan hakim masing-masing.
 Bedasarkan penelusuran literatur, ditemukan bahwa pengertian ‘itikad baik’ dalam hal ini berarti ketidaktahuan pembeli atas cacat cela peralihan hak atas tanah yang diperolehnya dan ketidaktahuan ini bukan merupakan kesalahan atau ketidakcermatan pembeli itu.",,,,,,,,,,['Fakultas Hukum Universitas Lampung'],,['Kanwil BPN Prov Lampung'],http://repository.lppm.unila.ac.id,[{'url': 'http://repository.lppm.unila.ac.id'}],['Penanganan Kasus Mafia Tanah'],,,8,4,problem,['Hukum Agraria'],,,,,,,,,,
