,subjects,abstract,eprint_status,status_changed,rev_number,metadata_visibility,title,eprintid,datestamp,lastmod,userid,full_text_status,uri,ispublished,documents,publisher,divisions,type,dir,monograph_type,creators,publication,issn,refereed,date_type,official_url,referencetext,volume,number,place_of_pub,book_title,editors,pagerange,corp_creators,contributors,related_url,isbn
10,['H1'],"Masalah yang mencuat tentang TKI  di Malaysia adalah deportasi, perlakuan tidak manusiawi, eksploitasi dan sebagainya. Apabila Pemerintah RI memandang TKI  sebagai pasar yang penting karena terkait devisa, maka perlu dilengkapi dengan undang-undang serta kelembagaan, kesepakatan kerjasama, termasuk dukungan APBN yang memadai. Namun, terjadi tarik ulur kesepakatan antara Indonesia dan Malaysia mengenai upaya kerjasama dalam perlindungan dan penempatan TKI di Malaysia. Kesepakatan sudah ada tetapi belum sepenuhnya mampu melindungi TKI. Oleh sebab itu, penelitian untuk menganalisa dinamika kerjasama Indonesia dan Malaysia dalam penempatan dan perlindungan tenaga kerja pada era kepemimpinan Presiden Soesilo Bambang Yudoyono (2004-2014) menjadi sangat penting. Masalah penelitian adalah bagaimana dinamika kerjasama Indonesia dan Malaysia tentang penempatan dan perlindungan tenaga kerja? Hasil penelitian dengan metode deskriptif kualitatif ini untuk menjawab bagaimana dinamika kerjasama Indonesia dan Malaysia tentang penempatan dan perlindungan tenaga kerja. Kegunaan secara teoritis adalah memperkaya kajian kontemporer dalam bidang pemerintahan dan hubungan internasional. Kegunaan secara praktis, dapat memberikan informasi yang bermanfaat bagi pemerintah sebagai garda terdepan pelayanan masyarakat. Hubungan bilateral Indonesia dan Malaysia mengenai tenaga kerja tidak terlepas dari tujuan masing-masing untuk memenuhi terwujudnya kepentingan nasional. Hasil penelitian adalah pertama, TKI di Malaysia adalah sebuah fenomena rasional ekonomi yang didasarkan kepentingan dua negara, angka permintaan Malaysia atas TKI tinggi, Indonesia juga mendapat manfaat ekonomi sebagai sumber devisa terbesar dan membantu perekonomian nasional. Kedua, dinamika kerjasama upaya penempatan dan perlindungan TKI di Malaysia dari masa ke masa dipengaruhi oleh kendala internal 2 negara yaitu sistem ketenagakerjaan masing-masing negara. Malaysia dan Indonesia belum meratifikasi konvensi Buruh Migran. Malaysia pun tidak memiliki aturan hukum yang khusus mengurusi para TKI sektor informal. Malaysia juga menentang konsep legally binding dan standar perlindungan pekerja migran ilegal berdasarkan hak asasi manusia. Ketiga, power bargaining Indonesia lemah karena citra buruk pengelolaan tenaga kerja yang akan bekerja di luar negeri, diantaranya adanya TKI illegal, TKI tanpa keahlian dan pemahaman budaya negara penerima, tidak jelasnya kontrak kerja, adanya pungli terhadap TKI di dalam negeri.

Kata kunci: Kerjasama Indonesia dan Malaysia, Penempatan dan Perlindungan  
                   Tenaga Kerja",archive,2018-04-25 06:37:28,6,show,"DINAMIKA KERJASAMA INDONESIA DAN MALAYSIA TENTANG
PENEMPATAN DAN PERLINDUNGAN TENAGA KERJA",6823,2018-04-25 06:37:28,2018-04-25 06:37:28,269,public,http://repository.lppm.unila.ac.id/id/eprint/6823,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 6823, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19796', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/62507', 'objectid': 19796, 'filesize': 158500, 'datasetid': 'document', 'hash': '2753143814f19afb5c821ce8b6384dd9', 'filename': 'dokumen jurnal dinamika migrasi.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-25 04:42:07', 'mime_type': 'application/pdf', 'fileid': 62507}], 'main': 'dokumen jurnal dinamika migrasi.pdf', 'docid': 19796}]","FISIP, Universitas Lampung",['FISIP8'],article,disk0/00/00/68/23,,"[{'name': {'honourific': None, 'family': 'Handayani', 'lineage': None, 'given': 'Dwi Wahyu'}}]",Jurnal Sosiologi,14110040,TRUE,,,,,,,,,,,,,
11,['H1'],"Laboratorium Politik Lokal dan Otonomi Daerah, Jurusan Ilmu Pemerintahan Universitas Lampung dan Program Studi Magister Ilmu Pemerintahan Universitas Lampung memberi sumbangsih pemikiran dalam rangka perbaikan Undang-Undang Pemerintahan daerah dengan menyelenggarakan Seminar Nasional dengan Tema; “UU Pemerintahan Daerah: Solusi atau Masalah yang Baru ?”, pada tanggal 30 Oktober 2015 bertempat di Universitas Lampung.
Pembicara utama dalam seminar ini adalah para penggiat Ilmu Pemerintahan di Indonesia yakni; Professor Purwo Santoso, Ph.D, Dr. Syarif Makhya ( MIP UNILA), Hertanto Ph.D ( MIP UNILA ),  Dr. Suwondo ( MIP UNILA ) , dan Syafarudin, MA ( Labpolotda UNILA ). Pemmbicara dari praktisi adalah Dr. Pahada Hidayat (perwakilan APKASI Lampung).  Peserta yang hadir beraneka ragam dari unsur akademisi, mahasiswa, wartawan dan perwakilan pemerintah kabupaten dan kota se Provinsi Lampung.
Adapun tujuh butir rekomendasi kami sebagai hasil seminar ini adalah sebagai berikut:
1.	Seminar ini memandang UU No.23/2014  menegasikan demokrasi partisipatif atau cacat secara proses pembuatan kebijakan karena tidak adanya uji publik dan keterlibatan policy networks seperti Pemerintah Daerah, Kampus, masyarakat sipil dan sebagainya. Untuk itu kami menghimbau agar peraturan teknis turunan UU ini jangan hanya menjadikan pemerintah daerah, kampus, masyarakat sipil, dll  sebagai objek sosialisasi kebijakan saja setelah aturan dibuat, namun haruslah melibatkan mereka secara aktif dan partisipatif dalam proses kebijakannya.  
2.	Seminar ini memandang perlunya semangat nawacita Presiden Jokowi yang merekomendasikan asymetric decentralization yakni penguatan ciri khas masing-masing daerah ketimbang penyeragaman oleh pusat segera terelalisasikan.  
3.	Seminar ini bersepakat bahwa UU No.23/ 2014 telah kehilangan semangat otonomi daerah yang merupakan cita-cita reformasi 1998. UU ini jelas mempunyai semangat dan misi resentralisasi ala orde baru ketimbang otonomi daerah. 
4.	Seminar ini menilai perlu adanya pemahaman yang benar tentang otonomi sesuai dengan Undang-Undang Dasar yakni dilakukan secara seluas-luasnya. Kami juga menolak autarkhi yakni daerah berbuat semau-maunya. 
5.	Seminar ini mengingatkan kembali bahwa daerah jangan diposisikan sebagai taklukan pusat, namun daerah adalah mitra sejajar pemerintah pusat dalam menjalankan pemerintahan demi mewujudkan cita-cita bangsa.  
6.	Seminar ini mengingatkan kembali tentang semangat membangun Indonesia dari pinggiran, membangun Indonesia dari daerah bukan dari Jakarta. Membangun Indonesia secara bottom-up ketimbang top-down.
7.	Seminar ini menyadari akan adanya kelemahan UU 32 / 2004, namun solusinya tidaklah dengan merampas kewenangan yang merupakan modal dasar pembangunan daerah namun dengan meningkatkan pengawasan. Untuk itu daerah perlu diawasi secara demokratis dengan melibatkan partisipasi masyarakat bukan dengan mencabut kewenangan.",archive,2018-04-25 04:03:15,7,show,KAJIAN INTERMESTIK: RUANG KERJASAMA DAERAH TANPA BATAS,6797,2018-04-25 04:03:15,2018-04-25 04:03:15,269,public,http://repository.lppm.unila.ac.id/id/eprint/6797,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 6797, 'mime_type': 'application/msword', 'language': 'en', 'files': [{'mime_type': 'application/msword', 'fileid': 62241, 'hash': '170658949d27114fafc262e6524f036d', 'filename': 'Desentralisasi_atau_Resentralisasi.doc', 'mtime': '2018-04-24 04:35:45', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 957952, 'objectid': 19768, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62241'}], 'main': 'Desentralisasi_atau_Resentralisasi.doc', 'docid': 19768, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19768', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Jurusan Ilmu Pemerintahan FISIP UNILA,['FISIP8'],book_section,disk0/00/00/67/97,,"[{'name': {'given': 'Dwi Wahyu', 'honourific': None, 'family': 'Handayani', 'lineage': None}}]",,,TRUE,published,,,1.0,,Bandar Lampung,Resentralisasi atau Desentralisasi,"[{'name': {'lineage': None, 'honourific': None, 'family': 'kurniawan', 'given': 'budi'}}]",105-110,,,,
12,['JA'],"Budaya Lampung pada aspek sejarah, wanita dipersepsikan berperan sangat positif dan
dihargai justru ketika menjadi penegak rumah tangga. Pada perkembangannya apakah
mengalami pergeseran, kontraproduktif pandangan, pro kontra tentang wilayah domestik dan
publik, ketika perempuan dituntut tanggungjawabnya yang lebih luas. Beberapa data
menunjukkan keterlibatan perempuan di Lampung dalam partisipasi politik masih rendah.
Keterwakilan perempuan di kursi DPRD Lampung kurang dari 30%. Jumlah keseluruhan 85
kursi, hanya 12 orang perempuan. Sementara itu, laki-laki di Lampung lebih mendominasi
kekuasaan di institusi politik dan pemerintahan dengan istilah putra daerah. Dari sekian posisi
penting, laki-laki Lampung mendominasi meskipun penduduk asli ini bukan mayoritas di
Lampung. Lampung memiliki multi suku dengan budaya yang beranekaragam. Prosentase
JURNAL ANALISIS SOSIAL POLITIK
VOLUME 1, NO 2, DESEMBER 2017
120 JURNAL ANALISIS SOSIAL POLITIK
VOLUME 1, NO 2, DESEMBER 2017
terbesar penduduknya adalah suku pendatang, yang sebagian besar adalah Jawa. Maka itu,
penelitian mengenai penyebab rendahnya partisipasi politik perempuan Lampung menjadi hal
yang menarik. Salah satunya dikaitkan dengan dominasi politik laki-laki Lampung meskipun
bukan mayoritas, untuk mengetahui persepsi dan pengaruh terhadap peran perempuan di
ranah publik khususnya politik. Metode penelitian yang digunakan adalah kualitatif deskriptif.
Teori yang dipergunakan adalah meninjau berbagai relevansi teori mengenai feminisme. Hasil
penelitian adalah pertama perempuan di Lampung dari sistem adat budaya Lampung memiliki
kesempatan sama untuk berkiprah di ranah publik, dalam bidang apapun termasuk politik.
Kedua, laki-laki Lampung bersikap fleksibel terhadap pilihan perempuan dengan berbagai
varian sikap. Laki-laki memposisikan diri sebagai patner perempuan di area domestik, sehingga
meringankan langkah perempuan di ranah publik. Laki-laki menolak maksimalisasi peran publik
perempuan karena keterikatannya pada peran domestik, karena sikap perempuan
menganggap peran domestik bukan hal penting ataupun adanya perjuangan pemikiran
feminism marxis. Hal ini juga terbaca dengan struktural fungsional, tanpa disadari pembagian
peran bukan sekedar ranah publik dan domestik tetapi juga terbawa pada ranah publik,
adanya pembatasan ruang gerak perempuan dalam berpolitik. Selanjutnya, yang mewarnai
dunia politik dengan kualitas feminis atau nama lain adalah ekofeminisme.Ketiga, kiprah
perempuan dalam politik Lampung bukan terkendala budaya setempat tetapi lebih kepada
kapasitas, dukungan dan persaingan politik. Kapasitas, faktor pendidikan dan pengalaman.
Dukungan rendah karena keterbatasan ruang lingkup sosialisasi dan komunikasi politik.
Persaingan politik di Lampung tidak mengarah kepada sisi gender, namun lebih kepada intrik
politik, tidak fair dan tindakan pelanggaran politik.",archive,2018-04-25 04:22:40,7,show,"PERSEPSI LAKI-LAKI LAMPUNG TENTANG
PARTISIPASI PEREMPUAN DALAM POLITIK",6817,2018-04-25 04:22:40,2018-06-28 07:57:57,269,public,http://repository.lppm.unila.ac.id/id/eprint/6817,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19789', 'docid': 19789, 'main': 'DOKUMEN JURNAL PERSEPSI LAKI LAKI.pdf', 'files': [{'objectid': 19789, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62366', 'datasetid': 'document', 'filesize': 430641, 'mime_type': 'application/pdf', 'fileid': 62366, 'filename': 'DOKUMEN JURNAL PERSEPSI LAKI LAKI.pdf', 'hash': '0b3011951d8d45020852b645563f3ffe', 'hash_type': 'MD5', 'mtime': '2018-04-25 02:14:28'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 6817, 'security': 'public', 'placement': 1}]",FISIP UNILA,['FISIP8'],article,disk0/00/00/68/17,,"[{'name': {'given': 'Dwi Wahyu', 'lineage': None, 'honourific': None, 'family': 'Handayani'}, 'id': None}, {'name': {'honourific': None, 'family': 'sari', 'lineage': None, 'given': 'yuni ratna'}, 'id': 'iickmaniez@yahoo.com'}]",Jurnal Analisis Sosial Politik,2580-8559,TRUE,published,,,1.0,2.0,,,,120-136,['FISIP Unila'],,,
13,['H1'],,archive,2022-09-23 04:05:23,7,show,"Reviewer : Kejahatan Terorganisasi Lintas-Negara di Eropa Pascabrexit, 2016-2022",45182,2022-09-23 04:05:23,2022-09-23 04:05:23,1187,public,http://repository.lppm.unila.ac.id/id/eprint/45182,pub,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 486568, 'filename': 'Kejahatan.pdf', 'hash': 'a9bd39c41a49d187ca23fd7220da8fb4', 'mtime': '2022-09-23 03:47:01', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 739753, 'objectid': 167132, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486568'}], 'docid': 167132, 'main': 'Kejahatan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167132', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 45182, 'language': 'en', 'mime_type': 'application/pdf'}]",Prov. Lampung,['FISIP8'],other,disk0/00/04/51/82,,"[{'name': {'given': 'Sulistiyo', 'family': 'Iwa', 'honourific': None, 'lineage': None}}]",,,,,,,,,,,,,,,,
14,['H1'],,archive,2022-09-26 01:33:03,7,show,Reviewer : EU-Indonesia Prospective Strategic Cooperation in Combating Terrorism: Best Practice between the Two,45191,2022-09-26 01:33:03,2022-09-26 01:33:03,1187,public,http://repository.lppm.unila.ac.id/id/eprint/45191,unpub,"[{'placement': 1, 'security': 'public', 'eprintid': 45191, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 486672, 'hash': '53be07de855948a233c395edc677d757', 'filename': 'EU.pdf', 'mtime': '2022-09-23 06:44:48', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 487891, 'objectid': 167142, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486672'}], 'docid': 167142, 'main': 'EU.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167142', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",-,['FISIP8'],other,disk0/00/04/51/91,,"[{'name': {'lineage': None, 'family': 'Iwan', 'honourific': None, 'given': 'Sulistiyo'}}]",,,,,,,,,,,,,,,,
15,['H1'],,archive,2022-09-26 01:33:07,7,show,Reviewer : GEOPOLITICAL STRUCTURES DAN GEOPOLITICAL AGENTS PADA HUBUNGAN INTERNASIONAL DI ASIA TENGGARA DALAM KONTEKS KERJA SAMA INDO-PASIFIK,45193,2022-09-26 01:33:07,2022-09-26 01:33:07,1187,public,http://repository.lppm.unila.ac.id/id/eprint/45193,unpub,"[{'eprintid': 45193, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 167144, 'main': 'Geo.pdf', 'files': [{'objectid': 167144, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486686', 'mime_type': 'application/pdf', 'fileid': 486686, 'filename': 'Geo.pdf', 'hash': '96211f5f630967c9f3e0f1050c164f01', 'hash_type': 'MD5', 'mtime': '2022-09-23 07:01:52', 'datasetid': 'document', 'filesize': 492166}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167144', 'rev_number': 1}]",-,['FISIP8'],other,disk0/00/04/51/93,,"[{'name': {'honourific': None, 'family': 'Iwan', 'lineage': None, 'given': 'Sulistiyo'}}]",,,,,,,,,,,,,,,,
16,['H1'],,archive,2022-09-26 01:33:11,7,show,"Reviewer : Maritime Security in Southeast Asia: Facing the Threats, Securing the Ocean",45196,2022-09-26 01:33:11,2022-09-26 01:33:11,1187,public,http://repository.lppm.unila.ac.id/id/eprint/45196,unpub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/167147', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/486707', 'objectid': 167147, 'filesize': 633500, 'datasetid': 'document', 'mtime': '2022-09-23 07:22:34', 'hash_type': 'MD5', 'hash': '58e97b58b4c07e202e3971c0fc41d779', 'filename': 'Maritime.pdf', 'fileid': 486707, 'mime_type': 'application/pdf'}], 'main': 'Maritime.pdf', 'docid': 167147, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 45196}]",-,['FISIP8'],other,disk0/00/04/51/96,,"[{'name': {'given': 'Sulistiyo', 'honourific': None, 'family': 'Iwan', 'lineage': None}}]",,,,,,,,,,,,,,,,
17,['H1'],,archive,2022-09-23 04:05:26,7,show,"Reviewer : Pamswakarsa dalam Konflik Agraria di Lampung: antara Kepentingan Perusahaan, Negara, dan Masyarakat",45183,2022-09-23 04:05:26,2022-09-23 04:05:26,1187,public,http://repository.lppm.unila.ac.id/id/eprint/45183,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45183, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167133', 'docid': 167133, 'main': 'Pamswakarsa.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 486575, 'filename': 'Pamswakarsa.pdf', 'hash': 'e6c966e84214c71254ad7bffb306941c', 'mtime': '2022-09-23 03:54:00', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 700271, 'objectid': 167133, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486575'}]}]",Badan Penelitian dan Pengembangan Daerah Provinsi Lampung,['FISIP8'],other,disk0/00/04/51/83,,"[{'name': {'given': 'Sulistiyo', 'honourific': None, 'family': 'Iwan', 'lineage': None}}]",,,,,,,,,,,,,,,,
18,['H1'],,archive,2022-09-26 01:32:41,7,show,Reviewer : STRATEGI PEMERINTAH KOTA BANDARLAMPUNG - INDONESIA TERKAIT PERUBAHAN IKLIM PADA 2015-2020,45185,2022-09-26 01:32:41,2022-09-26 01:32:41,1187,public,http://repository.lppm.unila.ac.id/id/eprint/45185,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 45185, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 716728, 'mime_type': 'application/pdf', 'fileid': 486612, 'filename': 'Strategi.pdf', 'hash': '21eb1e38c55ac877ba62a288a0fddaa6', 'hash_type': 'MD5', 'mtime': '2022-09-23 04:04:56', 'objectid': 167135, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486612'}], 'main': 'Strategi.pdf', 'docid': 167135, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167135', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",FISIP Unila,['FISIP8'],other,disk0/00/04/51/85,,"[{'name': {'honourific': None, 'family': 'Iwan', 'lineage': None, 'given': 'Sulistiyo'}}]",,,,,,,,,,,,,,,,
19,['H1'],,archive,2022-09-26 01:33:13,7,show,Reviewer : The Role of Local Government on Human Rights City and SDGs through Post-NPM Perspective: Best Practice of Bandar Lampung City of Indonesia,45197,2022-09-26 01:33:13,2022-09-26 01:33:13,1187,public,http://repository.lppm.unila.ac.id/id/eprint/45197,unpub,"[{'placement': 1, 'security': 'public', 'eprintid': 45197, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/486714', 'objectid': 167148, 'hash': 'deb39008b42d54fd29b9968c13b274a2', 'filename': 'Therole.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-23 07:24:16', 'mime_type': 'application/pdf', 'fileid': 486714, 'filesize': 696352, 'datasetid': 'document'}], 'docid': 167148, 'main': 'Therole.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167148', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",-,['FISIP8'],other,disk0/00/04/51/97,,"[{'name': {'given': 'Sulistiyo', 'lineage': None, 'family': 'Iwan', 'honourific': None}}]",,,,,,,,,,,,,,,,
20,['H1'],,archive,2022-09-23 04:04:53,7,show,Reviewer : Strategi Pemerintah Kota Bandarlampung- Indonesia terkait Perubahan Iklim pada 2015-2020,45174,2022-09-23 04:04:53,2022-09-23 04:04:53,1185,public,http://repository.lppm.unila.ac.id/id/eprint/45174,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 45174, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 167124, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486512', 'fileid': 486512, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-23 02:30:19', 'hash': '0bddefa1d6d143456a7776c662e8a79c', 'filename': 'Strategi.pdf', 'datasetid': 'document', 'filesize': 642494}], 'docid': 167124, 'main': 'Strategi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167124', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",FISIP Unila,['FISIP8'],other,disk0/00/04/51/74,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Iwan', 'given': 'Sulistiyo'}}, {'name': {'given': 'Karisma', 'lineage': None, 'family': 'Gita', 'honourific': None}}, {'name': {'given': 'Jaya W', 'honourific': None, 'family': 'Indra', 'lineage': None}}]",,,,,,,,,,,,,,,,
21,['H1'],,archive,2022-09-23 04:05:21,7,show,"Reviewer : A Review towards Theories, Concepts, Methods in International Relations, and Related International Legal Instruments for Conducting Research on Transnational Organized Crime",45181,2022-09-23 04:05:21,2022-09-23 04:05:21,1187,public,http://repository.lppm.unila.ac.id/id/eprint/45181,pub,"[{'docid': 167131, 'main': 'A Reviewer.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/486561', 'objectid': 167131, 'filesize': 833553, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-09-23 03:41:16', 'hash': '85b2d9f025f9a7e23e19c4ff12aca013', 'filename': 'A Reviewer.pdf', 'fileid': 486561, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167131', 'eprintid': 45181, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Atlantis Press,['FISIP8'],other,disk0/00/04/51/81,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Iwan', 'given': 'Sulistiyo'}}, {'name': {'given': 'Jaya W', 'lineage': None, 'family': 'Indra', 'honourific': None}}]",,,,,,,,,,,,,,,,
22,['JZ'],"Salah satu dimensi penting dari profesi/organisasi militer dan kemudian layak diterjemahkan ke dalam makna yang tepat oleh kepemimpinan dan organisasi sipil ialah kedisiplinan. Oleh sebab itu, memperkuat kompetensi kepemimpinan sipil (civilian leadership competency) secara perlahan di semua level pemerintahan tidak bisa dielakkan. Sebab, ia merupakan tumpuan untuk mewujudkan pengelolaan pemerintahan yang baik dan bersih secara menyeluruh. Makin demokratis Indonesia, tuntutan itu tentu kian meningkat.",archive,2018-06-21 01:51:51,13,show,Kompetensi Pemimpin Sipil,7284,2018-06-21 01:51:51,2018-06-21 01:51:51,1187,public,http://repository.lppm.unila.ac.id/id/eprint/7284,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 7284, 'mime_type': 'image/png', 'language': 'en', 'files': [{'mtime': '2018-06-18 08:28:30', 'hash_type': 'MD5', 'filename': 'Opini Lampost 5 Oktober 2017.png', 'hash': '89e8f1d5bf02486bcfe862f4e3cf42a9', 'fileid': 66024, 'mime_type': 'image/png', 'filesize': 1416018, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/66024', 'objectid': 20331}], 'docid': 20331, 'main': 'Opini Lampost 5 Oktober 2017.png', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20331', 'rev_number': 1, 'pos': 1, 'format': 'image'}, {'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/66027', 'objectid': 20332, 'filesize': 52386, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-06-18 08:28:50', 'filename': 'berita-kompetensi-pemimpin-sipil', 'hash': 'ee71f52264aae56c0d4242001f89e17c', 'fileid': 66027, 'mime_type': 'text/html'}], 'docid': 20332, 'main': 'berita-kompetensi-pemimpin-sipil', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20332', 'rev_number': 3, 'format': 'image', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 7284, 'content': 'published', 'mime_type': 'text/html', 'language': 'en'}]",,['FISIP8'],article,disk0/00/00/72/84,,"[{'name': {'given': 'Iwan', 'lineage': None, 'honourific': None, 'family': 'Iwan Sulistyo'}, 'id': 'iwsulistyo@gmail.com'}]",Kompetensi Pemimpin Sipil,,FALSE,,,,,,,,,,,"[{'id': 'iwsulistyo@gmail.com', 'name': {'given': 'Iwan', 'family': 'Iwan Sulistyo', 'honourific': None, 'lineage': None}}]",,
23,['JZ'],"Lampung's tourism has high potency. It needs attention and priority to increase the competitiveness of Lampung tourist destinations. On average, foreign tourists who come to Lampung come from Australia and the Netherlands, who are interested in surfing attractions on Pisang Island. Besides the high undulating beaches tourists for surfing, foreign tourists also enjoy visiting Way Kambas National Park and the iconic Mount Anak Krakatau tourism. Data on tourist visits in 2018 shows high foreign tourist interest in coastal and natural attractions in Lampung. However, the tourism potential is not optimal considering that the tourism sector has not been prioritized as a strategic sector that can support the improvement of community welfare. This study aims to examine the opportunities and challenges in the initiation of tourism cooperation between Lampung and Australia, in order to increase competitiveness and optimize the tourism sector in the Lampung region as a source of community economic activity. Data obtained by using literacy studies and interviews. The output target to be achieved is a study of opportunities and challenges in initiating the initiation of cooperation in the regional tourism sector with the Australian government as one of Lampung's foreign partners.",archive,2023-05-19 09:45:57,6,show,Lampung-Australia Tourism Cooperation: Opportunities And Challenges,51870,2023-05-19 09:45:57,2023-05-19 09:45:57,2803,public,http://repository.lppm.unila.ac.id/id/eprint/51870,unpub,"[{'main': 'artikel ulicoss fix.docx', 'docid': 250866, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/614535', 'objectid': 250866, 'mtime': '2023-05-19 09:02:54', 'hash_type': 'MD5', 'filename': 'artikel ulicoss fix.docx', 'hash': '58a07077ce41714a86bc1d2570832ee4', 'fileid': 614535, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'filesize': 33599, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250866', 'eprintid': 51870, 'security': 'public', 'placement': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en'}]",,['FISIP8'],article,disk0_bak/00/05/18/70,,"[{'id': None, 'name': {'lineage': None, 'family': 'Rahayu Lestari', 'honourific': None, 'given': 'Ayu'}}, {'id': 'tety.rachmawati@fisip.unila.ac.id', 'name': {'given': 'Tety', 'honourific': None, 'family': 'Tety Rachmawati', 'lineage': None}}]",Lampung-Australia Tourism Cooperation: Opportunities And Challenges,,FALSE,,,,,,,,,,,,,
