,related_url,status_changed,title,metadata_visibility,volume,rev_number,userid,pagerange,documents,refereed,uri,full_text_status,creators,issn,publication,dir,eprint_status,abstract,subjects,official_url,eprintid,date_type,corp_creators,lastmod,datestamp,publisher,number,ispublished,type,divisions,id_number,date,pres_type,event_title,event_location,event_dates,event_type,contributors
10,,2021-11-13 02:19:19,The Development of Computer Based Test Instruments using Wondershare Quiz Creator to Measure HOTS in Temperature and Heat,show,22.0,6,44,45-51,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 36604, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/157516', 'rev_number': 1, 'main': 'Isna dkk.pdf', 'docid': 157516, 'files': [{'mtime': '2021-11-12 23:27:15', 'hash_type': 'MD5', 'filename': 'Isna dkk.pdf', 'hash': '8df80c2327ce8256fe3c9240c7a3b1ba', 'fileid': 421891, 'mime_type': 'application/pdf', 'filesize': 309612, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/421891', 'objectid': 157516}]}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/36604,public,"[{'id': None, 'name': {'given': 'Isna', 'family': 'Istikomah', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Suyatna', 'given': 'Agus'}, 'id': 'asuyatna@yahoo.com'}, {'id': 'viyanti.1980@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Viyanti', 'given': 'Viyanti'}}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Andra', 'given': 'Doni'}}]",1411-2531,Jurnal Pendidikan MIPA,disk0/00/03/66/04,archive,"This study aims to develop a computer-based test instrument using the valid Wondershare Quiz Creator (WQC) to measure HOTS in temperature and heat material. This study uses research and development research methods and the research design used refers to the research design by Borg & Gall. Data analysis was performed by means of internal validation tests by a team of experts. This test instrument has been tested by experts consisting of the material validation test with a score of 3.10 (valid), construction with a score of 2.88 (valid), and language with a score of 3.63 (very valid). The CBT setting on this product is also very valid with an average score of 3.68. The sig value of the difference in the level of validity and complexity in the types of multiple choice, multiple response, matching, and sequence items obtained was> 0.05, which indicates that there was no difference in the average validity and complexity between the four types of questions at each cognitive level",['L1'],http://jurnal.fkip.unila.ac.id/index.php/jpmipa/index,36604,published,['Universitas Lampung'],2021-11-13 02:19:19,2021-11-13 02:19:19,Jurusan Pendidikan MIPA,1.0,pub,article,['FKIP9'],http://dx.doi.org/10.23960/jpmipa/v22i1.pp45-51,2021-04-22 00:00:00.000000000,,,,,,
11,,2021-11-13 02:19:23,Augmented Reality (AR) in Physics Learning: Opportunities to Improve Teacher and Student Interaction in Online Learning,show,4.0,6,44,145-157,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/157517', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash': '71fa942cac22df72191b66e8159d04a1', 'filename': 'Siti Nurhasanah dkk.pdf', 'mtime': '2021-11-12 23:38:10', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 421897, 'filesize': 382299, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/421897', 'objectid': 157517}], 'docid': 157517, 'main': 'Siti Nurhasanah dkk.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 36605}]",FALSE,http://repository.lppm.unila.ac.id/id/eprint/36605,public,"[{'id': None, 'name': {'family': 'Nurhasanah', 'honourific': None, 'lineage': None, 'given': 'Siti'}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'lineage': None, 'honourific': None, 'family': 'Abdurrahman'}}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'given': 'Doni', 'family': 'Andra', 'honourific': None, 'lineage': None}}, {'id': 'kkartini.herlina@gmail.com', 'name': {'given': 'Kartini', 'lineage': None, 'honourific': None, 'family': 'Herlina'}}]",2615-8639,Indonesian Journal of Science and Mathematics Education,disk0/00/03/66/05,archive,"This study aims to describe the views of teachers and students in Islamic schools regarding Augmented Reality (AR) assisted learning to facilitate student involvement in learning, as well as increase teacher-student interactions in the learning process during the Covid-19 pandemic. This study uses a mixed method with a qualitative-quantitative explanatory design. The data collection technique used a questionnaire involving 31 respondents, 3 teachers, and 3 students as resource persons in three Islamic high schools in Lampung Province. The results of the study show that AR-assisted methods have the potential to increase teacher-student interaction by implementing a Learning Management System (LMS) that suits their needs and learning facilities. The results also show that AR provides an effective learning experience, because it displays 3D images so that it is easily accepted by students and makes students interested in learning during online learning. Therefore, the use of AR in learning has the opportunity to increase learning interactions between teachers and students.",['L1'],http://103.88.229.8/index.php/IJSME/index,36605,published,['Universitas Lampung'],2021-11-13 02:19:23,2021-11-13 02:19:23,Unit Riset dan Publikasi Ilmiah FTK UIN Raden Intan Lampung,2.0,pub,article,['FKIP9'],https://doi.org/10.24042/ijsme.v4i2.8486,2021-07-31 00:00:00.000000000,,,,,,
12,[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012086'}],2021-06-02 01:07:47,The development physics e-module based PBL–Integrated STEM to improve higher-order thinking skills on static fluid material,show,1796.0,6,44,012086-1-012086-6,"[{'placement': 1, 'security': 'public', 'eprintid': 31621, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 143221, 'uri': 'http://repository.lppm.unila.ac.id/id/file/374769', 'datasetid': 'document', 'filesize': 840096, 'fileid': 374769, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-01 13:27:05', 'filename': 'Pane_2021_J._Phys.__Conf._Ser._1796_012086.pdf', 'hash': 'e170e1aabf08ca0a29bd6721d71fc5a5'}], 'docid': 143221, 'main': 'Pane_2021_J._Phys.__Conf._Ser._1796_012086.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/143221', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/31621,public,"[{'name': {'given': 'Ayu Novitasari', 'family': 'Pane', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Andra', 'given': 'Doni'}}, {'id': 'wayandistrik8@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Distrik', 'given': 'I Wayan'}}]",Print : 1742-6588 Online : 1742-6596,Journal of Physics: Conference Series,disk0/00/03/16/21,archive,"One of the skills of the 21st-century in the era of the industrial revolution 4.0, namely higher-order thinking skills. According to TIMSS, high-level thinking skills in Indonesia are still low. Teaching materials that do not contain 21st-century skills will have an impact on the effectiveness of achieving competence in learning. This study aims to analyze the need for e-modules as teaching materials and to determine the teacher's response to the STEM integrated e-module. This research uses mixed methods. This research was conducted in several high schools in the Lampung area with 20 physics subject teachers as the research subjects. Data collection techniques using questionnaires and interviews. The object of this research is high-level thinking, Problem Based Learning model, and STEM integrated e-module analysis. The results showed that teachers need e-modules as a learning resource that is integrated with STEM to improve higher-order thinking skills. The e-module is expected to be a learning resource that can integrate text, animation, video, and audio and can explain abstract concepts in physics learning. So, in further research, an e-module based on Problem Based Learning with STEM integration can be developed to improve high-level thinking skills.",['L1'],https://iopscience.iop.org/journal/1742-6596,31621,published,['Universitas Lampung'],2021-06-02 01:07:47,2021-06-02 01:07:47,IOP Publishing,12086.0,pub,article,['FKIP9'],10.1088/1742-6596/1796/1/012086,1970-01-01 00:00:00.000002021,,,,,,
13,[{'url': 'http://103.88.229.8/index.php/IJSME/article/view/8452'}],2021-06-02 01:08:11,Students’ Digital Literacy and Collaboration Abilities: An Analysis in Senior High School Students,show,4.0,6,44,48-57,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 31627, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/143259', 'rev_number': 1, 'main': '8452-28091-1-PB_Lilis.pdf', 'docid': 143259, 'files': [{'filesize': 352474, 'datasetid': 'document', 'filename': '8452-28091-1-PB_Lilis.pdf', 'hash': '8bde725aaa6d999ff22253ac1f5c3a6e', 'hash_type': 'MD5', 'mtime': '2021-06-01 13:58:40', 'mime_type': 'application/pdf', 'fileid': 374854, 'uri': 'http://repository.lppm.unila.ac.id/id/file/374854', 'objectid': 143259}]}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/31627,public,"[{'id': None, 'name': {'given': 'Lilis', 'lineage': None, 'honourific': None, 'family': 'Purnamasari'}}, {'id': 'kkartini.herlina@gmail.com', 'name': {'given': 'Kartini', 'lineage': None, 'family': 'Herlina', 'honourific': None}}, {'id': 'wayandistrik8@gmail.com', 'name': {'given': 'I Wayan', 'family': 'Distrik', 'honourific': None, 'lineage': None}}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'family': 'Andra', 'honourific': None, 'lineage': None, 'given': 'Doni'}}]",2615-8639,Indonesian Journal of Science and Mathematics Education,disk0/00/03/16/27,archive,"This study aims to describe and analyze the level of digital literacy and collaboration skills of students. The research method used a quantitative descriptive survey with a research instrument in the form of a questionnaire. The study involved 10 physics teachers and 105 high school students in Lampung Province. The results showed that the digital literacy of students was in the sufficient category with the achievement percentage of 54.68%, while the collaborative abilities of students were in the poor category with the achievement percentage of 39.17%. Digital literacy has not been maximally achieved and the ability to collaborate in students is influenced by the lack of efforts of students to use the internet as a learning resource and the lack of student-centered learning.",['L1'],http://103.88.229.8/index.php/IJSME/index,31627,published,['Universitas Lampung'],2021-06-02 01:08:11,2021-06-02 01:08:11,Unit Riset dan Publikasi Ilmiah FTK UIN Raden Intan Lampung,1.0,pub,article,['FKIP9'],10.24042/ijsme.v4i1.8452,2021-03-31 00:00:00.000000000,,,,,,
14,,2021-11-11 01:11:04,The Development of STEM-integrated LOIS Learning Unit for Enhancing Students’ Direct Current Concept Understanding,show,22.0,7,435,23-34,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/156738', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/415997', 'objectid': 156738, 'filesize': 275864, 'datasetid': 'document', 'mtime': '2021-11-10 07:52:55', 'hash_type': 'MD5', 'filename': '4. 21801-53469-2-PB-erlita-abe.pdf', 'hash': 'c6f7b313d541b3933ff76edc0eeedd8b', 'fileid': 415997, 'mime_type': 'application/pdf'}], 'docid': 156738, 'main': '4. 21801-53469-2-PB-erlita-abe.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 35791}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/35791,public,"[{'name': {'given': 'Erlita Yuani', 'lineage': None, 'family': 'Putri', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'kkartini.herlina@gmail.com', 'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'honourific': None, 'family': 'Andra', 'lineage': None, 'given': 'Doni'}}]","2550-1313 (online), 2087-9849 (print)",Jurnal Pendidikan MIPA,disk0/00/03/57/91,archive,"This study developed the Science, Technology, Engineering & Mathematics (STEM)-integrated Learning of Inquiry Sequences (LOIS) learning unit for students in understanding the direct current concept. Learning unit met the valid, practical, and effective criteria. The validity shows the content validity & construct validity, the practicality shows the ease of use & positive response from students, the effectivity shows the achievement of learning objectives namely improvement in understanding the direct current concept. This study used a 4-D learning unit development model namely (define, design, development, and disseminate stages). This study was included in a quasi-experiment study with one group pretest and posttest design. Data were analyzed using descriptive analysis. Based on the results, the mean of content validity was 3.76 and construct validity was 3.75 with very valid criteria. Then, the mean of the learning unit implementation in class was 0.92 and a positive response from students in the class was 0.97 with very practical criteria. Based on paired sample t-test (tcalculation = 23.291 > ttable = 2.03011) and the N-Gain value was 0.80 (high gain) showed that the LOIS learning implementation was effective to engage students in the classroom activities.",['L1'],http://jurnal.fkip.unila.ac.id/index.php/jpmipa/article/view/21801,35791,,,2021-11-11 01:11:04,2021-11-11 01:11:04,,1.0,pub,article,['FKIP9'],,2021-03-25 00:00:00.000000000,,,,,,
15,"[{'url': 'http://ejournal.radenintan.ac.id/index.php/IJSME/article/view/8572', 'type': 'pub'}]",2021-11-06 14:00:14,"INSTRUMENT OF CREATIVE THINKING SKILLS IN PROJECT
BASED LEARNING PHYSICS",show,4.0,5,1075,58-68,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/35337,none,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Utama', 'given': 'Aldi Setia'}, 'id': None}, {'id': 'undangros@yahoo.com', 'name': {'lineage': None, 'family': 'Rosidin', 'honourific': None, 'given': 'Undang'}}, {'name': {'honourific': None, 'family': 'Suyatna', 'lineage': None, 'given': 'Agus'}, 'id': 'asuyatna@yahoo.com'}]",2615-8639,Indonesian Journal of Science and Mathematics Education,disk0/00/03/53/37,archive,"To identify students’ creative thinking skills, appropriate
instrument is needed. This study aimed to produce a valid creative thinking skills instrument. From several relevant studies, they only focus their research on developing skills instruments using a 4-D model approach and problem solving, while this research uses a project-based pursuit approach. The results of the validation of the three validators covering aspects of construction, substance, and language, revealed that the average score of the validation results
for the construction aspects was 83% which was considered very valid. The average score of the validation results on the substance aspect is 86% with very valid criteria, and in the language aspect itreaches 85% with very valid criteria. Accordingly, this instrument of creative thinking skills is said to have been qualified with very decent and excellent quality for use in learning in schools to help teachers to assess students’ creative thinking skills",['L1'],http://ejournal.radenintan.ac.id/index.php/IJSME/article/view/8572,35337,published,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2021-11-06 14:00:14,2021-11-06 14:00:14,Unit Riset dan Publikasi Ilmiah FTK UIN Raden Intan Lampung,1.0,pub,article,['FKIP9'],10.24042/ijsme.v4i1.8572,2021-03-01 00:00:00.000000000,,,,,,"[{'name': {'lineage': None, 'family': 'Suyatna', 'honourific': None, 'given': 'Agus'}, 'id': 'agus.suyatna@fkip.unila.ac.id'}]"
16,[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012079/meta'}],2021-06-02 01:07:56,The need analysis of using physic e-module based PjBL– integrated STEM: The preliminary study research as a solution to improve problem-solving skills on light refraction material,show,1796.0,6,44,012079-1-012079-6,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 31622, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/143228', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/374789', 'objectid': 143228, 'hash_type': 'MD5', 'mtime': '2021-06-01 13:34:32', 'filename': 'Widiyanto_2021_J._Phys.__Conf._Ser._1796_012079.pdf', 'hash': 'd206dcad279eaa0d0eff2620545fab8c', 'fileid': 374789, 'mime_type': 'application/pdf', 'filesize': 1051762, 'datasetid': 'document'}], 'main': 'Widiyanto_2021_J._Phys.__Conf._Ser._1796_012079.pdf', 'docid': 143228}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/31622,public,"[{'name': {'given': 'Retno', 'family': 'Widiyanto', 'honourific': None, 'lineage': None}, 'id': 'retnowidiyanto@gmail.com'}, {'name': {'given': 'Kartini', 'lineage': None, 'honourific': None, 'family': 'Herlina'}, 'id': 'kkartini.herlina@gmail.com'}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'family': 'Andra', 'honourific': None, 'lineage': None, 'given': 'Doni'}}]",Print : 1742-6588 Online : 1742-6596,Journal of Physics: Conference Series,disk0/00/03/16/22,archive,"This study aimed to determine the need for the development of an E-Module based on PjBL-integrated STEM as a learning resource for students on light refraction material. The research used mixed methods, which consisted of qualitative data and quantitative data. This research involved 76 respondents spread across several schools in Lampung Province. Based on the preliminary study conducted, it was known that the majority of students want to use STEM-integrated PjBL-based E-Modules as a learning resource with a percentage of 61.9%, while the use of E-Modules as a learning resource used by teachers is still low at only 9.5 %. The preliminary study also saw that the E-Module that was developed later could measure problem-solving abilities with a percentage of 52.4%. Based on this, the use of E-Modules as a learning resource is needed by students, so it is necessary to conduct a needs analysis for the development of an E-Module based on STEM integrated PjBL to improve problem-solving abilities in light refraction material.",['L1'],https://iopscience.iop.org/journal/1742-6596,31622,published,['Universitas Lampung'],2021-06-02 01:07:56,2021-06-02 01:07:56,IOP Publishing,12079.0,pub,article,['FKIP9'],10.1088/1742-6596/1796/1/012079,1970-01-01 00:00:00.000002021,,,,,,
17,,2021-11-11 01:11:15,"Physics teachers’ perceptions and anxieties about
the use of technology-integrated learning
resources on magnetic field material: A preliminary
research on augmented reality-integrated STEM
learning",show,1796.0,7,435,,"[{'eprintid': 35796, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '8. Widyanti_2021_J._Phys.__Conf._Ser._1796_012082.pdf', 'docid': 156743, 'files': [{'objectid': 156743, 'uri': 'http://repository.lppm.unila.ac.id/id/file/416034', 'mime_type': 'application/pdf', 'fileid': 416034, 'hash': 'cbc3673d2f892cb3dccb8b0399cf21fb', 'filename': '8. Widyanti_2021_J._Phys.__Conf._Ser._1796_012082.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-10 08:10:35', 'datasetid': 'document', 'filesize': 652984}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156743'}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/35796,public,"[{'name': {'given': 'Reny', 'lineage': None, 'honourific': None, 'family': 'Widyanti'}, 'id': None}, {'name': {'given': 'Abdurrahman', 'lineage': None, 'honourific': None, 'family': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'kkartini.herlina@gmail.com', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}, {'id': None, 'name': {'lineage': None, 'family': 'Zahara', 'honourific': None, 'given': 'Maretha'}}, {'name': {'lineage': None, 'family': 'Agustina', 'honourific': None, 'given': 'L'}, 'id': None}]",Print : 1742-6588 Online : 1742-6596,Journal of Physics: Conference Series,disk0/00/03/57/96,archive,"The educational world development faces the challenges of the 21st-century where technology plays an important role in learning so that technology-integrated teaching material is
needed. The subjects of this study were 48 physics subject teachers in several schools in Lampung province. The research method used was a mixed method. The data was collected using questionnaires and interviews. The results of the study revealed that the teachers have never
made learning resources assisted by the integration between STEM and augmented reality technology. The teachers also revealed that they were anxious that the learning resources that they will use cannot fully meet the competency standards if they are not equipped with learning technology that supports the abstract concepts learning. Thus, the teachers expected technology ssisted learning resources in which texts, images, 3D animations, and videos can be integrated. For further researchers, it is necessary to develop STEM learning resources assisted by augmented reality technology.",['L1'],https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012082/meta,35796,published,,2021-11-11 01:11:15,2021-11-11 01:11:15,IOP Publishing,1.0,pub,article,['FKIP9'],,2021-03-25 00:00:00.000000000,,,,,,
18,[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1869/1/012156/meta'}],2021-06-02 01:08:48,The relativistic mass accretion rate for accretion disk in the equatorial of rapidly rotating neutron stars,show,1869.0,7,44,012156-1-012156-6,"[{'eprintid': 31650, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 143356, 'main': 'Yasrina_2021_J._Phys.__Conf._Ser._1869_012156.pdf', 'files': [{'filename': 'Yasrina_2021_J._Phys.__Conf._Ser._1869_012156.pdf', 'hash': 'd58b32e4fed0840e67b27d370b100254', 'hash_type': 'MD5', 'mtime': '2021-06-02 00:45:44', 'mime_type': 'application/pdf', 'fileid': 375059, 'filesize': 1037915, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/375059', 'objectid': 143356}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/143356', 'rev_number': 1}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/31650,public,"[{'name': {'family': 'Yasrina', 'honourific': None, 'lineage': None, 'given': 'Atsnaita'}, 'id': 'atsnaita.yasrina.fmipa@um.ac.id'}, {'id': None, 'name': {'family': 'Widianingrum', 'honourific': None, 'lineage': None, 'given': 'N'}}, {'name': {'lineage': None, 'family': 'Risdianto', 'honourific': None, 'given': 'N S'}, 'id': None}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'family': 'Andra', 'honourific': None, 'lineage': None, 'given': 'Doni'}}, {'name': {'family': 'Pramono', 'honourific': None, 'lineage': None, 'given': 'N A'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Fajrin', 'lineage': None, 'given': 'A'}}]",Print : 1742-6588 Online : 1742-6596,Journal of Physics: Conference Series,disk0/00/03/16/50,archive,"The accretion process occurs when neutron stars are in a binary system. The hypothesis says that accretion reduces the magnetic field in a neutron star. The correlation between accretion and decrease in the magnetic field is indicated by the magnitude of the magnetic field dynamics and the mass accretion rate. The purpose of this research is to formulate the mass rate of accretion in rapidly rotating neutron stars. The accretion disc is assumed to be at the equator. The method used is theoretical-mathematical analysis. The quantities to be summarized are the Killing vector, 4-vector velocity, the angular velocity, and the Lorentz gamma factor derived from the metric. The metric used is a rapidly rotating neutron star. The rate of mass accretion is calculated from these quantities and the equation for mass sustainability. The equation of mass accretion rate is derived from these variables and the mass conservation equation. The equation of mass accretion rate is affected by the radial velocity of accretion flows and distance between matter and center of a neutron star. The result obtained is covariant with the equation of mass accretion rate for Kerr black holes. The results obtained can provide a dynamic equation for the magnetic field to produce an equation for the decrease in the magnetic field in a rapidly rotating neutron star.",['L1'],https://iopscience.iop.org/journal/1742-6596,31650,published,"['Universitas Negeri Malang', 'Universitas Lampung']",2021-06-02 01:08:48,2021-06-02 01:08:48,IOP Publishing,12156.0,pub,article,['FKIP9'],10.1088/1742-6596/1869/1/012156,1970-01-01 00:00:00.000002021,,,,,,
19,"[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012002/pdf', 'type': 'pub'}]",2021-11-06 13:59:03,"STEM-based physics multimedia design for stimulating HOTS
on water and wind energy topic: Physics teacher perception",show,1796.0,6,1075,1-9,"[{'files': [{'objectid': 156120, 'uri': 'http://repository.lppm.unila.ac.id/id/file/412254', 'datasetid': 'document', 'filesize': 814634, 'fileid': 412254, 'mime_type': 'application/pdf', 'mtime': '2021-11-06 12:04:26', 'hash_type': 'MD5', 'hash': '8b97a1104097c7197e9ed46468f7c1cd', 'filename': 'Diansah_2021_J._Phys.__Conf._Ser._1796_012002.pdf'}], 'main': 'Diansah_2021_J._Phys.__Conf._Ser._1796_012002.pdf', 'docid': 156120, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156120', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 35320, 'language': 'en', 'mime_type': 'application/pdf'}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/35320,public,"[{'name': {'given': 'irani', 'honourific': None, 'family': 'diansah', 'lineage': None}, 'id': None}, {'id': 'asuyatna@yahoo.com', 'name': {'honourific': None, 'family': 'Suyatna', 'lineage': None, 'given': 'Agus'}}, {'id': 'viyanti.1980@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Viyanti', 'lineage': None, 'given': 'Viyanti'}}]",Print : 1742-6588 Online : 1742-6596,Journal of Physics: Conference Series,disk0/00/03/53/20,archive,"Abstract. The aims of this research is to design a STEM Based Physics Multimedia Design for stimulating HOTS on water and wind energy topic. The method in this research is Research and Development using the ADDIE model from Reiser and Mollenda, which consists of five stages, specifically: analysis, design, development, implementation, and evaluation stages. This study describes the results up to the Analyze and Design stages by descriptive qualitative analysis. Design Stage made with sheet validation by the practitioner using a Likert scale Validator product design consisting of ten professional physics teachers with qualifications Master of Physical Education. The research results obtained that it is needed the development of STEM-
Based Multimedia Design for Stimulating HOTS on Water and Wind Energy topic. The multimedia design that has the potential to stimulate HOTS on the water and wind energy
materes consists of videos and animation of water and wind energy power plants that contain all components of STEM. Because the design was obtained valid to used, so, further research to develop STEM-based multimedia for stimulating HOTS on water and wind energy materials is needed.",['LB1603'],doi:10.1088/1742-6596/1796/1/012002,35320,published,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2021-11-06 13:59:03,2021-11-06 13:59:03,IOP Publishing,2021.0,pub,article,['FKIP9'],doi:10.1088/1742-6596/1796/1/012002,1970-01-01 00:00:00.000002021,,,,,,"[{'id': 'agus.suyatna@fkip.unila.ac.id', 'name': {'family': 'Suyatna', 'honourific': None, 'lineage': None, 'given': 'Agus'}}]"
