,subjects,abstract,status_changed,eprint_status,rev_number,volume,metadata_visibility,title,date_type,eprintid,datestamp,lastmod,userid,uri,full_text_status,refereed,number,ispublished,documents,publisher,divisions,type,dir,date,publication,issn,creators,pagerange,official_url,event_type,event_dates,event_title,event_location,pres_type,corp_creators,id_number,related_url,contributors,place_of_pub,succeeds,referencetext,note,keywords,contact_email
10,['L1'],"The student worksheet that is currently used generally contain material and questions. A student worksheet is only used on certain materials, so it has not been an effective teaching material. This research aims to develop guided inquiry-based worksheets to improve the ability of Scientific literacy in straight-motion material. The method used in this study is research and development. The research design used in this development refers to Lee and Owens with stages consisting of analyzing, design, development, implementation, evaluation. The worksheet developed has very 
high validity. This can be seen based on the average score on the material expert test of 0.90 with very high validity criteria and the design expert test obtained an average 
score of 0.90 with very high validity criteria. Based on the readability test obtained an average score of 0.85 with a very good category. The worksheets developed have been 
able to improve students' scientific literacy abilities. This can be seen from the n-gain test results of 0.8 with high criteria, and sig values. in the paired sample t-test of 0,000. Teachers and students also give a good response to the worksheet. The conclusions of this study are valid guided inquiry-based worksheets to improve students' literacy skills.",2022-12-28 07:24:58,archive,8,,show,Development and Validation of students’ Worksheet Based on Guided-Inquiry to Improve Students’ Scientific Literacy Skills of Junior High School on Straight Motion Concept,published,47503,2022-12-28 07:24:58,2022-12-28 07:24:58,884,http://repository.lppm.unila.ac.id/id/eprint/47503,public,TRUE,,pub,"[{'eprintid': 47503, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 186560, 'main': '11-2020.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 520845, 'filename': '11-2020.pdf', 'hash': '3d9db2ae99e44494a38a9ff0419f93db', 'hash_type': 'MD5', 'mtime': '2022-12-27 06:48:47', 'datasetid': 'document', 'filesize': 448336, 'objectid': 186560, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520845'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186560'}]",,['FKIP9'],conference_item,disk0_bak/00/04/75/03,1970-01-01 00:00:00.000002020,,,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}]",1-7,https://iopscience.iop.org/article/10.1088/1742-6596/1467/1/012073/meta,conference,"September 22-23, 2020",Young Scholar Symposium on Science Education and Environment,Bandar Lampung,paper,['Universitas Lampung'],,"[{'type': 'pub', 'url': 'https://iopscience.iop.org/journal/1742-6596'}]",,,,,,,
11,['L1'],"In the 21st century, the required human resources must be of high quality and possess high-level thinking skills, including critical, creative, innovative. Thus, the teacher's role is needed to develop these skills in preparing appropriate learning. The design of a learning plan must be able to accommodate the needs associated with the learning process in class. Activities undertaken as well as the results to be achieved through indicators of
achievement must be fully reflected in the learning plans. This research was conducted to analyze teacher perceptions of STEM learning to improve understanding of diffraction
concepts. The research method used qualitative methods. Data obtained from document analysis and in-depth interviews. This study involved 75 respondents/educators in physics who
were scattered throughout the region in Lampung Province. The results showed the tendency of teachers to still use conventional learning methods. This was identified from the learning implementation plan and student worksheets compiled by the teacher had not developed learning innovations that can train students improving the understanding of concepts. So in future research, it is necessary to develop teaching materials that are integrate with STEM, so that they can improve students conceptualization and skill.",2022-12-28 07:24:39,archive,7,,show,Exploring teacher perception about STEM learning material to foster students understanding of dispersion concept,published,47496,2022-12-28 07:24:39,2022-12-28 07:24:39,884,http://repository.lppm.unila.ac.id/id/eprint/47496,public,TRUE,,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186552', 'rev_number': 1, 'docid': 186552, 'main': '5-2020.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/520797', 'objectid': 186552, 'hash': 'e797195e30e7d9d5d85638a83cc8c088', 'filename': '5-2020.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 05:01:27', 'mime_type': 'application/pdf', 'fileid': 520797, 'filesize': 514985, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 47496, 'placement': 1, 'security': 'public'}]",,['FKIP9'],conference_item,disk0_bak/00/04/74/96,1970-01-01 00:00:00.000002020,,,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'family': 'Herlina', 'honourific': None, 'lineage': None, 'given': 'Kartini'}}]",1-9,https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012032/meta,conference,26-28 September 2019,"The 9th International Conference on Theoretical and Applied Physics (ICTAP) 26-28 September 2019, Bandar Lampung, Indonesia",Bandar Lampung,paper,['Universitas Lampung'],,"[{'url': 'https://iopscience.iop.org/journal/1742-6596', 'type': 'pub'}]",,,,,,,
12,['L1'],"Integrating active learning with traditional learning in the classroom can actually be done simply. However, teachers are still trying to find learning innovations so the learning 
process can be focused on each student. One of the learning models that can be used by teachers is flipped classroom. This study aims to analyze the perceptions and expectations of teachers towards the use of flipped classroom models for the learning process of physics. The research model used is a mixed-method with Sequential Explanatory Strategy. The study was conducted in high schools in the Lampung province with the subjects of the research were 60 physics teachers. Data collection used a four-point questionnaire instrument with Likert Scale and interviews. The results of the study showed that teachers had considerable expectations for the 
use of flipped classroom model. The flipped classroom learning model can help teachers to convey all the physics material easily so as students can understand the material, active, interest with physics, then communication and the relationship between teachers and students will increase. The flipped classroom model will work well if it is supported by appropriate media and teaching materials. The results of this study will be a reference for the next research.",2022-12-28 07:24:48,archive,8,,show,"Flipped classroom mode for geometry optics
teaching and learning: teachers’ perceptions and
expectations",published,47499,2022-12-28 07:24:48,2022-12-28 07:24:48,884,http://repository.lppm.unila.ac.id/id/eprint/47499,public,TRUE,,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186556', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/520825', 'objectid': 186556, 'hash_type': 'MD5', 'mtime': '2022-12-27 05:28:26', 'filename': '7-2020.pdf', 'hash': 'cc17793df1e64ed4cfc5469cc6b8f993', 'fileid': 520825, 'mime_type': 'application/pdf', 'filesize': 704395, 'datasetid': 'document'}], 'main': '7-2020.pdf', 'docid': 186556, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 47499}]",,['FKIP9'],conference_item,disk0_bak/00/04/74/99,1970-01-01 00:00:00.000002020,,,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'given': 'Kartini', 'lineage': None, 'honourific': None, 'family': 'Herlina'}}]",1-8,https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012033/meta,conference,26-28 September 2019,"The 9th International Conference on Theoretical and Applied Physics (ICTAP) 26-28 September 2019, Bandar Lampung, Indonesia",Bandar Lampung,paper,['Universitas Lampung'],,"[{'url': 'https://iopscience.iop.org/journal/1742-6596', 'type': 'pub'}]",,,,,,,
13,['L1'],"Weak learning process is one of the problems in education. 
Therefore, to create the ideal learning process, interactive teaching 
materials are needed to make student-centered learning.This study 
aims to describe and analyze teacher and student responses to the 
development of guided inquiry students worksheets, as well as see 
their effectiveness in growing critical thinking skills and student 
communication skills. The research method used is the Mix method 
with Research and Development type. The instrument used in the 
form of a feasibility questionnaire and tests of critical thinking 
skills and communication skills. Based on the research results 
obtained that the development of worksheets got very valid results 
from the validators, got very good responses from teachers and 
students and proven able to foster critical thinking and 
communication skills.",2022-12-27 03:47:47,archive,6,3.0,show,"GUIDED INQUIRY BASED STUDENTS’ WORKSHEET TO GROW 
STUDENTS’ CRITICAL THINKING AND COMMUNICATION 
SKILLS",published,47486,2022-12-27 03:47:47,2022-12-27 03:47:47,884,http://repository.lppm.unila.ac.id/id/eprint/47486,public,TRUE,1,pub,"[{'main': '2-2020.pdf', 'docid': 186542, 'files': [{'objectid': 186542, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520727', 'mime_type': 'application/pdf', 'fileid': 520727, 'hash': 'b12f74c1f5971c867739fd4d3cccf870', 'filename': '2-2020.pdf', 'mtime': '2022-12-27 03:21:26', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 706605}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186542', 'eprintid': 47486, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]","Unit Riset dan Publikasi Ilmiah, akultas Tarbiyah dan Keguruan, UIN Raden Intan Lampung",['FKIP9'],article,disk0_bak/00/04/74/86,2020-03-30 00:00:00.000000000,Indonesian Journal Of Science and Mathematics Education,2615-8639,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'given': 'Kartini', 'lineage': None, 'honourific': None, 'family': 'Herlina'}}]",18-26,http://103.88.229.8/index.php/IJSME/article/view/5146,,,,,,['Universitas Lampung'],10.24042/ijsme.v3i1.5146,"[{'type': 'pub', 'url': 'http://ejournal.radenintan.ac.id/index.php/IJSME/index'}]",,,,,,,
14,['L1'],"In recent years, the flipped classroom and STEM learning approach has become one of the interesting studies in Education. Various researches were conducted to determine their impact on learning. This research is a descriptive survey conducted to determine the needs of teachers and students about e-module with the STEM integrated flipped classroom. Data were collected using a questionnaire with 15 respondents who work as physics teachers in Lampung Province and 30 respondents from grade XI students in one of the high schools in Bandar Lampung. Based on the survey results, we concluded that (1) 86% of physics teachers stated that 
they needed a STEM-integrated flipped classroom e-module, and(2) 78% of students stated that they were interested in learning by using a STEM-integrated flipped classroom e-module. So it is clear that physics teachers and students in Lampung need e-modules with a flipped classroom approach and integrated STEM.",2022-12-28 07:24:14,archive,6,3.0,show,A Need Analysis Of Stem-Integrated Flipped Classroom E-Module To Improve Critical Thinking Skills,published,47489,2022-12-28 07:24:14,2022-12-28 07:24:14,884,http://repository.lppm.unila.ac.id/id/eprint/47489,public,TRUE,2,pub,"[{'files': [{'fileid': 520754, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 04:09:58', 'hash': '1898006c52ca3798263d7280fcfb48a8', 'filename': '3-2020.pdf', 'datasetid': 'document', 'filesize': 339188, 'objectid': 186545, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520754'}], 'main': '3-2020.pdf', 'docid': 186545, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186545', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47489, 'mime_type': 'application/pdf', 'language': 'en'}]","Unit Riset dan Publikasi Ilmiah, akultas Tarbiyah dan Keguruan, UIN Raden Intan Lampung",['FKIP9'],article,disk0_bak/00/04/74/89,2020-07-31 00:00:00.000000000,Indonesian Journal Of Science and Mathematics Education,2615-8639,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Herlina', 'lineage': None, 'given': 'Kartini'}}]",178-184,http://103.88.229.8/index.php/IJSME/article/view/6121,,,,,,['Universitas Lampung'],10.24042/ijsme.v3i2.6121,"[{'type': 'pub', 'url': 'http://ejournal.radenintan.ac.id/index.php/IJSME/index'}]",,,,,,,
15,['L1'],"The purpose of this study was to describe the perceptions of teachers and students related to the use of e-modules using the integrated STEM flipped classroom approach. The approach used was a STEM-integrated flipped classroom . Data collection methods using a questionnaire were analyzed with descriptive analysis with the 15 professional and unprofessional teachers and 30 students in Lampung province as respondents. The results of teachers 'perceptions about e-modules amounted to 66.7% if presented as belonging to the 
required category, while the results of students'perceptions using e-modules amounted to 63.3% and classified as needed. The practice was also needed in making e-modules with the results of 73.3% of teachers answering practical answers and 56.7% of students answering practical questions. It can be inferred that students need new teaching materials to support practical and 
easy to use learning t any time limit.",2022-12-28 07:24:52,archive,6,8.0,show,Perception of Physics Teachers and Students about E-Modules Using Stem-Integrated Flipped Classroom Approach to Improve Critical Thinking Skills,published,47501,2022-12-28 07:24:52,2022-12-28 07:24:52,884,http://repository.lppm.unila.ac.id/id/eprint/47501,public,TRUE,1,pub,"[{'eprintid': 47501, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '8-2020.pdf', 'docid': 186558, 'files': [{'hash': '29353b1f1f1c1079268cb5a08ee5ac96', 'filename': '8-2020.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 06:26:16', 'mime_type': 'application/pdf', 'fileid': 520835, 'filesize': 880456, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/520835', 'objectid': 186558}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186558'}]","Program Studi S1 Pendidikan Fisika, FKIP, Universitas Lampung",['FKIP9'],article,disk0_bak/00/04/75/01,2020-06-30 00:00:00.000000000,Jurnal Pembelajaran Fisika,2684-9828,"[{'name': {'given': 'Kartini', 'lineage': None, 'family': 'Herlina', 'honourific': None}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",1-8,http://jurnal.fkip.unila.ac.id/index.php/JPF,,,,,,['Universitas Lampung'],10.23960/jpf.v8.n1.202001,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF', 'type': 'pub'}]",,,,,,,
16,['L1'],"The objective of this research was to find out the practicality and effectiveness of multiple representation based teaching material to improve student’s self-efficacy and ability of physics problem solving in static electricity material. This was a quasi-experiment research by using pretest-posttest control group design. Samples were taken by using purposive sampling. Samples were grade XII students in Public Senior High School 15 (SMAN 15) in Bandar Lampung, YP UNILA Senior High School in Bandar Lampung, and Public Senior High School 2 (SMAN 2) in Kalianda. Instruments used were observation sheets for teaching material implementation, students’ response to teaching material, student’s activity sheet, self-efficacy sheet, and problems for student’s problem solving ability test. Data were analyzed by using descriptive analysis with percentage, N-gain analysis, and independent t-test. The research results showed that multiple representations based teaching material were: 1) practical to use in learning, and it was shown by (a) the average implementation of teaching materials in each 
learning activity, and (b) positive student’s response in using teaching materials; 2) effective, and it was shown by (a) active category for student’s activity during learning, and (b) significant differences of self-efficacy and problem solving ability.",2022-12-28 07:25:00,archive,7,,show,The Practicality and Effectiveness of Multiple Representations Based Teaching Material to Improve Student’s Self-Efficacy and Ability of Physics Problem Solving,published,47504,2022-12-28 07:25:00,2022-12-28 07:25:00,884,http://repository.lppm.unila.ac.id/id/eprint/47504,public,TRUE,,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186561', 'format': 'text', 'pos': 1, 'files': [{'objectid': 186561, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520857', 'datasetid': 'document', 'filesize': 534857, 'mime_type': 'application/pdf', 'fileid': 520857, 'hash': 'fa00a428446eece15c98038e049fec4d', 'filename': '12-2020.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 07:08:19'}], 'main': '12-2020.pdf', 'docid': 186561, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 47504}]",,['FKIP9'],conference_item,disk0_bak/00/04/75/04,1970-01-01 00:00:00.000002020,,,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}]",,,conference,"November 4-5, 2019","Young Scholar Symposium on Science Education and Environment 2019 4-5 November 2019, Lampung, Indonesia",Bandar Lampung,paper,['Universitas Lampung'],,,,,,,,,
17,['L1'],"One of the effects of the rapid development in 21st century that has raised the attention of practitioners, international organizations is the demand in education. Learning activities are a major part of education in schools. So in the learning process infrastructure updates are needed including multimedia learning. This research was conducted to analyze the form of multimedia as a learning resource that supports STEM learning and teacher anxiety levels in the use of multimedia in physics lessons. The research method used is a mixed method. The study was 
conducted in several high schools in Lampung with research subject is 90 Teachers of physics subjects. Data collection techniques used questionnaires, interviews and observations. The results showed that teachers tended to use print media and had not used multimedia. Teachers have considerable anxiety when they only teach physics using print media. Multimedia that is expected according to the perceptions of teachers is able to present the lessons in a clear, detailed, easy to use, easy to understand the language, presenting images, animations, and videos that clarify the material. So in future research, it is necessary to develop multimedia that is expected to be able to support STEM learning and student learning independence.",2022-12-28 07:24:43,archive,7,,show,"Teachers perceptions and anxiety about using
multimedia in learning geometry optics concept: A
preliminary research on STEM learning makerspace",published,47498,2022-12-28 07:24:43,2022-12-28 07:24:43,884,http://repository.lppm.unila.ac.id/id/eprint/47498,public,TRUE,,pub,"[{'eprintid': 47498, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '6-2020.pdf', 'docid': 186555, 'files': [{'hash': '8ba381ac194908ff002b7a703aa4d32a', 'filename': '6-2020.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 05:14:53', 'mime_type': 'application/pdf', 'fileid': 520814, 'filesize': 1086739, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/520814', 'objectid': 186555}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186555'}]",,['FKIP9'],conference_item,disk0_bak/00/04/74/98,1970-01-01 00:00:00.000002020,,,"[{'name': {'given': 'Kartini', 'family': 'Herlina', 'honourific': None, 'lineage': None}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",1-8,https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012066/meta,conference,"26-28 September 2019,",The 9th International Conference on Theoretical and Applied Physics (ICTAP),"Bandar Lampung, Indonesia",paper,['Universitas Lampung'],,"[{'url': 'https://iopscience.iop.org/journal/1742-6596', 'type': 'pub'}]",,,,,,,
18,['L1'],"Objective: Identify scientific literacy skills of elementary school students that
can be actualized in the form of local government policies. Method: This descriptive study involved
36 schools with a total of 380 Elementary School students in Lampung Tengah District obtained using
purposive sampling technique. Students examined with scientific literacy questions adapted from PISA
(Programs for International Student Assessment) question items and scientific literacy data are analyzed
descriptively. Findings: The research data shows that students who understand concepts of science
are only 16.07%, misconcept are 8.6%, mistaken are 37.5%, and not understand are 37.8%. Elementary
students who understand the concepts of science are still fewin all knowledge categories which are
factual category 16.75%, conceptual 16.08%, and procedural 13.5%. Conclusion: Elementary students’
scientific literacy in Central Lampung is still in the low category.",2020-11-19 11:32:28,archive,6,10.0,show,"Identification of Scientific Literacy of Elementary School Students in
Central Lampung District",published,26193,2020-11-19 11:32:28,2020-11-19 11:32:28,706,http://repository.lppm.unila.ac.id/id/eprint/26193,public,TRUE,1,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40079', 'docid': 40079, 'main': '1 a Artikel Literasi Sains_JPP_Nina K.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/236090', 'objectid': 40079, 'mtime': '2020-11-19 03:42:45', 'hash_type': 'MD5', 'hash': '0dc9a8b214bdce00017fc71349cb6f31', 'filename': '1 a Artikel Literasi Sains_JPP_Nina K.pdf', 'fileid': 236090, 'mime_type': 'application/pdf', 'filesize': 1705797, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 26193, 'security': 'public', 'placement': 1}]",FKIP Universitas Lampung,['FKIP9'],article,disk0/00/02/61/93,1970-01-01 00:00:00.000002020,Jurnal Pendidikan Progresif,e-ISSN: 2550-1313 | p-ISSN: 2087-9849,"[{'id': 'kadaritna@yahoo.com', 'name': {'given': 'Nina', 'family': 'Kadaritna', 'honourific': None, 'lineage': None}}, {'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'family': 'Rosidin', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Novinta', 'lineage': None, 'family': 'Nurulsari', 'honourific': None}, 'id': 'novintanurulsari@fkip.unila.ac.id'}, {'name': {'family': 'Rakhmawati', 'honourific': None, 'lineage': None, 'given': 'Ismi'}, 'id': 'ismirakhmawati@gmail.com'}]",,http://jurnal.fkip.unila.ac.id/index.php/jpp/issue/archive,,,,,,,,,,,,,,,
19,['L1'],"This study aims to determine the role of social media in learning . We know that today, social media has an indispensable role in the learning process. In addition, social media has made it a smaller world through social media so that people from anywhere in the world can interact 
without being limited by distance and time. This study used a mixed method consisting of qualitative and quantitative data. This research involved 308 students in Lampung province. The results of the research conducted stated that 65% of students used smartphones in learning. 73.2% 
of students stated that the application that is often opened is social media. 87.2% stated that the most frequently accessed social media is chatting media. 48.2% of students prefer playing on social media than learning physics. 72.3% of students stated that they prefer to discuss through 
chatting media. Based on the results of the preliminary study, the role of social media is very active, 48% of students stated that they use social media for learning discussions 43% of teachers stated that they always use social media to support learning.",2021-06-02 01:08:08,archive,9,8.0,show,The Role of Social Media in Learning Physics: Teacher and Student Perceptions,published,31626,2021-06-02 01:08:08,2021-06-02 01:08:08,44,http://repository.lppm.unila.ac.id/id/eprint/31626,public,TRUE,2,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/143252', 'format': 'text', 'pos': 2, 'files': [{'mime_type': 'application/pdf', 'fileid': 374837, 'hash': 'f28593ca0ef8c17d2295c1cb7ab02d8b', 'filename': '21480-51502-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2021-06-01 13:50:05', 'datasetid': 'document', 'filesize': 645504, 'objectid': 143252, 'uri': 'http://repository.lppm.unila.ac.id/id/file/374837'}], 'main': '21480-51502-1-PB.pdf', 'docid': 143252, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 2, 'eprintid': 31626}]",Universitas Lampung,['FKIP9'],article,disk0/00/03/16/26,2020-12-29 00:00:00.000000000,Jurnal Pembelajaran Fisika,2302-0105,"[{'id': None, 'name': {'given': 'Rika Dwi', 'honourific': None, 'family': 'Kurniati', 'lineage': None}}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'family': 'Andra', 'honourific': None, 'lineage': None, 'given': 'Doni'}}, {'id': 'wayandistrik8@gmail.com', 'name': {'honourific': None, 'family': 'Distrik', 'lineage': None, 'given': 'I Wayan'}}]",159-166,http://jurnal.fkip.unila.ac.id/index.php/JPF,,,,,,['Universitas Lampung'],http://dx.doi.org/10.23960/jpf.v8.n2.202004,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/21480/pdf'}],,,,,,,
20,['GE'],"The purpose of this paper is to examine community participation in mitigating flood preparedness. The method used in the form of meta-analysis from the literature study of various journal articles in 2011-2019 with the topic of flood disaster mitigation in Indonesia includes Sumatra, Java, Sulawesi, Kalimantan, taken from the international journal Disaster risk reduction, Sumatra Journal of disaster, geography and geography education Jamba: Journal of disaster risk studies, nature science, and from international seminars. The lack of articles in Indonesia that discusses public participation in English language flooding disasters such as articles from other countries, causes this research has never been done. The review results show that of the 9 articles used, it turns out that community participation in dealing with floods in several regions in Indonesia is included in the active category. Forms of participation include participation in the form of money, labor contributions, inter-community education, supervision of infrastructure development and the addition of green open space.",2021-04-24 03:06:13,archive,4,,show,Cek Similarity/Originality: Community Participation in Flood Disaster Mitigation Oriented on The Preparedness: A Literature Review,published,29595,2021-04-24 03:06:13,2021-04-24 03:06:13,1075,http://repository.lppm.unila.ac.id/id/eprint/29595,public,,,pub,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43782', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 2111870, 'fileid': 261972, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-12-30 10:31:29', 'filename': 'Community Participation in Flood Disaster Mitigation Oriented on The Preparedness A Literature Review.pdf', 'hash': 'd6d945cf76bf89a904af15d2d9f4d0e8', 'objectid': 43782, 'uri': 'http://repository.lppm.unila.ac.id/id/file/261972'}], 'docid': 43782, 'main': 'Community Participation in Flood Disaster Mitigation Oriented on The Preparedness A Literature Review.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 29595}, {'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 2, 'eprintid': 29595, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43783', 'format': 'text', 'pos': 2, 'files': [{'filesize': 754583, 'datasetid': 'document', 'filename': 'PR-17.pdf', 'hash': '1148ab195fe3f59022269ec25b2a079c', 'hash_type': 'MD5', 'mtime': '2021-04-23 02:29:42', 'mime_type': 'application/pdf', 'fileid': 261973, 'uri': 'http://repository.lppm.unila.ac.id/id/file/261973', 'objectid': 43783}], 'main': 'PR-17.pdf', 'docid': 43783}]",IOP Publishing,['FKIP9'],other,disk0/00/02/95/95,1970-01-01 00:00:00.000002020,,,"[{'name': {'given': 'Irma Lusi', 'family': 'Nugraheni', 'honourific': None, 'lineage': None}, 'id': 'irmalusi42@gmail.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Suyatna', 'given': 'Agus'}, 'id': 'asuyatna@yahoo.com'}]",,https://iopscience.iop.org/article/10.1088/1742-6596/1467/1/012028,,,,,,"['Universitas Lampung', 'Universitas Lampung']",10.1088/1742-6596/1467/1/012059,"[{'type': 'pub', 'url': 'https://iopscience.iop.org/issue/1742-6596/1467/1'}]",,"Journal of Physics: Conference Series, Volume 1467",27212.0,,,,
21,"['L1', 'LB1501', 'LB2300']",,2021-05-20 07:33:05,archive,10,,show,Reviewer : Pengaruh Penerapan Pembelajaran Project Based Learning  Terhadap Kreativitas Siswa pada Materi Energi Terbarukan,,30247,2021-05-20 07:33:05,2021-05-20 07:33:05,734,http://repository.lppm.unila.ac.id/id/eprint/30247,public,,,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 30247, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/135954', 'docid': 135954, 'main': 'Pengaruh Penerapan Pembelajaran Project Based Learning Terhadap Kreativitas Siswa pada Materi Energi Terbarukan.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-05-20 02:33:17', 'hash': '194e5d0b08963974cc6dfdaa7fc5a0a9', 'filename': 'Pengaruh Penerapan Pembelajaran Project Based Learning Terhadap Kreativitas Siswa pada Materi Energi Terbarukan.pdf', 'fileid': 358599, 'mime_type': 'application/pdf', 'filesize': 822011, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/358599', 'objectid': 135954}]}]",FKIP UNILA,['FKIP9'],other,disk0/00/03/02/47,1970-01-01 00:00:00.000002020,,,"[{'name': {'given': 'I Dewa Putu', 'family': 'Nyeneng', 'honourific': None, 'lineage': None}, 'id': 'idewaputunyeneng@gmail.com'}]",,,,,,,,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,
