,type,divisions,creators,dir,lastmod,userid,datestamp,documents,publisher,ispublished,full_text_status,uri,eprintid,eprint_status,status_changed,abstract,subjects,title,metadata_visibility,rev_number,corp_creators,refereed,issn,publication,contact_email,official_url,date_type,volume,number,contributors,pagerange,pres_type,event_dates,event_type,event_title,event_location,book_title,pages,related_url,place_of_pub,isbn,id_number,editors,succeeds,series,note,monograph_type
23,other,['FEB4'],"[{'id': 'agriantiksa@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Komalasari', 'given': 'Agrianti'}}]",disk0/00/03/26/14,2021-06-17 01:14:02,712,2021-06-17 01:14:02,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 32614, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/148186', 'rev_number': 1, 'main': '8. Corporate Governance and Audit Quality_ A Comparison of ASEAN Countries.pdf', 'docid': 148186, 'files': [{'objectid': 148186, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385992', 'datasetid': 'document', 'filesize': 3199721, 'fileid': 385992, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-16 04:54:38', 'hash': '6852d4ebf3f29e14e8bb4a2eaa663c94', 'filename': '8. Corporate Governance and Audit Quality_ A Comparison of ASEAN Countries.pdf'}]}]",Journal of Applied Economic Sciences,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32614,32614,archive,2021-06-17 01:14:02,,['HG'],Peer Review - Corporate Governance and Audit Quality: A Comparison of ASEAN Countries,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,other,['FEB4'],"[{'id': 'agriantiksa@gmail.com', 'name': {'given': 'Agrianti', 'honourific': None, 'family': 'Komalasari', 'lineage': None}}]",disk0/00/03/26/00,2021-06-17 01:13:25,712,2021-06-17 01:13:25,"[{'eprintid': 32600, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 148108, 'main': '9. Effect of Mandatory adaption of International financial reporting .....pdf', 'files': [{'objectid': 148108, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385833', 'datasetid': 'document', 'filesize': 1246859, 'fileid': 385833, 'mime_type': 'application/pdf', 'mtime': '2021-06-16 04:14:20', 'hash_type': 'MD5', 'filename': '9. Effect of Mandatory adaption of International financial reporting .....pdf', 'hash': '79671fc0825cc6a1d80ce8d6a718c6f1'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/148108', 'rev_number': 1}]",Growing Science,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32600,32600,archive,2021-06-17 01:13:25,,['HG'],Peer Review - Effect of Mandatory of International financial reporting standard (IFRS) on supply chain management: a case of indonesian dairy industry,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,other,['FEB4'],"[{'name': {'given': 'Agrianti', 'lineage': None, 'family': 'Komalasari', 'honourific': None}, 'id': 'agriantiksa@gmail.com'}]",disk0/00/03/25/96,2021-06-17 01:13:11,712,2021-06-17 01:13:11,"[{'eprintid': 32596, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '2. Implementation the International Financial Reporting Standards.....pdf', 'docid': 148100, 'files': [{'mime_type': 'application/pdf', 'fileid': 385800, 'filename': '2. Implementation the International Financial Reporting Standards.....pdf', 'hash': 'e192d22924ee2e0f4c0ce033935c695b', 'hash_type': 'MD5', 'mtime': '2021-06-16 03:56:55', 'datasetid': 'document', 'filesize': 1298170, 'objectid': 148100, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385800'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148100'}]","University of Piraeus, International Strategic Management Ass.",pub,public,http://repository.lppm.unila.ac.id/id/eprint/32596,32596,archive,2021-06-17 01:13:11,,['HG'],Peer Review - Implementation the International Reporting Standards as a Moderating Variable of the Relationship of Corporate Governance with Earning Management,show,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,other,['FEB4'],"[{'id': 'agriantiksa@gmail.com', 'name': {'given': 'Agrianti', 'lineage': None, 'family': 'Komalasari', 'honourific': None}}]",disk0/00/03/26/07,2021-06-17 01:13:44,712,2021-06-17 01:13:44,"[{'eprintid': 32607, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '16. Jokowi Effect a study on the market Reaction to to the Presidential Election in indonesia.....pdf', 'docid': 148139, 'files': [{'objectid': 148139, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385899', 'mime_type': 'application/pdf', 'fileid': 385899, 'hash': '0e562d4fa927ab1b5e474e9a97d43563', 'filename': '16. Jokowi Effect a study on the market Reaction to to the Presidential Election in indonesia.....pdf', 'hash_type': 'MD5', 'mtime': '2021-06-16 04:30:50', 'datasetid': 'document', 'filesize': 1218796}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148139'}]",Universitas Indonesia,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32607,32607,archive,2021-06-17 01:13:44,,['HG'],Peer Review - Jokowi Effect: a Study On The Market Reaction To The Presidential Election in Indonesia,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,other,['FEB4'],"[{'name': {'given': 'Agrianti', 'lineage': None, 'family': 'Komalasari', 'honourific': None}, 'id': 'agriantiksa@gmail.com'}]",disk0/00/03/26/11,2021-06-17 01:13:56,712,2021-06-17 01:13:56,"[{'security': 'public', 'placement': 1, 'eprintid': 32611, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 1051850, 'mime_type': 'application/pdf', 'fileid': 385935, 'hash': 'e5d614537a3fdf71192c3ac6b4c3ef24', 'filename': '19. Pendampingan penyusunan laporan keuangan bagi komunitas pengaruh kecil.....pdf', 'mtime': '2021-06-16 04:39:39', 'hash_type': 'MD5', 'objectid': 148148, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385935'}], 'main': '19. Pendampingan penyusunan laporan keuangan bagi komunitas pengaruh kecil.....pdf', 'docid': 148148, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148148', 'format': 'text', 'pos': 1}]",Universitas Lampung,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32611,32611,archive,2021-06-17 01:13:56,,['HG'],Peer Review - Pendampingan Penyusunan Laporan Keuangan bagi Komunitas Pengusaha Kecil di Desa Kalisari Kecamatan Natar,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,other,['FEB4'],"[{'id': 'agriantiksa@gmail.com', 'name': {'family': 'Komalasari', 'honourific': None, 'lineage': None, 'given': 'Agrianti'}}]",disk0/00/03/26/01,2021-06-17 01:13:27,712,2021-06-17 01:13:27,"[{'eprintid': 32601, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '15. Pengaruh Penerapan Good Governance terhadap kinerja organisasi dgn implementasi ......pdf', 'docid': 148113, 'files': [{'objectid': 148113, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385846', 'datasetid': 'document', 'filesize': 1208400, 'fileid': 385846, 'mime_type': 'application/pdf', 'mtime': '2021-06-16 04:17:14', 'hash_type': 'MD5', 'hash': '06ce8121637b8dfbc95d5383edd758ba', 'filename': '15. Pengaruh Penerapan Good Governance terhadap kinerja organisasi dgn implementasi ......pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148113'}]",Jurusan Akuntansi FEB Unila,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32601,32601,archive,2021-06-17 01:13:27,,['HG'],Peer Review - Pengaruh Penerapan Good Governance Terhadap Kinerja Organisasi dengan Implementasi Whistleblowing System sebagai variable Pemoderasi pada Direktorat Jenderal Pajak,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,other,['FEB4'],"[{'name': {'given': 'Agrianti', 'lineage': None, 'family': 'Komalasari', 'honourific': None}, 'id': 'agriantiksa@gmail.com'}]",disk0/00/03/26/03,2021-06-17 01:13:34,712,2021-06-17 01:13:34,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148118', 'rev_number': 1, 'docid': 148118, 'main': '14. Pengungkapan informasi wajib dan sukarela.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/385857', 'objectid': 148118, 'hash_type': 'MD5', 'mtime': '2021-06-16 04:19:57', 'hash': '9c7b1e7a8ae7412fc5aa1c4f2dc2d2dc', 'filename': '14. Pengungkapan informasi wajib dan sukarela.pdf', 'fileid': 385857, 'mime_type': 'application/pdf', 'filesize': 1037419, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 32603, 'security': 'public', 'placement': 1}]",Universitas Lampung,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32603,32603,archive,2021-06-17 01:13:34,,['HG'],Peer Review - Pengungkapan Informasi Wajib dan Sukarela,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,other,['FEB4'],"[{'id': 'agriantiksa@gmail.com', 'name': {'given': 'Agrianti', 'lineage': None, 'family': 'Komalasari', 'honourific': None}}]",disk0/00/03/26/10,2021-06-17 01:13:53,712,2021-06-17 01:13:53,"[{'security': 'public', 'placement': 1, 'eprintid': 32610, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 148146, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385925', 'datasetid': 'document', 'filesize': 1204743, 'fileid': 385925, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-16 04:37:09', 'filename': '17. The effect of Corporate Governance on Earnings Management Post Financial Crisis ......pdf', 'hash': '3a4920155f5bd51e5f2c05462fc89e40'}], 'main': '17. The effect of Corporate Governance on Earnings Management Post Financial Crisis ......pdf', 'docid': 148146, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148146', 'format': 'text', 'pos': 1}]",Society of Interdisciplinary  Business Research,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32610,32610,archive,2021-06-17 01:13:53,,['HG'],Peer Review - The Effect of Corporate Governance on Earnings Management Post Financial Crisis In Indonesia,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,other,['FEB4'],"[{'name': {'given': 'Agrianti', 'family': 'Komalasari', 'honourific': None, 'lineage': None}, 'id': 'agriantiksa@gmail.com'}]",disk0/00/03/26/09,2021-06-17 01:13:50,712,2021-06-17 01:13:50,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148141', 'pos': 1, 'format': 'text', 'files': [{'fileid': 385912, 'mime_type': 'application/pdf', 'mtime': '2021-06-16 04:35:20', 'hash_type': 'MD5', 'hash': 'bd59ceb69a737312f35e9f054fc4fe38', 'filename': '18. Workshop kewirausahaan bagi pengusaha pemula .....pdf', 'datasetid': 'document', 'filesize': 1065972, 'objectid': 148141, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385912'}], 'docid': 148141, 'main': '18. Workshop kewirausahaan bagi pengusaha pemula .....pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 32609}]",Universitas Lampung,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32609,32609,archive,2021-06-17 01:13:50,,['HG'],Peer Review - Workshop Kewirausahaan Bagi Pengusaha Pemula Berbasis Komunitas di Bandar Lampung,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,other,['FEB4'],"[{'name': {'given': 'Agrianti', 'honourific': None, 'family': 'Komalasari', 'lineage': None}, 'id': 'agriantiksa@gmail.com'}]",disk0/00/03/26/16,2021-06-17 01:14:05,712,2021-06-17 01:14:05,"[{'docid': 148193, 'main': '7. Activity Based Costing for the better Supply Chain Management_ An Integrated Approach for the Business Performance.pdf', 'files': [{'filesize': 2284212, 'datasetid': 'document', 'mtime': '2021-06-16 04:59:10', 'hash_type': 'MD5', 'filename': '7. Activity Based Costing for the better Supply Chain Management_ An Integrated Approach for the Business Performance.pdf', 'hash': '09618037fd7f7717639b61b2ff3d7896', 'fileid': 386007, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386007', 'objectid': 148193}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/148193', 'rev_number': 1, 'eprintid': 32616, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",International Journal of Supply Chain Management,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32616,32616,archive,2021-06-17 01:14:05,,['HG'],Similarity - Activity Based Costing for the better Supply Chain Management: An Integrated Approach for the Business Performance,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,other,['FEB4'],"[{'name': {'honourific': None, 'family': 'Komalasari', 'lineage': None, 'given': 'Agrianti'}, 'id': 'agriantiksa@gmail.com'}]",disk0/00/03/26/19,2021-06-17 01:14:09,712,2021-06-17 01:14:09,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 32619, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148206', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'hash': '7f167db0292781b761280bebdc56d022', 'filename': '3. Analysis the Effect of Growth Opportunity, Liquidity, Leverage, And Cash Flows Volatility to Hedging Decision.pdf', 'mtime': '2021-06-16 05:05:38', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 386037, 'filesize': 1544358, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386037', 'objectid': 148206}], 'main': '3. Analysis the Effect of Growth Opportunity, Liquidity, Leverage, And Cash Flows Volatility to Hedging Decision.pdf', 'docid': 148206}]",International Journal for Innovation Education and Research,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32619,32619,archive,2021-06-17 01:14:09,,['HG'],"Similarity - Analysis the Effect of Growth Opportunity, Liquidity, Leverage, And Cash Flows Volatility to Hedging Decision",show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,other,['FEB4'],"[{'name': {'honourific': None, 'family': 'Komalasari', 'lineage': None, 'given': 'Agrianti'}, 'id': 'agriantiksa@gmail.com'}]",disk0/00/03/26/17,2021-06-17 01:14:06,712,2021-06-17 01:14:06,,"Publisher of Distinguished Academic, Scientific, and Professional Journal",pub,none,http://repository.lppm.unila.ac.id/id/eprint/32617,32617,archive,2021-06-17 01:14:06,,['HG'],"Similarity - Effect on adoption of international financial reporting standard (IFRS) on supply chain
management: A case of Indonesian dairy industry",show,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,other,['FEB4'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Komalasari', 'given': 'Agrianti'}, 'id': 'agriantiksa@gmail.com'}]",disk0/00/03/26/13,2021-06-17 01:13:59,712,2021-06-17 01:13:59,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 32613, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148185', 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 4595066, 'fileid': 385983, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-16 04:51:25', 'filename': '1. Implementation the International Financial Reporting Standards as a Moderating Variable of the Relationship of Corporate Governance with Earnings Management.pdf', 'hash': '2f1f84437a809fb4c327e6dd6bf1c604', 'objectid': 148185, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385983'}], 'docid': 148185, 'main': '1. Implementation the International Financial Reporting Standards as a Moderating Variable of the Relationship of Corporate Governance with Earnings Management.pdf'}]",European Research Studies Journal,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32613,32613,archive,2021-06-17 01:13:59,,['HG'],"Similarity - Implementation the International Financial Reporting Standards as a Moderating Variable of the
Relationship of Corporate Governance with Earnings Management",show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,other,['FEB4'],"[{'id': 'agriantiksa@gmail.com', 'name': {'family': 'Komalasari', 'honourific': None, 'lineage': None, 'given': 'Agrianti'}}]",disk0/00/03/26/20,2021-06-17 01:14:12,712,2021-06-17 01:14:12,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 32620, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148216', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 4494069, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-06-16 05:07:31', 'hash': '46188de2f7e1740065074711a94f853c', 'filename': '15. JOKOWI EFFECT_ A STUDY ON THE MARKET REACTION TOTHE PRESIDENTIALELECTION IN INDONESIA.pdf', 'fileid': 386054, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386054', 'objectid': 148216}], 'docid': 148216, 'main': '15. JOKOWI EFFECT_ A STUDY ON THE MARKET REACTION TOTHE PRESIDENTIALELECTION IN INDONESIA.pdf'}]",FEB Universitas Indonesia,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32620,32620,archive,2021-06-17 01:14:12,,['HG'],Similarity - JOKOWI EFFECT: A STUDY ON THE MARKET REACTION TO THE PRESIDENTIAL ELECTION IN INDONESIA,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,other,['FEB4'],"[{'id': 'agriantiksa@gmail.com', 'name': {'given': 'Agrianti', 'honourific': None, 'family': 'Komalasari', 'lineage': None}}]",disk0/00/03/26/22,2021-06-17 01:14:14,712,2021-06-17 01:14:14,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/148222', 'rev_number': 1, 'docid': 148222, 'main': '16. THE EFFECT OF CORPORATE GOVERNANCE ON EARNINGS MANAGEMENT POST FINANCIAL CRISIS IN INDONESIA.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-16 05:09:43', 'hash': 'e08f47adf387585fcf422ba27cb35a6d', 'filename': '16. THE EFFECT OF CORPORATE GOVERNANCE ON EARNINGS MANAGEMENT POST FINANCIAL CRISIS IN INDONESIA.pdf', 'fileid': 386066, 'mime_type': 'application/pdf', 'filesize': 4424144, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386066', 'objectid': 148222}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 32622, 'placement': 1, 'security': 'public'}]",Society of Interdisciplinary  Business Research,pub,public,http://repository.lppm.unila.ac.id/id/eprint/32622,32622,archive,2021-06-17 01:14:14,,['HG'],Similarity - THE EFFECT OF CORPORATE GOVERNANCE ON EARNINGS MANAGEMENT POST FINANCIAL CRISIS IN INDONESIA,show,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,article,['FEB4'],"[{'id': 'liza.alvia@feb.unila.ac.id', 'name': {'given': 'Alvia', 'family': 'Liza', 'honourific': None, 'lineage': None}}]",disk0/00/03/88/26,2022-01-31 12:52:29,216,2022-01-31 12:52:29,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 38826, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159969', 'rev_number': 1, 'docid': 159969, 'main': 'Abstract-Presentasi Hibah Penelitian Terapan.pdf', 'files': [{'datasetid': 'document', 'filesize': 7512, 'fileid': 438579, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-01-31 10:52:12', 'filename': 'Abstract-Presentasi Hibah Penelitian Terapan.pdf', 'hash': 'a38e74069f3815bc7843340051080609', 'objectid': 159969, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438579'}]}]",,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/38826,38826,archive,2022-01-31 12:52:29,"This study aims to investigate individual investors' perceptions of the quality of corporate information disclosure, namely relevance, credibility, and readability. This study uses a Multidimensional Quality Model (MQM) approach by Helfaya et al. (2019). This study uses an online survey approach to 96 individual investors in Indonesia. The results of this study indicate that individual investors' assessments of relevance, credibility, and readability measures are in line with the concept of information quality in MQM. In addition, this study also shows that the disclosure of corporate information presented on the company's website (according to POJK No. 8 of 2015 and POJK No. 31 of 2015 has varying levels of relevance, credibility, and readability. Investors assess financial highlights which have highly relevance (37%) and readability (85%). Meanwhile, they chose annual financial report as the highest credibility (89%) of corporate information disclosure. This study gives both academic and practice contribution.  Academically, it broadens our understanding of information disclosure quality (relevance, credibility, and readability) and provides opportunities for new avenues of research.  In practice, it gives suggestions for both management and regulator in designing firm disclosure strategy.
Keywords: corporate disclosure, relevance, credibility, readability, information quality.",['HF'],"Analysis of the Quality of Corporate Information Disclosure: Relevance, Credibility, and Readability in the Digital Disclosure Environment 
(A Critical Study on the Implementation of POJK No. 8 and 31 of 2015)",show,8,,TRUE,,-,,,,,,,,,,,,,,,,,,,,,,,
39,conference_item,['FEB4'],"[{'id': 'mega.metalia@feb.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Metalia', 'given': 'Mega'}}, {'name': {'given': 'Sari Indah Oktanti', 'lineage': None, 'honourific': None, 'family': 'Sembiring'}, 'id': 'sariindahoktanti@yahoo.co.id'}]",disk0/00/03/05/05,2021-05-24 01:40:24,2814,2021-05-24 01:40:24,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/137288', 'main': 'NEW KONRA PROSIDING.pdf', 'docid': 137288, 'files': [{'hash_type': 'MD5', 'mtime': '2021-05-22 14:26:50', 'filename': 'NEW KONRA PROSIDING.pdf', 'hash': '2f0bcc67eaa8a618418fe24ad5427105', 'fileid': 361586, 'mime_type': 'application/pdf', 'filesize': 1628861, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/361586', 'objectid': 137288}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 30505, 'security': 'public', 'placement': 1}]",,pub,public,http://repository.lppm.unila.ac.id/id/eprint/30505,30505,archive,2021-05-24 01:40:24,"SME is one of the factors affecting economic development in Indonesia right now.
This research aims to study the effect of competitive strategy to bussiness performance
using unique capabilities, process innovation and competitive strategy as the indicators.
The sample used in this research is food and beverage SME in Lampung Province available
in year 2017-2019. The result show that unique capabilities has a psotive and sginificant
effect to business performance simultaniously and partially, and process innovation has a
positive but not significant effect. The result also shows that unique capabilities and
process innovation has a positive and significant effect to competitive strategy
simultaniously and partially. It can be concluded that to increase Food and Beverage
SME’s business performance in Lampung Province, we need to develop competitive
strategy to increase the unique capabilities and process innovation.",['HF5601'],STRATEGI BERSAING UMKM MAKANAN DAN MINUMAN DI INDONESIA,show,7,,TRUE,,,,,,,,,,paper,,conference,1st KONRA RIAU,,,,,,,,,,,,
40,article,['FEB4'],"[{'id': 'mega.metalia@feb.unila.ac.id', 'name': {'given': 'Mega', 'family': 'Metalia', 'honourific': None, 'lineage': None}}, {'id': 'sariindahoktanti@yahoo.co.id', 'name': {'family': 'Sembiring', 'honourific': None, 'lineage': None, 'given': 'Sari Indah Oktanti'}}]",disk0/00/03/04/94,2021-05-24 01:38:38,2814,2021-05-24 01:38:38,"[{'main': 'NEW KONRA PROSIDING.pdf', 'docid': 137234, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/361470', 'objectid': 137234, 'hash': '2f0bcc67eaa8a618418fe24ad5427105', 'filename': 'NEW KONRA PROSIDING.pdf', 'mtime': '2021-05-22 13:35:01', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 361470, 'filesize': 1628861, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/137234', 'rev_number': 1, 'eprintid': 30494, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,public,http://repository.lppm.unila.ac.id/id/eprint/30494,30494,archive,2021-05-24 01:38:38,"SME is one of the factors affecting economic development in Indonesia right now.
This research aims to study the effect of competitive strategy to bussiness performance
using unique capabilities, process innovation and competitive strategy as the indicators.
The sample used in this research is food and beverage SME in Lampung Province available
in year 2017-2019. The result show that unique capabilities has a psotive and sginificant
effect to business performance simultaniously and partially, and process innovation has a
positive but not significant effect. The result also shows that unique capabilities and
process innovation has a positive and significant effect to competitive strategy
simultaniously and partially. It can be concluded that to increase Food and Beverage
SME’s business performance in Lampung Province, we need to develop competitive
strategy to increase the unique capabilities and process innovation.",['HF5601'],STRATEGI BERSAING UMKM MAKANAN DAN MINUMAN DI INDONESIA,show,7,,TRUE,,1st KONRA RIAU,,,,,,,,,,,,,,,,,,,,,,,
41,conference_item,['FEB4'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Metalia', 'given': 'Mega'}, 'id': None}, {'id': 'sariindahoktanti@yahoo.co.id', 'name': {'given': 'Sari Indah Oktanti', 'lineage': None, 'family': 'Sembiring', 'honourific': None}}]",disk0/00/02/53/39,2020-11-16 01:54:55,2814,2020-11-16 01:54:55,"[{'mime_type': 'application/msword', 'language': 'en', 'eprintid': 25339, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39116', 'rev_number': 1, 'docid': 39116, 'main': 'ARTIKEL GARCOMBS MEGA.doc', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/228738', 'objectid': 39116, 'filename': 'ARTIKEL GARCOMBS MEGA.doc', 'hash': '70a5c36e6b15cd1d68c067e1cec372ce', 'mtime': '2020-11-15 12:29:50', 'hash_type': 'MD5', 'mime_type': 'application/msword', 'fileid': 228738, 'filesize': 88064, 'datasetid': 'document'}]}]",,submitted,public,http://repository.lppm.unila.ac.id/id/eprint/25339,25339,archive,2020-11-16 01:54:55,"Introduction/Main Objectives: This research is aimed to study the affect of SAK EMKM implementation towards SME’s performance and their profitability. Since SME is the foremost driving force on economic development. Novelty: This research wants to see the impact of SAK EMKM implementation towards profitability in Lampung Province. Previous study mostly wanted to see the affect of SAK EMKM implementation to financial report performance.  Research Methods: With quantitative descriptive methods, this study examines the financial statements of the MSME Lampung Province available at Bank Mandiri Lampung in the 2017-2019 period. Samples that met the criteria of 34 MSME units and were processed using SPSS. Finding/Results: The result shows that the implementation of SAK EMKM has a positive significant effect towards SME’s performance and profitability.",['HF5601'],WHAT DOES THE IMPLEMENTATION OF SAK EMKM AFFECTS?,show,7,"['FEB Universitas Lampung', 'FEB Universitas Lampung']",TRUE,,,,,,,,,,paper,24 October 2020,conference,GARCOMBS 2020,Bandung,,,,,,,,,,,
