,publication,creators,issn,dir,date,type,divisions,ispublished,number,publisher,documents,full_text_status,uri,refereed,lastmod,userid,datestamp,pagerange,eprintid,date_type,official_url,title,volume,rev_number,metadata_visibility,eprint_status,status_changed,related_url,subjects,abstract,succeeds,institution,monograph_type,contributors,id_number,corp_creators,referencetext,book_title,isbn,pres_type,event_type,event_dates,event_title,event_location,place_of_pub,contact_email
20,Jurnal Ilmu-Ilmu Agribisnis,"[{'id': None, 'name': {'given': 'Hikmah', 'lineage': None, 'family': 'Awaliyah', 'honourific': None}}, {'id': 'sayekti_wur@yahoo.co.id', 'name': {'given': 'Wuryaningsih Dwi', 'lineage': None, 'honourific': None, 'family': 'Sayekti'}}, {'name': {'given': 'Teguh', 'lineage': None, 'honourific': None, 'family': 'Endaryanto'}, 'id': 'teguh.endaryanto@fp.unila.ac.id'}]",2337 7070,disk0_bak/00/04/76/04,2022-05-02,article,['FP1'],pub,2.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/521684', 'objectid': 186676, 'filename': '3. SIKAP DAN KEPUASAN KONSUMEN TERHADAP PRODUK OTAK-OTAK IKAN TENGGIRI DI KECAMATAN KOTAAGUNG KABUPATENTANGGAMUS (Kasus pada Otak-otak ikan tenggiri Ci Awa).pdf', 'hash': '1b6a67bbaa84d4ac2016fd017d1a507f', 'mtime': '2023-01-04 03:31:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 521684, 'filesize': 778737, 'datasetid': 'document'}], 'docid': 186676, 'main': '3. SIKAP DAN KEPUASAN KONSUMEN TERHADAP PRODUK OTAK-OTAK IKAN TENGGIRI DI KECAMATAN KOTAAGUNG KABUPATENTANGGAMUS (Kasus pada Otak-otak ikan tenggiri Ci Awa).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186676', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47604, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/47604,TRUE,2023-01-04 06:11:27,942,2023-01-04 06:11:27,271-275,47604,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5574,SIKAP DAN KEPUASAN KONSUMEN TERHADAP PRODUK OTAK-OTAK IKAN TENGGIRI DI KECAMATAN KOTAAGUNG KABUPATENTANGGAMUS (Kasus pada Otak-otak ikan tenggiri Ci Awa),10.0,6,show,archive,2023-01-04 06:11:27,"[{'type': 'pub', 'url': 'http://dx.doi.org/10.23960/jiia.v10i2.5574'}]",['S1'],"The research aims to analyze the characteristics, attitudes and satisfaction of customers on mackerel fish“otak-otak”, as well as the relationship between consumer attitudes and consumercharacteristics. This study uses a survey method. The research location was home industry Ci Awa Kotaagung District of Tanggamus Regency. The determination of the location is done deliberately with the consideration that Kotaagung District is the largest fish-producing center and there are many fish-based home industries.  Respondents were 54 customers. The results of thestudy showed that consumers of Ci Awa are mostly female, age group of 17-35,high school graduates, self-employed workers, and the amount of income per month belongs to the moderate income group. Consumer attitudes towards Ci Awa's were positive. The levelof satisfaction of  customers of Ci Awa was in the satisfied category. Consumer characteristics (age,income, and education) have a relationship with the attitude of consumers of Ci Awa.",,,,,http://dx.doi.org/10.23960/jiia.v10i2.5574,,,,,,,,,,,
21,Jurnal Ekonomi Pertanian dan Agribisnis (JEPA,"[{'name': {'honourific': None, 'family': 'Baihaqi', 'lineage': None, 'given': 'Ahmad'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Prasmatiwi', 'given': 'Fembriarti Erry'}, 'id': 'fembriarti.erry@fp.unila.ac.id'}, {'id': 'novirosanti.as@gmail.com', 'name': {'lineage': None, 'family': 'Rosanti', 'honourific': None, 'given': 'Novi'}}]","ISSN: 2614-4670 (p), ISSN: 2598-8174 (e)",disk0_bak/00/04/98/00,2022,article,['FP1'],pub,4.0,Universitas Brawijaya,"[{'language': 'id', 'mime_type': 'application/pdf', 'eprintid': 49800, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189436', 'rev_number': 2, 'main': 'Baihaqi- Tiwi JEPA.pdf', 'docid': 189436, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/539399', 'objectid': 189436, 'filename': 'Baihaqi- Tiwi JEPA.pdf', 'hash': '056ab8e6020b8ffbd646325b8f9c3d6a', 'mtime': '2023-04-06 13:27:02', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 539399, 'filesize': 298272, 'datasetid': 'document'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/49800,TRUE,2023-04-08 13:22:55,728,2023-04-08 13:22:55,1236-1246,49800,published,https://jepa.ub.ac.id/index.php/jepa/article/view/1272/524,"ANALISIS EFISIENSI PRODUKSI DAN PENDAPATAN USAHATANI PADI JAJAR 
LEGOWO DI KECAMATAN KRAMATWATU KABUPATEN SERANG",6.0,7,show,archive,2023-04-08 13:22:55,,['AC'],"This study aims to examine technical efficiency, technical inefficiency factors, economic 
efficiency, and income of rice farming using the Jajar Legowo system in Kramatwatu sub�district, Serang Regency. The research location is in Pamengkang Village and Tonjong Village. 
The respondents were 50 farmers. The interview was conducted in March - April 2021. 
Measurement of technical efficiency, technical inefficiency, and economic efficiency was done 
by using the Frontier Production function application and the dual frontier cost function. The 
Jajar Legowo farming in the Kramatwatu sub-district is quite technically efficient, which is 0.8. 
The technical inefficiency of Jajar Legowo rice farming is influenced by the age of the farmers 
and the farmers’ experience in applying Jajar Legowo. The Jajar Legowo rice farming has not 
been economically efficient with a value of 0.28. The farm cash income in the Kramatwatu sub�district is Rp. 12.851.049.53/ha and the total income is Rp. 8.382.957.22/ha.
Keywords: eficiency, rice, farming",,,,,https://jepa.ub.ac.id/index.php/jepa/article/view/1272/524,['Universitas Lampung'],,,,,,,,,,
22,Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'family': 'Balqis', 'honourific': None, 'lineage': None, 'given': 'Zakiyah Noor'}, 'id': None}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}, {'id': 'suriatysitumorang@yahoo.com', 'name': {'family': 'Situmorang', 'honourific': None, 'lineage': None, 'given': 'Suriaty'}}]",2337 7070,disk0/00/04/49/58,2022-05,article,['FP1'],pub,2.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 44958, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 695340, 'fileid': 484893, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-14 15:00:51', 'hash': '53747aa949e43b7fa854a8909f35b029', 'filename': 'dokumen jiia vol 10 no 2 2022 zaskia zainal suryati.pdf', 'objectid': 166880, 'uri': 'http://repository.lppm.unila.ac.id/id/file/484893'}], 'main': 'dokumen jiia vol 10 no 2 2022 zaskia zainal suryati.pdf', 'docid': 166880, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166880', 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/44958,TRUE,2022-09-15 01:11:56,933,2022-09-15 01:11:56,254-261,44958,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5913,"ANALISIS PREFERENSI KONSUMEN TERHADAP PEMBELIAN
KOPI DEKAFEINASI GHALKOFF DI BANDAR LAMPUNG",10.0,6,show,archive,2022-09-15 01:11:56,,['S1'],"Decaffeinated coffee is a coffee that has been processed to decrease the caffeine that contained in coffee. Preference analysis is important to do, it help the producer plane the right marketing strategy to win the competition against brands on the market. The aim of this research are to identify the consumer preference for decaffeinated coffee purchases from the importance level of each attribute and to identify Ghalkoff's decaffeinated coffee attributes are the most considered in purchasing. The research questionnaire was distributed to 30 samples of respondents from Bandar Lampung using accidental sampling. The analytical method used to answer the research is conjoint analysis. The research showed that consumer preferences for purchasing Ghalkoff’s decaffeinated is refer to coffee with the attributes coffee powder sharp and distinctive aroma that has a soft texture coffe powder with affordable price and easily to find and the attribute most considered to purchase the decaffeinated coffee by consumer is aroma.",,,,,,,,,,,,,,,,
23,Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'given': 'Zakiyah Noor', 'family': 'Balqis', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'name': {'given': 'Suriaty', 'lineage': None, 'family': 'Situmorang', 'honourific': None}, 'id': 'suriaty.situmorang@fp.unila.ac.id'}]",2337 7070,disk0/00/04/23/69,2022-05,article,['FP1'],pub,2.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'files': [{'datasetid': 'document', 'filesize': 709964, 'fileid': 466000, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-06-12 18:24:48', 'filename': 'JIIA - Vol 10 - No 2 - Mei 2022.pdf', 'hash': 'fae77120cf78cbd89bdd114e231a9938', 'objectid': 164081, 'uri': 'http://repository.lppm.unila.ac.id/id/file/466000'}], 'main': 'JIIA - Vol 10 - No 2 - Mei 2022.pdf', 'docid': 164081, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164081', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 42369, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/42369,TRUE,2022-06-13 01:17:40,519,2022-06-13 01:17:40,252-259,42369,published,https://jurnal.fp.unila.ac.id/index.php/JIA,"ANALISIS PREFERENSI KONSUMEN TERHADAP PEMBELIAN 
KOPI DEKAFEINASI GHALKOFF DI BANDAR LAMPUNG",10.0,7,show,archive,2022-06-13 01:17:40,[{'url': 'https://jurnal.fp.unila.ac.id/'}],"['AC', 'AI']","ABSTRACT
Decaffeinated coffee is a coffee that has been processed to decrease the caffeine that contained in coffee.
Preference analysis is important to do, it help the producer plane the right marketing strategy to win the 
competition against brands on the market. The aim of this research are to identify the consumer preference 
for decaffeinated coffee purchases from the importance level of each attribute and to identify Ghalkoff's 
decaffeinated coffee attributes are the most considered in purchasing. The research questionnaire was 
distributed to 30 samples of respondents from Bandar Lampung using accidental sampling. The analytical 
method used to answer the research is conjoint analysis. The research showed that consumer preferences 
for purchasing Ghalkoff’s decaffeinated is refer to coffee with the attributes coffee powder sharp and 
distinctive aroma that has a soft texture coffe powder with affordable price and easily to find and the 
attribute most considered to purchase the decaffeinated coffee by consumer is aroma.
Key words : attributes, decaffeinated, preference.",,,,,,,,,,,,,,,,
24,Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'given': 'ARLITHA', 'family': 'DWI PUTRI', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Hudoyo', 'lineage': None}, 'id': 'agus.hudoyo@gmail.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Murniati', 'given': 'Ktut'}, 'id': 'ktut.murniati@fp.unila.ac.id'}]",2337 7070,disk0_bak/00/05/10/33,2022-11-30,article,['FP1'],pub,4.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'main': 'DWI ARLITA JIIA_merged.pdf', 'docid': 190745, 'files': [{'objectid': 190745, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548872', 'mime_type': 'application/pdf', 'fileid': 548872, 'hash': 'd19ea5c1e4ba0df06f3d8a529219a384', 'filename': 'DWI ARLITA JIIA_merged.pdf', 'mtime': '2023-05-03 13:24:59', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1382344}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190745', 'rev_number': 1, 'eprintid': 51033, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/51033,TRUE,2023-05-04 01:37:26,928,2023-05-04 01:37:26,396-403,51033,published,https://jurnal.fp.unila.ac.id/index.php/JIA,ANALISIS KINERJA ATRIBUT PELAYANAN PADA RESTORAN KENTUCKY FRIED CHICKEN(KFC) DI KABUPATEN PRINGSEWU,10.0,6,show,archive,2023-05-04 01:37:26,,['S1'],"This study aims to analyze the services attributes of the Kentucky fried chicken (KFC) fast food restaurant in
Pringsewu Regency that need to be retained and upgraded of their performance.  This study used a survey
method and was conducted by interviewing on 22 types of attributes to 60 consumers using a questionnaire. 
Determination of the sample is done by probabilistic sampling technique and the analytical method used
questionnaire analysis using Validity Test, Reliability Test and data analysis using Important Performance
Analysis (IPA).  Each attribute is assessed by the level of importance and performance by consumers using a
Likert scale of 1-7.  The results of the importance and performance scores of each attribute are then
processed and entered into a Cartesian diagram which is divided into four quadrants.  This study shows that
of the 22 attributes studied, there are 13 types of attributes that are considered important and 9 attributes
are considered to have satisfactory performance.  The types of performance attributes that need to be
retained are the taste of food, speed of service, cleanliness of the premises, employee friendliness, security,
employee understanding of the product, comfort of the premises, availability of parking spaces, and
availability of seats.  The types of attributes that must be upgraded in service performance are price, toilet
cleanliness, availability of a prayer room, and availability of air conditioning.",,,,,,,,,,,,,,,,
25,Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'honourific': None, 'family': 'Desiwi', 'lineage': None, 'given': 'Romaniartini'}, 'id': None}, {'id': 'fembriarti.erry@fp.unila.ac.id', 'name': {'given': 'Fembriarti Erry', 'honourific': None, 'family': 'Prasmatiwi', 'lineage': None}}, {'id': 'lina.marlina@fp.unila.ac.id', 'name': {'family': 'Marlina', 'honourific': None, 'lineage': None, 'given': 'Lina'}}]",2337 7070,disk0/00/04/17/09,2022-02,article,['FP1'],pub,1.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 41709, 'mime_type': 'application/pdf', 'language': 'id', 'files': [{'mime_type': 'application/pdf', 'fileid': 461079, 'hash': '30eb9954c98165994b0d803f32000130', 'filename': 'Desi-dampak taman wisata.pdf', 'mtime': '2022-05-22 00:16:40', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 513689, 'objectid': 163370, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461079'}], 'docid': 163370, 'main': 'Desi-dampak taman wisata.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163370', 'rev_number': 2, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/41709,TRUE,2022-05-23 01:30:41,728,2022-05-23 01:30:41,53-60,41709,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5667,DAMPAK TAMAN WISATA TALANG INDAH TERHADAP PEREKONOMIAN MASYARAKAT DI KABUPATEN PRINGSEWU,10.0,7,show,archive,2022-05-23 01:30:41,,['AC'],"Talang Indah Tourism Park is a tourist attraction located in Pringsewu Regency. The purpose of this research is to analyze the impact of Talang Indah Park on the economy of the people in the Pringsewu Regency. The research method used was a survey method with 75 visitor respondents, 12 business actors, and 23 labor respondents.  The data analysis method used is the Keynesian multiplier effect, by calculating the direct impact, indirect impact, and induced impact.  This study concludes that the direct impact that is felt is IDR24,405,000.00 per month, the indirect impact is IDR35,770,000.00  per month, and the induced impact is IDR42,402,000.00 per month. The Keynesian Income Multiplier value at Talang Indah Park is 5.20, so it can be concluded that Talang Indah Tourism Park has economic impact on tourism activities.

Key words: direct, indirect, induced, multiplier effect, tourism park",,,,,,,,,,,,,,,,
26,Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science,"[{'id': None, 'name': {'honourific': None, 'family': 'Devi', 'lineage': None, 'given': 'Nirmala'}}, {'id': 'dwih_unila@yahoo.com', 'name': {'family': 'Haryono', 'honourific': None, 'lineage': None, 'given': 'Dwi'}}, {'name': {'family': 'Saleh', 'honourific': None, 'lineage': None, 'given': 'Yuliana'}, 'id': 'agb_yulianasaleh@yahoo.com'}]",2620-4177,disk0/00/04/23/25,2022-05-31,article,['FP1'],pub,2.0,Jurusan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 42325, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash': 'db786a92af1b0857d66b23523d110ff9', 'filename': 'Analisis Kinerja Produksi.pdf', 'mtime': '2022-06-11 02:42:52', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 465652, 'filesize': 193719, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465652', 'objectid': 164028}], 'main': 'Analisis Kinerja Produksi.pdf', 'docid': 164028, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164028', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/42325,TRUE,2022-06-12 11:36:59,1190,2022-06-12 11:36:59,230-236,42325,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5788/pdf,"ANALISIS KINERJA PRODUKSI, NILAI TAMBAH DAN KEUNTUNGAN AGROINDUSTRI KERIPIK (STUDI KASUS AGROINDUSTRI KERIPIK BUDE DI KABUPATEN LAMPUNG UTARA)",10.0,10,show,archive,2022-06-12 11:36:59,"[{'url': 'https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5788/pdf', 'type': 'pub'}]",['S1'],"The aims of this research are to analyze the production performance, added value, and profit of chips agroindustry. Respondents were the owner and employees of agroindustry. The method used was a case study at Keripik Bude Agroindustry in North Lampung District. The study uses primary data from interviews and direct observations, as well as secondary data quoted from government agencies. The analytical methods used are analysis of production performance, analysis of added value and profit. Production 
performance of the chips agroindustry which includes productivity, capacity, quality, flexibility, and process 
rapidity overall have been maximized. The added value of processing cassava chips has a positive value of 
IDR12,477.07/kg of cassava raw materials and the added value of processing banana chips is IDR8,154.87/kg of banana raw materials, so the business run by the agroindustry is profitable. The total profit from selling cassava chips and banana chips is IDR514,562.50 per production or IDR5,145,625.00 per month, so this business is profitable.

Key words: added value, production performance, profit",,,,,http://dx.doi.org/10.23960/jiia.v10i2.5788,,,,,,,,,,,
27,Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'given': 'Kartika Ruri Setyo', 'lineage': None, 'family': 'Dewi', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Sayekti', 'lineage': None, 'given': 'Wuryaningsih Dwi'}, 'id': 'sayekti_wur@yahoo.co.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Nugraha', 'given': 'Adia'}, 'id': None}]",2337 7070,disk0_bak/00/04/85/99,2022,article,['FP1'],pub,4.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'security': 'public', 'placement': 2, 'eprintid': 48599, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 820705, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-02-27 05:04:41', 'hash': '64dff53f4e3c6fb73c00075b75a975ac', 'filename': '6352-20457-1-PB.pdf', 'fileid': 529928, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529928', 'objectid': 187940}], 'docid': 187940, 'main': '6352-20457-1-PB.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187940', 'format': 'text', 'pos': 2}]",public,http://repository.lppm.unila.ac.id/id/eprint/48599,TRUE,2023-02-27 07:32:54,942,2023-02-27 07:32:54,379-387,48599,published,https://jurnal.fp.unila.ac.id/index.php/JIA/index,ANALISIS PENDAPATAN DAN PEMASARAN USAHATANI KOPI DI KECAMATAN WAY RATAI KABUPATEN PESAWARAN,10.0,9,show,archive,2023-02-27 07:32:54,"[{'type': 'pub', 'url': 'https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/6352/pdf'}]",['S1'],"This study aims to analyze income of arabika and robusta coffee farming, and the marketing channel patern. This research was taken in Harapan Jaya and Pesawaran Indah Villages, Way Ratai District, Pesawaran Regency. The sample of this study consisted of 30 robusta farmers and 13 arabica coffee farmers. The farming subsystem was analyzed descriptive quantitatively to analyze the farmer's income in
the last year and to assess the feasibility of farming. The marketing channel pattern was analyzed descriptive qualitatively to determine the pattern of marketing channels of arabica and robusta coffee. The results showed arabica and robusta coffee farming in Way Ratai District is profitable. Eight percent of arabica coffee farmers used marketing channel II as the most efficient marketing channel, and 40 % of robusta coffee farmers used channel II as the most efficient marketing channel because it has the shortest marketing chain.",,,,,http://dx.doi.org/10.23960/jiia.v10i4.6352,,,,,,,,,,,
28,Journal of Food System and Agribusiness,"[{'id': None, 'name': {'given': 'Selly Muchtar', 'family': 'Djalil', 'honourific': None, 'lineage': None}}, {'id': 'fembriarti.erry@fp.unila.ac.id', 'name': {'given': 'Fembriarti Erry', 'family': 'Prasmatiwi', 'honourific': None, 'lineage': None}}, {'id': 'teguh.endaryanto@fp.unila.ac.id', 'name': {'family': 'Endaryanto', 'honourific': None, 'lineage': None, 'given': 'Teguh'}}]",pISSN 2654-5853,disk0_bak/00/04/98/05,2022-04,article,['FP1'],pub,1.0,Politeknik Negeri Lampung,"[{'main': 'Selly lengkap.pdf', 'docid': 189442, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/539438', 'objectid': 189442, 'filesize': 896157, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-04-06 14:59:15', 'hash': '0ad5cae017f6a936857894925f9ee9b8', 'filename': 'Selly lengkap.pdf', 'fileid': 539438, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189442', 'rev_number': 1, 'eprintid': 49805, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/49805,TRUE,2023-04-08 13:23:19,728,2023-04-08 13:23:19,1-11,49805,,https://jurnal.polinela.ac.id/JFA/article/view/2185,"Preferensi Dan Permintaan Rumah Tangga Terhadap Gula Pasir Di 
Kota Bandar Lampung",6.0,6,show,archive,2023-04-08 13:23:19,,['AC'],"This study aims to The purpose of this study was to analyze the preferences, demands and 
determinants of household consumer sugar demand in Bandar Lampung City. The research 
data were collected in Kemiling, Way Halim, Tanjung Karang Barat and Tanjung Karang 
Timur subdistricts, Bandar Lampung City. The method used is a survey method with multistage 
random sampling technique. Research respondents were housewives totaling 100 households. 
Data analysis used conjoint analysis, descriptive statistical methods and multiple linear 
regression. Data collection was carried out in January-March 2021. The result is that the 
sugar that consumers prefer is packaged sugar with a smooth texture and white color, 
measuring one kilogram with a price range of Rp. 11.500 – Rp. 13,000. The product attributes 
that are considered the most important to the least important in order are the attributes of 
type, texture, color, size, and price. The pattern of household consumer sugar demand based 
on the brand that is widely used is Gulaku sugar with an average sugar purchase of 0.57 
kilograms per capita per month. The determinants of demand for granulated sugar are the 
price of sugar and the number of family members. 
Keywords: Atributes, Demand, Sugar, Preference",,,,,,['Universitas Lampung'],,,,,,,,,,
29,Jurnal Ilmiah Mahasiswa AGROINFO GALUH,"[{'id': 'ridhoelghani04@gmail.com', 'name': {'given': 'Ridho', 'lineage': None, 'family': 'Elghani', 'honourific': None}}, {'id': 'dyaharing@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Lestari', 'honourific': None, 'given': 'Dyah Aring Hepiana'}}, {'name': {'given': 'MR', 'lineage': None, 'family': 'Maya Riantini', 'honourific': None}, 'id': None}]",2579-8359,disk0/00/04/62/56,2022-09-15,article,['FP1'],pub,3.0,"Fakultas Pertanian, Universitas Gauh","[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185143', 'rev_number': 1, 'docid': 185143, 'main': 'ANALISIS KEPUASAN ANGGOTA KOPERASI TERHADAP PELAYANAN KOPERASI.pdf', 'files': [{'objectid': 185143, 'uri': 'http://repository.lppm.unila.ac.id/id/file/511106', 'datasetid': 'document', 'filesize': 306209, 'fileid': 511106, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-04 05:03:31', 'filename': 'ANALISIS KEPUASAN ANGGOTA KOPERASI TERHADAP PELAYANAN KOPERASI.pdf', 'hash': 'd14b4fa335d93e0c4c6da74a2cce063d'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 46256, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/46256,TRUE,2022-11-04 08:29:51,908,2022-11-04 08:29:51,1342-1356,46256,published,https://jurnal.unigal.ac.id/index.php/agroinfogaluh/article/view/8436,"ANALISIS KEPUASAN ANGGOTA KOPERASI TERHADAP PELAYANAN
KOPERASI PERTANIAN SEANDANAN DI KECAMATAN WAY LIMA
KABUPATEN PESAWARAN",9.0,6,show,archive,2022-11-04 08:29:51,"[{'type': 'pub', 'url': 'http://dx.doi.org/10.25157/jimag.v9i3.8436'}]",['S1'],"Anggota koperasi merupakan faktor penting dalam menjalankan kegiatan koperasi. Salah satu hal yang harus diperhatikan dalam koperasi yaitu kepuasan anggota. Kepuasan anggota koperasi terhadap pelayanan koperasi menjadi salah satu tolak ukur keberhasilan koperasi dalam menyejahterakan
anggotanya. Penelitian ini bertujuan untuk menganalisis tingkat kepuasan yang dirasakan anggota koperasi terhadap pelayanan koperasi dan juga mengetahui atribut apa saja yang menjadi prioritas utama Koperasi Pertanian Seandanan. Metode yang digunakan adalah metode survei. Responden yaitu
anggota Koperasi Pertanian Seandanan yang berjumlah 35 anggota yang diambil secara simple random sampling. Pengumpulan data dilakukan pada bulan Februari 2022 sampai dengan Maret 2022. Analisis data yang digunakan adalah Customer Satisfaction Index (CSI) dan Importance Perfomance Analysis(IPA). Hasil penelitian menunjukkan nilai CSI sebesar 70,12 persen yang berarti anggota koperasi puas terhadap pelayanan koperasi. Berdasarkan analisis IPA, terdapat tujuh atribut yang menjadi prioritas utama koperasi untuk lebih ditingkatkan lagi yaitu dukungan peralatan penunjang operasional, petugas lapangan kegiatan operasional memadai, koordinasi karyawan di lingkungan internal koperasi, koordinasi karyawan koperasi dengan instansi lain, jaminan atas kehilangan/kerusakan berkas administrasi, tingkat intelektualitas dan tanggung jawab petugas, dan pemahaman petugas terhadap kebutuhan anggota.

Kata Kunci : kepuasan anggota, koperasi, CSI, IPA",,,,,http://dx.doi.org/10.25157/jimag.v9i3.8436,,,,,,,,,,,
