,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,ispublished,documents,publisher,full_text_status,uri,userid,lastmod,datestamp,creators,dir,date,type,divisions,succeeds,place_of_pub,date_type,pagerange,refereed,number,contributors,publication,issn,related_url,volume,official_url,pages,monograph_type,institution,department,corp_creators,id_number,isbn,book_title,keywords,pres_type,event_location,event_title,event_type,event_dates,contact_email,patent_applicant
25,SIKAP DAN FAKTOR-FAKTOR YANG MEMENGARUHI PEMBELIAN KONSUMEN TERHADAP ROTI KAMURA BAKERYDI KOTA BANDAR LAMPUNG,8,show,archive,2021-11-06 02:09:43,"['AC', 'H1', 'S1']","This study aims to analyze the attitude of consumers toward the purchaseof Kamura Bakery bread in Bandar Lampung  City,  the  purchase  pattern,  and  the  factors  that  influence  the  number  of bread  purchased.    This research was conducted at Kamura Bakery Sukarame branch in Bandar Lampung City.  The research method is a survey with accidental sampling technique.  Respondents were 60 Kamura Bakery consumers who had bought/consumed Kamura Bakery at least once in the last one month. The research data are analyzed using Fishbein  Multi-attribute  analysis,  descriptive  statistics,  and  multiple  linier  regression  analysis.    Data collection was conducted in June -July 2020.  The results showed that the consumers bought bread at Kamura Bakery mostly because of the taste.  The highest amount of Kamura Bakery’s bread purchased was chocolate flavor, the average number purchased was 28 pieces per household monthly,and the average frequency was seven  times  a  month.    The  price  of  sweetened  condensed  milk  and  household  income  have  a  significantly negative  effectson  the  number  of  purchase,  while  the  number  of family  members  has  a  significant  positive effect on the number of bread purchased.

Key words:bread, consumer attitude, purchasingfactors, purchasing patterns",35075,pub,"[{'main': '5341-14565-1-PB.pdf', 'docid': 155840, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/410321', 'objectid': 155840, 'filename': '5341-14565-1-PB.pdf', 'hash': '8272e14c9b3f74372813dd1e1aa860e8', 'hash_type': 'MD5', 'mtime': '2021-11-05 08:50:23', 'mime_type': 'application/pdf', 'fileid': 410321, 'filesize': 877766, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155840', 'rev_number': 1, 'eprintid': 35075, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/35075,942,2021-11-06 02:09:43,2021-11-06 02:09:43,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Devita', 'given': 'Ria'}}, {'id': 'sayekti_wur@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sayekti', 'given': 'Wuryaningsih Dwi'}}, {'name': {'given': 'Rabiatul', 'lineage': None, 'family': 'Adawiyah', 'honourific': None}, 'id': None}]",disk0/00/03/50/75,2021-08-01 00:00:00.000000000,article,['FP1'],,,published,485-492,TRUE,3,,JIIA (Jurnal Ilmu-Ilmu Agribisnis),2337-7070,,9.0,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5341,,,,,,,,,,,,,,,,
26,Performance and Production Cost of Klanting Agroindustry in Gantimulyo Village Pekalongan Subdistrict East Lampung,6,show,archive,2021-12-06 01:07:02,['S1'],"The purpose of this study was to analyze the raw material procurement process with the six right concepts (time, place, type, price, quality, and quantity), production performance and production costs of the Klanting agro-industry in Gantimulyo Village, Pekalongan District, East Lampung Regency. The research method used was case study. This research was conducted in three Klanting agro-industries in Pekalongan District. The research locations were chosen purposely considering that Gantimulyo Village is the center of Klanting production in East Lampung Regency. The respondents of this research were the owners and consumers of the agro-industry. Data collection was conducted from January to February 2020. The analytical methods used were descriptive qualitative and quantitative analysis. The results showed that the procurement of raw materials in the Klanting agro-industry was not appropriate. Klanting agro-industrial production performance in Gantimulyo Village has not been said to be good because two of the five production performance indicators, namely the indicators of capacity and flexibility, have not been optimally implemented by the three klanting industries. Klanting production costs in the Klanting agro-industry were below the selling price. This means that the klanting agro-industry in Gantimulyo Village was profitable.",37125,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 37125, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158032', 'rev_number': 1, 'main': 'Putu Sabna.pdf', 'docid': 158032, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/425590', 'objectid': 158032, 'filesize': 404572, 'datasetid': 'document', 'filename': 'Putu Sabna.pdf', 'hash': 'baeb2e28b6acfd7e6c72398f9e6d984c', 'mtime': '2021-12-03 05:31:55', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 425590}]}]","Departmen of Agribusiness, Lampung State of Polytechnic",public,http://repository.lppm.unila.ac.id/id/eprint/37125,928,2021-12-06 01:07:02,2021-12-06 01:07:02,"[{'name': {'family': 'Dewi', 'honourific': None, 'lineage': None, 'given': 'Putu Sabna'}, 'id': None}, {'name': {'family': 'Murniati', 'honourific': None, 'lineage': None, 'given': 'Ktut'}, 'id': 'ktut.murniati@fp.unila.ac.id'}, {'name': {'given': 'maya', 'honourific': None, 'family': 'riantini', 'lineage': None}, 'id': 'mayaunila@yahoo.com'}]",disk0/00/03/71/25,2021-10-01 00:00:00.000000000,article,['FP1'],,,,136-145,TRUE,2,,Journal of Food System and Agribusiness,26545853,,5.0,http://dx.doi.org/10.25181/jofsa.v5i2.1732,,,,,,,,,,,,,,,,
27,"KERAGAAN AGROINDUSTRI BACANG AYAM EL SHADDAI FOOD MELALUI PEMASARAN KONVENSIONAL DAN ONLINE DI KECAMATAN PENJARINGAN, KOTA JAKARTA UTARA",7,show,archive,2021-11-12 07:43:54,"['AC', 'S1']","This study aims to analyze the raw materials procurement based on six right components, standard cost, distribution channels, marketing margins, and the role of supporting services.  This research uses a case study method at El Shaddai Food Agroindustry, Penjaringan District, North Jakarta City.  The research data were collected in December 2019 to February 2020 and the data analyses method used were qualitative and quantitative descriptive analyses.  The results showed that the six components of raw material procurement process had been done precisely.  The standard cost of chicken bacang was less than the selling price so the business was profitable and the marketing channels consisted of two channels.  Support services that have been utilized to the fullest were market and transportation.

Key words: agroindustry, bacang, marketing, online, performance",36490,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 36490, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157412', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/421014', 'objectid': 157412, 'filesize': 410948, 'datasetid': 'document', 'hash': 'f56062f9fdf7a5e140f71f5038aad4e8', 'filename': 'DAH_Evelyn Faviana.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-12 07:26:12', 'mime_type': 'application/pdf', 'fileid': 421014}], 'main': 'DAH_Evelyn Faviana.pdf', 'docid': 157412}]",Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/36490,908,2021-11-12 07:43:54,2021-11-12 07:43:54,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Faviana', 'given': 'Evelyn'}}, {'id': 'dyaharing@fp.unila.ac.id', 'name': {'given': 'Dyah Aring Hepiana', 'lineage': None, 'family': 'Lestari', 'honourific': None}}]",disk0/00/03/64/90,2021-08-01 00:00:00.000000000,article,['FP1'],,,published,,TRUE,3,,JIIA (Jurnal Ilmu-Ilmu Agribisnis),2337-7070,,9.0,,,,,,,,,,,,,,,,,
28,"Indonesian coffee exports and its relation to global market
integration",6,show,archive,2022-03-17 00:58:29,['H1'],"Coffee price is an important indicator that stimulates farmers to advance their
welfare. Unfortunately, coffee crisis makes the farm gate price uncertain and
volatile. This study aims to explore the Indonesian coffee export situation related
to price risks and coffee market integration between Indonesian coffee price and
international price. The time series data were the coffee price from 1987 to 2014
in Indonesian domestic market and in global trade in London. Vector Error
Correction Model (VECM) approach was applied to test market integration based
on Ravallion’s equation. Based on the analysis, the results of the study revealed
that Indonesian coffee export performed progressively in the last decade. Export
destination countries for Indonesian coffee also developed broadly. There was
market integration on the Indonesian coffee market and global price in the
London terminal. Although not fully, the shock in the international price was
somehow felt in the Indonesian coffee market. There were sufficient shreds of
evidence to conclude that the Indonesian coffee market is well integrated with
the international market in the long run. The changing coffee price in Indonesia
and the International market adjusted in the next three years. In short term,
Indonesian coffee price was 76% influenced by international price changes, but
not vice versa.",40232,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 40232, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 962127, 'datasetid': 'document', 'filename': 'JSED-Widya.pdf', 'hash': 'd46a35ba6bbc1c46d5fec0e1392e8f26', 'hash_type': 'MD5', 'mtime': '2022-03-16 07:59:45', 'mime_type': 'application/pdf', 'fileid': 449374, 'uri': 'http://repository.lppm.unila.ac.id/id/file/449374', 'objectid': 161534}], 'main': 'JSED-Widya.pdf', 'docid': 161534, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161534', 'pos': 1, 'format': 'text'}]",Jurusan Agribisnis Universitas Widyagama,public,http://repository.lppm.unila.ac.id/id/eprint/40232,948,2022-03-17 00:58:29,2022-03-17 00:58:29,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Fitriani', 'given': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}, {'name': {'family': 'Arifin', 'honourific': None, 'lineage': None, 'given': 'Bustanul'}, 'id': 'barifin@uwalumni.com'}, {'id': 'hismono@yahoo.com', 'name': {'given': 'R Hanung', 'lineage': None, 'honourific': None, 'family': 'Ismono'}}]",disk0/00/04/02/32,2021-04-30 00:00:00.000000000,article,['FP1'],,,published,120-133,TRUE,1,,Journal of Socioeconomics and Development,2615-6946,,4.0,http://publishing-widyagama.ac.id/ejournal-v2/index.php/jsed,,,,,,,,,,,,,,,,
29,Lampung Macroeconomy: A Model of Social Accounting Matrix,9,show,archive,2022-03-17 00:58:23,"['H1', 'HB']","Indonesia’s economics contribute dominantly to the agriculture sector. Its also represented in Lampung
Province, Indonesia. The main goal of the research was to design an agricultural development
model. The method is approached by Social Accounting Matrix (SAM) model. SAM Lampung was
designed as a macro model with an 8 x 8 matrix. Secondary data of Input-Output Lampung 2010 as
basic data. Data sources get from Lampung Statistic Board and agriculture agency, industrial and
trade agency, and Indonesia monetary authorization. The result revealed that based on the total
multiplier, the agriculture sector is still dominant in Lampung’s economic structure. Unfortunately,
agriculture’s household multiplier was the lowest compared with trade and industry, and services.
This fact indicates that agriculture development is not adequate yet enhancing the farmer’s income.
Agriculture development needs to address farmer’s households. Stimulation on agriculture exogenous
balance is necessary to enhance farmers’ household income.
Keywords: multiplier, social accounting matrix, agriculture, Lampung",40226,pub,"[{'docid': 161530, 'main': 'jep.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/449344', 'objectid': 161530, 'hash_type': 'MD5', 'mtime': '2022-03-16 04:48:03', 'filename': 'jep.pdf', 'hash': '3aa23b10915c02d3345fedd7bc266e3a', 'fileid': 449344, 'mime_type': 'application/pdf', 'filesize': 265675, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161530', 'rev_number': 1, 'eprintid': 40226, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Balai Penelitian Dan Pengembangan Ekonomi Fakultas Ekonomi Universitas Muhammadiyah Surakarta,public,http://repository.lppm.unila.ac.id/id/eprint/40226,948,2022-03-17 00:58:23,2022-03-17 00:58:23,"[{'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}, 'id': 'fitriani_mathunila@yahoo.co.id'}, {'id': 'sutarni@polinela.ac.id', 'name': {'honourific': None, 'family': 'Sutarni', 'lineage': None, 'given': 'Sutarni'}}, {'id': 'eviyuniarti@polinela.ac.id', 'name': {'honourific': None, 'family': 'Yuniarti', 'lineage': None, 'given': 'Evi'}}, {'name': {'given': 'R Hanung', 'honourific': None, 'family': 'Ismono', 'lineage': None}, 'id': 'hismono@yahoo.com'}, {'name': {'lineage': None, 'family': 'Lestari', 'honourific': None, 'given': 'Dyah Aring Hepiana'}, 'id': 'dyaharing@yahoo.com'}, {'name': {'family': 'Haryono', 'honourific': None, 'lineage': None, 'given': 'Dwi'}, 'id': 'dwih_unila@yahoo.com'}]",disk0/00/04/02/26,2021-12-16 00:00:00.000000000,article,['FP1'],,,published,263-273,TRUE,2,,jurnal ekonomi pembangunan,1411-6081,,22.0,http://journals.ums.ac.id,,,,,,,,,,,,,,,,
30,ANALISIS PENDAPATAN USAHATANI ANGGOTA KOPERASI DAN NILAI TAMBAH PRODUK OLAHAN KOPI DI KOPERASI AGRO PANCA BHAKTI KABUPATEN LAMPUNG BARAT,7,show,archive,2021-11-12 09:03:55,"['AC', 'S1']","This research aims to analyze income farming of cooperative members and added value of processed products of coffee at cooperative Agro Panca Bhakti. This research was purposively conducted at Cooperative Agro Panca Bhakti, Sekincau, West Lampung Regency from May to July 2018 with 34 respondents cooperative members and 4 respondents cooperative management. The data of this research were collected by using case study method and were analyzed descriptively by income farming analysis and value added method by Hayami. The results of this research showed that the average of income based on total cost per year received by cooperative members was Rp11.012.188,82 per hectare. Processed products of coffee at cooperative Agro Panca Bhakti was viable development because it has positive added value.


Keywords : coffee, income farming, value added",36499,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 36499, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157422', 'docid': 157422, 'main': 'DAH_Fenti Gasanov.pdf', 'files': [{'filesize': 582350, 'datasetid': 'document', 'mtime': '2021-11-12 07:46:54', 'hash_type': 'MD5', 'filename': 'DAH_Fenti Gasanov.pdf', 'hash': '13f8a5abf614f7975c2a6ee20dbf5fc4', 'fileid': 421171, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/421171', 'objectid': 157422}]}]",Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/36499,908,2021-11-12 09:03:55,2021-11-12 09:03:55,"[{'name': {'given': 'Fenti', 'family': 'Gasanova', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'dyaharing@fp.unila.ac.id', 'name': {'given': 'Dyah Aring Hepiana', 'honourific': None, 'family': 'Lestari', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Adawiyah', 'honourific': None, 'given': 'Rabiatul'}, 'id': None}]",disk0/00/03/64/99,2021-11-01 00:00:00.000000000,article,['FP1'],,,published,,TRUE,4,,JIIA (Jurnal Ilmu-Ilmu Agribisnis),2337-7070,,9.0,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5389,,,,,,,,,,,,,,,,
31,"DAMPAK COVID-19 TERHADAP STRUKTUR BIAYA DAN 
PENDAPATAN AGROINDUSTRI DI BANDAR LAMPUNG",7,show,archive,2021-11-11 09:08:03,['S1'],"Pandemi Covid-19 di lebih dari 185 negara di dunia sangatlah membawa dampak yang berkepanjangan dalam segala aspek yang menyangkut kehidupan umat manusia, tidak terkecuali di Indonesia. Hingga saat ini pandemi Covid-19 masih ditetapkan sebagai bencana nasional. Salah satu dampak paling besar yang dirasakan akibat pandemi ini adalah pada aspek perekonomian, termasuk usaha agroindustri. Pandemi ini memiliki efek ekonomi langsung terhadap agroindustri, 
khususnya agroindustri yang berbahan baku impor seperti agroindustri tempe. Gunung Sulah menjadi salah satu sentra agroindustri tempe di Bandar Lampung. Pada masa pandemi Covid-19 seperti sekarang, para pengrajin tempe dihadapkan 
pada permasalahan bahan baku. Harga kedelai impor melonjak naik sekitar Rp2.000,00-Rp3.000,00 per kilogram dari harga biasanya. Dampak pandemi covid-19 diduga akan meningkatkan biaya bahan baku dan menurunkan penerimaan agroindustri tempe. Dampak akhirnya adalah pendapatan pengusaha 
agroindustri akan berkurang. Oleh karena itu, penelitian ini memiliki tujuan khusus untuk menganalisis dampak pandemi Covid-19 terhadap struktur biaya dan keuntungan agroindustri tempe di Kota Bandar Lampung. 

Pengrajin di Kelurahan Gunung Sulah terbagi menjadi 2, yaitu pengrajin tahu dan tempe. Responden penelitian ini adalah pengrajin tempe di Kelurahan Gunung Sulah sebanyak 66 orang. Pengambilan sampel menggunakan stratified random sampling atau pengambilan sampel secara acak. Metode analisis menggunakan analisis struktur biaya, keuntungan, dan uji beda. Hasil penelitian menunjukkan bahwa struktur biaya agroindustri tempe di Bandar Lampung terdampak pandemi 
covid-19. Struktur biaya terbesar terdapat pada bahan baku utama yaitu kedelai yang harganya sesudah pandemi lebih tinggi daripada sebelum pandemi. Perbedaan biaya bahan baku utama tempe tersebut berbeda nyata. Struktur biaya lainnya seperti biaya tenaga kerja dan biaya overhead tidak berbeda nyata. Keuntungan agroindustri tempe di Bandar Lampung terdampak pandemi covid�19. Keuntungan sesudah pandemi lebih rendah daripada sebelum pandemi. Perbedaan keuntungan tersebut berbeda nyata. 

Kata Kunci: dampak pandemi covid-19, agroindustri, struktur biaya, pendapatan",36194,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 36194, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157138', 'format': 'text', 'pos': 1, 'files': [{'filename': 'LAPORAN PENELITIAN DIPA FP UNILA 2021 (DWI HARYONO, DKK).pdf', 'hash': '820fbe46b8f3091a4570288728ad1522', 'hash_type': 'MD5', 'mtime': '2021-11-11 08:57:18', 'mime_type': 'application/pdf', 'fileid': 418939, 'filesize': 465958, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/418939', 'objectid': 157138}], 'docid': 157138, 'main': 'LAPORAN PENELITIAN DIPA FP UNILA 2021 (DWI HARYONO, DKK).pdf'}]",Fakultas Pertanian Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/36194,1190,2021-11-11 09:08:03,2021-11-11 09:08:03,"[{'name': {'given': 'Dwi', 'lineage': None, 'honourific': None, 'family': 'Haryono'}, 'id': 'dwih_unila@yahoo.com'}, {'name': {'lineage': None, 'family': 'Saleh', 'honourific': None, 'given': 'Yuliana'}, 'id': 'agb_yulianasaleh@yahoo.com'}, {'id': None, 'name': {'given': 'Achdiansyah', 'family': 'Soelaiman', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'Dewi Mulia', 'lineage': None, 'family': 'Sari', 'honourific': None}}]",disk0/00/03/61/94,2021-11-11 00:00:00.000000000,other,['FP1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Transaction Cost and Its Effect to The Income of Cassava Farming,11,show,archive,2022-01-07 01:09:59,['S1'],"The objectives of the study are to analyze the amount of transaction cost of cassava farming,
analyze income of cassava farming after transaction costs, and analyze the effect of
transaction cost to the income of cassava farming in Central Lampung Regency. The research
was held in the district of Rumbia, Central Lampung Regency. The reasearch used survey
method to 141 cassava farmers in the district of Rumbia, Central Lampung Regency, taken
purposively. The analysis used quantitative analysis method on Transaction cost (TrC);
income analysis, and double linear regression. The results showed (1) transaction cost of
cassava farming is Rp. 732.725,17/ha/farmer/season (2) the income of cassava farming is Rp.
10.666.036,03/ha with R/C ratio of 1,79 means that cassava farming is worthed to be
continuesly developed in Central Lampung Regency, and (3) transaction cost gave the real
impact to the income of cassava farming.",37701,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 37701, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158629', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/429872', 'objectid': 158629, 'hash_type': 'MD5', 'mtime': '2022-01-06 08:20:10', 'hash': '8ed17fa51b7b3716eae8c1abc841e44c', 'filename': '2123-Article Text-6370-1-10-20211020.pdf', 'fileid': 429872, 'mime_type': 'application/pdf', 'filesize': 690353, 'datasetid': 'document'}], 'docid': 158629, 'main': '2123-Article Text-6370-1-10-20211020.pdf'}]",Poloiteknik Negeri Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/37701,928,2022-01-07 01:09:59,2022-01-07 01:09:59,"[{'id': 'dwih_unila@yahoo.com', 'name': {'family': 'Haryono', 'honourific': None, 'lineage': None, 'given': 'Dwi'}}, {'name': {'given': 'Wan Abbas', 'lineage': None, 'honourific': None, 'family': 'Zakaria'}, 'id': 'Wan_abbas@yahoo.com'}, {'name': {'honourific': None, 'family': 'Murniati', 'lineage': None, 'given': 'Ktut'}, 'id': 'ktut.murniati@fp.unila.ac.id'}]",disk0/00/03/77/01,2021-08-01 00:00:00.000000000,article,['FP1'],,,published,167-183,TRUE,2,,Jurnal Penelitian Pertanian Terapan,1410-5020,,21.0,https://jurnal.polinela.ac.id/jppt/article/view/2123,,,,,,,,,,,,,,,,
33,"POLA PENGEMBANGAN KELEMBAGAAN BADAN USAHA MILIK DESA RAMAKSA
UNTUK KEMANDIRIAN DESA DI DESA SUNGAI LANGKA,
KECAMATAN GEDONG TATAAN, KABUPATEN PESAWARAN",8,show,archive,2021-11-11 10:08:24,['S1'],"Desa Sungailangka merupakan salah satu desa di Kabupaten Pesawaran yang
memiliki Bumdes yang telah aktif beroperasi sejak 2016 yang bernama
Bumdes RAMAKSA. Hadirnya Bumdes ini diharapkan mampu menjadi motor
penggerak perekonomian desa berbasis masyarakat. Bumdes RAMAKSA juga
diharapkan mampu menjadi salah satu pilar penunjang dari terwujudnya visi
desa yaitu “Menjadi Desa Agrowisata SIMPATIK”.
Tujuan dari kegiatan ini adalah untuk : (a) meningkatkan kapasitas pengurus
dalam rangka pengelolan dan pengembangan usaha Bumdes RAMAKSA (b)
penguatan kelembagaan dan pemasaran usaha Bumdes RAMAKSA. Sasaran
kegiatan pengabdian ini adalah pengurus dan pengelola kelompok tani wanita
Bumdes RAMAKSA Desa Sungai Langka Kecamatan Gedong Tataan
Kabupaten Pesawaran. Pelatihan akan diberikan kepada anggota kelompok tani
yang tergabung dalam Bumdes Ramaksa berjumlah 20 orang. Kegiatan
pengabdian ini dilakukan dengan metode ceramah, diskusi, dan pendampingan.
Hasil kegiatan pengabdian ini yaitu setelah diadakan pelatihan terjadi
perubahan pengetahuan yang signifikan terkait, manajemen dan organisasi
bumdes, penguatan kelembagaan dan pengetahuan pengembangan produk dan
pemasaran Bumdes RAMAKSA. Perubahan tingkat pengetahuan peserta ratarata
hasil posttest sebesar 100 persen. Pentingnya manajemen dan organisasi
bumdes serta penguatan kelembagaan agar bumdes dapat dikelola secara
professional dan harus melakukan kerjasama dengan pihak-pihak yang
kompoten agar Bumdes semakin terbuka wawasan dan jaringan pemasarannya.
Pengembangan Bumdes perlu dilakukan agar Bumdes yang telah berdiri dapat
berfungsi sesuai dengan peranannya agar dapat membangun desa mandiri
sebagai sarana untuk meningkatkan kapasitas SDM pengelola Bumdes dan
kelompok tani yang efektif dan efisien.",36225,unpub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/419133', 'objectid': 157163, 'filesize': 915632, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-11-11 09:56:26', 'hash': 'b847a481076eff0d66bc6be235d3dfd9', 'filename': '4c61d62dbd2652d34c90a85dfb683b4d-compressed.pdf', 'fileid': 419133, 'mime_type': 'application/pdf'}], 'docid': 157163, 'main': '4c61d62dbd2652d34c90a85dfb683b4d-compressed.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157163', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 36225, 'mime_type': 'application/pdf', 'language': 'en'}]",Fakultas Pertanian Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/36225,928,2021-11-11 10:08:24,2021-11-11 10:08:24,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Haryono', 'given': 'Dwi'}, 'id': 'dwih_unila@yahoo.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Zakaria', 'given': 'Wan Abbas'}, 'id': 'Wan_abbas@yahoo.com'}, {'id': 'ktut.murniati@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Murniati', 'honourific': None, 'given': 'Ktut'}}, {'id': 'lidya_masindah@yahoo.com', 'name': {'family': 'Indah', 'honourific': None, 'lineage': None, 'given': 'Lidya Sari Mas'}}]",disk0/00/03/62/25,2021-11-01 00:00:00.000000000,other,['FP1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Hasil Peer Review-Biaya Transaksi dan Pengaruhnya Terhadap Pendapatan Usahatani Ubi Kayu,9,show,archive,2022-06-21 01:20:13,['S1'],"The objectives of the study are to analyze the amount of transaction cost of cassava farming, analyze income of cassava farming after transaction costs, and analyze the effect of transaction cost to the income of cassava farming in Central Lampung Regency. The research was held in the district of Rumbia, Central Lampung Regency. The reasearch used survey method to 141 cassava farmers in the district of Rumbia, Central Lampung Regency, taken purposively. The analysis used quantitative analysis method on Transaction cost (TrC);income analysis, and double linear regression. The results showed (1) transaction cost of cassava farming is Rp. 732.725,17/ha/farmer/season (2) the income of cassava farming is Rp.10.666.036,03/ha with R/C ratio of 1,79 means that cassava farming is worthed to be continuesly developed in Central Lampung Regency, and (3) transaction cost gave the real impact to the income of cassava farming.",42675,pub,"[{'eprintid': 42675, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '18. JPPT.pdf', 'docid': 164396, 'files': [{'objectid': 164396, 'uri': 'http://repository.lppm.unila.ac.id/id/file/468148', 'datasetid': 'document', 'filesize': 287737, 'fileid': 468148, 'mime_type': 'application/pdf', 'mtime': '2022-06-20 13:23:21', 'hash_type': 'MD5', 'hash': 'c03693b448422aa93fc813187d25de92', 'filename': '18. JPPT.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164396', 'rev_number': 1}]",Politeknik Negeri Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/42675,928,2022-06-21 01:20:13,2022-06-21 01:20:13,"[{'name': {'family': 'Haryono', 'honourific': None, 'lineage': None, 'given': 'Dwi'}, 'id': 'dwih_unila@yahoo.com'}, {'id': 'Wan_abbas@yahoo.com', 'name': {'family': 'Zakaria', 'honourific': None, 'lineage': None, 'given': 'Wan Abbas'}}, {'name': {'family': 'Murniati', 'honourific': None, 'lineage': None, 'given': 'Ktut'}, 'id': 'ktut.murniati@fp.unila.ac.id'}, {'name': {'given': 'Zulkarnain', 'lineage': None, 'honourific': None, 'family': 'Zulkarnain'}, 'id': None}, {'name': {'given': 'Rakhmiati', 'honourific': None, 'family': 'Rakhmiati', 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Handayani', 'honourific': None, 'given': 'Etik Puji'}, 'id': None}, {'name': {'family': 'Syahputra', 'honourific': None, 'lineage': None, 'given': 'Fikri'}, 'id': None}, {'id': None, 'name': {'family': 'Vitratin', 'honourific': None, 'lineage': None, 'given': 'Vitratin'}}]",disk0/00/04/26/75,2021-08-20 00:00:00.000000000,other,['FP1'],,Jurnal Penelitian Pertanian Terapan,published,,,,,,,,,https://jurnal.polinela.ac.id/jppt/article/download/2123/1377,,,,,,,,,,,,,,,,
