,eprintid,metadata_visibility,rev_number,title,official_url,subjects,status_changed,eprint_status,dir,creators,publication,divisions,type,refereed,uri,full_text_status,documents,ispublished,datestamp,lastmod,userid,pres_type,event_title,event_location,abstract,event_type,event_dates,publisher,issn,date_type,succeeds,corp_creators,place_of_pub,pagerange,contact_email,volume,referencetext,id_number,number,book_title,isbn,series,projects,keywords,monograph_type,pages
10,43542,show,13,"Microbiological, physical and chemical properties of joruk (fermented fish product) with different levels of salt concentration",https://smujo.id/biodiv/article/view/7167,['S1'],2022-07-22 01:04:42,archive,disk0/00/04/35/42,"[{'id': 'dyah.koesoemawardani.fp.unila.ac.id', 'name': {'given': 'Dyah', 'honourific': None, 'family': 'Koesoemawardani', 'lineage': None}}, {'id': None, 'name': {'given': 'Lulu', 'lineage': None, 'honourific': None, 'family': 'ulya Afifah'}}, {'name': {'lineage': None, 'family': 'Suharyono', 'honourific': None, 'given': 'Suharyono'}, 'id': 'suharyono@fp.unila.ac.id'}, {'id': 'novita.herdiana@fp.unila.ac.id', 'name': {'given': 'Novita', 'lineage': None, 'honourific': None, 'family': 'Herdiana'}}, {'id': 'esa.ghanim@fp.unila.ac.id', 'name': {'family': 'Ghanim', 'honourific': None, 'lineage': None, 'given': 'Esa'}}, {'name': {'lineage': None, 'family': 'Ali', 'honourific': None, 'given': 'Mahrus'}, 'id': 'mahrus.ali@fp.unila.ac.id'}]",,['FP19'],other,,http://repository.lppm.unila.ac.id/id/eprint/43542,public,"[{'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165486', 'docid': 165486, 'main': 'NilaireviewerJurnalAgritech.pdf', 'files': [{'fileid': 475175, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-07-21 03:15:35', 'filename': 'NilaireviewerJurnalAgritech.pdf', 'hash': '07be4fdbe592363ec2c7618a6b764e65', 'datasetid': 'document', 'filesize': 180150, 'objectid': 165486, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475175'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 43542, 'security': 'public', 'placement': 1}]",pub,2022-07-22 01:04:42,2022-07-22 01:04:42,994,,,,Lembar hasil Penilaian Peer Review Jurnal Internasional Biodiversitas,,,UNS Solo,,,,['Universitas Lampung'],Indonesia,,,,,,,,,,,,,
11,34084,show,7,Penilaian Reviewer Karil: Quality and shelf life of white shrimp (Litopenaeus vannamei) processed high pressure CO2 (HPCD) at subcritical and supercritical states.,,['S1'],2021-09-22 04:41:46,archive,disk0/00/03/40/84,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Kustyawati', 'given': 'Maria Erna'}}]",,['FP19'],other,,http://repository.lppm.unila.ac.id/id/eprint/34084,public,"[{'eprintid': 34084, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Penilaian_Reviewer_Karil_Quality Shelf.._JFQ.pdf', 'docid': 154517, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/402325', 'objectid': 154517, 'hash': 'bb1ffc96f8a32844853bdcc55ef86052', 'filename': 'Penilaian_Reviewer_Karil_Quality Shelf.._JFQ.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-22 03:58:20', 'mime_type': 'application/pdf', 'fileid': 402325, 'filesize': 1641312, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154517'}]",unpub,2021-09-22 04:41:46,2021-09-22 04:41:46,1017,,,,,,,LPPM Unila,,,,,,,,,,,,,,,,,,
12,24139,show,7,Penilaian Reviewer: Komposisi Ragi cair Kakao,,['S1'],2020-09-22 08:30:55,archive,disk0/00/02/41/39,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Kustyawati', 'lineage': None, 'given': 'Maria Erna'}}]",,['FP19'],other,,http://repository.lppm.unila.ac.id/id/eprint/24139,public,"[{'security': 'public', 'placement': 1, 'eprintid': 24139, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 572287, 'mime_type': 'application/pdf', 'fileid': 219808, 'hash': '847a487392a02a742a5c813c2d713241', 'filename': 'Nilai Reviewr Komposisi ragi cair kakao.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-21 14:42:07', 'objectid': 37841, 'uri': 'http://repository.lppm.unila.ac.id/id/file/219808'}], 'docid': 37841, 'main': 'Nilai Reviewr Komposisi ragi cair kakao.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37841', 'format': 'text', 'pos': 1}]",unpub,2020-09-22 08:30:55,2020-09-22 08:30:55,1017,,,,-,,,KemenKumHam RI,,completed,,,,,,,,,,,,,,,,
13,40368,show,7,Similarity_Changes of nutritional composition of tempeh during fermentation with the addition of Saccharomyces cerevisiae,,['S1'],2022-03-21 00:56:30,archive,disk0/00/04/03/68,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'family': 'Kustyawati', 'honourific': None, 'lineage': None, 'given': 'Maria Erna'}}, {'name': {'honourific': None, 'family': 'Rizal', 'lineage': None, 'given': 'Samsul'}, 'id': 'samsul.rizal@fp.unila.ac.id'}]",,['FP19'],other,,http://repository.lppm.unila.ac.id/id/eprint/40368,public,"[{'main': 'Similarity_Changes of nutritional composition of tempeh during fermentation with the addition of Saccharomyces cerevisiae.pdf', 'docid': 161678, 'files': [{'filesize': 2195198, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-03-19 09:41:12', 'hash': '799df3f09aa53e4ee233ed6b42d67dd6', 'filename': 'Similarity_Changes of nutritional composition of tempeh during fermentation with the addition of Saccharomyces cerevisiae.pdf', 'fileid': 450369, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/450369', 'objectid': 161678}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161678', 'eprintid': 40368, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,2022-03-21 00:56:30,2022-03-21 00:56:30,1017,,,,,,,LPPM Unila,,,,,,,,,,,,,,,,,,
14,7277,show,7,ANALISIS PERILAKU DAN KEPUASAN KONSUMEN MAHASISWA UNIVERSITAS LAMPUNG TERHADAP MAKANAN CEPAT SAJI MENU UTAMA AYAM BAKAR  (Studi Kasus di Suatu Kantin Bermenu Ayam),http://jurnal.fp.unila.ac.id,['S1'],2018-06-21 01:52:01,archive,disk0/00/00/72/77,"[{'id': 'fibranurainy@gmail.com', 'name': {'given': 'Fibra', 'family': 'Nurainy', 'honourific': None, 'lineage': None}}, {'id': 'azhari.rangga@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'rangga', 'honourific': None, 'given': 'azhari'}}, {'id': None, 'name': {'given': 'Mahesa', 'honourific': None, 'family': 'Reyhan', 'lineage': None}}]",JURNAL TEKNOLOGI & INDUSTRI HASIL PERTANIAN,['FP19'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/7277,public,"[{'eprintid': 7277, 'placement': 1, 'security': 'public', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'main': 'Fibra , Mahesa dkk.docx', 'docid': 20324, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/65977', 'objectid': 20324, 'mtime': '2018-06-18 02:36:19', 'hash_type': 'MD5', 'filename': 'Fibra , Mahesa dkk.docx', 'hash': '636868652f5f8cdb295d1e5d527356c2', 'fileid': 65977, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'filesize': 158621, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20324', 'rev_number': 1}]",inpress,2018-06-21 01:52:01,2018-06-21 01:52:01,961,,,,"Penelitian ini bertujuan untuk mengetahui profil dan perilaku konsumen mahasiswa Universitas Lampung terhadap produk makanan cepat saji menu utama ayam bakar serta mengetahui tingkat kepentingan dan kinerja atribut-atribut yang mempengaruhinya dan menyusun rekomendasi bauran pemasaran. Penelitian ini dilakukan dengan metode survei perilaku dan kepuasan konsumen terhadap 77 mahasiswa melalui wawancara dan pengisian kuesioner.  Data yang diperoleh  dianalisis dengan menggunakan analisis deskriptif,  Importance Performance Analysis, dan Customer Satisfication Index. Berdasarkan hasil survey mayoritas konsumen mahasiswa berjenis kelamin perempuan sebanyak 67 orang dengan usia 20-24 tahun sebanyak 46 orang. Adapun motivasi awal konsumen adalah mudah didapat (29 orang) sedangkan manfaat yang dicari adalah rasanya enak (37 orang).  Sumber informasi yang diperoleh berasal dari teman (53 orang) dimana rasa adalah atribut yang menjadi fokus utama (54 orang).  Konsumen melakukan evaluasi alternatif pada atribut rasa     (45 orang) dan waktu pembelian adalah pada siang hari (43 orang). Konsumen merasa cukup puas (43 orang) dan memutuskan untuk melakukan pembelian kembali (71 orang). Hasil analisis Importance Performance Analysis menunjukan bahwa  kecepatan penyajian menjadi prioritas utama. Atribut yang kinerjanya baik sesuai dengan kepentingan konsumen adalah bumbu, tekstur, higienitas produk, keramahan dalam pelayanan dan kenyamanan tempat. Atribut dengan kinerja rendah adalah penampilan produk, potongan harga pada event tertentu, pemilihan media iklan yang digunakan, wadah penyajian dan ukuran per saji. Atribut yang memiliki tingkat kinerja berlebihan namun tidak dinilai terlalu penting oleh konsumen adalah harga, aroma dan kemudahan menjangkau lokasi. Hasil analisis Customer Satisfication Index (CSI) diperoleh nilai sebesar 86,56% yaitu konsumen merasa sangat puas. Rekomendasi terkait bauran pemasaran (7P) adalah produsen perlu memperbaiki variabel produk yaitu penampilan dan wadah penyajian serta promosi yaitu potongan harga pada event tertentu dan aktif melakukan promosi di media sosial.",,,Jurusan Teknologi Hasil Pertanian FP  Unila,1410-3044,,,,,,,,,,,,,,,,,
15,17748,show,6,Faktor-Faktor yang Mempengaruhi Produksi Yogurt yang Difortifikasi dengan Estrak Daun Cincau Hijau (Premna  Oblongifolia Merr.),,['S1'],2020-02-17 04:16:59,archive,disk0/00/01/77/48,"[{'name': {'honourific': None, 'family': 'Nurdin', 'lineage': None, 'given': 'Samsu Udayana'}, 'id': 'samsu.udayana@fp.unila.ac.id'}, {'id': 'marrizal@yahoo.com', 'name': {'given': 'Samsul', 'honourific': None, 'family': 'Rizal', 'lineage': None}}, {'id': 'susilawati.1961@fp.unila.ac.id', 'name': {'family': 'Susilawati', 'honourific': None, 'lineage': None, 'given': 'Susilawati'}}]",Prosiding Seminar nasional Patpi 2015,['FP19'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/17748,public,"[{'main': 'Faktor-Faktor yang Mempengaruhi Produksi Yogurt yang Difortifikasi.pdf', 'docid': 30866, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/149660', 'objectid': 30866, 'hash_type': 'MD5', 'mtime': '2020-01-29 07:37:43', 'filename': 'Faktor-Faktor yang Mempengaruhi Produksi Yogurt yang Difortifikasi.pdf', 'hash': '093d26df55f1c083fc3f3bf670ead34b', 'fileid': 149660, 'mime_type': 'application/pdf', 'filesize': 963039, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30866', 'rev_number': 1, 'eprintid': 17748, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2020-02-17 04:16:59,2020-02-17 04:16:59,871,,,,"Yogurt is a dairy product that has been consumed for centuries as a part of the diet. We have modified the product to obtain new stirred yogurt with better functional effects through fortification of green cincau(Premna oblongifolia Merr.) leaf extract (GCL) as dietary fiber source. Our research aimed to study effect of GCL concentration and fermentation time on yogurt quality, and effect of sucrose concentration on hedonic quality of the fortified yogurt. There were two steps of research, firstly, 0.00, 0.25, 0.50, 0.75 percent of GCL were added as yogurt ingredient and fermented for 0, 2, 4, and 6 hours to produce stirred yogurt. Secondly, stirred yogurt with the best physical and microbiological characteristics obtained from the first step was optimized for hedonic improvement. The best yogurt was obtained when 0.50% GCL was added and fermented for 6 hours. The best product contained 11.92 log number of lactic acid bacteria, had pH 5.38, lactic acid concentration 0.39%, viscosity 404.17 Cs and dietary fiber concentration 1.65%. Hedonic quality improvement was achieved when the product was presentedwith addition of 20% sucrose solution. Key words: Green cincau leave, yogurt, dietarry fiber, probiotic, functional food.",,,Universitas Katolik Soegijapranata,978-602-65-01-4,published,,,,471-479,,,,,,,,,,,,
16,10299,show,10,Modifikasi Proses Pemasakan Nasi untuk menghasilkan Nasi yang Sehat Untuk Penderita Diabetes.,,['S1'],2018-11-19 04:16:01,archive,disk0/00/01/02/99,"[{'name': {'given': 'Samsu Udayana', 'lineage': None, 'honourific': None, 'family': 'Nurdin'}, 'id': 'samsu.udayana@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Setya Ningrum', 'lineage': None, 'honourific': None, 'family': 'Siska'}}, {'id': 'subeki1968@fp.unila.ac.id', 'name': {'given': 'subeki', 'lineage': None, 'honourific': None, 'family': 'subeki'}}, {'name': {'given': 'Sussi', 'lineage': None, 'honourific': None, 'family': 'Astuti'}, 'id': 'susi.astuti@fp.unila.ac.id'}, {'id': 'asepsukohar@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Sukohar', 'given': 'Asep'}}]",Modifikasi Proses Pemasakan Nasi untuk menghasilkan Nasi yang Sehat Untuk Penderita Diabetes,['FP19'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10299,public,"[{'main': 'Modifikasi Proses Pemasakan Nasi untuk menghasilkan Nasi yang Sehat Untuk Penderita Diabetes..pdf', 'docid': 23294, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/96013', 'objectid': 23294, 'filesize': 397531, 'datasetid': 'document', 'hash': '894b96fc224e8213a1526b75095cd198', 'filename': 'Modifikasi Proses Pemasakan Nasi untuk menghasilkan Nasi yang Sehat Untuk Penderita Diabetes..pdf', 'hash_type': 'MD5', 'mtime': '2018-11-19 02:34:44', 'mime_type': 'application/pdf', 'fileid': 96013}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23294', 'rev_number': 1, 'eprintid': 10299, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",unpub,2018-11-19 04:16:01,2018-11-27 06:47:40,871,,,,"Low glycemic index of rice has beneficial effect for diabetes patients. Some cooking methods of rice have been found significantly decrease glycemic index of rice. The aim of this research was to evaluate the effect of diet containing rice cooked using modified cooking method on blood glucose level of alloxan induced mice.  Diabetic Mice (14 mice) were fed a diet containing rice flour cooked using normal cooking method (Control group) or a diet containing  rice flour cooked using modified cooking method (with heating and cooling method) for 15 days. The research result showed that feed daily intake of mice was not depend on the type of cooking method of rice, but feeding rice cooked using modified cooking method reduced body weight gain of the mice. Diet containing rice cooked using modified cooking method decreased blood glucose level of the alloxan induced mice better than the diet containing rice cooked using normal cooking method, 323.286 mg/dL and  174.714 mg/dL, respectively. 
Keywords: Rice, diabetes, glycemic index, rice cooking methods, resistant starch",,,,,,,,,,samsu.udayana@fp.unila.ac.id,,,,,,,,,,,
17,37156,show,7,Peer review karya ilmiah patent dengan judul Metode untuk memproduksi tepung ubi jalar ungu kaya serat pangan dan antioksidan secara modifikasi fisik,,['S1'],2021-12-06 01:07:55,archive,disk0/00/03/71/56,"[{'id': 'siti.nurdjanah@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nurdjanah', 'given': 'Siti'}}, {'name': {'given': 'Neti', 'lineage': None, 'honourific': None, 'family': 'Yuliana'}, 'id': 'neti.yuliana@fp.unila.ac.id'}]",,['FP19'],other,,http://repository.lppm.unila.ac.id/id/eprint/37156,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 37156, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158059', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 381567, 'fileid': 425833, 'mime_type': 'application/pdf', 'mtime': '2021-12-05 04:41:29', 'hash_type': 'MD5', 'hash': '8524ee3cd18079f587915ea36ca9fa5b', 'filename': 'Peer review karya ilmiah 7_Patent Metode untuk memproduksi tepung ubi jalar ungu.pdf', 'objectid': 158059, 'uri': 'http://repository.lppm.unila.ac.id/id/file/425833'}], 'docid': 158059, 'main': 'Peer review karya ilmiah 7_Patent Metode untuk memproduksi tepung ubi jalar ungu.pdf'}]",pub,2021-12-06 01:07:55,2021-12-06 01:07:55,1082,,,,,,,Kemenkumham RI,,,,,,,neti.yuliana@fp.unila.ac.id,,,,,,,,,,,
18,46399,show,7,SURVEI CEMARAN MIKROBIA DAN MUTU IKAN TONGKOL (Euthynnus affinis) SEGAR,,['S1'],2022-11-10 01:07:30,archive,disk0/00/04/63/99,"[{'name': {'given': 'Antia Asrining', 'honourific': None, 'family': 'Puri', 'lineage': None}, 'id': None}, {'id': 'dewikincai@yahoo.com', 'name': {'given': 'Dewi', 'lineage': None, 'family': 'Sartika', 'honourific': None}}, {'name': {'honourific': None, 'family': 'subeki', 'lineage': None, 'given': 'subeki'}, 'id': 'subeki1968@fp.unila.ac.id'}]",Inovasi dan Pembangunan: Jurnal Kelitbangan,['FP19'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/46399,public,"[{'docid': 185276, 'main': '4873.pdf', 'files': [{'objectid': 185276, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512147', 'fileid': 512147, 'mime_type': 'application/pdf', 'mtime': '2022-11-09 09:27:27', 'hash_type': 'MD5', 'filename': '4873.pdf', 'hash': 'b6eac39e3e85cc4c2232e8d545322eb8', 'datasetid': 'document', 'filesize': 834126}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185276', 'eprintid': 46399, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2022-11-10 01:07:30,2022-11-10 01:07:30,306,,,,"According to Lu et al. (2010), one of the fishing products that has high in nutritionis is 
swordfish. Swordfish poisoning that often occurs is histamine poisoning (scombroid fish 
poisoning). This is caused by pathogen bacterial contamination such as Escherichia coli, 
Salmonella, Vibrio cholerae, Enterobacteriacea, etc (Kurniawan et al, 2012). The aim ofthis 
researchwas to know the difference of microbes contamination and physical appearance on 
the swordfish (Euthynnus affinis) from traditional markets, modern and fish auction markets 
in Bandar Lampung.This research was done in two stages. The first stage was done 
collecting swordfish samples randomlyfrom traditional, modern, and auction markets in 
Bandar Lampung. There were 13 traditional markets, 7 modern markets, and 2 warehouse 
markets in Bandar Lampung. The second stage of research were do total analysis of 
microbes, the total plate count (TPC) test, Eschericia colitest, Salmonella sp.test, and 
freshness level on swordfish using organoleptic test. Then the data of observed total colony 
and the results data of the organoleptic test were analyzed using BNJ test. The conclusion of 
this research were be found a difference and swordfishfreshness level on traditional, modern, 
and auction markets in Bandar Lampung.The lowest value of total plate count 6,5 x 104
, 
Eschericia coli1,53 x 104
, and Salmonella sp3 x 101
.
Keywords : Escherichia coli, Salmonella sp., total plate count (TPC), swordfish quality",,,,147-161,,,,,,,,,,,,,,,,,
19,25271,show,6,"The growth of yeast and fungi, the formation of β-glucan, and the antibacterial activities during soybean fermentation in producing tempeh",https://www.hindawi.com/journals/ijfs/about/,['S1'],2020-11-16 01:38:24,archive,disk0/00/02/52/71,"[{'name': {'family': 'Rizal', 'honourific': None, 'lineage': None, 'given': 'Samsul'}, 'id': 'samsul.rizal@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Maria Erna', 'lineage': None, 'family': 'Kustiati', 'honourific': None}}, {'id': 'murhadiburcik@gmail.com', 'name': {'given': 'Murhadi', 'family': 'Murhadi', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Udin', 'lineage': None, 'family': 'Hasanudin', 'honourific': None}, 'id': 'udinha65@gmail.com'}]",International Journal of Food Science,['FP19'],article,FALSE,http://repository.lppm.unila.ac.id/id/eprint/25271,public,"[{'files': [{'mtime': '2020-11-14 23:01:44', 'hash_type': 'MD5', 'hash': '8599356b3a155e0dec31f81625c822c0', 'filename': 'Samsul Rizal - Effect Sachharomyces cerevisiae on Tempeh ssa 290920.pdf', 'fileid': 228324, 'mime_type': 'application/pdf', 'filesize': 458216, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/228324', 'objectid': 39050}], 'main': 'Samsul Rizal - Effect Sachharomyces cerevisiae on Tempeh ssa 290920.pdf', 'docid': 39050, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39050', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 25271, 'language': 'en', 'mime_type': 'application/pdf'}]",submitted,2020-11-16 01:38:24,2020-11-16 01:38:24,974,,,,"Generally, the microorganism involved in soybean fermentation for the production of tempeh is Rhizopus oligosporus. However, Saccharomyces cerevisiae, a type of β-glucan-producing yeast, is known to be present and grow in the fermentation process. This study aimed to investigate yeast and fungi growth dynamics, the β-glucan formation, and antibacterial activity against Escherichia coli during the fermentation after adding S. cerevisiae as an inoculum. The Randomized Complete Block Design (RCBD) was applied with two treatments and three replications. Three kinds of starter culture are S. cerevisiae, R. oligosporus, and the combination of both. The second treatment was fermentation time at room temperature (30±2ºC) for 0, 8, 16, 24, 32, and 40 hours. The dynamics were observed every eight hours. The results explained that yeast grew during this process from a single S. cerevisiae culture and a mixture of R. oligosporus and S. cerevisiae, but not from R. oligosporus alone. The yeast grew during and until the end of fermentation and decreased after 32 hours in the mixed cultures. The -glucan formed in tempeh with all types of inoculum, but the antimicrobial activity against E. coli increased with fermentation. The highest β-glucan content and antibacterial activity of tempeh are from the mixed culture. In conclusion, the addition of S. cerevisiae and R. oligosporus in soybean fermentation produced tempeh with the highest β-glucan content and antibacterial activity against E. coli. The presence of β-glucans suggests to higher health benefits of tempeh.
Keywords: soybean tempeh; yeast growth; Saccharomyces cerevisiae; Rhizopus oligosporus; β-glucan production; fermentation time.",,,Hindawi,2314-5765 (online); 2356-7015 (print),submitted,,,,,samsul.rizal@fp.unila.ac.id,,,,,,,,,,,
