,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,ispublished,documents,publisher,uri,full_text_status,lastmod,userid,datestamp,creators,date,dir,type,divisions,event_type,date_type,event_title,pagerange,corp_creators,refereed,pres_type,contributors,official_url,volume,issn,publication,number,id_number,editors,pages,isbn,place_of_pub
10,"SImilarity ""The patterns of lead and copper levels in the vicinity of heavy metal sources in Lampung, the southern part of Sumatra,Indonesia""",7,show,2023-04-08 13:25:48,archive,['S1'],"Heavy metals may easily move through the air system and may deposit and
accumulate in the soil system by water precipitation away from their sources. This research
aimed to evaluate the soil concentrations of Pb and Cu in the vicinity of several sources of
heavy metals in Lampung, the southern part of Sumatra, Indonesia. Soil samples were
collected at distances of 0 (Central Points) to 500 m from the presumed centers of heavy metal
sources, including industrial areas, heavily traffic/railroads, and the residential areas of Panjang
(Bandar Lampung City), Tanjung Bintang, and Natar (South Lampung Regency). The results
show similar patterns of Pb and Cu distributions along with the sampling points. The soil
concentrations of Pb and Cu were highest at the central points (0 m) and decreased with
distances towards the farthest sampling points of 500 m. The concentrations of Pb and Cu in
Panjang were higher than those in Tanjung Bintang and Natar",49852,unpub,"[{'docid': 189497, 'main': 'Similarity 2021 IOP Conf Series (Ulicoste I).pdf-1.pdf', 'files': [{'mtime': '2023-04-07 06:56:03', 'hash_type': 'MD5', 'hash': '80447b92311fc41c18c47692f8125bfc', 'filename': 'Similarity 2021 IOP Conf Series (Ulicoste I).pdf-1.pdf', 'fileid': 539805, 'mime_type': 'application/pdf', 'filesize': 1065377, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/539805', 'objectid': 189497}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189497', 'eprintid': 49852, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",-,http://repository.lppm.unila.ac.id/id/eprint/49852,public,2023-04-08 13:25:48,5,2023-04-08 13:25:48,"[{'id': 'supriatin.1979@fp.unila.ac.id', 'name': {'given': 'Supriatin', 'lineage': None, 'family': 'Supriatin', 'honourific': None}}, {'name': {'given': 'LMS', 'lineage': None, 'honourific': None, 'family': 'Liska Mutiara Septiana'}, 'id': None}]",2023-04-07,disk0_bak/00/04/98/52,other,['FP23'],,,,,,,,,,,,,,,,,,
11,"Similarity check ""The biochar-improved growth-characteristics of corn (Zea mays L.) in a 22-years old heavy-metal contaminated tropical soil""",7,show,2023-04-08 13:26:27,archive,['S1'],"Biochar was suggested to lower the concentrations of heavy metals in contaminated soils and therefore may improve plant growth. This research was to evaluate the growth of corn (Zea mays L.) in a biochar-amended heavy-metal-contaminated tropical soil. Soil samples were collected from well-maintained experimental plots 22 years after amendment with heavy-metal containing industrial waste at 0 – 60 Mg ha-1. Corn plants were grown for 4 weeks in the soil samples amended with biochar at 0 – 10 Mg ha-1. The corn plant height and dry masses (roots, shoots, and the whole plants) were lowered by waste in relation to the increase in the soil Cu and Zn concentrations. The corn plant dry–weight masses (roots, shoots, whole plant) were well and negatively correlated with the soil Cu and Zn concentrations. The corn plant uptake of Cu and Zn decreased with the increase in the soil Cu and Zn concentration. Biochar improved the corn plant height and dry-weight masses, related to the decrease in the soil Cu and Zn concentrations. Biochar also increased the Zn uptake at waste level of ≥ 15 Mg ha-1 and increased the Cu uptake at waste level ≤ 15 Mg ha-1. The corn plant Cu uptake was linearly and positively correlated with plant dry-weight masses of roots, shoot, and whole plant masses.",49856,unpub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189500', 'rev_number': 1, 'main': 'Similarity IOP AKS.pdf', 'docid': 189500, 'files': [{'objectid': 189500, 'uri': 'http://repository.lppm.unila.ac.id/id/file/539831', 'datasetid': 'document', 'filesize': 551477, 'fileid': 539831, 'mime_type': 'application/pdf', 'mtime': '2023-04-07 07:21:44', 'hash_type': 'MD5', 'filename': 'Similarity IOP AKS.pdf', 'hash': '9cc649e8e9f77a0babb7528493ffd050'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 49856, 'placement': 1, 'security': 'public'}]",-,http://repository.lppm.unila.ac.id/id/eprint/49856,public,2023-04-08 13:26:27,5,2023-04-08 13:26:27,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Supriatin', 'given': 'Supriatin'}, 'id': 'supriatin.1979@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'LMS', 'lineage': None, 'family': 'Liska Mutiara Septiana', 'honourific': None}}]",2023-04-07,disk0_bak/00/04/98/56,other,['FP23'],,,,,,,,,,,,,,,,,,
12,"PENENTUAN REKOMENDASI PEMUPUKAN TANAMAN PADI SAWAH MELALUI UJI TANAH DI DESA WONODADI UTARA KABUPATEN PRINGSEWU, LAMPUNG",8,show,2023-04-06 07:24:39,archive,['S1'],"Salah satu bentuk penyebaran pengetahuan (transfer of knowledge) dalam upaya menggalakkan pertanian yang berwawasan lingkungan dan berkelanjutan adalah melalui kegiatan uji tanah sawah untuk menentukan rekomendasi pemupukan yang berimbang bagi lahan pertanaman padi sawah. Uji tanah sawah dengan menggunakan Perangkat Uji Tanah Sawah (paddy soil test kit) dan analisis sampel tanah telah dilakuan di Desa Wonodadi Utara, Kecamatan Gading Rejo, Kabupaten Pringsewu, Lampung untuk menentukan status kandungan unsur hara N, P, K dan rekomendasi pemupukan N, P, K pada tanah sawah tersebut. Selain melakukan uji dan analisis tanah, penyuluhan penggunaan bahan organik yang berasal dari limbah pertanian lokal, seperti jerami padi, sekam dan kotoran hewan ternak sebagai sumber pupuk organik bagi tanah sawah juga dilakukan agar kebutuhan unsur hara lain selain N, P, K dapat terpenuhi bagi tanaman padi. Hasil analisis tanah menunjukkan bahwa status kandungan hara N pada sampel tanah sawah sangat rendah dan rendah, kandungan hara P sangat rendah dan rendah dan kandungan hara K rendah. Dosis pupuk yang direkomendasikan berdasarkan status hara tanah tersebut adalah 240 kg NPK Phonska/ha + 172 kg Urea/ha + 40 kg KCl/ha atau setara dengan 43,2 kg NPK Phonska + 30,96 kg Urea + 7,2 kg KCl untuk luasan lahan 1800 m2 atau per petak lahan sawah. Petani dapat mengganti pupuk KCl dengan kompos jerami padi karena kandungan K yang tinggi pada jerami padi. Petani sangat dianjurkan mengaplikasikan pupuk organik dalam bentuk kompos jerami padi karena selama ini petani hanya mengaplikasikan pupuk anorganik.",49760,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 49760, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 189400, 'uri': 'http://repository.lppm.unila.ac.id/id/file/539096', 'mime_type': 'application/pdf', 'fileid': 539096, 'filename': 'Supriatin dkk JPFP 2023.pdf', 'hash': '617e3a6880912f4c741e0d6dbec8d97c', 'hash_type': 'MD5', 'mtime': '2023-04-06 05:18:30', 'datasetid': 'document', 'filesize': 762120}], 'docid': 189400, 'main': 'Supriatin dkk JPFP 2023.pdf', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189400', 'format': 'text', 'pos': 1}]",Fakultas Pertanian Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/49760,public,2023-04-06 07:24:39,5,2023-04-06 07:24:39,"[{'id': 'supriatin.1979@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Supriatin', 'honourific': None, 'given': 'Supriatin'}}, {'id': 'sarno.1957@fp.unila.ac.id', 'name': {'given': '-', 'lineage': None, 'honourific': None, 'family': 'Sarno'}}, {'name': {'given': '-', 'honourific': None, 'family': 'Dermiyati', 'lineage': None}, 'id': 'dermiyati.1963@fp.unila.ac.id'}, {'id': 'abdul.kadir@fp.unila.ac.id', 'name': {'given': 'Abdul Kadir', 'family': 'Salam', 'honourific': None, 'lineage': None}}]",2023-03-01,disk0_bak/00/04/97/60,article,['FP23'],,published,,123-134,"['Jurusan Ilmu Tanah Universitas Lampung', 'Jurusan Ilmu Tanah Universitas Lampung', 'Jurusan Ilmu Tanah Universitas Lampung', 'Jurusan Ilmu Tanah Universitas Lampung']",TRUE,,,https://jurnal.fp.unila.ac.id/index.php/JPFP/article/view/6036,2.0,2829-2235,Jurnal Pengabdian Fakultas Pertanian Universitas Lampung,1.0,,,,,
13,"Similarity check ""The phytoextraction of Cu and Zn by elephant grass (Pennisetum purpureum) from tropical soil 21 years after amendment with industrial waste containing heavy metals""",7,show,2023-04-08 13:27:08,archive,['S1'],"Increased soil heavy metal concentrations are suggested to cause roots to work
harder. This research was to study the growth and phytoextraction behaviors of elephant grass
in soil amended with industrial waste. Soil samples were obtained from an experimental field
treated with a heavy metal containing waste at 0, 15 and 60 Mg ha-1, CaCO3 at 0 and 5 Mg ha-1,
and compost at 0 and 5 Mg ha-1. Soil samples were planted with elephant grass, 8 weeks after
which the soil samples were analyzed for Cu and Zn. Plant roots and shoots were harvested
and weighed for their dry-masses and analyzed for Cu and Zn. The results demonstrate that the
Root/Shoot increased and show good correlations with the increase in soil Cu or Zn. The plant
Cu or Zn increased with the increase in soil Cu or Zn but decreased with liming. Plant Cu and
Zn in roots and the whole plants as well as their TFs were well correlated with soil Cu and Zn.
These observations confirm that the root/shoot growth and Cu and Zn absorption by elephant
grass are governed by soil Cu and Zn and elephant grass is a Cu and Zn phytoextractor",49867,unpub,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 539928, 'filename': 'Similarity check 2021 IOP Conf Series (ICSAE 7).pdf', 'hash': 'f3548c8d42586646c1807ae2c6d8448b', 'mtime': '2023-04-07 08:55:03', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 858901, 'objectid': 189524, 'uri': 'http://repository.lppm.unila.ac.id/id/file/539928'}], 'docid': 189524, 'main': 'Similarity check 2021 IOP Conf Series (ICSAE 7).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189524', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 49867, 'mime_type': 'application/pdf', 'language': 'en'}]",-,http://repository.lppm.unila.ac.id/id/eprint/49867,public,2023-04-08 13:27:08,5,2023-04-08 13:27:08,"[{'name': {'given': 'Supriatin', 'lineage': None, 'honourific': None, 'family': 'Supriatin'}, 'id': 'supriatin.1979@fp.unila.ac.id'}, {'name': {'given': 'Sri', 'lineage': None, 'family': 'Yusnaini', 'honourific': None}, 'id': 'sri.yusnaini@fp.unila.ac.id'}]",2023-04-07,disk0_bak/00/04/98/67,other,['FP23'],,,,,,,,,,,,,,,,,,
14,Similarity check Changes in soil phosphorus availability and nutrient uptake by maize following the application of wastewater-acidulated phosphate rock,7,show,2023-01-20 02:03:45,archive,['S1'],,47916,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 47916, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187022', 'pos': 1, 'format': 'text', 'files': [{'filesize': 1856085, 'datasetid': 'document', 'hash': '0b33675fc31cb0ab4a12695a3ef6166f', 'filename': 'Similarity check IOP Changes.pdf', 'hash_type': 'MD5', 'mtime': '2023-01-18 09:37:37', 'mime_type': 'application/pdf', 'fileid': 524175, 'uri': 'http://repository.lppm.unila.ac.id/id/file/524175', 'objectid': 187022}], 'docid': 187022, 'main': 'Similarity check IOP Changes.pdf'}]",-,http://repository.lppm.unila.ac.id/id/eprint/47916,public,2023-01-20 02:03:45,1053,2023-01-20 02:03:45,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Yusnaini', 'given': 'Sri'}, 'id': 'sri.yusnaini@fp.unila.ac.id'}]",2023-01-18,disk0_bak/00/04/79/16,other,['FP23'],,,,,,,,,,,,,,,,,,
15,"Similarity check Changes in soil respiration after application of in situ soil amendment and phosphate fertilizer under soybean cultivation at Ultisol South Lampung,Indonesia",7,show,2023-01-20 08:30:53,archive,['S1'],,47938,unpub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/187046', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 1592275, 'datasetid': 'document', 'filename': 'Similarity IOP SY.pdf', 'hash': 'b57b092674e9fa6cda62fd463eeddd73', 'mtime': '2023-01-20 06:37:06', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 524378, 'uri': 'http://repository.lppm.unila.ac.id/id/file/524378', 'objectid': 187046}], 'docid': 187046, 'main': 'Similarity IOP SY.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 47938}]",-,http://repository.lppm.unila.ac.id/id/eprint/47938,public,2023-01-20 08:30:53,1053,2023-01-20 08:30:53,"[{'name': {'given': 'Sri', 'family': 'Yusnaini', 'honourific': None, 'lineage': None}, 'id': 'sri.yusnaini@fp.unila.ac.id'}]",2023-01-20,disk0_bak/00/04/79/38,other,['FP23'],,,,,,,,,,,,,,,,,,
16,"Similarity check Improving nitrogen fertilizer efficiency with the addition of compost extracts to kailan
(Brassica oleracea L.) plants with wick hydroponic cultivation",8,show,2023-01-20 08:30:48,archive,['S1'],,47935,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 47935, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187042', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'fileid': 524354, 'mime_type': 'application/pdf', 'mtime': '2023-01-20 04:00:27', 'hash_type': 'MD5', 'hash': '3b00b9c1c09d295375f4afb27ed7caec', 'filename': 'similarity sains tanah.pdf', 'datasetid': 'document', 'filesize': 824823, 'objectid': 187042, 'uri': 'http://repository.lppm.unila.ac.id/id/file/524354'}], 'main': 'similarity sains tanah.pdf', 'docid': 187042}]",-,http://repository.lppm.unila.ac.id/id/eprint/47935,public,2023-01-20 08:30:48,1053,2023-01-20 08:30:48,"[{'id': 'sri.yusnaini@fp.unila.ac.id', 'name': {'given': 'Sri', 'lineage': None, 'family': 'Yusnaini', 'honourific': None}}]",2023-01-20,disk0_bak/00/04/79/35,other,['FP23'],,,,,,,,,,,,,,,,,,
17,Similarity check Long-term organic mulching and no-tillage practice increase population and biomass of earthworm in sugarcane plantation,7,show,2023-01-20 02:03:26,archive,['S1'],,47912,unpub,"[{'main': 'Similarity- Niswati_2018_IOP_Conf._Ser.__.pdf', 'docid': 187018, 'files': [{'filesize': 1351004, 'datasetid': 'document', 'mtime': '2023-01-18 08:57:03', 'hash_type': 'MD5', 'hash': 'e2299d10b34246360874eb64f1b254bc', 'filename': 'Similarity- Niswati_2018_IOP_Conf._Ser.__.pdf', 'fileid': 524151, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/524151', 'objectid': 187018}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187018', 'eprintid': 47912, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",-,http://repository.lppm.unila.ac.id/id/eprint/47912,public,2023-01-20 02:03:26,1053,2023-01-20 02:03:26,"[{'id': 'sri.yusnaini@fp.unila.ac.id', 'name': {'given': 'Sri', 'family': 'Yusnaini', 'honourific': None, 'lineage': None}}]",2023-01-19,disk0_bak/00/04/79/12,other,['FP23'],,,,,,,,,,,,,,,,,,
18,"Similarity check Short Communication:Estimation of the above- and below-ground carbon stocks in University of Lampung, Indonesia",7,show,2023-01-20 02:03:10,archive,['S1'],,47909,unpub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187014', 'rev_number': 1, 'main': 'similarity Biodiversitas ISB.pdf', 'docid': 187014, 'files': [{'mime_type': 'application/pdf', 'fileid': 524124, 'filename': 'similarity Biodiversitas ISB.pdf', 'hash': '625196d41322be50c1bd244699ed0a19', 'mtime': '2023-01-18 08:10:43', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 4213006, 'objectid': 187014, 'uri': 'http://repository.lppm.unila.ac.id/id/file/524124'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 47909, 'security': 'public', 'placement': 1}]",-,http://repository.lppm.unila.ac.id/id/eprint/47909,public,2023-01-20 02:03:10,1053,2023-01-20 02:03:10,"[{'id': 'sri.yusnaini@fp.unila.ac.id', 'name': {'given': 'Sri', 'honourific': None, 'family': 'Yusnaini', 'lineage': None}}]",2023-01-18,disk0_bak/00/04/79/09,other,['FP23'],,,,,,,,,,,,,,,,,,
19,"Similarity check Soil fauna population during the maize (Zea maysl.) growth with the addition of organonitrophos, inorganic fertilizer and biochar",7,show,2023-01-20 02:03:21,archive,['S1'],,47911,unpub,"[{'eprintid': 47911, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Similarity Dermiyati_2018_IOP_Conf._Ser.__.pdf', 'docid': 187017, 'files': [{'datasetid': 'document', 'filesize': 1005211, 'mime_type': 'application/pdf', 'fileid': 524144, 'hash': 'b69fa8310127ce6fc353375c50ded370', 'filename': 'Similarity Dermiyati_2018_IOP_Conf._Ser.__.pdf', 'hash_type': 'MD5', 'mtime': '2023-01-18 08:54:52', 'objectid': 187017, 'uri': 'http://repository.lppm.unila.ac.id/id/file/524144'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187017', 'rev_number': 1}]",-,http://repository.lppm.unila.ac.id/id/eprint/47911,public,2023-01-20 02:03:21,1053,2023-01-20 02:03:21,"[{'name': {'given': 'Sri', 'family': 'Yusnaini', 'honourific': None, 'lineage': None}, 'id': 'sri.yusnaini@fp.unila.ac.id'}]",2023-01-18,disk0_bak/00/04/79/11,other,['FP23'],,,,,,,,,,,,,,,,,,
20,"Similarity Check The Residual Copper and Zinc in Tropical Soil over 21 Years after Amendment with Heavy Metal Containing Waste, Lime,and Compost",7,show,2023-01-20 02:01:10,archive,['S1'],,47892,unpub,"[{'placement': 1, 'security': 'public', 'eprintid': 47892, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/524020', 'objectid': 186997, 'mtime': '2023-01-17 09:32:31', 'hash_type': 'MD5', 'hash': '6540eb9601be4aa9474e4babf1195d72', 'filename': 'similarity check Hindawi Applied.pdf', 'fileid': 524020, 'mime_type': 'application/pdf', 'filesize': 1436333, 'datasetid': 'document'}], 'docid': 186997, 'main': 'similarity check Hindawi Applied.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186997', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",-,http://repository.lppm.unila.ac.id/id/eprint/47892,public,2023-01-20 02:01:10,1053,2023-01-20 02:01:10,"[{'id': 'sri.yusnaini@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Yusnaini', 'given': 'Sri'}}, {'name': {'family': 'Novpriansyah', 'honourific': None, 'lineage': None, 'given': 'Hery'}, 'id': 'hery.novpriansyah@fp.unila.ac.id'}]",2023-01-17,disk0_bak/00/04/78/92,other,['FP23'],,,,,,,,,,,,,,,,,,
21,"Similarity check The Residual Copper and Zinc in Tropical Soil over 21 Years after Amendment with Heavy Metal Containing Waste, Lime, and Compost",7,show,2023-01-20 02:02:30,archive,['S1'],,47902,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 47902, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187008', 'main': 'similarity check Hindawi Applied.pdf', 'docid': 187008, 'files': [{'objectid': 187008, 'uri': 'http://repository.lppm.unila.ac.id/id/file/524081', 'datasetid': 'document', 'filesize': 1436333, 'fileid': 524081, 'mime_type': 'application/pdf', 'mtime': '2023-01-18 06:39:05', 'hash_type': 'MD5', 'filename': 'similarity check Hindawi Applied.pdf', 'hash': '6540eb9601be4aa9474e4babf1195d72'}]}]",-,http://repository.lppm.unila.ac.id/id/eprint/47902,public,2023-01-20 02:02:30,1053,2023-01-20 02:02:30,"[{'name': {'given': 'Sri', 'family': 'Yusnaini', 'honourific': None, 'lineage': None}, 'id': 'sri.yusnaini@fp.unila.ac.id'}, {'name': {'given': 'Hery', 'lineage': None, 'family': 'Novpriansyah', 'honourific': None}, 'id': 'hery.novpriansyah@fp.unila.ac.id'}]",2023-01-18,disk0_bak/00/04/79/02,other,['FP23'],,,,,,,,,,,,,,,,,,
