,type,divisions,creators,publication,date,dir,lastmod,userid,datestamp,documents,ispublished,number,refereed,full_text_status,uri,eprintid,date_type,eprint_status,status_changed,abstract,title,metadata_visibility,volume,rev_number,official_url,subjects,publisher,pagerange,corp_creators,issn,event_location,event_title,event_dates,event_type,pres_type,funders,contributors
10,other,['FMIPA9'],"[{'id': 'dksari13@gmail.com', 'name': {'lineage': None, 'family': 'Kurniasari', 'honourific': None, 'given': 'Dian'}}]",,1970-01-01 00:00:00.000002014,disk0/00/01/91/81,2020-04-15 04:01:28,752,2020-04-15 04:01:28,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 19181, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32418', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/160768', 'objectid': 32418, 'filesize': 520351, 'datasetid': 'document', 'mtime': '2020-04-15 03:09:39', 'hash_type': 'MD5', 'hash': '1cd54caa4f696dfa140d7d8304d69920', 'filename': '11. Pendekatan Distribusi Log Normal Dengan Distribusi Generalized Log-Logistic (GLL) Melalui Distribusi Generalized Gamma (GG).pdf', 'fileid': 160768, 'mime_type': 'application/pdf'}], 'main': '11. Pendekatan Distribusi Log Normal Dengan Distribusi Generalized Log-Logistic (GLL) Melalui Distribusi Generalized Gamma (GG).pdf', 'docid': 32418}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/19181,19181,published,archive,2020-04-15 04:01:28,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,Pendekatan Distribusi Log Normal Dengan Distribusi Generalized Log-Logistic (GLL) Melalui Distribusi Generalized,show,,7,,['AC'],BIAStatistics,,,,,,,,,,
11,other,['FMIPA9'],"[{'id': 'dksari13@gmail.com', 'name': {'family': 'Kurniasari', 'honourific': None, 'lineage': None, 'given': 'Dian'}}]",,1970-01-01 00:00:00.000002014,disk0/00/01/91/88,2020-04-15 04:06:30,752,2020-04-15 04:06:30,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32425', 'rev_number': 1, 'docid': 32425, 'main': '18. Pendugaan Galat Baku Nilai Tengah Menggunakan Metode Resampling Jacknife dan Bootstrap Nonparametric dengan Software R.2.15.0.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/160817', 'objectid': 32425, 'filesize': 525164, 'datasetid': 'document', 'hash': 'cbbcaa22397b91f4e8c3e5b60885f33a', 'filename': '18. Pendugaan Galat Baku Nilai Tengah Menggunakan Metode Resampling Jacknife dan Bootstrap Nonparametric dengan Software R.2.15.0.pdf', 'mtime': '2020-04-15 03:23:42', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 160817}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 19188, 'security': 'public', 'placement': 1}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/19188,19188,published,archive,2020-04-15 04:06:30,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,Pendugaan Galat Baku Nilai Tengah Menggunakan Metode Resampling Jacknife dan Bootstrap Nonparametric dengan Software R.2.15.0,show,,7,,['AC'],Jurnal Gradien,,,,,,,,,,
12,article,['FMIPA9'],"[{'id': None, 'name': {'honourific': None, 'family': 'Lasmiasih', 'lineage': None, 'given': 'Katarina'}}, {'name': {'honourific': None, 'family': 'Warsono', 'lineage': None, 'given': 'Warsono'}, 'id': 'klppm@kpa.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Kurniasari', 'given': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}]",BIAStatistics,2014-02-28 00:00:00.000000000,disk0/00/03/80/59,2022-01-20 01:36:06,752,2022-01-20 01:36:06,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159017', 'docid': 159017, 'main': 'BIAStatistics Vol 8 No 1 (1).pdf', 'files': [{'datasetid': 'document', 'filesize': 796434, 'fileid': 432503, 'mime_type': 'application/pdf', 'mtime': '2022-01-19 18:22:40', 'hash_type': 'MD5', 'hash': '428d93cb139c99650984407b557b6625', 'filename': 'BIAStatistics Vol 8 No 1 (1).pdf', 'objectid': 159017, 'uri': 'http://repository.lppm.unila.ac.id/id/file/432503'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 38059, 'placement': 1, 'security': 'public'}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/38059,38059,published,archive,2022-01-20 01:36:06,"The aims of this study are to find variogram or semivariogram estimator for spatial
data, especially for nonstationery data, and to discuss the characteristics of estimator obtained by
Universal Kriging. In fact, this method uses the mean of sample data to form a trend or
nonstationary data. This study shows that the characteristics of the Universal Kriging estimator
are unbiased and variance minimum of estimator (BLUE). For computation purposes of the
aplication of the Universal Kriging algorithm graphs, this study developes R software language.

Keywords : Spatial Data, Variogram, Semivariogram, Kriging, BLUE (Best Linear Unbias 
Estimation)",KARAKTERISTIK PENDUGA VARIOGRAM UNTUK DATA NONSTASIONER,show,8.0,8,http://biastatistics.statistics.unpad.ac.id/index.php/biastatistics/issue/archive,['QA'],Jurusan Statistika FMIPA Universitas padjajaran,14-21,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",1907-6274,,,,,,,
13,article,['FMIPA9'],"[{'name': {'given': 'Henoh Bayu', 'honourific': None, 'family': 'Murti', 'lineage': None}, 'id': None}, {'id': 'dksari13@gmail.com', 'name': {'given': 'Dian', 'family': 'Kurniasari', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Widiarti', 'honourific': None, 'lineage': None, 'given': 'Widiarti'}, 'id': None}]",Jurnal GRADIEN,2014-01-01 00:00:00.000000000,disk0/00/00/34/66,2017-06-12 02:06:16,752,2017-06-12 02:06:16,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 3466, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3338', 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 4343474, 'mime_type': 'application/pdf', 'fileid': 24008, 'hash': '41e45989f0d329662707b96c28194a36', 'filename': 'GRADIEN HENOH.pdf', 'mtime': '2017-06-06 07:43:53', 'hash_type': 'MD5', 'objectid': 3338, 'uri': 'http://repository.lppm.unila.ac.id/id/file/24008'}], 'main': 'GRADIEN HENOH.pdf', 'docid': 3338}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3466,3466,published,archive,2017-06-12 02:06:16,"Problem in analysis of regression research is the need of more than one independent variables in regression model. This condition often causes complication in estimating an important response, which results multiple linear regression that is not optimal.  In this condition, it is needed an optimalization that is essential in multiple linear regression. To be able to use independent variables optimally, response surface method is used. This method determines approaching function that is suitable in estimating the next dependent variable y. Optimal point of the result of the optimalization of multiple linear regression using three independent variables of the data of reaction rate for catalytic isomerization of n-pentane to isopentane is on saddle point. 
 
Keywords: multiple linear regression, response surface",Analisis Model Regresi Linear Berganda dengan Metode Response Surface,show,10.0,6,https://ejournal.unib.ac.id/index.php/gradien,['QA'],Fakultas MIPA Universitas Bengkulu,957-962,,0216-2393,,,,,,,
14,conference_item,['FMIPA9'],"[{'id': 'suharsono.1962@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Suharsono', 'given': 'Suharsono'}}]",,2014-05-09 00:00:00.000000000,disk0/00/00/87/40,2018-10-29 04:15:45,845,2018-10-29 04:15:45,"[{'eprintid': 8740, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 21825, 'main': 'INVESTIGASI NUMERIK.pdf', 'files': [{'filesize': 2670176, 'datasetid': 'document', 'mtime': '2018-08-24 02:35:09', 'hash_type': 'MD5', 'filename': 'INVESTIGASI NUMERIK.pdf', 'hash': '5abfc109c28f75e0e0df605376280306', 'fileid': 85224, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85224', 'objectid': 21825}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21825', 'rev_number': 1}]",pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/8740,8740,published,archive,2018-10-29 04:15:45,This Research is to study velocity profiles of analytical solution of unsteady fluid flow model in rectangular microchannel with slip boundary for the case of sinusoidal pressure gradient. We conclude that the profiles are similar for t*=0 and t*=1 but having opposite sign for t*=0.25 and t*=0.75,INVESTASI NUMERIK PROFIL KECEPATAN ALIRAN FLUIDA PADA SALURAN MIKRO PERSEGI-PANJANG,show,,7,,['QA'],,56-59,['Jurusan Matematika FMIPA Unila'],,Bogor,Semirata 2014 BKS PTN Barat,9-11 Mei 2014,conference,paper,['Institut Pertanian Bogor'],[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]
15,other,['FMIPA9'],"[{'name': {'given': 'Warsono', 'honourific': None, 'family': 'Warsono', 'lineage': None}, 'id': 'klppm@kpa.unila.ac.id'}]",,1970-01-01 00:00:00.000002014,disk0/00/01/92/44,2020-04-20 03:42:23,516,2020-04-20 03:42:23,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 19244, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32478', 'docid': 32478, 'main': 'A07 - IS20% - Approximations_of_the_Generalized_Log_Logistic_Dis.pdf', 'files': [{'filesize': 1390737, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-04-20 03:12:56', 'filename': 'A07 - IS20% - Approximations_of_the_Generalized_Log_Logistic_Dis.pdf', 'hash': 'f8cf54b4b9c71f20121db9f857255535', 'fileid': 161239, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/161239', 'objectid': 32478}]}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/19244,19244,published,archive,2020-04-20 03:42:23,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution,show,,7,,['AC'],IPTEK The Journal for Technology and Science,,,,,,,,,,
16,other,['FMIPA9'],"[{'id': 'klppm@kpa.unila.ac.id', 'name': {'lineage': None, 'family': 'Warsono', 'honourific': None, 'given': 'Warsono'}}]",,1970-01-01 00:00:00.000002014,disk0/00/01/92/43,2020-04-20 03:42:11,516,2020-04-20 03:42:11,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 19243, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32477', 'rev_number': 1, 'main': 'A06 - IS24% - GENERALIZED_METHOD_OF_MOMENTS__CHARACTERISTICS_AND.pdf', 'docid': 32477, 'files': [{'mime_type': 'application/pdf', 'fileid': 161226, 'hash': '4f2412b560a508d6d90de69421ffc58c', 'filename': 'A06 - IS24% - GENERALIZED_METHOD_OF_MOMENTS__CHARACTERISTICS_AND.pdf', 'mtime': '2020-04-20 03:10:38', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1919075, 'objectid': 32477, 'uri': 'http://repository.lppm.unila.ac.id/id/file/161226'}]}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/19243,19243,published,archive,2020-04-20 03:42:11,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,Generalized Method of Moments' Characteristics and Its Application on Panel Data,show,,7,,['AC'],Science International (Lahore),,,,,,,,,,
17,other,['FMIPA9'],"[{'id': 'klppm@kpa.unila.ac.id', 'name': {'family': 'Warsono', 'honourific': None, 'lineage': None, 'given': 'Warsono'}}]",,1970-01-01 00:00:00.000002014,disk0/00/01/92/45,2020-04-20 03:42:48,516,2020-04-20 03:42:48,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 19245, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32479', 'pos': 1, 'format': 'text', 'files': [{'objectid': 32479, 'uri': 'http://repository.lppm.unila.ac.id/id/file/161246', 'mime_type': 'application/pdf', 'fileid': 161246, 'hash': '25a7fd85ca5e145dd35af003f71a7b84', 'filename': 'A08 - IS24% - On_the_Moments__Cumulants__and_Characteristic_Func.pdf', 'hash_type': 'MD5', 'mtime': '2020-04-20 03:14:44', 'datasetid': 'document', 'filesize': 1590220}], 'main': 'A08 - IS24% - On_the_Moments__Cumulants__and_Characteristic_Func.pdf', 'docid': 32479}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/19245,19245,published,archive,2020-04-20 03:42:48,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,"On the Moments, Cumulants, and Characteristics Function of The Log-Logistic Distribution",show,,7,,['AC'],IPTEK The Journal for Technology and Science,,,,,,,,,,
18,article,['FMIPA9'],"[{'id': 'chacho81@yahoo.com', 'name': {'given': 'Warsono', 'lineage': None, 'honourific': None, 'family': 'Warsono'}}, {'name': {'honourific': None, 'family': 'Buana', 'lineage': None, 'given': 'Kartika Candra'}, 'id': 'kartikacandrabuana@yahoo.com'}, {'id': 'dksari13@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Kurniasari', 'given': 'Dian'}}]","IPTEK, The Journal for Technology and Science",2014-04-01 00:00:00.000000000,disk0/00/00/01/21,2016-07-12 03:52:08,7,2016-07-12 02:04:28,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 121, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/135', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/712', 'objectid': 135, 'filename': '3 Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution.pdf', 'hash': '70b21000de5a423be42e68d41772f1bc', 'mtime': '2016-07-12 01:59:23', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 712, 'filesize': 547432, 'datasetid': 'document'}], 'main': '3 Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution.pdf', 'docid': 135}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/121,121,,archive,2016-07-12 02:04:28,"The main purpose of this article is to do approximations graphically and mathematically the four-parameter generalized log-logistic distribution, denoted by G4LL( ), to the one-parameter Chi-square distribution with υ degrees of freedom. In order to achieve this purpose, this article creates graphically the probability density functions of both distribution and derives mathematically the MGF of the both distributions. To prove the MGF of Chi-square as a special case of the MGF of G4LL distribution, we utilized an expansion of the MacLaurin series. The results show that graphically, the Chi-square distribution can be approximated by the generalized log-logistic distribution. Moreover, by letting ( ) and , the MGF of the G4LL distribution can be written in the form of the MGF of the Chi-square distribution. Thus, the Chi-square distribution is a limiting or special case distribution of the generalized log-logistic distribution.
Keywordschi-square distribution, generalized log-logistic distribution, moment generating function, MacLaurin series",Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution,show,25.0,9,,['AC'],,7-12,,2088-2033,,,,,,,
19,article,['FMIPA9'],"[{'id': 'chacho81@yahoo.com', 'name': {'lineage': None, 'family': 'Warsono', 'honourific': None, 'given': 'Warsono'}}, {'id': 'diianekaa@gmail.com', 'name': {'given': 'Dian', 'honourific': None, 'family': 'Ekawati', 'lineage': None}}, {'name': {'given': 'Dian', 'family': 'Kurniasari', 'honourific': None, 'lineage': None}, 'id': 'dksari13@gmail.com'}]","IPTEK, The Journal for Technology and Science",2014-12-01 00:00:00.000000000,disk0/00/00/01/20,2016-07-12 03:55:18,7,2016-07-12 01:54:57,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 120, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134', 'docid': 134, 'main': '23 On the Moments, Cumulants, and Characteristic Function of the Log-Logistic Distribution.pdf', 'files': [{'objectid': 134, 'uri': 'http://repository.lppm.unila.ac.id/id/file/705', 'datasetid': 'document', 'filesize': 787288, 'fileid': 705, 'mime_type': 'application/pdf', 'mtime': '2016-07-12 01:45:46', 'hash_type': 'MD5', 'filename': '23 On the Moments, Cumulants, and Characteristic Function of the Log-Logistic Distribution.pdf', 'hash': '9392f10c07cecee4c7c6e5de96c916af'}]}]",pub,3.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/120,120,,archive,2016-07-12 01:54:57,"This research examine about the moments, cumulants, and characteristic function of the log-logistic distribution. Therefore, the purposes of this article are (1) finding moments of the log-logistic distribution by using moment generating function and by definition of expected values of the log-logistic random variable and (2) finding the cumulants and characteristic function of the log-logistic distribution. Log-logistic distribution has two parameters: the shape parameter α and β as a parameter scale. Moments of the log-logistic distribution can be determined by using the moment generating function or the definition of expected value. Cumulants determined by the moments that have been found previously. Furthermore, skewness and kurtosis can be determined from the log-logistic distribution. While the characteristic function is the expected value of , which I as an imaginary number.

Keywords: Log-logistic Distribution, Moments, Cumulants, Characteristics Function.","On the Moments, Cumulants, and Characteristic Function of the Log-Logistic Distribution",show,25.0,9,,['AC'],,78-82,,2088-2033,,,,,,,
20,article,['FMIPA9'],"[{'id': 'chacho81@yahoo.com', 'name': {'lineage': None, 'family': 'Warsono', 'honourific': None, 'given': 'Warsono'}}, {'id': '.', 'name': {'given': 'Bernadhita H. S.', 'lineage': None, 'family': 'Utami', 'honourific': None}}, {'id': 'dksari13@gmail.com', 'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}}, {'id': '.', 'name': {'family': 'Usman', 'honourific': None, 'lineage': None, 'given': 'Mustofa'}}]",Science International,1970-01-01 00:00:00.000002014,disk0/00/00/01/22,2016-07-12 03:53:47,7,2016-07-12 02:17:12,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 122, 'uri': 'http://repository.lppm.unila.ac.id/id/document/136', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 720, 'filename': '18 GENERALIZED METHOD OF MOMENTS’ CHARACTERISTICS AND ITS APPLICATION ON PANELDATA.pdf', 'hash': 'c0a0fa8f67c2108c884a37a3ef5e457c', 'mtime': '2016-07-12 02:08:31', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 398702, 'objectid': 136, 'uri': 'http://repository.lppm.unila.ac.id/id/file/720'}], 'main': '18 GENERALIZED METHOD OF MOMENTS’ CHARACTERISTICS AND ITS APPLICATION ON PANELDATA.pdf', 'docid': 136}]",pub,3.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/122,122,,archive,2016-07-12 02:17:12,"Generalized Method of Moments (GMM) is an estimation procedure that allows
econometric models especially in panel data to be specified while avoiding often unwanted or
unnecessary assumptions, such as specifying a particular distribution for the errors. Panel data is
combination of time series and cross section data that contain observations on thousands of
individuals or families, each observed at several points in time. Furthermore, the Generalized Method
of Moments estimator is obtained by minimizing the criterion function by making sample moment
match the population moment.The point of this research is to analyze characteristics GMM estimator
on panel data fixed effect models especially unbiasedness, variance minimum, consistency, and
normal asymptotic distributed estimator properties. This paper also provide the application of GMM
estimation on the area of “Cost for United States Airlines on Six Firms from 1970-1984”.
Keywords: Panel Data; Generalized Method of Moments; Unbiasedness; Variance Minimum;
Consistency; Normal Asymptotic Distributed",GENERALIZED METHOD OF MOMENTS’ CHARACTERISTICS AND ITS APPLICATION ON PANELDATA,show,26.0,8,,['AC'],,985-990,,1013-5316,,,,,,,
21,article,['FMIPA9'],"[{'name': {'given': 'Septiana', 'family': 'Wulandari', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'dksari13@gmail.com', 'name': {'given': 'Dian', 'lineage': None, 'honourific': None, 'family': 'Kurniasari'}}, {'name': {'given': 'Widiarti', 'honourific': None, 'family': 'Widiarti', 'lineage': None}, 'id': None}]",Jurnal GRADIEN,2014-01-01 00:00:00.000000000,disk0/00/00/34/68,2017-06-12 02:04:51,752,2017-06-12 02:04:51,"[{'eprintid': 3468, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'GRADIEN SEPTIANA.pdf', 'docid': 3341, 'files': [{'mime_type': 'application/pdf', 'fileid': 24022, 'filename': 'GRADIEN SEPTIANA.pdf', 'hash': 'b76861d5d2346029196da8cef0a6d047', 'mtime': '2017-06-06 07:53:32', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 3140478, 'objectid': 3341, 'uri': 'http://repository.lppm.unila.ac.id/id/file/24022'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3341'}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3468,3468,published,archive,2017-06-12 02:04:51,"Metode Jackknife dan Bootstrap merupakan metode berbasis resampling. Kedua metode ini biasa digunakan untuk inferensia statistic, yaitu pada pendugaan parameter dengan sebaran awal yang tidak diketahui. Metode Jackknife dan Boostrap merupakan metode yang tidak didasarkan pada pemenuhan asumsi tertentu, sehingga metode ini dapat diterapkan pada seluruh data kuantitatif. Secara teori dapat dibuktikan bahwa metode Jackknife merupakan penduga yang baik untuk data asal. Namun berdasarkan kreteria Kuadrat Tengah Galat (KTG), metode Bootstrap lebih tepat digunakan karena menghasilkan nilai KTG yang lebih kecil dibanding metode jackknife. 
 
Kata Kunci: Jackknife, Bootstrap, Resampling",Pendugaan Galat Baku Nilai Tengah Menggunakan Metode Resampling Jackknife dan Bootstrap Nonparametric dengan Software R 2.15.0,show,10.0,6,https://ejournal.unib.ac.id/index.php/gradien,['QA'],Fakultas MIPA Universitas Bengkulu,963-966,,0216-2393,,,,,,,
