,status_changed,eprint_status,subjects,title,rev_number,place_of_pub,metadata_visibility,eprintid,isbn,date_type,lastmod,userid,datestamp,ispublished,publisher,documents,uri,full_text_status,refereed,editors,type,book_title,divisions,creators,date,dir,pages,volume,abstract,publication,issn,number,pagerange,corp_creators,projects,official_url,related_url,monograph_type,contact_email,contributors,keywords,note,referencetext,institution,department,series,event_title,event_location,event_dates,event_type,pres_type,funders,id_number
10,2023-05-21 03:43:28,archive,['K1'],Green Tax Sebagai Instrumen Ekonomi Lingkungan Hidup Menuju Pembangunan Berkelanjutan Yang Berwawasan Lingkungan,7,,show,51878,,published,2023-05-21 03:43:28,212,2023-05-21 03:43:28,pub,Indepth Publishing,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 51878, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250902', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 2111616, 'mime_type': 'application/pdf', 'fileid': 614628, 'hash': 'a78dd531d97dd0b592aa7bf6b84eb8a0', 'filename': 'Monograf Lingkungan_compressed.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-19 11:55:50', 'objectid': 250902, 'uri': 'http://repository.lppm.unila.ac.id/id/file/614628'}], 'docid': 250902, 'main': 'Monograf Lingkungan_compressed.pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/51878,public,,,monograph,,['FH3'],"[{'name': {'given': 'Eka Putri', 'lineage': None, 'family': 'Marlia', 'honourific': None}}]",2015-02-01 00:00:00.000000000,disk0_bak/00/05/18/78,,,,,,,,,,,,other,,,,,,,,,,,,,,,
11,2023-05-19 07:38:55,archive,['K1'],Perlindungan Atas Hak Masyarakat Terhadap Kekuasaan Negara Dalam Mengenakan Pajak,7,,show,51854,,completed,2023-05-19 07:38:55,212,2023-05-19 07:38:55,unpub,LPPM Unila,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250786', 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 1423735, 'fileid': 614345, 'mime_type': 'application/pdf', 'mtime': '2023-05-19 06:15:43', 'hash_type': 'MD5', 'filename': '18269.pdf', 'hash': '772f61f753f597d6e527922e29252642', 'objectid': 250786, 'uri': 'http://repository.lppm.unila.ac.id/id/file/614345'}], 'docid': 250786, 'main': '18269.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 51854}]",http://repository.lppm.unila.ac.id/id/eprint/51854,public,,,other,,['FH3'],"[{'name': {'given': 'Eka Putri', 'family': 'Marlia', 'honourific': None, 'lineage': None}}]",2015-11-01 00:00:00.000000000,disk0_bak/00/05/18/54,,,"Batasan bagi kekuasaan negara dalam mengenakan pajak (limitation of taxation power) sebenarnya telah cukup jelas dinyatakan dalam konsitusi, yakni Pasal 23A Amandemen Ketiga UUD 1945, yang mengharuskan bahwa pajak harus dipungut dengan undang-undang. Apa yang harus diatur di dalam undang-undang pajak adalah mengenai subjek dan Wajib Pajak, objek pajak, dasar pengenaan dan tarif pajak, serta tatacara pemungutan pajak. Akan tetapi, ternyata keempat komponen utama pajak tersebut oleh undang-undang ternyata didelegasikan lagi ke dalam bentuk-bentuk peraturan di bawahnya yang berada dalam kekuasaan pemerintah, sehingga
memunculkan diskresi dari pemerintah sebagai otoritas pajak untuk membuat dan menentukan keempat komponen pajak di atas. Padahal pajak itu haruslah berdasarkan kehendak rakyat yang direpresentasikan oleh wakilnya di DPR/DPRD. Kondisi ini,
dihadapkan dengan besarnya kekuasaan pemerintah dalam mengenakan pajak kepada masyarakat, dapat melampaui hak-hak Wajib Pajak yang harus dilindungi berdasarkan prinsip-prinsip pemungutan pajak.
Berdasarkan penelitian yang dilakukan menggunakan metode penelitian hukum normatif (dogmatic research) dan dengan pendekatan masalah menggunakan pendekatan peraturan perundang-undangan (ststue approach), pendekatan analitis
(analytical approach), dan pendekatan konseptual (conceptual approach) serta sociolegal diketahui bahwa perlindungan atas hak masyarakat terhadap kekuasaan negara dalam mengenakan pajak dapat dilakukan melalui pembatasan kekuasaan negara
dengan memaksimalkan fungsi DPR/DPRD dan DPD dalam perancangan undangundang maupun pajak daerah, sehingga keempat komponen pajak tidak lagi dapat didelegasikan secara luas dan tak terbatas kepada pemerintah.",,,,,,,,,,,,,,,,,,,,,,,,
12,2018-10-26 10:09:03,archive,['K1'],CONSTRUCTION OF THE BUREAUCRATIC CRIMINAL JUSTICE BASED ON THE PUBLIC SERVICE,6,,show,8768,,published,2018-10-26 10:09:03,807,2018-10-26 10:09:03,pub,"South East Asian Journal of Contemporary Business, Economics and Law","[{'files': [{'filesize': 543717, 'datasetid': 'document', 'hash': '7ba228daf801cc3a02ec254f19d53c2b', 'filename': 'KLIBEL7_Law-24.pdf', 'hash_type': 'MD5', 'mtime': '2018-08-29 09:58:45', 'mime_type': 'application/pdf', 'fileid': 85383, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85383', 'objectid': 21850}], 'main': 'KLIBEL7_Law-24.pdf', 'docid': 21850, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21850', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 8768, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/8768,public,FALSE,,article,,['FH3'],"[{'id': 'maroniunila@gmail.com', 'name': {'family': 'Maroni', 'honourific': None, 'lineage': None, 'given': 'Maroni'}}]",2015-08-01 00:00:00.000000000,disk0/00/00/87/68,,7,"The role of bureaucratic criminal trial is very important for the attainment of substantial justice, because at this stage the presence of proof against the defendant's fault. Law enforcement officers based on the Indonesia criminal justice system acts represent the interests of Justice seeker of legal examination of criminal cases. There are rejection from the justice seeker againts the existence of judicial bureaucracy due to: (a) the completion of the drawn-out litigation; (b) the Justice Ministry closed; (c) a number of court rulings that did not pro to the small people. The problem in this paper is how is the ideal construction of judicial bureaucracy based on public services in order to realize substantial justice. The Research methods with the constructivism paradigm using a socio-legal research approach. Construction of ideal trial-based public service bureaucracy in the form of: (a) the trial shall use the information technology system; (b) any decision of the judge must to immediately accessible to the public; (c) the implementation of different judges opinion (dissenting opinion); (d) the obligation of any examination of cases by the independent institutions; (e) the authority of the Chairman of the District Court (KPN) to combine a number of things over the same defendants; (f) the existence of a single judge appoints KPN authority; (g) Implementation of the legal institution Settlement the matter out of Court (afdoening buiten process); (h) implement mechanisms for negotiations over the charge (plea bargain); (i) liability of legal aid to all criminal cases; (j) the protection of witnesses in the criminal trial case","SEAJBEL – South East Asia Journal of Contemporary Business, Economics and Law, Vol. 7, Issue 4 (August 2015)",2289-1560,4,33-44,,,http://seajbel.com/previous-issues/august-2015/seajbel-vol-7-august-2015-issue-4-law/,,,maroniunila@gmail.com,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,,
13,2018-10-26 10:16:05,archive,['K1'],PENGANTAR HUKUM PIDANA ADMINISTRASI,9,Bandar Lampung,show,8751,978-602-0878-40-7,published,2018-10-26 10:16:05,807,2018-10-26 10:16:05,unpub,Aura Publishing,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 8751, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21836', 'format': 'text', 'pos': 1, 'files': [{'objectid': 21836, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85289', 'fileid': 85289, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-08-28 06:40:46', 'hash': 'ea97eb16cefaeb59f9d76841f3231e59', 'filename': 'buku pidana administrasi.pdf', 'datasetid': 'document', 'filesize': 9353527}], 'docid': 21836, 'main': 'buku pidana administrasi.pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/8751,public,FALSE,"[{'name': {'given': 'Prof. Dr', 'lineage': None, 'family': 'Sunarto', 'honourific': None}}]",book_section,Hukum Pidana,['FH3'],"[{'id': 'maroniunila@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Maroni', 'given': 'Maroni'}}]",2015-11-01 00:00:00.000000000,disk0/00/00/87/51,,,"Indonesia sebagai negara hukum dan menganut paham konstitusionalisme membutuhkan adanya berbagai pembatasan kewenangan negara dan jaminan serta komitmen negara untuk memenuhi hak-hak warga negara, secara tertulis. Di sinilah peraturan perundang-undangan menjalankan fungsi utamanya, yakni sebagai instrumen sekaligus kerangka arah pembangunan nasional. Pengertian Peraturan Perundang-undangan adalah setiap keputusan tertulis yang dikeluarkan oleh pejabat atau lingkungan jabatan berwenang yang berisi aturan tingkah laku yang mengikat secara umum (abstrak umum). Sedangkan fungsinya dibedakan dalam dua kelompok utama yaitu fungsi internal dan fungsi eksternal. Fungsi internal adalah fungsi peraturan perundang-undangan sebagai sub-sistem hukum perundang-undangan terhadap sistem kaidah hukum pada umumnya, yang meliputi fungsi penciptaan hukum, fungsi pembaharuan hukum, fungsi integrasi pluralisme sistem hukum dan fungsi kepastian hukum.",,,,1-158,['CV Anugrah Utama Raharja'],,http://www.aura-publishing.com,,,,,"Hukum Pidana, Administrasi",,,,,,,,,,,,
14,2016-10-28 07:00:58,archive,"['J1', 'K1']",Cita Demokrasi Indonesia dalam Politik Hukum Pengawasan Dewan Perwakilan Rakyat terhadap Pemerintah (Indonesian Democratic Ideals in the Legal Politics Supervision of the House of Representatives of the Government),8,,show,974,,published,2016-10-28 07:00:58,235,2016-10-28 07:00:58,pub,Kepaniteraan dan Sekretariat Jenderal Mahkamah Konstitusi Republik Indonesia,"[{'placement': 1, 'security': 'public', 'eprintid': 974, 'content': 'published', 'mime_type': 'text/html', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/6225', 'objectid': 866, 'filesize': 18862, 'datasetid': 'document', 'hash': 'a50c26858784fc1e43963ef08533b494', 'filename': 12, 'hash_type': 'MD5', 'mtime': '2016-10-28 01:44:54', 'mime_type': 'text/html', 'fileid': 6225}], 'main': 12, 'docid': 866, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/866', 'formatdesc': 'Indonesian Democratic Ideals in the Legal Politics Supervision of the House of Representatives of the Government', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/974,public,TRUE,,article,,['FH3'],"[{'id': 'zulkarnainridlwan@gmail.com', 'name': {'lineage': None, 'family': 'Ridlwan', 'honourific': None, 'given': 'Zulkarnain'}}]",1970-01-01 00:00:00.000002015,disk0/00/00/09/74,,12,"Constitutional discourse can not be separated from the discussion on democracy building. The existence of the House of Representatives in Indonesia with its oversight function of government is one manifestation of democracy. With a historical approach juridical writings results of this study concluded that the statute law of political representative institutions is likely to continue to strengthen parliamentary oversight of government functions by providing additional instruments that can be used by the legislature as an institution and the individual members of the House to conduct oversight. The legal political tendencies are in accordance with the ideals of democracy in Indonesia who wanted representation of the people in the context of the embodiment of the people’s sovereignty in a representative body, but does not eliminate the critical power of the people to the ruler.
Keywords: Oversight Function, Board of Representative, Indonesia’s Democracy.",Jurnal Konstitusi,1829-7706,2,196-421,,,http://ejournal.mahkamahkonstitusi.go.id/index.php/jk/issue/viewIssue/8/12,"[{'url': 'http://ejournal.mahkamahkonstitusi.go.id/index.php/jk/index', 'type': 'pub'}]",,jurnal@mahkamahkonstitusi.go.id,,"Fungsi Pengawasan, Dewan Perwakilan, Demokrasi Indonesia",http://ejournal.mahkamahkonstitusi.go.id/index.php/jk/issue/viewIssue/8/12,http://ejournal.mahkamahkonstitusi.go.id/index.php/jk/issue/viewIssue/8/12,,,,,,,,,,
15,2020-01-14 01:25:40,archive,['K1'],Dari Putusan Hijau Mahkamah Konstitusi Ke Green (Refleksi Dinamika Putusan MK dan Penguatan Perlindungan Konstitusional dalam UUD 1945),7,"Jl. Ahmad Yani, Gg. Pioneer No.1, Bandar Lampung.",show,17350,,published,2020-01-14 01:25:40,347,2020-01-14 01:25:40,pub,Indepth Publishing,"[{'eprintid': 17350, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 30461, 'main': 'Dari putusan Hijau Mahkamah Konstitusi Ke Green (Refleksi Dinamika Putusan MK dan penguatan Perlindungan Konstitusional dalan UUD 1945)(1).pdf', 'files': [{'filesize': 11961965, 'datasetid': 'document', 'mtime': '2019-12-18 10:04:24', 'hash_type': 'MD5', 'filename': 'Dari putusan Hijau Mahkamah Konstitusi Ke Green (Refleksi Dinamika Putusan MK dan penguatan Perlindungan Konstitusional dalan UUD 1945)(1).pdf', 'hash': 'a81cadca5978f3e7392347713e7d7ccb', 'fileid': 146832, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/146832', 'objectid': 30461}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30461'}]",http://repository.lppm.unila.ac.id/id/eprint/17350,public,,,monograph,,['FH3'],"[{'name': {'lineage': None, 'family': 'Rudy', 'honourific': None, 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",2015-02-01 00:00:00.000000000,disk0/00/01/73/50,73.0,,"Tahun 2015 diawali dengan siklus tahunan puncak musim hujan. Di Indonesia, Musim hujan bukan hanya merupakan berkah dari alam, namun juga memberikan potensi bencana. Di seluruh Daerah di Indonesia, laporan banjir sudah merupakan suatu hal yabg biasa, terutama di kota-kota besar. Bencana banjir bukanlah satu-satunya bencana yang terjadi saat ini. Pemanasan global, longsor, polusi, dan lain sebagainya sudah menjadi bagian dari kehidupan kita, sebagai akibat dari kerusakan lingkungan.",,,,,,,,,working_paper,,,,,,Universitas Lampung,Fakultas Hukum,,,,,,,,
16,2020-01-14 01:25:34,archive,['K1'],Dari Putusan Hijau ahkamah Konstitusi ke green ( Reflaksi Dinamika Putusan MK dan Penguatan Perlindungan Konstitusional dalam UUD 1945 ),7,"Jl. Ahmad Yani, Gg. Pioneer No. 1, Bandar Lampung",show,17139,,,2020-01-14 01:25:34,347,2020-01-14 01:25:34,pub,Indepth Publishing,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17139, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30231', 'rev_number': 1, 'main': 'dinamika hukum lingkungan(1).pdf', 'docid': 30231, 'files': [{'filesize': 4456330, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-11-23 03:23:19', 'hash': 'd4c93ff3da67d573d8c8314934adea29', 'filename': 'dinamika hukum lingkungan(1).pdf', 'fileid': 145432, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/145432', 'objectid': 30231}]}]",http://repository.lppm.unila.ac.id/id/eprint/17139,public,,,monograph,,['FH3'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Rudy', 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",2015-02-01 00:00:00.000000000,disk0/00/01/71/39,224.0,,"Tahun 2015 diawali dengan siklus tahunan puncak musim hujan. Di Indonesia, musim hujan bukan hanya merupakan berkah dari alam, namun juga memberikan potensi bencana. Diseluruh daerah di Indonesia, laporan banjir sudah merupakan suatu hal yang biasa, terutama dikota-kota besar. Bencana yang terjadi saat ini. Pemanasan global, longsor, polusi, dan lain sebagainyya sudah menjadi bagian dari kehidupan kita. Sebagai akibat dari kerusakan lingkungan.",,,,,,,,,discussion_paper,,,,,,Fakultas Hukum Universitas Lampung,Bagian HTN unila,,,,,,,,
17,2020-01-14 01:25:50,archive,['K1'],Normativisme Versus Kenyataan Hukum Dalam Buku Gotong Royong Melawan Politik Uang,7,"metro, lampung",show,17351,,published,2020-01-14 01:25:50,347,2020-01-14 01:25:50,pub,Sai Wawai Publishing,"[{'files': [{'objectid': 30462, 'uri': 'http://repository.lppm.unila.ac.id/id/file/146836', 'mime_type': 'application/pdf', 'fileid': 146836, 'hash': '1da9d889b4bf530224ac357e94f67d58', 'filename': 'normativisme versus Kenyataan Hukum Dalam Buku Gotong Royong Melawan Politik Uang(1).pdf', 'mtime': '2019-12-18 10:25:46', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 5656291}], 'docid': 30462, 'main': 'normativisme versus Kenyataan Hukum Dalam Buku Gotong Royong Melawan Politik Uang(1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30462', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 17351, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/17351,public,,,monograph,,['FH3'],"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Rudy', 'honourific': None, 'given': 'Rudy'}}]",2015-10-01 00:00:00.000000000,disk0/00/01/73/51,94.0,,"Demokrasi sejatinya adalah pemerintahan oleh rakyat yang bertujuan untuk memuliakan rakyat itu sendiri. Konsep ini kemudian diabadikan dalam jargon-jargon konstitusionalisme, seperti salus publica suprema lex dan kata-kata lain yang jauh berjalan dari asalnya romawi dan yunani. di Indonesia sendiri, demokrasi ala barat bisa dibilang masih belia, baru berumur 17 tahun sejak dilahirkan pada tahun 1998.",,,,,,,,,working_paper,,,,,,Universitas Lampung,Fakultas Hukum,,,,,,,,
18,2020-01-14 01:26:14,archive,['K1'],Normativisme versus kenyataan hukum,9,metro,show,17136,,published,2020-01-14 01:26:14,347,2020-01-14 01:26:14,pub,sai wawai Publishing,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 17136, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30229', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/145414', 'objectid': 30229, 'filesize': 4287815, 'datasetid': 'document', 'mtime': '2019-11-23 02:36:20', 'hash_type': 'MD5', 'filename': 'Gotong royong melawan politik uang.pdf', 'hash': '1ed9756bcd44522b9bec6ea6c7e167c4', 'fileid': 145414, 'mime_type': 'application/pdf'}], 'docid': 30229, 'main': 'Gotong royong melawan politik uang.pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/17136,public,,,monograph,,['FH3'],"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Rudy', 'honourific': None, 'given': 'Rudy'}}]",2015-10-01 00:00:00.000000000,disk0/00/01/71/36,94.0,,"Di Indonesia sendiri, demokrasi ala barat bisa dibilang masih belia, baru berumur 17 Tahun sejak dilahirkan pada tahun 1998. lahirnya demokrasi tersebut ditandai dengan gerakan demokrasi dan konstitusionalisme yang masif di Indonesia. gelombang demokratisasi ini kemudian telah mengubah wajah ketatanegaraan Indonesia, disukai/tidak. pada titik tersebut pula, priode konsolidasi demokrasi dimulai dan masih terjadi",,,,,,,,,discussion_paper,,,,,,Fakultas Hukum Universitas Lampung,Bagian HTN unila,,,,,,,,
19,2020-01-14 01:22:37,archive,['K1'],"Pathways to Customary Rights Recognition in Indonesia past, Present and Future Challenges",6,,show,17352,,published,2020-01-14 01:22:37,347,2020-01-14 01:22:37,pub,Asli Conference 2015,"[{'docid': 30463, 'main': 'pathways to customary Rights Recognition in Indonesia Past, Present and Future Challenges(1).pdf', 'files': [{'filesize': 9059357, 'datasetid': 'document', 'hash': 'c57c9d217765e8f4aa280844961c3e5e', 'filename': 'pathways to customary Rights Recognition in Indonesia Past, Present and Future Challenges(1).pdf', 'mtime': '2019-12-18 10:43:57', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 146845, 'uri': 'http://repository.lppm.unila.ac.id/id/file/146845', 'objectid': 30463}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30463', 'rev_number': 1, 'eprintid': 17352, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/17352,public,TRUE,,article,,['FH3'],"[{'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",1970-01-01 00:00:00.000002015,disk0/00/01/73/52,,,"Pathways to Customary Rights Recognition in Indonesia past, Present and Future Challenges","Pathways to Customary Rights Recognition in Indonesia past, Present and Future Challenges",,,,,,,,,,,,,,,,,,,,,,,
20,2017-06-02 08:22:06,archive,['K1'],Copyright Infringement: DRM Technologies and the Internet (International Frameworks and Business Practices Part I),15,Lampung,show,2556,9786021071380,published,2017-06-02 08:22:06,276,2017-06-02 08:22:06,pub,"Justice Publisher, Badan Penerbitan Fakultas Hukum Universitas Lampung","[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2445', 'rev_number': 2, 'main': 'hukum-laut-nasional-internasional.pdf', 'docid': 2445, 'files': [{'fileid': 17693, 'mime_type': 'application/pdf', 'mtime': '2017-05-31 07:58:55', 'hash_type': 'MD5', 'filename': 'hukum-laut-nasional-internasional.pdf', 'hash': 'ca4ebc9b69304c41283e587da74eb7bc', 'datasetid': 'document', 'filesize': 7822146, 'objectid': 2445, 'uri': 'http://repository.lppm.unila.ac.id/id/file/17693'}], 'mime_type': 'application/pdf', 'language': 'en', 'content': 'submitted', 'eprintid': 2556, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/2556,public,TRUE,,book,,['FH3'],"[{'id': 'bayu.sujadmiko@fh.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sujadmiko', 'given': 'Bayu'}}]",1970-01-01 00:00:00.000002015,disk0/00/00/25/56,248.0,,,Perkembangan Hukum Nasional dan Internasional,,,,,,,,,bayu.sujadmiko@fh.unila.ac.id,"[{'id': 'desychurulaini@yahoo.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Desy', 'honourific': None, 'family': 'Churul Aini', 'lineage': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/ACT', 'id': None, 'name': {'lineage': None, 'family': 'Azizah', 'honourific': None, 'given': 'Siti'}}, {'id': None, 'type': None, 'name': {'honourific': None, 'family': 'Rehulina', 'lineage': None, 'given': 'Rehulina'}}, {'name': {'lineage': None, 'family': 'Syofyan', 'honourific': None, 'given': 'Ahmad'}, 'id': None, 'type': None}, {'name': {'given': 'Naek', 'lineage': None, 'honourific': None, 'family': 'Siregar'}, 'type': None, 'id': None}, {'name': {'given': 'Abdul Muthalib', 'honourific': None, 'family': 'Tahar', 'lineage': None}, 'type': None, 'id': None}, {'name': {'family': 'Krulinasari', 'honourific': None, 'lineage': None, 'given': 'Widya'}, 'id': None, 'type': None}, {'name': {'given': 'Melly', 'honourific': None, 'family': 'Aida', 'lineage': None}, 'type': None, 'id': None}]",,,,,,Perkembangan Hukum Nasional dan Internasional,,,,,,,
21,2017-06-02 12:13:20,archive,['K1'],"BALINESE VS LAMPUNGNESE: MEASURING ADR
APPLICABILITY TO RESOLVE ETHNIC CONFLICT IN
INDONESIA",7,,show,2809,,published,2017-06-02 12:13:20,276,2017-06-02 12:13:20,pub,David Publishing,"[{'eprintid': 2809, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'main': 'Balinese v Lampungnese.pdf', 'docid': 2664, 'files': [{'objectid': 2664, 'uri': 'http://repository.lppm.unila.ac.id/id/file/19225', 'datasetid': 'document', 'filesize': 67401, 'mime_type': 'application/pdf', 'fileid': 19225, 'hash': 'b37c01310bc5e98c27132c762cde2b9e', 'filename': 'Balinese v Lampungnese.pdf', 'mtime': '2017-06-01 08:22:59', 'hash_type': 'MD5'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2664', 'rev_number': 3}]",http://repository.lppm.unila.ac.id/id/eprint/2809,public,TRUE,,article,,['FH3'],"[{'name': {'honourific': None, 'family': 'Sujadmiko', 'lineage': None, 'given': 'Bayu'}, 'id': 'bayu.sujadmiko@fh.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Meutia', 'given': 'Intan Fitri'}}]",2015-01-01 00:00:00.000000000,disk0/00/00/28/09,,12,"Ethnic conflict between the villagers of Balinuraga (Balinese tribe)
and the villagers of Agom and Negeri Pandaan (Lampungnese tribe)
happened from October 27-29, 2012 in South Lampung, Indonesia. This
horizontal conflict did not only create a massive material destruction, but
also resulted in villagers’ evacuation, injury, and death. 1,108 villagers
were evacuated and 247 of them were children. Fourteen villagers were
reported killed and nine injured. The conflict was triggered from traffic
accident of two girls from Lampungnese, who was helped by villagers of
Balinuraga. However, as a result of provocation among the Lampungnese
after the accident, it eventually became a serious sexual harassment issue
that led to civil war. The resolution of its primordial conflict has basically
been done through mediation between two provoked ethnicities. Restorative
justice in Indonesia, in its development, has now become the social change
opinion doctrine. It means that the punishment currently implemented in the
criminal justice system has not been able to achieve the goals, for both the
offender and the community at large. Therefore, there is an urgency for a
theoretical thought with other procedural law adopted in this model, called
Alternative Dispute Resolution (ADR) as a solution concept, which is faster
and simpler without having to hurt the values of justice. Conflict through
democracy has been the conceptual basis of ADR. It contains ideas that
include establishing joint participation among the offender, victim and
community groups in solving a crime that is deemed fairly to all parties
(win-win solution), therefore it is considered to be applicable for
indigenous conflict resolution. ADR has principally become an effective
effort done by Civilian Police in Indonesia as a solution for community
justice. In general, there are four important points of mediation, which are:
(1) citizen contract, (2) cultural area, (3) citizen empowerment and (4)
community policing.",US China Law Review,1930-2061,1,91-103,,,,,,bayu.sujadmiko@fh.unila.ac.id,,,,,,,,,,,,,,
