,lastmod,userid,datestamp,ispublished,publisher,documents,full_text_status,uri,refereed,editors,type,book_title,divisions,date,dir,eprint_status,status_changed,subjects,title,rev_number,metadata_visibility,eprintid,isbn,date_type,related_url,place_of_pub,department,projects,institution,funders,pages,monograph_type,creators,id_number,volume,series,number,abstract,corp_creators,publication,issn,event_title,event_type,pres_type,official_url,pagerange,keywords,contact_email,contributors,event_dates,event_location,succeeds
12,2019-07-04 07:05:53,921,2019-07-04 07:05:53,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 13446, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 26455, 'uri': 'http://repository.lppm.unila.ac.id/id/file/117666', 'fileid': 117666, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-07-03 07:18:21', 'hash': 'e148a3b1028b2565bbb3c1f9c2e38e14', 'filename': 'Nurmayani ( Prosiding = Kebijakan Pemerintah Daerah Propinsi Lampung ).pdf', 'datasetid': 'document', 'filesize': 1000198}], 'main': 'Nurmayani ( Prosiding = Kebijakan Pemerintah Daerah Propinsi Lampung ).pdf', 'docid': 26455, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26455', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/13446,FALSE,,conference_item,,['FH3'],2012-05-01 00:00:00.000000000,disk0/00/01/34/46,archive,2019-07-04 07:05:53,['K1'],Kebijakan Pemerintah Daerah Propinsi Lampung Dalam Pemungutan Pajak Kendaraan Bermotor Sebagai Upaya Perbaikan Infrastruktur di Propinsi Lampung,7,show,13446,,,,,,,,,,,"[{'name': {'given': 'Nurmayani', 'family': 'Nurmayani', 'honourific': None, 'lineage': None}}]",,,,,,,,,Prosiding Seminar Nasional Magister Teknik Sipil Universitas Lampung,conference,paper,,87-93,,,,,,
13,2019-08-05 04:31:32,921,2019-08-05 04:31:32,pub,Program Pascasarjana Program Magister Hukum FH Unila,"[{'main': 'peerreview implikasi hukum.pdf', 'docid': 26719, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119609', 'objectid': 26719, 'mtime': '2019-08-05 04:08:33', 'hash_type': 'MD5', 'hash': 'ebca23294c93748ef412c438ffbaf884', 'filename': 'peerreview implikasi hukum.pdf', 'fileid': 119609, 'mime_type': 'application/pdf', 'filesize': 257927, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26719', 'rev_number': 1, 'eprintid': 13708, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13708,TRUE,,article,,['FH3'],1970-01-01 00:00:00.000002012,disk0/00/01/37/08,archive,2019-08-05 04:31:32,['K1'],implikasi hukum peralihan kewenangan pemungutan pajak bumi dan bangunan sektor perdesaan dan perkotaan dari pemerintah pusat kepada pemerintah kabupaten/kota,6,show,13708,,published,,,,,,,,,"[{'name': {'given': 'Nurmayani', 'family': 'Nurmayani', 'honourific': None, 'lineage': None}}]",,,,,,['Universitas Lampung'],Praevia,1907-8714,,,,,,,,,,,
14,2019-08-05 04:33:11,921,2019-08-05 04:33:11,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26720', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119615', 'objectid': 26720, 'mtime': '2019-08-05 04:11:39', 'hash_type': 'MD5', 'filename': 'peerreview kebijakan pemerintah.pdf', 'hash': 'c430e10df89befc4025203769a9f5665', 'fileid': 119615, 'mime_type': 'application/pdf', 'filesize': 268248, 'datasetid': 'document'}], 'docid': 26720, 'main': 'peerreview kebijakan pemerintah.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 13709}]",public,http://repository.lppm.unila.ac.id/id/eprint/13709,TRUE,,conference_item,,['FH3'],1970-01-01 00:00:00.000002012,disk0/00/01/37/09,archive,2019-08-05 04:33:11,['K1'],kebijakan pemeritah daerah provinsi lampung dalam pemungutan pajak kendaraan bermotor sebagai upada perbaikan infrastruktur di provinsi lampung,8,show,13709,,published,,,,,,,,,"[{'name': {'given': 'Nurmayani', 'honourific': None, 'family': 'Nurmayani', 'lineage': None}}]",,,,,,['Universitas Lampung'],,,Prosiding seminar nasional,conference,paper,,,,,,mei 2012,,
15,2019-08-05 04:30:44,921,2019-08-05 04:30:44,pub,Fakultas Hukum Universitas Lampung,"[{'main': 'peerreview dana bantuan sekolah.pdf', 'docid': 26718, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119603', 'objectid': 26718, 'mtime': '2019-08-05 04:05:36', 'hash_type': 'MD5', 'hash': '5616951a68363481fd47a0ec11f395ca', 'filename': 'peerreview dana bantuan sekolah.pdf', 'fileid': 119603, 'mime_type': 'application/pdf', 'filesize': 259777, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26718', 'eprintid': 13707, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13707,TRUE,,article,,['FH3'],1970-01-01 00:00:00.000002012,disk0/00/01/37/07,archive,2019-08-05 04:30:44,['K1'],pengawasan penyelenggaraan dana bantuan sekolah di madrasah ibtidaiyah negeri sukarame,6,show,13707,,published,,,,,,,,,"[{'name': {'given': 'Nurmayani', 'family': 'Nurmayani', 'honourific': None, 'lineage': None}}]",,,,,,['Universitas Lampung'],Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,,,,,,,,,,,
16,2019-08-05 04:32:22,921,2019-08-05 04:32:22,pub,Program Pascasarjana Program Magister Hukum FH Unila,"[{'placement': 1, 'security': 'public', 'eprintid': 13713, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 26724, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119643', 'datasetid': 'document', 'filesize': 270332, 'fileid': 119643, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-08-05 04:27:47', 'hash': '5a7c829330a9eca3f9e06f2d23a1ccf0', 'filename': 'peerreview penyelenggaraan.pdf'}], 'main': 'peerreview penyelenggaraan.pdf', 'docid': 26724, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26724', 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13713,TRUE,,article,,['FH3'],1970-01-01 00:00:00.000002012,disk0/00/01/37/13,archive,2019-08-05 04:32:22,['K1'],penyelenggaraan pelayanan prima pada bidang informasi melalui mekanisme pelayanan pengaduan oleh BPMP di bandar lampung,6,show,13713,,published,,,,,,,,,"[{'name': {'family': 'Nurmayani', 'honourific': None, 'lineage': None, 'given': 'Nurmayani'}}]",,,,,,['Universitas Lampung'],Praevia,1907-8714,,,,,,,,,,,
17,2019-08-05 05:28:54,769,2019-08-05 05:28:54,pub,Laporan Penelitian DIPA Fakultas Hukum 2012,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 13724, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26734', 'main': 'UPIK penelitian Implikasi Hukum Peralihan Kewenangan.pdf', 'docid': 26734, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119725', 'objectid': 26734, 'filename': 'UPIK penelitian Implikasi Hukum Peralihan Kewenangan.pdf', 'hash': '5314ddd0d218d5dd52645df52e4189f1', 'hash_type': 'MD5', 'mtime': '2019-08-05 05:21:21', 'mime_type': 'application/pdf', 'fileid': 119725, 'filesize': 2368720, 'datasetid': 'document'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/13724,,,other,,['FH3'],1970-01-01 00:00:00.000002012,disk0/00/01/37/24,archive,2019-08-05 05:28:54,['K1'],implikasi hukum peralihan kewenangan pemungutan pajak bumi dan bangunan sektor pedesaan dan perkotaan dari pemerintah pusat kepada pemerintah kabupaten/kota,7,show,13724,,published,,Bandar Lampung,,,,,,,"[{'name': {'given': 'Nurmayani', 'lineage': None, 'honourific': None, 'family': 'Nurmayani'}}, {'name': {'given': 'Upik', 'lineage': None, 'honourific': None, 'family': 'Hamidah'}}, {'name': {'given': 'nurul fajri', 'family': 'oesman', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'deviani', 'given': 'eka'}}]",,,,,,['Universitas Lampung'],,,,,,,,,,,,,
18,2018-05-28 03:58:03,282,2018-05-28 03:58:03,unpub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19895', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/63472', 'objectid': 19895, 'hash_type': 'MD5', 'mtime': '2018-05-22 04:15:32', 'filename': 'Traditional Knowledge.pdf', 'hash': 'fc6f5fc8b725af622049571efca03d56', 'fileid': 63472, 'mime_type': 'application/pdf', 'filesize': 6875570, 'datasetid': 'document'}], 'main': 'Traditional Knowledge.pdf', 'docid': 19895, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 6922}]",public,http://repository.lppm.unila.ac.id/id/eprint/6922,FALSE,,conference_item,,['FH3'],2012-12-08 00:00:00.000000000,disk0/00/00/69/22,archive,2018-05-28 03:58:03,['K1'],Traditional Knowledge Model in Indonesia,7,show,6922,,published,,,,,,,,,"[{'name': {'given': 'Ria Wierma', 'honourific': None, 'family': 'Putri', 'lineage': None}, 'id': 'ria.wierma@fh.unila.ac.id'}]",,,,,"Indonesia has the wide-ranged potential of traditional knowledge however it has not a special law to protect its traditional knowledge. This article tries to suggest three model of protection for traditional in Indonesia through establishing a new IPR law govern a traditional knowledge, amending existed IPR law and documenting of traditional asset",['Kanazawa University'],,,"The Current Movement of ASIAN Law: From Japan, Taiwan and Indonesia",other,paper,,,,,,8 Desember 2012,"Kanazawa Ishikawa, Japan",
19,2019-08-25 17:08:07,235,2019-08-25 17:08:07,pub,Fakultas Hukum Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 13929, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26963', 'rev_number': 1, 'main': '2012 09 Mekanisme Konsultasi Publik; Instrumen Pembangun Good Governance di Daerah.pdf', 'docid': 26963, 'files': [{'filesize': 422540, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-08-23 03:06:39', 'hash': '3cc3d0ea976829caf396a5ea3a2d9b62', 'filename': '2012 09 Mekanisme Konsultasi Publik; Instrumen Pembangun Good Governance di Daerah.pdf', 'fileid': 121438, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/121438', 'objectid': 26963}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/13929,TRUE,,article,,['FH3'],2012-09-01 00:00:00.000000000,disk0/00/01/39/29,archive,2019-08-25 17:08:07,['K1'],Mekanisme Konsultasi Publik; Instrumen Pembangun Good Governance di Daerah,6,show,13929,,published,,,,,,,,,"[{'name': {'given': 'Zulkarnain', 'lineage': None, 'family': 'Ridlwan', 'honourific': None}, 'id': 'zulkarnain.ridlwan@fh.unila.ac.id'}]",,6,,3,"Tujuan  penulisan  ini  adalah  untuk  mendeskripsikan  pentingnya  ketersediaan 
mekanisme konsultasi publik dalam perumusan kebijakan dan peraturan ditingkat 
daerah.  Berdasarkan  tinjauan  teoritis,  filosofis,  sosiologis,  dan  yuridis
disimpulkan  bahwa  tersedianya  mekanisme  konsultasi  publik  di  daerah  sejalan 
dengan  prinsip  tata  pemerintahan  yang  baik  (good  governance)  oleh  karena  itu 
bagi daerah perlu mengadopsi pengaturannya di tingkat daerah.",,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,,,,,,,,,,,
20,2019-08-25 17:08:02,235,2019-08-25 17:08:02,pub,Fakultas Hukum Universitas Lampung,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26961', 'format': 'text', 'pos': 1, 'files': [{'objectid': 26961, 'uri': 'http://repository.lppm.unila.ac.id/id/file/121425', 'mime_type': 'application/pdf', 'fileid': 121425, 'hash': 'ed999accf526ecfcaeddcf2604c5ec59', 'filename': '2012 05 Negara Hukum Indonesia, Kebalikan dari Konsep Nachtwachterstaat.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-23 02:57:02', 'datasetid': 'document', 'filesize': 457900}], 'docid': 26961, 'main': '2012 05 Negara Hukum Indonesia, Kebalikan dari Konsep Nachtwachterstaat.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13927}]",public,http://repository.lppm.unila.ac.id/id/eprint/13927,TRUE,,article,,['FH3'],2012-05-01 00:00:00.000000000,disk0/00/01/39/27,archive,2019-08-25 17:08:02,['K1'],"Negara Hukum Indonesia, Kebalikan dari Konsep Nachtwachterstaat",6,show,13927,,published,,,,,,,,,"[{'name': {'given': 'Zulkarnain', 'family': 'Ridlwan', 'honourific': None, 'lineage': None}, 'id': 'zulkarnain.ridlwan@fh.unila.ac.id'}]",,5,,2,"Tujuan  penulisan  ini  adalah  untuk  mendeskripsikan  konsep  negara  hukum 
Indonesia  berdasarkan  konstitusi  yang  pernah  dan  sedang  berlaku  di  Indonesia. 
Berdasarkan  tinjauan  normatif  dan  perkembangan  ketatanegaraan  Indonesia
disimpulkan bahwa sejak  awal Republik Indonesia  berdiri  pilihan konsep negara 
hukum  yang  dicitakan  adalah  negara  hukum  demokratis  yang  secara  aktif 
bertujuan  untuk  mewujudkan  perlindungan  terhadap  segenap  bangsa  Indonesia 
dan  seluruh  tumpah  darah  Indonesia;  memajukan  kesejahteraan  umum; 
mencerdaskan kehidupan bangsa; dan ikut serta memelihara ketertiban dunia yang 
berdasarkan kemerdekaan, perdamaian abadi dan keadilan sosial. Disamping itu, 
negara hukum Indonesia dipengaruhi Pancasila sebagai kumpulan nilai-nilai dasar 
yang  disepakatu  dan  menjadi  landasan  praktek  kedaulatan  rakyat,  yakni 
Ketuhanan  Yang  Maha  Esa;  Kemanusiaan  Yang  Adil  dan  Beradab;  Persatuan 
Indonesia  dan  Kerakyatan  yang  dipimpin  oleh  hikmat  kebijaksanaan  dalam 
Permusyawaratan/Perwakilan;  serta  menciptakan  keadilan  sosial  bagi  seluruh 
rakyat  Indonesia.  Dengan  demikian,  Negara  Hukum  Indonesia  yang  dijalankan 
haruslah  senantiasa  memperhatikan  aspek  ketuhanan,  kemanusiaan,  persatuan, 
permusyawaratan dan keadilan. Meski pernah berganti konstitusi dan melakukan 
perubahan  atas  konstitusi  yang  berlaku,  namun  pilihan  konsep  negara  hukum 
masih  tetap  sama  yaitu  negara  hukum  aktif  atau  dinamis  dalam  mewujudkan 
kesejahteraan  rakyat.  Konsep  negara  hukum  demikian  dipresentasikan  sebagai 
welvaarstaat, yang adalah kebalikan negara penjaga malam (nachtwachterstaat).",,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,,,,,141-152,,,,,,
21,2019-08-25 17:08:09,235,2019-08-25 17:08:09,pub,P3KHAM LPPM Universitas Sebelas Maret,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26964', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/121444', 'objectid': 26964, 'filename': '2012 11 Perlindungan Saksi-Korban-Pelapor sebagai Hak Dasar Warga Negara, Jurnal Konstitusi UNS.pdf', 'hash': '32b85041310f144d1b87a29d1dd8fa07', 'hash_type': 'MD5', 'mtime': '2019-08-23 03:11:02', 'mime_type': 'application/pdf', 'fileid': 121444, 'filesize': 191353, 'datasetid': 'document'}], 'main': '2012 11 Perlindungan Saksi-Korban-Pelapor sebagai Hak Dasar Warga Negara, Jurnal Konstitusi UNS.pdf', 'docid': 26964, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13930}]",public,http://repository.lppm.unila.ac.id/id/eprint/13930,TRUE,,article,,['FH3'],2012-11-01 00:00:00.000000000,disk0/00/01/39/30,archive,2019-08-25 17:08:09,['K1'],Perlindungan Saksi-Korban-Pelapor sebagai Hak Dasar Warga Negara,7,show,13930,,published,,,,,,,,,"[{'name': {'family': 'Ridlwan', 'honourific': None, 'lineage': None, 'given': 'Zulkarnain'}, 'id': 'zulkarnain.ridlwan@fh.unila.ac.id'}]",,I,,1,"This  writing  purposed  to  describe the  witness-victims-reporter’s  (SKP’s,-in  bahasa) 
protection concept in Indonesia, especially on environment law maintenance. By the statue 
approach known that arrangement of SKP’s protection in 32/ 2009 act are not suitable with 
its formula on 13/ 2006 act. Those arrangement are susceptible to become foundation of law 
environment enforcement, whose constitute as basic right of the citizen. So that, integrative 
arrangement of SKP’s protection being necessity.",,Jurnal Konstitusi,,,,,,153-167,,,,,,
22,2020-01-14 02:48:42,347,2020-01-14 02:48:42,pub,Indepth Publishing,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 17213, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30318', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 2205795, 'fileid': 145921, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-12-02 17:21:00', 'filename': 'hukum pemerintahan daerah perspektif konstitusionalisme(2) (1).pdf', 'hash': '542cf6e74f8e5ae27eb5f2a4f49b0bab', 'objectid': 30318, 'uri': 'http://repository.lppm.unila.ac.id/id/file/145921'}], 'docid': 30318, 'main': 'hukum pemerintahan daerah perspektif konstitusionalisme(2) (1).pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/17213,TRUE,,book,,['FH3'],2012-12-01 00:00:00.000000000,disk0/00/01/72/13,archive,2020-01-14 02:48:42,['K1'],Hukum Pemerintahan Daerah Perspektif Konstitusionalisme Indonesia,7,show,17213,978-602-17314-1-3,published,,"Jl. Ahmad Yani, Gg. Pioneer No. 41, Gotong Royong, Tanjung Karang Pusat, Bandar Lampung",,,,,154.0,,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'honourific': None, 'family': 'Rudy'}}]",,,,,"Desentralisasi dan otonomi daerah merupakan resep yang selalu diberikan oleh pembentuk hukum dan kebijakan dinegara berkembang termasuk Indonesia. Meskipun masih belumteruji keberhasilannya, desentralisasi dan otonomi daerah telah diimplementtasikan di indonesia sejak era reformasi. Di Indonesia, desentralisasi dan otonomi daerah diinformalisasikan dalam kerangka Hukum Pemerintahan Daerah.",,,,,,,,,,,,,,
23,2016-09-08 03:16:23,244,2016-09-08 03:16:23,pub,Fakultas Hukum,"[{'main': 'Isi Jurnal Fiat Justisia.pdf', 'docid': 459, 'files': [{'objectid': 459, 'uri': 'http://repository.lppm.unila.ac.id/id/file/2937', 'datasetid': 'document', 'filesize': 255031, 'fileid': 2937, 'mime_type': 'application/pdf', 'mtime': '2016-09-06 07:08:40', 'hash_type': 'MD5', 'hash': 'ae0d87a873950851dd8826d22fb27a6e', 'filename': 'Isi Jurnal Fiat Justisia.pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/459', 'rev_number': 1, 'eprintid': 543, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/543,TRUE,,article,,['FH3'],2012-01-01 00:00:00.000000000,disk0/00/00/05/43,archive,2016-09-08 03:16:23,['K1'],TINJAUAN YURIDIS PENYELAMATAN DAN PENYELESAIAN KREDIT MACET (Studi Pada Koperasi Kredit Mekar Sai Bandar Lampung),8,show,543,,,,,,,,,,,"[{'id': 'Dianne_Eka_Rusmawati@yahoo.co.id', 'name': {'given': 'Dianne Eka', 'honourific': None, 'family': 'Rusmawati', 'lineage': None}}]",,6,,,"Abstrak Jenis penelitian ini adalah penelitian hukum normative empiris(applied normative law),dengan tipe penelitian deskriptif analisis, yaitu bersifat pemaparan dan bertujuan untuk memperoleh gambaran dan memaparkan secara sistematis factual dan akurat terhadap suatu hal tertentu. Melalui penelitian ini, akan digambarkan dan dipaparkan secara jelas dan rinci mengenai proses penyelamatan dan penyelesaian kredit macet pada Koperasi kredit Mekar Sai Bandar Lampung. Analisis adata secara kualitatif, artinya dengan cara menyajikan dan menguraikan data dalam bentuk kalimat secara rinci dan sistematis. Untuk menangani persoalan kredit macet ini, Kopdit Mekar Sai menerapkan standar prosedur hukum penanganan pinjaman bermasalah/macet.Namun sebelum standar prosedur tersebut diterapkan, pihak Kopdit akan melakukan upaya lain berupa pendekatan-pendekatan secara personal kepada anggota (debitur) yang kreditnya mengalami masalah.Upaya ini dilakukan sebagai bentuk kepedulian dan keterikatan Kopdit dengan anggotanya. Apabila upaya ini tidak berhasil dilakukan maka prosedur hukum penanganan kredit /pinjaman bermasalah(kredit macet) tersebut baru dilakukan. Kata Kunci: Kredit Macet, Koperasi Kredit",,Fiat Justicia,1978-5186,,,,,,,,,,,
24,2018-02-20 04:34:01,940,2018-02-20 04:34:01,pub,Fakultas Hukum Universitas Diponegoro,"[{'placement': 1, 'security': 'public', 'eprintid': 6485, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 60060, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-02-15 05:51:04', 'hash': 'c64ff36fccba32e17924346892b20e6b', 'filename': '1. jurnal HK Agraria Produk Politik (Akr)_2012.pdf', 'datasetid': 'document', 'filesize': 885111, 'objectid': 19428, 'uri': 'http://repository.lppm.unila.ac.id/id/file/60060'}], 'docid': 19428, 'main': '1. jurnal HK Agraria Produk Politik (Akr)_2012.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19428', 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/6485,TRUE,,article,,['FH3'],2012-10-01 00:00:00.000000000,disk0/00/00/64/85,archive,2018-02-20 04:34:01,['KZ'],HUKUM AGRARIA NASIONAL SEBAGAI PRODUK POLITIK BERBASISKAN NILAI-NILAI PANCASILA,6,show,6485,,published,[{'url': 'https://ejournal.undip.ac.id/index.php/mmh/issue/view/1022'}],,,,,,,,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'lineage': None, 'family': 'Sumarja', 'honourific': None}}]",,41,,4,"Kajian hukum ini untuk mengetahui perwujudan nilai-nilai Pancasila dalam hukum agraria nasionaldan subtansi hukum agraria nasional sebagai produk politik. hasil kajian disimpulkan bahwa nilai-nilai Pancasila telah mengakar sedemikian kuat dalam UUPA, sehingga potensial sebagai sarana untuk menjelaskan, mengantisipasi dan memberi solusi segala persoalan hukum agraria di Indonesia. UUPA sebagai produk politik bberkarakter responsif dan memenuhi tuntutan rasa keadilan yang didambakan oleh masyarakat Indonesia.

kata kunci: Pancasila, hukum agraria, produk politik",['Universitas Lampung'],Jurnala masalah-masalah Hukum,2086-2695,,,,https://ejournal.undip.ac.id/index.php/mmh/issue/view/1022,521-528,,,,,,
25,2017-10-12 03:44:12,940,2017-10-12 03:44:12,unpub,,"[{'language': 'id', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 4027, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3885', 'format': 'text', 'pos': 1, 'files': [{'objectid': 3885, 'uri': 'http://repository.lppm.unila.ac.id/id/file/28167', 'mime_type': 'application/pdf', 'fileid': 28167, 'hash': '10d6debfe9eb3df4d3fc6b8016d213c7', 'filename': 'Makalah RUU Hak Atas tanah_2012.pdf', 'hash_type': 'MD5', 'mtime': '2017-07-03 05:17:07', 'datasetid': 'document', 'filesize': 171586}], 'main': 'Makalah RUU Hak Atas tanah_2012.pdf', 'docid': 3885}]",public,http://repository.lppm.unila.ac.id/id/eprint/4027,FALSE,,conference_item,,['FH3'],2012-03-01 00:00:00.000000000,disk0/00/00/40/27,archive,2017-10-12 03:44:12,['K1'],Undang-Undang Hak-Hak Atas Tanah yang Ideal Tanggapan dan Masukan atas RUU Hak-Hak Atas Tanah,3,show,4027,,,"[{'type': 'org', 'url': 'http://repository.lppm.unila.ac.id'}]",,,,,,,,"[{'name': {'given': 'FX', 'lineage': None, 'family': 'Sumarja', 'honourific': None}, 'id': 'fxsmj.unila@gmail.com'}]",,,,,,['Fakultas Hukum Universitas lampung'],,,"FGD RUU Hak-Hak atas Tanah, di Bandar Lampung kerjasama FH Unila dengan DPD RI,",workshop,speech,,,,,,20 Maret 2012,"Universitas Lampung, Bandar Lampung",3626.0
26,2017-10-12 03:43:13,940,2017-10-12 03:43:13,unpub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/3884', 'rev_number': 3, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/28159', 'objectid': 3884, 'hash': '10d6debfe9eb3df4d3fc6b8016d213c7', 'filename': 'Makalah RUU Hak Atas tanah_2012.pdf', 'hash_type': 'MD5', 'mtime': '2017-07-03 05:17:07', 'mime_type': 'application/pdf', 'fileid': 28159, 'filesize': 171586, 'datasetid': 'document'}], 'docid': 3884, 'main': 'Makalah RUU Hak Atas tanah_2012.pdf', 'language': 'id', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 4026}]",public,http://repository.lppm.unila.ac.id/id/eprint/4026,FALSE,,conference_item,,['FH3'],2012-03-01 00:00:00.000000000,disk0/00/00/40/26,archive,2017-10-12 03:43:13,['K1'],Undang-Undang Hak-Hak Atas Tanah yang Ideal Tanggapan dan Masukan atas RUU Hak-Hak Atas Tanah,3,show,4026,,,"[{'type': 'org', 'url': 'http://repository.lppm.unila.ac.id'}]",,,,,,,,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'honourific': None, 'family': 'Sumarja', 'lineage': None}}]",,,,,,['Fakultas Hukum Universitas lampung'],,,"FGD RUU Hak-Hak atas Tanah, di Bandar Lampung kerjasama FH Unila dengan DPD RI,",workshop,speech,,,,,,20 Maret 2012,"Universitas Lampung, Bandar Lampung",3626.0
27,2020-02-25 04:06:04,769,2020-02-25 04:06:04,pub,Fakultas Hukum,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 18178, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31318', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/153078', 'objectid': 31318, 'filename': 'Review Upik H Pembaharuan Standar Prosedure.pdf', 'hash': 'e6834b6839930e1ff26c6a40e956ceed', 'hash_type': 'MD5', 'mtime': '2020-02-24 03:43:37', 'mime_type': 'application/pdf', 'fileid': 153078, 'filesize': 153728, 'datasetid': 'document'}], 'main': 'Review Upik H Pembaharuan Standar Prosedure.pdf', 'docid': 31318}]",public,http://repository.lppm.unila.ac.id/id/eprint/18178,FALSE,,article,,['FH3'],2012-08-01 00:00:00.000000000,disk0/00/01/81/78,archive,2020-02-25 04:06:04,['K1'],Pembaharuan Standar Prosedure Operasi Pengaturan (SOP) Pelayanan Pendaftaran Peralihan Hak Milik Atas Tanah Karena Hibah Wasiat Berdasarkan Alat Bukti Peralihan Hak,6,show,18178,,,,,,,,,,,"[{'name': {'given': 'Hamidah', 'lineage': None, 'family': 'Upik', 'honourific': None}}]",,,,,hasil penilaian sejawat sebidang atau peer review,,Fiat Justisia,1978-5186,,,,,,,,,,,
