,event_type,rev_number,metadata_visibility,title,subjects,status_changed,eprint_status,event_title,eprintid,full_text_status,uri,refereed,ispublished,pres_type,documents,datestamp,pagerange,lastmod,userid,date,dir,creators,divisions,type,publisher,corp_creators,issn,publication,abstract,number,keywords,volume,official_url,date_type,event_location,event_dates,pages,contact_email,editors,isbn,place_of_pub,related_url,funders,projects,id_number
10,,6,show,PENGADUAN KONSTITUSIONAL DI NEGARA FEDERAL JERMAN,['K1'],2019-08-25 17:06:52,archive,,13923,public,http://repository.lppm.unila.ac.id/id/eprint/13923,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26958', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 26958, 'uri': 'http://repository.lppm.unila.ac.id/id/file/121406', 'mime_type': 'application/pdf', 'fileid': 121406, 'filename': '2011 09 Pengaduan Konstitusional di Negara Federal Jerman.pdf', 'hash': '6fd7e81d3207c5d10d41dbfb16c5c331', 'mtime': '2019-08-23 02:31:32', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 362096}], 'main': '2011 09 Pengaduan Konstitusional di Negara Federal Jerman.pdf', 'docid': 26958, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 13923}]",2019-08-25 17:06:52,,2019-08-25 17:06:52,235,2011-12-01 00:00:00.000000000,disk0/00/01/39/23,"[{'name': {'given': 'Zulkarnain', 'family': 'Ridlwan', 'honourific': None, 'lineage': None}, 'id': 'zulkarnain.ridlwan@fh.unila.ac.id'}]",['FH3'],article,Fakultas Hukum Universitas Lampung,,1978-5186,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,"Tujuan  penulisan  ini  adalah  untuk  mendeskripsikan  konsep  pengaduan 
konstitusional di Jerman. Berdasarkan tinjauan normatif dan perbandingan dengan 
Indonesia, didapatkan fakta bahwa Negara Federal Jerman merupakan salah satu 
contoh  yang  tepat  dalam  hal  memahami  dan  mempraktekkan  suatu  model 
perlindungan  hak-hak  konstitusional  warga  negara  dengan  menjalankan 
mekanisme  pengaduan  konstitusional  (constitutional  complaint).  Kewenangan 
untuk  memproses  pengaduan  tersebut  dimiliki  oleh  Mahkamah  Federal  Jerman. 
Indonesia  sebagai  negara  yang  telah  memiliki  rumusan  perlindungan  hak-hak 
warga  negara  serta  telah  menegaskan  sebagai  negara  hukum  hendaknya  dapat 
mengadopsi dan mengadaptasikan apa yang telah dijalankan di Jerman dalam hal 
pengaduan  konstitusional.  Sebab  pengakuan  hak-hak  dasar  warga  negara  tanpa 
perlindungan  atau  mendengung-dengungkan  perlindungan  tanpa  tersedia  upaya 
hukum  yang  cukup  adalah  sama-sama  pengingkaran  terhadap  pengakuan  dan 
perlindungan hak-hak dasar setiap warga negara. Hal penting yang dapat diadopsi 
dan diadaptasikan dari model pengaduan konstitusional di negara Jerman adalah 
memposisikannya sebagai upaya hukum luar biasa.",3.0,,5,,published,,,,,,,,,,,
11,conference,7,show,Pembangunan Hukum Nasional: Internalisasi Hukum Islam Secara Eklektis,['K1'],2019-08-25 17:10:10,archive,Seminar Nasional Pembangunan Hukum: Mewujudkan Agenda Reformasi di Era Globalisasi,13922,public,http://repository.lppm.unila.ac.id/id/eprint/13922,TRUE,pub,paper,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 13922, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26956', 'docid': 26956, 'main': '2011 05 Pembangunan Hukum Nasional, Internalisasi Hukum Islam Secara Eklektis, Proceeding Semnas FH.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/121394', 'objectid': 26956, 'filesize': 211557, 'datasetid': 'document', 'hash': '0fdfb97a8dc9e07b424c85e6e907f41f', 'filename': '2011 05 Pembangunan Hukum Nasional, Internalisasi Hukum Islam Secara Eklektis, Proceeding Semnas FH.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-23 02:05:06', 'mime_type': 'application/pdf', 'fileid': 121394}]}]",2019-08-25 17:10:10,265-277,2019-08-25 17:10:10,235,1970-01-01 00:00:00.000002011,disk0/00/01/39/22,"[{'name': {'given': 'Zulkarnain', 'family': 'Ridlwan', 'honourific': None, 'lineage': None}, 'id': 'zulkarnain.ridlwan@fh.unila.ac.id'}]",['FH3'],conference_item,,,,,"Pembangunan hukum nasional dengan menyempurnakan hukum barat yang berlaku di Indonesia berdasarkan asas konkordansi hendaknya  dapat dilakukan menggunakan bahan  bangunan hukum yang berasal dari jiwa bangsa Indonesia. Dalam negara Indonesia yang tidak sekuler, hukum Islam diberi porsi menjadi bagian dari unsur pembentuk hukum nasional. Metode yang digunakan dalam internalisasi nilai  dan norma hukum Islam ke dalam produk hukum nasional yaitu metode eklektis dengan maksud memilih yang terbaik. Memilih nilai yang terbaik guna dinormakan dalam hukum nasional juga memerlukan sistem kerja positivisasi yang dapat diterima secara keilmuan dan dalam proses demokratisasi, bukan indoktrinasi.",,,,,published,Lampung,2011,,,,,,,,,
12,conference,7,show,HARMONISASI PEMBANGUNAN HUKUM TANAH NASIONAL,['K1'],2019-02-08 02:06:32,archive,"Seminar Nasional ""Pembangunan Hukum: Mewujudkan Agenda Reformasi di Era Globalisai""",10690,public,http://repository.lppm.unila.ac.id/id/eprint/10690,TRUE,pub,paper,"[{'files': [{'fileid': 98765, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-02-06 02:09:08', 'filename': 'Prosiding_Semnas 2011_Pembanguan HK-Mewujudkan agenda reformasi...Harmonisasi (Mandiri-asli).pdf', 'hash': '7dabc7aa6f1d18583e48841df6e0dae3', 'datasetid': 'document', 'filesize': 115395, 'objectid': 23696, 'uri': 'http://repository.lppm.unila.ac.id/id/file/98765'}], 'docid': 23696, 'main': 'Prosiding_Semnas 2011_Pembanguan HK-Mewujudkan agenda reformasi...Harmonisasi (Mandiri-asli).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23696', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 10690, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-02-08 02:06:32,141-150,2019-02-08 02:06:32,940,2011-05-01 00:00:00.000000000,disk0/00/01/06/90,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'family': 'Sumarja', 'honourific': None, 'lineage': None, 'given': 'FX'}}]",['FH3'],conference_item,,['Fakultas Hukum Universitas Lampung'],,,"Tujuan penulisan ini adalah untuk mengetahui penyusunan rancangan undang-undang yang terkait dengan tanah sebagai upaya menggantikan Undang-Undang Nomor 5 Tahun 1960 tentang Peraturan Dasar Pokok-Pokok Agraria (UUPA). Rancangan undang-undang sebagai aturan pelaksanaan UUPA, dan penyusunan RUU secara harmonis. Pembangunan hukum tanah nasional yang tertuang di dalam prolegnas tahun 2010-2014, terdapat 14 dari 247 RUU yang terkait dengan tanah. Dalam prolegnas tersebut tidak terdapat RUU yang berupaya menggantikan UUPA. RUU yang ada sebagai aturan pelaksanaan UUPA, baik perubahan undang-undang yang telah ada maupun undang-undang yang belum ada.
Kata Kunci: prolegnas, hukum tanah",,,,http://repository.lppm.unila.ac.id,published,Bandar Lampung,Mei 2011,,,,,,[{'url': 'http://repository.lppm.unila.ac.id'}],['---'],['---'],
13,,8,show,Hasil dan Prosprek Amandemen UUD 1945,['K1'],2019-01-28 08:22:09,archive,,10643,public,http://repository.lppm.unila.ac.id/id/eprint/10643,TRUE,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 10643, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'image', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23655', 'main': 'Jurnal MK-PKK Fak Hukum Unila,Vol III, No. 2_2011.pdf', 'docid': 23655, 'files': [{'datasetid': 'document', 'filesize': 1404568, 'fileid': 98372, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-01-25 09:29:31', 'filename': 'Jurnal MK-PKK Fak Hukum Unila,Vol III, No. 2_2011.pdf', 'hash': '094c52f18d86184e74287cb4a9cc33e8', 'objectid': 23655, 'uri': 'http://repository.lppm.unila.ac.id/id/file/98372'}]}]",2019-01-28 08:22:09,9-26,2019-01-28 08:22:09,940,2011-11-01 00:00:00.000000000,disk0/00/01/06/43,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'family': 'Sumarja', 'honourific': None, 'lineage': None, 'given': 'FX'}}]",['FH3'],article,Kepaniteraan dan Sekretariat Jenderal Mahkamah Konstitusi Republik Indonesia,['Fakultas Hukum Universitas Lampung'],1829-7706,Jurnal Konstitusi,"This study aims to determine the amendments to the Constitution in 1945, during the period 1999-2002 period, the implementation of the amendments to the Constitution in 1945, and the prospects for the future. Found that the amendments to the Constitution, in 1945, gave birth to a new State constitutional law. Development of the judiciary to the Supreme Court, Constitutional Court and the judicial Commission, changes in the system of representation in the DPR, DPD and MPR; way of impeachment the President and/or Vice President. But there are still issues facing, namely, the power of the constitutional question before the Court and the constitutional complaint; limitations of DPD in the legislative function, the intervention of Parliament in the placement of the ambassadors, and to fill certain positions. 

Keywords: prospect-to amend the Constitution of 1945, after the amendment.",2.0,,3,http://repository.lppm.unila.ac.id,published,,,,,,,,[{'url': 'http://repository.lppm.unila.ac.id'}],['---'],['---'],940.0
14,conference,7,show,Demokrasi dan Hak Asasi Manusia Dalam Konsep Negara Hukum (quo vadis demokrasi dan HAM di Indonesia di Era Globalisasi),['K1'],2017-08-14 06:42:00,archive,Pembangunan Hukum: Mewujudkan Agenda Reformasi di Era Globalisasi,3751,public,http://repository.lppm.unila.ac.id/id/eprint/3751,FALSE,pub,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 3751, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3609', 'docid': 3609, 'main': 'Yulia neta (Prosiding) Pembangunan Hukum.pdf', 'files': [{'hash': 'b211cfbfc33f03bab88238a91b5841d4', 'filename': 'Yulia neta (Prosiding) Pembangunan Hukum.pdf', 'mtime': '2017-08-02 09:17:51', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 26332, 'filesize': 1406258, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26332', 'objectid': 3609}]}]",2017-08-14 06:42:00,,2017-08-14 06:42:00,888,2011-05-01 00:00:00.000000000,disk0/00/00/37/51,"[{'id': 'yulia.neta@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Yulia Neta', 'lineage': None, 'given': 'Yulia'}}]",['FH3'],conference_item,,,,,,,,,,,,,,,,,,,,,
15,conference,7,show,Demokrasi dan Hak Asasi Manusia dalam konsep Negara Hukum (Quo Vadis Demokrasi dan Ham di Indonesia di era globalisasi),['K1'],2019-09-04 08:04:07,archive,Demokrasi dan Hak Asasi Manusia dalam konsep Negara Hukum (Quo Vadis Demokrasi dan Ham di Indonesia di era globalisasi),14037,public,http://repository.lppm.unila.ac.id/id/eprint/14037,TRUE,pub,paper,"[{'eprintid': 14037, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Review Yulia Neta Demokrasi dan HAM dalam Konsep Negara Hukum.pdf', 'docid': 27069, 'files': [{'filesize': 707301, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-09-04 07:24:41', 'hash': '38526c4d3ee67b7a5df2883226981cae', 'filename': 'Review Yulia Neta Demokrasi dan HAM dalam Konsep Negara Hukum.pdf', 'fileid': 122185, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122185', 'objectid': 27069}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27069', 'rev_number': 1}]",2019-09-04 08:04:07,,2019-09-04 08:04:07,888,1970-01-01 00:00:00.000002011,disk0/00/01/40/37,"[{'name': {'given': 'Yulia', 'lineage': None, 'honourific': None, 'family': 'Yulia Neta'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",['FH3'],conference_item,,['Universitas Lampung'],,,hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
16,,6,show,Fungsi partai politik dalam pemilihan umum yang Demokratis (Analisis KOrtis terhadap Teori Fungsi Partai politik),['K1'],2019-09-04 08:03:45,archive,,14039,public,http://repository.lppm.unila.ac.id/id/eprint/14039,TRUE,pub,,"[{'main': 'Review Yulia Neta Fungsi Partai Politik dalam Pemilihan Umum.pdf', 'docid': 27071, 'files': [{'hash_type': 'MD5', 'mtime': '2019-09-04 07:33:16', 'hash': '187ef334cd7b97b2b78ada513a581d00', 'filename': 'Review Yulia Neta Fungsi Partai Politik dalam Pemilihan Umum.pdf', 'fileid': 122197, 'mime_type': 'application/pdf', 'filesize': 762553, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122197', 'objectid': 27071}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27071', 'eprintid': 14039, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",2019-09-04 08:03:45,,2019-09-04 08:03:45,888,1970-01-01 00:00:00.000002011,disk0/00/01/40/39,"[{'name': {'family': 'Yulia Neta', 'honourific': None, 'lineage': None, 'given': 'Yulia'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",['FH3'],article,,['Universitas Lampung'],18297706,konstitusi,hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
17,,6,show,Upaya peningkatan peran dewan perwakilan daerah (DPD) di Indonesia,['K1'],2019-08-05 05:00:55,archive,,13706,public,http://repository.lppm.unila.ac.id/id/eprint/13706,TRUE,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 13706, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119597', 'objectid': 26717, 'mtime': '2019-08-05 03:54:16', 'hash_type': 'MD5', 'hash': '6497c89699f66c5f02983dfc1c1f4d9a', 'filename': 'review3.pdf', 'fileid': 119597, 'mime_type': 'application/pdf', 'filesize': 98193, 'datasetid': 'document'}], 'main': 'review3.pdf', 'docid': 26717, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26717', 'rev_number': 1, 'format': 'text', 'pos': 1}]",2019-08-05 05:00:55,,2019-08-05 05:00:55,888,1970-01-01 00:00:00.000002011,disk0/00/01/37/06,"[{'name': {'given': 'Yulia', 'lineage': None, 'family': 'Yulia Neta', 'honourific': None}, 'id': 'yulia.neta@fh.unila.ac.id'}]",['FH3'],article,Fakultas Hukum Universitas Lampung,,1978-5186,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,Hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
18,,6,show,Upaya peningkatan peran dewan perwakilan daerah (DPD) di indonesia,['K1'],2019-09-04 08:03:59,archive,,14043,public,http://repository.lppm.unila.ac.id/id/eprint/14043,TRUE,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 14043, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27075', 'docid': 27075, 'main': 'Review Yulia Neta Upaya Peningkatan Peran Dewan Perwakilan Daerah.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/122222', 'objectid': 27075, 'hash': '09f76ac1eebfb36f39f168033c4e5e75', 'filename': 'Review Yulia Neta Upaya Peningkatan Peran Dewan Perwakilan Daerah.pdf', 'mtime': '2019-09-04 08:01:13', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 122222, 'filesize': 753598, 'datasetid': 'document'}]}]",2019-09-04 08:03:59,,2019-09-04 08:03:59,888,1970-01-01 00:00:00.000002011,disk0/00/01/40/43,"[{'id': 'yulia.neta@fh.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Yulia Neta', 'given': 'Yulia'}}]",['FH3'],article,Fakultas Hukum Universitas Lampung,['Universitas Lampung'],1978-5186,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
19,conference,7,show,demokrasi dan hak asasi manusia dalam konsep negara hukum (Quo vadis demokrasi dan ham di indonesia di era globalisasi),['K1'],2019-08-05 05:00:46,archive,Prosiding seminar nasional,13717,public,http://repository.lppm.unila.ac.id/id/eprint/13717,TRUE,pub,paper,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26728', 'pos': 1, 'format': 'text', 'files': [{'hash': 'd12ec944a4c6a437b60137953d87a7f7', 'filename': 'review7.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-05 04:47:31', 'mime_type': 'application/pdf', 'fileid': 119675, 'filesize': 101602, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119675', 'objectid': 26728}], 'main': 'review7.pdf', 'docid': 26728, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 13717}]",2019-08-05 05:00:46,,2019-08-05 05:00:46,888,2011-05-01 00:00:00.000000000,disk0/00/01/37/17,"[{'name': {'honourific': None, 'family': 'Yulia Neta', 'lineage': None, 'given': 'Yulia'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",['FH3'],conference_item,,['Universitas Lampung'],,,hasil penilaian sejawat sebidang atau peer review,,,,,published,,mei 2011,,,,,,,,,
20,,6,show,fungsi partai politik dalam pemilihan umum yang demokratis (analisis kortis terhadap teori fungsi partai politik),['K1'],2019-08-05 05:01:13,archive,,13714,public,http://repository.lppm.unila.ac.id/id/eprint/13714,TRUE,pub,,"[{'eprintid': 13714, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 26725, 'main': 'review4.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119650', 'objectid': 26725, 'filesize': 103135, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-08-05 04:31:24', 'filename': 'review4.pdf', 'hash': '3518f2d57ba3736365d7af25ad24d0cb', 'fileid': 119650, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26725', 'rev_number': 1}]",2019-08-05 05:01:13,,2019-08-05 05:01:13,888,1970-01-01 00:00:00.000002011,disk0/00/01/37/14,"[{'name': {'given': 'Yulia', 'lineage': None, 'honourific': None, 'family': 'Yulia Neta'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",['FH3'],article,,['Universitas Lampung'],18297706,konstitusi,hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
21,,7,show,Analisis Faktor Penyebab dan Penanggulangan Tindak Pidana Perkosaan dalam Keluarga,['K1'],2023-05-15 01:22:36,archive,,51603,public,http://repository.lppm.unila.ac.id/id/eprint/51603,TRUE,pub,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/611213', 'objectid': 249401, 'filename': '20230.pdf', 'hash': '5c6b138761192d9de24d0df6cc790518', 'hash_type': 'MD5', 'mtime': '2023-05-14 14:46:46', 'mime_type': 'application/pdf', 'fileid': 611213, 'filesize': 3300081, 'datasetid': 'document'}], 'main': '20230.pdf', 'docid': 249401, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249401', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 51603, 'mime_type': 'application/pdf', 'language': 'en'}]",2023-05-15 01:22:36,173-184,2023-05-15 01:22:36,903,2011-07-01 00:00:00.000000000,disk0_bak/00/05/16/03,"[{'name': {'given': 'firganefi', 'lineage': None, 'honourific': None, 'family': 'firganefi'}, 'id': 'firganefi.unila@gmail.com'}]",['FH3'],article,Program Pascasarjana Program Magister Hukum FH Unila,,1907-8714,Praevia,,2.0,,5,,published,,,,,,,,,,,
