,rev_number,event_type,metadata_visibility,event_dates,official_url,title,subjects,abstract,eprint_status,status_changed,event_location,date_type,event_title,eprintid,full_text_status,uri,refereed,ispublished,pres_type,documents,datestamp,lastmod,userid,date,dir,creators,divisions,type,volume,related_url,issn,publication,publisher,number,contributors,pagerange,id_number,corp_creators,referencetext,contact_email,keywords,funders
10,7,conference,show,16-17 October 2020,https://eudl.eu/proceedings/ICOPE/2020,"The Learning Strategy of The Flipped Classroom With
Gamification As An Alternative Learning Solution 
During The Covid-19 Pandemic",['L1'],"The purpose of this research is to analyze the Flipped classroom learning
strategy when combined with gamification as a learning solution during the COVID-19
pandemic and to provide recommendations for teachers, learning designers, and
practitioners regarding the implementation of the two learning strategies. This study uses
a qualitative content analysis method. Based on the results of the analysis, giving gamification elements into learning has the potential to increase the quality of mathematics learning. Several research results state that the use of the Flipped classroom strategy and
the use of gamification have a positive impact on learning so that it can be a suggestion for learning during the COVID 19 pandemic, especially in mathematics learning",archive,2021-05-29 00:35:22,University of Lampung,published,"International Conference on Progressive Education, ICOPE 2020 dengan tema ""Exploring the New Era of Education”",31189,public,http://repository.lppm.unila.ac.id/id/eprint/31189,TRUE,pub,paper,"[{'security': 'public', 'placement': 1, 'eprintid': 31189, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/369781', 'objectid': 140939, 'hash_type': 'MD5', 'mtime': '2021-05-28 12:48:32', 'filename': 'eai.16-10-2020.2305193.pdf', 'hash': '69e9c3ae34248cbd5ed3cead546bc0f9', 'fileid': 369781, 'mime_type': 'application/pdf', 'filesize': 179203, 'datasetid': 'document'}], 'main': 'eai.16-10-2020.2305193.pdf', 'docid': 140939, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140939', 'rev_number': 1, 'format': 'text', 'pos': 1}]",2021-05-29 00:35:22,2021-05-29 00:35:22,548,1970-01-01 00:00:00.000002020,disk0/00/03/11/89,"[{'id': 'b.dwilestari@yahoo.com', 'name': {'honourific': None, 'family': 'Lestari', 'lineage': None, 'given': 'Bella Dwi'}}, {'name': {'lineage': None, 'family': 'Noer', 'honourific': None, 'given': 'Sri Hastuti'}, 'id': 'hastuti_noer@yahoo.com'}]",['FKIP22'],conference_item,,,,,,,,,,,,,,
11,8,,show,,http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/20509,PENGARUH MODEL PEMBELAJARAN THINK PAIR SHARE TERHADAP KEMAMPUAN KOMUNIKASI MATEMATIS SISWA,['L1'],"This research aimed to find out the influence of think pair share (TPS) model toward student’s mathematical communication skill. The population of this research was all students of grade 7th Junior High School state of Natar in academic year 2018/2019. Through purposive random sampling technique, students of class of VII-E and VII-F were chosen as the research sample. This research used the pretest-posttest control group design. The research data in the form of mathematical communication skill scores were obtained by the essay test on the presentation data chapter. Based on the hypotheses result of",archive,2020-06-02 14:12:14,,published,,21530,public,http://repository.lppm.unila.ac.id/id/eprint/21530,TRUE,pub,,"[{'eprintid': 21530, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 34927, 'main': 'Ika,M=Nurhanurawati-Coesamin.pdf', 'files': [{'fileid': 199683, 'mime_type': 'application/pdf', 'mtime': '2020-06-02 13:49:04', 'hash_type': 'MD5', 'filename': 'Ika,M=Nurhanurawati-Coesamin.pdf', 'hash': 'a6e369c2c30f731904d3327f07aaddbd', 'datasetid': 'document', 'filesize': 344843, 'objectid': 34927, 'uri': 'http://repository.lppm.unila.ac.id/id/file/199683'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34927', 'rev_number': 1}]",2020-06-02 14:12:14,2020-06-02 14:12:14,789,2020-06-02 00:00:00.000000000,disk0/00/02/15/30,"[{'name': {'honourific': None, 'family': 'Marantika', 'lineage': None, 'given': 'Ika'}, 'id': None}, {'name': {'lineage': None, 'family': 'Nurhanurawati', 'honourific': None, 'given': 'Nurhanurawati'}, 'id': 'nurhanurawati94@gmail.com'}, {'name': {'given': 'M', 'honourific': None, 'family': 'Coesamin', 'lineage': None}, 'id': 'mcoesamin@gmail.com'}]",['FKIP22'],article,8.0,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/20509'}],2715-856X,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,1.0,,12-21,,,,,,
12,10,,show,,http://jurnal.fkip.unila.ac.id/index.php/MTK/index,"MODUL PERSAMAAN LINGKARAN BERBASIS SEARCH, SOLVE, CREATE AND SHARE (SSCS)","['L1', 'LB1603']","The purpose of the development of this mathematics module is to produce products in the form of mathematical modules based on Search, Solve, Create, and Share (SSCS) material that is valid and practical. The type of research that is used is research and development (R&D). The model that is used is the R&D model developed by Sugiyono who has been modified. The stages which are used in this development research only stage 1 through 7. The instruments which are used were expert validation questionnaire and questionnaire response of students. Based on the results of expert validation obtained the results of the validation of material expert 78,84% (decent categories), linguists expert 85% (category of very feasible) and design expert 83,6% (a very feasible category), so that the overall percentage of the validator obtained a total percentage of 82,48% (very feasible category). The results of the small group trial were obtained from the response of students of the mathematics module was 84% (a very practical category). Based on the results, it can be concluded that the SSCS-based mathematics module material for students’ questions in SMA Negeri 1 Metro is very feasible and very practical to be used as a source of learning mathematics, especially circle material.",archive,2021-05-24 04:41:50,,published,,30569,public,http://repository.lppm.unila.ac.id/id/eprint/30569,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 30569, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/137608', 'rev_number': 1, 'main': '5 Evi UM Metro 261-272.pdf', 'docid': 137608, 'files': [{'objectid': 137608, 'uri': 'http://repository.lppm.unila.ac.id/id/file/362370', 'mime_type': 'application/pdf', 'fileid': 362370, 'hash': '65a06b883a386fb178afddd21cf29940', 'filename': '5 Evi UM Metro 261-272.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-24 03:48:50', 'datasetid': 'document', 'filesize': 379187}]}, {'security': 'public', 'placement': 2, 'eprintid': 30569, 'content': 'published', 'language': 'en', 'mime_type': 'application/xml', 'files': [{'objectid': 137609, 'uri': 'http://repository.lppm.unila.ac.id/id/file/362373', 'mime_type': 'application/xml', 'fileid': 362373, 'filename': 0, 'hash': '550310b74ec6759777164a5a7790f89c', 'mtime': '2021-05-24 03:49:08', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 22858}], 'docid': 137609, 'main': 0, 'uri': 'http://repository.lppm.unila.ac.id/id/document/137609', 'rev_number': 3, 'format': 'text', 'pos': 2}]",2021-05-24 04:41:50,2021-05-24 04:41:50,2754,2020-12-30 00:00:00.000000000,disk0/00/03/05/69,"[{'id': None, 'name': {'family': 'Monica', 'honourific': None, 'lineage': None, 'given': 'Evi Candra'}}, {'name': {'lineage': None, 'family': 'Suryadinata', 'honourific': None, 'given': 'Nurain'}, 'id': 'nurain.suryadinata@fkip.unila.ac.id'}, {'id': 'nurulfaridamath@gmail.com', 'name': {'lineage': None, 'family': 'Farida', 'honourific': None, 'given': 'Nurul'}}]",['FKIP22'],article,8.0,,2338 - 1183,Jurnal Pendidikan Matematika Universitas Lampung,Fakultas Keguruan dan Ilmu Pendidikan Unila,4.0,,261-272,http://dx.doi.org/10.23960/mtk/v8i2.pp261-272,,,,,
13,8,conference,show,,,PERAMALAN PENGGUNA INDIHOME MENGGUNAKAN METODE AUTOREGRESSIVE INTEGRATED MOVING AVERAGE (ARIMA),['Q1'],"Peramalan merupakan dugaan terhadap permintaan yang akan datang berdasarkan pada beberapa variabel peramal, sering berdasarkan data deret waktu historis. Kebutuhan manusia akan teknologi khususnya dalam informasi dan telekomunikasi semakin tinggi, salah satunya internet. Jumlah pengguna internet semakin meningkat. Maka dari itu peramalan jumlah pengguna indihome diperlukan untuk meningkatkan kualitas layanan. Metode peramalan yang digunakan yaitu Autoregressive Integrated Moving Average (ARIMA). Variabel yang digunakan yaitu data jumlah pelanggan pelanggan. Peramalan ini disimulasikan menggunakan perangkat lunak Minitab. Dari hasil peramalan ini data pelanggan 4 bulan yang akan datang terus meningkat.


Kata kunci : peramalan, ARIMA, pelanggan",archive,2020-11-16 15:07:31,,submitted,SEMINAR NASIONAL METODE KUANTITATIF (SNMK) 2020,25545,public,http://repository.lppm.unila.ac.id/id/eprint/25545,FALSE,submitted,paper,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/230329', 'objectid': 39341, 'filesize': 8812, 'datasetid': 'document', 'mtime': '2020-11-16 09:05:18', 'hash_type': 'MD5', 'hash': '6c1412855bc0961fb67a0d46f974bb30', 'filename': 'nadhira.pdf', 'fileid': 230329, 'mime_type': 'application/pdf'}], 'docid': 39341, 'main': 'nadhira.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39341', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 25545, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-11-16 15:07:31,2020-11-16 15:07:31,433,2020-11-05 00:00:00.000000000,disk0/00/02/55/45,"[{'name': {'given': 'Dewiantari', 'honourific': None, 'family': 'Nadhira', 'lineage': None}, 'id': '1nadhiradewiantari@gmail.com'}, {'name': {'given': 'Nusyirwan', 'lineage': None, 'honourific': None, 'family': 'Nusyirwan'}, 'id': 'nusyirwan.1966@fmipa.unila.ac.id'}]",['FKIP22'],conference_item,,,,,,,,,,,,,,
14,6,,show,,http://jurnal.fkip.unila.ac.id/index.php/jpp/index,Mathematical Literacy Abilities: Study on Elementary and Junior High School Students in Lampung Tengah Regency in Term of Gender,['L1'],"Abstract: Mathematical Literacy Abilities: Study on Elementary and Junior High School
Students in Lampung Tengah Regency in Term of Gender. Objectives: This study aimed to
describe the mathematical literacy abilities of elementary and junior high school students in Lampung
Tengah Regency in term of gender. Methods: The population of this quantitative research is all of
elementary school students in grade VI and junior high school students in grade IX in Lampung
Tengah regency in academic year 2019/2020. The samples were 431 elementary students and 614
junior high school students selected using cluster random sampling. Data were collected using a
mathematical literacy test and analyzed descriptively and using the Mann Whitney test. Findings:
Research’s result shows that i) both in elementary and junior high schools, female students have
higher mathematical literacy abilities than male students; and ii) the mean scores of students’
mathematical literacy both male and female less than 35. Conclusion: Both male and female students’
mathematical literacy in elementary and junior high school of Lampung Tengah regency is still in the
low category.",archive,2020-11-17 06:37:49,,published,,25793,public,http://repository.lppm.unila.ac.id/id/eprint/25793,TRUE,pub,,"[{'main': '20680-49654-2-PB (4).pdf', 'docid': 39581, 'files': [{'objectid': 39581, 'uri': 'http://repository.lppm.unila.ac.id/id/file/232069', 'datasetid': 'document', 'filesize': 1482718, 'fileid': 232069, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-17 06:30:17', 'hash': '1f3c4c0c79135ea2daddb140524b20e7', 'filename': '20680-49654-2-PB (4).pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39581', 'rev_number': 1, 'eprintid': 25793, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",2020-11-17 06:37:49,2020-11-17 06:37:49,1140,2020-08-17 00:00:00.000000000,disk0/00/02/57/93,"[{'id': 'kadaritna@yahoo.co.id', 'name': {'given': 'NK', 'lineage': None, 'family': 'Nina Kadaritna', 'honourific': None}}, {'id': 'undangros@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Undang Rosidin', 'given': 'UR'}}, {'name': {'honourific': None, 'family': 'Widyastuti', 'lineage': None, 'given': 'Widyastuti'}, 'id': 'widyaa58@gmail.com'}]",['FKIP22'],article,10.0,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/jpp/article/view/20680/pdf'}],2087-9849,Jurnal Pendidikan Progresif,FKIP Universitas Lampung,2.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",162-172,10.23960/jpp.v10.i2.202002,,,,,
15,7,conference,show,3 - 4 Oktober 2019,https://iopscience.iop.org/article/10.1088/1742-6596/1581/1/012057/meta,The analysis of mathematical communication skills in junior high school students,['LB1603'],"This study aims to determine the students' mathematical communication skills in the system of two-variable linear equations material. The subjects in this study were 8th grade students who were selected by purposive sampling technique. The method used in this research is descriptive. The data obtained from the students' mathematical communication skills test consisting of 2 essay items including 3 indicators of mathematical communication skills, namely, drawing (expressing ideas into the form of images, graphs or diagrams),written text (providing the mathematical explanations in the correct language), and mathematical expression (making mathematical expressions). The test was given to 30
students of 8th grade at SMP Muhammadiyah 3 Bandar Lampung. The data were analyzed quantitatively and qualitatively to get a comprehensive picture related to the students' mathematical communication skills. The results showed that the percentage of the achievement in each indicator of students was classified as low. This can be seen from the percentage of the achievement of the students' mathematical communication indicators interpreted as follows, namely 1) drawing at 22%, 2) written text at 55%, and 3) mathematical expression at 12%.",archive,2020-11-12 07:19:00,Universitas Negeri Yogyakarta,published,THE 3rd INTERNATIONAL SEMINAR ON INNOVATION IN MATHEMATICS AND MATHEMATICS EDUCATION (ISIMMED) 2019,25046,public,http://repository.lppm.unila.ac.id/id/eprint/25046,TRUE,pub,paper,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 25046, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38823', 'pos': 1, 'format': 'text', 'files': [{'fileid': 226790, 'mime_type': 'application/pdf', 'mtime': '2020-11-12 06:39:40', 'hash_type': 'MD5', 'filename': '2020_Scopus_Anggota2_org.pdf', 'hash': '46574fe98200b0ebd3923b07729179ec', 'datasetid': 'document', 'filesize': 1420966, 'objectid': 38823, 'uri': 'http://repository.lppm.unila.ac.id/id/file/226790'}], 'docid': 38823, 'main': '2020_Scopus_Anggota2_org.pdf'}]",2020-11-12 07:19:00,2020-11-12 07:19:00,864,2020-07-18 00:00:00.000000000,disk0/00/02/50/46,"[{'id': 'sintawidya.ningtias7@gmail.com', 'name': {'given': 'S W', 'lineage': None, 'honourific': None, 'family': 'Ningtias'}}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'given': 'Sugeng', 'lineage': None, 'family': 'Sutiarso', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Caswita', 'honourific': None, 'given': 'Caswita'}, 'id': 'mcaswita@gmail.com'}]",['FKIP22'],conference_item,,"[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1581/1/012057/meta', 'type': 'org'}]",,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'sintawidya.ningtias7@gmail.com', 'name': {'honourific': None, 'family': 'Ningtias', 'lineage': None, 'given': 'S W'}}, {'name': {'given': 'sugeng', 'family': 'sutiarso', 'honourific': None, 'lineage': None}, 'type': None, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'id': 'mcaswita@gmail.com', 'type': None, 'name': {'given': 'caswita', 'lineage': None, 'honourific': None, 'family': 'caswita'}}]",1-6,,,,,,
16,6,,show,,,Improving students’ reflective thinking skills and self-efficacy through scientific learning,['LB2300'],"Abstract. The learning process with scientific learning focuses on students' abilities in
observing, questioning, associating, experimenting, and communicating. This current study
aimed to determine the effectiveness of scientific learning in terms of Problem Based Learning
(PBL) and Guided Inquiry Learning (GIL) in improving students' reflective thinking skills and
self-efficacy. This research was an experimental study with the subject population of all eighthgrade students of junior high school in Bandar Lampung. The samples of the study were
students from two selected schools representing high-rank schools and middle-rank schools.
The sample was chosen by purposive random sampling technique. The research design is a
pretest-posttest control group design. The data were obtained through mathematical reflective
thinking skills test and self-efficacy scale. The data were analyzed quantitatively and
qualitatively to obtain a comprehensive description of the impact of learning on improve in
both skills. The results showed that (1) student’s mathematical reflective thinking skills in PBL
and student’s mathematical reflective thinking skills in GIL were higher than student's
mathematical reflective thinking skills in conventional learning, (2) student’s self-efficacy in
PBL and student’s self-efficacy in GIL were not different from student's self-efficacy in
conventional learning. Therefore, it can be concluded that scientific learning effective to
improve students' mathematical reflective thinking skills but it has not meaningful
contributions to improving students’ self-efficacy.",archive,2020-11-19 11:35:46,,published,,26292,public,http://repository.lppm.unila.ac.id/id/eprint/26292,TRUE,pub,,"[{'main': 'Noer_2020_J._Phys.__Conf._Ser._1581_012036.pdf', 'docid': 40179, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/236707', 'objectid': 40179, 'filesize': 977989, 'datasetid': 'document', 'filename': 'Noer_2020_J._Phys.__Conf._Ser._1581_012036.pdf', 'hash': '772f0243baf5c1e3a056b2eb18b71099', 'mtime': '2020-11-19 10:59:42', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 236707}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40179', 'rev_number': 1, 'eprintid': 26292, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-11-19 11:35:46,2020-11-19 11:35:46,548,2020-07-17 00:00:00.000000000,disk0/00/02/62/92,"[{'id': 'hastuti_noer@yahoo.com', 'name': {'given': 'Sri Hastuti', 'family': 'Noer', 'honourific': None, 'lineage': None}}, {'name': {'honourific': None, 'family': 'Gunowibowo', 'lineage': None, 'given': 'Pentatito'}, 'id': 'pentatito.gunowibowo@fkip.unila.ac.id'}, {'id': 'mellatriana@yahoo.com', 'name': {'family': 'Triana', 'honourific': None, 'lineage': None, 'given': 'Mella'}}]",['FKIP22'],article,,,,Journal of Physics: Conference Series,,,,,,,,,,
17,6,,show,,https://journal.uny.ac.id/index.php/pythagoras/article/view/33830/pdf,Efektivitas metode pembelajaran PQ4R ditinjau dari kemampuan berpikir reflektif matematis dan self-concept siswa,['L1'],"Penelitian  eksperimen  semu  ini  bertujuan  untuk  menguji  efektivitas  metode  pembelajaran PQ4R (Preview, Question, Read, Reflect, Recite, Review) ditinjau dari kemampuan berpikir reflek-tif  dan self-concept siswa.  Populasi penelitian  adalah seluruh  siswa kelas  VIII  SMP Negeri  12 Bandar Lampung tahun pelajaran 2019/2020 yang terdistribusi dalam sembilan kelas. Dari sem-bilan kelas tersebut dipilih satu kelas sebagai kelas eksperimen dan satu kelas sebagai kelas kon-trol. Desain penelitian yang digunakan adalahpretest-posttest control group design. Pengum-pulan data dilakukan menggunakan tes kemampuan berpikir reflektif matematis dan angket self-concept siswa. Data hasil tes dan angket dianalisis secara deskriptif dan inferensial. Hasil penelitian  menunjukkan  bahwa  persentase  siswa  pada  kelas PQ4R dengan  kemampuan berpikir reflektif matematis dan self-concept terkategori baik lebih dari 60% dari jumlah siswa, namun  peningkatan  kemampuan  berpikir  reflektif  matematis  dan self-concept siswa  yang mengikuti pembelajaran PQ4R tidak lebih tinggi daripada peningkatan siswa yang mengikuti pembelajaran  konvensional.  Dengan  demikian,  dapat  disimpulkan  bahwa  metode  pembe-lajaran PQ4R tidak efektif ditinjau dari kemampuan berpikir reflektif matematis dan self-concept siswa",archive,2021-05-30 15:26:12,,published,,31307,public,http://repository.lppm.unila.ac.id/id/eprint/31307,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 31307, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141461', 'main': 'document.pdf', 'docid': 141461, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/370959', 'objectid': 141461, 'filesize': 562655, 'datasetid': 'document', 'filename': 'document.pdf', 'hash': '3cb251c6f3ef72e90a9ac89a62fb4bbc', 'hash_type': 'MD5', 'mtime': '2021-05-29 13:27:07', 'mime_type': 'application/pdf', 'fileid': 370959}]}]",2021-05-30 15:26:12,2021-05-30 15:26:12,548,1970-01-01 00:00:00.000002020,disk0/00/03/13/07,"[{'id': 'permataintan100@yahoo.com', 'name': {'given': 'Intan', 'lineage': None, 'honourific': None, 'family': 'Permatasari'}}, {'name': {'given': 'Sri Hastuti', 'lineage': None, 'family': 'Noer', 'honourific': None}, 'id': 'hastuti_noer@yahoo.com'}, {'name': {'given': 'Pentatito', 'lineage': None, 'honourific': None, 'family': 'Gunowibowo'}, 'id': 'pentatito.gunowibowo@fkip.unila.ac.id'}]",['FKIP22'],article,15.0,,,PYTHAGORAS: Jurnal Pendidikan Matematika,,1.0,,61-72,,,,,,
18,8,,show,,https://doi.org/10.31004/cendekia.v4i2,"PENGEMBANGAN MODEL CREATIVE PROBLEM SOLVING (CPS)
UNTUK MENINGKATKAN KEMAMPUAN BERPIKIR REFLEKTIF
SISWA",['L1'],"This study aims to develop a Creative Problem Solving model in the form of model books and learning tools to
develop students' reflective thinking skills. The research used is a type of research development or R&D
(research and development). However, research is limited to the expert test stage, so this development stage
starts from preliminary studies, preparation of learning development, expert validation. The subjects of this
study were 2 teachers and 2 lecturers. This Research Instrument is a validation sheet for experts and
practitioners. The results of this study are (1) creative problem solving (CPS) model design, (2) learning devices
in the form of syllabus, Learning Implementation Plan (RPP) and Student Worksheet (LKPD) with the topic of
SPLTV operation class X SMA Negeri 15 Bandar Lampung odd semester. Validation results include: model
development design assessment score of 92.5% by model experts and 95% for material experts; Syllabus scores
of 98% for material experts 1 and 94% for material experts 2; RPP score of 97% for material experts 1 and 95%
for material experts 2; LKPD scores of 91.67% for material experts 1 and 94.44% for material experts 2; Media
score is 95% for media experts and 94% for material experts. The results of the validation of the experts showed
that the development of the Creative Problem Solving model and learning tools was feasible to use and
implemented after meeting valid and practical criteria. This can be seen from the results of the validator's
assessment score which has valid criteria and very practical categories. Based on the assessment of experts, then
theoretically the product development of Creative Problem Solving Model (CPS) can be used to improve the
reflective thinking of students.",archive,2021-06-03 06:39:47,,published,,31842,public,http://repository.lppm.unila.ac.id/id/eprint/31842,FALSE,pub,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144205', 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 377018, 'filename': '318-Ayu D.pdf', 'hash': 'e44300d41dab8fa248b36c8106e37881', 'mtime': '2021-06-03 05:20:32', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 356140, 'objectid': 144205, 'uri': 'http://repository.lppm.unila.ac.id/id/file/377018'}], 'docid': 144205, 'main': '318-Ayu D.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 31842}]",2021-06-03 06:39:47,2021-06-03 06:39:47,548,2020-11-02 00:00:00.000000000,disk0/00/03/18/42,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Sari', 'given': 'Ayu Devita'}}, {'id': 'hastuti_noer@yahoo.com', 'name': {'given': 'Sri Hastuti', 'family': 'Noer', 'honourific': None, 'lineage': None}}, {'id': 'asmiati,1976@fmipa.unila.ac.id', 'name': {'given': 'Asmiati', 'lineage': None, 'family': 'Asmiati', 'honourific': None}}]",['FKIP22'],article,4.0,,E-ISSN : 2579-9258  P-ISSN : 2614-3038,Jurnal Cendekia: Jurnal Pendidikan Matematika,Departement of Mathematics Education Faculty of Education University of Pahlawan Tuanku Tambusai,2.0,,1115-1128,,"['Program Pasca Sarjana Pendidikan Matematika, Universitas Lampung', 'Program Pasca Sarjana Pendidikan Matematika, Universitas Lampung', 'Program Pasca Sarjana Matematika, Universitas Lampung']",,,,
19,6,,show,,https://www.atlantis-press.com/proceedings/icope-19/125937585,The Analysis of Mathematical Critical Thinking Skills of Students in Junior High School,['L1'],"This study aims to analyze the students' critical thinking skills in triangular and quadrilateral material. This research is a descriptive study with a qualitative approach with the sample research involved 104 students, grade VII students of state junior high school 30 Bandar Lampung. The data collection technique used is a written test consisting of two essay questions. The results of this study indicate that indicators of critical mathematical thinking skills, students' critical thinking skills of mathematics, especially in the analysis, evaluation, and indicators of mathematical inference of students in SMP Negeri 30 Bandar Lampung are still relatively low. 

Keyword: mathematical critical thinking skills",archive,2020-06-08 01:24:07,,published,,22042,public,http://repository.lppm.unila.ac.id/id/eprint/22042,TRUE,pub,,"[{'eprintid': 22042, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 35445, 'main': 'Proceeding2019_Desi Ratna Sari.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/203232', 'objectid': 35445, 'hash': '7fcfe7bf3d0515e42b36db2779c3e641', 'filename': 'Proceeding2019_Desi Ratna Sari.pdf', 'mtime': '2020-06-06 09:46:57', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 203232, 'filesize': 402106, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35445'}]",2020-06-08 01:24:07,2020-06-08 01:24:07,55,2020-03-25 00:00:00.000000000,disk0/00/02/20/42,"[{'name': {'given': 'Desi Ratna', 'lineage': None, 'honourific': None, 'family': 'Sari'}, 'id': 'drsdesyratna@gmail.com'}, {'id': None, 'name': {'lineage': None, 'family': 'Caswita', 'honourific': None, 'given': 'Caswita'}}]",['FKIP22'],article,422.0,,2352-5398,"Advances in Social Science, Education and Humanities Research (ASSEHR)",Atlantis Press,,,123-126,,,,,,
