,ispublished,documents,publisher,full_text_status,uri,refereed,lastmod,userid,datestamp,publication,creators,issn,dir,type,divisions,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,official_url,id_number,corp_creators,related_url,pagerange,pres_type,event_title,date_type,event_location,event_dates,event_type,number,volume,book_title,contributors,contact_email,succeeds,isbn,editors,pages,place_of_pub
32,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163993', 'docid': 163993, 'main': 'EVALUASI FORMULASI.pdf', 'files': [{'objectid': 163993, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465404', 'datasetid': 'document', 'filesize': 437883, 'mime_type': 'application/pdf', 'fileid': 465404, 'hash': 'c796dfca952d5c674fa8676313425c14', 'filename': 'EVALUASI FORMULASI.pdf', 'mtime': '2022-06-10 03:56:58', 'hash_type': 'MD5'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 42287, 'placement': 1, 'security': 'public'}]",STISIPOL Dharma Wacana,public,http://repository.lppm.unila.ac.id/id/eprint/42287,,2022-06-10 06:28:14,141,2022-06-10 06:28:14,,"[{'id': 'susana.indriyati@fisip.unila.ac.id', 'name': {'given': 'Susana', 'lineage': None, 'honourific': None, 'family': 'Indriyati Caturiani'}}]",,disk0/00/04/22/87,other,['FISIP2'],EVALUASI FORMULASI KEBIJAKAN SMART VILLAGE PROVINSI LAMPUNG,7,show,archive,2022-06-10 06:28:14,['JA'],,42287,,,,,,,,,,,,,,,,,,,,,
33,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 42438, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164148', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filename': 'Economic Solidarity.pdf', 'hash': '31944137874dfe4848aee4cc38ff1ba7', 'hash_type': 'MD5', 'mtime': '2022-06-14 03:12:01', 'mime_type': 'application/pdf', 'fileid': 466475, 'filesize': 472160, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/466475', 'objectid': 164148}], 'main': 'Economic Solidarity.pdf', 'docid': 164148}]",Atlantis Press,public,http://repository.lppm.unila.ac.id/id/eprint/42438,,2022-06-14 04:23:29,141,2022-06-14 04:23:29,,"[{'name': {'given': 'Susana', 'family': 'Indriyati Caturiani', 'honourific': None, 'lineage': None}, 'id': 'susana.indriyati@fisip.unila.ac.id'}]",,disk0/00/04/24/38,other,['FISIP2'],Economic Solidarity Through Women Moslem Organization in response to Covid-19 Pandemic (A Case Muslimat NU Organization at Pringsewu Regency/Kabupaten Pringsewu),8,show,archive,2022-06-14 04:23:29,['H1'],,42438,,,,,,,,,,,,,,,,,,,,,
34,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163997', 'docid': 163997, 'main': 'KOORDINASI ANTAR ORGANISASI.pdf', 'files': [{'objectid': 163997, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465431', 'datasetid': 'document', 'filesize': 472322, 'mime_type': 'application/pdf', 'fileid': 465431, 'filename': 'KOORDINASI ANTAR ORGANISASI.pdf', 'hash': 'ec5d7b4c5cc50cf6c584ef0acd7b123b', 'hash_type': 'MD5', 'mtime': '2022-06-10 04:13:58'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42291, 'security': 'public', 'placement': 1}]",FISIP Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/42291,,2022-06-10 06:28:21,141,2022-06-10 06:28:21,,"[{'name': {'given': 'Susana', 'lineage': None, 'honourific': None, 'family': 'Indriyati Caturiani'}, 'id': 'susana.indriyati@fisip.unila.ac.id'}]",,disk0/00/04/22/91,other,['FISIP2'],KOORDINASI ANTAR ORGANISASI DALAM PENGELOLAAN PURNA TENAGA KERJA INDONESIA (TKI) DI KABUPATEN LAMPUNG TIMUR PROVINSI LAMPUNG.,7,show,archive,2022-06-10 06:28:21,['H1'],,42291,,,,,,,,,,,,,,,,,,,,,
35,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/465411', 'objectid': 163994, 'filename': 'LOCAL GOVERNMENT.pdf', 'hash': 'd2670b439e89d55fad2ca2c0acbe42b5', 'hash_type': 'MD5', 'mtime': '2022-06-10 04:02:54', 'mime_type': 'application/pdf', 'fileid': 465411, 'filesize': 444196, 'datasetid': 'document'}], 'main': 'LOCAL GOVERNMENT.pdf', 'docid': 163994, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163994', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 42288, 'mime_type': 'application/pdf', 'language': 'en'}]",STISIPOL Raja Haji Tanjung Pinang Kepulauan Riau,public,http://repository.lppm.unila.ac.id/id/eprint/42288,,2022-06-10 06:28:16,141,2022-06-10 06:28:16,,"[{'id': 'susana.indriyati@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Indriyati Caturiani', 'lineage': None, 'given': 'Susana'}}]",,disk0/00/04/22/88,other,['FISIP2'],LOCAL GOVERNMENT IN MIGRANT WORKER GOVERNANCE,7,show,archive,2022-06-10 06:28:16,['H1'],,42288,,,,,,,,,,,,,,,,,,,,,
36,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164149', 'main': 'Migrant Worker.pdf', 'docid': 164149, 'files': [{'objectid': 164149, 'uri': 'http://repository.lppm.unila.ac.id/id/file/466484', 'datasetid': 'document', 'filesize': 471432, 'fileid': 466484, 'mime_type': 'application/pdf', 'mtime': '2022-06-14 03:20:34', 'hash_type': 'MD5', 'filename': 'Migrant Worker.pdf', 'hash': 'c0c51789442a67fb5ada398b30d3e201'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42439, 'security': 'public', 'placement': 1}]",STISIPOL RAJA HAJI TANJUNGPINANG,public,http://repository.lppm.unila.ac.id/id/eprint/42439,,2022-06-14 04:23:31,141,2022-06-14 04:23:31,,"[{'name': {'given': 'Susana', 'lineage': None, 'family': 'Indriyati Caturiani', 'honourific': None}, 'id': 'susana.indriyati@fisip.unila.ac.id'}]",,disk0/00/04/24/39,other,['FISIP2'],"Migrant Worker Governance in Developing Countries (Case Study on Governance of Migrant Worker in West Java, Indonesia)",7,show,archive,2022-06-14 04:23:31,['H1'],,42439,,,,,,,,,,,,,,,,,,,,,
37,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 42290, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163996', 'format': 'text', 'pos': 1, 'files': [{'filesize': 470909, 'datasetid': 'document', 'filename': 'PENATAAN KAWASAN.pdf', 'hash': '19a0588c57956aad52eb198a0575d14d', 'mtime': '2022-06-10 04:10:07', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 465424, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465424', 'objectid': 163996}], 'main': 'PENATAAN KAWASAN.pdf', 'docid': 163996}]",Jurusan Ilmu Administrasi Negara FISIP Unila,public,http://repository.lppm.unila.ac.id/id/eprint/42290,,2022-06-10 06:28:23,141,2022-06-10 06:28:23,,"[{'id': 'susana.indriyati@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Indriyati Caturiani', 'given': 'Susana'}}]",,disk0/00/04/22/90,other,['FISIP2'],PENATAAN KAWASAN KONSERVASI DI DAERAH PERKOTAAN (Studi Kasus di Bukit Camang Kota Bandar Lampung),7,show,archive,2022-06-10 06:28:23,['H1'],,42290,,,,,,,,,,,,,,,,,,,,,
38,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 42292, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163998', 'main': 'PEMETAAN PERMASALAHAN.pdf', 'docid': 163998, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/465438', 'objectid': 163998, 'filesize': 478163, 'datasetid': 'document', 'hash': 'd089617930b98560794c629c35e4d9ef', 'filename': 'PEMETAAN PERMASALAHAN.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-10 04:17:24', 'mime_type': 'application/pdf', 'fileid': 465438}]}]",FISIP Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/42292,,2022-06-10 06:28:24,141,2022-06-10 06:28:24,,"[{'name': {'given': 'Susana', 'lineage': None, 'honourific': None, 'family': 'Indriyati Caturiani'}, 'id': 'susana.indriyati@fisip.unila.ac.id'}]",,disk0/00/04/22/92,other,['FISIP2'],"Pemetaan Permasalahan Tenaga Kerja Indonesia (TKI) Asal Kabupaten Pringsewu, Provinsi Lampung (Studi di Pekon Pujodadi, Kecamatan Pardasuka)",7,show,archive,2022-06-10 06:28:24,['H1'],,42292,,,,,,,,,,,,,,,,,,,,,
39,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164146', 'docid': 164146, 'main': 'Social capital.pdf', 'files': [{'hash': 'f2f1e13f9e6fd0379bb7bc61fe15cc40', 'filename': 'Social capital.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-14 03:10:23', 'mime_type': 'application/pdf', 'fileid': 466466, 'filesize': 411542, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/466466', 'objectid': 164146}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42437, 'placement': 1, 'security': 'public'}]",Atlantis Press,public,http://repository.lppm.unila.ac.id/id/eprint/42437,,2022-06-14 04:23:27,141,2022-06-14 04:23:27,,"[{'name': {'given': 'Susana', 'honourific': None, 'family': 'Indriyati Caturiani', 'lineage': None}, 'id': 'susana.indriyati@fisip.unila.ac.id'}]",,disk0/00/04/24/37,other,['FISIP2'],Social Capital Mapping of Indonesia Return Migrant Workers as Development Resource in Lampung Timur Regency,7,show,archive,2022-06-14 04:23:27,['H1'],,42437,,,,,,,,,,,,,,,,,,,,,
40,pub,"[{'main': 'Inovasi Pelayanan Dinas Perpustakaan dan Kearsipan Kota Metro Melalui Program E-Book dalam Upaya Menumbuhkembangkan Minat Baca Remaja.pdf', 'docid': 141678, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/371457', 'objectid': 141678, 'mtime': '2021-05-30 04:55:04', 'hash_type': 'MD5', 'hash': '90baa43e1d3e7565c8c5aa164cf022d5', 'filename': 'Inovasi Pelayanan Dinas Perpustakaan dan Kearsipan Kota Metro Melalui Program E-Book dalam Upaya Menumbuhkembangkan Minat Baca Remaja.pdf', 'fileid': 371457, 'mime_type': 'application/pdf', 'filesize': 627448, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141678', 'eprintid': 31356, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Jurusan Administrasi Negara,public,http://repository.lppm.unila.ac.id/id/eprint/31356,TRUE,2021-05-30 15:30:36,63,2021-05-30 15:30:36,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik","[{'name': {'given': 'Made', 'honourific': None, 'family': 'Jaya Muna', 'lineage': None}, 'id': None}, {'id': 'intan.fitri@fisip.unila.ac.id', 'name': {'given': 'Intan Fitri', 'honourific': None, 'family': 'Meutia', 'lineage': None}}, {'id': 'devi.yulianti@fisip.unila.ac.id', 'name': {'given': 'Devi', 'family': 'Yulianti', 'honourific': None, 'lineage': None}}]",2714-7673,disk0/00/03/13/56,article,['FISIP2'],"INOVASI PELAYANAN DINAS PERPUSTAKAAN DAN KEARSIPAN KOTA
METRO MELALUI PROGRAM EBOOK DALAM UPAYA MENUMBUHKAN MINAT
BACA REMAJA",6,show,archive,2021-05-30 15:30:36,['H1'],"Minat baca di Indonesia masih tergolong rendah dikarenakan jumlah buku yang beredar tidak merata dan
sebagian besar buku beredar hanya di kota-kota besar. Untuk mengatasi hal tersebut, Dinas Perpustakaan dan
Kearsipan Daerah Kota Metro sesuai dengan visi dan misinya dalam memanfaatkan teknologi informasi, yaitu
dengan menciptakan inovasi baru sebagai langkah yang membuat perpustakaan menarik, salah satunya yakni
melalui program ebook. Program ini merupakan suatu inovasi pelayanan yang diberikan oleh Dinas Perpustakaan
dan Kearsipan Daerah Kota Metro yaitu perpustakaan berbasis aplikasi digital yang dapat memberikan
kemudahan dalam mencari sekaligus membaca buku datang ke perpustakaan. Penelitian ini berupaya untuk
mengetahui penerapan inovasi pelayanan Dinas Perpustakaan dan Kearsipan Kota Metro melalui program ebook
serta faktor pendukung dan penghambat dalam penerapan inovasi program ebook di Dinas Perpustakaan dan
Kearsipan Kota Metro. Penelitian ini adalah penelitian deskriptif dengan pendekatan kualitatif. Hasil penelitian ini
menunjukan bahwa Inovasi Program ebook yang dilakukan oleh Dinas Perpustakaan Dan Kearsipan Kota Metro
sudah cukup baik dalam penerapannya, hal ini terlihat dari terpenuhinya empat dari enam indikator tipologi
inovasi yaitu : pelayanan baru atau pelayanan yang diperbaiki, inovasi administratif, inovasi sistem dan perubahan
radikal. Beberapa hal yang menjadi perhatian adalah inovasi yang dilakukan masih menunjukan kelemahan secara
konseptual karena Dinas Perpustakaan Dan Kearsipan Kota Metro masih mengusung perpustakaan dengan Tipe B
serta secara proses pembuatan sistem aplikasi membutuhkan waktu yang lama serta pemeliharaan sistem aplikasi
yang harus dilakukan secara berkala oleh sumber daya manusia yang kompeten dibidangnya",31356,,,,,,,,,,,,,,,,,,,,,
41,inpress,"[{'eprintid': 10514, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 23529, 'main': 'Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru.pdf', 'files': [{'mtime': '2019-01-03 04:20:00', 'hash_type': 'MD5', 'filename': 'Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru.pdf', 'hash': '8084172145b20c40d0fc3b66b01d3e02', 'fileid': 97573, 'mime_type': 'application/pdf', 'filesize': 1837081, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/97573', 'objectid': 23529}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23529', 'rev_number': 1}]",AURA Publisher,public,http://repository.lppm.unila.ac.id/id/eprint/10514,TRUE,2019-01-29 04:46:26,508,2019-01-29 04:46:26,,"[{'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'given': 'dian', 'honourific': None, 'family': 'Kagungan', 'lineage': None}}]",,disk0/00/01/05/14,book_section,['FISIP2'],Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru,10,show,archive,2019-01-29 04:46:26,['H1'],"Daerah Otonom Baru harus memiliki strategi inovasi yang terarah dan simultan (Innovative Government) dalam rangka percepatan pembangunan daerah termasuk tatakelola pemerintahan yang baik, peningkatan partisipasi publik dan pemberdayaan masyarakat lokal dalam kegiatan pembangunan, termasuk pembangunan kepariwisataan. Kebijakan pengembangan pariwisata di daerah otonom baru ini meliputi kajian tentang kebijakan pengembangan pariwisata di Kabupaten Pesawaran. Penatakelolaan kawasan wisata Kabupaten Pesawaran jelas akan memberikan dampak ekonomi bagi  masyarakat khususnya, dan pembangunan pariwisata Lampung secara umum sekaligus menstimulan pembangunan infrastruktur di kawasan tersebut. Berdasarkan catatan Dinas Pariwisata dan Ekonomi Kreatif,  jumlah wisatawan yang datang ke Provinsi Lampung tahun  2015  adalah 4 juta wisatawan lokal dan 95 ribu wisatawan mancanegara. Data yang diperoleh dari Dinas Pariwisata dan Ekonomi Kreatif Propinsi Lampung, dan berdasarkan hasil kajian Tim (2016), saat ini terdapat 6 (enam) permasalahan besar yang membayangi penataan kawasan wisata  pesisir di beberapa wilayah di Propinsi Lampung, tidak terkecuali kawasan wisata pesisir Kabupaten Pesawaran sebagai daerah otonom baru. Ke-6 (enam) permasalahan tersebut adalah sebagai berikut:
(1).perbaikan infrastruktur menuju lokasi wisata dan sarana prasarana yang masih minim (2).kemiskinan struktural pada  mayoritas penduduk disepanjang kawasan pesisir (3).pola pembangunan kawasan pesisir tidak terencana hal ini dibuktikan dengan adanya sejumlah reklamasi pantai yang mengabaikan kontur asli lengkungan Teluk Lampung, selain merusak hal ini berimbas abrasi dan sedimentasi (4).belum terantisipasinya bahaya laten seperti mitigasi bencana (seluruh kawasan pesisir Indonesia rentan terhadap bahaya tsunami)  (5).penatakelolaaan wisata desa-desa pesisir di Propinsi Lampung belum sepenuhnya melibatkan masyarakat lokal (6).persoalan pariwisata di Propinsi Lampung masih berjalan sendiri-sendiri (7).belum terbentuknya zona-zona yang akan dijadikan obyek wisata serta penatakelolaan wisata desa pesisir harus mematangkan pola studi penataan kawasan pesisir yang diharapkan dapat berperan sebagai pusat pertumbuhan ekonomi menuju ecocity, yang dikenal dengan istilah Integrated Coastal Zone Management  
	Tujuan penulisan buku referensi ini adalah memberikan kontribusi mendasar bagi pengembangan ilmu kebijakan publik terutama yang menyangkut kebijakan penatakelolaan wisata desa pesisir Kabupaten Pesawaran, Propinsi Lampung dalam arti penatakalolaan tersebut berpihak pada masyarakat lokal (melibatkan masyarakat lokal ) dan  memberikan manfaat ekonomi bagi masyarakat dengan demikian diharapkan kesejahteraan masyarakat akan semakin meningkat. Buku referensi ini dapat pula dipergunakan oleh mahasiswa dalam matakuliah Administrasi Pembangunan, dengan demikian khasanah ilmu pengetahuan mahasiswa diharapkan semakin meningkat.
Pemerintah Kabupaten Pesawaran berkomitmen menjadikan pariwisata sebagai salah satu sektor penggerak pembangunan, olehkarena Kabupaten Pesawaran  memiliki berbagai  kawasan wisata unggulan baik berbasis alam maupun budaya. Salah satu upaya konkrit Pemerintah Kabupaten Pesawaran adalah dengan mengalokasikan anggaran untuk penyusunan Panduan Pengembangan Pariwisata  Kabupaten Pesawaran (Rencana Induk Pengembangan Pariwisata Daerah/Ripda). Rencana Induk Pengembangan Pariwisata Daerah (Ripda) adalah dokumen perencanaan dalam pengembangan/pembangunan kepariwisataan di Kabupaten Pesawaran. 
	Data lainnya dari Kepala Kecamatan Teluk Pandan, bahwa selain melakukan kunjungan kerja dan kunjungan belajar tentang pengelolaan Badan Usaha Milik Desa (Bumdes), para Kepala Desa di Kabupaten Pesawaran tersebut juga melakukan studi banding ke beberapa obyek wisata yang berada di Yogyakarta dan Jawa Tengah, mengingat potensi yang terdapat di Kecamatan TelukPandan dan Kecamatan Padang Cermin kaya akan potensi pariwisata diharapkan para pimpinan Desa tersebut dapat menyerap ilmu dalam upaya pengembangan potensi pariwisata di desanya masing-masing.
	Berkenaan dengan kebijakan pengembangan pariwisata di Kabupaten Pesawaran, Pemerintah kabupaten Pesawaran mempersiapkan Rencana Induk Pengembangan Pariwisata Daerah (RIPDA) Kabupaten Pesawaran memuat konsep rencana pengembangan destinasi wisata industri, pemasaran dan sumber daya manusia kelembagaan Pariwisata Kabupaten Peswaran selama 15 tahun ke depan. Tujuan disusunnya Ripda Kabupaten Pesawaran adalah agar pengembangan pariwisata Kabupaten Pesawaran dapat terarah, komperehensif dan manjaga kelestarian alam dan lingkungan hidup. 
 Pada kesempatan ini penulis mengucapkan terimakasih kepada Kementerian Riset Teknologi dan Pendidikan Tinggi Republik Indonesia, Rektor Universitas Lampung, Ketua LPPM, Dekan Fisip Universitas Lampung beserta jajaran, ke dua orang tuaku, rekan rekan dosen dan semua pihak yang tidak dapat penulis sebutkan satu persatu. Kritik dan saran dari khalayak sangat penulis harapkan mengingat penulis masih dalam tahap belajar demi perbaikan tulisan ini ke depan.
Terimakasih",10514,,,,,,,,,,,,,,Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru,,,,,,,
42,pub,"[{'eprintid': 44800, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'selayang pandang.pdf', 'docid': 166690, 'files': [{'objectid': 166690, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483653', 'datasetid': 'document', 'filesize': 4032285, 'mime_type': 'application/pdf', 'fileid': 483653, 'hash': 'cb35e0cb4496e453996d602a4e68e604', 'filename': 'selayang pandang.pdf', 'mtime': '2022-09-06 02:05:09', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166690'}]",GRAHA ILMU YOGYAKARTA,public,http://repository.lppm.unila.ac.id/id/eprint/44800,,2022-09-06 06:20:55,508,2022-09-06 06:20:55,,"[{'name': {'given': 'dian', 'honourific': None, 'family': 'Kagungan', 'lineage': None}, 'id': 'dian.kagungan@fisip.unila.ac.id'}]",,disk0/00/04/48/00,other,['FISIP2'],"SELAYANG PANDANG LAMPUNG BARAT ""KAMPOENG KOPI"" : SINERGITAS PENGEMBANGAN POTENSI PARIWISATA KAMPOENG KOPI BUMI BEGUAY JEJAMA",7,show,archive,2022-09-06 06:20:55,['H1'],,44800,,,,,,,,,,,,,,,,,,,,,
43,pub,"[{'main': 'STRATEGI PENGEMBANGAN PARIWISATA.pdf', 'docid': 138580, 'files': [{'mime_type': 'application/pdf', 'fileid': 364482, 'filename': 'STRATEGI PENGEMBANGAN PARIWISATA.pdf', 'hash': 'ef6c7215a69f67a131caf11d8e4799de', 'mtime': '2021-05-25 04:21:34', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 604310, 'objectid': 138580, 'uri': 'http://repository.lppm.unila.ac.id/id/file/364482'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/138580', 'eprintid': 30732, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Jurusan Administrasi Negara,public,http://repository.lppm.unila.ac.id/id/eprint/30732,TRUE,2021-05-27 02:29:52,508,2021-05-27 02:29:52,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik","[{'name': {'given': 'dian', 'family': 'Kagungan', 'honourific': None, 'lineage': None}, 'id': 'dian.kagungan@fisip.unila.ac.id'}]",2714-7673,disk0/00/03/07/32,article,['FISIP2'],"STRATEGI PENGEMBANGAN PARIWISATA PASCA BENCANA TSUNAMI DI
KABUPATEN LAMPUNG SELATAN",6,show,archive,2021-05-27 02:29:52,['H1'],"Lampung merupakan salah satu provinsi yang memiliki potensi wisata yang cukup besar dimana setiap daerah
memiliki potensi pariwisata dengan daya tariknya tersendiri salah satunya di Kabupaten Lampung Selatan.
Namun, Bencana Tsunami yang melanda wilayah pesisir Banten dan Lampung Selatan pada tanggal 22 desemeber
2018, berdampak pada penurunannya jumlah kunjungan wisatawan nusantara dan mancanegara ke destinasi
wisata pada akhir Tahun 2018. Berdasarkan permasalahan yang diangkat di atas, maka tujuan penelitian ini
adalah untuk mendeskripsikan dan menganalisis strategi yang dilakukan Dinas Pariwisata dan Kebudayaan
Kabupaten Lampung Selatan dalam upaya pengembangan sektor pariwisata di Kabupaten Lampung Selatan pasca
Bencana Tsunami. Berdasarkan hasil penelitian diketahui bahwa Dinas Pariwisata dan Kebudayaan Kabupaten
Lampung Selatan mempunyai strategi untuk mengembangkan potensi pariwisata di Kabupaten Lampung Selatan.
Dalam menentukan sebuah strategi pengembangan pariwisata di Kabupaten Lampung Selatan Pasca Bencana
Tsunami memperhatikan empat faktor dasar. Keempat faktor tersebut ialah Kekuatan, kelemahan, peluang dan
ancaman dengan beberapa sektor yang terlibat dalam proses pengembangan pariwisata tersebut. Kesimpulan
penelitian ini berdasarkan anilisis SWOT yang menghasilkan empat strategi yakni strategi SO, Strategi WO,
Strategi ST, dan Strategi WT.",30732,,,,,,,,,,,,,,,,,,,,,
44,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 44005, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166005', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 1912952, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-08-13 08:17:13', 'filename': 'artikel scopus (1) similarity check.pdf', 'hash': 'b1e348b2887d4aa4e7ee3321969ca253', 'fileid': 478758, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/478758', 'objectid': 166005}], 'docid': 166005, 'main': 'artikel scopus (1) similarity check.pdf'}]",abacademies.org,public,http://repository.lppm.unila.ac.id/id/eprint/44005,,2022-08-15 01:33:35,508,2022-08-15 01:33:35,,"[{'name': {'family': 'Kagungan', 'honourific': None, 'lineage': None, 'given': 'dian'}, 'id': 'dian.kagungan@fisip.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Karomani', 'given': 'Karomani'}, 'id': 'karomani@kpa.unila.ac.id'}, {'id': 'yulia.neta@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Yulianeta', 'honourific': None, 'given': 'Yulianeta'}}, {'name': {'family': 'Zainal', 'honourific': None, 'lineage': None, 'given': 'Anna Gustina'}, 'id': 'annarudi76@gmail.com'}, {'name': {'given': 'Intan Fitri', 'family': 'Meutia', 'honourific': None, 'lineage': None}, 'id': 'intan.fitri@fisip.unila.ac.id'}, {'name': {'family': 'Yulianti', 'honourific': None, 'lineage': None, 'given': 'Devi'}, 'id': 'devi.yulianti@fisip.unila.ac.id'}]",,disk0/00/04/40/05,other,['FISIP2'],PROSPECTIVE STUDY OF THE TOURISM INDUSTRY STRATEGY IN THE NEW NORMAL ERA,8,show,archive,2022-08-15 01:33:35,['H1'],"Tourism is one of the most threatened sectors due to the Corona Virus pandemic. Concerning the Covid-19 pandemic, the Lampung Provincial Government needs to address the threatening factors to formulate a policy strategy for rebuilding the tourism industry in the new normal era. The location of this research is Lampung Provincial Government, Tanggamus Government, and Pesawaran district government. The method used is qualitative descriptive obtained through interviews and FGD, with a quantitative data approach. This study’s results indicate the tourism industry development strategy in Pesawaran Regency and Tanggamus Regency consisting of four components: attraction, accessibility, amenities, and additional services (ancillary). The long-term objective of this research: to produce a model of tourism industry development policy based on local wisdom through synergistic cooperation between Lampung Provincial, Tanggamus Regency, and Pesawaran Regency Government. The Lampung government has not issued strategic policy in the tourism sector affected by Covid-19. However, the Department of Tourism and Economic Creative Lampung Province must prepare a scenario to accelerate their cover of the tourism industry based on a SWOT analysis as research advice. The scenarios include local tourists’ local wisdom; prepare environmentally, health, and safety insight; increase capacity, knowledge, and public awareness. The Lampung government this not issued a strategic policy in the tourism sector affected by Covid-19",44005,,,,,,,,,,,,,,,,,,,,,
