,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,ispublished,publisher,documents,full_text_status,uri,lastmod,userid,datestamp,creators,dir,type,divisions,refereed,issn,publication,corp_creators,pres_type,event_location,event_title,event_dates,event_type,number,pagerange,date_type,volume,official_url,id_number,succeeds,related_url,contributors,referencetext,keywords,place_of_pub,funders,projects
81,MOLECULAR PHYLOGENY OF MYCORRHIZAL RHIZOCTONIA ISOLATED FROM WILD TROPICAL ORCHIDS IN INDONESIA,10,show,2018-06-29 06:38:09,archive,"['QK', 'S1']","Rhizoctonia sp. has an important role as a biocontrol agent.
Its association with Phalaenopsis amabilis was molecularly identified
through rDNA-ITS sequence analysis, conducted as one of wild orchid
conservation efforts in Indonesia. A group of Rhizoctonia sp. were
isolated from the root of orchid plant in Yogyakarta. Verification
analysis of these isolates resulted in 600-750 bp DNA products located on
the ITS1-5.8S-ITS4 region. The sequenced products showed insertion and
substitution occurances, which may result in strain diversity and
possible variation in severity. Reconstruction of phylogenetic trees
using Maximum Parsimony and Bootstrap-1000 approach showed that
Indonesian isolates have undergone speciation and have been positioned in
the cluster, which are already far apart from the other isolates. Results
of this study were expected to become the basic information in an effort
of wild orchid cultivation and protection against infectious diseases in
Indonesia. The study was the first to report regarding Rhizoctonia sp.
isolated from wild tropical orchids in Indonesia.",8257,submitted,Elsevier,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/21306', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/81940', 'objectid': 21306, 'filesize': 896037, 'datasetid': 'document', 'mtime': '2018-06-29 03:59:03', 'hash_type': 'MD5', 'hash': '50eaf5239dd1ff64dca17710b9f47392', 'filename': 'Mahfut (1) Fungal Ecology_Manuscript.pdf', 'fileid': 81940, 'mime_type': 'application/pdf'}], 'main': 'Mahfut (1) Fungal Ecology_Manuscript.pdf', 'docid': 21306, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 8257}]",public,http://repository.lppm.unila.ac.id/id/eprint/8257,2018-06-29 06:38:09,1126,2018-06-29 06:38:09,"[{'name': {'honourific': None, 'family': 'Mahfut', 'lineage': None, 'given': '-'}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}, {'id': 'bs_daryono@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Daryono', 'given': 'Budi Setiadi'}}, {'name': {'honourific': None, 'family': 'Indrianto', 'lineage': None, 'given': 'Ari'}, 'id': None}, {'id': 'soesamto@faperta.ugm.ac.id', 'name': {'given': 'Susamto', 'family': 'Somowiyarjo', 'honourific': None, 'lineage': None}}]",disk0/00/00/82/57,article,['FMIPA2'],TRUE,,Fungal Ecology,,,,,,,,,submitted,,https://www.journals.elsevier.com/fungal-ecology,,,,,"Andersen, T.F. and Rasmussen, H.N. 1996. The Mycorrhizal spesies of Rhizoctonia, in: Sneh, B., 
Jabaji-Hare, S., Neate, S. and Dijst, G (Eds.), Rhizoctonia Spesies: Taxonomy, Molecular 
Biology, Ecology, Pathology and Disease Control. KAP, London, pp. 379-390. 
Bayer, R.J., Soltis, D.E., and Soltis, P.S. 1996. Phylogenetic Inferences  in Antennaria (Asteraceae:   
Gnaphalieae: Cassiniinae) Based on Sequences From Nuclear Ribosomal DNA Internal 
Transcribed Spacers (ITS). American Journal of Botany.  83(4): 516-527. 
Kumalawati AD., Abdullah S., Setiadi B.S., and Mahfut. 2011. Study on Genetic Diversity and 
Convervation of Orchids in Wonosadi Forest, Gunung Kidul Based on Molecular Analysis, 
in: Purwestri, Y.A. (Ed.), Proceeding International Conference on Biological Science: 
Advances in Biological Science. Fakultas Biologi UGM, Yogyakarta, pp: 72-79. 
Currah, R.S. and Zelmer, C.D. 1992. A key and notes for the gen genera of fungi mycorrhizal with 
orchids, and a new species in the genus Epulorhiza. Rep Tottori Mycol Inst. 30: 43–59. 
Doyle, J.J. and Doyle, J.L. 1987. A rapid DNA isolation procedure for small quantities of fresh leaf 
tissue. Phytochem Bull. 19:11–15. 
Harish, S., Kavino, M., Kumar, N., Saravanakumar, D., Soorianathasundaram, K., & Samiyappan, R. 
(2008). Biohardening with Plant Growth Promoting Rhizosphere and Endophytic Bacteria 
Induces Systemic Resistance Against Banana Bunchy Top Virus. Applied Soil Ecology. 39: 
187-200. 
IUCN 2013. IUCN Red List of Threatened Species. Version 2013.2. <www.iucnredlist.org>. Acces 
date: May 5
th
, 2014.
Johanis, P., Djunaedi, G., Harry, W., Rusdy, E.N., and Irawati. 2011. Tanaman Langka Indonesia. 
Puslitbang Biologi-LIPI, Bogor. 
Johansson, K.E., Heldtander, M.U., and Pettersson, B. 1998. Characterization of mycoplasmas by PCR 
and sequence analysis with universal 16S rDNAprimers. Methods in Molecular Biology. 104:  
145–165. 
Lakani, I. 2011. Identification and Characterization of Some Viruses that infect Orchid Plant in Java. 
Dissertation. Bogor Agricultural Institute. pp: 44-82. 
Lee, M.C., Cheng, S.F., Chang, D.C. N., Chang, Y.J., and Chang, Y.S. 2010. Specific detection of 
mycorrhizal colonization in orchid roots by fluorescence microscopy. Special Abstracts: 
Journal of Biotechnology. 150S: 496. 
Moreno, J.A.E., Acuña, E.A.G., Román, A.E.B., Contreras, D.J. and  López, T.J. 2000. Chemical and 
Biological Fertilization of Phalaenopsis (Orchidaceae) under Greenhouse Conditions. Terra 
Latinoamericana. 18(2): 125-131. 
Nadarajah, K., Omar, N.S., Rosli, M.M., and Tze, O.S. 2014. Molecular Characterization and 
Screening for Sheath Blight Resistance Using Malaysian Isolates of Rhizoctonia solani. 
BioMed. Research International. 2014:1-18. 
Otero, J.T., Mosquera, A.T., and Flanagan, N.S. 2013. Tropical Orchid Mycorrhizae: Potential 
Applications in Orchid Conservation, Commercialization, and Beyond. Lankesteriana. 13(1–
2): 57—63. 
Pannecoucque, J., Van, B.S., and Hofte, M. 2008. Characterization and pathogenicity of Rhizoctonia 
isolates associated with cauliflower in Belgium. Plant Pathology. 57: 737-746. 
Sarwono, B. 2002. Mengenal & Membuat Anggrek Hibrida. AgroMedia Pustaka. Jakarta. 
Sharon, M., S. Kuninaga, M. Hyakumachi, S. Naito, and B. Sneh. 2008. Classification of Rhizoctonia 
spp. using rDNA-ITS sequence analysis supports the genetic basis of the classical 
anastomosis grouping. Mycoscience. 49(2): 93–114. 
Sneh, B., L. Burpee, and A. Ogoshi. 1991. Identification of Rhizoctonia Species, APS Press, St. Paul, 
Minnesota. 
Shan, X.C., Liew, E.C.Y., Weatherhead, M.A., and Hodgkiss, I.J. 2002. Characterization and 
taxonomic placement of Rhizoctonia-like endophytes from orchid roots. Mycologia. 94(2):  
230–239.
Somowiyarjo, S., Hartono S., Sulandari, S., Putri, S.U. 2016. Identifikasi Molekuler Tobacco mosaic virus , 
pada Anggrek di Sleman, Yogyakarta. Jurnal Fitopatologi Indonesia. 12 (2): 69–73. 
Suryantini, R., Wulandari, R.S., Kasiamdari, R.S. 2015. Orchid Mycorrhizae Fungi: Identification of 
Rhizoctonia in West Kalimantan. Microbiology Indonesia. 9 (4): 159-167
Tanawy, E. A. 2009. Acquanting with Salt Tolerant Endophytic Bacteria Isolated from Rice. Plant
Grown. 1(2): 72-79. 
Tong, T.G. 2014. Research Focus:  Beneficial endophytes in plants. 
http://abrc.sinica.edu.tw/2010E/view2/faculty_E1_Print.php?id=cgtong. Acces date: Januari
31
st
, 2014.",Rhizoctonia sp.; rDNA-ITS; Phalaenopsis sp.; Orchid Mycorrhizal Fungi.,,,
82,Peer Review Analisis Kadar Klorofil Pada Buncis (Phaseolus Vulgaris L.) Terinduksi Indole Acetic Acid (IAA) Secara In Vitro,7,show,2022-09-05 01:28:28,archive,['QK'],,44733,pub,"Jurusan Kimia, Fakultas MIPA, Universitas Lampung","[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166608', 'rev_number': 1, 'docid': 166608, 'main': '21.pdf', 'files': [{'filesize': 506611, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-09-04 13:27:10', 'filename': '21.pdf', 'hash': 'f6482d310504a29e850f7b71e6b8bc0c', 'fileid': 483046, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/483046', 'objectid': 166608}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44733, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44733,2022-09-05 01:28:28,1126,2022-09-05 01:28:28,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Mahfut', 'given': 'Mahfut'}}]",disk0/00/04/47/33,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
83,"Peer Review Analisis Klorofil Dan Pertumbuhan Eksplan Kacang Kedelai 
                                      (Glycine max (L.) Merr.) Kultivar Anjasmoro Secara In Vitro Dengan Pemberian Air Kelapa (Cocos nucifera L.)",7,show,2022-09-05 01:28:34,archive,['QK'],,44735,pub,"Jurusan Kimia, Fakultas MIPA, Universitas Lampung","[{'docid': 166610, 'main': '23.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 483060, 'filename': '23.pdf', 'hash': '1e7504514068cb34b399702d7d03274c', 'mtime': '2022-09-04 13:32:51', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 507917, 'objectid': 166610, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483060'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166610', 'rev_number': 1, 'eprintid': 44735, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44735,2022-09-05 01:28:34,1126,2022-09-05 01:28:34,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Mahfut', 'honourific': None, 'given': 'Mahfut'}}]",disk0/00/04/47/35,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
84,Peer Review Analysis Of Organoleptic And Coliform Value In Fresh Mackerel (Rastrelliger Sp.) Fish In TPI Sorong City,7,show,2022-09-05 01:28:42,archive,['QK'],,44738,pub,IOP Publishing Ltd.,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166613', 'main': '26.pdf', 'docid': 166613, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/483081', 'objectid': 166613, 'filesize': 572295, 'datasetid': 'document', 'filename': '26.pdf', 'hash': 'ad17855ce449084faeb4086a6c0447f5', 'hash_type': 'MD5', 'mtime': '2022-09-04 13:41:14', 'mime_type': 'application/pdf', 'fileid': 483081}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44738, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44738,2022-09-05 01:28:42,1126,2022-09-05 01:28:42,"[{'name': {'given': 'Mahfut', 'lineage': None, 'family': 'Mahfut', 'honourific': None}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}]",disk0/00/04/47/38,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
85,Peer Review Aplikasi Filogenetik di Dunia Biologi Kesehatan: Melacak Pandemi Patogen,7,show,2022-09-05 01:28:24,archive,['QK'],,44732,pub,"Fakultas Sains dan Teknologi, Universitas Islam Negeri Alauddin Makassar","[{'uri': 'http://repository.lppm.unila.ac.id/id/document/166607', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 483039, 'hash': 'e1688a86b944fbf58f26fe5efc0699c6', 'filename': '17.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-04 13:24:16', 'datasetid': 'document', 'filesize': 503782, 'objectid': 166607, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483039'}], 'main': '17.pdf', 'docid': 166607, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 44732}]",public,http://repository.lppm.unila.ac.id/id/eprint/44732,2022-09-05 01:28:24,1126,2022-09-05 01:28:24,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'given': 'Mahfut', 'honourific': None, 'family': 'Mahfut', 'lineage': None}}]",disk0/00/04/47/32,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
86,Peer Review Ceratorhiza Induction towards ORSV Infection on Viability of Phalaenopsis and Dendrobium,7,show,2022-09-06 01:26:26,archive,['QK'],,44787,pub,LPPM Universitas Khairun,"[{'eprintid': 44787, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '014.pdf', 'docid': 166676, 'files': [{'fileid': 483532, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-05 13:20:42', 'filename': '014.pdf', 'hash': '661972f1192da7e3ec3d31606ac13012', 'datasetid': 'document', 'filesize': 589705, 'objectid': 166676, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483532'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166676'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44787,2022-09-06 01:26:26,1126,2022-09-06 01:26:26,"[{'name': {'given': 'Mahfut', 'family': 'Mahfut', 'honourific': None, 'lineage': None}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}]",disk0/00/04/47/87,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
87,"Peer Review Deteksi Odontoglossum ringspot virus Terhadap Anggrek Alam di Hutan Wonosadi, Gunung Kidul",7,show,2022-09-05 01:28:13,archive,['QK'],,44726,pub,"Jurusan Biologi, Fakultas Sains dan Teknologi, Universitas  Islam Negeri Alauddin Makassar","[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 44726, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166601', 'rev_number': 1, 'main': '6.pdf', 'docid': 166601, 'files': [{'objectid': 166601, 'uri': 'http://repository.lppm.unila.ac.id/id/file/482997', 'mime_type': 'application/pdf', 'fileid': 482997, 'filename': '6.pdf', 'hash': '84a50dea5dbb3ff29efd074682888a3d', 'hash_type': 'MD5', 'mtime': '2022-09-04 12:57:59', 'datasetid': 'document', 'filesize': 500457}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/44726,2022-09-05 01:28:13,1126,2022-09-05 01:28:13,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'given': 'Mahfut', 'lineage': None, 'honourific': None, 'family': 'Mahfut'}}]",disk0/00/04/47/26,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
88,Peer Review Deteksi Odontoglossum ringspot virus pada Anggrek Asli Koleksi Kebun Raya di Indonesia,7,show,2022-09-05 01:28:15,archive,['QK'],,44727,pub,"Departemen Proteksi Tanaman, Fakultas Pertanian, IPB","[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166602', 'docid': 166602, 'main': '7.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/483004', 'objectid': 166602, 'filesize': 502788, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-09-04 13:05:15', 'filename': '7.pdf', 'hash': 'b658ca28b7716282360c1c5a5d66f1a4', 'fileid': 483004, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 44727, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44727,2022-09-05 01:28:15,1126,2022-09-05 01:28:15,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'given': 'Mahfut', 'family': 'Mahfut', 'honourific': None, 'lineage': None}}]",disk0/00/04/47/27,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
89,Peer Review Efek Induksi Rhizoctonia pada Ketebalan Daun Anggrek yang Diinfeksi Odontoglossum ringspot virus (ORSV),7,show,2022-09-06 01:26:33,archive,['QK'],,44789,pub,"Technobiology Department, Universitas Atma Jaya Yogyakarta","[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166678', 'main': '09.pdf', 'docid': 166678, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/483546', 'objectid': 166678, 'filesize': 586375, 'datasetid': 'document', 'filename': '09.pdf', 'hash': '8494ff33206ba3a14d1954161f045f63', 'mtime': '2022-09-05 13:26:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 483546}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44789, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/44789,2022-09-06 01:26:33,1126,2022-09-06 01:26:33,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Mahfut', 'lineage': None, 'given': 'Mahfut'}}]",disk0/00/04/47/89,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
90,Peer Review Effectiveness Test of Orchid Mycorrhizal Isolate (Ceratorhiza and Trichoderma) Indonesia and Its  Role as a Biofertilizer: Critical Overview,7,show,2022-09-05 01:28:11,archive,['QK'],,44725,pub,Book Publisher Internasional,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 44725, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166600', 'main': '5.pdf', 'docid': 166600, 'files': [{'objectid': 166600, 'uri': 'http://repository.lppm.unila.ac.id/id/file/482990', 'datasetid': 'document', 'filesize': 453238, 'fileid': 482990, 'mime_type': 'application/pdf', 'mtime': '2022-09-04 12:45:53', 'hash_type': 'MD5', 'hash': '325e8cafd8d1c7120836019ba9931c98', 'filename': '5.pdf'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/44725,2022-09-05 01:28:11,1126,2022-09-05 01:28:11,"[{'name': {'given': 'Mahfut', 'family': 'Mahfut', 'honourific': None, 'lineage': None}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}]",disk0/00/04/47/25,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
91,Peer Review Evolusi Virus Anggrek di Indonesia,7,show,2022-09-06 01:26:14,archive,['QK'],,44781,pub,"Fakultas Sains dan Teknologi, Universitas Islam Negeri Alauddin Makassar","[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 44781, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166670', 'pos': 1, 'format': 'text', 'files': [{'objectid': 166670, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483489', 'fileid': 483489, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-05 12:59:13', 'hash': '622a59b485aede1cd3b07fdb841e3d5f', 'filename': '028.pdf', 'datasetid': 'document', 'filesize': 665498}], 'main': '028.pdf', 'docid': 166670}]",public,http://repository.lppm.unila.ac.id/id/eprint/44781,2022-09-06 01:26:14,1126,2022-09-06 01:26:14,"[{'name': {'lineage': None, 'family': 'Mahfut', 'honourific': None, 'given': 'Mahfut'}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}]",disk0/00/04/47/81,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
92,Peer Review Germination Process of Bud Chips of 3 Commercial Sugarcane (Saccharum officinarum L.) Varieties at PT Gunung Madu Plantations,7,show,2022-09-06 01:26:16,archive,['QK'],,44782,pub,Lembaga Penerbitan Universitas Esa Unggul,"[{'files': [{'mtime': '2022-09-05 13:03:27', 'hash_type': 'MD5', 'filename': '020.pdf', 'hash': 'd7ce3a29c8defb5ec7065997f24d0a24', 'fileid': 483496, 'mime_type': 'application/pdf', 'filesize': 590237, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/483496', 'objectid': 166671}], 'main': '020.pdf', 'docid': 166671, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166671', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 44782, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44782,2022-09-06 01:26:16,1126,2022-09-06 01:26:16,"[{'name': {'given': 'Mahfut', 'honourific': None, 'family': 'Mahfut', 'lineage': None}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}]",disk0/00/04/47/82,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
93,"Peer Review Identification and Detection Odontoglossum ringspot virus on Native Orchids Collection of Nurserys in Java, Indonesia",7,show,2022-09-05 01:28:51,archive,['QK'],,44740,pub,IOP Publishing Ltd.,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 44740, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166615', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 483095, 'hash': '27a122fc7e964a433c19fc1da578e111', 'filename': '29.pdf', 'mtime': '2022-09-04 13:47:09', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 516464, 'objectid': 166615, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483095'}], 'main': '29.pdf', 'docid': 166615}]",public,http://repository.lppm.unila.ac.id/id/eprint/44740,2022-09-05 01:28:51,1126,2022-09-05 01:28:51,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'given': 'Mahfut', 'lineage': None, 'family': 'Mahfut', 'honourific': None}}]",disk0/00/04/47/40,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
94,Peer Review Identification of Dendrobium (Orchidaceae) in Liwa Botanical Garden Based on Leaf Morphological Characters,7,show,2022-09-05 01:28:08,archive,['QK'],,44724,pub,"Faculty of Biology, Gadjah Mada University","[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166599', 'docid': 166599, 'main': '4.pdf', 'files': [{'datasetid': 'document', 'filesize': 472307, 'mime_type': 'application/pdf', 'fileid': 482983, 'filename': '4.pdf', 'hash': '63a8426f7e1edbd13a45868e9505089e', 'hash_type': 'MD5', 'mtime': '2022-09-04 12:42:57', 'objectid': 166599, 'uri': 'http://repository.lppm.unila.ac.id/id/file/482983'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 44724, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/44724,2022-09-05 01:28:08,1126,2022-09-05 01:28:08,"[{'name': {'honourific': None, 'family': 'Mahfut', 'lineage': None, 'given': 'Mahfut'}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}]",disk0/00/04/47/24,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
95,Peer Review Identification of Disease and Efforts to Protect Native Orchid Plants Against Bacteria Infection in Liwa Botanical Garden,7,show,2022-09-05 01:28:39,archive,['QK'],,44737,pub,IOP Publishing Ltd.,"[{'eprintid': 44737, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '25.pdf', 'docid': 166612, 'files': [{'hash_type': 'MD5', 'mtime': '2022-09-04 13:38:27', 'filename': '25.pdf', 'hash': '535181d7b669b80015af6825aea6fa22', 'fileid': 483074, 'mime_type': 'application/pdf', 'filesize': 570218, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/483074', 'objectid': 166612}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166612'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44737,2022-09-05 01:28:39,1126,2022-09-05 01:28:39,"[{'name': {'family': 'Mahfut', 'honourific': None, 'lineage': None, 'given': 'Mahfut'}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}]",disk0/00/04/47/37,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
96,Peer Review Identification of Virus Infection on Native Orchids in Liwa Botanical Garden,7,show,2022-09-05 01:28:36,archive,['QK'],,44736,pub,IOP Publishing Ltd.,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44736, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166611', 'rev_number': 1, 'docid': 166611, 'main': '24.pdf', 'files': [{'objectid': 166611, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483067', 'mime_type': 'application/pdf', 'fileid': 483067, 'filename': '24.pdf', 'hash': 'e3f6de05d5618380ac589d72f7b2c3d8', 'mtime': '2022-09-04 13:35:42', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 572985}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/44736,2022-09-05 01:28:36,1126,2022-09-05 01:28:36,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'given': 'Mahfut', 'lineage': None, 'family': 'Mahfut', 'honourific': None}}]",disk0/00/04/47/36,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
97,Peer Review Kajian Ketahanan Anggrek Hasil Induksi Ceratorhiza Terhadap Infeksi ORSV Berdasarkan Analisis Klorofil,8,show,2022-09-06 01:26:29,archive,['QK'],,44786,pub,Lembaga Penerbitan Universitas Esa Unggul,"[{'files': [{'datasetid': 'document', 'filesize': 605772, 'fileid': 483524, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-05 13:17:25', 'hash': '2e9e49ba8a056dabf221f3cbed0443b9', 'filename': '015.pdf', 'objectid': 166675, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483524'}], 'docid': 166675, 'main': '015.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166675', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 44786, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44786,2022-09-06 01:26:29,1126,2022-09-06 01:26:29,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Mahfut', 'given': 'Mahfut'}}]",disk0/00/04/47/86,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
98,Peer Review Molecular Phylogeny of Orchids Mycorrhiza Isolated From Native Tropical Orchids in Indonesia,7,show,2022-09-05 01:28:03,archive,['QK'],,44723,pub,Malaysian Society for Microbiology,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166598', 'pos': 1, 'format': 'text', 'files': [{'objectid': 166598, 'uri': 'http://repository.lppm.unila.ac.id/id/file/482976', 'mime_type': 'application/pdf', 'fileid': 482976, 'hash': 'c01e7590622083219573206246efff2c', 'filename': '3.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-04 12:37:39', 'datasetid': 'document', 'filesize': 481641}], 'docid': 166598, 'main': '3.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 44723}]",public,http://repository.lppm.unila.ac.id/id/eprint/44723,2022-09-05 01:28:03,1126,2022-09-05 01:28:03,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'given': 'Mahfut', 'family': 'Mahfut', 'honourific': None, 'lineage': None}}]",disk0/00/04/47/23,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
