,projects,eprintid,date_type,official_url,title,rev_number,volume,metadata_visibility,status_changed,eprint_status,related_url,subjects,abstract,publication,creators,issn,date,dir,id_number,type,divisions,ispublished,number,publisher,full_text_status,uri,refereed,lastmod,userid,datestamp,pagerange,funders,documents,pres_type,event_title,event_location,event_dates,event_type,succeeds,monograph_type,contributors,contact_email,corp_creators,referencetext
26,,2193,,http://www.ejbps.com,DIUERETIC ACTIVITY OF PLANT EXTRACT OF GARDEN SPURGE (EUPHORBIA HIRTA L.) ON MALE WISTAR RATS,9,4,show,2017-05-31 03:04:39,archive,,['RS'],"Because of its wide uses in many folk medicine system, the garden spurge (Euphorbia hirta L) is worth mentioning as a versatile herb plant. However, in relation to renal function, research results on the efficacy of these plants have not give a consistent result. This study, for that reason, aimed to reveal and verify the effect of ethanol extract of E. hirta against output of rat urine by using furosemide as a reference. Three different doses of whole plant extract of E. hirta (38.67, 77.35 and 154.7 mg/kg), furosemide (3.6 mg/kg) and distilled water (as negative control) were orally administered to the fasted healthy male rats. The urinary parameters assessed were the urine volume hourly for 6 hours, urine pH and urine color density. The results showed extract of E hirta at the dose of 77.35 mg/kg and 154.7 mg/kg significantly increase urine volume in comparison to the negative control but showed no difference with furosemide (α=0.05). However, all treatments showed no statistical difference in the urine pH and urine color scores. Thus, it can be conclude that the whole plant ethanolic extract of patikan kebo potentially for diuretic herb without make significant changes on pH and color of the urine output.",European Journal of Biomedical and Pharmaceutical Sciences,"[{'name': {'family': 'Kanedi', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}, 'id': 'wegayendi@yahoo.com'}]",2349-8870,2017-01-01 00:00:00.000000000,disk0/00/00/21/93,,article,['FMIPA2'],pub,1,European Journal of Biomedical and Pharmaceutical Sciences,public,http://repository.lppm.unila.ac.id/id/eprint/2193,TRUE,2017-05-31 03:04:39,833,2017-05-31 03:04:39,516-519,,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 2193, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2087', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 490868, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-05-30 11:44:35', 'filename': '18.ANTIDIURETIC EFFECt_ejbps_volume_4_january_issue_1-1483437335.pdf', 'hash': '29eb60c3c6b795693c1fcbbf2d8a5494', 'fileid': 15217, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/15217', 'objectid': 2087}], 'main': '18.ANTIDIURETIC EFFECt_ejbps_volume_4_january_issue_1-1483437335.pdf', 'docid': 2087}]",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'wegayendi@yahoo.com', 'name': {'lineage': None, 'family': 'Kanedi', 'honourific': None, 'given': 'Mohammad'}}, {'name': {'family': 'Lande', 'honourific': None, 'lineage': None, 'given': 'Martha'}, 'id': 'martha_lande@yahoo.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,['Jurusan Biologi FMIPA Unila'],
27,,2200,,http://www.ijcmph.com,Early menarche and high parity contribute to better sexual-quality of life in perimenopausal women,6,4,show,2017-05-31 04:41:38,archive,,['RA0421'],"Background: It was well known that physiological, psychological, as well as sociocultural are the factors that contribute to female sexual dysfunction. This study aimed to find out whether sexual function of women at perimenopausal age correlated with their ontogenetic factors, such as the age at menarche and parity.
Methods: Women (n=80) from nine villages in district of Lampung Tengah, Lampung Province, Indonesia aged 40-50 years who meet inclusion criteria participated in the study. Predesigned questionnaire was used to assess socio-demographic characteristics, and the female sexual function index (FSFI) was used to score sexual function of the respondents.
Results: None of the 80 respondents smoke, consumes alcohol, and has medical records. Based on the FSFI scores, except for one participant, all respondents suffered from sesual dysfunction with the average of total score 18.77. By using median score (18.52) the respondents were dichotomized into two categories, high and low sexual dysfunction. The results of Chi-square analysis and logistic regression showed that respondents with the characteristics of age at menarche <15 years and parity >4 children have better sexual-quality in comparison to those with the age at menarche >15 years and the parity <4 children.
Conclusions: It can be concluded that early menarche and high parity might contributed to better sexual-quality of life in perimenopausal women.",International Journal of Community Medicine and Public Health,"[{'name': {'given': 'Mohammad', 'honourific': None, 'family': 'Kanedi', 'lineage': None}, 'id': 'wegayendi@yahoo.com'}]",2394-6040,1970-01-01 00:00:00.000002017,disk0/00/00/22/00,http://dx.doi.org/10.18203/2394-6040.ijcmph20172142,article,['FMIPA2'],pub,6,International Journal of Community Medicine and Public Health,public,http://repository.lppm.unila.ac.id/id/eprint/2200,TRUE,2017-05-31 04:41:38,833,2017-05-31 04:41:38,1841-1846,,"[{'files': [{'objectid': 2094, 'uri': 'http://repository.lppm.unila.ac.id/id/file/15238', 'datasetid': 'document', 'filesize': 426364, 'fileid': 15238, 'mime_type': 'application/pdf', 'mtime': '2017-05-30 11:48:03', 'hash_type': 'MD5', 'filename': '25. Early Menarch.pdf', 'hash': '639185373599b75ce511066bc6ac6229'}], 'main': '25. Early Menarch.pdf', 'docid': 2094, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2094', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 2200, 'language': 'en', 'mime_type': 'application/pdf'}]",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'wegayendi@yahoo.com', 'name': {'family': 'Kanedi', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'sutyarso@yahoo.co.id', 'name': {'given': 'Sutyarso', 'lineage': None, 'family': 'Sutyarso', 'honourific': None}}]",,['Jurusan Biologi FMIPA Unila'],
28,,1678,,http://www.entomoljournal.com/,"Ethogram of mating and male mate-locating
strategy of Papilio peranthus (Lepidoptera:Papilionidae) at Gita Persada butterfly park,Lampung, Indonesia",7,5,show,2017-05-31 01:27:54,archive,,['QL'],"Research report on the ecological and behavioral aspects of swallowtail butterfly Papilio peranthus is very limited. This study was aimed to deepen understanding on the reproductive behavior of P.peranthus. Observation of mating behavior was made by releasing virgin males and females into a flight cage. Behavioral activities of the insects were observed visually aided by video cameras. Three experimental trials were applied namely one male met one female; three males met one female; and one male met three females. The results depicted in an ethogram that involves male ehavioral acts such as flying for searching female, pursuing, hovering and touching female for courting, mounting and grasping
the female, flying in tandem to seek a safe perch, relaxed bellow the female upon manage to insert his clasper, and withdrew from pairs and flew away upon finishing copulation. The male mate-locating strategy developed by butterfly P. peranthus is patrolling.",Journal of Entomology and Zoology Studies,"[{'name': {'given': 'Mohammad', 'lineage': None, 'honourific': None, 'family': 'Kanedi'}, 'id': 'wegayendi@yahoo.com'}]",2320-7078,1970-01-01 00:00:00.000002017,disk0/00/00/16/78,http://www.entomoljournal.com/archives/?year=2017&vol=5&issue=1&part=L&ArticleId=1553,article,['FMIPA2'],pub,1,Journal of Entomology and Zoology Studies,public,http://repository.lppm.unila.ac.id/id/eprint/1678,TRUE,2017-05-31 01:27:54,833,2017-05-31 01:27:54,869-874,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1541', 'main': '13. Ethogram of mating and male mate-locating.pdf', 'docid': 1541, 'files': [{'objectid': 1541, 'uri': 'http://repository.lppm.unila.ac.id/id/file/11570', 'mime_type': 'application/pdf', 'fileid': 11570, 'filename': '13. Ethogram of mating and male mate-locating.pdf', 'hash': '0219dc47a5d14e09f8b9539fa0ef3495', 'hash_type': 'MD5', 'mtime': '2017-05-25 02:32:58', 'datasetid': 'document', 'filesize': 445181}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 1678, 'security': 'public', 'placement': 1}]",,,,,,,,"[{'name': {'family': 'Kanedi', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'wegayendi@yahoo.com'}, {'id': 'nnukmal@yahoo.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Nismah', 'honourific': None, 'family': 'Nukmal', 'lineage': None}}]",,['Jurusan Biologi FMIPA Unila'],
29,,2196,,http://www.ejbps.com,HERBAL GEL CONTAINING CORM EXTRACT OF PISANG KEPOK (MUSA BALBISIANA) PROMOTE HAIR GROWTH OF RABBIT,6,4,show,2017-05-31 04:39:04,archive,,['RS'],"Current technologies and therapies of hair disorders are not yet satisfying people suffer from hair loss, so that efforts in seeking effective medicine for promoting hair growth are still continues. This study intended to investigate and confirms the effects of crude corms extract of pisang kepok (Musa balbisiana) given topically on rabbit hairs growth. Four healty, male rabbits, aged 4-5 months, weighing 1.5 kg – 2 kg were used for the study. Six areas (2 cm x 2 cm each) on the dorsal aspects of animals were shaved. The first shaved area treated topically with nothing (normal control). The second and third areas treated consecutively with gel without banana corms extract (as negative control) and reference formulations (as positive control). The last three areas treated with gel containing corms extract of pisang kepok with the concentration of 2%, 4% and 8% respectively. All treatments were given once daily for 21 days. The length of hairs were assessed on day 7, 14 and 21, while the hair mass was measured on day 22. The results showed herbal topical gel containing crude corms extract of pisang kepok significantly increase the animal hairs length and mass in comparison to the normal and negative control. Therefore it can be suggested that herbal gel containing corms extract of M. balbisiana is potent to be use as the topical formulations for hair growth.",European Journal of Biomedical and Pharmaceutical Sciences,"[{'id': 'wegayendi@yahoo.com', 'name': {'given': 'Mohammad', 'lineage': None, 'honourific': None, 'family': 'Kanedi'}}]",2349-8870,2017-03-08 00:00:00.000000000,disk0/00/00/21/96,http://www.ejbps.com,article,['FMIPA2'],pub,4,European Journal of Biomedical and Pharmaceutical Sciences,public,http://repository.lppm.unila.ac.id/id/eprint/2196,TRUE,2017-05-31 04:39:04,833,2017-05-31 04:39:04,27-32,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/2090', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/15226', 'objectid': 2090, 'filesize': 418517, 'datasetid': 'document', 'mtime': '2017-05-30 11:46:29', 'hash_type': 'MD5', 'filename': '21. Herbal gel.pdf', 'hash': '0637159427fa16334c12cae3c57027ed', 'fileid': 15226, 'mime_type': 'application/pdf'}], 'docid': 2090, 'main': '21. Herbal gel.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 2196}]",,,,,,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Kanedi', 'given': 'Mohammad'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'wegayendi@yahoo.com'}, {'name': {'family': 'Yulianty', 'honourific': None, 'lineage': None, 'given': 'Yulianty'}, 'id': 'yoelisoeradji@yahoo.co.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,['Jurusan Biologi FMIPA Unila'],
30,,7369,,https://www.iosrjournals.org/iosr-jpbs/pages/12(5)Version-6.html,Hair-growth promoting activity of plant extracts of suruhan (Peperomia pellucida) in Rabbits,17,12,show,2018-06-21 01:39:58,archive,"[{'url': 'https://www.iosrjournals.org', 'type': 'pub'}]",['Q1'],"Efforts in seeking effective medicine for preventing hair loss and promoting hair growth are still continues worldwide. This study investigate effects of ethanolic plant extract of suruhan, Indonesian name for Peperomia pellucida (L.) Kunth., on rabbit hairs growth. Four healty, male rabbits, aged 4-5 months, weighing 1.5 kg – 2 kg were used for the study. Six areas (2 cm x 2 cm each) on the dorsal aspects of animals were shaved and marked C-, C+, S1, S2, S3 and S4. Area C- and C+ are the shaved skin treated consecutively with CMC gel without suruhan extract (as negative control) and 2% minoxidil (as positive control). Area S1, S2, S3 and S4 are the shaved skin treated with gel containing suruhan extracts of 25% (v/v), 50% (v/v), 75% (v/v) and 100% (v/v) respectively. All treatments were given twice daily for 21 days. The length of hairs were assessed on day 7, 14 and 21, while the hair mass was measured on day 22. The results showed topical CMC gel containing ethanolic plant extracts of suruhan significantly increase the animal hairs length in a concentration-related manner. However, in comparison to both negative and positive controls, suruhan plant extracts show no significant effect on hair mass of the animals. It suggests that ethanolic plant extract of Peperomia pellucida is potent to be used as the topical formulations for hair growth.",IOSR Journal of Pharmacy and Biological Sciences (IOSR-JPBS),"[{'id': 'wegayendi@yahoo.com', 'name': {'lineage': None, 'family': 'Kanedi', 'honourific': None, 'given': 'Mohammad'}}]",e-ISSN:2278-3008,2017-10-15 00:00:00.000000000,disk0/00/00/73/69,10.9790/3008-1205061823,article,['FMIPA2'],pub,5,IOSR,public,http://repository.lppm.unila.ac.id/id/eprint/7369,TRUE,2018-06-21 01:39:58,833,2018-06-21 01:39:58,18-23,,"[{'eprintid': 7369, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 20423, 'main': '32. Hair Growth_Suruhan.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 66601, 'filename': '32. Hair Growth_Suruhan.pdf', 'hash': '5c8d613941fbf696c21a949034e9049f', 'hash_type': 'MD5', 'mtime': '2018-06-20 03:53:27', 'datasetid': 'document', 'filesize': 439706, 'objectid': 20423, 'uri': 'http://repository.lppm.unila.ac.id/id/file/66601'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20423', 'rev_number': 1}]",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'martha_lande@yahoo.com', 'name': {'lineage': None, 'family': 'Lande', 'honourific': None, 'given': 'Martha'}}, {'name': {'given': 'Yulianty', 'lineage': None, 'honourific': None, 'family': 'Yulianty'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'yoelisoeradji@yahoo.co.id'}, {'name': {'lineage': None, 'family': 'Cahyani', 'honourific': None, 'given': 'Nuning'}, 'id': 'uya.jujun@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,
31,,3601,published,http://www.iosrjournals.org,Inhibitory Effect of Carbofuran Furadan 3G on the Cocoon Production and Viability in Pheretima javanica Gates,7,11,show,2017-07-11 06:41:45,archive,"[{'type': 'pub', 'url': 'http://www.iosrjournals.org/iosr-jestft.html'}]",['QL'],"Though carbofuran has known to possess adverse effects in soil organisms including earthworms, little is known about the effects of carbofuran, either dirrectly or indirrectly, on the earthworm Pheretima javanica. This study aimed to investigate the effect of carbofuran at sublethal doses on the cocoons production and viability of Pheretima javanica worms. Six groups of earthworms, each consisted of four worms, were reared in plastic pots and fed on cow manure mixed with carbofuran as much as 0 mg (for control), 0.1mg , 0.2mg, 0.3mg, 0.4mg and 0.5mg repectively. Cocoons produced were hand sorted every two weeks for three months and presented as the number of cocoons per individual per moth. Cocoon viability was determined by observing the hatchling emerged from the cocoons incubated in Petri dish and expressed as percentage of viability. The results showed both cocoons production and cocoon viablity of the worms decreased significantly by the increasing concentration of the pesticide given (α = 0.05). Thus, it can be conclusively suggested that carbofuran (Furadan 3G) highly harmful to earthworm Pheretima javanica, even at low concentrations adversely affect growth and reproduction of the worms.","IOSR Journal of Environmental Science, Toxicology and Food Technology","[{'name': {'given': 'Mohammad', 'lineage': None, 'family': 'Kanedi', 'honourific': None}, 'id': 'wegayendi@yahoo.com'}]",2319-2399,2017-05-01 00:00:00.000000000,disk0/00/00/36/01,,article,['FMIPA2'],pub,5 Vers,The International Organization of Scientific Research (IOSR),public,http://repository.lppm.unila.ac.id/id/eprint/3601,TRUE,2017-07-11 06:41:45,833,2017-07-11 06:41:45,59-62,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 3601, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3458', 'main': '28. Inhibitory Effect of Carbofuran on the Cocoon profuction.pdf', 'docid': 3458, 'files': [{'datasetid': 'document', 'filesize': 343081, 'fileid': 25175, 'mime_type': 'application/pdf', 'mtime': '2017-06-16 15:23:59', 'hash_type': 'MD5', 'filename': '28. Inhibitory Effect of Carbofuran on the Cocoon profuction.pdf', 'hash': 'fa13fc5fe967cda5a07b814810d13537', 'objectid': 3458, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25175'}]}]",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'wegayendi@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Kanedi', 'given': 'Mohammad'}}]",wegayendi@yahoo.com,['Jurusan Biologi FMIPA Unila'],
32,,2861,published,http://www.ejbps.com,METHANOL PLANT EXTRACT OF RUMPUT TEKI (CYPERUS ROTUNDUS L.) CAUSING FETAL SKELETON RETARDMENT IN MICE,6,4,show,2017-06-02 12:19:57,archive,,['QL'],"Rumput teki (Cyperus rotundus L.) is a weed plant possesses biological and pharmacological activities and commonly used in treatment of various disease in many folk remedy systems. However, scientific studies on the safety and biological side effects of this plant use is still limited. This study aimed to investigate the possible effects of crude extract of nut grass (Cyperus rotundus L.) on the skeletal development of mice (Mus musculus L) during organogenesis period. Pregnant females (n=24) divided into four groups consisted of six mice each. Group 1 treated orally with distilled water (as control), whereas group 2, 3 and 4 were consecutively given extract at the dose of 45 mg/40g BW, 90 mg/40g BW and 135 mg/40g BW. After being treated for 12 days (day 6 to day 17), on the day 18 the fetuses were taken by caecarean section. The fetus count, fetal weight and length, and fetal tibial epiphyseal cartilage zones thickness namely the zone of reserve, proliferation, maturation, and calcification were assessed as the study parameters. The results showed the number, weight and length of fetus, the thickness of reserve, proliferation and maturation zones significantly lower by the higher dose of extract. In contrast, the thickness of calcified cartilage zone was increased by the increase of the dosage. Thus, it can be concluded that methanolic plant extract of rumput teki causing fetal skeleton retardation in mice.",European Journal of Biomedical and Pharmaceutical Sciences,"[{'name': {'lineage': None, 'family': 'Kanedi', 'honourific': None, 'given': 'Mohammad'}, 'id': 'wegayendi@yahoo.com'}]",2349-8870,2017-06-01 00:00:00.000000000,disk0/00/00/28/61,http://www.ejbps.com,article,['FMIPA2'],pub,6,European Journal of Biomedical and Pharmaceutical Sciences,public,http://repository.lppm.unila.ac.id/id/eprint/2861,TRUE,2017-06-02 12:19:57,833,2017-06-02 12:19:57,128-131,,"[{'security': 'public', 'placement': 1, 'eprintid': 2861, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 214086, 'datasetid': 'document', 'filename': '28. Extract of Teki on Fetal skeleton.pdf', 'hash': '8083016bd45cb190edf67ce5a7b28fe8', 'mtime': '2017-06-01 14:18:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 19654, 'uri': 'http://repository.lppm.unila.ac.id/id/file/19654', 'objectid': 2734}], 'main': '28. Extract of Teki on Fetal skeleton.pdf', 'docid': 2734, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2734', 'format': 'text', 'pos': 1}]",,,,,,,,"[{'name': {'family': 'Kanedi', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'wegayendi@yahoo.com'}, {'id': 'nuning@unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'lineage': None, 'family': 'Nurcahyani', 'honourific': None, 'given': 'Nuning'}}]",,['Jurusan Biologi FMIPA Unila'],
33,,8235,,http://www.ejbps.com,METHANOL PLANT EXTRACT OF RUMPUT TEKI (CYPERUS ROTUNDUS L.) CAUSING FETAL SKELETON RETARDMENT IN MICE,7,4,show,2018-06-29 04:11:37,archive,[{'url': 'http://www.ejbps.com/ejbps/abstract_id/2557'}],['Q1'],"Rumput teki (Cyperus rotundus L.) is a weed plant possesses biological and pharmacological activities and commonly used in treatment of various disease in many folk remedy systems. However, scientific studies on the safety and biological side effects of this plant use is still limited. This study aimed to investigate the possible effects of crude extract of nut grass (Cyperus rotundus L.) on the skeletal development of mice (Mus musculus L) during organogenesis period. Pregnant females (n=24) divided into four groups consisted of six mice each. Group 1 treated orally with distilled water (as control), whereas group 2, 3 and 4 were consecutively given extract at the dose of 45 mg/40g BW, 90 mg/40g BW and 135 mg/40g BW. After being treated for 12 days (day 6 to day 17), on the day 18 the fetuses were taken by caecarean section. The fetus count, fetal weight and length, and fetal tibial epiphyseal cartilage zones thickness namely the zone of reserve, proliferation, maturation, and calcification were assessed as the study parameters. The results showed the number, weight and length of fetus, the thickness of reserve, proliferation and maturation zones significantly lower by the higher dose of extract. In contrast, the thickness of calcified cartilage zone was increased by the increase of the dosage. Thus, it can be concluded that methanolic plant extract of rumput teki causing fetal skeleton retardation in mice.",European Journal of Biomedical AND Pharmaceutical sciences,"[{'id': 'wegayendi@yahoo.com', 'name': {'family': 'Kanedi', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}}]",2349-8870,2017-06-01 00:00:00.000000000,disk0/00/00/82/35,-,article,['FMIPA2'],pub,6,Dr.Valentina Petkova_Society for Advance Healthcare Research,public,http://repository.lppm.unila.ac.id/id/eprint/8235,TRUE,2018-06-29 04:11:37,833,2018-06-29 04:11:37,128-131,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/21271', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 214086, 'mime_type': 'application/pdf', 'fileid': 81789, 'hash': '8083016bd45cb190edf67ce5a7b28fe8', 'filename': '27. Extract of Teki on Fetal skeleton.pdf', 'hash_type': 'MD5', 'mtime': '2018-06-28 21:13:16', 'objectid': 21271, 'uri': 'http://repository.lppm.unila.ac.id/id/file/81789'}], 'docid': 21271, 'main': '27. Extract of Teki on Fetal skeleton.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 8235}]",,,,,,,,"[{'name': {'family': 'Cahyani', 'honourific': None, 'lineage': None, 'given': 'Nuning'}, 'id': 'nuning.nurcahyani@fmipa.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,
34,,3602,,http://journal.sapub.org/als,"Physiological Effects of Carbofuran on Earthworm
Pheretima javanica Gates",6,7,show,2017-07-20 08:45:55,archive,,['QL'],"Carbofuran is a carbamate pesticide that has known to possess adverse effects in soil organisms including
earthworms that potentially lead to changes in nutrient cycling. However, little is known about the effects of carbofuran,either dirrectly or indirrectly, on the earthworm Pheretima javanica. This research is intended to know the effect of carbofuran at sublethal doses on the food consumption rate, assimilation efficiency and growth rate of Pheretima javanica worms. Six concentration levels of treatment were prepared by concecutively adding carbofuran granules as much as 0 mg (for control), 0.1mg, 0.2mg, 0.3mg, 0.4mg and 0.5mg into the worm foods (100 mg of cow manure). The feeding parameters were based on the dry weight of the worms, food given and remnant food, and worm feces (casts) during three days of treatment. Growth rate of the worms was based on the weekly weight gain of the young worm treated for eight weeks. The results showed the consumption rate decreased, assimilation efficiency increased and growth rate decreased significantly by the increased concentration of the pesticide (α = 0.05). Thus, it can be conclusively suggested that carbofuran (Furadan 3G) highly harmful to earthworms, even at low concentrations.",Advances in Life Sciences,"[{'id': 'wegayendi@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Kanedi', 'given': 'Mohammad'}}]",2163-1395,1970-01-01 00:00:00.000002017,disk0/00/00/36/02,10.5923/j.als.20170702.02,article,['FMIPA2'],pub,2,Scientific & Academic Publishing,public,http://repository.lppm.unila.ac.id/id/eprint/3602,TRUE,2017-07-20 08:45:55,833,2017-07-20 08:45:55,21-25,,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 3602, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3459', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2017-06-16 15:40:06', 'filename': '29.Physiological Effect of Carbofuran on Earthworms.pdf', 'hash': '19c5270a5e897fc7eb4119e3a1b5b676', 'fileid': 25182, 'mime_type': 'application/pdf', 'filesize': 136939, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/25182', 'objectid': 3459}], 'docid': 3459, 'main': '29.Physiological Effect of Carbofuran on Earthworms.pdf'}]",,,,,,,,"[{'name': {'given': 'Mohammad', 'honourific': None, 'family': 'Kanedi', 'lineage': None}, 'id': 'wegayendi@yahoo.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",wegayendi@yahoo.com,['Jurusan Biologi FMIPA Unila'],
35,,2199,,http://journal.sapub.org/als,"Phytotelmata Might Account for the High Prevalence of
Dengue Hemorrhagic Fever in Lampung, Indonesia",6,7,show,2017-05-31 04:40:27,archive,,['QL'],"It was revealed that phytotelmata is an importance breeding place for numerous types of insect including the
vector mosquitoes of deadly diseases such as dengue and malaria. Yet, such small ponds tend to be neglected by the country
health authorities in setting eradication program of the disease vectors. This study aimed to find out whether phytotelmata
contribute in providing breeding place for vector mosquito of dengue hemorrhagic fever (DHF)- the Ades larvae. The survey
carried out in four districts namely Pesawaran, Metro, Pringsewu and Bandar Lampung and lasted from March to August
2016. Phytotelmic criteria of the study were every structures present in plants which allow rain water to impound and showed the signs of life exist in it. The phytotelmata containing Aedes mosquito larvae were assessed for its physical parameters and the data resulted were analysed and presented descriptively. There were six types of phytotelmata found namely leaf axils, tree holes, tree stumps, fallen spathe, fruit shells, and fallen leaves. The Aedes larvae found belong to only two species, i.e. Aedes albopictus (n=373) and Aedes crysolineatus (n=26).",Advances in Life Sciences,"[{'id': 'wegayendi@yahoo.com', 'name': {'given': 'Mohammad', 'family': 'Kanedi', 'honourific': None, 'lineage': None}}]",2163-1395,1970-01-01 00:00:00.000002017,disk0/00/00/21/99,10.5923/j.als.20170702.01,article,['FMIPA2'],pub,2,Scientific & Academic Publishing,public,http://repository.lppm.unila.ac.id/id/eprint/2199,TRUE,2017-05-31 04:40:27,833,2017-05-31 04:40:27,15-20,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2093', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/15235', 'objectid': 2093, 'filesize': 432415, 'datasetid': 'document', 'filename': '24. Fitotelmata.pdf', 'hash': '308896831e6efbae31ffd4dc34c419fb', 'hash_type': 'MD5', 'mtime': '2017-05-30 11:47:39', 'mime_type': 'application/pdf', 'fileid': 15235}], 'main': '24. Fitotelmata.pdf', 'docid': 2093, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 2199}]",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'sutyarso@yahoo.co.id', 'name': {'honourific': None, 'family': 'Kanedi', 'lineage': None, 'given': 'Mohammad'}}, {'name': {'family': 'Rosa', 'honourific': None, 'lineage': None, 'given': 'Emantis'}, 'id': 'emantisrosa@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,['Jurusan Biologi FMIPA Unila'],
