,corp_creators,lastmod,userid,pagerange,datestamp,publisher,documents,ispublished,refereed,uri,full_text_status,type,book_title,divisions,creators,dir,eprint_status,status_changed,abstract,subjects,title,official_url,place_of_pub,metadata_visibility,rev_number,eprintid,date_type,publication,number,volume,related_url,issn,id_number,contributors,isbn
10,,2021-09-16 09:08:18,1017,,2021-09-16 09:08:18,LPPM Unila,"[{'security': 'public', 'placement': 1, 'eprintid': 33935, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 154174, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401097', 'fileid': 401097, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-09-16 08:18:17', 'hash': '2a99c9eda12f743e3056809f589ec011', 'filename': 'Komunikasi_IFRJ_ProfilAroma.pdf', 'datasetid': 'document', 'filesize': 522975}], 'main': 'Komunikasi_IFRJ_ProfilAroma.pdf', 'docid': 154174, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154174', 'format': 'text', 'pos': 1}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33935,public,other,,['FP22'],"[{'name': {'family': 'Kustyawati', 'honourific': None, 'lineage': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/39/35,archive,2021-09-16 09:08:18,,['S1'],Komunikasi dengan Jurnal IFRJ: Profile of aroma compounds and acceptability of modified tempeh,,,show,8,33935,,,,,,,,,
11,,2021-09-22 04:41:36,1017,,2021-09-22 04:41:36,LPPM Unila,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 34081, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154513', 'docid': 154513, 'main': 'Komunikasi_JTIP_Profil_Asam_lemak.pdf', 'files': [{'objectid': 154513, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402305', 'fileid': 402305, 'mime_type': 'application/pdf', 'mtime': '2021-09-22 03:42:48', 'hash_type': 'MD5', 'hash': 'efa462ad2dc83e7938f618c3f11e2abd', 'filename': 'Komunikasi_JTIP_Profil_Asam_lemak.pdf', 'datasetid': 'document', 'filesize': 394730}]}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/34081,public,other,,['FP22'],"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'family': 'Kustyawati', 'honourific': None, 'lineage': None, 'given': 'Maria Erna'}}]",disk0/00/03/40/81,archive,2021-09-22 04:41:36,,['S1'],Komunikasi dengan Jurnal Teknologi dan Industri Pangan: Profil Asam dan asam amino Susu Kambing Segar dan Terfermentasi.,,,show,7,34081,,,,,,,,,
12,,2021-09-16 09:08:30,1017,,2021-09-16 09:08:30,LPPM Unila,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 33940, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154179', 'rev_number': 1, 'main': 'Komunikasi_Potravinastvo_ShelfLifeTempe.pdf', 'docid': 154179, 'files': [{'filesize': 374639, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-09-16 08:46:39', 'hash': '091976ae404a9e0eb36293f565d2a231', 'filename': 'Komunikasi_Potravinastvo_ShelfLifeTempe.pdf', 'fileid': 401138, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401138', 'objectid': 154179}]}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33940,public,other,,['FP22'],"[{'name': {'lineage': None, 'family': 'Kustyawati', 'honourific': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/39/40,archive,2021-09-16 09:08:30,,['S1'],Komunikasi dengan Potravinarstvo Slovak J of Food Sci: Shelf life of tempeh processed with sub-supercritical CO2.,,,show,7,33940,,,,,,,,,
13,,2021-09-16 09:08:21,1017,,2021-09-16 09:08:21,LPPM Unila,"[{'security': 'public', 'placement': 1, 'eprintid': 33936, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/401107', 'objectid': 154175, 'filesize': 436332, 'datasetid': 'document', 'hash': 'e86098e5de0c7ec9437e81bea8bed1b1', 'filename': 'Komunikasi_ASEANFOODSingapore.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-16 08:20:57', 'mime_type': 'application/pdf', 'fileid': 401107}], 'main': 'Komunikasi_ASEANFOODSingapore.pdf', 'docid': 154175, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154175', 'rev_number': 1, 'format': 'text', 'pos': 1}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33936,public,other,,['FP22'],"[{'name': {'given': 'Maria Erna', 'honourific': None, 'family': 'Kustyawati', 'lineage': None}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/39/36,archive,2021-09-16 09:08:21,,['S1'],"Komunikasi dengan Prosiding 13th ASEAN FOOD CONFERENCE, Singapore",,,show,7,33936,,,,,,,,,
14,,2021-09-16 09:08:32,1017,,2021-09-16 09:08:32,LPPM Unila,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154180', 'docid': 154180, 'main': 'Komunikasi_UISFS.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/401145', 'objectid': 154180, 'filesize': 162273, 'datasetid': 'document', 'filename': 'Komunikasi_UISFS.pdf', 'hash': '9e3bce2defb3886055597af4f43998b1', 'hash_type': 'MD5', 'mtime': '2021-09-16 08:50:36', 'mime_type': 'application/pdf', 'fileid': 401145}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 33941, 'security': 'public', 'placement': 1}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33941,public,other,,['FP22'],"[{'name': {'lineage': None, 'family': 'Kustyawati', 'honourific': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/39/41,archive,2021-09-16 09:08:32,,['S1'],Komunikasi dengan Prosiding Conference UISFS: The role of Saccharomyces cerevisiae as modified agent on the cassava starch.,,,show,7,33941,,,,,,,,,
15,,2021-09-16 09:08:15,1017,,2021-09-16 09:08:15,LPPM Unila,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154173', 'pos': 1, 'format': 'text', 'files': [{'fileid': 401090, 'mime_type': 'application/pdf', 'mtime': '2021-09-16 08:14:02', 'hash_type': 'MD5', 'filename': 'Komunikasi_AIMS_VitB12.pdf', 'hash': '6bd376b6fd4525b638a512f8b87f9c5a', 'datasetid': 'document', 'filesize': 244616, 'objectid': 154173, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401090'}], 'main': 'Komunikasi_AIMS_VitB12.pdf', 'docid': 154173, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 33934}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33934,public,other,,['FP22'],"[{'name': {'family': 'Kustyawati', 'honourific': None, 'lineage': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/39/34,archive,2021-09-16 09:08:15,,['S1'],Komunikasi dengan jurnal AIMS: Vitamin B12 production in soybean fermentation for tempeh,,,show,7,33934,,,,,,,,,
16,,2021-09-16 09:08:35,1017,,2021-09-16 09:08:35,LPPM Unila,"[{'main': 'Kontrak_PenelitianDasar_DRPM_2020.pdf', 'docid': 154181, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/401152', 'objectid': 154181, 'filesize': 4239087, 'datasetid': 'document', 'hash': 'd10d61b70549ce8574c5508a167cd18a', 'filename': 'Kontrak_PenelitianDasar_DRPM_2020.pdf', 'mtime': '2021-09-16 08:53:41', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 401152}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154181', 'eprintid': 33942, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33942,public,other,,['FP22'],"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'lineage': None, 'family': 'Kustyawati', 'honourific': None}}]",disk0/00/03/39/42,archive,2021-09-16 09:08:35,,['S1'],"Kontrak Penelitian Dasar DRPM 2020: ""Mempelajari teknik pengolahan tanpa panas High Pressure CO2 sebagai alternatif pengawetan udang"".",,,show,7,33942,,,,,,,,,
17,,2021-05-30 15:27:46,1017,,2021-05-30 15:27:46,IPB_PATPI,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 31323, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141532', 'pos': 1, 'format': 'text', 'files': [{'filename': 'Nilai Peer Review_Modifikasi waran_IPB PATPI_2014.pdf', 'hash': '5a24d876d6d0c93b4fce642e6171698e', 'mtime': '2021-05-30 01:54:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 371129, 'filesize': 666015, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/371129', 'objectid': 141532}], 'docid': 141532, 'main': 'Nilai Peer Review_Modifikasi waran_IPB PATPI_2014.pdf'}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/31323,public,other,,['FP22'],"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Kustyawati', 'lineage': None, 'given': 'Maria Erna'}}]",disk0/00/03/13/23,archive,2021-05-30 15:27:46,,['S1'],"Modifikasi warna, tekstur dan aroma tempe setelah diproses dengan karbon dioksida superkritik",,,show,7,31323,,,,,,,,,
18,,2021-09-22 04:41:42,1017,,2021-09-22 04:41:42,LPPM Unila,"[{'security': 'public', 'placement': 1, 'eprintid': 34083, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mtime': '2021-09-22 03:52:43', 'hash_type': 'MD5', 'hash': '9303fa3e6c39156caec0136ce84f209a', 'filename': 'Penilaian Reviewer_Karil_Quality shelf life udang.pdf', 'fileid': 402317, 'mime_type': 'application/pdf', 'filesize': 907716, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/402317', 'objectid': 154516}], 'main': 'Penilaian Reviewer_Karil_Quality shelf life udang.pdf', 'docid': 154516, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154516', 'format': 'text', 'pos': 1}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/34083,public,other,,['FP22'],"[{'name': {'lineage': None, 'family': 'Kustyawati', 'honourific': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/40/83,archive,2021-09-22 04:41:42,,['S1'],Penilaian Reviewer Karil: Quality and shelf life of white shrimp (Litopenaeus vannamei) processed High Pressure CO2 (HPCD) at subcritical and supercritical states.,,,show,7,34083,,,,,,,,,
19,,2020-09-22 08:30:42,1017,,2020-09-22 08:30:42,IOP Publishing,"[{'main': 'Nilai Reviewr Estimation of energy and organic fertilizer generation from small scale tapioka industrial waste.pdf', 'docid': 37839, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/219794', 'objectid': 37839, 'hash': 'd3b1cb1822ae999790e2d57910e9c2a5', 'filename': 'Nilai Reviewr Estimation of energy and organic fertilizer generation from small scale tapioka industrial waste.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-21 14:33:39', 'mime_type': 'application/pdf', 'fileid': 219794, 'filesize': 474985, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37839', 'rev_number': 1, 'eprintid': 24137, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/24137,public,other,,['FP22'],"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Kustyawati', 'given': 'Maria Erna'}}]",disk0/00/02/41/37,archive,2020-09-22 08:30:42,-,['S1'],Penilaian Reviewer: Estimation of energy and organic fertilizer generation from small scale tapioca industrial waste.,http:// iopscience.iop.org/article/10.1088/1755-1315/285/1/012006/pdf,,show,7,24137,completed,,,,,,,,
