,rev_number,event_type,metadata_visibility,title,event_dates,subjects,abstract,status_changed,eprint_status,event_location,date_type,event_title,eprintid,full_text_status,uri,refereed,ispublished,pres_type,documents,datestamp,lastmod,userid,date,dir,creators,divisions,type,publisher,volume,place_of_pub,isbn,number,pages,editors,series,official_url,corp_creators,book_title,pagerange,patent_applicant,id_number,publication,issn,related_url,contributors,contact_email,keywords,referencetext
10,7,,show,Operasi Bisnis,,['HB'],"Buku ajar Operasi Bisnis ini ditulis untuk melengkapi media pembelajaran dan sekaligus sebagai pegangan bagi mahasiswa Jurusan Ilmu Administrasi Bisnis FISIP Universitas Lampung dalam menempuh mata kuliah Operasi Bisnis. Buku ini cocok digunakan oleh mahasiswa, terutama strata satu (S-1), Jurusan Adm. Bisnis, Manajemen, dan Akuntansi. Sajian materi  dalam buku ajar ini lebih ringkas dan langsung menuju pada pokok bahasannya. Penyampaian materi ajar tiap bab dapat dilakukan secara tutorial, latihan soal, dan praktikum. Khusus pada Bab Manajemen Mutu, penyampaian materi ajar pada Subbab Pengukuran Mutu Secara Statistik, memerlukan bantuan software POM For Windows. Untuk mempermudah memahami penggunaan software tersebut pembaca dapat merujuk ke buku karangan Rander & Heizer (2001).",2023-04-13 05:07:26,archive,,published,,50473,public,http://repository.lppm.unila.ac.id/id/eprint/50473,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/190177', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 2904019, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-04-13 03:41:53', 'filename': 'Operasi Bisnis.pdf', 'hash': '14dd7fddcf3b78426fe59b187a0f40a5', 'fileid': 544575, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/544575', 'objectid': 190177}], 'docid': 190177, 'main': 'Operasi Bisnis.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 50473}]",2023-04-13 05:07:26,2023-04-13 05:07:26,348,1970-01-01 00:00:00.000002017,disk0_bak/00/05/04/73,"[{'name': {'given': 'Ahmad', 'lineage': None, 'honourific': None, 'family': ""Rifa'i""}, 'id': 'rifaiunila@gmail.com'}]",['FISIP1'],book,AURA,,Bandar Lampung,978-602-5636-01-1,,83.0,,,,['Universitas Lampung'],,,,,,,,,,,
11,8,conference,show,"Indek Pembangunan Manusia dan Faktor Yang Mempengaruhinya 
di Daerah Perkotaan Provinsi Lampung",24-25 November 2017,['HB'],"Tujuan penelitian ini adalah menghitung pengaruh Angka Harapan Hidup, Rata-Rata Lama Sekolah, Banyaknya Tenaga Kesehatan, Persentase Penduduk Miskin, Pendapatan  Per Kapita, dan Pertumbuhan Ekonomi terhadap Indek Pembangunan Manusia (IPM) Kota Bandar Lampung dan Kota Metro di Provinsi Lampung Tahun 2002 – 2015. Data yang kami gunakan adalah data sekunder. Teknik analisis data menggunakan regresi linear berganda. Kami juga menggunakan uji asumsi klasik, yaitu uji gejala multikolineritas, heteroskedastisitas, dan autokolerasi untuk memperoleh pemerkira hasil estimasi yang bersifat BLUE (Best Linear Unbiased Estimator). Hasil penelitian menunjukkan pemerkira hasil estimasi terbebas dari gajala asumsi klasik sehingga model yang diperoleh memenuhi sifat Best Linear Unbiased Estimator. Secara parsial Angka Harapan Hidup berpengaruh signifikan terhadap IPM dengan tingkat signifikansi 99%. Sedangkan Rata-Rata Lama Sekolah, Banyaknya Tenaga Kesehatan, Persentase Penduduk Miskin, Pendapatan Per Kapita, dan Pertumbuhan Ekonomi tidak berpengaruh sigifikan terhadap IPM, karena tingkat signifikansi yang diperoleh dibawah 95%. Secara simultan seluruh faktor berpengaruh signifikan terhadap IPM dengan tingkat signifikansi 99% dan tingkat keeratan hubungan antara variabel dependent dengan variabel independent-nya (koefisien determinasi – R2) mencapai 67,05%.

Keywords: Human Developmen Index, Life Expectacy at Birth, Mean Years Schooling, Health Personal, Poverty, GDP per Capita, dan Growth.",2018-06-26 02:48:57,archive,"Bandar Lampung, Lampung, Indonesia",published,"Seminar Nasional Metode Kuantitatif  “Penggunaan Matematika, Statistika, dan Komputer dalam Berbagai Disiplin Ilmu untuk Mewujudkan Kemakmuran Bangsa”",7778,public,http://repository.lppm.unila.ac.id/id/eprint/7778,TRUE,pub,paper,"[{'docid': 20813, 'main': 'Ahmad Rifai Prosiding Semnas Metode Kuantitatif 2017.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 69617, 'filename': 'Ahmad Rifai Prosiding Semnas Metode Kuantitatif 2017.pdf', 'hash': '33c1f52d1549fb42ad02abc7512f3a30', 'hash_type': 'MD5', 'mtime': '2018-06-25 15:46:50', 'datasetid': 'document', 'filesize': 1459742, 'objectid': 20813, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69617'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20813', 'rev_number': 1, 'eprintid': 7778, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2018-06-26 02:48:57,2019-02-20 07:40:21,348,2017-12-01 00:00:00.000000000,disk0/00/00/77/78,"[{'name': {'given': 'Ahmad', 'honourific': None, 'family': ""Rifa'i"", 'lineage': None}, 'id': 'rifaiunila@gmail.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Hartono', 'lineage': None, 'given': 'Hartono'}}]",['FISIP1'],conference_item,,,,,,,,,,"['Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung', 'Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung']",,195-213,,,,,,,,,
12,9,,show,"Indek Pembangunan Manusia dan Faktor Yang Mempengaruhinya 
di Daerah Perkotaan Provinsi Lampung",,['HB'],"Tujuan penelitian ini adalah menghitung pengaruh Angka Harapan Hidup, Rata-Rata Lama Sekolah, Banyaknya Tenaga Kesehatan, Persentase Penduduk Miskin, Pendapatan  Per Kapita, dan Pertumbuhan Ekonomi terhadap Indek Pembangunan Manusia (IPM) Kota Bandar Lampung dan Kota Metro di Provinsi Lampung Tahun 2002 – 2015. Data yang kami gunakan adalah data sekunder. Teknik analisis data menggunakan regresi linear berganda. Kami juga menggunakan uji asumsi klasik, yaitu uji gejala multikolineritas, heteroskedastisitas, dan autokolerasi untuk memperoleh pemerkira hasil estimasi yang bersifat BLUE (Best Linear Unbiased Estimator). Hasil penelitian menunjukkan pemerkira hasil estimasi terbebas dari gajala asumsi klasik sehingga model yang diperoleh memenuhi sifat Best Linear Unbiased Estimator. Secara parsial Angka Harapan Hidup berpengaruh signifikan terhadap IPM dengan tingkat signifikansi 99%. Sedangkan Rata-Rata Lama Sekolah, Banyaknya Tenaga Kesehatan, Persentase Penduduk Miskin, Pendapatan Per Kapita, dan Pertumbuhan Ekonomi tidak berpengaruh sigifikan terhadap IPM, karena tingkat signifikansi yang diperoleh dibawah 95%. Secara simultan seluruh faktor berpengaruh signifikan terhadap IPM dengan tingkat signifikansi 99% dan tingkat keeratan hubungan antara variabel dependent dengan variabel independent-nya (koefisien determinasi – R2) mencapai 67,05%.

Keywords: Human Developmen Index, Life Expectacy at Birth, Mean Years Schooling, Health Personal, Poverty, GDP per Capita, dan Growth.",2018-06-26 02:45:43,archive,,published,,7779,public,http://repository.lppm.unila.ac.id/id/eprint/7779,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 7779, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20814', 'docid': 20814, 'main': 'Ahmad Rifai Prosiding Semnas Metode Kuantitatif 2017.pdf', 'files': [{'objectid': 20814, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69625', 'mime_type': 'application/pdf', 'fileid': 69625, 'filename': 'Ahmad Rifai Prosiding Semnas Metode Kuantitatif 2017.pdf', 'hash': '33c1f52d1549fb42ad02abc7512f3a30', 'hash_type': 'MD5', 'mtime': '2018-06-25 16:13:23', 'datasetid': 'document', 'filesize': 1459742}]}]",2018-06-26 02:45:43,2019-02-20 07:38:36,348,2017-12-01 00:00:00.000000000,disk0/00/00/77/79,"[{'id': 'rifaiunila@gmail.com', 'name': {'lineage': None, 'family': ""Rifa'i"", 'honourific': None, 'given': 'Ahmad'}}, {'id': None, 'name': {'lineage': None, 'family': 'Hartono', 'honourific': None, 'given': 'Hartono'}}]",['FISIP1'],article,Jurusan Matematika FMIPA Unila,,,,,,,,,"['Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung', 'Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung']",,195-213,,,Prosiding Seminar Nasional METODE KUANTITATIF 2017,978-602-98559-3-7,,,,,
13,7,,show,"KARAKTERISTIK RUMAH TANGGA MISKIN PENERIMA RASKIN 
DI KOTA METRO LAMPUNG",,['HB'],"Surevy ini bertujuan untuk mengetahui karakteristik Rumah Tangga Miskin (RTM) penerima Raskin di Kota Metro Lampung. Jumlah sampel adalah 375 KK penerima Raskin, di ambil secara proporsional per kelurahan. Teknik pengumpulan data mengunakan kuisioner terbuka. Teknik analisis data dilakukan dengan penghitungan rasio ketergantungan dan penghitungan Indek Pembangunan Manusia (IPM) RTM penerima Raskin. Hasil survey menunjukkan nilai rasio ketergantungan RTM penerima Raskin Kota Metro adalah 64,7%, rasio ketergantungan anak adalah 53,4%, rasio ketergantungan lanjut usia adalah 11,3%. Nilai IPM  RTM penerima Raskin Kota Metro adalah 70,31 yang berarti berada pada tingkatan menengah-atas. Untuk mengurangi rasio ketergantungan Pemkot Metro dapat melakukan transisi demografi untuk memperoleh “bonus demografi” dan window of opportunity, akselelari dan intensifikasi program wajar 12 tahun, pengintensifan kejar paket A, paket B, pendidikan luar sekolah, dan madrasah salafiyah, pelibatan peran orang tua dan masyarakat dalam pendidikan, meningkatkan porsi anggaran, melakukan revitalisasi sarana sekolah, melibatkan RTM dalam kegiatan ekonomi mikro dan kecil untuk peningkatan daya beli, serta mengarahkan investasi pada sektor yang bersentuhan dengan RTM penerima Raskin.

Keyword: Indek Pembangunan Manusia, Rasio Ketergantungan Rumah Tangga Miskin, Rasio Ketergantungan Anak, Rasio Ketergantungan Usia Lanjut.",2018-06-26 02:45:45,archive,,published,,7780,public,http://repository.lppm.unila.ac.id/id/eprint/7780,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/20815', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/69631', 'objectid': 20815, 'filesize': 1119587, 'datasetid': 'document', 'mtime': '2018-06-25 16:24:19', 'hash_type': 'MD5', 'hash': 'cb3abeaffb755a525e4b35a563f29321', 'filename': 'Ahmad Rifai Prosiding Semnas Etika Politik 2017.pdf', 'fileid': 69631, 'mime_type': 'application/pdf'}], 'docid': 20815, 'main': 'Ahmad Rifai Prosiding Semnas Etika Politik 2017.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 7780}]",2018-06-26 02:45:45,2019-02-20 07:39:55,348,2017-10-18 00:00:00.000000000,disk0/00/00/77/80,"[{'id': 'rifaiunila@gmail.com', 'name': {'family': ""Rifa'i"", 'honourific': None, 'lineage': None, 'given': 'Ahmad'}}, {'name': {'given': 'Ferry', 'honourific': None, 'family': 'Triatmodjo', 'lineage': None}, 'id': None}]",['FISIP1'],article,FISIP UNILA,,,,,,,,,"['Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung', 'Jurusan Ilmu Admiminstrasi Negara FISIP Universitas Lampung']",,358-370,,,PROSIDING: Membangun Etika Sosial Politik Menuju Masyarakat Yang Berkeadilan,987-979-95174-9-4,,,,,
14,6,,show,Dynamic Capabilities & Creating Organizational Knowledge: Important Linkage for Building Competitive Advantage,,['H1'],Hasil Cek Similarity,2019-09-09 04:09:15,archive,,published,,14079,public,http://repository.lppm.unila.ac.id/id/eprint/14079,TRUE,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 14079, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27110', 'docid': 27110, 'main': 'Hasil Cek Similarity_DYNAMIC_CAPABILITIES_AND_CREATING_ORGANIZATIONAL_K(1).pdf', 'files': [{'objectid': 27110, 'uri': 'http://repository.lppm.unila.ac.id/id/file/122454', 'fileid': 122454, 'mime_type': 'application/pdf', 'mtime': '2019-09-06 04:33:29', 'hash_type': 'MD5', 'hash': '8ce048210236b3e87494f4b587fa0ff8', 'filename': 'Hasil Cek Similarity_DYNAMIC_CAPABILITIES_AND_CREATING_ORGANIZATIONAL_K(1).pdf', 'datasetid': 'document', 'filesize': 4001834}]}]",2019-09-09 04:09:15,2019-09-09 04:09:15,539,2017-08-01 00:00:00.000000000,disk0/00/01/40/79,"[{'id': 'arifsugiono01@gmail.com', 'name': {'honourific': None, 'family': 'Sugiono', 'lineage': None, 'given': 'Arif'}}]",['FISIP1'],article,Ivolga Press,8.0,,,68.0,,,,https://doi.org/10.18551/rjoas.2017-08.26,['Ilmu Adm. Bisnis FISIP Unila'],,233-241,,,Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,,,,
15,9,conference,show,A New Model Strategic Management in the Knowledge and Networked Innovatioan Economy Era,9-10 November 2016,['H1'],Hasil Penilaian Teman Sejawat/Peer Review,2019-09-09 04:09:27,archive,Pekan Baru Riau,published,International Conference,14049,public,http://repository.lppm.unila.ac.id/id/eprint/14049,TRUE,pub,speech,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 14049, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27081', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 27081, 'uri': 'http://repository.lppm.unila.ac.id/id/file/122265', 'datasetid': 'document', 'filesize': 987074, 'fileid': 122265, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-09-05 04:49:00', 'hash': 'aaa8ed93b5634efb69b32224d213049f', 'filename': '6. A New Model SM.pdf'}], 'main': '6. A New Model SM.pdf', 'docid': 27081}]",2019-09-09 04:09:27,2019-09-09 04:09:27,539,2017-11-01 00:00:00.000000000,disk0/00/01/40/49,"[{'id': 'arifsugiono01@gmail.com', 'name': {'given': 'Arif', 'family': 'Sugiono', 'honourific': None, 'lineage': None}}]",['FISIP1'],conference_item,,,,,,,,,,['Ilmu Adm. Bisnis FISIP Unila'],,1-5,,,,,,,,,
16,6,,show,Understanding and Criticizing Dynamic Capabilities Models,,['H1'],Hasil Cek Similarity,2019-09-09 04:09:19,archive,,published,,14080,public,http://repository.lppm.unila.ac.id/id/eprint/14080,TRUE,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 14080, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 27111, 'uri': 'http://repository.lppm.unila.ac.id/id/file/122460', 'datasetid': 'document', 'filesize': 2868900, 'fileid': 122460, 'mime_type': 'application/pdf', 'mtime': '2019-09-06 04:38:40', 'hash_type': 'MD5', 'hash': '0b9a72a1e931d559aaffb8608f7dc7cb', 'filename': 'Hasil Cek Similarity_UNDERSTANDING_AND_CRITICIZING_DYNAMIC_CAPABILITIES.pdf'}], 'main': 'Hasil Cek Similarity_UNDERSTANDING_AND_CRITICIZING_DYNAMIC_CAPABILITIES.pdf', 'docid': 27111, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27111', 'format': 'text', 'pos': 1}]",2019-09-09 04:09:19,2019-09-09 04:09:19,539,2017-11-01 00:00:00.000000000,disk0/00/01/40/80,"[{'id': 'arifsugiono01@gmail.com', 'name': {'given': 'Arif', 'honourific': None, 'family': 'Sugiono', 'lineage': None}}]",['FISIP1'],article,Ivolga Press,11.0,,,71.0,,,,https://rjoas.com/issue-2017-11/,['Ilmu Adm. Bisnis FISIP Unila'],,84-91,,,Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,,,,
17,6,,show,Understanding and Criticizing Dynamic Capabilities Models,,['H1'],Hasil Penilaian Peer Review,2019-10-16 03:06:39,archive,,published,,14110,public,http://repository.lppm.unila.ac.id/id/eprint/14110,TRUE,pub,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/122751', 'objectid': 27151, 'mtime': '2019-09-09 07:28:49', 'hash_type': 'MD5', 'filename': '2.Understanding & Criticizing DC Model.pdf', 'hash': '4b3587856e41c226b60c986e7bb13a26', 'fileid': 122751, 'mime_type': 'application/pdf', 'filesize': 1221638, 'datasetid': 'document'}], 'docid': 27151, 'main': '2.Understanding & Criticizing DC Model.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27151', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 14110, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-10-16 03:06:39,2019-10-16 03:06:39,539,2017-11-01 00:00:00.000000000,disk0/00/01/41/10,"[{'id': 'arifsugiono01@gmail.com', 'name': {'given': 'Arif', 'lineage': None, 'family': 'Sugiono', 'honourific': None}}]",['FISIP1'],article,Ivolga Press,11.0,,,71.0,,,,https://rjoas.com/issue-2017-11/article_11.pdf,['Ilmu Adm. Bisnis FISIP Unila'],,84-91,,,Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,,,,
18,6,,show,Dynamic Capabilities & Creating Organizational Knowledge: Important Linkage for Building Competitive Advantage,,['HF'],"As a concept derived from the resource-based view, dynamic capabilities essentially have an important linkage with activities related to the creation of organizational knowledge. Using literature study method, this paper aims to discuss the linkage between the creation of dynamic knowledge capabilities and the creation of knowledge company. The study shows that the discussion of dynamic capabilities creation finally puts both learning and knowledge in an important position. Correspondingly, the relationship between a growth strategy that is generally chosen by the organization brings a consequence that the creation of organizational knowledge becomes something that can not be ignored. In order to make the process of knowledge creation in line with dynamic capabilities creation within a growth strategy creation framework, we need a dynamic process of knowledge creation. Among the various models of knowledge creation, SECI model still becomes a relevant model within organizational knowledge creation framework. In general, this study is still theoretical, therefore, more empirical subsequent discussions are expected.",2018-07-30 08:17:15,archive,,published,,8679,public,http://repository.lppm.unila.ac.id/id/eprint/8679,TRUE,pub,,"[{'docid': 21751, 'main': 'RJOAS (Agustus) 2017.pdf', 'files': [{'fileid': 84659, 'mime_type': 'application/pdf', 'mtime': '2018-07-26 06:53:15', 'hash_type': 'MD5', 'filename': 'RJOAS (Agustus) 2017.pdf', 'hash': '67a65bed6f1468e55b3ddd9c16cf316a', 'datasetid': 'document', 'filesize': 260696, 'objectid': 21751, 'uri': 'http://repository.lppm.unila.ac.id/id/file/84659'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21751', 'rev_number': 1, 'eprintid': 8679, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",2018-07-30 08:17:15,2018-07-30 08:17:15,539,2017-08-01 00:00:00.000000000,disk0/00/00/86/79,"[{'name': {'family': 'Sugiono', 'honourific': None, 'lineage': None, 'given': 'Arif'}, 'id': 'arifsugiono01@gmail.com'}, {'name': {'family': 'Arifianti', 'honourific': None, 'lineage': None, 'given': 'Ria'}, 'id': None}, {'id': None, 'name': {'family': 'Jaja R', 'honourific': None, 'lineage': None, 'given': 'Sam""un'}}, {'name': {'given': 'Erna', 'honourific': None, 'family': 'Maulina', 'lineage': None}, 'id': None}]",['FISIP1'],article,,8.0,,,68.0,,,,https://doi.org/10.18551/rjoas.2017-08.26,"['Business Administration Departement, University Of Lampung', 'Business Administration Department, Universitas Padjadjaran, Indonesia', 'siness Administration Department, Universitas Padjadjaran, Indonesia', 'siness Administration Department, Universitas Padjadjaran, Indonesia']",,233-241,,,Russian Journal Of Agricultural and socio economic science,2226-1184,,,,,
19,7,,show,Dynamic Capabilities : Strategi dan Kunci Sukses Persaingan dalam Bidang Industri Kreatif,,['HF'],"Industri Kreatif hadir sebagai sebuah lokomotif baru dalam perekonomian sebuah bangsa, khususnya Indonesia. Untuk mewujudkan itu, dibutuhkan sebuah usaha yang bersifat kolaboratif diantara berbagai aktor (pentha helix) yang terlibat, yakni pelaku bisnis, komunitas, akademisi pemerintah, dan media 

Sebagai sebuah emerging industry, Industri kreatif, masih membutuhkan bebera pekerjaan rumah. Baik pada level makro, meso dan mikro. Buku ini fokus pada agenda yang harus disiapkan pada level mikro (pelaku industri kreatif). Tanpa bermaksud mengabaikan perspektif lain (market based view) yang tidak kalah pentingnya dalam mendesain sebuah strategi bisnis, dalam rangka mencapai keunggulan daya saing yang berkelanjutan, pembahasan pada buku ini fokus pada resource based view, yakni dynamic capabilities. Sebuah bahasan yang penting bagi pelaku industri kreatif, ketika ingin menciptakan sebuah capabilities organisasi ditengah di tengah dinamika lingkungan yang berubah dengan cepat bahkan cenderung  disruption.  

Ketika kreativitas menjadi hak setiap warga negara, maka kewajiban kita semua untuk menjadi kreatif, dan memajukan industri kreatif.",2018-07-30 08:17:26,archive,,published,,8692,public,http://repository.lppm.unila.ac.id/id/eprint/8692,TRUE,pub,,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21765', 'rev_number': 1, 'main': 'Dynamic Capabilities.pdf', 'docid': 21765, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/84742', 'objectid': 21765, 'hash_type': 'MD5', 'mtime': '2018-07-30 03:18:47', 'hash': 'a1899eaca49609640c936373e7cda348', 'filename': 'Dynamic Capabilities.pdf', 'fileid': 84742, 'mime_type': 'application/pdf', 'filesize': 241380, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 8692, 'placement': 1, 'security': 'public'}]",2018-07-30 08:17:26,2018-07-30 08:17:26,539,2017-09-01 00:00:00.000000000,disk0/00/00/86/92,"[{'id': 'arifsugiono01@gmail.com', 'name': {'given': 'Arif', 'lineage': None, 'honourific': None, 'family': 'Sugiono'}}, {'id': None, 'name': {'given': 'Ria', 'family': 'Arifianti', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'family': 'Raharja', 'honourific': None, 'lineage': None, 'given': ""Sam'un""}}, {'id': None, 'name': {'given': 'Erna', 'honourific': None, 'family': 'Maulina', 'lineage': None}}]",['FISIP1'],book,Penerbit Ombak,,Yogjakarta,9786022584551,,173.0,,,,"['Business Administration Departement, University Of Lampung']",,,,,,,,,,,
20,6,,show,A New Model Strategic Management in the Knowledge and Networked Innovation Economy Era,,['H1'],Hasil Cek Similarity,2019-09-09 04:09:11,archive,,published,,14078,public,http://repository.lppm.unila.ac.id/id/eprint/14078,TRUE,pub,,"[{'main': 'Hasil Cek Similarity_A_New_Model_Strategic_Management_in_the_Knowledge_.pdf', 'docid': 27109, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/122448', 'objectid': 27109, 'filesize': 1875768, 'datasetid': 'document', 'filename': 'Hasil Cek Similarity_A_New_Model_Strategic_Management_in_the_Knowledge_.pdf', 'hash': 'd63775eb123dc70d8476747bd345befc', 'hash_type': 'MD5', 'mtime': '2019-09-06 04:28:12', 'mime_type': 'application/pdf', 'fileid': 122448}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27109', 'eprintid': 14078, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",2019-09-09 04:09:11,2019-09-09 04:09:11,539,1970-01-01 00:00:00.000002017,disk0/00/01/40/78,"[{'id': 'arifsugiono01@gmail.com', 'name': {'given': 'Arif', 'honourific': None, 'family': 'Sugiono', 'lineage': None}}, {'id': None, 'name': {'given': 'Yudith D', 'lineage': None, 'honourific': None, 'family': 'Hapsari'}}]",['FISIP1'],article,LPPM Universitas Riau,1.0,,,1.0,,,,,['Ilmu Adm. Bisnis FISIP Unila'],,1-5,,,International Conference on Science and Technology,,[{'url': 'http://repository.lppm.unila.ac.id/8681/%20//www.estech.org'}],,,,
21,7,,show,Understanding and Criticizing Dynamic Capabilities Models,,['HF'],"There are at least four researchers who discussed the  dynamic capabilities creation model, including  Zollo & Winter (2002), Helfat (2007), Teece (2007) and Mc Carthy & Gordon (2010). This paper aims to understand and critize the models proposed by the four researchers above. The method used is literature study. Therefore  this study can be used as a reference in formulating dynamic capabilities creation model that can adopt  the dynamic  of organization environment. The results of understanding and criticism some models, showing some important discussion that could be used as guidelines when it required to design a more comprehensive dynamic creation model.",2018-07-30 08:17:17,archive,,published,,8680,public,http://repository.lppm.unila.ac.id/id/eprint/8680,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/21753', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 21753, 'uri': 'http://repository.lppm.unila.ac.id/id/file/84667', 'datasetid': 'document', 'filesize': 301718, 'fileid': 84667, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-07-26 07:20:49', 'hash': '48f79af75c7ea36f580d37703b106aec', 'filename': 'Naskah Arif S ugiono, November 2017.pdf'}], 'docid': 21753, 'main': 'Naskah Arif S ugiono, November 2017.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 8680}]",2018-07-30 08:17:17,2018-07-30 08:17:17,539,2017-11-01 00:00:00.000000000,disk0/00/00/86/80,"[{'id': 'arifsugiono01@gmail.com', 'name': {'given': 'Arif', 'lineage': None, 'honourific': None, 'family': 'Sugiono'}}, {'id': None, 'name': {'given': 'Yudith D', 'lineage': None, 'honourific': None, 'family': 'Hapsari'}}]",['FISIP1'],article,,11.0,,,71.0,,,,https://rjoas.com/issue-2017-11/,"['Business Administration Departement, University Of Lampung', 'Management Departement, Univerity Of Katolic Atmajaya Jakarta']",,84-91,,10.18551/rjoas.2017-11.11,Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,,,,
