,full_text_status,uri,refereed,ispublished,documents,pres_type,pagerange,datestamp,corp_creators,userid,lastmod,date,dir,creators,divisions,type,rev_number,event_type,metadata_visibility,event_dates,title,subjects,abstract,eprint_status,status_changed,event_location,date_type,event_title,eprintid,isbn,place_of_pub,editors,contact_email,pages,publisher,publication,issn,number,related_url,official_url,volume,contributors,id_number,series,monograph_type,department,institution
10,public,http://repository.lppm.unila.ac.id/id/eprint/436,TRUE,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2752', 'rev_number': 1, 'docid': 2752, 'main': 'proceedings 17 Feb AGBA.pdf', 'files': [{'objectid': 2752, 'uri': 'http://repository.lppm.unila.ac.id/id/file/19813', 'datasetid': 'document', 'filesize': 68159991, 'fileid': 19813, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-06-01 17:20:12', 'hash': '2550d7bf3f718a08bed23cd0e4fa3fc0', 'filename': 'proceedings 17 Feb AGBA.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 436, 'security': 'public', 'placement': 1}]",paper,1704-1716,2017-06-02 20:51:49,,667,2017-06-02 20:51:49,2016-11-28 00:00:00.000000000,disk0/00/00/04/36,"[{'id': 'ehendrawaty@gmail.com', 'name': {'given': 'Ernie', 'lineage': None, 'honourific': None, 'family': 'Hendrawaty'}}]",['FEB6'],conference_item,7,conference,show,"November 26-28, 2016",EXCESS CASH HOLDINGS AS AN INDICATOR OF AGENCY PROBLEMS,['HG'],"The paper examine implications of excess cash holdings on firm value based on agency theory. For this purpose, this research use a sample of Indonesian non financial public firms for the period 2000-2011 whose cash holdings exceed normal cash holdings. This paper use panel regression techniques to estimate cash holdings. Refer to that estimation, from total 1828 observations, 672 of them set cash holdings exceed cash holdings normal. First, this research find that excess cash holdings has a negative effect on firm value. Second, the negative effects of excess cash holdings on firm value is stronger for financially unconstrained firms classified by multiple criterions (paying dividends, high cash flow, low MTB and low debt). Third to fifth, the negative effects of excess cash holdings on firm value is stronger for more concentrated ownership, for more dispersed ownership and for more financial distress. Overall, these empirical findings show that excess cash holdings can be a significant indicator of agency problem. 
Key words: excess cash holdings, agency problem, agency theory.",archive,2017-06-02 20:51:49,"Solo, INDONESIA",published,Thirteenth AGBA World Congress,436,,,,,,,,,,,,,,,,,,
11,public,http://repository.lppm.unila.ac.id/id/eprint/1608,TRUE,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/11094', 'objectid': 1471, 'hash_type': 'MD5', 'mtime': '2017-05-05 03:18:08', 'hash': '1c78e929abf4bded2c826ae75db705ff', 'filename': 'jurnal habib.pdf', 'fileid': 11094, 'mime_type': 'application/pdf', 'filesize': 113838, 'datasetid': 'document'}], 'main': 'jurnal habib.pdf', 'docid': 1471, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1471', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 1608, 'mime_type': 'application/pdf', 'language': 'en'}]",,130-143,2017-05-05 03:25:56,,588,2017-05-05 03:25:56,2016-05-01 00:00:00.000000000,disk0/00/00/16/08,"[{'name': {'honourific': None, 'family': 'Jimad', 'lineage': None, 'given': 'Habibullah'}}]",['FEB6'],article,6,,show,,"FAKTOR-FAKTOR YANG MEMPENGARUHI PERILAKU ANGGOTA
ORGANISASI (ORGANIZATIONAL CITIZENSHIP BEHAVIOR)",['AC'],"Sumber daya manusia memegang peranan penting dalam sebuah organisasi. Namun
demikian bukanlah hal yang mudah untuk mengarahkan sumber daya manusia untuk
mencapai tujuan organisasi serta menghindari perilaku egois para anggotanya yang
seringkali menjadi faktor penghambat tercapainya tujuan organisasi. Masalah yang
timbul yaitu bagaimana membuat anggota organisasi untuk setia, membantu orang lain,
dan patuh pada organisasi serta bersedia untuk mengontribusikan upaya dan
kemampuan mereka untuk organisasi.
Tujuan penelitian ini adalah untuk mengetahui faktor-faktor yang mempengaruhi
perilaku anggota organisasi khususnya di Fakultas Ekonomi dan Bisnis Universitas
Lampung, dalam hal ini faktor-faktor yang akan diteliti adalah faktor keadilan
prosedural dan kepemimpinan transformasional. Analisis data dilakukan dengan
menggunakan analisis regresi berganda.
Hasil penelitian menunjukkan bahwa keadilan prosedural, kepemimpinan
transformasional, serta budaya organisasi merupakan faktor-faktor yang membentuk
perilaku anggota organisasi. Pada penelitian ini faktor terbesar yang membentuk
perilaku anggota organisasi adalah budaya organisasi. Budaya organisasi yang berisi
nilai-nilai luhur serta kebiasaan yang baik akan membentuk karakter tenaga pendidik
sehingga mereka memiliki perilaku yang baik pula dalam organisasi tersebut.
Kata Kunci: organizational citizenship behavior, keadilan prosedural, kepemimpinan
Transformasional, budaya organisasi.",archive,2017-05-05 03:25:56,,published,,1608,,,,,,Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,Jurnal Bisnis dan Manajemen,1411-9366,2.0,,,12,,,,,,
12,public,http://repository.lppm.unila.ac.id/id/eprint/26822,TRUE,pub,"[{'files': [{'datasetid': 'document', 'filesize': 442731, 'mime_type': 'application/pdf', 'fileid': 240932, 'filename': 'Peer Review 4. Transformasional leadership Model....pdf', 'hash': 'e89541701996575d54aba2926abf99b7', 'hash_type': 'MD5', 'mtime': '2020-11-27 06:50:26', 'objectid': 40821, 'uri': 'http://repository.lppm.unila.ac.id/id/file/240932'}], 'main': 'Peer Review 4. Transformasional leadership Model....pdf', 'docid': 40821, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40821', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26822, 'mime_type': 'application/pdf', 'language': 'en'}]",,,2020-11-27 06:59:12,,588,2020-11-27 06:59:12,2016-11-01 00:00:00.000000000,disk0/00/02/68/22,"[{'id': 'habibullah.jimad@gmail.com,', 'name': {'lineage': None, 'honourific': None, 'family': 'Jimad', 'given': 'Habibullah'}}, {'id': 'ocha.lina77@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Roslina', 'given': 'Roslina'}}]",['FEB6'],article,6,,show,,"Hasil Review Peer Group. Transformational Leadership Model in Improving University Performance
(Study in University of Lampung)",['H1'],"Leaders played an important role in determined the survival and development of a university. 
Leaders can defined policies to be taken and decisions that determined the success of a 
university. Therefore, research on the model of leadership, especially transformational 
leadership is very important to be conducted by the University of Lampung. The purpose of 
this study was to test the effect of transformational leadership on performance, test the effect 
of transformational leadership on organizational support, as well as test the mediation support 
for innovation in organizations on performance. The research was conducted by survey 
method. The research samples were 300 person, taken using nonprobability sampling 
techniques with convenience sampling analysis done using Structural Equation Model. 
Validity test results indicated that there are two items which invalid on variable support for 
the organization, as well as one item statement on performance variables. The test results by 
using SEM analysis is known that transformational leadership does not directly influence the 
performance of lecturer and staff, but indirectly affect by mediated with the support for 
innovation in organization variable. Transformational leadership effect on support for 
innovation in organization, as well as support for innovation in organization variable fully 
mediated the effect of transformational leadership on the performance of lecturer and staff at 
the University of Lampung",archive,2020-11-27 06:59:12,,published,,26822,,,,,,,Advances in Global Business research,1549-9332,1.0,,,13,,,,,,
13,public,http://repository.lppm.unila.ac.id/id/eprint/26829,TRUE,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26829, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40829', 'rev_number': 1, 'main': 'TRANSFORMATIONAL LEADERSHIP MODEL IN IMPROVING UNIVERSITY PERFORMANCE.pdf', 'docid': 40829, 'files': [{'filename': 'TRANSFORMATIONAL LEADERSHIP MODEL IN IMPROVING UNIVERSITY PERFORMANCE.pdf', 'hash': '366b9c07138e1b8ec127bfaf382c71aa', 'hash_type': 'MD5', 'mtime': '2020-11-27 07:34:47', 'mime_type': 'application/pdf', 'fileid': 240985, 'filesize': 1849510, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/240985', 'objectid': 40829}]}]",,,2020-11-27 07:51:16,,588,2020-11-27 07:51:16,2016-11-01 00:00:00.000000000,disk0/00/02/68/29,"[{'name': {'lineage': None, 'family': 'Jimad', 'honourific': None, 'given': 'Habibullah'}, 'id': 'habibullah.jimad@gmail.com,'}, {'name': {'given': 'Roslina', 'honourific': None, 'family': 'Roslina', 'lineage': None}, 'id': 'ocha.lina77@gmail.com'}]",['FEB6'],article,6,,show,,"Hasil Uji Similarity. Transformational Leadership Model in Improving University Performance (Study in University of   
Lampung)",['H1'],"Leaders played an important role in determined the survival and development of a university. 
Leaders can defined policies to be taken and decisions that determined the success of a 
university. Therefore, research on the model of leadership, especially transformational 
leadership is very important to be conducted by the University of Lampung. The purpose of 
this study was to test the effect of transformational leadership on performance, test the effect 
of transformational leadership on organizational support, as well as test the mediation support 
for innovation in organizations on performance. The research was conducted by survey 
method. The research samples were 300 person, taken using nonprobability sampling 
techniques with convenience sampling analysis done using Structural Equation Model. 
Validity test results indicated that there are two items which invalid on variable support for 
the organization, as well as one item statement on performance variables. The test results by 
using SEM analysis is known that transformational leadership does not directly influence the 
performance of lecturer and staff, but indirectly affect by mediated with the support for 
innovation in organization variable. Transformational leadership effect on support for 
innovation in organization, as well as support for innovation in organization variable fully 
mediated the effect of transformational leadership on the performance of lecturer and staff at 
the University of Lampung.",archive,2020-11-27 07:51:16,,published,,26829,,,,,,,Advances in Global Business research,1549-9332,1.0,,,13,,,,,,
14,public,http://repository.lppm.unila.ac.id/id/eprint/2104,TRUE,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 2104, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 1504568, 'datasetid': 'document', 'mtime': '2017-05-30 07:10:00', 'hash_type': 'MD5', 'filename': 'proceeding agba upload.pdf', 'hash': '517328970e42285359223ae1cfd280fe', 'fileid': 14630, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/14630', 'objectid': 1992}], 'main': 'proceeding agba upload.pdf', 'docid': 1992, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1992', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",paper,263-270,2017-05-31 02:10:45,,447,2017-05-31 02:10:45,2016-11-26 00:00:00.000000000,disk0/00/00/21/04,"[{'name': {'given': 'Habibullah', 'honourific': None, 'family': 'Jimad', 'lineage': None}, 'id': None}, {'name': {'given': 'Roslina', 'family': 'Roslina', 'honourific': None, 'lineage': None}, 'id': 'ocha.lina77@gmail.com'}]",['FEB6'],conference_item,8,conference,show,26-28 November 2016,"Transformational Leadership Model in Improving University Performance
(Study In University of Lampung)",['AC'],"Leaders played an important role in determined the survival and development of a university. Leaders can defined policies to be taken and decisions that determined the success of a university. Therefore, research on the model of leadership, especially transformational leadership is very important to be conducted by the University of Lampung. The purpose of this study was to test the effect of transformational leadership on performance, test the effect of transformational leadership on organizational support, as well as test the mediation support for innovation in organizations on performance. The research was conducted by survey method. The research samples were 280 person, taken using nonprobability sampling techniques with convenience sampling analysis done using Structural Equation Model. Validity test results indicated that there are two items which invalid on variable support for the organization, as well as one item statement on performance variables. The test results by using SEM analysis is known that transformational leadership does not directly influence the performance of lecturer and staff, but indirectly affect by mediated with the support for innovation in organization variable. Transformtional leadership effect on support for innovation in organization, as well as support for innovation in organization variable fully mediated the effect of transformational leadership on the performance of lecturer and staff at the University of Lampung.
Keyword: transformational leadership, support for innovation in organization, performance",archive,2017-05-31 02:10:45,"Universitas Sebelas Maret, Indonesia",published,The 13th Annual World Congress of The Academy for Global Business Advancement (AGBA),2104,,,,,,,,,,,,,,,,,,
15,public,http://repository.lppm.unila.ac.id/id/eprint/4739,TRUE,pub,"[{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'eprintid': 4739, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17656', 'main': 'PERILAKU PENIPUAN DIRI DI BURSA SAHAM.docx', 'docid': 17656, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 46289, 'hash': '0085a7726fd437513e40520b6529534c', 'filename': 'PERILAKU PENIPUAN DIRI DI BURSA SAHAM.docx', 'mtime': '2017-11-06 08:19:12', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 14724, 'objectid': 17656, 'uri': 'http://repository.lppm.unila.ac.id/id/file/46289'}]}, {'main': 'cover.jpg', 'docid': 17657, 'files': [{'mime_type': 'image/jpeg', 'fileid': 46292, 'filename': 'cover.jpg', 'hash': '33b022fe78b6d861c0eb26a4399d9ec6', 'mtime': '2017-11-06 08:19:31', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 4092906, 'objectid': 17657, 'uri': 'http://repository.lppm.unila.ac.id/id/file/46292'}], 'pos': 2, 'format': 'image', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17657', 'rev_number': 1, 'eprintid': 4739, 'placement': 2, 'security': 'public', 'language': 'en', 'mime_type': 'image/jpeg'}]",,,2017-11-07 08:06:44,['expert'],1084,2017-11-07 08:06:44,2016-11-01 00:00:00.000000000,disk0/00/00/47/39,"[{'id': 'mahapaksi@yahoo.com', 'name': {'given': 'Mahatma', 'family': 'Kufepaksi', 'honourific': None, 'lineage': None}}]","['FEB3', 'FEB6']",book,16,,show,,PERILAKU PENIPUAN DIRI DI BURSA SAHAM,"['H1', 'HB', 'HC', 'HJ']",Ilmu keuangan keperilakuan (behavior finance) merupakan cabang ilmu keuangan yang mempelajari perilaku investor tidak rasional di bursa saham. Salah satu bahasan dalam behavior finance adalah perilaku overconfident. Perilaku overconfident mencerminkan perilaku penipuan diri (self deception) karena investor overconfident biasanya memberi penilaian yang berlebih pada ketepatan pengetahuan dan  informasi yang dimiliki dan mengabaikan informasi lain yang tersedia sehingga 	menimbulkan persepsi bahwa investor memiliki kemampuan diatas rata-rata. Fakta menunjukkan bahwa perilaku overconfident menghasilkan keputusan yang bias dan tidak akurat. Keputusan yang tidak akurat menyebabkan kerugian karena saham dibeli lebih tinggi atau  saham dijual lebih rendah dari harga fundamentalnya.,archive,2017-11-07 08:06:44,,published,,4739,978-602-18166-1-5,Bandar Lampung,,mahapaksi@yahoo.com,0.0,expert,,,1.0,"[{'type': 'pub', 'url': 'http://www.mediaakademi.com'}]",http://www.mediaakademi.com,25 cm,,,Edisi Pertama,,,
16,public,http://repository.lppm.unila.ac.id/id/eprint/1795,TRUE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 1795, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1664', 'rev_number': 1, 'docid': 1664, 'main': 'artikel prosiding AGBA ZAINNUR M RUSDI.pdf', 'files': [{'objectid': 1664, 'uri': 'http://repository.lppm.unila.ac.id/id/file/12505', 'fileid': 12505, 'mime_type': 'application/pdf', 'mtime': '2017-05-29 04:42:18', 'hash_type': 'MD5', 'hash': '86d305613095444b2c782d801c0153c2', 'filename': 'artikel prosiding AGBA ZAINNUR M RUSDI.pdf', 'datasetid': 'document', 'filesize': 1081920}]}]",paper,2702-2712,2017-05-29 05:53:57,,530,2017-05-29 05:53:57,2016-11-26 00:00:00.000000000,disk0/00/00/17/95,"[{'id': 'zainnur@gmail.com', 'name': {'given': 'Zainnur', 'honourific': None, 'family': 'M Rusdi', 'lineage': None}}, {'id': None, 'name': {'family': 'Handoko', 'honourific': None, 'lineage': None, 'given': 'T Hani'}}]",['FEB6'],conference_item,9,conference,show,,"THE INFLUENCE OF NARCISSISM ON COUNTERPRODUCTIVE WORK
BEHAVIOR: THE ROLE OF ORGANIZATIONAL JUSTICE AS MODERATOR",['AC'],"Narcissism is one of personality traits. Narcissist is likely to involved in aggressive behavior and
other deviants when ego is threatened. Ego threat will lead to counterproductive work behavior
that harm organization. Counterproductive work behavior is often linked to organizational
justice, because someone will involved in counterproductive work behavior when perceived
injustice in workplace. Perceived injustice will strengthen the influence of narcissism on
counterproductive work behavior.
This study is aimed to examine the influence of narcissism on counterproductive work behavior
and to analyze the role of organizational justice (distributive justice, procedural justice, and
interactional justice) as moderator.The results indicates that narcissism did not influence
counterproductive work behavior, in addition, distributive justice and procedural justice did not
moderate the positive influence of narcissism on counterproductive work behavior. However,
interactional justice moderated the positive influence of narcissism on counterproductive work
behavior.
Keywords: counterproductive work behavior, justice, moderated and narcissism.",archive,2017-05-29 05:53:57,"Solo, Indonesia",published,Refereed Proceedings of the 13th Annual World Congress of the Academy for Global Business Advancement (AGBA),1795,,,,,,,,,,,,,,,,,,
17,public,http://repository.lppm.unila.ac.id/id/eprint/17979,,inpress,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31123', 'rev_number': 1, 'docid': 31123, 'main': 'Man.%20PEm.%20usaha%20koperasi.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/151428', 'objectid': 31123, 'filesize': 14397994, 'datasetid': 'document', 'hash': '24132e9e4ac3d6d776f0779f2a43aeb1', 'filename': 'Man.%20PEm.%20usaha%20koperasi.pdf', 'mtime': '2020-02-12 09:26:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 151428}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 17979, 'placement': 1, 'security': 'public'}]",,,2020-02-14 06:58:53,,993,2020-02-14 06:58:53,2016-11-01 00:00:00.000000000,disk0/00/01/79/79,"[{'id': 'pr1nch1t4@yahoo.com', 'name': {'given': 'NAHRINASARI', 'lineage': None, 'family': 'MS', 'honourific': None}}]",['FEB6'],monograph,7,,show,,Manajemen Pemasaran Usaha Koperasi,['H1'],"Pelanggan usaha koperasi dalam era persaingan bebas sangat menginginkan terjadinya pertukaran ekonomi antara penjual dan pembeli atau antara produsen dan konsumen secara efektif, efisien, dan ekonomis. Oleh karena itu, tugas pokok koperasi khususnya dalam pelayanan waserba harus memberikan pelayanan secara terintegrasi dalam pengadaan sarana produksi (saprotan) dan pemasaran hasil produksi usahatani akan lebih mampu bersaing dan lebih memberikan manfaat bagi anggotanya terutama dalam upaya memotivasi peningkatan produksi dan pendapatan.  Artinya, sebagai suatu lembaga ekonomi yang berorientasi pada pemberian palayanan kepada unit usaha anggotanya, maka perusahaan koperasi perlu merencanakan dan melaksanakan strategi pemasaran usaha koperasi yang paling tepat untuk mampu bersaing dan menguntungkan bagi usaha anggota, yakni tersedianya saprotan yang memadai dengan harga yang layak dan stabil serta ketersediaan koperasi untuk membeli hasil usaha tani dengan fasilitas pemasaran, harga dan sistem pembayaran yang dapat diterima oleh anggota. Petani jagung sebgai anggota koperasi untuk melakukan transaksi pemasaran atau penjualan hasil produksinya melalui KUD atau pesaing dipengaruhi oleh perbedaan harga penjualan, kualitas pelayanan dan keterikatannya pada pesaing. Agar KUD dapat memiliki efisiensi usaha dan efisiensi pelayanan yang lebih baik dari pesaing dan dapat memberikan kepuasan, baik pelanggannya, sehingga menjadi langganan yang setia (customer/patronage), maka perlu dikembangkan strategi pemasaran yang jitu dalam manajemen koperasi",archive,2020-02-14 06:58:53,,published,,17979,,Bandarlampung,,,237.0,"Aura, CV Anugrah Utama Raharja, Anggota IKAPI No. 003/LPU/2013",,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/EDT', 'id': 'pr1nch1t4@yahoo.com', 'name': {'honourific': None, 'family': 'MS', 'lineage': None, 'given': 'MAHRINASARI'}}]",ISBN: 978-602-6238-93-1,,working_paper,Jurusan Manajemen,"Fakultas Ekonomi dan Bisnis, Universitas Lampung"
18,public,http://repository.lppm.unila.ac.id/id/eprint/2379,FALSE,unpub,"[{'placement': 1, 'security': 'public', 'eprintid': 2379, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 2263, 'uri': 'http://repository.lppm.unila.ac.id/id/file/16502', 'datasetid': 'document', 'filesize': 913307, 'mime_type': 'application/pdf', 'fileid': 16502, 'hash': '0f7eff2126fbe42b1d37a022fa50748c', 'filename': 'JURNAL PENELITIAN SOLO PANJI .pdf', 'hash_type': 'MD5', 'mtime': '2017-05-31 04:11:17'}], 'main': 'JURNAL PENELITIAN SOLO PANJI .pdf', 'docid': 2263, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2263', 'pos': 1, 'format': 'text'}, {'security': 'public', 'placement': 2, 'eprintid': 2379, 'language': 'en', 'mime_type': 'image/jpeg', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/16505', 'objectid': 2264, 'hash_type': 'MD5', 'mtime': '2017-05-31 04:11:59', 'hash': 'e8a3cd1b9b9bd4c5e9157762323ba7fc', 'filename': 'sertifikat seminar internasional agba.jpeg', 'fileid': 16505, 'mime_type': 'image/jpeg', 'filesize': 493623, 'datasetid': 'document'}], 'main': 'sertifikat seminar internasional agba.jpeg', 'docid': 2264, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2264', 'rev_number': 1, 'format': 'image', 'pos': 2}]",paper,,2017-06-02 06:54:56,,19,2017-06-02 06:54:56,2016-11-26 00:00:00.000000000,disk0/00/00/23/79,"[{'id': 'prakarsapanjinegara@gmail.com', 'name': {'given': 'PRAKARSA', 'lineage': None, 'honourific': None, 'family': 'PANJINEGARA'}}]",['FEB6'],conference_item,8,conference,show,"NOVEMBER, 26-27, 2016",ANALYSIS OF RETURN STOCKS AFFECTED BY STOCK TRADING SUSPENSION IN INDONESIA STOCK EXCHANGE,['AC'],"Suspension is a temporary suspended of shares trading in the Securities Exchange‭. ‬The termination can be caused due to the request of the Issuer itself or the stock decision in order to provide protection to investors or it may be due to the imposition of sanctions by the Stock Exchange to an Issuer. Information about the suspension is the category of Bad News, in general, will lead to the decline in return stock to the companies that affected by the suspension. 
This research is an event study that refers to an occurrence which allegedly that will affect the decision making of investors to buy the shares. The results of the study showed information the suspension of the company cause fluctuations in the return stock suspension and inflicted the negative abnormal return",archive,2017-06-02 06:54:56,SOLO - INDONESIA,published,The AGBA 13TH Annual World Congress,2379,,,,,,,,,,,,,,,,,,
19,public,http://repository.lppm.unila.ac.id/id/eprint/2423,TRUE,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2303', 'rev_number': 1, 'docid': 2303, 'main': 'BUKU AJAR MANAJEMEN KEUANGAN INTERNASIONAL.pdf', 'files': [{'datasetid': 'document', 'filesize': 1230186, 'mime_type': 'application/pdf', 'fileid': 16774, 'filename': 'BUKU AJAR MANAJEMEN KEUANGAN INTERNASIONAL.pdf', 'hash': 'a6b5fcf1c28d4c81350900aebb53e58a', 'hash_type': 'MD5', 'mtime': '2017-05-31 04:58:38', 'objectid': 2303, 'uri': 'http://repository.lppm.unila.ac.id/id/file/16774'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 2423, 'security': 'public', 'placement': 1}]",,,2017-06-02 07:34:17,,19,2017-06-02 07:34:17,2016-11-16 00:00:00.000000000,disk0/00/00/24/23,"[{'id': 'prakarsapanjinegara@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'PANJINEGARA', 'given': 'PRAKARSA'}}]",['FEB6'],book,7,,show,,BUKU AJAR MANAJEMEN KEUANGAN INTERNASIONAL,['AC'],,archive,2017-06-02 07:34:17,,published,,2423,978-602-1612-03-3,"UNIVERSITAS LAMPUNG - LAMPUNG, INDONESIA",,,96.0,AURA (CV. ANUGRAH UTAMA RAHARJA,,,,,,,,,1,,,
20,public,http://repository.lppm.unila.ac.id/id/eprint/1609,TRUE,pub,"[{'eprintid': 1609, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 1473, 'main': 'Journal SHIELD-DOROTHY PANDJAITAN.pdf', 'files': [{'datasetid': 'document', 'filesize': 174484, 'fileid': 11116, 'mime_type': 'application/pdf', 'mtime': '2017-05-05 03:27:20', 'hash_type': 'MD5', 'hash': '73490b2344f5302114a124a78a842285', 'filename': 'Journal SHIELD-DOROTHY PANDJAITAN.pdf', 'objectid': 1473, 'uri': 'http://repository.lppm.unila.ac.id/id/file/11116'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1473'}]",paper,,2017-05-05 03:39:26,,253,2017-05-05 03:39:26,2016-11-02 00:00:00.000000000,disk0/00/00/16/09,"[{'id': 'dorothy_rouly@yahoo.com', 'name': {'honourific': None, 'family': 'Pandjaitan', 'lineage': None, 'given': 'Dorothy Rouly H.'}}]",['FEB6'],conference_item,8,conference,show,2 NOVEMBER 2016,"Children Response to Co Branded Products 
(Survey on Bandar Lampung McDonald`s Happy Meal Buyer)",['AC'],"Dorothy Rouly Haratua Pandjaitan, “Children Respone to CoBranded Products (Survey on Bandar Lampung McDonald`s Happy Meal Buyer)”
Purpose – The purpose of this study is to represent the empirical studies of  co-branding strategy whose target is children. Another purpose of this studies is to analyze the potential of cobranded strategy and the implication on both brand owner. 
Methodology – The method that used to gather the information for this research is loyalty-based survey on the parent of children that buying Mc Donald`s Happy Meal and will be used to represent children`s behavior towards product quality, consumer satisfactory, and loyalty on McDonald and Disney co branded products. 
Findings – The findings confirmed that, the Co-Branding strategy of McDonald and Disney have a positive and significance influence on both brand, either from consumer satisfactory point of view or from consumer loyalty point of view. Based on theoretical view, children can evaluate two different brand simultaneously even when they using product of only one brand only.
Limitation – The main limitation of this study is the sample were taken from just one region only and only tested without considering other variable beside product quality, consumer satisfaction and cosumer loyalty. Advanced study is required for further comprehend of childred based marketing concept.  
Practical Implication – From this study can be concluded that, a product marketing strategy with children as the target can be widely expanded if the brand owner willing to cooperate with another brand owner in CoBranding strategy.
In this study there is finding that parents ought to have concerned in choicing co-branded product that will not cause harm to the children`s health, because basicly all children enjoying fastfood product only based on the taste and the souvenir they got form the package. Based on that matters the fastfood should have evaluate their strategy that they use and the product they sell so the parents can still feel safe when their children consuming fastfood product.

Keyword: Co-Branding, Product Quality, Consumer Satisfaction, Consumer Loyalty",archive,2017-05-05 03:39:26,BANDAR LAMPUNG,published,SHIELD CONFERENCE 2016,1609,,,,,,,,,,,,,,,,,,
