,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,date_type,ispublished,documents,publisher,uri,full_text_status,refereed,lastmod,userid,datestamp,pagerange,publication,creators,issn,date,dir,type,divisions,number,official_url,volume,related_url,monograph_type,id_number,pages,contributors,corp_creators,event_type,event_dates,event_location,event_title,pres_type,place_of_pub,contact_email,keywords,isbn,book_title,institution,department,editors,series
21,2019_Prosiding_Pengabdian_Semnasfeb,8,show,2023-03-21 01:50:51,archive,['HD28'],,49055,,unpub,"[{'security': 'validuser', 'placement': 1, 'eprintid': 49055, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 4579444, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-03-21 00:57:55', 'hash': '1d24004e23c96ec216f44a8c615cf0d7', 'filename': '2019_Turnitin Prosiding Semnasfeb.pdf', 'fileid': 533405, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/533405', 'objectid': 188503}], 'main': '2019_Turnitin Prosiding Semnasfeb.pdf', 'docid': 188503, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188503', 'format': 'text', 'pos': 1}]",FEB Unila,http://repository.lppm.unila.ac.id/id/eprint/49055,restricted,,2023-03-21 01:50:51,108,2023-03-21 01:50:51,,,"[{'name': {'given': 'Keumala', 'family': 'Hayati', 'honourific': None, 'lineage': None}, 'id': 'umi_asra@yahoo.co.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Ambarwati', 'given': 'Dwi Asri Siti'}, 'id': 'dwiasrisitiambarwati@gmail.com'}, {'name': {'given': 'Kussuyatmono Bagus', 'lineage': None, 'family': 'Wardianto', 'honourific': None}, 'id': 'kussuyatmono.bagus@fisip.unila.ac.id'}, {'id': 'igoc4n@gmail.com', 'name': {'honourific': None, 'family': 'Caniago', 'lineage': None, 'given': 'Indra'}}]",,1970-01-01 00:00:00.000002019,disk0_bak/00/04/90/55,other,['FEB6'],,,,,,,,,,,,,,,,,,,,,,,
22,PELATIHAN KEBERTAHANAN HIDUP USAHA MIKRO BINAAN LEMBAGA ZAKAT,10,show,2019-11-05 10:59:09,archive,"['H1', 'HD28', 'HF', 'HN']","Lembaga zakat merupakan salah satu lembaga yang melakukan pemberdayaan masyarakat miskin. Kegiatan Pengabdian Kepada Masyarakat (PKM) ini bekerjasama dengan lembaga Zakat Nasional (Laznas) IZI Cabang Lampung. Salah satu upaya pemberdayaan masyarakat miskin yang dilakukan Laznas IZI adalah pemberdayaan usaha. Dalam hal pemberdayaan usaha bagi masyarakat miskin, tentunya dibutuhkan banyak bantuan agar usaha yang dikembangkan dapat bertahan hidup. PKM ini ikut membantu memberdayakan usaha masyarakat miskin dengan memberikan pelatihan yang dibutuhkan usaha mikro agar bertahan hidup. Diantara pengetahuan yang dibutuhkan adalah motivasi berinovasi, pemasaran dan inovasi produk, standarisasi produk serta pengelolaan modal usaha. Hasil pelatihan menunjukkan peserta sangat antusias dan  pengetahuan usaha mereka lebih meningkat.",15452,,submitted,"[{'docid': 28575, 'main': 'Artikel semnasfeb Keumala Hayati.pdf', 'files': [{'fileid': 133174, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-04 14:27:21', 'filename': 'Artikel semnasfeb Keumala Hayati.pdf', 'hash': '4ec65873fd38834fffc73aadda9eca1a', 'datasetid': 'document', 'filesize': 102725, 'objectid': 28575, 'uri': 'http://repository.lppm.unila.ac.id/id/file/133174'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28575', 'rev_number': 1, 'eprintid': 15452, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,http://repository.lppm.unila.ac.id/id/eprint/15452,public,TRUE,2019-11-05 10:59:09,108,2019-11-05 10:59:09,,,"[{'name': {'family': 'Hayati', 'honourific': None, 'lineage': None, 'given': 'Keumala'}, 'id': 'umi_asra@yahoo.co.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Ambarwati', 'given': 'Dwi Asri Siti'}, 'id': 'dwiasrisitiambarwati@gmail.com'}, {'name': {'given': 'Kussuyatmono Bagus', 'family': 'Wardianto', 'honourific': None, 'lineage': None}, 'id': 'kussuyatmono.bagus@fisip.unila.ac.id'}, {'id': 'igoc4n@gmail.com', 'name': {'honourific': None, 'family': 'Caniago', 'lineage': None, 'given': 'Indra'}}]",,2019-10-24 00:00:00.000000000,disk0/00/01/54/52,conference_item,['FEB6'],,,,,,,,,,conference,24 Oktober 2019,Indonesia,Seminar Nasional FEB Unila 2019,paper,,,,,,,,,
23,Turnitin Prosiding SEFILA 2019,8,show,2023-03-21 01:50:48,archive,['HD28'],,49054,,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'validuser', 'eprintid': 49054, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188502', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 1075583, 'fileid': 533397, 'mime_type': 'application/pdf', 'mtime': '2023-03-21 00:47:54', 'hash_type': 'MD5', 'hash': '581b3dcef6e71b845a3068f1e4a8563f', 'filename': '2019_Prosiding SEFILA artikel Keumala Hayati Turnitin.pdf', 'objectid': 188502, 'uri': 'http://repository.lppm.unila.ac.id/id/file/533397'}], 'docid': 188502, 'main': '2019_Prosiding SEFILA artikel Keumala Hayati Turnitin.pdf'}]",SEFILA 3 Fisip Unila,http://repository.lppm.unila.ac.id/id/eprint/49054,restricted,,2023-03-21 01:50:48,108,2023-03-21 01:50:48,,,"[{'name': {'lineage': None, 'family': 'Hayati', 'honourific': None, 'given': 'Keumala'}, 'id': 'umi_asra@yahoo.co.id'}, {'id': 'igoc4n@gmail.com', 'name': {'honourific': None, 'family': 'Caniago', 'lineage': None, 'given': 'Indra'}}]",,1970-01-01 00:00:00.000002019,disk0_bak/00/04/90/54,other,['FEB6'],,,,,,,,,,,,,,,,,,,,,,,
24,CEK PLAGIARISME: Cash holdings estimation model for non-financial companies in Indonesia,8,show,2023-04-10 07:11:03,archive,"['H1', 'HJ']",,50058,,unpub,"[{'eprintid': 50058, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '#2020 Cash holdings estimation model for non-financial companies in Indonesia.pdf.pdf', 'docid': 189754, 'files': [{'filesize': 1057091, 'datasetid': 'document', 'hash': '95ccc16cc6343df1e665ddfafd4320d6', 'filename': '#2020 Cash holdings estimation model for non-financial companies in Indonesia.pdf.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-10 05:57:26', 'mime_type': 'application/pdf', 'fileid': 541483, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541483', 'objectid': 189754}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189754', 'rev_number': 1}]",ICEBE 2019,http://repository.lppm.unila.ac.id/id/eprint/50058,public,,2023-04-10 07:11:03,667,2023-04-10 07:11:03,,,"[{'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'given': 'Ernie', 'honourific': None, 'family': 'Hendrawaty', 'lineage': None}}]",,2019-11-01 00:00:00.000000000,disk0_bak/00/05/00/58,other,['FEB6'],,,,,,,,,,,,,,,,,,,,,,,
25,VALUE OF EXCESS CASH HOLDINGS OF FINANCIALLY UNCONSTRAINED COMPANIES,7,show,2020-07-09 03:56:26,archive,['HG'],"This study provides an investigation into the link between financial constraints and cash holdings from the perspective of a developing country. It is based on the view that managers acting as agents are managing firms on behalf of shareholders, which is leading to agency conflicts and hence giving rise to the Free Cash Flow
hypothesis. In addition, the management of cash looks at liquidity as well as the resources of a firm in order
to invest in future growth. The current study thus provides
a comparison  of the value of excess cash holdings by examining the impact of financial constraints.
Theanalys is is based on a single dimension, as well
as multiple criteria dimensions, where the findings 
indicate that excess cash holding is less valuable for
unconstrained companies.

This suggests that agency problems are the main motives
behind excess cash holdings for these companies.
Furthermore, the findings indicate that the values are
large for constrained firms providing insights into
the need for managers of these companies to evaluate cash management strategies in order to enhance corporate value.
Furthermore, it provides useful insight for regulators
as well as shareholders in terms of the importance
of governing and regulating capital markets in the context
of a developing country despite having significantly
lower balances relative to developed markets.",23060,published,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 23060, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/211486', 'objectid': 36615, 'mtime': '2020-07-09 03:10:44', 'hash_type': 'MD5', 'filename': '1.PENILAIAN RIVIWER PENELITIAN  ERNIE HENDRAWATI.pdf', 'hash': 'e104e7e450e8fd27b3b192af29848aeb', 'fileid': 211486, 'mime_type': 'application/pdf', 'filesize': 408830, 'datasetid': 'document'}], 'docid': 36615, 'main': '1.PENILAIAN RIVIWER PENELITIAN  ERNIE HENDRAWATI.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36615', 'pos': 1, 'format': 'text'}]",Contemporary Economics,http://repository.lppm.unila.ac.id/id/eprint/23060,public,,2020-07-09 03:56:26,667,2020-07-09 03:56:26,,,"[{'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'given': 'Ernie', 'lineage': None, 'honourific': None, 'family': 'Hendrawaty'}}]",,2019-09-01 00:00:00.000000000,disk0/00/02/30/60,other,['FEB6'],,,,,,DOI:  10.5709/ce.1897-9254.314,,,,,,,,,Warsawa,,,,,,,,
26,Value of Excess Cash Holdings of Financially Unconstrained Companies,15,show,2020-02-14 07:04:29,archive,['HG'],"This study provides an investigation into the link between financial constraints and cash holdings from the perspective of a developing country. It is based on the view that managers acting as agents are managing firms on behalf of shareholders, which is leading to agency conflicts and hence giving rise to the Free Cash Flow hypothesis. In addition, the management of cash looks at liquidity as well as the resources of a firm in order to invest in future growth. The current study thus provides a comparison of the value of excess cash holdings by examining the impact of financial constraints. The analysis is based on a single dimension, as well as multiple criteria dimensions, where the findings indicate that excess cash holding is less valuable for unconstrained companies. This suggests that agency problems are the main motives behind excess cash holdings for these companies. Furthermore, the findings indicate that the values are large for constrained firms providing insights into the need for managers of these companies to evaluate cash management strategies in order to enhance corporate value. Furthermore, it provides useful insight for regulators as well as shareholders in terms of the importance of governing and regulating capital markets in the context of a developing country despite having significantly lower balances relative to developed markets.",17182,published,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 17182, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 145725, 'filename': 'Ernie Hendrawaty (2019).pdf', 'hash': '00b3c1e0d32aa2af5210cc20f3d5cd26', 'hash_type': 'MD5', 'mtime': '2019-11-27 20:41:55', 'datasetid': 'document', 'filesize': 376477, 'objectid': 30285, 'uri': 'http://repository.lppm.unila.ac.id/id/file/145725'}], 'docid': 30285, 'main': 'Ernie Hendrawaty (2019).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30285', 'format': 'text', 'pos': 1}]","Faculty of Management and Finance, University of Economics and Human Sciences in Warsaw",http://repository.lppm.unila.ac.id/id/eprint/17182,public,TRUE,2020-02-14 07:04:29,667,2020-02-14 07:04:29,293-304,Contemporary Economics,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hendrawaty', 'given': 'Ernie'}, 'id': 'ehendrawaty@gmail.com'}]",2300-8814,2019-09-30 00:00:00.000000000,disk0/00/01/71/82,article,['FEB6'],3,http://www.ce.vizja.pl/en/issues/volume/13/issue/3#art578,13,"[{'url': 'http://www.ce.vizja.pl/en/issues/volume/13/issue/3#art578', 'type': 'org'}]",,DOI:10.5709/ce.1897-9254.314,,,,,,,,,,ernie.hendrawaty@feb.unila.ac.id,"Cash holdings, financial constraints, firm value.",,,,,,
27,CEK PLAGIARISM: Adoption of digital finance service in Indonesia: An empirical examination of an extended technological acceptance model,9,show,2023-04-10 07:11:00,archive,"['H1', 'HJ']",,50056,,unpub,"[{'eprintid': 50056, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '#2020A~1.PDF', 'docid': 189752, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/541467', 'objectid': 189752, 'mtime': '2023-04-10 05:49:48', 'hash_type': 'MD5', 'hash': 'bcff73155bd8d11b3dcb2d0c433bca1e', 'filename': '#2020A~1.PDF', 'fileid': 541467, 'mime_type': 'application/pdf', 'filesize': 2310540, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189752'}]",ICEBE 2019,http://repository.lppm.unila.ac.id/id/eprint/50056,public,,2023-04-10 07:11:00,667,2023-04-10 07:11:00,,,"[{'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'given': 'Ernie', 'lineage': None, 'honourific': None, 'family': 'Hendrawaty'}}, {'name': {'given': 'Satria', 'lineage': None, 'honourific': None, 'family': 'Bangsawan'}, 'id': 'satria.bangsawan@feb.unila.ac.id'}]",,2019-11-01 00:00:00.000000000,disk0_bak/00/05/00/56,other,['FEB6'],,,,,,,,,,,,,,,,,,,,,,,
28,INVESTOR SENTIMENTS AND INITIAL PUBLIC OFFERINGS NEWS IN SOCIAL MEDIA,7,show,2020-02-17 03:42:04,archive,['HG'],"Social media has provided the opportunity for companies to build self-image and also to stimulate significant attention and positive emotional responses to a passive participant. This practice is characterized by communication, comments, mention, reactions towards information and expression of sentiments, hence, an increase in the number of companies with public interest and media coverage has a direct influence on the investors. The purpose of this study, therefore, is to determine the effect of social media on investor sentiment in the Indonesian capital market in order to obtain an overview to follow the market and predict future returns stock and trade volumes. The results showed that the neutral sentiment does not affect the stock trading volume, which was the inverse for the negative and positive sentiments, although they collectively had no effect on returns stock on Instagram.",17184,completed,inpress,"[{'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'eprintid': 17184, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30287', 'rev_number': 1, 'docid': 30287, 'main': '#2 INVESTOR SENTIMENTS - Manuscript_FINAL.docx', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-27 21:43:43', 'hash': '5513c060f9c0f4ff427fa0496969b251', 'filename': '#2 INVESTOR SENTIMENTS - Manuscript_FINAL.docx', 'fileid': 145739, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'filesize': 25939, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/145739', 'objectid': 30287}]}]",,http://repository.lppm.unila.ac.id/id/eprint/17184,public,FALSE,2020-02-17 03:42:04,667,2020-02-17 03:42:04,,,"[{'name': {'family': 'Hendrawaty', 'honourific': None, 'lineage': None, 'given': 'Ernie'}, 'id': 'ehendrawaty@gmail.com'}, {'name': {'given': 'Yuliansyah', 'honourific': None, 'family': 'Yuliansyah', 'lineage': None}, 'id': 'yuliansyah@feb.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Pranyoto', 'honourific': None, 'given': 'Edi'}, 'id': None}]",,2019-11-01 00:00:00.000000000,disk0/00/01/71/84,conference_item,['FEB6'],,,,,,,,,,conference,1 november 2019,"swisbel hotel, bandar lampung","The 2nd International Conference of Economics, Business and Entrepreneurship",paper,,ernie.hendrawaty@feb.unila.ac.id,,,,,,,
29,"Hasil Uji Similarity. Pengembangan Merek dan Pemanfaatan Sosial Media 
dalam Pemasaran Produk Rajutan Pada Kelompok Ibu Rumah Tangga 
di Kelurahan Enggal, Kecamatan Enggal,  Kota Bandar Lampung",8,show,2020-11-27 07:51:09,archive,['H1'],"Pemasaran produk rajutan yang dihasilkan oleh kelompok ibu rumah tangga di 
Kelurahan Enggal masih mengalami kendala dalam pemasarannya sehingga produk yang 
dihasilkan pada kegiatan pengabdian masyarakat tahap 1 hanya mengandalkan pemasaran 
secara konvensional melalui getok tular (word of mouth) dan belum memiliki merek yang 
membedakan produk dengan produk rajutan lainnya. Kendala lainnya adalah keterbatasan 
pengetahuan untuk menggunakan sosial media, sehingga sosial media tidak termanfaatkan 
dengan baik Merek diperlukan untuk membedakan produk rajutan yang dihasilkan oleh 
kelompok ibu rumah tangga di Kelurahan Enggal dengan kelompok lainnya serta menjamin 
kualitas produk yang dihasilkan. Selain itu, untuk memecahkan masalah pemasaran produk 
rajutan dapat memanfaatkan media sosial Instragram. Untuk mengatasi masalah tersebut, 
dilaksanakan kegiatan pelatihan pengembangan merek dan pemanfaatan sosial media pada 
tanggal 24 Agustus 2019 di Kelurahan Enggal, Kecamatan Enggal, Kota Bandar Lampung.",26828,published,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/40828', 'rev_number': 2, 'format': 'text', 'pos': 1, 'files': [{'mtime': '2020-11-27 07:31:02', 'hash_type': 'MD5', 'hash': '5818a6bf74612e736820fe99bf2714b9', 'filename': 'PENGEMBANGAN MEREK DAN PEMANFAATAN SOSMED_1.PDF', 'fileid': 240978, 'mime_type': 'application/pdf', 'filesize': 1518256, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/240978', 'objectid': 40828}], 'docid': 40828, 'main': 'PENGEMBANGAN MEREK DAN PEMANFAATAN SOSMED_1.PDF', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 26828}]",Fakultas Ekonomi dan Bisnis,http://repository.lppm.unila.ac.id/id/eprint/26828,public,TRUE,2020-11-27 07:51:09,588,2020-11-27 07:51:09,79-83,Prosiding Pengabdian Kepada Masyarakat,"[{'id': 'habibullah.jimad@gmail.com,', 'name': {'given': 'Habibullah', 'honourific': None, 'family': 'Jimad', 'lineage': None}}, {'id': 'yuningsihnangwie@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Yuningsih', 'given': 'Yuningsih'}}, {'id': None, 'name': {'honourific': None, 'family': 'Bursan', 'lineage': None, 'given': 'Rinaldi'}}, {'id': 'nova.mardiana@feb.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Mardiana', 'given': 'Nova'}}]",978-623-92193-0-7,2019-10-01 00:00:00.000000000,disk0/00/02/68/28,article,['FEB6'],,,,,,,,,,,,,,,,,,,,,,,
30,"Hasil review peer group. Pengembangan Merek dan Pemanfaatan Sosial Media dalam Pemasaran Produk Rajutan Pada Kelompok Ibu Rumah Tangga di Kelurahan Enggal, Kecamatan Enggal, Kota Bandar Lampung",6,show,2020-11-27 07:15:11,archive,['H1'],"Pemasaran produk rajutan yang dihasilkan oleh kelompok ibu rumah tangga di 
Kelurahan Enggal masih mengalami kendala dalam pemasarannya sehingga produk yang 
dihasilkan pada kegiatan pengabdian masyarakat tahap 1 hanya mengandalkan pemasaran 
secara konvensional melalui getok tular (word of mouth) dan belum memiliki merek yang 
membedakan produk dengan produk rajutan lainnya. Kendala lainnya adalah keterbatasan 
pengetahuan untuk menggunakan sosial media, sehingga sosial media tidak termanfaatkan 
dengan baik Merek diperlukan untuk membedakan produk rajutan yang dihasilkan oleh 
kelompok ibu rumah tangga di Kelurahan Enggal dengan kelompok lainnya serta menjamin 
kualitas produk yang dihasilkan. Selain itu, untuk memecahkan masalah pemasaran produk 
rajutan dapat memanfaatkan media sosial Instragram. Untuk mengatasi masalah tersebut, 
dilaksanakan kegiatan pelatihan pengembangan merek dan pemanfaatan sosial media pada 
tanggal 24 Agustus 2019 di Kelurahan Enggal, Kecamatan Enggal, Kota Bandar Lampung.   
Kata kunci: merek, sosial media, pemasaran produk, ibu rumah tangga",26824,published,pub,"[{'main': 'Peer Review 6. Pengembangan Merek.pdf', 'docid': 40823, 'files': [{'fileid': 240946, 'mime_type': 'application/pdf', 'mtime': '2020-11-27 07:07:18', 'hash_type': 'MD5', 'filename': 'Peer Review 6. Pengembangan Merek.pdf', 'hash': 'a462410a80ba180785722e09a67a9a62', 'datasetid': 'document', 'filesize': 506861, 'objectid': 40823, 'uri': 'http://repository.lppm.unila.ac.id/id/file/240946'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40823', 'eprintid': 26824, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Fakultas Ekonomi dan Bisnis,http://repository.lppm.unila.ac.id/id/eprint/26824,public,TRUE,2020-11-27 07:15:11,588,2020-11-27 07:15:11,72-78,Prosiding Pengabdian Kepada Masyarakat,"[{'id': 'habibullah.jimad@gmail.com,', 'name': {'given': 'Habibullah', 'lineage': None, 'honourific': None, 'family': 'Jimad'}}, {'name': {'given': 'Yuningsih', 'family': 'Yuningsih', 'honourific': None, 'lineage': None}, 'id': 'yuningsihnangwie@yahoo.com'}, {'name': {'given': 'Rinaldi', 'family': 'Bursan', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'nova.mardiana@feb.unila.ac.id', 'name': {'given': 'Nova', 'honourific': None, 'family': 'Mardiana', 'lineage': None}}]",978-623-92193-0-7,2019-10-01 00:00:00.000000000,disk0/00/02/68/24,article,['FEB6'],,,,,,,,,,,,,,,,,,,,,,,
31,"Revisi. Pengembangan Merek dan Pemanfaatan Sosial Media 
dalam Pemasaran Produk Rajutan Pada Kelompok Ibu Rumah Tangga 
di Kelurahan Enggal, Kecamatan Enggal,  Kota Bandar Lampung",7,show,2020-12-08 02:35:59,archive,['H1'],"Pemasaran produk rajutan yang dihasilkan oleh kelompok ibu rumah tangga di 
Kelurahan Enggal masih mengalami kendala dalam pemasarannya sehingga produk yang 
dihasilkan pada kegiatan pengabdian masyarakat tahap 1 hanya mengandalkan pemasaran 
secara konvensional melalui getok tular (word of mouth) dan belum memiliki merek yang 
membedakan produk dengan produk rajutan lainnya. Kendala lainnya adalah keterbatasan 
pengetahuan untuk menggunakan sosial media, sehingga sosial media tidak termanfaatkan 
dengan baik Merek diperlukan untuk membedakan produk rajutan yang dihasilkan oleh 
kelompok ibu rumah tangga di Kelurahan Enggal dengan kelompok lainnya serta menjamin 
kualitas produk yang dihasilkan. Selain itu, untuk memecahkan masalah pemasaran produk 
rajutan dapat memanfaatkan media sosial Instragram. Untuk mengatasi masalah tersebut, 
dilaksanakan kegiatan pelatihan pengembangan merek dan pemanfaatan sosial media pada 
tanggal 24 Agustus 2019 di Kelurahan Enggal, Kecamatan Enggal, Kota Bandar Lampung.   
Kata kunci: merek, sosial media, pemasaran produk, ibu rumah tangga.",27057,published,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 27057, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41073', 'rev_number': 1, 'docid': 41073, 'main': 'Prosiding Pengabdian Habibullah 2019.pdf', 'files': [{'objectid': 41073, 'uri': 'http://repository.lppm.unila.ac.id/id/file/242568', 'fileid': 242568, 'mime_type': 'application/pdf', 'mtime': '2020-12-07 14:22:19', 'hash_type': 'MD5', 'hash': '25396b09293bd3cf21032dafc3cf3e7e', 'filename': 'Prosiding Pengabdian Habibullah 2019.pdf', 'datasetid': 'document', 'filesize': 788464}]}]",,http://repository.lppm.unila.ac.id/id/eprint/27057,public,TRUE,2020-12-08 02:35:59,588,2020-12-08 02:35:59,79-83,,"[{'name': {'given': 'Habibullah', 'honourific': None, 'family': 'Jimad', 'lineage': None}, 'id': 'habibullah.jimad@gmail.com,'}, {'id': 'yuningsihnangwie@yahoo.com', 'name': {'honourific': None, 'family': 'Yuningsih', 'lineage': None, 'given': 'Yuningsih'}}, {'id': None, 'name': {'given': 'Rinaldi', 'honourific': None, 'family': 'Bursan', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Mardiana', 'lineage': None, 'given': 'Nova'}, 'id': 'nova.mardiana@feb.unila.ac.id'}]",,2019-10-24 00:00:00.000000000,disk0/00/02/70/57,conference_item,['FEB6'],,,,,,,,,,conference,24 Oktober 2019,Horison Bandar Lampung,Seminar Nasional 2019 Pengabdian Kepada Masyarakat dan Penelitian Fakultas Ekonomi dan Bisnis Universitas Lampung,paper,,,,,,,,,
32,"PENGEMBANGAN MEREK DAN PEMANFAATAN SOSIAL MEDIA
DALAM PEMASARAN PRODUK RAJUTAN
PADA KELOMPOK IBU RUMAH TANGGA 
DI KELURAHAN ENGGAL, KECAMATAN ENGGAL,  
KOTA BANDAR LAMPUNG",8,show,2019-11-14 10:57:46,archive,['H1'],"Pemasaran produk rajutan yang dihasilkan oleh kelompok ibu rumah tangga di Kelurahan Enggal masih mengalami kendala dalam pemasarannya sehingga produk yang dihasilkan pada kegiatan pengabdian masyarakat tahap pertama hanya mengandalkan pemasaran secara konvensional melalui getok tular (word of mouth) dan belum memiliki merek yang membedakan produk dengan produk rajutan lainnya. Tujuan diadakannya pengabdian ini adalah memberikan tambahan pengetahuan,  kemampuan serta ide – ide bagi ibu rumah tangga yang ada di kelurahan Enggal untuk mengembangkan merek dan memasarkan produk rajutan yang telah dibuat sehingga dapat menambah pendapatan bagi keluarga. Hasil kegiatan pengabdian kepada masyarakat yang dilaksanakan di Kelurahan Enggal dapat dikatakan berhasil, berdasarkan beberapa indikator pencapaian, yaitu jumlah peserta pelatihan, ketercapaian tujuan, ketercapaian target penyampaian materi kegiatan pengabdian kepada masyarakat, penguasaan  peserta terhadap materi yang disampaikan, keaktifan peserta pelatihan dalam diskusi. Kegiatan pembinaan masih perlu dilakukan oleh tim pengabdian kepada masyarakat untuk meningkatkan motivasi ibu rumah tangga di Kelurahan Enggal agar kegiatan ini dapat menjadi usaha yang dapat ditekuni oleh Ibu rumah tangga dan memberikan solusi atas permasalahan yang dihadapi oleh ibu rumah tangga dalam memasarkan produk rajutannya. Kegiatan lanjutan masih diperlukan agar terbentuk kelompok usaha rajutan para Ibu rumah tangga serta membuka akses pembiayaan bagi kelompok rajutan yang dilaksanakan oleh ibu rumah tangga di Kelurahan Enggal, Kecamatan Enggal, Kota Bandar Lampung.
Kata Kunci: Merek, Pemasaran Produk, Sosial Media.",15751,,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28861', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 135420, 'filename': 'Pengabdian Habib semnas.docx', 'hash': '97f868b686d0aecd18968d29dba7f331', 'mtime': '2019-11-06 06:55:03', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 987181, 'objectid': 28861, 'uri': 'http://repository.lppm.unila.ac.id/id/file/135420'}], 'main': 'Pengabdian Habib semnas.docx', 'docid': 28861, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'security': 'public', 'placement': 1, 'eprintid': 15751}]",,http://repository.lppm.unila.ac.id/id/eprint/15751,public,TRUE,2019-11-14 10:57:46,588,2019-11-14 10:57:46,,,"[{'id': 'habibullah.jimad@gmail.com', 'name': {'given': 'Habibullah', 'family': 'Jimad', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Yuningsih', 'family': 'Yuningsih', 'honourific': None, 'lineage': None}, 'id': 'yuningsihnangwie@yahoo.com'}, {'id': 'Pemasaran produk rajutan yang dihasilkan oleh kelompok ibu rumah tangga di Kelurahan Enggal masih mengalami kendala dalam pemasarannya sehingga produk', 'name': {'honourific': None, 'family': 'Mardiana', 'lineage': None, 'given': 'Nova'}}, {'id': None, 'name': {'given': 'Rinaldi', 'lineage': None, 'family': 'Bursan', 'honourific': None}}]",,2019-10-24 00:00:00.000000000,disk0/00/01/57/51,conference_item,['FEB6'],,,,,,,,,,conference,,,Call for Papers dan Seminar Nasional Tahun 2019,paper,,,,,,,,,
