,date_type,eprintid,event_title,metadata_visibility,event_type,rev_number,official_url,title,abstract,subjects,status_changed,eprint_status,dir,date,creators,divisions,type,refereed,full_text_status,uri,pres_type,documents,ispublished,datestamp,pagerange,lastmod,userid,publisher,id_number,number,issn,publication,volume,related_url,corp_creators,patent_applicant,referencetext,keywords,contact_email,event_dates,event_location
10,published,23903,,show,,9,https://thesai.org/Publications/ViewIssue?volume=11&issue=8&code=IJACSA,Implementation of Forward Chaining and Certainty Factor Method on Android-Based Expert System of Tomato Diseases Identification,"Plant disease is one of the reasons that cause the destruction of plant. It affects plant productivity and quality. Most of the farmers made mistake in cope with this problem because of the lack of knowledge. Expert system is a solution that has been widely used for identifying disease. This paper presents an Android-based expert system to help identifying tomato diseases. Data used in this expert system consist of 16 data of tomato diseases, 53 data of symptoms, and 20 variety of rules. This paper implements forward chaining and certainty factor method. Forward chaining is used as a reasoning method to get the result of disease identification. Certainty factor is used as a calculation method to obtain accuracy degree of identification results. Testing has been done through two stages, internal and external. The result from internal testing shows that tomato expert system works properly and fit perfectly in various android devices. External testing is done by giving questionnaire to 44 respondents. The result of questionnaires shows that tomato expert system is categorized as “good” by them.",['T1'],2020-09-07 07:58:51,archive,disk0/00/02/39/03,1970-01-01 00:00:00.000002018,"[{'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'given': 'Kurnia', 'honourific': None, 'family': 'Muludi', 'lineage': None}}, {'name': {'family': 'Suharjo', 'honourific': None, 'lineage': None, 'given': 'Radix'}, 'id': 'radix.suharjo@fp.unila.ac.id'}, {'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'lineage': None, 'honourific': None, 'family': 'Admi Syarif'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Ramadhani', 'given': 'Fitria'}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/23903,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 23903, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/147969', 'rev_number': 1, 'docid': 147969, 'main': '0. JI_Terindeks_6_IJACSA 2018 - Lengkap.pdf', 'files': [{'objectid': 147969, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385556', 'mime_type': 'application/pdf', 'fileid': 385556, 'filename': '0. JI_Terindeks_6_IJACSA 2018 - Lengkap.pdf', 'hash': '778e3eda9b61dbe5eecdc146322b9956', 'mtime': '2021-06-15 07:09:14', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 3781239}]}]",pub,2020-09-07 07:58:51,451-456,2021-06-15 07:09:14,725,Science and Information Organization,10.14569/IJACSA.2018.090957,9.0,"2156-5570 (pISSN), 2158-107X (eISSN)",International Journal of Advanced Computer Science and Applications (IJACSA),9.0,,,,,,,,
11,,28343,,show,,8,http://doi.org/10.14569/IJACSA.2018.090957,Peer Review: Implementation of forward chaining and certainty factor method on Android-based expert system of tomato diseases identification,"Hypertension is still the number one killer disease in Indonesia, and hypertension sufferers have increased by 8.3% per year from 2013-2018. In 2018 the prevalence of hypertension in Indonesia reached 34.1% and affected about 20% of the world's population. Handling of hypertension sufferers can be done in two ways, namely modifying lifestyle and using drugs. Antihypertensive drugs that are given pay attention to age, history of the disease, smoking habits, obesity, and consider diseases such as diabetes, kidney, heart failure, and ischemic heart. Improper use of antihypertensive drugs often causes fever, diarrhea, diabetes, kidney failure, stress, breathing through the mouth, neurological disorders, radiation to the neck and head area, and localized disorders of the salivary glands. Doctors or medical personnel in providing antihypertensive drugs require good pharmacological knowledge. In general, not all hospitals have someone who is an expert in pharmacology. Therefore this study aims to develop a model based on Fuzzy Tsukamoto and Profile Matching for a recommendation of drug combinations, the suitability of dosage, and frequency in hypertensive patients. The results of the model evaluation show an accuracy of 97.5%",['TA'],2021-04-01 01:46:49,archive,disk0/00/02/83/43,2018-09-01 00:00:00.000000000,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Muludi', 'given': 'Kurnia'}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Suharjo', 'honourific': None, 'given': 'Radix'}, 'id': 'radix.suharjo@fp.unila.ac.id'}, {'id': 'admi_syarif@yahoo.com', 'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}}, {'name': {'family': 'Ramadhani', 'honourific': None, 'lineage': None, 'given': 'Fitria'}, 'id': None}]",['FMIPA3'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/28343,,"[{'docid': 42882, 'main': '9. ijacsa16_nilai.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-03-31 19:46:52', 'hash': '044909ba06db9a58027a6b896eb979fb', 'filename': '9. ijacsa16_nilai.pdf', 'fileid': 255522, 'mime_type': 'application/pdf', 'filesize': 2519782, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255522', 'objectid': 42882}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42882', 'rev_number': 1, 'eprintid': 28343, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2021-04-01 01:46:49,,2021-04-01 01:46:49,725,Science and Information Organization,DOI: 10.14569/IJACSA.2018.090957,,,,,,,,,,,,
12,published,14439,,show,,7,,"Similarity check of paper : Implementation of Two-Factor
Authentication (2FA) to Enhance the Security of Academic Information System",,['QA76'],2019-10-15 02:03:05,archive,disk0/00/01/44/39,1970-01-01 00:00:00.000002018,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'honourific': None, 'family': 'Nama', 'lineage': None}}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'given': 'Kurnia', 'lineage': None, 'family': 'Muludi', 'honourific': None}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/14439,,"[{'docid': 27516, 'main': 'Implementation_of_Two_Factor_Authentication__2FA_.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/125182', 'objectid': 27516, 'filesize': 4407847, 'datasetid': 'document', 'mtime': '2019-10-02 04:03:40', 'hash_type': 'MD5', 'filename': 'Implementation_of_Two_Factor_Authentication__2FA_.pdf', 'hash': 'ac8c581b45b4da42f46fe583947514b6', 'fileid': 125182, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27516', 'rev_number': 1, 'eprintid': 14439, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2019-10-15 02:03:05,,2019-10-15 02:03:05,883,,,8.0,,journal of engineering and applied science,13.0,,,,,,,,
13,,37342,,show,,6,,Perancangan Application Programming Interface (API) Berbasis Web Menggunakan Gaya Arsitektur Representational State Transfer (REST) Untuk Pengembangan Sistem Informasi Administrasi Pasien Klinik Perawatan Kulit,,['QA75'],2021-12-16 10:16:35,archive,disk0/00/03/73/42,1970-01-01 00:00:00.000002018,"[{'id': None, 'name': {'given': 'Beni Adi', 'honourific': None, 'family': 'Pranata', 'lineage': None}}, {'name': {'given': 'Astria', 'family': 'Hijriani', 'honourific': None, 'lineage': None}, 'id': 'astria.hijriani@fmipa.unila.ac.id'}, {'name': {'family': 'Junaidi', 'honourific': None, 'lineage': None, 'given': 'Akmal'}, 'id': 'akmal.junaidi@fmipa.unila.ac.id'}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/37342,,"[{'eprintid': 37342, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 158246, 'main': 'pranata2018-PAP_rest_API_klinik_penges.pdf', 'files': [{'filesize': 1943684, 'datasetid': 'document', 'hash': '772c36f79cd774b00ec198450652ef3d', 'filename': 'pranata2018-PAP_rest_API_klinik_penges.pdf', 'hash_type': 'MD5', 'mtime': '2021-12-16 08:44:12', 'mime_type': 'application/pdf', 'fileid': 427219, 'uri': 'http://repository.lppm.unila.ac.id/id/file/427219', 'objectid': 158246}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158246', 'rev_number': 1}]",pub,2021-12-16 10:16:35,33-42,2021-12-16 10:16:35,670,,,1.0,,Jurnal Komputasi,6.0,,,,,,,,
14,published,19843,,show,,12,https://jurnal.fmipa.unila.ac.id/komputasi/article/view/1688,ACCOUNTING INFORMATION SYSTEM ON MULTI COOPERATIVE USING LARAVEL FRAMEWORK,"A numerous multiple transaction will create difficulties in managing and obtaining information for cooperative. Lack of resource and which is expensive make cooperative difficult to build by themself. Thats why many cooperatives do not use software in managing finances. Accounting information system using SaaS (Software as a Service) model can be a solution of the problem. with the SaaS model, users do not need to buy the app but by just subscribing with the application directly can use the application. This paper describe how to develop accouting information system. Accounting information system already has accounting features according the accounting rules so that it will be easier to use and  can fasilitate the cooperative in making financial statements.",['QA75'],2020-05-18 02:22:47,archive,disk0/00/01/98/43,2018-10-01 00:00:00.000000000,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Rahmanda', 'given': 'Rafi Amalia'}}, {'id': 'tristiyanto.1981@fmipa.unila.ac.id', 'name': {'given': 'Tristiyanto', 'lineage': None, 'family': 'Tristiyanto', 'honourific': None}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/19843,,"[{'eprintid': 19843, 'placement': 1, 'security': 'public', 'language': 'id', 'mime_type': 'text/html', 'main': 1688, 'docid': 33146, 'files': [{'datasetid': 'document', 'filesize': 27497, 'mime_type': 'text/html', 'fileid': 187884, 'filename': 1688, 'hash': '0a2627512618ca603153d81008aadfaa', 'mtime': '2020-05-17 04:38:05', 'hash_type': 'MD5', 'objectid': 33146, 'uri': 'http://repository.lppm.unila.ac.id/id/file/187884'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33146', 'rev_number': 3}]",pub,2020-05-18 02:22:47,54-63,2020-05-18 02:22:47,139,Jurusan Ilmu Komputer Universitas Lampung,,2.0,2541-0350,Jurnal Komputasi,6.0,,,,,,,,
15,published,16293,,show,,7,,Aplikasi Pengenalan Tokoh Pahlawan Nasional Indonesia Pada Uang Kertas Menggunakan Augmented Reality Berbasis Android,,['QA75'],2019-11-14 11:22:57,archive,disk0/00/01/62/93,2018-10-13 00:00:00.000000000,"[{'id': 'rico.andrian@fmipa.unila.ac.id', 'name': {'given': 'RA', 'family': 'Rico Andrian', 'honourific': None, 'lineage': None}}, {'name': {'given': 'irwan', 'lineage': None, 'family': 'Irwan Adi Pribadi', 'honourific': None}, 'id': 'irwan_adipribadi@yahoo.co.id'}, {'name': {'honourific': None, 'family': 'Akmal Junaidi', 'lineage': None, 'given': 'Akmal'}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'id': None, 'name': {'given': 'abdurrahman', 'lineage': None, 'family': 'Abdurrahim Wahid Al-Afgani', 'honourific': None}}]",['FMIPA3'],patent,,public,http://repository.lppm.unila.ac.id/id/eprint/16293,,"[{'security': 'public', 'placement': 1, 'eprintid': 16293, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 770833, 'datasetid': 'document', 'filename': 'sertifikat_EC00201939790-tokoh pahlawan.pdf', 'hash': '27004dcb06f4c3fc7c95b4e4313ceae5', 'hash_type': 'MD5', 'mtime': '2019-11-13 10:31:57', 'mime_type': 'application/pdf', 'fileid': 139211, 'uri': 'http://repository.lppm.unila.ac.id/id/file/139211', 'objectid': 29398}], 'main': 'sertifikat_EC00201939790-tokoh pahlawan.pdf', 'docid': 29398, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29398', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,2019-11-14 11:22:57,,2019-11-14 11:22:57,262,,141873,,,,,,,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,,,,,
16,published,15994,,show,,11,,"Sistem Pakar Diagnosa Penyakit Pada Ular Dengan Metode
Forward Chaining",,['QA75'],2019-11-08 10:21:04,archive,disk0/00/01/59/94,2018-11-13 00:00:00.000000000,"[{'id': 'rico.andrian@fmipa@unila.ac.id', 'name': {'given': 'Rico', 'lineage': None, 'honourific': None, 'family': 'Rico Andrian, S.Si.,M.Kom'}}, {'id': 'bambang.hermanto@fmipa.unila.ac.id', 'name': {'given': 'Bambang', 'family': 'Bambang Hermanto', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'family': 'Tegar Ageng Khresna Ferrial', 'honourific': None, 'lineage': None, 'given': 'tegar'}}]",['FMIPA3'],patent,,public,http://repository.lppm.unila.ac.id/id/eprint/15994,,"[{'security': 'public', 'placement': 1, 'eprintid': 15994, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 137091, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-08 08:34:34', 'filename': 'sertifikat_EC00201941429-penyakit ular.pdf', 'hash': 'd26edffea1073811035d5e963b849b48', 'datasetid': 'document', 'filesize': 770227, 'objectid': 29086, 'uri': 'http://repository.lppm.unila.ac.id/id/file/137091'}], 'main': 'sertifikat_EC00201941429-penyakit ular.pdf', 'docid': 29086, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29086', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,2019-11-08 10:21:04,,2019-11-08 10:21:04,262,,143019,,,,,,,"EC00201941429, 28 Mei 2019",,,,,
17,published,30055,,show,,9,http://www.mecs-press.net/ijem/v8n6.html,Hotspot Sequence Patterns with an Improvement in Spatial Feature,"Forest fires in Sumatra and Kalimantan resulted in degradation of peatlands significantly. The strong indicator
of forest and land fires including in peatland can be identified using hotspots which occurred consecutively in 2
to 5 days. The previous studies have been conducted in mining sequence patterns on hotspot datasets in
Sumatra and Kalimantan. However, those studies applied the sequential pattern algorithms on the datasets
containing temporal and rough spatial features. This study aims to generate sequence pattern of hotspot datasets
using the SPADE algorithm with the improvement of the spatial feature. The study results in 892 1-frequent
sequences and 28 2-frequent sequence patterns at the minimum support of 0.02%. A total of 484 hotspots were
found from the 28 2-frequents sequence patterns, most of which were occurred in September to November
2014 and 2015. Central Kalimantan, Riau, and South Sumatra are the area where hotspots mostly occurred in
2014 and 2015. The visualization module for hotspot sequences was successfully developed in two iterations
using the JavaScript.","['QA75', 'SD']",2021-05-07 03:45:35,archive,disk0/00/03/00/55,2018-11-01 00:00:00.000000000,"[{'name': {'given': 'Imas Sukaesih', 'lineage': None, 'family': 'Sitanggang', 'honourific': None}}, {'name': {'given': 'Dewi Asiah', 'lineage': None, 'family': 'Shofiana', 'honourific': None}}, {'name': {'given': 'Boy Sandi Kristian', 'lineage': None, 'family': 'Sihombing', 'honourific': None}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/30055,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134923', 'docid': 134923, 'main': 'IJEM-V8-N6-2.pdf', 'files': [{'datasetid': 'document', 'filesize': 567283, 'mime_type': 'application/pdf', 'fileid': 356303, 'filename': 'IJEM-V8-N6-2.pdf', 'hash': '1162bbf508898a931dec3884cc5a0017', 'mtime': '2021-05-07 02:31:05', 'hash_type': 'MD5', 'objectid': 134923, 'uri': 'http://repository.lppm.unila.ac.id/id/file/356303'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 30055, 'security': 'public', 'placement': 1}]",pub,2021-05-07 03:45:35,13-25,2021-05-07 03:45:35,3222,MECS Press,10.5815/ijem.2018.06.02,6.0,2306-5982,International Journal of Engineering and Manufacturing,8.0,[{'url': 'http://www.mecs-press.net/ijem/v8n6.html'}],,,"[1] Abriantini G, Sitanggang IS, Trisminingsih R. Hotspot sequential pattern visualization in peatland of
Sumatera and Kalimantan using Shiny framework. IOP Conference Series: Earth and Environmental
Science 2017; 54:1-7.
[2] Agustina T, Sitanggang IS. Sequential patterns for hotspot occurences based weather data using Clospan
algorithm. International Conference on Adaptive and Intellegent Agroindustry (ICAIA) 2015; 3:301-305.
[3] Alnoukari M, Alzoabi Z, Hanna S. Applying adaptive software development (ASD) agile modelling on
predictive data mining applications: ASD-DM methodology. IEEE Proceedings of International
Symposium on Information Technology 2008; 1083-1087.
[4] Fournier-Viger P, Gomariz A, Gueniche T, Soltani A, Wu CW, Tseng VS. SPMF: A Java Open-Source
Pattern Mining Library 2014; available at http://www.jmlr.org/papers/
volume15/fournierviger14a/fournierviger14a.pdf
[5] Nurulhaq NZ, Sitanggang IS. Sequential pattern mining on hotspot data in Riau Province using the
PrefixSpan algorithm. International Conference on Adaptive and Intelligent Agro-industry (ICAIA)
2015;3:257-260.
[6] Pressman RS. Software engineering: A practitioner’s approach. 7th ed. New York: McGraw-Hill; 2010.
[7] Shi Y. A probability model for occurrences of large forest fires. I.J. Engineering and Manufacturing
2012; 2(1):1-7.
[8] Verma M, Mehta D. Sequential pattern mining: A comparison between GSP, SPADE, and PrefixSpan.
International Journal of Engineering Development and Research (IJEDR) 2014; 3016-3036.
[9] Zaki MJ. SPADE: An efficient algorithm for mining frequent sequences. Machine Learning 2001;
42:31-60.
[10] Zhao Q, Bhowmick SS. Sequential pattern mining: A survey. ITechnical Report CAIS Nayang
Technological University Singapore 2003; 1-26.","Hotspot
peatland fire
sequential pattern mining
SPADE",dewi.asiah@fmipa.unila.ac.id,,
18,published,16017,,show,,7,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1693/1339,ANALISIS MANAJEMEN RISIKO SISTEM INFORMASI KKN UNIVERSITAS LAMPUNG MENGGUNAKANMETODE NIST 800-30,,['QA76'],2019-11-08 10:27:40,archive,disk0/00/01/60/17,2018-10-01 00:00:00.000000000,"[{'name': {'family': 'Tristiyanto', 'honourific': None, 'lineage': None, 'given': 'Tristiyanto'}, 'id': 'tristiyanto.1981@fmipa.unila.ac.id'}, {'id': None, 'name': {'given': 'Aristoteles', 'lineage': None, 'family': 'Aristoteles', 'honourific': None}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16017,,"[{'files': [{'objectid': 29116, 'uri': 'http://repository.lppm.unila.ac.id/id/file/137294', 'datasetid': 'document', 'filesize': 581507, 'mime_type': 'application/pdf', 'fileid': 137294, 'filename': '1693-3876-1-PB.pdf', 'hash': 'a507e43fe1c794b203343db7a12393e4', 'mtime': '2019-11-08 09:43:50', 'hash_type': 'MD5'}], 'main': '1693-3876-1-PB.pdf', 'docid': 29116, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29116', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 16017, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2019-11-08 10:27:40,64-73,2019-11-08 10:27:40,215,Jurusan Ilmu Komputer Universitas Lampung,,2.0,2541-0350,Jurnal Komputasi,6.0,,,,,,,,
19,published,10328,The 2nd International Conference on Applied Sciences Mathematics and Informatics,show,conference,7,,Perceptions of Online Taxi Utilization In Bandar Lampung Using UTAUT Model (Unified Theory Of Acceptance And Use Of Technology),"The presence of online transport applications that allow transportation services can be booked and paid online has been rife in Indonesia, especially major cities since 2015. One of the transportation that can be ordered online is a taxi. Two major operators are Go-Jek and Grab. This study aims to determine the factors that affect the acceptance and use of online taxi in Bandar Lampung based on UTAUT and UTAUT2 models. The object of this research is customer and driver from Go-Car and GrabCar. The result of the research indicates that at research on customers using UTAUT2, almost all variables affect the acceptance and use of an online taxi, except price value that does not affect the acceptance and use of online taxi Go-Car. Furthermore, the research of the driver using UTAUT, the variable of performance expectancy, effort expectancy, and social influence have a positive effect to acceptance and use of Go-Car online taxi application, while the facilitating condition variable has no effect. On the other side, only social influence variables that affect the use and acceptance of the GrabCar, while the other three variables have no effect. So in general, Although both companies are rival, they have their own customer segmentation.",['QA75'],2018-11-19 09:16:11,archive,disk0/00/01/03/28,2018-08-01 00:00:00.000000000,"[{'id': 'tristiyanto.1981@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Tristiyanto', 'lineage': None, 'given': 'Tristiyanto'}}, {'name': {'family': 'Yushar', 'honourific': None, 'lineage': None, 'given': 'Fiska'}, 'id': 'yushar.fiska1156@students.unila.ac.id'}, {'name': {'given': 'Ardiansyah', 'lineage': None, 'honourific': None, 'family': 'Ardiansyah'}, 'id': 'ardiansyah@fmipa.unila.ac.id'}]",['FMIPA3'],conference_item,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/10328,paper,"[{'security': 'public', 'placement': 1, 'eprintid': 10328, 'mime_type': 'application/msword', 'language': 'en', 'files': [{'mime_type': 'application/msword', 'fileid': 96211, 'hash': '4e7da5cc470bb93a510db134dcc6f1c2', 'filename': '1570481912.doc', 'mtime': '2018-11-19 06:52:44', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 281088, 'objectid': 23314, 'uri': 'http://repository.lppm.unila.ac.id/id/file/96211'}], 'main': '1570481912.doc', 'docid': 23314, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23314', 'format': 'text', 'pos': 1}]",inpress,2018-11-19 09:16:11,,2018-11-19 09:16:11,139,,,,,,,,,,,,,9-11 Agustus 2018,"Hotel Horison, Bandar Lampung, Indonesia"
20,published,16632,,show,,7,http://jurnal.fmipa.unila.ac.id/komputasi/,Sistem Informasi Multi Koperasi Menggunakan Framework Laravel,"The number of cooperatives in Indonesia became the largest in the world. However, the cooperativeonly contributes 4% of the Gross Domestic Product. It means most of the cooperative is managedunprofessionally. Many of the cooperatives are closed by the government as there are no annualmembers meeting and transparency of cooperatives business process. This shows thatcommunication and data transparency in cooperatives is very important. But, the cooperatives aredifficult to show data transparancy and communicate with members because there is no media orsomething to support the communication for develop the cooperative.This research has succeeded in developing Multi Cooperative Information System using Laravelframework. Multi Cooperative Information System can store member data collection, financialtransactions, calculating profit sharing, and facilitate communication. This system build based onSoftware as a Service (SaaS) system so cooperative can subscribe with small amount of fee, ignoringthe development and maintaining the system. This system already pass the test by black box testingand expert judgement.",['QA76'],2019-11-18 05:10:31,archive,disk0/00/01/66/32,2018-10-01 00:00:00.000000000,"[{'id': 'fadhimi@gmail.com', 'name': {'honourific': None, 'family': 'iman', 'lineage': None, 'given': 'fadli Munadi'}}, {'id': 'rizky.prabowo@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Prabowo', 'lineage': None, 'given': 'Rizky'}}, {'id': 'tristiyanto.1981@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Tristiyanto', 'honourific': None, 'given': 'Tristiyanto'}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16632,,"[{'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 16632, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'formatdesc': 'jurnal fadli', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29707', 'docid': 29707, 'main': '1687-3874-1-PB.pdf', 'files': [{'objectid': 29707, 'uri': 'http://repository.lppm.unila.ac.id/id/file/141704', 'fileid': 141704, 'mime_type': 'application/pdf', 'mtime': '2019-11-15 10:35:16', 'hash_type': 'MD5', 'hash': '89bd2861d03f18f86defff1e87da7166', 'filename': '1687-3874-1-PB.pdf', 'datasetid': 'document', 'filesize': 781950}]}]",pub,2019-11-18 05:10:31,,2019-11-18 05:10:31,2425,Jurusan Ilmu Komputer Universitas Lampung,http://dx.doi.org/10.23960/komputasi.v6i2.1687,2.0,2541-0350,Jurnal Komputasi,6.0,[{'url': 'http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1687'}],,,,,,,
21,published,16633,,show,,7,http://jurnal.fmipa.unila.ac.id/komputasi/,"Sistem Informasi Akuntansi pada Multi Koperasi Menggunakan
Framework Laravel","A numerous multiple transaction will create difficulties in managing and obtaining information forcooperative. Lack of resource and which is expensive make cooperative difficult to build bythemself. Thats why many cooperatives do not use software in managing finances.Accounting information system using SaaS (Software as a Service) model can be a solution of theproblem. with the SaaS model, users do not need to buy the app but by just subscribing with theapplication directly can use the application. This paper describe how to develop accoutinginformation system. Accounting information system already has accounting features according theaccounting rules so that it will be easier to use and can fasilitate the cooperative in making financialstatements.",['QA76'],2019-11-18 05:12:22,archive,disk0/00/01/66/33,2018-10-01 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'rahmanda', 'honourific': None, 'given': 'ravi amalia'}, 'id': 'ravi.ar@gmail.com'}, {'id': 'tristiyanto.1981@fmipa.unila.ac.id', 'name': {'given': 'Tristiyanto', 'lineage': None, 'honourific': None, 'family': 'Tristiyanto'}}, {'id': 'rizky.prabowo@fmipa.unila.ac.id', 'name': {'family': 'Prabowo', 'honourific': None, 'lineage': None, 'given': 'Rizky'}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16633,,"[{'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 16633, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29708', 'rev_number': 3, 'formatdesc': 'jurnal ravi', 'docid': 29708, 'main': '1688-3875-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/141711', 'objectid': 29708, 'mtime': '2019-11-15 10:44:00', 'hash_type': 'MD5', 'hash': '78463f3ac954185329401b3a95f6b3e2', 'filename': '1688-3875-1-PB.pdf', 'fileid': 141711, 'mime_type': 'application/pdf', 'filesize': 839468, 'datasetid': 'document'}]}]",pub,2019-11-18 05:12:22,,2019-11-18 05:12:22,2425,Jurusan Ilmu Komputer Universitas Lampung,http://dx.doi.org/10.23960/komputasi.v6i2.1688,2.0,2541-0350,Jurnal Komputasi,6.0,[{'url': 'http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1688'}],,,,,,,
