,lastmod,userid,datestamp,pagerange,number,ispublished,publisher,documents,uri,full_text_status,refereed,type,divisions,publication,issn,creators,dir,date,eprint_status,status_changed,subjects,abstract,title,official_url,rev_number,volume,metadata_visibility,eprintid,date_type,place_of_pub,id_number,patent_applicant,succeeds,pres_type,event_location,event_title,event_dates,event_type,contact_email,pages,corp_creators,related_url,referencetext,monograph_type,institution,department,contributors
31,2020-05-18 02:37:15,2400,2020-05-18 02:37:15,,,pub,,"[{'main': 'sertifikat_EC00202006300.pdf', 'docid': 33115, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/187686', 'objectid': 33115, 'hash_type': 'MD5', 'mtime': '2020-05-16 23:44:42', 'hash': '913e65df25a50b0a12adefdc696a0f9d', 'filename': 'sertifikat_EC00202006300.pdf', 'fileid': 187686, 'mime_type': 'application/pdf', 'filesize': 772531, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33115', 'rev_number': 1, 'eprintid': 19822, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/19822,public,,patent,['FMIPA3'],,,"[{'id': 'bambang.hermanto@gmail.com', 'name': {'given': 'BH', 'lineage': None, 'honourific': None, 'family': 'Bambang Hermanto, S.Kom., M.Cs'}}, {'name': {'given': 'AS', 'lineage': None, 'honourific': None, 'family': 'Ir. Albertus Sudirman, M.P.'}, 'id': 'albertus@polinela.ac.id'}, {'id': 'resty.wilia@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Resti Wilia Larasati', 'given': 'RWL'}}]",disk0/00/01/98/22,2020-02-13 00:00:00.000000000,archive,2020-05-18 02:37:15,['QA76'],"Penelitian ini dilakukan untuk membangun suatu rancang bangun aplikasi sistem pakar yang dapat membantu mendiagnosa penyakit tanaman karet berdasarkan gejala yang ada. Data yang digunakan pada sistem pakar ini terdiri dari 7 penyakit tanaman karet dan 28 data gejala penyakit tanaman karet. Penelitian ini menggunakan metode Certainty Factor (CF) dalam menghitung tingkat kepakaran. Sistem pakar yang dibangun berbasiskan web.
Pengujian telah dilakukan dua tahap, yaitu pengujian internal dan pengujian eksternal. Pengujian internal terdiri dari pengujian fungsional dan pengujian kepakaran. Pengujian fungsional menggunakan metode Black Box dengan
Equivalence Partitioning (EP) menunjukkan bahwa sistem yang dibangun berfungsi seperti yang diharapkan. Pengujian kepakaran dilakukan dengan membandingkan hasil diagnosa oleh sistem dengan hasil diagnosa oleh pakar, menggunakan 7 kasus dan menghasilkan nilai rata-rata akurasi sebesar
71,67%. Pengujian eksternal dilakukan dengan memberikan kuisioner kepada 23 responden yang dibagi ke dalam dua kelompok untuk mendapat penilaian terhadap sistem. Hasil kuisioner mendapatkan nilai rata-rata sebesar 84% dari
kelompok responden I (pakar), dan 80% dari kelompok responden II (mahasiswa Jurusan Budidaya Perkebunan).

Kata Kunci : Sistem Pakar, Certainty Factor, Penyakit Tanaman Karet","Rancang Bangun Aplikasi Sistem Pakar Diagnosa Penyakit Pada
Tanaman Karet Menggunakan Metode Certainty Factor Berbasis
Web",,9,,show,19822,completed,,EC00202006300,Universitas Lampung,,,,,,,bambang.hermanto@fmipa.unila.ac.id,1.0,,,,,,,
32,2020-05-18 02:37:24,2400,2020-05-18 02:37:24,,,pub,,"[{'files': [{'objectid': 33117, 'uri': 'http://repository.lppm.unila.ac.id/id/file/187707', 'mime_type': 'application/pdf', 'fileid': 187707, 'hash': '654ee2f3d6ebabf5a6486ab9a00f174a', 'filename': 'sertifikat_EC00202006275.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-17 00:13:03', 'datasetid': 'document', 'filesize': 772436}], 'docid': 33117, 'main': 'sertifikat_EC00202006275.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33117', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 19824, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/19824,public,,patent,['FMIPA3'],,,"[{'name': {'lineage': None, 'family': 'Bambang Hermanto, S.Kom., M.Cs', 'honourific': None, 'given': 'Bambang'}, 'id': 'bambang.hermanto@fmipa.unila.ac.id'}, {'name': {'given': 'Albert', 'family': 'r. Albertus Sudirman, M.P.', 'honourific': None, 'lineage': None}, 'id': 'albertus@polinela.ac.id'}]",disk0/00/01/98/24,2020-02-13 00:00:00.000000000,archive,2020-05-18 02:37:24,['QA76'],"Vanilla (Vanilla planifolia Andrews) is an industrial plant that has high economic value as a foreign exchange-producing export commodity that is still potential to be developed in Indonesia. Vanilla is widely used in Indonesia as an auxiliary material for the food industry and in fragrance medicine. However, the high demand for vanilla is not balanced with an adequate level of productivity due to several obstacles in the development of vanilla in Indonesia. The main cause of obstacles in vanilla cultivation in Indonesia is the lack of understanding of vanilla farmers regarding diseases that attack vanilla plants. Therefore in this study an expert system was built
that could diagnose vanilla plant diseases based on knowledge obtained from the experts directly. Expert system is built based on the web using the PHP programming language and Mysql database. The inference method used is
the Dempster-shafer method. In this study consisted of 5 diseases and 16 symptoms data. Test results show that: (1) Expertise testing by comparing the results of expert diagnoses and the system is appropriate and runs very
well with a total average accuracy of 99.50% (2) External testing using a questionnaire involving 20 respondents namely ""students of the Plantation Plant Cultivation"" show that the system built has an average total percentage
value of 82.5% with the category ""Very Good"".

Keywords: Expert System, Vanilla Plant Disease, Dempster-Shafer",Sistem Pakar Diagnosa Penyakit Pada Tanaman Vanili Menggunakan Metode Dempster Shafer Berbasis Web,,7,,show,19824,completed,,EC00202006275,Universitas Lampung,,,,,,,,1.0,,,,,,,
33,2020-06-09 05:51:15,139,2020-06-09 05:51:15,41-47,1.0,pub,Universitas Teknokrat Indonesia,"[{'docid': 35521, 'main': '498-1738-1-PB (1).pdf', 'files': [{'datasetid': 'document', 'filesize': 652504, 'mime_type': 'application/pdf', 'fileid': 203739, 'filename': '498-1738-1-PB (1).pdf', 'hash': '0746082f8685b577087acc2c158ab490', 'mtime': '2020-06-03 16:55:15', 'hash_type': 'MD5', 'objectid': 35521, 'uri': 'http://repository.lppm.unila.ac.id/id/file/203739'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35521', 'rev_number': 2, 'eprintid': 22115, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/22115,public,TRUE,article,['FMIPA3'],Jurnal TEKNOINFO,2615-224X,"[{'name': {'given': 'Setiawan', 'family': 'Dana Febri', 'honourific': None, 'lineage': None}, 'id': 'dana.febrisetiawan1527@students.unila.ac.id'}, {'id': 'tristiyanto.1981@fmipa.unila.ac.id', 'name': {'given': 'Tristiyanto', 'family': 'Tristiyanto', 'honourific': None, 'lineage': None}}, {'id': 'astria.hijriani@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hijriani', 'given': 'Astria'}}]",disk0/00/02/21/15,2020-01-01 00:00:00.000000000,archive,2020-06-09 05:51:15,"['QA75', 'QA76']","Situs-situs e-commerce dan e-marketplace di Indonesia menawarkan setiap produk dengan deskripsi dan harga yang berbeda-beda. Oleh karena itu pengisian deskripsi dengan jumlah kata yang sangat banyak dan beragam, maka dapat menghabiskan waktu yang sangat lama dalam mengelola produk. Keterbatasan dalam mengelola deskripsi produk secara detail ini dapat diatasi dengan proses pengambilan informasi dengan web scraping. Web scraping adalah proses pengambilan sebuah dokumen semi-terstruktur dari internet, umumnya berupa halaman-halaman web dalam bahasa markup seperti HTML atau XHTML, dan menganalisis dokumen tersebut untuk diambil data tertentu dari halaman tersebut untuk digunakan bagi kepentingan lain. Pembangunan website ini dilakukan dengan menggunakan framework Laravel dan dengan metode pengembangan sistem waterfall. Hasil implementasi dari sistem informasi web scraping ini adalah teknik web scraping dapat digunakan untuk mengambil konten deskripsi produk dengan cepat dan tepat di berbagai situs e-commerce dan e-marketplace seperti Tokopedia, Bukalapak, Lazada, Zalora, Blanja.com, Kriya.co.id, Zilingo, Amazon, dan Alibaba yang memuat deskripsi penjualanan produk. Penyimpanan deskripsi produk ke dalam database, mempermudah transformasi data ke bentuk lainnya.",Aplikasi Web Scraping Deskripsi Produk,https://ejurnal.teknokrat.ac.id/index.php/teknoinfo/article/view/498/328,4,14.0,show,22115,published,,DOI : 10.33365/jti.v14i1.498,,21696.0,,,,,,,,,,,,,,
34,2020-11-30 15:37:33,215,2020-11-30 15:36:50,77-93,2.0,pub,Jurusan Ilmu Komputer Universitas Lampung,"[{'main': '2662-6369-1-PB.pdf', 'docid': 40863, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/241203', 'objectid': 40863, 'hash_type': 'MD5', 'mtime': '2020-11-30 02:03:52', 'filename': '2662-6369-1-PB.pdf', 'hash': '008b939faef7b8c361280c62a7f03ad7', 'fileid': 241203, 'mime_type': 'application/pdf', 'filesize': 1296213, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40863', 'rev_number': 2, 'eprintid': 26855, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/26855,public,TRUE,article,['FMIPA3'],Jurnal Komputasi,2541-0350,"[{'name': {'honourific': None, 'family': 'Favorisen R. Lumbanraja', 'lineage': None, 'given': 'Rosi'}, 'id': 'favorisen.lumbanraja@unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Aristoteles', 'lineage': None, 'given': 'Aristoteles'}}, {'name': {'lineage': None, 'family': 'Nadila Rizqi', 'honourific': None, 'given': 'Muttaqina'}, 'id': None}]",disk0/00/02/68/55,2020-10-01 00:00:00.000000000,archive,2020-11-30 15:37:33,['QA76'],,Analisa Komputasi Paralel Mengurutan Data Dengan Metode Radix Dan Selection,https://jurnal.fmipa.unila.ac.id/komputasi/article/view/2662/1878,9,8.0,show,26855,published,,,,,,,,,,,,,,,,,,
35,2020-12-01 01:05:04,215,2020-11-30 15:36:22,320-330,3.0,pub,Prodi Ilmu Komputer Universitas Lambung Mangkurat,"[{'files': [{'objectid': 40862, 'uri': 'http://repository.lppm.unila.ac.id/id/file/241195', 'fileid': 241195, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-30 01:57:57', 'hash': 'c80cf07f4cdc64ba0b0cbf2a6c8c690e', 'filename': '350-806-1-PB.pdf', 'datasetid': 'document', 'filesize': 363345}], 'main': '350-806-1-PB.pdf', 'docid': 40862, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40862', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 26854, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/26854,public,TRUE,article,['FMIPA3'],Kumpulan Jurnal Ilmu Komputer (KLIK),2406-7857,"[{'id': 'favorisen.lumbanraja@unila.ac.id', 'name': {'given': 'Rosi', 'lineage': None, 'honourific': None, 'family': 'Favorisen R. Lumbanraja'}}, {'name': {'family': 'Ira Hariati', 'honourific': None, 'lineage': None, 'given': 'Br Sitepu'}, 'id': None}, {'name': {'honourific': None, 'family': 'Kurniawan', 'lineage': None, 'given': 'Didik'}, 'id': 'didikunila@gmail.com'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}}]",disk0/00/02/68/54,2020-10-01 00:00:00.000000000,archive,2020-12-01 01:05:04,['QA76'],,PREDIKSI JUMLAH PENDERITA PENYAKIT TUBERKULOSIS DI KOTA BANDAR LAMPUNG MENGGUNAKAN METODE SVM (Support Vector Machine),http://klik.ulm.ac.id/index.php/klik/article/view/350/pdf,12,7.0,show,26854,published,,,,,,,,,,,,,,,,,,
36,2021-05-27 02:38:20,2504,2021-05-27 02:38:20,331-340,3.0,pub,Prodi Ilmu Komputer FMIPA Universitas Lambung Mangkurat,"[{'docid': 139424, 'main': '352-807-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/366279', 'objectid': 139424, 'filesize': 427104, 'datasetid': 'document', 'mtime': '2021-05-26 23:37:37', 'hash_type': 'MD5', 'filename': '352-807-1-PB.pdf', 'hash': 'b98f05fd9cea65e301f7c494d5bb2def', 'fileid': 366279, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/139424', 'eprintid': 30892, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}]",http://repository.lppm.unila.ac.id/id/eprint/30892,public,TRUE,article,['FMIPA3'],Kumpulan Jurnal Ilmu Komputer (KLIK),"2443-406X (eISSN), 2406-7857 (pISSN)","[{'id': 'febi.febriansyah@fmipa.unila.ac.id', 'name': {'given': 'Febi Eka', 'lineage': None, 'honourific': None, 'family': 'Febriansyah'}}, {'name': {'given': 'Ardiansyah', 'lineage': None, 'family': 'Ardiansyah', 'honourific': None}, 'id': 'ardiansyah@fmipa.unila.ac.id'}, {'id': None, 'name': {'family': 'Darmaji', 'honourific': None, 'lineage': None, 'given': 'Afan'}}]",disk0/00/03/08/92,2020-10-01 00:00:00.000000000,archive,2021-05-27 02:38:20,['QA76'],"Indonesia adalah negara yang kaya akan keragaman budaya, salah satunya adalah bahasa daerah. Dalam Undang-Undang Republik Indonesia Nomor 24 tahun 2009 pasal 1 ayat ke 6, yang dimaksud bahasa daerah adalah bahasa yang digunakan secara turun-temurun oleh warga negara Indonesia di daerah daerah di wilayah Negara Kesatuan Republik Indonesia. Ada banyak bahasa daerah di Indonesia, salah satunya adalah bahasa lampung.  namun berkurangnya penutur bahasa lampung dapat mengakibatkan bahasa daerah lampung akan hilang. Dengan bantuan teknologi terutama Android, dapat membantu meningkatkan lagi minat berbahasa lampung terutama pada remaja lampung. penelitian ini akan mengembangkan aplikasi translator bahasa Indonesia ke Bahasa Lampung dialek A pada Platform Android. Aplikasi diberi nama Cawa Lampung. proses terjemahan dilakukan oleh sistem dengan terjemahan kata perkata. Setiap kata dilakukan proses stemming dengan mengunakan metode stemming Nazief Adriani. Metode pengembangan sistem yang digunakan yaitu eXtreme Programming. Dari hasil pengujian fungsional semua fungsi berjalan dengan baik, dan dari hasil non fungsional memiliki nilai 85.57 % yang memiliki makna “sangat baik”.",CAWA LAMPUNG: KAMUS BAHASA INDONESIA-LAMPUNG DIALEK A BERBASIS ANDROID,http://klik.ulm.ac.id/index.php/klik/index,7,7.0,show,30892,published,,http://dx.doi.org/10.20527/klik.v7i3.352,,,,,,,,,,"['Jurusan Ilmu Komputer, FMIPA Universitas Lampung']",,,,,,
37,2020-11-19 17:51:12,698,2020-11-19 17:51:12,32-38,,pub,Atlantis Press,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40220', 'main': '125939953.pdf', 'docid': 40220, 'files': [{'objectid': 40220, 'uri': 'http://repository.lppm.unila.ac.id/id/file/237179', 'fileid': 237179, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-19 15:04:14', 'hash': 'f325218deb9b7ad87198133da77be24f', 'filename': '125939953.pdf', 'datasetid': 'document', 'filesize': 705094}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26332, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/26332,public,TRUE,article,['FMIPA3'],Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019),1951-6851,"[{'id': 'rangga.firdaus@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Firdaus', 'given': 'Rangga'}}, {'name': {'family': 'Wibawa', 'honourific': None, 'lineage': None, 'given': 'Basuki'}, 'id': None}, {'name': {'lineage': None, 'family': 'Khaerudin', 'honourific': None, 'given': 'Khaerudin'}, 'id': None}]",disk0/00/02/63/32,2020-05-06 00:00:00.000000000,archive,2020-11-19 17:51:12,['QA75'],"Many concerns from the world of work that the competence of graduates, especially in the field of informatics, is inadequate and not crucial to the needs of the workforce, because the performance of the learning outcomes of the curriculum is not synchronous between the world of education and the world of business. Thus, needs bridges to meet the needs of the business world and education world through competency proficiency. The research aims are to generate a procedural model that show procedural steps that will guide when developing an assistance system for the competency proficiency test. We combine the model with blended/hybrid learning as learning alternative in the era of industrial revolution 4.0. The Research and Development approach and the characteristics of the model developed in this study broadly combine three interrelated system development models, namely the Borg and Gall model as the backbone, Hanafin and Pack as the process of learning interaction and the Waterfall model as the creation of a companion application system. We also pay attention to the relationship between the share of academic, professional associations and government regulation in the form of the National Framework Scheme Indonesia (SKKNI) to the application of the results of this research is a Companion Certificate Diploma (SPKI) can do together. A procedural model is a development method of a mentoring framework which bridges industry and campus-based Ubiquitous Learning.",A Procedural Model for the Design of Informatics Competency Proficiency Assistance Systems Based on Ubiquitous Learning,https://www.atlantis-press.com/proceedings/siconian-19/125939953,7,,show,26332,published,,https://doi.org/10.2991/aisr.k.200424.005,,,,,,,,,,,"[{'type': 'author', 'url': 'https://doi.org/10.2991/aisr.k.200424.005'}]",,,,,
38,2020-11-19 11:33:58,698,2020-11-19 11:33:58,,,pub,American Scientific Publishers,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 26232, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40120', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 40120, 'uri': 'http://repository.lppm.unila.ac.id/id/file/236298', 'fileid': 236298, 'mime_type': 'application/pdf', 'mtime': '2020-11-19 06:03:18', 'hash_type': 'MD5', 'filename': '16CTN-8751-AIMC.pdf', 'hash': '236f467815c55ef4c7819a038f419cf3', 'datasetid': 'document', 'filesize': 472749}], 'main': '16CTN-8751-AIMC.pdf', 'docid': 40120}]",http://repository.lppm.unila.ac.id/id/eprint/26232,public,TRUE,article,['FMIPA3'],Journal of Computational and Theoretical Nanoscience,ISSN: 1546-1955 (Print)  ;  EISSN: 1546-1963 (Online),"[{'name': {'given': 'Rangga', 'lineage': None, 'family': 'Firdaus', 'honourific': None}, 'id': 'rangga.firdaus@fmipa.unila.ac.id'}, {'id': None, 'name': {'given': 'Basuki', 'honourific': None, 'family': 'wibaba', 'lineage': None}}, {'name': {'family': 'Khaerudin', 'honourific': None, 'lineage': None, 'given': 'Khaerudin'}, 'id': None}]",disk0/00/02/62/32,1970-01-01 00:00:00.000002020,archive,2020-11-19 11:33:58,['QA75'],"Supporters compete for resources required for Technological changes, which usually a trade-off,
involving many stakeholders, who are aware of changes. Understanding how to connect assets for
learning is as important as the content because the knowledge of what is needed for tomorrow is
very important. Furthermore, the Mentoring System openly conducted for the proficiency tests, in
the field of informatics, which is an alternative in solving problems in the Industrial Revolution 4.0.
This article presents a study of open mentoring and also provides answers to how information and
communication technology facilitates the education process. The Research and Development characteristics of the model developed, broadly combines 3 interrelated system development prototypes,
which include the Borg and Gall as the backbone, Hannafin, and Peck as the interaction process,
and the waterfall model serves as the creator of the mentoring application system. However, it is
expected that the final results establish a digital learning platform, from national and international
standard certification programs, based on the Professions and Competencies, provided by industry
and associations. However, other consequences include, to bridge the gap between the industrial
world and university, as a physical standard, to obtain evidence from empirical data for Certification.
Furthermore, it is also relevant as a Test field of IT based Ubiquitous study, based on its impact, by
increasing the competence in the field of informatics, for students and lecturers in Higher Education,
department of Informatics and Computer Science Indonesia.","Physical Model of Development of Assistance System
Proficiency Test for Ubiquitous Learning-Based
Information Competency Competencies",,6,,show,26232,published,,,,,,,,,,,,,,,,,,
39,2021-05-27 02:40:34,2504,2021-05-27 02:40:34,83-88,1.0,pub,Jurusan Ilmu Komputer FMIPA Universitas Lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 30945, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/366843', 'objectid': 139690, 'mtime': '2021-05-27 02:18:01', 'hash_type': 'MD5', 'filename': '13-Article Text-54-3-10-20210527.pdf', 'hash': 'c65815d76f99a8adf7708f5e75066a1d', 'fileid': 366843, 'mime_type': 'application/pdf', 'filesize': 458951, 'datasetid': 'document'}], 'docid': 139690, 'main': '13-Article Text-54-3-10-20210527.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/139690', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/30945,public,TRUE,article,['FMIPA3'],Jurnal Pepadun,2774-3403,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Fitri', 'given': 'Eliza'}}, {'id': 'favorisen.lumbanraja@fmipa.unila.ac.id', 'name': {'given': 'Favorisen R', 'lineage': None, 'family': 'Lumbanraja', 'honourific': None}}, {'name': {'given': 'Ardiansyah', 'honourific': None, 'family': 'Ardiansyah', 'lineage': None}, 'id': 'ardiansyah@fmipa.unila.ac.id'}]",disk0/00/03/09/45,2020-12-01 00:00:00.000000000,archive,2021-05-27 02:40:34,['QA76'],"The University of Lampung especially Computer Science Departement has an online journal that publishes various scientific articles written by researchers both students and lecturers. This scientific article is called the online Computating Journal which is published once every 6 months. But, this online Computating Journal has not been structured and classified into the category of science that more specific. Therefore, in this research the abstract Computating Journal will be classified using text mining techniques to process the abstract become more structured and retrieve information in it. Then, the information in the abstract is extracted as a feature by the TFIDF weighting technique. The proposed classification model uses the support vector machine algorithm that has strong consistency. The model classification will be validated by applying the 10-Fold Cross Validation technique.",KLASIFIKASI ABSTRAK JURNAL KOMPUTASI MENGGUNAKAN METODE TEXT MINING DAN ALGORITMA SUPPORT VECTOR MACHINE,https://pepadun.fmipa.unila.ac.id/index.php/jurnal/index,6,1.0,show,30945,published,,,,,,,,,,,,"['Jurusan Ilmu Komputer, FMIPA Universitas Lampung']",[{'url': 'https://pepadun.fmipa.unila.ac.id/index.php/jurnal/article/view/13'}],,,,,
40,2020-04-20 07:08:48,215,2020-04-20 07:08:48,,,pub,Unila,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/161316', 'objectid': 32488, 'filesize': 1826419, 'datasetid': 'document', 'mtime': '2020-04-20 06:47:21', 'hash_type': 'MD5', 'filename': 'IS19% - Implementation_of_Multilevel_Feedback_Queue_Algori.pdf', 'hash': 'd43fcaf67960c67c6586f1b4d9af39fe', 'fileid': 161316, 'mime_type': 'application/pdf'}], 'main': 'IS19% - Implementation_of_Multilevel_Feedback_Queue_Algori.pdf', 'docid': 32488, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32488', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 19254, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/19254,public,,other,['FMIPA3'],,,"[{'name': {'lineage': None, 'family': 'Ginting', 'honourific': None, 'given': 'Dian Adrian'}}, {'name': {'family': 'Aristoteles', 'honourific': None, 'lineage': None, 'given': 'Aristoteles'}}, {'name': {'given': 'Ossy Dwi', 'lineage': None, 'family': 'Endah', 'honourific': None}}]",disk0/00/01/92/54,2020-04-20 00:00:00.000000000,archive,2020-04-20 07:08:48,['QA76'],,Similarity Check ResultImplementation of Multilevel Feedback Queue Algorithm in Restaurant Order Food Application Development for Android and iOS Platforms.,,7,,show,19254,completed,,,,,,,,,,,,,,,,,,
41,2020-11-17 01:01:17,2423,2020-11-17 01:01:17,107-115,2.0,pub,,"[{'docid': 39453, 'main': 1182, 'files': [{'hash': '6add9ded580a5db727b9ec0967a010a3', 'filename': 1182, 'mtime': '2020-11-16 23:08:50', 'hash_type': 'MD5', 'mime_type': 'text/html', 'fileid': 231116, 'filesize': 5082, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/231116', 'objectid': 39453}], 'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39453', 'eprintid': 25656, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'text/html', 'content': 'published'}]",http://repository.lppm.unila.ac.id/id/eprint/25656,public,TRUE,article,['FMIPA3'],Journal of Applied Informatics and Computing (JAIC),2548-6861,"[{'name': {'given': 'Yunda', 'lineage': None, 'family': 'Heningtyas', 'honourific': None}, 'id': 'yunda.heningtyas89@gmail.com'}, {'name': {'family': 'Andrian', 'honourific': None, 'lineage': None, 'given': 'Rico'}, 'id': 'rico.andrian@fmipa.unila.ac.id'}, {'name': {'given': 'Akmal', 'lineage': None, 'family': 'Junaidi', 'honourific': None}, 'id': '.'}, {'id': 'susiyani226@gmail.com', 'name': {'honourific': None, 'family': 'susiyani', 'lineage': None, 'given': 'susiyani'}}]",disk0/00/02/56/56,2020-12-01 00:00:00.000000000,archive,2020-11-17 01:01:17,['QA75'],"Carassius Auratus, also known as goldfish, is the most commonly kept ornamental fish  in  an  aquarium  that  has  a  variety  of  species,  shapes,  and  colors.  Goldfish anatomy is almost similar between species so it is difficult to distinguish. Goldfish identification has several processes to determine the level of success. One process that is very important for identification is segmentation. Segmentation is the stage to separate   objects   and   backgrounds.   Good   segmentation   results   will   provide maximum feature extraction results and it should impact on optimal identification results. This research aims to create a system that can be used to segment goldfish fish  objects  in  the  background   using  the  Expectation-Maximization  method. Expectation-Maximization is an algorithm for estimating a parameter in a function by using Maximum Likelihood Estimation (MLE). Goldfish fish species total of 72 images  each  totaling  216.  Goldfish  segmentation  evaluation  results  using  the Expectation-Maximization method can work well with an accuracy rate of 89.14%. Analysis of the results of the imperfect fish image segmentation is influenced by white light and the background color is almost similar to that of the goldfish. The results of  the  best  goldfish  image  segmentation  are  influenced  by  a  good  goldfish  image when the image capture process at the time of the screenshot has a stable focus and is not blurry so that the edges of the goldfish object appear clearly and sharply.",Goldfish (Carassius auratus) Image Segmentation Using Expectation Maximization (EM) Algorithm,,7,4.0,show,25656,published,,,,,,,,,,,,,,,,,,
